농심홀딩스(072710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-11-13,31000,31250,30700,30800,8480,110287.0,3580745.0
2003-11-14,30800,31450,30600,31400,11555,112435.0,3580745.0
2003-11-17,31400,33400,31000,31950,28234,114405.0,3580745.0
2003-11-18,32750,34450,32000,34000,50650,121745.0,3580745.0
2003-11-19,34400,34900,33300,33950,44840,121566.0,3580745.0
2003-11-20,33900,34050,32650,34050,41650,121924.0,3580745.0
2003-11-21,34000,34350,33500,34050,24292,121924.0,3580745.0
2003-11-24,34050,34050,32300,32400,16538,116016.0,3580745.0
2003-11-25,33000,33100,31600,32300,20226,115658.0,3580745.0
2003-11-26,32350,33300,32100,32700,20850,117090.0,3580745.0
2003-11-27,32700,35500,32600,35000,41152,125326.0,3580745.0
2003-11-28,35300,37200,34600,37000,101368,132488.0,3580745.0
2003-12-01,37000,38300,36400,36950,66510,132309.0,3580745.0
2003-12-02,36950,37200,36650,37000,29370,132488.0,3580745.0
2003-12-03,36800,37500,36350,37000,17580,132488.0,3580745.0
2003-12-04,36350,37450,36350,36600,23513,131055.0,3580745.0
2003-12-05,36500,37000,36300,36400,20260,130339.0,3580745.0
2003-12-08,35700,35950,35250,35400,12210,126758.0,3580745.0
2003-12-09,35300,36100,35300,35800,7296,128191.0,3580745.0
2003-12-10,35300,35700,35150,35550,3840,160837.0,4524247.0
2003-12-11,36000,36000,34900,35000,17727,158349.0,4524247.0
2003-12-12,35100,36700,34900,36600,29613,165587.0,4524247.0
2003-12-15,36750,37450,36500,36900,19036,166945.0,4524247.0
2003-12-16,36300,36800,36200,36250,17049,164004.0,4524247.0
2003-12-17,36250,36500,35000,35000,17061,158349.0,4524247.0
2003-12-18,35050,35300,34400,35000,14573,158349.0,4524247.0
2003-12-19,35500,36450,35050,35500,25059,160611.0,4524247.0
2003-12-22,36200,36200,35350,35650,19852,161289.0,4524247.0
2003-12-23,35900,36000,35550,35600,10470,161063.0,4524247.0
2003-12-24,35950,35950,34500,35000,15180,158349.0,4524247.0
2003-12-26,34700,35400,34700,35250,35872,159480.0,4524247.0
2003-12-29,34800,35750,34650,35100,34440,158801.0,4524247.0
2003-12-30,35200,37200,35200,37200,26110,168302.0,4524247.0
2004-01-02,37300,37300,36150,36150,18966,163552.0,4524247.0
2004-01-05,36200,36300,35350,35650,12431,161289.0,4524247.0
2004-01-06,35500,35850,35100,35250,10810,159480.0,4524247.0
2004-01-07,35300,35300,34200,35300,29160,159706.0,4524247.0
2004-01-08,34900,35250,34700,35250,16940,159480.0,4524247.0
2004-01-09,34750,35450,34750,35200,14389,159253.0,4524247.0
2004-01-12,35200,35200,34650,35000,37700,158349.0,4524247.0
2004-01-13,35450,35450,34700,34800,16021,157444.0,4524247.0
2004-01-14,35000,35000,34700,34700,8160,156991.0,4524247.0
2004-01-15,35250,35250,34400,35000,2270,158349.0,4524247.0
2004-01-16,35000,35000,34700,34800,27500,157444.0,4524247.0
2004-01-19,34600,34800,34450,34650,4677,156765.0,4524247.0
2004-01-20,34750,34750,34150,34550,6110,156313.0,4524247.0
2004-01-26,35000,35500,34600,35400,30130,160158.0,4524247.0
2004-01-27,35200,35650,35100,35100,6210,158801.0,4524247.0
2004-01-28,35100,35150,34600,34950,13878,158122.0,4524247.0
2004-01-29,34500,35000,34500,34900,3470,157896.0,4524247.0
2004-01-30,34600,34950,34450,34650,3777,156765.0,4524247.0
2004-02-02,34650,34650,34250,34600,16420,156539.0,4524247.0
2004-02-03,35200,35200,34000,34400,12340,155634.0,4524247.0
2004-02-04,34100,35300,34100,35000,25248,158349.0,4524247.0
2004-02-05,35400,35400,34150,34700,3620,156991.0,4524247.0
2004-02-06,35000,35100,34000,35000,4180,158349.0,4524247.0
2004-02-09,35300,35700,35100,35400,30521,160158.0,4524247.0
2004-02-10,35300,35300,34800,35000,4060,158349.0,4524247.0
2004-02-11,34700,35600,34700,35000,14859,158349.0,4524247.0
2004-02-12,35000,35000,34350,34500,6984,156087.0,4524247.0
2004-02-13,34500,34500,34000,34300,4648,155182.0,4524247.0
2004-02-16,34150,34900,33800,34550,6590,156313.0,4524247.0
2004-02-17,34750,34950,34550,34700,7390,156991.0,4524247.0
2004-02-18,35200,36900,35200,35900,27301,162420.0,4524247.0
2004-02-19,36800,36800,35900,36000,17982,162873.0,4524247.0
2004-02-20,36000,36100,36000,36050,10998,163099.0,4524247.0
2004-02-23,36700,36700,36200,36300,2971,164230.0,4524247.0
2004-02-24,36100,36100,35900,36000,14831,162873.0,4524247.0
2004-02-25,36000,36000,35000,35000,8736,158349.0,4524247.0
2004-02-26,35150,35150,34150,34300,6260,155182.0,4524247.0
2004-02-27,33650,34100,33400,34000,12157,153824.0,4524247.0
2004-03-02,34100,34200,33800,34000,3670,153824.0,4524247.0
2004-03-03,33900,34500,33900,33950,4145,153598.0,4524247.0
2004-03-04,34100,34400,34050,34300,2760,155182.0,4524247.0
2004-03-05,34200,34500,34100,34300,1050,155182.0,4524247.0
2004-03-08,34600,34650,34250,34300,5980,155182.0,4524247.0
2004-03-09,34400,35000,34400,34900,5500,157896.0,4524247.0
2004-03-10,34350,34600,34300,34400,1425,155634.0,4524247.0
2004-03-11,34800,34800,33500,34250,11942,154955.0,4524247.0
2004-03-12,34000,34550,32500,33700,11540,152467.0,4524247.0
2004-03-15,33950,33950,33300,33300,2116,150657.0,4524247.0
2004-03-16,33300,33650,33300,33650,1370,152241.0,4524247.0
2004-03-17,33200,34200,33200,33600,1200,152015.0,4524247.0
2004-03-18,34000,34800,33750,34800,6900,157444.0,4524247.0
2004-03-19,34300,34700,33900,34400,2333,155634.0,4524247.0
2004-03-22,34300,34800,33950,34000,2220,153824.0,4524247.0
2004-03-23,34000,34500,33900,34400,6690,155634.0,4524247.0
2004-03-24,33550,34750,33550,34500,7190,156087.0,4524247.0
2004-03-25,34500,34600,34500,34500,970,156087.0,4524247.0
2004-03-26,34400,34700,34000,34400,360,155634.0,4524247.0
2004-03-29,34400,34400,33900,34050,1510,154051.0,4524247.0
2004-03-30,34000,34550,34000,34000,1483,153824.0,4524247.0
2004-03-31,34500,34500,33300,33650,1161,152241.0,4524247.0
2004-04-01,34400,34400,33500,34350,4990,155408.0,4524247.0
2004-04-02,34350,34650,34000,34500,3270,156087.0,4524247.0
2004-04-06,34500,34500,34100,34100,1610,154277.0,4524247.0
2004-04-07,34100,34550,34000,34200,8590,154729.0,4524247.0
2004-04-08,34250,34250,33550,34150,2630,154503.0,4524247.0
2004-04-09,33800,34150,33800,34100,4370,154277.0,4524247.0
2004-04-12,34100,34300,33650,34100,3740,154277.0,4524247.0
2004-04-13,34000,36000,34000,35950,20760,162647.0,4524247.0
2004-04-14,35500,35600,34800,35450,4320,160385.0,4524247.0
2004-04-16,35000,36100,35000,36000,15112,162873.0,4524247.0
2004-04-19,36050,37000,35650,36500,11253,165135.0,4524247.0
2004-04-20,36800,36900,36000,36450,7590,164909.0,4524247.0
2004-04-21,36250,36800,35800,36700,6230,166040.0,4524247.0
2004-04-22,37000,42200,37000,42200,55252,190923.0,4524247.0
2004-04-23,43500,47000,41150,41150,68930,186173.0,4524247.0
2004-04-26,41000,41000,39800,40100,12950,181422.0,4524247.0
2004-04-27,40050,40950,40000,40200,13149,181875.0,4524247.0
2004-04-28,40300,40500,39600,40000,9660,180970.0,4524247.0
2004-04-29,38750,40000,38700,38700,15180,175088.0,4524247.0
2004-04-30,38600,41200,38100,41200,4650,186399.0,4524247.0
2004-05-03,41500,41900,41300,41700,6910,188661.0,4524247.0
2004-05-04,42100,43200,41800,42500,14895,192280.0,4524247.0
2004-05-06,42600,42800,41100,41900,36455,189566.0,4524247.0
2004-05-07,42400,42400,40050,41850,5470,189340.0,4524247.0
2004-05-10,41100,41800,40500,41000,25340,185494.0,4524247.0
2004-05-11,41000,41750,40500,41400,14500,187304.0,4524247.0
2004-05-12,41500,42000,41200,41400,6363,187304.0,4524247.0
2004-05-13,41050,42000,41050,42000,9660,190018.0,4524247.0
2004-05-14,42000,42500,41000,41950,16220,189792.0,4524247.0
2004-05-17,41950,42000,41000,42000,18671,190018.0,4524247.0
2004-05-18,41050,41700,41000,41650,8580,188435.0,4524247.0
2004-05-19,42000,43300,42000,42000,7511,190018.0,4524247.0
2004-05-20,42000,44500,42000,43600,21972,197257.0,4524247.0
2004-05-21,44900,45500,44000,44900,4910,203139.0,4524247.0
2004-05-24,45000,45000,43050,43500,10320,196805.0,4524247.0
2004-05-25,43000,43950,43000,43850,1400,198388.0,4524247.0
2004-05-27,44900,44900,43300,43800,3180,198162.0,4524247.0
2004-05-28,43100,43600,42800,43000,6884,194543.0,4524247.0
2004-05-31,43000,43000,42100,43000,2700,194543.0,4524247.0
2004-06-01,42650,43750,42450,42900,1450,194090.0,4524247.0
2004-06-02,42900,42900,42350,42400,4714,191828.0,4524247.0
2004-06-03,42200,42850,41800,42000,12560,190018.0,4524247.0
2004-06-04,42050,42500,42000,42100,5300,190471.0,4524247.0
2004-06-07,42100,43000,42100,42950,1230,194316.0,4524247.0
2004-06-08,42950,42950,42000,42300,5130,191376.0,4524247.0
2004-06-09,42000,42350,41950,42050,14000,190245.0,4524247.0
2004-06-10,42050,42850,42000,42050,2700,190245.0,4524247.0
2004-06-11,42000,42300,41000,41150,64430,186173.0,4524247.0
2004-06-14,41500,42350,41000,41650,4875,188435.0,4524247.0
2004-06-15,41550,42250,41200,41250,76060,186625.0,4524247.0
2004-06-16,41100,42000,41100,41600,1260,188209.0,4524247.0
2004-06-17,43600,43700,41600,42450,1440,192054.0,4524247.0
2004-06-18,42000,42300,41000,41500,30560,187756.0,4524247.0
2004-06-21,41500,41950,41500,41500,1470,187756.0,4524247.0
2004-06-22,41500,42000,41500,42000,1525,190018.0,4524247.0
2004-06-23,41800,42450,41700,41800,1310,189114.0,4524247.0
2004-06-24,41650,43800,41650,43800,16231,198162.0,4524247.0
2004-06-25,44000,46950,43600,46950,15239,212413.0,4524247.0
2004-06-28,47950,47950,46300,46700,4070,211282.0,4524247.0
2004-06-29,46000,47200,45550,47000,17500,212640.0,4524247.0
2004-06-30,46800,47600,46700,47400,12150,214449.0,4524247.0
2004-07-01,47400,47800,47000,47400,5680,214449.0,4524247.0
2004-07-02,47000,47300,46500,47300,1010,213997.0,4524247.0
2004-07-05,46550,46750,46000,46750,763,211509.0,4524247.0
2004-07-06,47400,47400,46000,46800,620,211735.0,4524247.0
2004-07-07,46550,46550,45550,46050,1790,208342.0,4524247.0
2004-07-08,46050,46200,46000,46150,2340,208794.0,4524247.0
2004-07-09,46150,47500,46100,47450,6152,214676.0,4524247.0
2004-07-12,47100,48500,47100,47850,24382,216485.0,4524247.0
2004-07-13,47850,48600,47300,48250,15179,218295.0,4524247.0
2004-07-14,49200,49200,48200,48250,11903,218295.0,4524247.0
2004-07-15,48850,48850,46800,47350,6872,214223.0,4524247.0
2004-07-16,47350,47850,46800,47350,2152,214223.0,4524247.0
2004-07-19,47350,48450,47350,47500,1020,214902.0,4524247.0
2004-07-20,47500,48500,47500,48000,8550,217164.0,4524247.0
2004-07-21,49100,49500,48100,49500,9357,223950.0,4524247.0
2004-07-22,49800,49800,48400,48400,9953,218974.0,4524247.0
2004-07-23,48500,50500,48100,50000,2433,226212.0,4524247.0
2004-07-26,51700,54800,50900,51500,9390,232999.0,4524247.0
2004-07-27,52300,52300,49950,49950,2560,225986.0,4524247.0
2004-07-28,49700,52100,49700,51800,6010,234356.0,4524247.0
2004-07-29,51000,53000,51000,52800,2849,238880.0,4524247.0
2004-07-30,53000,54400,52300,53000,4900,239785.0,4524247.0
2004-08-02,53000,53000,50000,51500,5840,232999.0,4524247.0
2004-08-03,51400,51500,48050,50500,4460,228474.0,4524247.0
2004-08-04,48600,50000,47500,47950,10960,216938.0,4524247.0
2004-08-05,47500,48700,47500,47900,12560,216711.0,4524247.0
2004-08-06,47500,48900,47400,48900,3980,221236.0,4524247.0
2004-08-09,49000,49250,47900,47950,5932,216938.0,4524247.0
2004-08-10,47550,48700,47500,48450,1720,219200.0,4524247.0
2004-08-11,48400,49350,48100,49000,2590,221688.0,4524247.0
2004-08-12,49300,49650,49200,49400,6350,223498.0,4524247.0
2004-08-13,49400,55600,49400,55300,16220,250191.0,4524247.0
2004-08-16,55000,55000,53100,54400,2300,246119.0,4524247.0
2004-08-17,54700,54800,53500,54300,2076,245667.0,4524247.0
2004-08-18,54300,54500,53000,54100,2310,244762.0,4524247.0
2004-08-19,53600,54400,52700,54000,5310,244309.0,4524247.0
2004-08-20,54000,57000,54000,55500,2536,251096.0,4524247.0
2004-08-23,55600,57100,55600,56600,3550,256072.0,4524247.0
2004-08-24,56600,58400,56600,58400,3750,264216.0,4524247.0
2004-08-25,58500,61500,58500,59000,7680,266931.0,4524247.0
2004-08-26,59000,60000,58200,58700,9391,265573.0,4524247.0
2004-08-27,58200,59300,58200,58600,2487,265121.0,4524247.0
2004-08-30,59900,59900,58100,58600,2250,265121.0,4524247.0
2004-08-31,57700,58800,57000,58800,4570,266026.0,4524247.0
2004-09-01,58800,58900,57900,58900,1810,266478.0,4524247.0
2004-09-02,59000,59300,58000,58500,8280,264668.0,4524247.0
2004-09-03,57600,59000,57600,57600,2580,260597.0,4524247.0
2004-09-06,57200,58500,56600,57500,4280,260144.0,4524247.0
2004-09-07,56900,58000,56900,57200,880,258787.0,4524247.0
2004-09-08,57200,58100,57100,57100,2060,258335.0,4524247.0
2004-09-09,58000,58000,57000,57200,770,258787.0,4524247.0
2004-09-10,57200,57800,56600,57700,2980,261049.0,4524247.0
2004-09-13,57900,58500,56700,58200,4572,263311.0,4524247.0
2004-09-14,58100,58200,57300,57400,1761,259692.0,4524247.0
2004-09-15,58200,58200,56300,57300,2059,259239.0,4524247.0
2004-09-16,57000,57800,56000,57300,2990,259239.0,4524247.0
2004-09-17,57200,57200,56400,56400,1071,255168.0,4524247.0
2004-09-20,56400,56900,56300,56600,1850,256072.0,4524247.0
2004-09-21,56600,56600,55800,56500,1210,255620.0,4524247.0
2004-09-22,56200,57400,56000,56000,1723,253358.0,4524247.0
2004-09-23,55700,57000,54700,54700,1090,247476.0,4524247.0
2004-09-24,54700,57500,54100,57200,1082,258787.0,4524247.0
2004-09-30,56300,61400,56300,61300,8550,277336.0,4524247.0
2004-10-01,62100,62200,60000,62000,6480,280503.0,4524247.0
2004-10-04,62800,64500,62100,63300,11460,286385.0,4524247.0
2004-10-05,62700,63500,62700,63300,2491,286385.0,4524247.0
2004-10-06,63400,63400,62300,63300,1800,286385.0,4524247.0
2004-10-07,62900,66000,62900,65700,5760,297243.0,4524247.0
2004-10-08,67000,68400,63500,66700,7102,301767.0,4524247.0
2004-10-11,66700,68000,65000,66700,2647,301767.0,4524247.0
2004-10-12,68900,68900,66400,67000,4310,303125.0,4524247.0
2004-10-13,68000,68000,66100,66900,1294,302672.0,4524247.0
2004-10-14,66000,67500,64000,65600,1540,296791.0,4524247.0
2004-10-15,66000,66000,63000,64900,1632,293624.0,4524247.0
2004-10-18,65000,65300,63900,64500,1310,291814.0,4524247.0
2004-10-19,64200,65300,64200,64400,3660,291362.0,4524247.0
2004-10-20,63600,64400,62500,63500,4212,287290.0,4524247.0
2004-10-21,62400,64000,61700,62500,3551,282765.0,4524247.0
2004-10-22,63300,65000,60000,64000,6025,289552.0,4524247.0
2004-10-25,63500,63800,62100,63800,2021,288647.0,4524247.0
2004-10-26,63900,64000,62400,63500,5090,287290.0,4524247.0
2004-10-27,62700,64400,62500,63000,2271,285028.0,4524247.0
2004-10-28,63300,63300,60500,62700,5130,283670.0,4524247.0
2004-10-29,62700,65500,62700,65500,8011,296338.0,4524247.0
2004-11-01,65000,67000,65000,65600,4074,296791.0,4524247.0
2004-11-02,67300,67300,65600,65600,1470,296791.0,4524247.0
2004-11-03,64600,66300,64200,65900,1610,298148.0,4524247.0
2004-11-04,65600,67400,65500,67000,1931,303125.0,4524247.0
2004-11-05,67500,67500,65000,67000,1330,303125.0,4524247.0
2004-11-08,66800,67600,66700,66700,771,301767.0,4524247.0
2004-11-09,67000,67000,66000,66200,480,299505.0,4524247.0
2004-11-10,66000,66300,65500,66100,1630,299053.0,4524247.0
2004-11-11,65600,66700,64900,65000,4191,294076.0,4524247.0
2004-11-12,65000,65500,62800,63000,10344,285028.0,4524247.0
2004-11-15,63000,63600,62300,63000,1820,285028.0,4524247.0
2004-11-16,63000,63700,62700,62900,3220,284575.0,4524247.0
2004-11-17,63000,63600,62700,62900,4786,284575.0,4524247.0
2004-11-18,63900,63900,58100,60000,14100,271455.0,4524247.0
2004-11-19,60400,60500,58000,59500,4147,269193.0,4524247.0
2004-11-22,58600,59200,58000,58300,4943,263764.0,4524247.0
2004-11-23,57500,59000,57500,58800,6580,266026.0,4524247.0
2004-11-24,59000,59900,58800,59900,1650,271002.0,4524247.0
2004-11-25,60100,61200,58600,59600,3144,269645.0,4524247.0
2004-11-26,59100,59600,58500,59200,1460,267835.0,4524247.0
2004-11-29,58400,59200,58300,59200,1920,267835.0,4524247.0
2004-11-30,58500,59500,57800,59100,4024,267383.0,4524247.0
2004-12-01,58200,59100,58200,58600,1771,265121.0,4524247.0
2004-12-02,58800,59600,58300,59100,1290,267383.0,4524247.0
2004-12-03,59100,59100,57300,58000,14655,262406.0,4524247.0
2004-12-06,58000,58000,56000,56500,11032,255620.0,4524247.0
2004-12-07,56000,56400,55700,56000,5026,253358.0,4524247.0
2004-12-08,55500,56500,55500,56000,24362,253358.0,4524247.0
2004-12-09,56500,56500,56000,56500,1027,255620.0,4524247.0
2004-12-10,56800,56800,55800,55800,1555,252453.0,4524247.0
2004-12-13,55500,56200,55500,56200,3484,254263.0,4524247.0
2004-12-14,55600,57700,55600,57700,1080,261049.0,4524247.0
2004-12-15,56700,58700,56700,58500,1412,264668.0,4524247.0
2004-12-16,57700,59300,57700,58900,1190,266478.0,4524247.0
2004-12-17,58800,59000,58000,59000,1380,266931.0,4524247.0
2004-12-20,58800,58800,57100,58500,3360,264668.0,4524247.0
2004-12-21,57800,59300,57800,59300,3280,268288.0,4524247.0
2004-12-22,58800,59300,58100,58500,2487,264668.0,4524247.0
2004-12-23,58500,58500,57300,57500,7783,260144.0,4524247.0
2004-12-24,57800,58100,57000,57000,2327,257882.0,4524247.0
2004-12-27,57000,57800,56600,57800,1110,261501.0,4524247.0
2004-12-28,57800,58800,57800,58600,1441,265121.0,4524247.0
2004-12-29,58200,58200,57700,58000,780,262406.0,4524247.0
2004-12-30,57900,59000,57900,58700,1370,265573.0,4524247.0
2005-01-03,58800,59200,58500,59000,1490,266931.0,4524247.0
2005-01-04,59200,59400,58000,58700,1977,265573.0,4524247.0
2005-01-05,58600,59000,58300,58500,1530,264668.0,4524247.0
2005-01-06,58300,58400,57600,57600,2180,260597.0,4524247.0
2005-01-07,57600,57700,56800,57000,2666,257882.0,4524247.0
2005-01-10,58500,58500,56000,56400,2178,255168.0,4524247.0
2005-01-11,58500,58500,56000,56000,2940,253358.0,4524247.0
2005-01-12,56100,56100,54800,55000,8200,248834.0,4524247.0
2005-01-13,55100,55500,55100,55500,4800,251096.0,4524247.0
2005-01-14,54800,55900,54800,55500,5790,251096.0,4524247.0
2005-01-17,55500,55600,54800,55500,5694,251096.0,4524247.0
2005-01-18,55500,55800,55000,55500,4582,251096.0,4524247.0
2005-01-19,56000,56100,55200,55200,2098,249738.0,4524247.0
2005-01-20,54900,55500,54900,55500,4092,251096.0,4524247.0
2005-01-21,55500,56000,55000,56000,10077,253358.0,4524247.0
2005-01-24,56500,56500,55100,55400,6811,250643.0,4524247.0
2005-01-25,55800,55800,55000,55000,7879,248834.0,4524247.0
2005-01-26,55200,55800,55000,55000,8009,248834.0,4524247.0
2005-01-27,55000,55400,52800,55400,17420,250643.0,4524247.0
2005-01-28,56000,56000,55400,55600,2970,251548.0,4524247.0
2005-01-31,56000,58800,55800,58400,24670,264216.0,4524247.0
2005-02-01,57600,60800,57600,60200,16140,272360.0,4524247.0
2005-02-02,60300,63000,60300,63000,24330,285028.0,4524247.0
2005-02-03,64000,64000,62400,63000,4562,285028.0,4524247.0
2005-02-04,62500,64200,62000,64100,4712,290004.0,4524247.0
2005-02-07,64100,66100,64100,66000,11416,298600.0,4524247.0
2005-02-11,65300,66500,65300,66500,6344,300862.0,4524247.0
2005-02-14,66500,67500,65600,66700,14240,301767.0,4524247.0
2005-02-15,67000,67600,66000,66000,17110,298600.0,4524247.0
2005-02-16,66000,68500,65000,68500,8368,309911.0,4524247.0
2005-02-17,68500,69000,67300,68900,5680,311721.0,4524247.0
2005-02-18,69400,70300,69400,70000,26461,316697.0,4524247.0
2005-02-21,71000,73000,68100,71000,17021,321222.0,4524247.0
2005-02-22,71000,71500,70000,70500,7071,318959.0,4524247.0
2005-02-23,66000,71400,66000,70600,4240,319412.0,4524247.0
2005-02-24,71400,72200,71000,72200,4860,326651.0,4524247.0
2005-02-25,71000,73300,70700,72000,5630,325746.0,4524247.0
2005-02-28,71300,72700,71000,71400,3840,323031.0,4524247.0
2005-03-02,71600,72500,71000,71500,7960,323484.0,4524247.0
2005-03-03,70700,72800,70500,72000,6430,325746.0,4524247.0
2005-03-04,72000,76500,72000,76500,15810,346105.0,4524247.0
2005-03-07,77100,79200,76600,77000,14160,348367.0,4524247.0
2005-03-08,77900,78000,75500,77000,9339,348367.0,4524247.0
2005-03-09,78000,79000,76400,78000,8551,352891.0,4524247.0
2005-03-10,78000,80500,77600,80000,10114,361940.0,4524247.0
2005-03-11,84400,84800,82100,84000,9456,380037.0,4524247.0
2005-03-14,84500,87800,84000,87000,17224,393609.0,4524247.0
2005-03-15,88900,88900,84000,85000,12283,384561.0,4524247.0
2005-03-16,83200,85700,83100,85000,8430,384561.0,4524247.0
2005-03-17,84000,84000,80300,80900,5390,366012.0,4524247.0
2005-03-18,80100,84000,80100,81000,18870,366464.0,4524247.0
2005-03-21,82600,89500,82500,84800,28077,383656.0,4524247.0
2005-03-22,85400,85900,82100,83400,12160,377322.0,4524247.0
2005-03-23,82000,83500,80000,81900,12371,370536.0,4524247.0
2005-03-24,81000,81800,79900,80000,11250,361940.0,4524247.0
2005-03-25,80000,82300,79400,82000,8670,370988.0,4524247.0
2005-03-28,80800,83000,80800,82000,6832,370988.0,4524247.0
2005-03-29,81500,81600,80000,80500,6804,364202.0,4524247.0
2005-03-30,79300,81100,79300,80900,5550,366012.0,4524247.0
2005-03-31,81100,82000,80800,82000,5790,370988.0,4524247.0
2005-04-01,81900,83500,81200,83000,9260,375513.0,4524247.0
2005-04-04,82000,82000,81500,81800,3481,370083.0,4524247.0
2005-04-06,81800,81800,79300,80500,7299,364202.0,4524247.0
2005-04-07,79500,80000,78700,79100,5121,357868.0,4524247.0
2005-04-08,79100,80000,79100,79100,4540,357868.0,4524247.0
2005-04-11,79100,79900,78600,79300,1140,358773.0,4524247.0
2005-04-12,78000,80500,78000,79200,2411,358320.0,4524247.0
2005-04-13,79200,80300,78500,78900,5690,356963.0,4524247.0
