KB금융(105560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-23,61200,61700,60100,61400,1403848,23721994.0,386351693.0
2009-09-24,61400,61800,60300,60600,1566517,23412913.0,386351693.0
2009-09-25,60600,60800,58400,59500,1765829,22987926.0,386351693.0
2009-09-28,59100,59100,57700,58300,1385766,22524304.0,386351693.0
2009-09-29,59000,59800,58600,59800,1240883,23103831.0,386351693.0
2009-09-30,60200,61200,59200,60500,1963026,23374277.0,386351693.0
2009-10-01,60600,61400,59900,60600,1520997,23412913.0,386351693.0
2009-10-05,59100,60200,58000,58600,2477008,22640209.0,386351693.0
2009-10-06,59300,59400,56900,57700,2091509,22292493.0,386351693.0
2009-10-07,58300,60000,58300,59700,1773190,23065196.0,386351693.0
2009-10-08,60700,61400,60300,60500,3050193,23374277.0,386351693.0
2009-10-09,60700,61900,60200,61600,1441203,23799264.0,386351693.0
2009-10-12,61700,62300,59900,60300,1357385,23297007.0,386351693.0
2009-10-13,60200,61000,58700,60100,1517319,23219737.0,386351693.0
2009-10-14,60000,61000,59300,60400,1336361,23335642.0,386351693.0
2009-10-15,61000,62000,60700,61000,1571213,23567453.0,386351693.0
2009-10-16,61000,62600,61000,61200,2006511,23644724.0,386351693.0
2009-10-19,62400,62600,60700,61900,5346340,23915170.0,386351693.0
2009-10-20,63700,63800,62600,63000,1060768,24340157.0,386351693.0
2009-10-21,63300,63400,62200,62900,1320637,24301521.0,386351693.0
2009-10-22,62100,64100,61100,61700,1895573,23837899.0,386351693.0
2009-10-23,62000,62600,61200,62000,874358,23953805.0,386351693.0
2009-10-26,61200,63100,61200,62400,977085,24108346.0,386351693.0
2009-10-27,61700,63100,61700,62500,789474,24146981.0,386351693.0
2009-10-28,62500,62700,60100,61300,1774822,23683359.0,386351693.0
2009-10-29,60400,60600,59100,59700,1746737,23065196.0,386351693.0
2009-10-30,60400,60400,58100,58800,2454344,22717480.0,386351693.0
2009-11-02,57100,58500,56900,58400,1476369,22562939.0,386351693.0
2009-11-03,57600,58100,57000,57100,1295697,22060682.0,386351693.0
2009-11-04,57400,58900,56600,58100,1356915,22447033.0,386351693.0
2009-11-05,57600,58300,57300,57900,857143,22369763.0,386351693.0
2009-11-06,59400,59700,58500,58900,901338,22756115.0,386351693.0
2009-11-09,58300,60100,58300,59000,725498,22794750.0,386351693.0
2009-11-10,59800,60300,59000,59300,1337695,22910655.0,386351693.0
2009-11-11,60000,60000,58600,59200,1101585,22872020.0,386351693.0
2009-11-12,59300,59500,57800,57800,1191388,22331128.0,386351693.0
2009-11-13,58400,59800,57800,59500,1582338,22987926.0,386351693.0
2009-11-16,59500,59800,58100,59700,1392546,23065196.0,386351693.0
2009-11-17,60000,61500,59600,60600,1776007,23412913.0,386351693.0
2009-11-18,60900,62200,60900,61300,1437504,23683359.0,386351693.0
2009-11-19,62000,63100,61600,62400,1747770,24108346.0,386351693.0
2009-11-20,61900,63200,61700,62300,854028,24069710.0,386351693.0
2009-11-23,63000,63300,62300,63200,1085189,24417427.0,386351693.0
2009-11-24,63000,63500,62200,62800,1130956,24262886.0,386351693.0
2009-11-25,62400,62600,61000,61700,1394754,23837899.0,386351693.0
2009-11-26,61000,61800,60200,60700,1221987,23451548.0,386351693.0
2009-11-27,58500,59100,55500,56400,3396326,21790235.0,386351693.0
2009-11-30,58000,59000,57500,58000,1739983,22408398.0,386351693.0
2009-12-01,58000,59900,57800,59000,1317985,22794750.0,386351693.0
2009-12-02,59400,60800,59100,60300,1221568,23297007.0,386351693.0
2009-12-03,59900,61000,59900,60800,696089,23490183.0,386351693.0
2009-12-04,60000,60800,59600,60700,904508,23451548.0,386351693.0
2009-12-07,60800,61200,60300,61000,619651,23567453.0,386351693.0
2009-12-08,60400,61200,60300,61000,585204,23567453.0,386351693.0
2009-12-09,60800,61200,60100,60800,874023,23490183.0,386351693.0
2009-12-10,61000,62600,59500,62600,2922821,24185616.0,386351693.0
2009-12-11,62000,62000,60800,61700,1580890,23837899.0,386351693.0
2009-12-14,61700,61800,60900,61200,1087430,23644724.0,386351693.0
2009-12-15,61700,62800,61500,62400,2302339,24108346.0,386351693.0
2009-12-16,62200,62900,61400,62200,1043422,24031075.0,386351693.0
2009-12-17,61600,62200,60600,60800,1491413,23490183.0,386351693.0
2009-12-18,60000,60300,58300,59000,3321885,22794750.0,386351693.0
2009-12-21,59000,59000,58100,58400,1275089,22562939.0,386351693.0
2009-12-22,59100,59200,58600,58900,793617,22756115.0,386351693.0
2009-12-23,58700,59200,57900,58700,1401666,22678844.0,386351693.0
2009-12-24,58300,60600,58200,59700,1815758,23065196.0,386351693.0
2009-12-28,59500,60800,59100,60300,1437168,23297007.0,386351693.0
2009-12-29,60200,60300,58100,59500,1222385,22987926.0,386351693.0
2009-12-30,58200,59700,58100,59700,1118610,23065196.0,386351693.0
2010-01-04,59700,60100,58500,59400,1201665,22949291.0,386351693.0
2010-01-05,59100,59300,58200,58700,2282248,22678844.0,386351693.0
2010-01-06,58300,59300,58300,58500,1689604,22601574.0,386351693.0
2010-01-07,58600,58900,57500,57800,1383548,22331128.0,386351693.0
2010-01-08,58000,58400,57300,57900,1219998,22369763.0,386351693.0
2010-01-11,58000,59800,57400,59100,1955627,22833385.0,386351693.0
2010-01-12,59200,59300,58400,58800,1015860,22717480.0,386351693.0
2010-01-13,58200,58300,57500,57700,1589853,22292493.0,386351693.0
2010-01-14,57300,57900,57000,57400,2561683,22176587.0,386351693.0
2010-01-15,57800,58000,56700,57300,1441121,22137952.0,386351693.0
2010-01-18,56500,56700,55300,55900,3178407,21597060.0,386351693.0
2010-01-19,56200,56800,55900,56500,1336745,21828871.0,386351693.0
2010-01-20,56700,56900,55500,55900,2420886,21597060.0,386351693.0
2010-01-21,55400,56400,55100,56200,1312856,21712965.0,386351693.0
2010-01-22,55100,55500,53600,54100,2889566,20901627.0,386351693.0
2010-01-25,52500,53300,52100,52700,1939109,20360734.0,386351693.0
2010-01-26,53000,53700,51400,51800,1856657,20013018.0,386351693.0
2010-01-27,51800,52200,49650,49650,3960161,19182362.0,386351693.0
2010-01-28,49650,52300,49350,52300,3781399,20206194.0,386351693.0
2010-01-29,51500,52400,50600,50600,1425923,19549396.0,386351693.0
2010-02-01,51300,52400,50500,51900,1537771,20051653.0,386351693.0
2010-02-02,53000,53000,51300,52200,1485613,20167558.0,386351693.0
2010-02-03,52500,52600,51400,52100,1746261,20128923.0,386351693.0
2010-02-04,52000,52600,50300,50400,2269714,19472125.0,386351693.0
2010-02-05,48450,48850,47000,47000,3197313,18158530.0,386351693.0
2010-02-08,47500,47500,45550,45900,3081095,17733543.0,386351693.0
2010-02-09,46500,48600,46350,48350,3293995,18680104.0,386351693.0
2010-02-10,48950,50000,48750,48850,2423010,18873280.0,386351693.0
2010-02-11,48900,51200,48900,51000,2381197,19703936.0,386351693.0
2010-02-12,51300,51600,49850,51000,1811975,19703936.0,386351693.0
2010-02-16,50300,50800,49950,50000,982691,19317585.0,386351693.0
2010-02-17,51500,52500,51100,52500,1558701,20283464.0,386351693.0
2010-02-18,52400,53100,51700,52000,1031904,20090288.0,386351693.0
2010-02-19,51100,52000,49950,50200,1612483,19394855.0,386351693.0
2010-02-22,51400,52400,51200,51600,1194203,19935747.0,386351693.0
2010-02-23,51700,52000,50700,51700,902682,19974383.0,386351693.0
2010-02-24,51100,51700,50600,51000,648088,19703936.0,386351693.0
2010-02-25,50600,50800,48900,48950,2555291,18911915.0,386351693.0
2010-02-26,49450,49500,48100,48750,1376915,18834645.0,386351693.0
2010-03-02,49000,49750,48750,49100,1692288,18969868.0,386351693.0
2010-03-03,49300,49900,49100,49900,1257208,19278949.0,386351693.0
2010-03-04,50400,51400,50100,50500,1488949,19510760.0,386351693.0
2010-03-05,51000,51300,50200,50700,1353831,19588031.0,386351693.0
2010-03-08,52000,52500,51600,52500,2187330,20283464.0,386351693.0
2010-03-09,52500,52900,51900,52800,971292,20399369.0,386351693.0
2010-03-10,52500,52600,51800,52100,1163606,20128923.0,386351693.0
2010-03-11,52700,52800,51900,51900,1649419,20051653.0,386351693.0
2010-03-12,52400,53200,51700,52000,1929194,20090288.0,386351693.0
2010-03-15,51700,52100,50400,51100,1692893,19742572.0,386351693.0
2010-03-16,51400,51800,51000,51300,1118724,19819842.0,386351693.0
2010-03-17,51700,53600,51100,53300,2577891,20592545.0,386351693.0
2010-03-18,52800,53900,52300,52600,1859452,20322099.0,386351693.0
2010-03-19,53100,53600,52500,52900,1139276,20438005.0,386351693.0
2010-03-22,52600,52800,52000,52000,930863,20090288.0,386351693.0
2010-03-23,52300,52900,52200,52400,830707,20244829.0,386351693.0
2010-03-24,52800,53200,51400,52000,1051716,20090288.0,386351693.0
2010-03-25,52700,53100,52200,52800,1263899,20399369.0,386351693.0
2010-03-26,53000,53500,52200,53400,1240739,20631180.0,386351693.0
2010-03-29,52800,53400,52400,52800,1010944,20399369.0,386351693.0
2010-03-30,53400,54300,53100,54300,1789662,20978897.0,386351693.0
2010-03-31,54500,54900,53900,54600,1333839,21094802.0,386351693.0
2010-04-01,54500,55500,54300,54900,1426377,21210708.0,386351693.0
2010-04-02,55600,55600,54300,54800,1095311,21172073.0,386351693.0
2010-04-05,54900,54900,53600,54400,1277228,21017532.0,386351693.0
2010-04-06,54700,54900,54300,54600,963208,21094802.0,386351693.0
2010-04-07,54600,54700,52300,53000,3781766,20476640.0,386351693.0
2010-04-08,52300,52800,51700,52300,2378334,20206194.0,386351693.0
2010-04-09,52700,53700,51600,52300,2734940,20206194.0,386351693.0
2010-04-12,52500,53800,52100,53600,2379293,20708451.0,386351693.0
2010-04-13,54000,54100,52900,53300,1067000,20592545.0,386351693.0
