롯데정보통신(286940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-20,35000,36200,34300,35350,65631,505010.0,14286000.0
2018-12-21,34950,35900,34500,34750,34504,496438.0,14286000.0
2018-12-24,34600,35000,33800,34450,38070,492153.0,14286000.0
2018-12-26,34200,34750,33300,34500,45271,492867.0,14286000.0
2018-12-27,34950,35450,34100,34400,32588,491438.0,14286000.0
2018-12-28,34650,35600,34300,35400,57381,505724.0,14286000.0
2019-01-02,35600,37400,35600,36500,102336,521439.0,14286000.0
2019-01-03,36700,36700,36050,36500,21130,521439.0,14286000.0
2019-01-04,36400,37350,35900,37000,46445,528582.0,14286000.0
2019-01-07,37000,37700,36550,37350,48682,533582.0,14286000.0
2019-01-08,36900,37200,35100,35650,79641,509296.0,14286000.0
2019-01-09,35650,37300,35200,37250,87285,532154.0,14286000.0
2019-01-10,37000,39800,36650,38000,175860,542868.0,14286000.0
2019-01-11,37950,40000,37650,40000,158054,571440.0,14286000.0
2019-01-14,39950,41950,39200,41300,195857,590012.0,14286000.0
2019-01-15,41700,43600,39600,40700,296331,581440.0,14286000.0
2019-01-16,40200,41450,39700,40200,114500,574297.0,14286000.0
2019-01-17,40200,40200,38750,39450,147841,563583.0,14286000.0
2019-01-18,39800,41600,38400,41250,109085,589298.0,14286000.0
2019-01-21,41200,41500,39050,39500,146173,564297.0,14286000.0
2019-01-22,39350,39350,37900,38100,123822,544297.0,14286000.0
2019-01-23,38200,39600,38150,38800,81631,554297.0,14286000.0
2019-01-24,38800,41000,38550,40450,140723,577869.0,14286000.0
2019-01-25,40450,40950,38850,38950,144680,556440.0,14286000.0
2019-01-28,38650,38800,36600,38300,359423,547154.0,14286000.0
2019-01-29,38300,38300,37200,37600,68568,537154.0,14286000.0
2019-01-30,37500,38350,37300,38050,68716,543582.0,14286000.0
2019-01-31,38050,38400,37850,38300,61637,547154.0,14286000.0
2019-02-01,37950,38300,37100,37700,92854,538582.0,14286000.0
2019-02-07,37700,39400,37300,39000,116340,557154.0,14286000.0
2019-02-08,38950,39050,38100,38800,40853,554297.0,14286000.0
2019-02-11,38600,38850,38000,38550,44106,550725.0,14286000.0
2019-02-12,39500,40500,38350,38500,226272,550011.0,14286000.0
2019-02-13,38800,38800,37450,38050,103371,543582.0,14286000.0
2019-02-14,38400,39950,37700,39800,127907,568583.0,14286000.0
2019-02-15,39850,40000,38650,39300,93556,561440.0,14286000.0
2019-02-18,39300,40150,38850,39750,87578,567868.0,14286000.0
2019-02-19,40800,41350,39800,40850,95826,583583.0,14286000.0
2019-02-20,41100,41800,40950,41200,62901,588583.0,14286000.0
2019-02-21,41400,43300,40300,43150,136201,616441.0,14286000.0
2019-02-22,43100,43450,41700,42300,130285,604298.0,14286000.0
2019-02-25,42500,43950,42100,43100,112026,615727.0,14286000.0
2019-02-26,43500,46000,43300,44450,263265,635013.0,14286000.0
2019-02-27,44500,45900,44250,44600,106370,637156.0,14286000.0
2019-02-28,44500,44850,43650,44300,80333,632870.0,14286000.0
2019-03-04,44750,45600,44250,45450,96228,649299.0,14286000.0
2019-03-05,46150,47600,45350,47050,146894,672156.0,14286000.0
2019-03-06,47800,48600,45550,45600,184283,651442.0,14286000.0
2019-03-07,45700,47200,45300,45950,175835,656442.0,14286000.0
2019-03-08,45900,47450,45450,46800,115158,668585.0,14286000.0
2019-03-11,47300,47550,45750,47100,83913,672871.0,14286000.0
2019-03-12,48000,48700,45550,45900,146987,655727.0,14286000.0
2019-03-13,45750,46700,45100,45600,58047,651442.0,14286000.0
2019-03-14,45450,46250,44600,46250,114567,660728.0,14286000.0
2019-03-15,46250,46300,45050,45500,111109,650013.0,14286000.0
2019-03-18,45500,45900,44850,44850,69519,640727.0,14286000.0
2019-03-19,45500,46800,44850,45250,140732,646442.0,14286000.0
2019-03-20,45300,51500,45300,49600,225949,708586.0,14286000.0
2019-03-21,49900,49900,47400,48300,119004,690014.0,14286000.0
2019-03-22,48300,48600,46200,46750,101318,667870.0,14286000.0
2019-03-25,46200,47400,44950,46600,98648,665728.0,14286000.0
2019-03-26,46600,47600,45950,47600,65842,680014.0,14286000.0
2019-03-27,47600,48450,46650,48000,74014,685728.0,14286000.0
2019-03-28,48000,51000,47500,49300,205906,704300.0,14286000.0
2019-03-29,49050,50400,47300,49350,95075,705014.0,14286000.0
2019-04-01,49850,50800,48800,48800,87089,697157.0,14286000.0
2019-04-02,49200,50200,48650,49450,57690,706443.0,14286000.0
2019-04-03,49700,50300,49100,49800,66086,711443.0,14286000.0
2019-04-04,49900,50000,49300,49700,43120,710014.0,14286000.0
2019-04-05,49500,50600,49300,49700,57565,710014.0,14286000.0
2019-04-08,50200,50200,47800,48300,100970,690014.0,14286000.0
2019-04-09,48450,49000,47900,48850,45661,697871.0,14286000.0
2019-04-10,49150,49900,48700,49800,58856,711443.0,14286000.0
2019-04-11,50000,50500,49100,50300,85451,718586.0,14286000.0
2019-04-12,50300,51400,49800,50900,61568,727157.0,14286000.0
2019-04-15,51500,51600,50100,51100,47017,730015.0,14286000.0
2019-04-16,50800,51400,50100,51000,34020,728586.0,14286000.0
2019-04-17,50600,52400,50600,51300,38239,732872.0,14286000.0
2019-04-18,51700,51800,49500,51200,66551,731443.0,14286000.0
2019-04-19,51200,51200,49850,50000,40066,714300.0,14286000.0
2019-04-22,50200,50400,49050,49650,40381,709300.0,14286000.0
2019-04-23,49800,49800,48300,48600,65987,694300.0,14286000.0
2019-04-24,48700,49400,48300,48900,35355,698585.0,14286000.0
2019-04-25,48900,49200,47200,49200,26572,702871.0,14286000.0
2019-04-26,49150,49150,46600,46650,92984,666442.0,14286000.0
2019-04-29,47600,47700,46750,47350,29816,676442.0,14286000.0
2019-04-30,47350,47350,46750,46850,27391,669299.0,14286000.0
2019-05-02,46600,49750,46600,49750,101488,710728.0,14286000.0
2019-05-03,48800,48800,45050,46700,273930,667156.0,14286000.0
2019-05-07,46300,46300,45050,45600,82857,651442.0,14286000.0
2019-05-08,45550,47950,44750,47500,104396,678585.0,14286000.0
2019-05-09,47500,48700,47450,48350,70956,690728.0,14286000.0
2019-05-10,47650,48950,47100,48600,41103,694300.0,14286000.0
2019-05-13,47650,49500,47350,49000,77212,700014.0,14286000.0
2019-05-14,48000,49000,47900,48950,22843,699300.0,14286000.0
2019-05-15,49300,49300,47850,47900,50668,684299.0,14286000.0
2019-05-16,48000,49100,47150,48650,34260,695014.0,14286000.0
2019-05-17,48500,49150,47750,47800,19872,682871.0,14286000.0
2019-05-20,47700,47700,46250,46250,41629,660728.0,14286000.0
2019-05-21,45700,46550,45250,45800,23768,654299.0,14286000.0
2019-05-22,45800,46450,45750,46300,10603,661442.0,14286000.0
2019-05-23,46200,46650,45350,45400,25371,648584.0,14286000.0
2019-05-24,44900,46300,44600,46000,38681,657156.0,14286000.0
2019-05-27,45550,46500,44150,44700,65397,638584.0,14286000.0
2019-05-28,44950,45950,44650,45200,58316,645727.0,14286000.0
2019-05-29,45200,46000,44300,44750,44935,639298.0,14286000.0
2019-05-30,44500,45200,43200,43450,64975,620727.0,14286000.0
2019-05-31,43400,44050,43200,43200,32514,617155.0,14286000.0
2019-06-03,43200,43900,43000,43700,42932,624298.0,14286000.0
2019-06-04,44350,44350,43700,43700,19942,624298.0,14286000.0
2019-06-05,44300,44550,43800,43850,19448,626441.0,14286000.0
2019-06-07,44000,44400,43250,43350,47269,619298.0,14286000.0
2019-06-10,43550,44450,43500,44450,39430,635013.0,14286000.0
2019-06-11,44450,46900,44350,46450,41837,663585.0,14286000.0
2019-06-12,46000,47350,45850,47150,49472,673585.0,14286000.0
2019-06-13,47200,47300,46150,47000,34072,671442.0,14286000.0
2019-06-14,47150,47150,45800,46000,37426,657156.0,14286000.0
2019-06-17,45250,46050,44200,44250,41494,632156.0,14286000.0
2019-06-18,44250,44950,43850,44100,54878,630013.0,14286000.0
2019-06-19,44250,44300,42500,43050,85830,615012.0,14286000.0
2019-06-20,43200,43300,41500,41950,172342,599298.0,14286000.0
2019-06-21,42050,42300,40450,41150,121667,587869.0,14286000.0
2019-06-24,41150,42250,40100,41550,75737,593583.0,14286000.0
2019-06-25,41250,41800,40750,41500,55232,592869.0,14286000.0
2019-06-26,41400,41500,40200,40200,63127,574297.0,14286000.0
2019-06-27,40550,42250,40300,41750,66860,596440.0,14286000.0
2019-06-28,41750,41800,40550,41050,44585,586440.0,14286000.0
2019-07-01,41100,42000,39000,40050,133467,572154.0,14286000.0
2019-07-02,41700,41700,39800,40250,41036,575012.0,14286000.0
2019-07-03,40250,41500,40250,40450,37211,577869.0,14286000.0
2019-07-04,40500,40650,39750,40050,18262,572154.0,14286000.0
2019-07-05,40150,41300,40100,40950,32481,585012.0,14286000.0
2019-07-08,40950,40950,39600,39600,26871,565726.0,14286000.0
2019-07-09,39600,40200,39100,39100,19873,558583.0,14286000.0
2019-07-10,39000,40450,39000,39900,33644,570011.0,14286000.0
2019-07-11,39950,40900,39850,40700,18127,581440.0,14286000.0
2019-07-12,40250,40950,39500,39850,26876,569297.0,14286000.0
2019-07-15,39850,39850,37800,38200,58195,545725.0,14286000.0
2019-07-16,38450,42250,38400,41350,159935,590726.0,14286000.0
2019-07-17,40550,41950,40550,41600,55728,640487.0,15396331.0
2019-07-18,42000,43850,42000,43150,142588,664352.0,15396331.0
2019-07-19,43150,43950,41150,43400,75287,668201.0,15396331.0
2019-07-22,42550,43250,42400,42950,16858,661272.0,15396331.0
2019-07-23,42950,43300,41500,41750,52617,642797.0,15396331.0
2019-07-24,41700,42350,40900,41650,33134,641257.0,15396331.0
2019-07-25,41100,41700,40300,41600,57185,640487.0,15396331.0
2019-07-26,40550,42400,40550,42050,41648,647416.0,15396331.0
2019-07-29,41900,41900,38100,40750,77102,627400.0,15396331.0
2019-07-30,40750,41750,40050,41450,30188,638178.0,15396331.0
2019-07-31,40700,42300,40700,42000,39568,646646.0,15396331.0
2019-08-01,42200,42200,40100,40300,46777,620472.0,15396331.0
2019-08-02,39400,41200,39100,40200,31030,618933.0,15396331.0
2019-08-05,39500,40050,36400,37200,90230,572744.0,15396331.0
2019-08-06,36400,39500,36250,38950,103243,599687.0,15396331.0
2019-08-07,38950,39500,37600,38450,39626,591989.0,15396331.0
2019-08-08,39400,41050,38650,39500,65015,608155.0,15396331.0
2019-08-09,41650,42200,40700,41300,105496,635868.0,15396331.0
2019-08-12,41750,41750,40500,41250,39036,635099.0,15396331.0
2019-08-13,41200,41250,39950,40700,44284,626631.0,15396331.0
2019-08-14,40600,42000,40600,41750,52130,642797.0,15396331.0
2019-08-16,41300,41500,40500,40700,19039,626631.0,15396331.0
2019-08-19,41000,41000,40050,40100,16902,617393.0,15396331.0
2019-08-20,40600,40800,40150,40550,10934,624321.0,15396331.0
2019-08-21,40150,40750,39900,40300,23305,620472.0,15396331.0
2019-08-22,40350,42000,40350,41700,74661,642027.0,15396331.0
2019-08-23,41200,42250,40600,41950,48625,645876.0,15396331.0
2019-08-26,41000,41950,40550,40750,32993,627400.0,15396331.0
2019-08-27,41300,42600,40750,42600,52943,655884.0,15396331.0
2019-08-28,42250,44150,42150,43750,73515,673589.0,15396331.0
2019-08-29,43600,43700,42350,43150,21715,664352.0,15396331.0
2019-08-30,43100,43250,42350,43100,33279,663582.0,15396331.0
2019-09-02,43100,43950,42700,43200,22681,665121.0,15396331.0
2019-09-03,43050,43100,41450,41800,32302,643567.0,15396331.0
2019-09-04,41850,44350,41850,43800,69439,674359.0,15396331.0
2019-09-05,44350,44550,43850,44300,38154,682057.0,15396331.0
2019-09-06,44700,44750,43350,43850,20174,675129.0,15396331.0
2019-09-09,44000,44050,42050,42550,60362,655114.0,15396331.0
2019-09-10,42100,43350,41850,42300,31401,651265.0,15396331.0
2019-09-11,42250,42750,41800,42000,29567,646646.0,15396331.0
2019-09-16,42400,42400,41500,42000,28392,646646.0,15396331.0
2019-09-17,41700,41700,41100,41500,52468,638948.0,15396331.0
2019-09-18,41650,43000,41500,42700,55390,657423.0,15396331.0
2019-09-19,42700,43150,42300,42400,26785,652804.0,15396331.0
2019-09-20,42450,42800,41600,42550,9628,655114.0,15396331.0
2019-09-23,42750,42750,41950,42650,19699,656654.0,15396331.0
2019-09-24,42300,42750,42100,42350,23279,652035.0,15396331.0
2019-09-25,42400,43950,42300,43550,54419,670510.0,15396331.0
2019-09-26,43800,45000,43450,44900,68858,691295.0,15396331.0
2019-09-27,44600,45050,43850,44400,36493,683597.0,15396331.0
2019-09-30,44100,46100,44100,45400,53796,698993.0,15396331.0
2019-10-01,45400,46200,44950,46000,43109,708231.0,15396331.0
2019-10-02,46100,46100,44200,45600,45128,702073.0,15396331.0
2019-10-04,45500,45700,44500,45500,30326,700533.0,15396331.0
2019-10-07,45050,45700,44300,44300,23681,682057.0,15396331.0
