SK디앤디(210980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-25,32885,33285,32684,33152,9632,535269.0,10770000.0
2016-08-26,33285,33318,32818,32852,5575,530422.0,10770000.0
2016-08-29,32551,32885,32017,32418,11380,523422.0,10770000.0
2016-08-30,32117,33251,32017,33185,10998,535808.0,10770000.0
2016-08-31,32785,33251,32218,32885,9767,530961.0,10770000.0
2016-09-01,32484,33485,32384,33219,13294,536346.0,10770000.0
2016-09-02,33018,33618,32785,33552,9851,541731.0,10770000.0
2016-09-05,33552,33752,33352,33419,10352,539577.0,10770000.0
2016-09-06,33185,33752,32885,33119,11574,534730.0,10770000.0
2016-09-07,32885,33285,32718,32885,11916,530961.0,10770000.0
2016-09-08,32785,32885,32218,32518,11816,525038.0,10770000.0
2016-09-09,32184,32618,32017,32285,12098,521268.0,10770000.0
2016-09-12,31384,32451,31384,32418,13724,523422.0,10770000.0
2016-09-13,32051,32418,31417,32418,32654,523422.0,10770000.0
2016-09-19,32384,32751,31817,32151,15295,519114.0,10770000.0
2016-09-20,31917,32518,31784,32351,9467,522345.0,10770000.0
2016-09-21,32484,32484,31884,32151,12850,519114.0,10770000.0
2016-09-22,32084,32618,32017,32151,13245,519114.0,10770000.0
2016-09-23,32484,32684,32084,32652,8223,527192.0,10770000.0
2016-09-26,32818,32951,32318,32718,5549,528268.0,10770000.0
2016-09-27,32751,32885,32218,32552,9383,525576.0,10770000.0
2016-09-28,32551,32818,32218,32585,9261,526114.0,10770000.0
2016-09-29,32551,32684,32218,32285,9968,521268.0,10770000.0
2016-09-30,32218,32218,31517,31551,12475,509421.0,10770000.0
2016-10-04,31551,32084,31551,31651,5082,511036.0,10770000.0
2016-10-05,31951,31951,30550,31017,25299,500805.0,10770000.0
2016-10-06,31017,31551,29816,30784,28289,497036.0,10770000.0
2016-10-07,30717,30717,29183,29283,38179,472803.0,10770000.0
2016-10-10,29316,29649,28549,28883,21146,466341.0,10770000.0
2016-10-11,28916,29149,28415,29083,24638,469572.0,10770000.0
2016-10-12,28749,29716,28749,29250,13666,472264.0,10770000.0
2016-10-13,29183,29483,28682,29216,7766,471726.0,10770000.0
2016-10-14,29049,29649,28949,29450,3878,475496.0,10770000.0
2016-10-17,29683,29683,28849,28916,7986,466880.0,10770000.0
2016-10-18,28682,28916,28449,28549,9697,460956.0,10770000.0
2016-10-19,28482,28649,27615,27682,19784,446955.0,10770000.0
2016-10-20,27448,27748,26681,27182,30348,438878.0,10770000.0
2016-10-21,26815,27548,26681,26682,8536,430800.0,10770000.0
2016-10-24,27181,28882,26881,28149,21759,454494.0,10770000.0
2016-10-25,28449,30183,28449,30050,32041,485188.0,10770000.0
2016-10-26,30083,30350,29316,30217,16120,487881.0,10770000.0
2016-10-27,30016,30683,29583,30484,9611,492189.0,10770000.0
2016-10-28,30283,30883,30283,30684,7934,495420.0,10770000.0
2016-10-31,31017,31084,30316,30817,9053,497574.0,10770000.0
2016-11-01,30016,30984,29883,30751,8503,496497.0,10770000.0
2016-11-02,30350,30817,30283,30350,6579,490035.0,10770000.0
2016-11-03,30350,30683,30016,30317,8284,489496.0,10770000.0
2016-11-04,30050,30650,29816,29983,4680,484112.0,10770000.0
2016-11-07,30483,30717,29983,30317,6982,489496.0,10770000.0
2016-11-08,30383,30617,29983,30517,1792,492728.0,10770000.0
2016-11-09,30517,30617,27815,30450,15744,491650.0,10770000.0
2016-11-10,30683,31150,30050,30350,19088,490035.0,10770000.0
2016-11-11,30083,30917,30083,30550,10244,493266.0,10770000.0
2016-11-14,30316,30617,30116,30517,6740,492728.0,10770000.0
2016-11-15,30083,30350,29549,30350,8051,490035.0,10770000.0
2016-11-16,30150,30417,29683,29883,4793,482496.0,10770000.0
2016-11-17,30050,30050,29583,29750,2271,480342.0,10770000.0
2016-11-18,30083,30183,28816,28816,11848,465264.0,10770000.0
2016-11-21,28382,29082,28049,28349,6477,457725.0,10770000.0
2016-11-22,28182,28682,27615,28049,10690,452878.0,10770000.0
2016-11-23,28149,28215,27748,27816,4410,449109.0,10770000.0
2016-11-24,27848,27882,26915,26948,17185,435108.0,10770000.0
2016-11-25,27382,27948,27015,27215,9550,439416.0,10770000.0
2016-11-28,27615,29149,27615,28516,20913,460418.0,10770000.0
2016-11-29,28415,30150,28415,30150,13810,486804.0,10770000.0
2016-11-30,30016,30850,29816,30851,7994,498112.0,10770000.0
2016-12-01,30350,31384,30016,31184,11646,503498.0,10770000.0
2016-12-02,30717,31450,30717,31318,4796,505652.0,10770000.0
2016-12-05,31584,31651,31050,31284,5785,505113.0,10770000.0
2016-12-06,31184,31284,30550,31017,6585,500805.0,10770000.0
2016-12-07,31884,31917,30950,30984,12323,500266.0,10770000.0
2016-12-08,31617,31617,30016,30617,14757,494343.0,10770000.0
2016-12-09,30617,30750,30183,30384,10723,490574.0,10770000.0
2016-12-12,30483,30717,29883,30684,10163,495420.0,10770000.0
2016-12-13,30683,30883,30116,30150,13982,486804.0,10770000.0
2016-12-14,30183,31517,30183,31184,32862,503498.0,10770000.0
2016-12-15,31384,31384,30517,30917,15810,499190.0,10770000.0
2016-12-16,30917,31250,30316,30917,11802,499190.0,10770000.0
2016-12-19,30883,31317,30583,30717,12812,495958.0,10770000.0
2016-12-20,30783,30783,30116,30150,12182,486804.0,10770000.0
2016-12-21,30250,30617,29549,30117,20517,486266.0,10770000.0
2016-12-22,30216,30216,29850,29950,7971,483573.0,10770000.0
2016-12-23,29950,30083,29816,29883,5878,482496.0,10770000.0
2016-12-26,29816,29983,29283,29283,13531,472803.0,10770000.0
2016-12-27,29383,29783,29082,29150,14073,470649.0,10770000.0
2016-12-28,29316,29683,29183,29583,5327,477650.0,10770000.0
2016-12-29,29750,29883,29116,29450,8109,475496.0,10770000.0
2017-01-02,29449,29816,29449,29683,4140,479265.0,10770000.0
2017-01-03,29983,29983,29216,29283,6268,472803.0,10770000.0
2017-01-04,29383,29449,28515,28516,13310,460418.0,10770000.0
2017-01-05,28682,28949,28182,28316,10717,457186.0,10770000.0
2017-01-06,28415,28415,27782,27782,14246,448570.0,10770000.0
2017-01-09,27948,27948,27382,27549,8770,444801.0,10770000.0
2017-01-10,27782,28449,27448,27916,9460,450724.0,10770000.0
2017-01-11,28149,28482,27915,28216,7438,455571.0,10770000.0
2017-01-12,28115,28382,27715,27749,6465,448032.0,10770000.0
2017-01-13,27748,27982,27548,27749,6495,448032.0,10770000.0
2017-01-16,27715,28049,27415,27615,6501,445878.0,10770000.0
2017-01-17,27415,27715,27281,27615,10712,445878.0,10770000.0
2017-01-18,27715,27715,27281,27482,6733,443724.0,10770000.0
2017-01-19,27582,27615,27148,27149,8235,438339.0,10770000.0
2017-01-20,27648,28849,27281,28116,14695,453956.0,10770000.0
2017-01-23,28015,28015,27248,27249,12906,439954.0,10770000.0
2017-01-24,27615,27615,27015,27082,8357,437262.0,10770000.0
2017-01-25,27081,27215,26414,26782,14724,432416.0,10770000.0
2017-01-26,26881,26948,26181,26315,19323,424876.0,10770000.0
2017-01-31,26348,26548,25747,26415,11085,426492.0,10770000.0
2017-02-01,26414,26981,26414,26848,7372,433492.0,10770000.0
2017-02-02,26414,27281,26414,27182,9021,438878.0,10770000.0
2017-02-03,27081,27548,26948,27282,6489,440493.0,10770000.0
2017-02-06,27115,27348,26581,26882,6980,434031.0,10770000.0
2017-02-07,26981,27015,26481,26615,9768,429723.0,10770000.0
2017-02-08,26681,26681,25981,26048,12030,420568.0,10770000.0
2017-02-09,26281,27315,25847,26015,50791,420030.0,10770000.0
2017-02-10,26014,26648,25947,26582,29324,429184.0,10770000.0
2017-02-13,26581,26581,25781,25981,36864,419492.0,10770000.0
2017-02-14,25981,26014,25614,25881,29419,417876.0,10770000.0
2017-02-15,25981,25981,25280,25881,30118,417876.0,10770000.0
2017-02-16,26047,26114,25847,25915,11596,418414.0,10770000.0
2017-02-17,25914,26047,25614,25881,14408,417876.0,10770000.0
2017-02-20,25947,25947,25414,25448,16165,410876.0,10770000.0
2017-02-21,25714,25947,25514,25915,19928,418414.0,10770000.0
2017-02-22,25947,25947,25747,25915,10165,418414.0,10770000.0
2017-02-23,25981,26948,25981,26548,28389,428646.0,10770000.0
2017-02-24,26815,26881,26514,26815,14552,432954.0,10770000.0
2017-02-27,26614,26981,26514,26548,9696,428646.0,10770000.0
2017-02-28,26681,26681,26481,26515,8310,428108.0,10770000.0
2017-03-02,26614,26748,26548,26682,8923,430800.0,10770000.0
2017-03-03,26581,26681,26047,26315,15011,424876.0,10770000.0
2017-03-06,26214,26214,25614,25881,16148,417876.0,10770000.0
