한국제지(002300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-02-12,16000,16400,15300,16300,99220,81581.0,5004949.0
1999-02-18,16000,16700,15350,16700,11360,83583.0,5004949.0
1999-02-19,14700,15650,14700,15000,7320,75074.0,5004949.0
1999-02-22,15500,15500,14500,14500,15510,72572.0,5004949.0
1999-02-23,14600,14800,14000,14500,27720,72572.0,5004949.0
1999-02-24,14650,14700,14100,14100,8140,70570.0,5004949.0
1999-02-25,14000,14300,13850,14100,7860,70570.0,5004949.0
1999-02-26,14500,15600,14400,15100,3590,75575.0,5004949.0
1999-03-02,16900,16900,15150,15150,15940,75825.0,5004949.0
1999-03-03,14950,15400,14500,15000,8280,75074.0,5004949.0
1999-03-04,14600,15100,14500,15100,9240,75575.0,5004949.0
1999-03-05,15200,15300,14800,15100,12310,75575.0,5004949.0
1999-03-08,15300,15800,15150,15800,17240,79078.0,5004949.0
1999-03-09,16500,16500,15300,15300,13400,76576.0,5004949.0
1999-03-10,15800,15800,14950,15300,8240,76576.0,5004949.0
1999-03-11,15000,15600,15000,15100,17200,75575.0,5004949.0
1999-03-12,15500,16050,15500,15700,41470,78578.0,5004949.0
1999-03-15,16300,16300,15800,16000,22110,80079.0,5004949.0
1999-03-16,16000,16200,15600,16200,27730,81080.0,5004949.0
1999-03-17,16300,16300,15700,16000,29470,80079.0,5004949.0
1999-03-18,15900,15900,15200,15300,9750,76576.0,5004949.0
1999-03-19,15000,15650,15000,15500,9940,77577.0,5004949.0
1999-03-22,15600,15850,15500,15600,13580,78077.0,5004949.0
1999-03-23,15600,16400,15600,16300,76950,81581.0,5004949.0
1999-03-24,16600,17000,16400,16800,75340,84083.0,5004949.0
1999-03-25,16800,17200,16500,17000,39360,85084.0,5004949.0
1999-03-26,17000,17200,16800,17200,35920,86085.0,5004949.0
1999-03-29,17000,17200,16400,17000,31090,85084.0,5004949.0
1999-03-30,16900,17800,16700,17800,49700,89088.0,5004949.0
1999-03-31,17800,17900,17300,17400,34150,87086.0,5004949.0
1999-04-01,17400,17700,17000,17200,28450,86085.0,5004949.0
1999-04-02,17400,17800,17400,17600,31370,88087.0,5004949.0
1999-04-06,17300,18300,17300,17800,63250,89088.0,5004949.0
1999-04-07,17900,18800,17600,17900,74030,89589.0,5004949.0
1999-04-08,18200,18500,17700,17900,27460,89589.0,5004949.0
1999-04-09,18000,18200,17000,17350,25100,86836.0,5004949.0
1999-04-12,17650,17650,17250,17450,21650,87336.0,5004949.0
1999-04-13,17050,17400,17050,17200,28750,86085.0,5004949.0
1999-04-14,17200,18100,17200,18050,142090,90339.0,5004949.0
1999-04-15,18250,19100,18200,19100,194170,95595.0,5004949.0
1999-04-16,19900,20100,19000,19000,267660,95094.0,5004949.0
1999-04-19,19300,21000,18900,20300,208930,101600.0,5004949.0
1999-04-20,20500,23300,20500,23300,352540,116615.0,5004949.0
1999-04-21,23800,24000,22450,22500,131320,112611.0,5004949.0
1999-04-22,21600,22500,21600,22300,51190,111610.0,5004949.0
1999-04-23,22800,22800,21600,22400,89230,112111.0,5004949.0
1999-04-26,22700,22700,22000,22400,26020,112111.0,5004949.0
1999-04-27,22800,23400,22500,23000,76260,115114.0,5004949.0
1999-04-28,22800,23200,22000,22500,55300,112611.0,5004949.0
1999-04-29,22500,23100,21000,21000,49990,105104.0,5004949.0
1999-04-30,21200,22400,21000,21000,61200,105104.0,5004949.0
1999-05-03,21300,22100,21200,21900,88260,109608.0,5004949.0
1999-05-04,22000,23300,22000,22700,147020,113612.0,5004949.0
1999-05-06,23500,25400,23400,24500,122250,122621.0,5004949.0
1999-05-07,25100,25800,23200,23500,66370,117616.0,5004949.0
1999-05-10,23700,24400,23000,24250,76580,121370.0,5004949.0
1999-05-11,24300,25100,22900,22900,59720,114613.0,5004949.0
1999-05-12,23400,23700,22000,22800,63510,114113.0,5004949.0
1999-05-13,22800,22800,22200,22200,41250,111110.0,5004949.0
1999-05-14,22300,22700,21850,22300,73760,111610.0,5004949.0
1999-05-17,22000,22000,20000,20000,30840,100099.0,5004949.0
1999-05-18,20000,20500,20000,20500,25750,102601.0,5004949.0
1999-05-19,20800,21500,20600,21000,13840,105104.0,5004949.0
1999-05-20,21000,21200,20200,20800,38790,104103.0,5004949.0
1999-05-21,21000,21800,20500,21100,32280,105604.0,5004949.0
1999-05-24,21300,22900,20900,21500,38700,107606.0,5004949.0
1999-05-25,22500,22500,21500,22500,27780,112611.0,5004949.0
1999-05-26,22500,24500,22200,23900,99770,119618.0,5004949.0
1999-05-27,24800,25500,23400,23500,135420,117616.0,5004949.0
1999-05-28,23800,23800,22500,22500,44360,112611.0,5004949.0
1999-05-31,23000,23500,22150,22850,419640,114363.0,5004949.0
1999-06-01,22500,22900,22100,22700,20290,113612.0,5004949.0
1999-06-02,22550,23500,22300,22600,80110,113112.0,5004949.0
1999-06-03,22800,23500,22300,22400,33030,112111.0,5004949.0
1999-06-04,22650,23400,22400,22950,51230,114864.0,5004949.0
1999-06-07,23500,23600,22900,23500,66240,117616.0,5004949.0
1999-06-08,23500,24400,23500,23500,80680,117616.0,5004949.0
1999-06-09,23500,23500,22100,22800,30070,114113.0,5004949.0
1999-06-10,22700,23600,22300,23600,47380,118117.0,5004949.0
1999-06-11,23700,25000,23200,24000,70330,120119.0,5004949.0
1999-06-14,23900,24600,23500,24000,21460,120119.0,5004949.0
1999-06-15,23500,24300,22100,23400,28010,117116.0,5004949.0
1999-06-16,23000,23600,22400,23000,20900,115114.0,5004949.0
1999-06-17,22700,24000,22500,24000,36140,120119.0,5004949.0
1999-06-18,24200,24600,23600,23600,39310,118117.0,5004949.0
1999-06-21,23600,24400,23000,24000,19500,120119.0,5004949.0
1999-06-22,24150,24600,23300,23900,45100,119618.0,5004949.0
1999-06-23,23900,24600,23600,24100,41250,120619.0,5004949.0
1999-06-24,24300,24300,23000,23000,50940,115114.0,5004949.0
1999-06-25,23000,23500,22500,23500,32690,117616.0,5004949.0
1999-06-28,23200,23200,22500,22700,85640,113612.0,5004949.0
1999-06-29,22800,22900,22350,22350,27380,111861.0,5004949.0
1999-06-30,22350,23200,21800,21900,28790,109608.0,5004949.0
1999-07-01,21700,23500,21400,23500,102290,117616.0,5004949.0
1999-07-02,23500,24300,22900,24000,86430,120119.0,5004949.0
1999-07-05,23900,25500,23900,25000,159530,125124.0,5004949.0
1999-07-06,25000,26000,24500,25900,68550,129628.0,5004949.0
1999-07-07,25900,26200,25500,25800,39310,129128.0,5004949.0
1999-07-08,25800,26550,25350,25550,54640,127876.0,5004949.0
1999-07-09,25600,26000,24650,24900,42390,124623.0,5004949.0
1999-07-12,25400,25900,24350,24350,105300,121871.0,5004949.0
1999-07-13,24500,26300,24500,25500,93580,127626.0,5004949.0
1999-07-14,25300,25500,24200,25000,40320,125124.0,5004949.0
1999-07-15,24900,25400,24100,24500,27430,122621.0,5004949.0
1999-07-16,25000,25800,24000,25300,47550,126625.0,5004949.0
1999-07-19,25500,27000,24800,25500,111690,127626.0,5004949.0
1999-07-20,27000,27000,25200,26000,90430,130129.0,5004949.0
1999-07-21,25500,25500,23900,24000,36540,120119.0,5004949.0
1999-07-22,24000,24000,22600,23000,36060,115114.0,5004949.0
1999-07-23,22900,22900,20000,20000,37610,100099.0,5004949.0
1999-07-26,20500,20900,18650,19100,25960,95595.0,5004949.0
1999-07-27,19300,21300,19300,21300,20190,106605.0,5004949.0
1999-07-28,21300,21800,20500,21100,67440,105604.0,5004949.0
1999-07-29,22700,22700,20700,21000,24840,105104.0,5004949.0
1999-07-30,21600,21600,20000,20300,22080,101600.0,5004949.0
1999-08-02,19500,20100,19250,19900,24570,99598.0,5004949.0
1999-08-03,20600,21200,18500,21200,48090,106105.0,5004949.0
1999-08-04,20600,21200,20050,20600,18860,103102.0,5004949.0
1999-08-05,20200,21200,19800,21200,30040,106105.0,5004949.0
1999-08-06,20100,21000,19950,20000,33650,100099.0,5004949.0
1999-08-09,20450,20500,19750,19750,13490,98848.0,5004949.0
1999-08-10,19750,19750,18700,19300,27250,96596.0,5004949.0
1999-08-11,19050,19100,18500,18800,51200,94093.0,5004949.0
1999-08-12,18800,19700,18400,19700,31410,98597.0,5004949.0
1999-08-13,18100,18900,18100,18600,18250,93092.0,5004949.0
1999-08-16,18700,18750,17500,18500,8670,92592.0,5004949.0
1999-08-17,18500,18750,17000,18000,23300,90089.0,5004949.0
1999-08-18,17000,18100,17000,18000,12530,90089.0,5004949.0
1999-08-19,17700,18300,17000,18300,39450,91591.0,5004949.0
1999-08-20,18000,18400,17100,18300,9120,91591.0,5004949.0
1999-08-23,18300,19300,18300,19300,10160,96596.0,5004949.0
1999-08-24,19300,19300,18500,18650,6030,93342.0,5004949.0
1999-08-25,18750,19000,18500,19000,22150,95094.0,5004949.0
1999-08-26,19300,19500,18300,18300,45520,91591.0,5004949.0
1999-08-27,18450,19500,18400,18400,25000,92091.0,5004949.0
1999-08-30,18600,19000,18450,18950,13620,94844.0,5004949.0
1999-08-31,18600,18900,18200,18900,10810,94594.0,5004949.0
1999-09-01,18850,18900,18300,18300,12040,91591.0,5004949.0
1999-09-02,17850,18700,17600,18100,18140,90590.0,5004949.0
1999-09-03,17500,18300,17500,17700,15850,88588.0,5004949.0
1999-09-06,17400,19000,17400,18500,67590,92592.0,5004949.0
1999-09-07,18500,18900,17800,18000,17700,90089.0,5004949.0
1999-09-08,18000,18400,17300,17400,9420,87086.0,5004949.0
1999-09-09,17450,17700,17200,17300,10550,86586.0,5004949.0
1999-09-10,17700,17800,17300,17500,62320,87587.0,5004949.0
1999-09-13,18300,18500,17500,17500,58630,87587.0,5004949.0
1999-09-14,17500,18200,17300,17600,41550,88087.0,5004949.0
1999-09-15,17800,18300,17650,17900,18450,89589.0,5004949.0
1999-09-16,17600,18500,17600,18300,23150,91591.0,5004949.0
1999-09-17,18650,18950,17550,18000,21440,90089.0,5004949.0
1999-09-20,18200,18500,17700,18500,11950,92592.0,5004949.0
1999-09-21,18800,19600,18500,19500,98780,97597.0,5004949.0
1999-09-22,19200,19600,18700,19000,29250,95094.0,5004949.0
1999-09-27,17200,18700,17200,17700,2960,88588.0,5004949.0
1999-09-28,17550,18500,17550,18300,7740,91591.0,5004949.0
1999-09-29,17950,18500,17600,17600,2800,88087.0,5004949.0
1999-09-30,17600,17600,17350,17500,4520,87587.0,5004949.0
1999-10-01,17300,18150,16650,17600,6700,88087.0,5004949.0
1999-10-04,18000,18000,17000,17050,9800,85334.0,5004949.0
1999-10-05,17100,17700,15600,16500,3760,82582.0,5004949.0
1999-10-06,15600,17000,15600,16800,24130,84083.0,5004949.0
1999-10-07,16350,17000,16350,16950,3620,84834.0,5004949.0
1999-10-08,17000,17000,16500,16950,28300,84834.0,5004949.0
1999-10-11,17500,17500,16800,17000,4610,85084.0,5004949.0
1999-10-12,16950,17350,16850,17200,10670,86085.0,5004949.0
1999-10-13,17000,17700,16850,17500,22800,87587.0,5004949.0
1999-10-14,17500,18000,17100,17900,6990,89589.0,5004949.0
1999-10-15,17550,18500,17550,18450,17770,92341.0,5004949.0
1999-10-18,18300,18500,17600,18300,18920,91591.0,5004949.0
1999-10-19,17700,18200,17700,18100,14100,90590.0,5004949.0
1999-10-20,18200,18500,18000,18200,14660,91090.0,5004949.0
1999-10-21,18400,18600,18100,18500,9590,92592.0,5004949.0
1999-10-22,18450,18500,18000,18500,6650,92592.0,5004949.0
1999-10-25,18000,18600,17100,18500,4540,92592.0,5004949.0
1999-10-26,18200,18400,17600,18200,2270,91090.0,5004949.0
1999-10-27,18000,18900,17600,18700,21030,93593.0,5004949.0
1999-10-28,19000,19700,18600,19300,23680,96596.0,5004949.0
1999-10-29,19500,19600,19000,19300,7520,96596.0,5004949.0
1999-11-01,19600,20250,19300,19800,20190,99098.0,5004949.0
1999-11-02,19500,19500,18300,19100,5820,95595.0,5004949.0
1999-11-03,19800,19800,18900,19450,16740,97346.0,5004949.0
1999-11-04,19100,19600,19050,19100,20580,95595.0,5004949.0
1999-11-05,19100,19200,18300,18700,14850,93593.0,5004949.0
1999-11-08,18700,19000,18500,18950,20230,94844.0,5004949.0
1999-11-09,18700,19800,18700,19400,33250,97096.0,5004949.0
1999-11-10,19550,19550,18800,19000,18350,95094.0,5004949.0
1999-11-11,19000,19200,18100,18100,50320,90590.0,5004949.0
1999-11-12,18250,19500,17500,17700,55580,88588.0,5004949.0
1999-11-15,17800,17850,17100,17200,21980,86085.0,5004949.0
1999-11-16,17300,17800,17150,17200,45770,86085.0,5004949.0
1999-11-17,17200,17200,16100,16800,40420,84083.0,5004949.0
1999-11-18,17500,17500,16600,17000,31130,85084.0,5004949.0
1999-11-19,17000,17350,16600,17000,41440,85084.0,5004949.0
1999-11-22,17200,18200,17100,18200,65820,91090.0,5004949.0
1999-11-23,18000,18000,16600,17000,74430,85084.0,5004949.0
1999-11-24,17000,17150,16600,17000,24870,85084.0,5004949.0
1999-11-25,16900,17000,15800,15800,79830,79078.0,5004949.0
1999-11-26,15850,16600,13900,14300,119020,71571.0,5004949.0
1999-11-29,14650,14650,13600,13600,72700,68067.0,5004949.0
1999-11-30,13900,14350,13600,13700,60500,68568.0,5004949.0
1999-12-01,13800,14300,13450,13500,47180,67567.0,5004949.0
1999-12-02,13300,14300,13300,13600,146130,68067.0,5004949.0
1999-12-03,14200,14200,13600,13700,72610,68568.0,5004949.0
1999-12-06,14100,14200,13500,13800,44900,69068.0,5004949.0
1999-12-07,13750,13800,13400,13400,52710,67066.0,5004949.0
1999-12-08,13400,13400,12550,12800,34880,64063.0,5004949.0
1999-12-09,12800,13300,12800,12900,64350,64564.0,5004949.0
1999-12-10,13000,14800,13000,14400,58540,72071.0,5004949.0
1999-12-13,14400,16300,14400,16250,93200,81330.0,5004949.0
1999-12-14,16200,17000,15350,16500,62940,82582.0,5004949.0
1999-12-15,16000,16400,15000,15700,33190,78578.0,5004949.0
1999-12-16,15500,15700,15050,15200,26450,76075.0,5004949.0
1999-12-17,14600,15200,13800,14500,33410,72572.0,5004949.0
1999-12-20,14500,14800,14000,14100,28090,70570.0,5004949.0
1999-12-21,13650,14100,13400,13600,36170,68067.0,5004949.0
1999-12-22,13550,13600,12850,13100,23850,65565.0,5004949.0
1999-12-23,13100,13500,12600,12900,47090,64564.0,5004949.0
1999-12-24,13000,13550,12350,12900,47010,64564.0,5004949.0
1999-12-27,12650,13500,12500,12500,28670,62562.0,5004949.0
1999-12-28,12900,12900,12000,12000,38300,60059.0,5004949.0
2000-01-04,12200,13500,12200,12600,56120,63062.0,5004949.0
2000-01-05,12800,13200,12600,12900,75690,64564.0,5004949.0
2000-01-06,13400,13400,12500,12500,50980,62562.0,5004949.0
2000-01-07,12500,12900,12200,12350,56020,61811.0,5004949.0
2000-01-10,12800,12800,12000,12150,63910,60810.0,5004949.0
2000-01-11,12300,12450,11500,12100,87730,60560.0,5004949.0
2000-01-12,12100,13500,11850,12900,193660,64564.0,5004949.0
2000-01-13,13500,13950,12900,13200,276400,66065.0,5004949.0
2000-01-14,13200,14050,13050,13500,228930,67567.0,5004949.0
2000-01-17,14400,14500,13400,13700,275650,68568.0,5004949.0
2000-01-18,13700,13900,12900,12900,128200,64564.0,5004949.0
2000-01-19,12550,12700,11550,11800,100970,59058.0,5004949.0
2000-01-20,11800,12200,11000,11100,101200,55555.0,5004949.0
2000-01-21,11100,11900,10700,11200,88970,56055.0,5004949.0
2000-01-24,11500,11600,11250,11500,52510,57557.0,5004949.0
2000-01-25,11650,11650,10950,11050,52830,55305.0,5004949.0
2000-01-26,11050,11450,11050,11050,40850,55305.0,5004949.0
2000-01-27,11400,12150,11400,11800,52790,59058.0,5004949.0
2000-01-28,11700,11800,11550,11600,43660,58057.0,5004949.0
2000-01-31,11550,11800,11100,11600,42510,58057.0,5004949.0
2000-02-01,11700,12100,11650,11700,53410,58558.0,5004949.0
2000-02-02,11750,12400,11700,12000,53520,60059.0,5004949.0
2000-02-03,12400,12400,12050,12300,52660,61561.0,5004949.0
2000-02-07,12300,12600,11950,12000,36640,60059.0,5004949.0
2000-02-08,12100,12200,11650,12000,67530,60059.0,5004949.0
2000-02-09,11600,12000,11250,11250,54910,56306.0,5004949.0
2000-02-10,11400,11600,11000,11250,57930,56306.0,5004949.0
2000-02-11,11250,11250,10600,10700,70980,53553.0,5004949.0
2000-02-14,10600,10700,9830,9990,46100,49999.0,5004949.0
2000-02-15,9990,10400,9510,9610,38390,48098.0,5004949.0
2000-02-16,9650,9890,9200,9310,71610,46596.0,5004949.0
2000-02-17,9310,9690,9310,9400,46750,47047.0,5004949.0
2000-02-18,9490,9500,9300,9300,25650,46546.0,5004949.0
2000-02-21,9400,9450,8700,8800,26790,44044.0,5004949.0
2000-02-22,8900,9000,8660,8660,23910,43343.0,5004949.0
2000-02-23,8800,9950,8800,9710,27060,48598.0,5004949.0
2000-02-24,9500,9500,8900,9100,21380,45545.0,5004949.0
2000-02-25,9100,9390,8500,8810,61740,44094.0,5004949.0
2000-02-28,9000,9900,9000,9700,61080,48548.0,5004949.0
2000-02-29,9690,10000,9270,9270,60990,46396.0,5004949.0
2000-03-02,9500,9950,9170,9950,48490,49799.0,5004949.0
2000-03-03,9950,9950,9400,9410,47620,47097.0,5004949.0
2000-03-06,9620,10800,9450,10050,104570,50300.0,5004949.0
2000-03-07,10500,11100,9950,10300,116450,51551.0,5004949.0
2000-03-08,10250,10750,9700,9700,53630,48548.0,5004949.0
2000-03-09,10000,10500,9860,9980,107270,49949.0,5004949.0
2000-03-10,10400,10400,9950,10250,74380,51301.0,5004949.0
2000-03-13,10250,11750,10250,11750,188170,58808.0,5004949.0
2000-03-14,11800,11900,10600,10900,89560,54554.0,5004949.0
2000-03-15,11100,11150,10200,10600,54600,53052.0,5004949.0
2000-03-16,10650,10900,10050,10100,40270,50550.0,5004949.0
2000-03-17,10400,10500,9900,10050,30920,50300.0,5004949.0
2000-03-20,10450,10750,10050,10500,49590,52552.0,5004949.0
2000-03-21,10700,10700,9900,9900,32880,49549.0,5004949.0
2000-03-22,10100,10250,9710,9950,43090,49799.0,5004949.0
2000-03-23,10100,10300,9900,10200,67040,51050.0,5004949.0
2000-03-24,10500,11000,10000,10200,133290,51050.0,5004949.0
2000-03-27,10500,10800,10300,10700,91080,53553.0,5004949.0
2000-03-28,10650,10700,10400,10650,34150,53303.0,5004949.0
2000-03-29,10650,11350,10500,10850,268250,54304.0,5004949.0
2000-03-30,11200,12100,10500,10700,371290,53553.0,5004949.0
2000-03-31,11150,11800,10900,11400,232980,57056.0,5004949.0
2000-04-03,11400,12300,10900,11000,175280,55054.0,5004949.0
2000-04-04,11000,11300,9800,10200,136000,51050.0,5004949.0
2000-04-06,10000,10300,9650,9800,72040,49049.0,5004949.0
2000-04-07,9530,10100,9530,10000,64420,50049.0,5004949.0
2000-04-10,9800,10100,9700,10000,87810,50049.0,5004949.0
2000-04-11,10000,10300,9800,9900,48370,49549.0,5004949.0
2000-04-12,9900,10000,9800,9900,35590,49549.0,5004949.0
2000-04-14,9800,10500,9600,10100,44680,50550.0,5004949.0
2000-04-17,9800,9900,8610,9600,57680,48048.0,5004949.0
2000-04-18,9100,9800,9000,9190,61020,45995.0,5004949.0
2000-04-19,9200,9450,9170,9170,34130,45895.0,5004949.0
2000-04-20,9350,9350,9000,9050,20840,45295.0,5004949.0
2000-04-21,9300,9800,9120,9780,50150,48948.0,5004949.0
2000-04-24,9400,9780,9310,9780,16020,48948.0,5004949.0
2000-04-25,9620,10300,9500,9750,33450,48798.0,5004949.0
2000-04-26,10000,10100,9750,9990,30290,49999.0,5004949.0
2000-04-27,10000,10100,9740,9800,24490,49049.0,5004949.0
2000-04-28,9620,10000,9610,9610,27820,48098.0,5004949.0
2000-05-02,9650,9790,9300,9320,22590,46646.0,5004949.0
2000-05-03,9500,9500,9200,9400,22180,47047.0,5004949.0
2000-05-04,9210,9470,9200,9210,21530,46096.0,5004949.0
2000-05-08,9300,9300,9150,9200,25600,46046.0,5004949.0
2000-05-09,9220,9220,9030,9060,27710,45345.0,5004949.0
2000-05-10,9000,9240,8910,9240,11600,46246.0,5004949.0
2000-05-12,8740,9140,8740,8950,9580,44794.0,5004949.0
2000-05-15,8960,8960,8580,8600,13810,43043.0,5004949.0
2000-05-16,8650,9890,8520,9890,23480,49499.0,5004949.0
2000-05-17,9690,9690,8800,8800,30360,44044.0,5004949.0
2000-05-18,8600,8680,7810,8000,18650,40040.0,5004949.0
2000-05-19,7600,7900,7600,7850,9710,39289.0,5004949.0
2000-05-22,8050,8050,7700,7800,12850,39039.0,5004949.0
2000-05-23,7700,7900,7350,7600,11880,38038.0,5004949.0
2000-05-24,7600,8000,7220,7980,16090,39939.0,5004949.0
2000-05-25,8000,9100,7800,8700,56580,43543.0,5004949.0
2000-05-26,8700,8700,7810,7810,22870,39089.0,5004949.0
2000-05-29,7000,7870,7000,7830,18650,39189.0,5004949.0
2000-05-30,8100,8180,7800,8090,16460,40490.0,5004949.0
2000-05-31,8330,8650,8200,8360,32860,41841.0,5004949.0
2000-06-01,8330,8350,8070,8110,16240,40590.0,5004949.0
2000-06-02,8250,8650,8200,8490,31340,42492.0,5004949.0
2000-06-05,8500,8900,8500,8850,31340,44294.0,5004949.0
2000-06-07,10150,10150,9060,9200,30580,46046.0,5004949.0
2000-06-08,9210,9210,8530,9000,35550,45045.0,5004949.0
2000-06-09,8800,9000,8600,8700,16380,43543.0,5004949.0
2000-06-12,9000,9080,8600,8600,20210,43043.0,5004949.0
2000-06-13,9000,9000,8310,8420,10020,42142.0,5004949.0
2000-06-14,8500,8600,8110,8500,26650,42542.0,5004949.0
2000-06-15,8330,8330,7950,8150,10600,40790.0,5004949.0
2000-06-16,8250,8250,7800,7900,7610,39539.0,5004949.0
2000-06-19,7900,8050,7500,8040,10540,40240.0,5004949.0
2000-06-20,8010,8100,7760,7980,4020,39939.0,5004949.0
2000-06-21,8000,8280,8000,8100,10090,40540.0,5004949.0
2000-06-22,8250,8300,8000,8000,10110,40040.0,5004949.0
2000-06-23,8050,8080,7810,7950,6960,39789.0,5004949.0
2000-06-26,8080,8200,7910,8090,11760,40490.0,5004949.0
2000-06-27,8200,8450,8110,8300,21130,41541.0,5004949.0
2000-06-28,8380,8380,8100,8100,15690,40540.0,5004949.0
2000-06-29,7920,8200,7920,8000,32500,40040.0,5004949.0
2000-06-30,8010,8180,7900,8050,21560,40290.0,5004949.0
2000-07-03,8000,9000,8000,9000,69420,45045.0,5004949.0
2000-07-04,8900,9000,8510,9000,31820,45045.0,5004949.0
2000-07-05,8890,9100,8600,9000,21510,45045.0,5004949.0
2000-07-06,9200,9200,8720,9000,25630,45045.0,5004949.0
2000-07-07,9110,9600,9100,9540,52250,47747.0,5004949.0
2000-07-10,9600,9690,9460,9680,25540,48448.0,5004949.0
2000-07-11,9680,9880,9310,9500,23090,47547.0,5004949.0
2000-07-12,9650,9650,9010,9300,6020,46546.0,5004949.0
2000-07-13,9300,9400,9000,9400,14180,47047.0,5004949.0
2000-07-14,9650,9650,8800,8800,20090,44044.0,5004949.0
2000-07-18,8800,9100,8460,8700,12890,43543.0,5004949.0
2000-07-19,8510,8890,8400,8400,10030,42042.0,5004949.0
2000-07-20,8500,8500,8030,8200,6250,41041.0,5004949.0
2000-07-21,8090,8290,8090,8200,8730,41041.0,5004949.0
2000-07-24,8050,8200,7850,7990,10570,39990.0,5004949.0
2000-07-25,8000,8100,7900,7920,6790,39639.0,5004949.0
2000-07-26,8000,8000,7710,7900,8190,39539.0,5004949.0
2000-07-27,7950,8280,7780,8000,22170,40040.0,5004949.0
2000-07-28,7950,8000,7600,7600,13470,38038.0,5004949.0
2000-07-31,7700,7700,7450,7600,19180,38038.0,5004949.0
2000-08-01,7600,7880,7510,7710,30650,38588.0,5004949.0
2000-08-02,7800,7940,7720,7840,10970,39239.0,5004949.0
2000-08-03,7940,7940,7800,7900,7590,39539.0,5004949.0
2000-08-04,7820,7930,7820,7850,10080,39289.0,5004949.0
2000-08-07,7850,7850,7210,7700,5680,38538.0,5004949.0
2000-08-08,7700,8240,7700,7750,28620,38788.0,5004949.0
2000-08-09,7800,7940,7600,7760,6000,38838.0,5004949.0
2000-08-10,7800,7830,7660,7800,5280,39039.0,5004949.0
2000-08-11,7810,8000,7660,7810,55100,39089.0,5004949.0
2000-08-14,8000,8500,7910,8240,76960,41241.0,5004949.0
2000-08-16,8430,8550,8030,8100,61000,40540.0,5004949.0
2000-08-17,8150,8150,7910,8080,20010,40440.0,5004949.0
2000-08-18,8010,8100,7850,7860,29140,39339.0,5004949.0
2000-08-21,7910,7910,7760,7770,7480,38888.0,5004949.0
2000-08-22,7610,8000,7610,7770,12620,38888.0,5004949.0
2000-08-23,7810,7900,7720,7730,17580,38688.0,5004949.0
2000-08-24,7740,7900,7660,7730,14550,38688.0,5004949.0
2000-08-25,7720,7860,7720,7780,8530,38939.0,5004949.0
2000-08-28,8050,8050,7850,7920,44380,39639.0,5004949.0
2000-08-29,7920,8160,7920,8000,69030,40040.0,5004949.0
2000-08-30,8030,8030,7900,8000,30080,40040.0,5004949.0
2000-08-31,7980,7990,7720,7900,8300,39539.0,5004949.0
2000-09-01,7730,7970,7730,7970,23260,39889.0,5004949.0
2000-09-04,7970,8440,7970,8400,65850,42042.0,5004949.0
2000-09-05,8510,8650,8250,8600,74520,43043.0,5004949.0
2000-09-06,8400,8670,8400,8600,35740,43043.0,5004949.0
2000-09-07,8450,8660,8450,8600,46760,43043.0,5004949.0
2000-09-08,8500,8540,8410,8500,16800,42542.0,5004949.0
2000-09-14,8210,8250,8020,8100,15730,40540.0,5004949.0
2000-09-15,8150,8390,8150,8200,33640,41041.0,5004949.0
2000-09-18,8100,8100,7100,7600,38720,38038.0,5004949.0
