케이티앤지(033780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-03-31,24800,25000,24150,24150,166170,4612454.0,190991897.0
2000-04-03,24900,24900,23700,23700,141440,4526508.0,190991897.0
2000-04-04,23200,24500,23200,23700,268130,4526508.0,190991897.0
2000-04-06,24000,24000,23300,23900,122660,4564706.0,190991897.0
2000-04-07,23600,24200,23500,23750,134650,4536058.0,190991897.0
2000-04-10,23500,23900,22100,23900,463770,4564706.0,190991897.0
2000-04-11,23900,23950,23500,23750,179650,4536058.0,190991897.0
2000-04-12,23500,23750,22500,22500,313180,4297318.0,190991897.0
2000-04-14,22700,22700,22100,22300,260550,4259119.0,190991897.0
2000-04-17,21000,23250,20500,22300,396630,4259119.0,190991897.0
2000-04-18,22500,23000,21200,22300,339660,4259119.0,190991897.0
2000-04-19,22300,22300,21600,22000,308780,4201822.0,190991897.0
2000-04-20,21900,22000,21350,22000,133840,4201822.0,190991897.0
2000-04-21,21500,22000,21500,22000,115470,4201822.0,190991897.0
2000-04-24,21850,22000,21400,21900,154070,4182723.0,190991897.0
2000-04-25,21600,22000,21600,22000,128640,4201822.0,190991897.0
2000-04-26,21800,22800,21100,21600,223930,4125425.0,190991897.0
2000-04-27,21450,22250,21350,21950,225030,4192272.0,190991897.0
2000-04-28,21500,22100,21250,21300,236470,4068127.0,190991897.0
2000-05-02,21400,21400,20350,20950,320450,4001280.0,190991897.0
2000-05-03,21000,21000,20500,21000,206510,4010830.0,190991897.0
2000-05-04,20950,20950,20600,20950,132510,4001280.0,190991897.0
2000-05-08,20900,21500,20650,21500,188230,4106326.0,190991897.0
2000-05-09,21500,22600,21100,22100,331860,4220921.0,190991897.0
2000-05-10,22700,22900,22100,22700,298160,4335516.0,190991897.0
2000-05-12,22700,22700,21700,21850,149950,4173173.0,190991897.0
2000-05-15,21300,21600,21050,21300,93490,4068127.0,190991897.0
2000-05-16,21300,21700,20850,21650,73340,4134975.0,190991897.0
2000-05-17,21150,21700,21050,21050,122100,4020379.0,190991897.0
2000-05-18,20500,21000,19000,20400,165900,3896235.0,190991897.0
2000-05-19,20000,21000,19550,21000,123780,4010830.0,190991897.0
2000-05-22,20900,20900,20000,20050,89250,3829388.0,190991897.0
2000-05-23,20050,21300,19900,20900,264530,3991731.0,190991897.0
2000-05-24,20650,21400,20200,20250,157950,3867586.0,190991897.0
2000-05-25,20500,20700,20050,20400,245090,3896235.0,190991897.0
2000-05-26,20300,20400,19800,20300,188760,3877136.0,190991897.0
2000-05-29,20000,20500,19850,19950,141540,3810288.0,190991897.0
2000-05-30,19800,20500,19800,20500,221780,3915334.0,190991897.0
2000-05-31,20400,20500,20050,20500,358290,3915334.0,190991897.0
2000-06-01,20500,20500,20050,20200,199900,3858036.0,190991897.0
2000-06-02,20050,20350,20000,20000,228130,3819838.0,190991897.0
2000-06-05,20200,20750,20100,20300,280000,3877136.0,190991897.0
2000-06-07,20300,20450,19800,20000,500590,3819838.0,190991897.0
2000-06-08,20200,20900,19550,19550,689210,3733892.0,190991897.0
2000-06-09,20000,21800,19700,21500,824130,4106326.0,190991897.0
2000-06-12,22400,22400,21000,21500,600150,4106326.0,190991897.0
2000-06-13,21500,21500,20550,20550,277360,3924883.0,190991897.0
2000-06-14,20550,20850,20200,20550,247500,3924883.0,190991897.0
2000-06-15,21000,21300,20800,21000,641650,4010830.0,190991897.0
2000-06-16,21000,21300,20900,21000,360900,4010830.0,190991897.0
2000-06-19,20550,21000,20300,20300,187220,3877136.0,190991897.0
2000-06-20,20100,20700,20100,20300,141930,3877136.0,190991897.0
2000-06-21,20500,20500,20300,20300,171200,3877136.0,190991897.0
2000-06-22,20300,20850,20050,20300,229130,3877136.0,190991897.0
2000-06-23,20100,20650,20100,20500,102680,3915334.0,190991897.0
2000-06-26,20100,20650,20100,20650,127630,3943983.0,190991897.0
2000-06-27,20750,20750,20350,20550,119420,3924883.0,190991897.0
2000-06-28,20700,21000,20350,20800,153580,3972631.0,190991897.0
2000-06-29,20750,20750,20150,20400,162660,3896235.0,190991897.0
2000-06-30,20450,20600,20300,20400,118220,3896235.0,190991897.0
2000-07-03,20200,20650,20200,20600,108390,3934433.0,190991897.0
2000-07-04,20300,20550,20250,20300,79870,3877136.0,190991897.0
2000-07-05,20250,20500,20100,20200,132520,3858036.0,190991897.0
2000-07-06,20300,20300,19950,20200,217430,3858036.0,190991897.0
2000-07-07,20200,20550,20050,20400,363930,3896235.0,190991897.0
2000-07-10,20400,20600,20200,20250,149060,3867586.0,190991897.0
2000-07-11,20250,20350,20000,20000,219650,3819838.0,190991897.0
2000-07-12,20000,20200,20000,20150,111790,3848487.0,190991897.0
2000-07-13,20050,20100,19850,19900,195690,3800739.0,190991897.0
2000-07-14,19950,20000,19700,20000,119560,3819838.0,190991897.0
2000-07-18,19600,19700,19100,19150,141020,3657495.0,190991897.0
2000-07-19,19000,19500,18700,19500,221460,3724342.0,190991897.0
2000-07-20,19000,19800,19000,19800,170370,3781640.0,190991897.0
2000-07-21,19800,20000,19250,19800,96700,3781640.0,190991897.0
2000-07-24,19400,19800,19300,19700,114190,3762540.0,190991897.0
2000-07-25,19400,20000,19400,19650,200980,3752991.0,190991897.0
2000-07-26,19700,19700,18600,19100,204210,3647945.0,190991897.0
2000-07-27,18700,19450,18700,19350,132820,3695693.0,190991897.0
2000-07-28,19300,20000,19150,19650,183970,3752991.0,190991897.0
2000-07-31,19500,20300,19500,20200,172060,3858036.0,190991897.0
2000-08-01,20100,20300,19550,19950,203120,3810288.0,190991897.0
2000-08-02,19800,20500,19750,20300,139230,3877136.0,190991897.0
2000-08-03,20150,20200,19800,19800,165910,3781640.0,190991897.0
2000-08-04,19800,20000,19400,19400,92820,3705243.0,190991897.0
2000-08-07,19700,20000,19400,19950,142030,3810288.0,190991897.0
2000-08-08,19800,20250,19650,19650,131450,3752991.0,190991897.0
2000-08-09,19800,20400,19800,20300,180590,3877136.0,190991897.0
2000-08-10,20400,20700,19550,20700,324660,3953532.0,190991897.0
2000-08-11,19750,20350,19600,19950,221060,3810288.0,190991897.0
2000-08-14,20450,21000,20150,20500,341660,3915334.0,190991897.0
2000-08-16,21000,21350,20800,20900,179200,3991731.0,190991897.0
2000-08-17,20100,20500,20000,20400,180260,3896235.0,190991897.0
2000-08-18,20100,20450,20000,20050,140090,3829388.0,190991897.0
2000-08-21,20000,20350,20000,20000,77770,3819838.0,190991897.0
2000-08-22,20000,20700,20000,20350,146750,3886685.0,190991897.0
2000-08-23,20700,20800,20000,20000,152540,3819838.0,190991897.0
2000-08-24,20000,20400,19750,20300,146790,3877136.0,190991897.0
2000-08-25,20200,20400,20000,20400,89760,3896235.0,190991897.0
2000-08-28,20400,20750,20250,20350,97620,3886685.0,190991897.0
2000-08-29,20350,20700,20050,20450,144590,3905784.0,190991897.0
2000-08-30,20200,20250,20050,20050,79400,3829388.0,190991897.0
2000-08-31,20000,20100,19400,19500,176000,3724342.0,190991897.0
2000-09-01,19700,20000,19500,19850,101210,3791189.0,190991897.0
2000-09-04,19800,19950,19250,19500,146220,3724342.0,190991897.0
2000-09-05,19500,20400,19500,20400,173280,3896235.0,190991897.0
2000-09-06,20100,20600,20000,20000,239520,3819838.0,190991897.0
2000-09-07,19700,20000,19300,19550,236790,3733892.0,190991897.0
2000-09-08,19550,19900,19000,19100,192600,3647945.0,190991897.0
2000-09-14,18700,18950,17300,18000,597380,3437854.0,190991897.0
2000-09-15,17700,18350,17600,18300,342900,3495152.0,190991897.0
2000-09-18,17500,18250,17000,17550,203940,3351908.0,190991897.0
2000-09-19,17150,18000,17150,17450,169120,3332809.0,190991897.0
2000-09-20,19600,19600,17550,17900,229350,3418755.0,190991897.0
2000-09-21,17700,17800,17050,17250,171310,3294610.0,190991897.0
2000-09-22,17250,17250,16400,16700,135440,3189565.0,190991897.0
2000-09-25,16400,17200,16400,17000,117010,3246862.0,190991897.0
2000-09-26,17000,17650,16650,17450,172560,3332809.0,190991897.0
2000-09-27,18000,19050,17900,18800,807750,3590648.0,190991897.0
2000-09-28,18500,18500,17800,18300,163100,3495152.0,190991897.0
2000-09-29,18300,18300,17700,18200,123440,3476053.0,190991897.0
2000-10-02,17800,18000,17600,17950,50340,3428305.0,190991897.0
2000-10-04,17700,18450,17450,18450,147240,3523800.0,190991897.0
2000-10-05,18400,18500,17950,18100,1849200,3456953.0,190991897.0
2000-10-06,18100,18400,17750,18400,146850,3514251.0,190991897.0
2000-10-09,18050,18150,17700,17700,162540,3380557.0,190991897.0
2000-10-10,17600,17900,17350,17600,85480,3361457.0,190991897.0
2000-10-11,17400,17500,17000,17500,123220,3342358.0,190991897.0
2000-10-12,17150,18100,16600,16600,315890,3170465.0,190991897.0
2000-10-13,16600,17500,16300,17500,246150,3342358.0,190991897.0
2000-10-16,17800,18300,17700,18300,361740,3495152.0,190991897.0
2000-10-17,18100,18500,17800,18400,305830,3514251.0,190991897.0
2000-10-18,18250,18700,17900,18500,372680,3533350.0,190991897.0
2000-10-19,18500,18800,17950,18500,374250,3533350.0,190991897.0
2000-10-20,18700,19100,18100,18600,355500,3552449.0,190991897.0
2000-10-23,18750,18750,18000,18050,122340,3447404.0,190991897.0
2000-10-24,17850,18750,17800,18600,197280,3552449.0,190991897.0
2000-10-25,19000,19000,18000,18700,218660,3571548.0,190991897.0
2000-10-26,18400,18850,18250,18650,136930,3561999.0,190991897.0
2000-10-27,18500,19100,18000,18000,297930,3437854.0,190991897.0
2000-10-30,18300,18500,17850,17900,127650,3418755.0,190991897.0
2000-10-31,17600,18400,17200,18050,193310,3447404.0,190991897.0
2000-11-01,18250,19000,17900,19000,209980,3628846.0,190991897.0
2000-11-02,19000,19500,18500,19300,215460,3686144.0,190991897.0
2000-11-03,19300,19400,18600,19300,155650,3686144.0,190991897.0
2000-11-06,19100,19850,18500,18500,317610,3533350.0,190991897.0
2000-11-07,18900,19100,18300,18500,304800,3533350.0,190991897.0
2000-11-08,18200,18700,18000,18500,260620,3533350.0,190991897.0
2000-11-09,18200,18550,18050,18200,215300,3476053.0,190991897.0
2000-11-10,18200,18900,18000,18900,208770,3609747.0,190991897.0
2000-11-13,18250,18550,18000,18150,197890,3466503.0,190991897.0
2000-11-14,18000,18300,18000,18100,69920,3456953.0,190991897.0
2000-11-15,18450,18900,18050,18300,292330,3495152.0,190991897.0
2000-11-16,18200,18650,18200,18550,107600,3542900.0,190991897.0
2000-11-17,18250,18400,18050,18400,191610,3514251.0,190991897.0
2000-11-20,18400,18500,18300,18500,130830,3533350.0,190991897.0
2000-11-21,18400,18500,18200,18500,141230,3533350.0,190991897.0
2000-11-22,18300,18700,18150,18250,111510,3485602.0,190991897.0
2000-11-23,18100,18600,18000,18600,147010,3552449.0,190991897.0
2000-11-24,18350,18850,18350,18800,135700,3590648.0,190991897.0
2000-11-27,19000,19300,18800,18900,226130,3609747.0,190991897.0
2000-11-28,18900,19500,18500,18500,115410,3533350.0,190991897.0
2000-11-29,18200,18550,18000,18000,182370,3437854.0,190991897.0
2000-11-30,18000,18000,17500,17800,127080,3399656.0,190991897.0
2000-12-01,17300,19100,17300,19000,316670,3628846.0,190991897.0
2000-12-04,19000,19000,18100,18250,164070,3485602.0,190991897.0
2000-12-05,18250,18950,18250,18800,228580,3590648.0,190991897.0
2000-12-06,19000,19300,18400,18450,437600,3523800.0,190991897.0
2000-12-07,18500,18600,18150,18500,293300,3533350.0,190991897.0
2000-12-08,18250,18800,18250,18800,139310,3590648.0,190991897.0
2000-12-11,18800,19100,18600,18800,217450,3590648.0,190991897.0
2000-12-12,18800,19000,18250,19000,294710,3628846.0,190991897.0
2000-12-13,18900,19200,18500,19000,411100,3628846.0,190991897.0
2000-12-14,18500,18900,18300,18900,565560,3609747.0,190991897.0
2000-12-15,18500,18700,18250,18250,299400,3485602.0,190991897.0
2000-12-18,18250,18500,18150,18350,171190,3504701.0,190991897.0
2000-12-19,18350,18350,17900,18000,167620,3437854.0,190991897.0
2000-12-20,17750,18000,17700,18000,173470,3437854.0,190991897.0
2000-12-21,18000,18200,17600,18000,178780,3437854.0,190991897.0
2000-12-22,18150,18350,17900,18000,150900,3437854.0,190991897.0
2000-12-26,18300,19000,18100,19000,270500,3628846.0,190991897.0
2001-01-02,18200,18450,17900,18200,197650,3476053.0,190991897.0
2001-01-03,18200,18300,17800,18000,189710,3437854.0,190991897.0
2001-01-04,18400,18750,18050,18050,378490,3447404.0,190991897.0
2001-01-05,18050,18200,17550,17600,531180,3361457.0,190991897.0
2001-01-08,17700,17900,17600,17750,278400,3390106.0,190991897.0
2001-01-09,17800,17950,17650,17950,264210,3428305.0,190991897.0
2001-01-10,17800,17900,17550,17550,252880,3351908.0,190991897.0
2001-01-11,17450,17800,16600,16600,531070,3170465.0,190991897.0
2001-01-12,17200,17500,16900,17450,358480,3332809.0,190991897.0
2001-01-15,17200,17350,17000,17100,419100,3265961.0,190991897.0
2001-01-16,17000,17350,16900,17000,433010,3246862.0,190991897.0
2001-01-17,17100,17300,16900,17250,378730,3294610.0,190991897.0
2001-01-18,17050,17400,17050,17150,231580,3275511.0,190991897.0
2001-01-19,17150,17200,16900,17050,443570,3256412.0,190991897.0
2001-01-22,17150,17250,17000,17250,251460,3294610.0,190991897.0
2001-01-26,17200,17250,16900,16900,200270,3227763.0,190991897.0
2001-01-29,17100,17100,16750,17000,163710,3246862.0,190991897.0
2001-01-30,17000,17100,16700,16700,265990,3189565.0,190991897.0
2001-01-31,16750,16900,16700,16850,242390,3218213.0,190991897.0
2001-02-01,16850,17000,16700,16900,380660,3227763.0,190991897.0
2001-02-02,16900,16900,16650,16700,223050,3189565.0,190991897.0
2001-02-05,16550,16600,16000,16000,364960,3055870.0,190991897.0
2001-02-06,16000,16450,16000,16250,220560,3103618.0,190991897.0
2001-02-07,16250,16250,15700,15750,278780,3008122.0,190991897.0
2001-02-08,15550,16000,15550,16000,279240,3055870.0,190991897.0
2001-02-09,15900,15900,15450,15750,314110,3008122.0,190991897.0
2001-02-12,15750,16300,15550,16200,343540,3094069.0,190991897.0
2001-02-13,16200,16400,15950,16200,154640,3094069.0,190991897.0
2001-02-14,16000,16050,15750,15800,275930,3017672.0,190991897.0
2001-02-15,15800,16000,15700,15700,209530,2998573.0,190991897.0
2001-02-16,15700,15800,15300,15300,319090,2922176.0,190991897.0
2001-02-19,15100,15150,14700,15000,305780,2864878.0,190991897.0
2001-02-20,14750,15200,14600,14950,277160,2855329.0,190991897.0
2001-02-21,15000,15350,14800,15000,273930,2864878.0,190991897.0
2001-02-22,15000,15000,14550,14950,224970,2855329.0,190991897.0
2001-02-23,14950,15150,14700,15100,201930,2883978.0,190991897.0
2001-02-26,15150,15250,15000,15250,122890,2912626.0,190991897.0
2001-02-27,15200,15350,14650,14650,206640,2798031.0,190991897.0
2001-02-28,14800,14900,14650,14650,167930,2798031.0,190991897.0
2001-03-02,14600,14650,14000,14500,338350,2769383.0,190991897.0
2001-03-05,14150,14600,14150,14500,163300,2769383.0,190991897.0
2001-03-06,14350,14600,14100,14350,286500,2740734.0,190991897.0
2001-03-07,14350,14400,14000,14200,367730,2712085.0,190991897.0
2001-03-08,14400,14950,14250,14950,552430,2855329.0,190991897.0
2001-03-09,14900,14900,14200,14450,377920,2759833.0,190991897.0
2001-03-12,14200,14400,14000,14150,217650,2702535.0,190991897.0
2001-03-13,13800,13850,13550,13850,177640,2645238.0,190991897.0
2001-03-14,13800,14150,13800,14000,147250,2673887.0,190991897.0
2001-03-15,13900,14600,13650,14400,285680,2750283.0,190991897.0
2001-03-16,14300,14550,14100,14350,178660,2740734.0,190991897.0
2001-03-19,14200,14750,14100,14650,226010,2798031.0,190991897.0
2001-03-20,14750,15550,14750,15350,499370,2931726.0,190991897.0
2001-03-21,15000,15650,15000,15600,280050,2979474.0,190991897.0
2001-03-22,15600,15600,14900,15300,176060,2922176.0,190991897.0
2001-03-23,15300,15550,15200,15300,299050,2922176.0,190991897.0
2001-03-26,15300,15300,14900,14950,149700,2855329.0,190991897.0
2001-03-27,15200,15200,14850,15000,167700,2864878.0,190991897.0
2001-03-28,14850,15400,14800,15400,157250,2941275.0,190991897.0
2001-03-29,15300,15600,15150,15400,170770,2941275.0,190991897.0
2001-03-30,15300,15500,14900,14900,86840,2845779.0,190991897.0
2001-04-02,15200,15600,15200,15450,164130,2950825.0,190991897.0
2001-04-03,15150,15800,15150,15800,314090,3017672.0,190991897.0
2001-04-04,15800,16050,15650,16000,290590,3055870.0,190991897.0
2001-04-06,16300,16300,15600,15650,302060,2989023.0,190991897.0
2001-04-09,15500,15850,15300,15300,88450,2922176.0,190991897.0
2001-04-10,15400,15650,15100,15100,96690,2883978.0,190991897.0
2001-04-11,15100,15100,14700,14700,271880,2807581.0,190991897.0
2001-04-12,14700,14700,14450,14450,346210,2759833.0,190991897.0
2001-04-13,14600,14700,14350,14400,115610,2750283.0,190991897.0
2001-04-16,14500,14600,14400,14500,69510,2769383.0,190991897.0
2001-04-17,14500,14800,14500,14600,117380,2788482.0,190991897.0
2001-04-18,14600,15250,14450,15250,209020,2912626.0,190991897.0
2001-04-19,15500,15650,14700,15200,512920,2903077.0,190991897.0
2001-04-20,15000,15550,15000,15400,317180,2941275.0,190991897.0
2001-04-23,15400,15800,15250,15400,311040,2941275.0,190991897.0
2001-04-24,15200,15650,15200,15500,216760,2960374.0,190991897.0
2001-04-25,15400,15900,15300,15800,293900,3017672.0,190991897.0
2001-04-26,16000,16000,15150,15200,258110,2903077.0,190991897.0
2001-04-27,15400,15450,15050,15100,72040,2883978.0,190991897.0
2001-04-30,15200,15500,15100,15250,314580,2912626.0,190991897.0
2001-05-02,15250,15250,15000,15150,413070,2893527.0,190991897.0
2001-05-03,15000,15100,14800,14800,305960,2826680.0,190991897.0
2001-05-04,14900,15050,14900,14950,140080,2855329.0,190991897.0
2001-05-07,14950,15200,14900,15100,162810,2883978.0,190991897.0
2001-05-08,15000,15100,14900,14950,144170,2855329.0,190991897.0
2001-05-09,14850,15050,14750,14800,202590,2826680.0,190991897.0
2001-05-10,14800,14950,14700,14700,153670,2807581.0,190991897.0
2001-05-11,14750,14850,14600,14800,97400,2826680.0,190991897.0
2001-05-14,14800,15000,14750,14800,109720,2826680.0,190991897.0
2001-05-15,14950,15200,14800,15200,160250,2903077.0,190991897.0
2001-05-16,15050,15700,14900,15500,330000,2960374.0,190991897.0
2001-05-17,15500,15700,15300,15600,241190,2979474.0,190991897.0
2001-05-18,15700,15750,15350,15700,385230,2998573.0,190991897.0
2001-05-21,15700,15900,15450,15450,169060,2950825.0,190991897.0
2001-05-22,15550,15850,15500,15600,330040,2979474.0,190991897.0
2001-05-23,15700,16350,15600,16150,307130,3084519.0,190991897.0
2001-05-24,16100,16750,15950,16750,254030,3199114.0,190991897.0
2001-05-25,16900,17500,16600,17300,331160,3304160.0,190991897.0
2001-05-28,17200,17700,17150,17500,166930,3342358.0,190991897.0
2001-05-29,17500,18500,17500,18500,718690,3533350.0,190991897.0
2001-05-30,18900,19050,18350,18450,458460,3523800.0,190991897.0
2001-05-31,18000,19000,17950,18350,303310,3504701.0,190991897.0
2001-06-01,18350,18600,18000,18000,185390,3437854.0,190991897.0
2001-06-04,18200,18400,17250,18100,128770,3456953.0,190991897.0
2001-06-05,18400,18500,17600,17700,227760,3380557.0,190991897.0
2001-06-07,17500,18100,16350,16800,260670,3208664.0,190991897.0
2001-06-08,16800,16900,16050,16850,153760,3218213.0,190991897.0
2001-06-11,16400,16850,16100,16400,337930,3132267.0,190991897.0
2001-06-12,16750,17000,16400,16700,140540,3189565.0,190991897.0
