BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-06,175000,181500,175000,178500,31600,3085177.0,17283906.0
2018-07-09,177500,181000,177000,178500,19780,3085177.0,17283906.0
2018-07-10,177000,181000,177000,179000,23103,3093819.0,17283906.0
2018-07-11,177000,180000,176500,177500,25398,3067893.0,17283906.0
2018-07-12,180000,181000,177000,178500,38101,3085177.0,17283906.0
2018-07-13,178000,181500,178000,179500,27367,3102461.0,17283906.0
2018-07-16,175500,175500,159500,165500,223889,2860486.0,17283906.0
2018-07-17,165500,171000,162000,170000,21565,2938264.0,17283906.0
2018-07-18,169000,170000,161000,163000,74839,2817277.0,17283906.0
2018-07-19,162000,166500,159000,159000,19688,2748141.0,17283906.0
2018-07-20,157500,157500,144500,149500,119967,2583944.0,17283906.0
2018-07-23,150000,155000,149500,150500,64321,2601228.0,17283906.0
2018-07-24,150500,158500,150000,157500,60120,2722215.0,17283906.0
2018-07-25,156500,164500,153500,161000,48008,2782709.0,17283906.0
2018-07-26,163500,165500,162500,165000,32060,2851844.0,17283906.0
2018-07-27,168000,168500,160000,164000,29688,2834561.0,17283906.0
2018-07-30,163000,165500,160000,164500,13689,2843203.0,17283906.0
2018-07-31,166500,173500,166000,169000,51778,2920980.0,17283906.0
2018-08-01,169000,173000,166000,166500,21642,2877770.0,17283906.0
2018-08-02,166000,172000,165000,165500,16015,2860486.0,17283906.0
2018-08-03,163500,169500,163000,164500,37148,2843203.0,17283906.0
2018-08-06,164000,171000,164000,168000,37724,2903696.0,17283906.0
2018-08-07,165500,169000,164500,167500,11976,2895054.0,17283906.0
2018-08-08,167500,167500,162500,166000,20429,2869128.0,17283906.0
2018-08-09,168000,169500,165000,169500,16035,2929622.0,17283906.0
2018-08-10,167000,173000,165500,171500,41290,2964190.0,17283906.0
2018-08-13,172000,172000,166000,166500,20363,2877770.0,17283906.0
2018-08-14,169500,169500,161500,162500,13054,2808635.0,17283906.0
2018-08-16,162500,164500,160000,161000,20254,2782709.0,17283906.0
2018-08-17,160000,162500,158500,161500,12424,2791351.0,17283906.0
2018-08-20,164000,166500,162000,165500,11994,2860486.0,17283906.0
2018-08-21,165500,167000,163000,165000,21098,2851844.0,17283906.0
2018-08-22,164500,165000,161000,161000,31235,2782709.0,17283906.0
2018-08-23,161000,164000,158500,159000,14234,2748141.0,17283906.0
2018-08-24,158000,162000,157500,159000,21653,2748141.0,17283906.0
2018-08-27,159500,168500,159500,166500,26875,2877770.0,17283906.0
2018-08-28,167500,188000,167500,180000,58210,3111103.0,17283906.0
2018-08-29,181000,182000,176000,176500,13795,3050609.0,17283906.0
2018-08-30,175500,176500,169500,170000,16754,2938264.0,17283906.0
2018-08-31,171500,173500,168500,171500,23304,2964190.0,17283906.0
2018-09-03,170500,176000,170500,175500,18743,3033326.0,17283906.0
2018-09-04,174500,174500,170000,174500,12813,3016042.0,17283906.0
2018-09-05,173000,176500,172000,176000,14888,3041967.0,17283906.0
2018-09-06,176500,177500,172000,172500,13831,2981474.0,17283906.0
2018-09-07,177000,181500,173500,181500,26900,3137029.0,17283906.0
2018-09-10,178000,192500,177500,191000,52077,3301226.0,17283906.0
2018-09-11,189000,195000,188500,194500,34436,3361720.0,17283906.0
2018-09-12,195000,196000,190500,193500,25808,3344436.0,17283906.0
2018-09-13,197000,199000,193000,198500,36796,3430855.0,17283906.0
2018-09-14,197500,201500,196500,197500,16060,3413571.0,17283906.0
2018-09-17,194500,196500,192500,195000,71331,3370362.0,17283906.0
2018-09-18,193000,198000,193000,195500,13847,3379004.0,17283906.0
2018-09-19,193000,199500,193000,198000,16882,3422213.0,17283906.0
2018-09-20,195500,200000,194500,195000,21026,3370362.0,17283906.0
2018-09-21,200500,201000,195000,201000,23586,3474065.0,17283906.0
2018-09-27,201000,215000,194500,212500,50760,3672830.0,17283906.0
2018-09-28,209500,212000,203000,205500,31219,3551843.0,17283906.0
2018-10-01,203000,204500,193500,195000,27749,3370362.0,17283906.0
2018-10-02,194500,197000,192000,195000,14820,3370362.0,17283906.0
2018-10-04,197000,200500,193000,198000,46768,3422213.0,17283906.0
2018-10-05,199500,202000,194500,200000,26294,3456781.0,17283906.0
2018-10-08,202000,203000,200000,201000,32698,3474065.0,17283906.0
