현대글로비스(086280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-06-05,33200,33200,31450,32100,197239,1203750.0,37500000.0
2006-06-07,30950,31400,30050,30700,272804,1151250.0,37500000.0
2006-06-08,30400,30600,29500,30000,279854,1125000.0,37500000.0
2006-06-09,30500,32100,30200,31700,230385,1188750.0,37500000.0
2006-06-12,31100,32350,30800,31800,164085,1192500.0,37500000.0
2006-06-13,31000,31900,30500,30550,145314,1145625.0,37500000.0
2006-06-14,30550,31400,30100,31100,81237,1166250.0,37500000.0
2006-06-15,31500,31850,30800,31450,140785,1179375.0,37500000.0
2006-06-16,32200,34750,31800,33800,506849,1267500.0,37500000.0
2006-06-19,33600,33700,32700,33150,124925,1243125.0,37500000.0
2006-06-20,32500,32700,31000,31000,179543,1162500.0,37500000.0
2006-06-21,31100,32150,30750,31550,131970,1183125.0,37500000.0
2006-06-22,32050,32350,31050,31050,144276,1164375.0,37500000.0
2006-06-23,30850,31500,30500,31500,98113,1181250.0,37500000.0
2006-06-26,31200,31550,30800,31000,98840,1162500.0,37500000.0
2006-06-27,31400,31500,30900,30950,129537,1160625.0,37500000.0
2006-06-28,30500,33900,30250,33500,523301,1256250.0,37500000.0
2006-06-29,35650,35650,33300,33500,394103,1256250.0,37500000.0
2006-06-30,34500,34500,33500,33650,218315,1261875.0,37500000.0
2006-07-03,33750,33750,32850,32950,172451,1235625.0,37500000.0
2006-07-04,33100,34950,33000,34750,490612,1303125.0,37500000.0
2006-07-05,33450,34700,33450,33750,247664,1265625.0,37500000.0
2006-07-06,33600,34400,32550,32600,179440,1222500.0,37500000.0
2006-07-07,33100,33700,32850,33700,124892,1263750.0,37500000.0
2006-07-10,33500,34700,33300,34400,230054,1290000.0,37500000.0
2006-07-11,34400,35650,33850,35000,273516,1312500.0,37500000.0
2006-07-12,35300,35500,34000,34300,191319,1286250.0,37500000.0
2006-07-13,33700,34450,33400,33550,140428,1258125.0,37500000.0
2006-07-14,32900,32900,32250,32250,162484,1209375.0,37500000.0
2006-07-18,31650,32200,31000,31000,98488,1162500.0,37500000.0
2006-07-19,31000,31500,30700,30750,98134,1153125.0,37500000.0
2006-07-20,31800,32000,31350,31650,85950,1186875.0,37500000.0
2006-07-21,31200,32950,31100,32400,91939,1215000.0,37500000.0
2006-07-24,33100,33650,32550,32750,121658,1228125.0,37500000.0
2006-07-25,32750,33300,32150,32350,87030,1213125.0,37500000.0
2006-07-26,32500,32850,32200,32750,64550,1228125.0,37500000.0
2006-07-27,33300,33400,32650,32650,95100,1224375.0,37500000.0
2006-07-28,32350,32450,31850,31900,106432,1196250.0,37500000.0
2006-07-31,32250,32600,31700,31750,74816,1190625.0,37500000.0
2006-08-01,31500,32100,31500,31600,67525,1185000.0,37500000.0
2006-08-02,31400,32500,31350,31950,64664,1198125.0,37500000.0
2006-08-03,32100,32900,32100,32150,85671,1205625.0,37500000.0
2006-08-04,32600,32600,31850,32400,83372,1215000.0,37500000.0
2006-08-07,32550,32650,31900,32000,51596,1200000.0,37500000.0
2006-08-08,31950,32100,31350,31800,57097,1192500.0,37500000.0
2006-08-09,32000,32300,31850,31950,53870,1198125.0,37500000.0
2006-08-10,31900,31900,31300,31400,113450,1177500.0,37500000.0
2006-08-11,31500,32850,31450,31800,122470,1192500.0,37500000.0
2006-08-14,31600,32200,31450,31800,72841,1192500.0,37500000.0
2006-08-16,32300,32400,31800,31800,108693,1192500.0,37500000.0
2006-08-17,32050,33100,31800,32650,222298,1224375.0,37500000.0
2006-08-18,32700,33050,32250,32500,87136,1218750.0,37500000.0
2006-08-21,32500,32800,31550,31650,112680,1186875.0,37500000.0
2006-08-22,31800,31850,31600,31750,77641,1190625.0,37500000.0
2006-08-23,31750,32400,31700,31800,102375,1192500.0,37500000.0
2006-08-24,31800,31800,31100,31300,90839,1173750.0,37500000.0
2006-08-25,31300,31500,31200,31250,92983,1171875.0,37500000.0
2006-08-28,31450,31450,31100,31100,73268,1166250.0,37500000.0
2006-08-29,31200,31350,31150,31200,99186,1170000.0,37500000.0
2006-08-30,31250,31350,30800,31100,143698,1166250.0,37500000.0
2006-08-31,31200,31800,31150,31650,165198,1186875.0,37500000.0
2006-09-01,32100,34600,31900,34550,750899,1295625.0,37500000.0
2006-09-04,35150,35200,34100,34350,277387,1288125.0,37500000.0
2006-09-05,34500,35600,34500,35250,383474,1321875.0,37500000.0
2006-09-06,35000,35900,34650,35100,216473,1316250.0,37500000.0
2006-09-07,34700,34900,34150,34500,112037,1293750.0,37500000.0
2006-09-08,34400,35900,33950,35900,242072,1346250.0,37500000.0
2006-09-11,36000,36250,32650,32650,540912,1224375.0,37500000.0
2006-09-12,32500,32550,30800,31850,364616,1194375.0,37500000.0
2006-09-13,32300,32450,31500,31750,163320,1190625.0,37500000.0
2006-09-14,31500,32550,31500,32350,143415,1213125.0,37500000.0
2006-09-15,32200,33000,32050,32650,132245,1224375.0,37500000.0
2006-09-18,32850,33150,32800,32950,109134,1235625.0,37500000.0
2006-09-19,33000,33650,32650,33150,103881,1243125.0,37500000.0
2006-09-20,33100,33250,32750,32850,93913,1231875.0,37500000.0
2006-09-21,32950,33500,32950,32950,94510,1235625.0,37500000.0
2006-09-22,32700,32800,31850,31950,111555,1198125.0,37500000.0
2006-09-25,31400,32000,31400,31800,68995,1192500.0,37500000.0
2006-09-26,32000,32000,31300,31400,104255,1177500.0,37500000.0
2006-09-27,31200,31650,31200,31300,78623,1173750.0,37500000.0
2006-09-28,31300,31650,31300,31450,88664,1179375.0,37500000.0
2006-09-29,31850,33150,31800,32500,165210,1218750.0,37500000.0
2006-10-02,32200,33000,32000,32000,66409,1200000.0,37500000.0
2006-10-04,32400,32400,31350,31400,77885,1177500.0,37500000.0
2006-10-09,31000,31500,28700,28900,327770,1083750.0,37500000.0
2006-10-10,28600,29650,28600,29400,151376,1102500.0,37500000.0
2006-10-11,29250,29400,28600,28650,123384,1074375.0,37500000.0
2006-10-12,28550,29150,28550,29000,89742,1087500.0,37500000.0
2006-10-13,29600,30600,29200,29900,127974,1121250.0,37500000.0
2006-10-16,30150,30400,29600,29700,72018,1113750.0,37500000.0
2006-10-17,29900,30000,28750,29100,105080,1091250.0,37500000.0
2006-10-18,29100,29300,28800,29200,50446,1095000.0,37500000.0
2006-10-19,29400,29400,28950,28950,51789,1085625.0,37500000.0
2006-10-20,29000,29600,28950,29150,66595,1093125.0,37500000.0
2006-10-23,29500,29900,29400,29700,70462,1113750.0,37500000.0
2006-10-24,30000,30100,29350,29650,67556,1111875.0,37500000.0
2006-10-25,29600,29750,29350,29500,84722,1106250.0,37500000.0
2006-10-26,29500,29900,29400,29600,53357,1110000.0,37500000.0
2006-10-27,29650,29850,29350,29500,57400,1106250.0,37500000.0
2006-10-30,29450,29600,29250,29300,34694,1098750.0,37500000.0
2006-10-31,29250,29450,29000,29450,47161,1104375.0,37500000.0
2006-11-01,29800,30350,29550,30300,71434,1136250.0,37500000.0
2006-11-02,30050,30300,29850,30150,36512,1130625.0,37500000.0
2006-11-03,30100,30400,30050,30050,43820,1126875.0,37500000.0
2006-11-06,29450,30300,29450,30000,46540,1125000.0,37500000.0
2006-11-07,30300,30300,29900,30200,59350,1132500.0,37500000.0
2006-11-08,30300,30300,29800,29850,32500,1119375.0,37500000.0
2006-11-09,29850,30000,29850,30000,37772,1125000.0,37500000.0
2006-11-10,29750,30000,29750,29900,35601,1121250.0,37500000.0
2006-11-13,29800,29900,29550,29700,47870,1113750.0,37500000.0
2006-11-14,29900,30400,29700,30200,67211,1132500.0,37500000.0
2006-11-15,30550,30600,30300,30600,67711,1147500.0,37500000.0
2006-11-16,30700,31750,30550,31750,125945,1190625.0,37500000.0
2006-11-17,31750,32700,31300,31800,141115,1192500.0,37500000.0
2006-11-20,31750,31950,31100,31100,59076,1166250.0,37500000.0
2006-11-21,31100,31500,30400,30800,62482,1155000.0,37500000.0
2006-11-22,31000,31250,30650,31150,39191,1168125.0,37500000.0
2006-11-23,30900,31000,30550,30700,47889,1151250.0,37500000.0
2006-11-24,30500,31100,30500,30950,38831,1160625.0,37500000.0
2006-11-27,30600,30900,30600,30800,24720,1155000.0,37500000.0
2006-11-28,30550,30700,30300,30400,35360,1140000.0,37500000.0
2006-11-29,30250,30900,30250,30400,30920,1140000.0,37500000.0
2006-11-30,30650,30700,30300,30400,30186,1140000.0,37500000.0
2006-12-01,30400,30750,30350,30450,34266,1141875.0,37500000.0
2006-12-04,30550,30650,29850,29900,39252,1121250.0,37500000.0
2006-12-05,29800,30250,29800,29850,23162,1119375.0,37500000.0
2006-12-06,29850,29850,29150,29250,47760,1096875.0,37500000.0
2006-12-07,29250,29550,29050,29300,35240,1098750.0,37500000.0
2006-12-08,29250,29450,28700,28800,38161,1080000.0,37500000.0
2006-12-11,28750,28950,28750,28800,24950,1080000.0,37500000.0
2006-12-12,28650,29100,28600,28650,38484,1074375.0,37500000.0
2006-12-13,28300,28900,28300,28900,28394,1083750.0,37500000.0
2006-12-14,28900,29300,28700,29300,20071,1098750.0,37500000.0
2006-12-15,29400,30000,29000,29450,26581,1104375.0,37500000.0
2006-12-18,29400,30100,29400,29950,43317,1123125.0,37500000.0
2006-12-19,29950,30100,29600,29600,18511,1110000.0,37500000.0
2006-12-20,29700,29900,29350,29500,43370,1106250.0,37500000.0
2006-12-21,29600,29650,29000,29050,31738,1089375.0,37500000.0
2006-12-22,29050,29350,29000,29200,125820,1095000.0,37500000.0
2006-12-26,29400,29400,28550,28650,51151,1074375.0,37500000.0
2006-12-27,28600,28800,27900,28050,82787,1051875.0,37500000.0
2006-12-28,28100,28450,28000,28050,31460,1051875.0,37500000.0
2007-01-02,28000,28050,27600,27650,79690,1036875.0,37500000.0
2007-01-03,27550,27950,27550,27550,70050,1033125.0,37500000.0
2007-01-04,27600,27650,26700,27000,74425,1012500.0,37500000.0
2007-01-05,26800,27150,26450,26500,61950,993750.0,37500000.0
2007-01-08,26500,26800,26000,26800,74280,1005000.0,37500000.0
2007-01-09,26600,26850,26350,26350,49682,988125.0,37500000.0
2007-01-10,26100,26150,25050,25200,108640,945000.0,37500000.0
2007-01-11,25400,25700,25100,25450,101254,954375.0,37500000.0
2007-01-12,25500,25750,25400,25550,39070,958125.0,37500000.0
2007-01-15,25700,25700,25350,25350,39069,950625.0,37500000.0
2007-01-16,25350,25550,25150,25500,31123,956250.0,37500000.0
2007-01-17,25650,25700,25400,25450,45198,954375.0,37500000.0
2007-01-18,25450,25450,24650,24650,51380,924375.0,37500000.0
2007-01-19,24100,24150,23000,23200,109408,870000.0,37500000.0
2007-01-22,22900,23300,21600,21600,162714,810000.0,37500000.0
2007-01-23,21600,22100,21300,21500,141869,806250.0,37500000.0
2007-01-24,21800,22300,21800,22200,68198,832500.0,37500000.0
2007-01-25,22250,23700,22250,23100,146531,866250.0,37500000.0
2007-01-26,23000,24300,23000,24000,108864,900000.0,37500000.0
2007-01-29,24550,24650,23550,24000,55380,900000.0,37500000.0
2007-01-30,23950,24700,23950,24450,40380,916875.0,37500000.0
2007-01-31,24250,25200,24250,24950,50847,935625.0,37500000.0
2007-02-01,25000,25550,24850,25550,45020,958125.0,37500000.0
2007-02-02,25500,27500,25500,27000,113590,1012500.0,37500000.0
2007-02-05,27400,27500,26150,26800,112112,1005000.0,37500000.0
2007-02-06,26500,26850,24500,25600,177435,960000.0,37500000.0
2007-02-07,25500,26450,25150,26200,62591,982500.0,37500000.0
2007-02-08,25950,26850,25600,26800,49790,1005000.0,37500000.0
2007-02-09,26800,26900,26350,26800,30531,1005000.0,37500000.0
2007-02-12,26550,26800,25600,25800,87031,967500.0,37500000.0
2007-02-13,25600,26200,25450,26200,35680,982500.0,37500000.0
2007-02-14,26450,26500,25850,26000,35760,975000.0,37500000.0
2007-02-15,25850,26250,25400,25450,69579,954375.0,37500000.0
2007-02-16,25300,25700,25300,25550,36609,958125.0,37500000.0
2007-02-20,25350,26500,25350,25900,40320,971250.0,37500000.0
2007-02-21,26300,26300,25500,25800,59821,967500.0,37500000.0
2007-02-22,25800,26250,25500,26100,58570,978750.0,37500000.0
2007-02-23,26050,26950,25900,26950,80441,1010625.0,37500000.0
2007-02-26,26950,27700,26550,27450,74040,1029375.0,37500000.0
2007-02-27,27100,27400,26850,27050,26911,1014375.0,37500000.0
2007-02-28,26100,26450,25600,26350,63180,988125.0,37500000.0
2007-03-02,26200,26250,25800,26000,25694,975000.0,37500000.0
2007-03-05,25600,25900,25000,25100,48177,941250.0,37500000.0
2007-03-06,25200,25900,25200,25700,25765,963750.0,37500000.0
2007-03-07,25850,26100,25550,25900,32955,971250.0,37500000.0
2007-03-08,25900,26850,25900,26850,52571,1006875.0,37500000.0
2007-03-09,26800,27100,26300,27000,53562,1012500.0,37500000.0
2007-03-12,26750,27450,26750,27350,52274,1025625.0,37500000.0
2007-03-13,27550,27550,27000,27100,28980,1016250.0,37500000.0
2007-03-14,26500,26850,26300,26800,44517,1005000.0,37500000.0
2007-03-15,27000,27100,26700,27100,31732,1016250.0,37500000.0
2007-03-16,27100,27200,26800,27200,33852,1020000.0,37500000.0
2007-03-19,27000,27450,26900,27450,37492,1029375.0,37500000.0
2007-03-20,27300,27500,26850,27250,136934,1021875.0,37500000.0
2007-03-21,27050,27400,26950,26950,49280,1010625.0,37500000.0
2007-03-22,26950,27100,26750,26900,74222,1008750.0,37500000.0
2007-03-23,26900,26950,26250,26250,108232,984375.0,37500000.0
2007-03-26,25300,26200,25200,26200,101562,982500.0,37500000.0
2007-03-27,26050,26300,25750,26000,114883,975000.0,37500000.0
2007-03-28,26000,27300,25950,27000,202280,1012500.0,37500000.0
2007-03-29,26600,28600,26600,28500,218965,1068750.0,37500000.0
2007-03-30,28600,28900,28000,28200,185912,1057500.0,37500000.0
2007-04-02,28700,30450,28500,29650,287701,1111875.0,37500000.0
2007-04-03,30050,32450,29450,31000,377539,1162500.0,37500000.0
2007-04-04,31500,32600,31100,31600,188095,1185000.0,37500000.0
2007-04-05,31600,31800,30500,30750,97098,1153125.0,37500000.0
2007-04-06,30550,31650,30550,30650,88109,1149375.0,37500000.0
2007-04-09,30700,30750,29500,30400,153824,1140000.0,37500000.0
2007-04-10,30800,31150,30050,30300,75551,1136250.0,37500000.0
2007-04-11,30450,30800,30150,30650,83147,1149375.0,37500000.0
2007-04-12,30100,30700,29900,30650,75960,1149375.0,37500000.0
2007-04-13,30600,30600,30100,30550,39797,1145625.0,37500000.0
2007-04-16,30600,30600,29650,30200,83803,1132500.0,37500000.0
2007-04-17,30200,30200,29650,29700,69681,1113750.0,37500000.0
2007-04-18,29250,30100,27900,29900,199229,1121250.0,37500000.0
2007-04-19,29700,29700,28900,28900,40733,1083750.0,37500000.0
2007-04-20,28500,29400,28350,28950,106832,1085625.0,37500000.0
2007-04-23,29050,29250,28400,28400,110210,1065000.0,37500000.0
2007-04-24,28050,28900,27800,28200,94758,1057500.0,37500000.0
2007-04-25,28100,28300,27100,27750,106260,1040625.0,37500000.0
2007-04-26,27900,28750,27900,28300,64940,1061250.0,37500000.0
2007-04-27,28100,28300,27200,27400,54831,1027500.0,37500000.0
2007-04-30,27150,28150,27000,27850,32980,1044375.0,37500000.0
2007-05-02,28000,28500,27500,28450,88920,1066875.0,37500000.0
2007-05-03,28550,28550,27950,28350,70695,1063125.0,37500000.0
2007-05-04,28200,28600,27750,28600,79705,1072500.0,37500000.0
2007-05-07,28600,29100,28100,28100,84698,1053750.0,37500000.0
2007-05-08,28050,28100,27150,27750,97603,1040625.0,37500000.0
2007-05-09,27450,28100,27150,27500,68260,1031250.0,37500000.0
2007-05-10,27350,29200,27150,29200,145858,1095000.0,37500000.0
2007-05-11,29500,33550,29400,33550,625505,1258125.0,37500000.0
2007-05-14,36200,38550,35700,38150,972800,1430625.0,37500000.0
2007-05-15,38450,38450,34500,35000,681665,1312500.0,37500000.0
2007-05-16,35650,37850,35600,36700,371848,1376250.0,37500000.0
2007-05-17,37000,38850,36300,37400,371248,1402500.0,37500000.0
2007-05-18,38050,39450,37050,39450,526731,1479375.0,37500000.0
2007-05-21,38600,41500,38500,40250,552884,1509375.0,37500000.0
2007-05-22,40700,41000,39150,40350,323167,1513125.0,37500000.0
2007-05-23,41000,44850,41000,43000,668266,1612500.0,37500000.0
2007-05-25,43500,48400,43300,46500,797902,1743750.0,37500000.0
2007-05-28,48150,48300,45800,47000,560950,1762500.0,37500000.0
2007-05-29,46900,47000,45700,45700,309559,1713750.0,37500000.0
2007-05-30,45750,51000,45750,48450,559461,1816875.0,37500000.0
2007-05-31,49700,49700,47350,48000,333534,1800000.0,37500000.0
2007-06-01,48000,48000,44650,44650,506855,1674375.0,37500000.0
2007-06-04,44650,47150,42150,43600,474593,1635000.0,37500000.0
2007-06-05,44350,45700,42100,44350,540701,1663125.0,37500000.0
2007-06-07,43350,44900,43100,44600,375334,1672500.0,37500000.0
2007-06-08,43350,44200,43100,43100,189279,1616250.0,37500000.0
2007-06-11,44000,46600,43000,45400,499744,1702500.0,37500000.0
2007-06-12,46400,46500,44200,45200,238303,1695000.0,37500000.0
2007-06-13,44650,44700,43300,43650,167465,1636875.0,37500000.0
2007-06-14,44500,45000,43400,43900,229484,1646250.0,37500000.0
2007-06-15,44000,44500,42100,43200,370334,1620000.0,37500000.0
2007-06-18,43800,43800,42250,42800,307016,1605000.0,37500000.0
2007-06-19,42750,42750,40150,41000,458491,1537500.0,37500000.0
2007-06-20,41500,45700,41100,43400,835207,1627500.0,37500000.0
2007-06-21,43300,45500,42650,43600,363694,1635000.0,37500000.0
2007-06-22,43750,44100,41400,42100,214080,1578750.0,37500000.0
2007-06-25,41450,42500,41200,41350,158057,1550625.0,37500000.0
2007-06-26,41350,41850,38400,40000,332789,1500000.0,37500000.0
2007-06-27,39300,40400,38900,40100,124791,1503750.0,37500000.0
2007-06-28,40650,41100,40200,41100,103426,1541250.0,37500000.0
2007-06-29,41100,41550,40300,41550,100551,1558125.0,37500000.0
2007-07-02,42000,45950,42000,45950,638165,1723125.0,37500000.0
2007-07-03,46700,49250,46500,48500,482670,1818750.0,37500000.0
2007-07-04,49000,51000,47900,49950,440218,1873125.0,37500000.0
2007-07-05,50300,50500,49000,49500,242121,1856250.0,37500000.0
2007-07-06,50400,56900,48500,56000,976654,2100000.0,37500000.0
2007-07-09,56900,58800,55000,58000,436996,2175000.0,37500000.0
2007-07-10,58000,58200,55100,57000,150448,2137500.0,37500000.0
2007-07-11,55600,57500,55600,56000,111603,2100000.0,37500000.0
2007-07-12,56400,59800,56100,58300,264447,2186250.0,37500000.0
2007-07-13,59400,59400,57300,58500,167024,2193750.0,37500000.0
2007-07-16,58100,59200,56700,58500,138471,2193750.0,37500000.0
2007-07-18,58500,61500,58500,59800,260234,2242500.0,37500000.0
2007-07-19,60700,60700,59300,60200,132518,2257500.0,37500000.0
2007-07-20,60300,63400,60300,61300,159523,2298750.0,37500000.0
2007-07-23,60600,62000,59500,61400,114724,2302500.0,37500000.0
2007-07-24,61400,63700,60900,61900,130412,2321250.0,37500000.0
2007-07-25,61000,62500,60800,61600,110344,2310000.0,37500000.0
2007-07-26,63800,64600,61000,61000,233371,2287500.0,37500000.0
2007-07-27,59900,60300,56100,58500,171797,2193750.0,37500000.0
2007-07-30,57400,59200,57000,58000,149092,2175000.0,37500000.0
2007-07-31,58700,61200,58300,61200,97030,2295000.0,37500000.0
2007-08-01,60700,62400,59300,59900,103397,2246250.0,37500000.0
2007-08-02,61000,63200,60400,62900,192462,2358750.0,37500000.0
2007-08-03,64400,64500,61900,63900,108360,2396250.0,37500000.0
2007-08-06,62900,64500,62200,64500,83414,2418750.0,37500000.0
2007-08-07,65300,66800,64200,65000,110319,2437500.0,37500000.0
2007-08-08,65600,65800,63800,65000,81391,2437500.0,37500000.0
2007-08-09,65200,65500,63200,64800,46487,2430000.0,37500000.0
2007-08-10,63500,63900,60100,63200,70621,2370000.0,37500000.0
2007-08-13,62500,62900,60300,61400,82150,2302500.0,37500000.0
2007-08-14,61000,61900,57500,60000,102210,2250000.0,37500000.0
2007-08-16,56400,56900,51000,51000,175060,1912500.0,37500000.0
2007-08-17,50900,51900,47100,48500,218463,1818750.0,37500000.0
2007-08-20,52100,55500,51500,54900,140928,2058750.0,37500000.0
