드림텍(192650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-23,11950,12200,11450,11850,1124027,340046.0,28695850.0
2019-05-24,11900,13100,11800,12350,2375920,354394.0,28695850.0
2019-05-27,12550,13150,11600,11650,1522200,334307.0,28695850.0
2019-05-28,11700,11950,11100,11450,942134,328567.0,28695850.0
2019-05-29,11200,12300,11200,11900,1552675,341481.0,28695850.0
2019-05-30,11900,12350,10900,11100,1035819,318524.0,28695850.0
2019-05-31,11100,11250,10600,11000,478259,315654.0,28695850.0
2019-06-03,10550,10850,10100,10700,1462264,613444.0,57331200.0
2019-06-04,10700,11050,10550,10850,960328,622044.0,57331200.0
2019-06-05,11050,11250,10800,11000,831056,630643.0,57331200.0
2019-06-07,11150,11350,10900,11000,723864,630643.0,57331200.0
2019-06-10,11100,11200,10250,10350,1475036,593378.0,57331200.0
2019-06-11,10300,10350,9860,10000,1175682,573312.0,57331200.0
2019-06-12,10100,10300,9930,10200,771127,584778.0,57331200.0
2019-06-13,10150,10800,10100,10750,1232501,616310.0,57331200.0
2019-06-14,10950,11100,10650,10700,934237,613444.0,57331200.0
2019-06-17,10650,10850,10100,10150,799715,581912.0,57331200.0
2019-06-18,10150,10400,10050,10200,512445,584778.0,57331200.0
2019-06-19,10350,10450,9970,10000,707391,573312.0,57331200.0
2019-06-20,9750,10250,9400,10050,812349,576179.0,57331200.0
2019-06-21,10200,10200,9900,10050,509044,576179.0,57331200.0
2019-06-24,10050,10050,9610,9610,570377,558079.0,58072780.0
2019-06-25,9690,9700,8750,8880,1636492,515686.0,58072780.0
2019-06-26,8810,9080,8500,8550,987656,496522.0,58072780.0
2019-06-27,8570,8700,8310,8500,981839,493619.0,58072780.0
2019-06-28,8450,9480,8440,8900,2593012,516848.0,58072780.0
2019-07-01,8770,8910,8010,8030,1668663,466324.0,58072780.0
2019-07-02,8070,8120,7820,8000,585044,464582.0,58072780.0
2019-07-03,8050,8170,7850,7960,491098,462259.0,58072780.0
2019-07-04,7920,8120,7820,7990,573378,464002.0,58072780.0
2019-07-05,8100,8330,8020,8140,732276,472712.0,58072780.0
2019-07-08,8050,8060,7330,7450,1060149,432642.0,58072780.0
2019-07-09,7410,7640,7110,7410,633837,430319.0,58072780.0
2019-07-10,7310,7500,7310,7390,376591,429158.0,58072780.0
2019-07-11,7430,7660,7430,7530,312246,437288.0,58072780.0
2019-07-12,7530,8590,7420,8010,3763880,465163.0,58072780.0
2019-07-15,8080,8390,8040,8160,1515716,473874.0,58072780.0
2019-07-16,8200,8230,7900,7950,685604,461679.0,58072780.0
2019-07-17,7970,8350,7640,8170,905716,474455.0,58072780.0
2019-07-18,8230,8740,8190,8580,1836867,498264.0,58072780.0
2019-07-19,8580,8650,8310,8480,651840,492457.0,58072780.0
2019-07-22,8500,8500,8190,8300,411170,482004.0,58072780.0
2019-07-23,8290,8650,8200,8310,684810,482585.0,58072780.0
2019-07-24,8280,8480,8100,8240,466403,478520.0,58072780.0
2019-07-25,8310,8430,7500,7980,740868,463421.0,58072780.0
2019-07-26,7900,8110,7600,7800,444761,453537.0,58145762.0
2019-07-29,7800,7930,7100,7280,488154,423301.0,58145762.0
2019-07-30,7230,7730,7230,7680,450422,446559.0,58145762.0
2019-07-31,7650,7780,7400,7700,293925,447722.0,58145762.0
2019-08-01,7600,7900,7490,7490,391448,435512.0,58145762.0
2019-08-02,7430,7650,7120,7470,290077,434349.0,58145762.0
2019-08-05,7370,7460,6680,6690,692446,388995.0,58145762.0
2019-08-06,6360,6710,5730,6500,743615,377947.0,58145762.0
2019-08-07,6460,6790,6460,6620,356200,384925.0,58145762.0
2019-08-08,6750,6930,6660,6890,321464,400624.0,58145762.0
2019-08-09,6940,7020,6820,6830,205983,397136.0,58145762.0
2019-08-12,6810,6880,6590,6840,180525,397717.0,58145762.0
2019-08-13,6840,6860,6680,6710,191232,390158.0,58145762.0
2019-08-14,6770,6850,6620,6680,234691,388414.0,58145762.0
2019-08-16,6510,6630,6460,6530,197413,379692.0,58145762.0
2019-08-19,6550,6670,6310,6530,198791,379692.0,58145762.0
2019-08-20,6600,6810,6500,6760,271202,393065.0,58145762.0
2019-08-21,6750,6850,6630,6820,274341,396554.0,58145762.0
2019-08-22,6880,6880,6550,6590,337695,383181.0,58145762.0
2019-08-23,6530,6560,6360,6440,288053,374862.0,58208421.0
2019-08-26,6250,6250,5990,6040,276257,351579.0,58208421.0
2019-08-27,6100,6290,6050,6080,202132,353907.0,58208421.0
2019-08-28,6040,6330,6040,6320,194990,367877.0,58208421.0
2019-08-29,6300,6320,6090,6130,220888,356818.0,58208421.0
2019-08-30,6220,6330,6190,6230,204058,362638.0,58208421.0
2019-09-02,6230,6450,6120,6400,230860,372534.0,58208421.0
2019-09-03,6380,6420,6270,6290,141908,366131.0,58208421.0
2019-09-04,6290,6420,6200,6360,169567,370206.0,58208421.0
2019-09-05,6410,6750,6400,6690,593482,389414.0,58208421.0
2019-09-06,6810,6900,6500,6580,282337,383011.0,58208421.0
2019-09-09,6650,6710,6280,6310,380205,367295.0,58208421.0
2019-09-10,6310,6640,6280,6540,366218,380683.0,58208421.0
2019-09-11,6560,6680,6500,6550,172355,381265.0,58208421.0
2019-09-16,6550,6650,6430,6610,198460,384758.0,58208421.0
2019-09-17,6610,7270,6520,6830,1746382,397564.0,58208421.0
2019-09-18,6900,6930,6690,6750,474803,392907.0,58208421.0
2019-09-19,6920,7150,6850,6980,1285501,406295.0,58208421.0
2019-09-20,7120,7200,6910,6950,714903,404549.0,58208421.0
2019-09-23,6960,6960,6730,6770,357902,394071.0,58208421.0
2019-09-24,6800,7030,6760,6820,530127,396981.0,58208421.0
2019-09-25,6800,6830,6580,6580,346946,383011.0,58208421.0
2019-09-26,6550,6750,6530,6650,204025,387086.0,58208421.0
2019-09-27,6680,6790,6580,6620,300341,385340.0,58208421.0
2019-09-30,6730,6740,6220,6690,268325,389414.0,58208421.0
2019-10-01,6620,6670,6420,6570,321720,382429.0,58208421.0
2019-10-02,6470,6560,6430,6490,170699,377773.0,58208421.0
2019-10-04,6480,6540,6310,6310,251715,384911.0,61000157.0
2019-10-07,6350,6390,6240,6260,166153,381861.0,61000157.0
