현대오토에버(307950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-19,68300,68300,63100,65600,66803,1377600.0,21000000.0
2019-06-20,65300,66400,64800,66000,23892,1386000.0,21000000.0
2019-06-21,66600,66600,64100,64100,20172,1346100.0,21000000.0
2019-06-24,63800,64500,62000,62200,22291,1306200.0,21000000.0
2019-06-25,61500,62500,60400,60800,34227,1276800.0,21000000.0
2019-06-26,60800,61800,60100,60800,18212,1276800.0,21000000.0
2019-06-27,61000,64300,60900,63000,36594,1323000.0,21000000.0
2019-06-28,58800,62800,58000,61100,269756,1283100.0,21000000.0
2019-07-01,61200,61500,58700,59200,82759,1243200.0,21000000.0
2019-07-02,59200,59200,57500,57600,60234,1209600.0,21000000.0
2019-07-03,58200,58500,56600,56700,44188,1190700.0,21000000.0
2019-07-04,56200,57700,55400,56300,40557,1182300.0,21000000.0
2019-07-05,56500,56800,54800,55600,51076,1167600.0,21000000.0
2019-07-08,55600,55700,51100,51200,109598,1075200.0,21000000.0
2019-07-09,50800,54600,50800,53300,84566,1119300.0,21000000.0
2019-07-10,53300,55600,52800,53100,43812,1115100.0,21000000.0
2019-07-11,52700,55000,52700,53200,41173,1117200.0,21000000.0
2019-07-12,52900,53500,52400,52400,24627,1100400.0,21000000.0
2019-07-15,52600,53500,51900,52300,19253,1098300.0,21000000.0
2019-07-16,52100,52700,51000,51200,45483,1075200.0,21000000.0
2019-07-17,51100,52000,51000,51500,23198,1081500.0,21000000.0
2019-07-18,51500,51900,50800,51200,20087,1075200.0,21000000.0
2019-07-19,51000,54400,51000,53400,49236,1121400.0,21000000.0
2019-07-22,54000,55700,53500,54800,47062,1150800.0,21000000.0
2019-07-23,55000,55400,53800,54100,23645,1136100.0,21000000.0
2019-07-24,53900,54700,53200,53200,21882,1117200.0,21000000.0
2019-07-25,52900,54200,52200,53500,19185,1123500.0,21000000.0
2019-07-26,52500,54300,52500,53900,19863,1131900.0,21000000.0
2019-07-29,53500,53500,51000,51700,25489,1085700.0,21000000.0
2019-07-30,51700,52300,51400,52000,14368,1092000.0,21000000.0
2019-07-31,51500,51900,50200,51500,19936,1081500.0,21000000.0
2019-08-01,51400,53500,51400,52100,20616,1094100.0,21000000.0
2019-08-02,51200,52900,50700,52000,19554,1092000.0,21000000.0
2019-08-05,51200,52200,48800,48850,51705,1025850.0,21000000.0
2019-08-06,47250,48450,46500,47000,36884,987000.0,21000000.0
2019-08-07,46500,54500,46500,52500,117671,1102500.0,21000000.0
2019-08-08,52900,54700,52900,53900,50875,1131900.0,21000000.0
2019-08-09,54000,54600,52300,52700,32422,1106700.0,21000000.0
2019-08-12,52800,54100,52200,53900,21974,1131900.0,21000000.0
2019-08-13,53300,53700,52700,53200,16108,1117200.0,21000000.0
2019-08-14,53700,54000,52600,53400,12006,1121400.0,21000000.0
2019-08-16,52200,53700,52200,53500,13088,1123500.0,21000000.0
2019-08-19,54200,56000,53700,55700,45924,1169700.0,21000000.0
2019-08-20,55700,56100,54800,55900,26306,1173900.0,21000000.0
2019-08-21,56300,56700,55300,56600,27503,1188600.0,21000000.0
2019-08-22,56800,57000,55800,56100,16704,1178100.0,21000000.0
2019-08-23,55200,57600,54700,57400,27957,1205400.0,21000000.0
2019-08-26,55700,56400,54300,54500,490999,1144500.0,21000000.0
2019-08-27,55500,56100,53100,53800,29910,1129800.0,21000000.0
2019-08-28,54900,54900,52700,53200,25697,1117200.0,21000000.0
2019-08-29,53100,53200,51900,52800,27583,1108800.0,21000000.0
2019-08-30,53200,54100,53100,53300,12363,1119300.0,21000000.0
2019-09-02,53800,53800,51900,52500,22605,1102500.0,21000000.0
2019-09-03,52100,52900,50800,51500,66571,1081500.0,21000000.0
2019-09-04,50700,53200,50600,53100,26209,1115100.0,21000000.0
2019-09-05,53300,53600,52400,53000,27631,1113000.0,21000000.0
2019-09-06,53000,53400,52200,52300,7800,1098300.0,21000000.0
2019-09-09,52400,53000,50700,51100,19159,1073100.0,21000000.0
2019-09-10,51400,51800,50900,51100,15922,1073100.0,21000000.0
2019-09-11,51000,51600,50900,51600,14674,1083600.0,21000000.0
2019-09-16,51800,51800,51100,51600,7709,1083600.0,21000000.0
2019-09-17,51600,52500,51600,51800,14835,1087800.0,21000000.0
2019-09-18,52700,52900,51800,52300,26577,1098300.0,21000000.0
2019-09-19,52700,54300,51800,54000,55572,1134000.0,21000000.0
2019-09-20,54500,55400,53200,55200,48919,1159200.0,21000000.0
2019-09-23,55500,55500,54500,55400,24023,1163400.0,21000000.0
2019-09-24,55800,57900,55800,57500,88889,1207500.0,21000000.0
2019-09-25,57500,58200,56100,57300,50346,1203300.0,21000000.0
2019-09-26,57400,57700,54800,56000,58822,1176000.0,21000000.0
2019-09-27,56500,56500,55200,55500,12629,1165500.0,21000000.0
2019-09-30,52000,54400,52000,54100,239174,,
2019-10-01,53900,54700,53700,54700,86168,,
2019-10-02,54000,54300,53200,53900,50360,,
2019-10-04,54100,54300,52300,52300,45427,,
2019-10-07,52500,52700,51000,51100,57247,,
