S&TC(100840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-05-29,26178,26622,26178,26496,9393,198146.0,2373000.0
2008-05-30,26495,27796,26019,27796,16452,207875.0,2373000.0
2008-06-02,27225,27606,26622,26972,9287,201705.0,2373000.0
2008-06-03,26971,26971,26368,26655,5691,199332.0,2373000.0
2008-06-04,26875,26875,26495,26877,9724,200993.0,2373000.0
2008-06-05,26939,26939,26336,26655,9464,199332.0,2373000.0
2008-06-09,26178,26971,25702,26972,22056,201705.0,2373000.0
2008-06-10,26590,26971,26590,26655,5889,199332.0,2373000.0
2008-06-11,26654,26654,26431,26655,5198,199332.0,2373000.0
2008-06-12,26051,26971,26051,26845,11690,200756.0,2373000.0
2008-06-13,26462,27543,26462,26909,23136,201230.0,2373000.0
2008-06-16,26907,27288,26654,26812,11408,200518.0,2373000.0
2008-06-17,27288,27288,26527,26749,5374,200044.0,2373000.0
2008-06-18,26749,26971,26558,26749,8987,200044.0,2373000.0
2008-06-19,26749,26939,26527,26718,3063,199807.0,2373000.0
2008-06-20,26718,27130,26462,26464,5833,197908.0,2373000.0
2008-06-23,26019,26399,25766,26147,12578,195535.0,2373000.0
2008-06-24,26209,26654,26051,26336,5901,196959.0,2373000.0
2008-06-25,26336,26336,26019,26179,6213,195772.0,2373000.0
2008-06-26,26082,26495,25955,26336,11776,196959.0,2373000.0
2008-06-27,26146,26939,25511,26305,12144,196722.0,2373000.0
2008-06-30,26305,26622,25892,26336,13000,196959.0,2373000.0
2008-07-01,26527,26527,25479,26210,7458,196010.0,2373000.0
2008-07-02,25860,26146,24750,24751,4702,185094.0,2373000.0
2008-07-03,23830,24591,22846,23482,11383,175602.0,2373000.0
2008-07-04,23354,23988,22846,23608,5068,176551.0,2373000.0
2008-07-07,22941,23577,22878,22878,2652,171093.0,2373000.0
2008-07-08,22846,23131,21576,22530,10732,168483.0,2373000.0
2008-07-09,22433,24559,22433,24116,8543,180348.0,2373000.0
2008-07-10,22751,25035,22751,25036,16151,187230.0,2373000.0
2008-07-11,25035,25035,24146,24369,7948,182246.0,2373000.0
2008-07-14,24115,25003,23354,24338,5546,182009.0,2373000.0
2008-07-15,24750,24750,23956,23958,3036,179162.0,2373000.0
2008-07-16,24750,24750,23449,24401,8975,182484.0,2373000.0
2008-07-17,24718,25067,24146,24751,57214,185094.0,2373000.0
2008-07-18,24877,25067,24622,24719,12392,184857.0,2373000.0
2008-07-21,24718,25543,24718,25544,10983,191026.0,2373000.0
2008-07-22,25003,25829,25003,25734,7907,192450.0,2373000.0
2008-07-23,25733,25923,25226,25860,4931,193400.0,2373000.0
2008-07-24,25353,26368,25353,26336,5611,196959.0,2373000.0
2008-07-25,26431,27447,25766,27353,4128,204553.0,2373000.0
2008-07-28,27764,27828,27225,27638,3788,206688.0,2373000.0
2008-07-29,27542,27764,27193,27288,1855,204078.0,2373000.0
2008-07-30,27764,27922,27130,27385,2114,204790.0,2373000.0
2008-07-31,27606,27669,27130,27607,1476,206451.0,2373000.0
2008-08-01,27606,27606,25923,26496,5731,198146.0,2373000.0
2008-08-04,26495,26654,25416,25766,1354,192688.0,2373000.0
2008-08-05,25733,25766,24369,24434,10065,182721.0,2373000.0
2008-08-06,24654,25384,24242,25068,6905,187467.0,2373000.0
2008-08-07,25384,25384,23862,25036,13660,187230.0,2373000.0
2008-08-08,25003,25670,25003,25607,1714,191501.0,2373000.0
2008-08-11,25829,26462,25384,26336,3362,196959.0,2373000.0
2008-08-12,26431,26495,25987,26179,1084,195772.0,2373000.0
2008-08-13,26463,26463,25479,26020,2183,194586.0,2373000.0
2008-08-14,26399,26399,25258,26273,6080,196484.0,2373000.0
2008-08-18,26336,26336,25574,26116,1265,195298.0,2373000.0
2008-08-19,25479,26242,25258,25860,1356,193400.0,2373000.0
2008-08-20,25860,25860,25258,25640,5789,191738.0,2373000.0
2008-08-21,25797,25829,24971,25068,2125,187467.0,2373000.0
2008-08-22,24814,25416,23830,25418,2976,190077.0,2373000.0
2008-08-25,25797,25797,24782,25418,636,190077.0,2373000.0
2008-08-26,24464,25353,24464,25131,1521,187942.0,2373000.0
2008-08-27,24750,25130,24274,24592,2853,183908.0,2373000.0
2008-08-28,24369,24718,23830,24434,2599,182721.0,2373000.0
2008-08-29,24432,25353,24146,25353,1125,189603.0,2373000.0
2008-09-01,24432,25290,23543,24116,2706,180348.0,2373000.0
2008-09-02,24115,25004,21989,23291,6768,174178.0,2373000.0
2008-09-03,23258,23258,21989,23101,12508,172754.0,2373000.0
2008-09-04,22846,22846,22306,22498,9338,168246.0,2373000.0
2008-09-05,22338,22655,21418,21800,10752,163025.0,2373000.0
2008-09-08,21799,22528,21005,21261,28765,158991.0,2373000.0
2008-09-09,21259,21863,20212,20752,16089,155194.0,2373000.0
2008-09-10,20783,21164,19895,20466,22259,153058.0,2373000.0
2008-09-11,20783,20878,20466,20658,10969,154482.0,2373000.0
2008-09-12,20720,21640,20720,21578,16637,161364.0,2373000.0
2008-09-16,20148,20878,20022,20022,8570,149736.0,2373000.0
2008-09-17,20244,21576,20244,21418,4587,160178.0,2373000.0
2008-09-18,20783,21196,20244,20942,10016,156618.0,2373000.0
2008-09-19,22021,22021,20624,21261,15902,158991.0,2373000.0
2008-09-22,21259,21545,20466,21134,14154,158042.0,2373000.0
2008-09-23,21100,21735,20657,21418,12536,160178.0,2373000.0
2008-09-24,21196,21640,20783,21641,13587,161839.0,2373000.0
2008-09-25,22116,22116,20847,21578,27653,161364.0,2373000.0
2008-09-26,21164,21387,21005,21261,16902,158991.0,2373000.0
2008-09-29,21100,21227,20498,20942,21172,156618.0,2373000.0
2008-09-30,19799,21133,19355,21134,14683,158042.0,2373000.0
2008-10-01,21133,21133,20720,21102,14133,157804.0,2373000.0
2008-10-02,21100,21100,20498,21038,10417,157330.0,2373000.0
2008-10-06,21133,21133,19514,20276,45331,151635.0,2373000.0
2008-10-07,19673,20624,19577,20466,11565,153058.0,2373000.0
2008-10-08,20053,20466,19197,19642,6690,146889.0,2373000.0
2008-10-09,20783,20783,19260,19674,5851,147126.0,2373000.0
2008-10-10,19291,19291,16848,17960,10283,134312.0,2373000.0
2008-10-13,18245,18943,16372,18722,25610,140007.0,2373000.0
2008-10-14,19990,19990,18880,19071,13732,142617.0,2373000.0
2008-10-15,18721,18943,18118,18690,8319,139770.0,2373000.0
2008-10-16,17197,17451,15896,16087,32525,120311.0,2373000.0
2008-10-17,16150,16341,15167,15866,11413,118650.0,2373000.0
2008-10-20,15230,15959,14596,15961,15669,119362.0,2373000.0
2008-10-21,15580,15896,15214,15548,8876,116277.0,2373000.0
2008-10-22,14944,15690,14596,15264,12773,114141.0,2373000.0
2008-10-23,14089,15484,13358,15485,6283,115802.0,2373000.0
2008-10-24,15754,15754,13168,14596,25980,109158.0,2373000.0
2008-10-27,14579,14579,12406,12407,13550,92784.0,2373000.0
2008-10-28,11423,13073,10851,12962,30011,96937.0,2373000.0
2008-10-29,13516,13786,11041,12661,20279,94683.0,2373000.0
2008-10-30,12454,14532,12454,14533,19437,108683.0,2373000.0
2008-10-31,14485,15643,14056,15231,21186,113904.0,2373000.0
2008-11-03,15262,15802,14928,15803,15142,118175.0,2373000.0
2008-11-04,15865,16182,15389,16183,6572,121023.0,2373000.0
2008-11-05,16817,16817,15865,16437,17033,122921.0,2373000.0
2008-11-06,15611,15643,14754,15215,13533,113785.0,2373000.0
2008-11-07,14897,15674,14628,15231,8540,113904.0,2373000.0
2008-11-10,15310,16150,15310,15548,13950,116277.0,2373000.0
2008-11-11,17863,17863,16627,16627,50865,124345.0,2373000.0
2008-11-12,17134,17673,15802,17294,42689,129328.0,2373000.0
2008-11-13,16245,17071,15722,17071,22476,127667.0,2373000.0
2008-11-14,18086,18086,16690,17071,14401,127667.0,2373000.0
2008-11-17,17039,17166,16182,17008,11348,127193.0,2373000.0
2008-11-18,16911,16911,15992,15993,8925,119599.0,2373000.0
2008-11-19,16245,16309,15563,16183,10919,121023.0,2373000.0
2008-11-20,15357,15865,15357,15834,10842,118413.0,2373000.0
2008-11-21,15516,15928,15262,15771,13717,117938.0,2373000.0
2008-11-24,16023,16182,15722,15803,15876,118175.0,2373000.0
2008-11-25,16499,16499,15706,15707,30622,117464.0,2373000.0
2008-11-26,16558,16652,15328,16654,19957,41765.0,2373000.0
2008-11-27,16936,17977,16368,17978,15432,45087.0,2373000.0
2008-11-28,17693,18167,17504,18167,18203,45562.0,2373000.0
2008-12-01,18450,18687,17740,18073,23882,45324.0,2373000.0
2008-12-02,17315,17740,17079,17316,24106,43426.0,2373000.0
2008-12-03,17315,17788,16605,17410,23316,43663.0,2373000.0
2008-12-04,17410,17646,16936,17410,30108,43663.0,2373000.0
2008-12-05,17031,17552,16700,17410,37116,43663.0,2373000.0
2008-12-08,17646,18498,17410,18404,24066,46155.0,2373000.0
2008-12-09,18829,18923,18167,18167,8445,45562.0,2373000.0
2008-12-10,18403,19017,18167,18640,68523,46748.0,2373000.0
2008-12-11,18544,18923,17552,18830,78465,47223.0,2373000.0
2008-12-12,18403,18640,18119,18262,9950,45799.0,2373000.0
2008-12-15,18450,18734,18025,18167,37507,45562.0,2373000.0
2008-12-16,18119,18450,17740,18451,20910,46274.0,2373000.0
2008-12-17,18734,18734,18167,18735,10250,46985.0,2373000.0
2008-12-18,18781,18781,18261,18451,56403,46274.0,2373000.0
2008-12-19,18450,18781,17598,18640,32036,46748.0,2373000.0
2008-12-22,18498,19113,18308,18877,16989,47341.0,2373000.0
2008-12-23,18167,18167,17315,18073,52897,135316.0,7084612.0
2008-12-24,17977,17977,17031,17505,51689,131065.0,7084612.0
2008-12-26,17125,17125,16652,16843,35065,126106.0,7084612.0
2008-12-29,16416,16936,15895,16890,35031,126460.0,7084612.0
2008-12-30,16605,17315,16605,17031,57407,127523.0,7084612.0
2009-01-02,16936,16936,14476,14761,293727,110520.0,7084612.0
2009-01-05,14855,15328,14570,14761,77697,110520.0,7084612.0
2009-01-06,14949,15281,14712,15139,59846,113354.0,7084612.0
2009-01-07,15281,15422,14855,14950,69145,111937.0,7084612.0
2009-01-08,15043,15139,14666,14950,57373,111937.0,7084612.0
2009-01-09,14902,15328,14666,14666,110044,109811.0,7084612.0
2009-01-12,14570,14570,13908,14382,180020,107686.0,7084612.0
2009-01-13,14381,14381,13766,13957,96298,104498.0,7084612.0
2009-01-14,14003,15470,13814,15329,132551,114771.0,7084612.0
2009-01-15,14949,15564,14524,14524,99868,108749.0,7084612.0
2009-01-16,14997,14997,14381,14761,44244,110520.0,7084612.0
2009-01-19,14949,15375,14902,15187,41846,113708.0,7084612.0
2009-01-20,15375,15375,14666,14903,38479,111583.0,7084612.0
2009-01-21,14524,14712,14239,14477,38632,108395.0,7084612.0
2009-01-22,14618,15233,14570,14950,53758,111937.0,7084612.0
2009-01-23,14760,15990,14760,15754,66620,117959.0,7084612.0
2009-01-28,16085,16274,15801,15991,42754,119730.0,7084612.0
2009-01-29,15895,16274,15895,16039,19320,120084.0,7084612.0
2009-01-30,15754,16037,15375,16039,34468,120084.0,7084612.0
2009-02-02,15943,16037,14807,15234,76847,114062.0,7084612.0
2009-02-03,15185,15375,14807,15329,35139,114771.0,7084612.0
2009-02-04,15470,15801,15328,15612,51662,116896.0,7084612.0
2009-02-05,15612,15658,14949,14950,47276,111937.0,7084612.0
2009-02-06,15281,15375,14760,14997,57174,112291.0,7084612.0
2009-02-09,15091,15328,14807,14903,41720,111583.0,7084612.0
2009-02-10,14949,15091,14666,14856,43810,111228.0,7084612.0
2009-02-11,14524,14949,14381,14950,48885,111937.0,7084612.0
2009-02-12,14902,14902,14618,14761,29998,110520.0,7084612.0
2009-02-13,14570,15564,14570,15566,43580,116542.0,7084612.0
2009-02-16,15706,16652,15564,16370,78783,122564.0,7084612.0
2009-02-17,16463,16510,14949,15234,67435,114062.0,7084612.0
2009-02-18,14902,15091,14334,14666,61832,109811.0,7084612.0
2009-02-19,14855,14855,14097,14193,47138,106269.0,7084612.0
2009-02-20,14051,14097,12868,13436,49760,100601.0,7084612.0
2009-02-23,13151,14381,13104,14004,46982,104852.0,7084612.0
2009-02-24,13482,13908,13341,13436,38642,100601.0,7084612.0
2009-02-25,13814,14051,13151,13153,44995,98476.0,7084612.0
2009-02-26,13151,13577,12726,12774,41288,95642.0,7084612.0
2009-02-27,12678,13151,12678,13153,12078,98476.0,7084612.0
2009-03-02,12915,12915,12111,12207,27427,91391.0,7084612.0
2009-03-03,11638,12442,11448,12348,22174,92454.0,7084612.0
2009-03-04,11969,12962,11969,12680,28774,94934.0,7084612.0
2009-03-05,12962,12962,12489,12726,26280,95288.0,7084612.0
2009-03-06,12157,12773,12157,12774,13730,95642.0,7084612.0
2009-03-09,12773,12915,12584,12774,15530,95642.0,7084612.0
2009-03-10,12584,13199,12584,13105,24132,98122.0,7084612.0
2009-03-11,13482,13672,13151,13531,30450,101310.0,7084612.0
2009-03-12,13341,13719,13341,13626,10326,102018.0,7084612.0
2009-03-13,13672,13956,13435,13720,45349,102727.0,7084612.0
2009-03-16,13766,15754,13766,15329,156760,114771.0,7084612.0
2009-03-17,15658,15658,14666,14997,69332,112291.0,7084612.0
2009-03-18,15043,15706,14855,15187,61386,113708.0,7084612.0
2009-03-19,16983,17456,16558,16890,915658,126460.0,7084612.0
2009-03-20,17031,17410,16227,17031,172513,127523.0,7084612.0
2009-03-23,17362,18544,17362,18356,172621,137441.0,7084612.0
2009-03-24,19017,19065,18261,18546,128386,138858.0,7084612.0
2009-03-25,18687,20579,18450,19728,284502,147714.0,7084612.0
2009-03-26,20059,20342,19254,19917,138247,149131.0,7084612.0
2009-03-27,20295,21430,20153,20344,181665,152319.0,7084612.0
2009-03-30,20153,20153,19207,19965,157720,149485.0,7084612.0
2009-03-31,20153,21667,20106,20344,179174,152319.0,7084612.0
2009-04-01,20815,22897,20248,22614,245493,169322.0,7084612.0
2009-04-02,23654,25973,23087,25973,449582,194473.0,7084612.0
2009-04-03,26635,26825,24601,25548,257048,191285.0,7084612.0
2009-04-06,25547,25973,24743,25169,161872,188451.0,7084612.0
2009-04-07,25452,25452,23087,24318,319463,182075.0,7084612.0
2009-04-08,23797,25547,23370,23939,287295,179241.0,7084612.0
2009-04-09,24270,24885,23654,23845,237870,178532.0,7084612.0
2009-04-10,24601,25074,23749,24791,270815,185617.0,7084612.0
2009-04-13,25736,25831,23891,23987,254994,179595.0,7084612.0
2009-04-14,24506,24506,23370,23655,161441,177115.0,7084612.0
2009-04-15,23181,24885,23087,24223,182083,181366.0,7084612.0
2009-04-16,25074,25925,24506,24507,196643,183491.0,7084612.0
2009-04-17,24789,24979,22661,23182,157851,173573.0,7084612.0
2009-04-20,23607,23985,23039,23891,84021,178886.0,7084612.0
2009-04-21,23560,25358,23039,25358,124738,189868.0,7084612.0
2009-04-22,26020,26635,25074,26400,272370,197661.0,7084612.0
2009-04-23,26682,27534,26114,27535,206750,206162.0,7084612.0
2009-04-24,27771,28290,27156,27251,145925,204037.0,7084612.0
2009-04-27,27439,27817,25831,26683,132900,199786.0,7084612.0
2009-04-28,26493,26540,23654,23655,137206,177115.0,7084612.0
2009-04-29,23939,26729,23939,25927,219789,194118.0,7084612.0
2009-04-30,26493,28338,26209,27677,302363,207225.0,7084612.0
2009-05-04,28480,31697,28007,31699,273875,237335.0,7084612.0
2009-05-06,32170,32549,30657,31130,208982,233084.0,7084612.0
2009-05-07,31697,33306,30420,31320,253536,234501.0,7084612.0
2009-05-08,31176,32643,30751,32645,172356,244419.0,7084612.0
2009-05-11,33306,33306,32028,32597,104969,244065.0,7084612.0
2009-05-12,31745,32123,30278,32124,205621,240523.0,7084612.0
2009-05-13,31745,32596,30988,32408,121400,242648.0,7084612.0
2009-05-14,31555,35908,31130,34631,197264,259297.0,7084612.0
2009-05-15,35009,36428,33921,34821,132278,260714.0,7084612.0
2009-05-18,35198,35198,33543,34489,69390,258234.0,7084612.0
2009-05-19,35104,35813,34204,34962,101547,261776.0,7084612.0
2009-05-20,34962,35293,33779,34348,87095,257171.0,7084612.0
2009-05-21,33921,34252,32170,32645,105923,244419.0,7084612.0
2009-05-22,31981,33495,31318,31320,99351,234501.0,7084612.0
2009-05-25,31366,32596,26635,30421,106575,227770.0,7084612.0
2009-05-26,30845,31461,28859,29759,122427,222811.0,7084612.0
2009-05-27,30278,31461,28906,28907,108003,216435.0,7084612.0
2009-05-28,28386,31035,27344,30799,107082,230604.0,7084612.0
2009-05-29,30940,33685,30230,32076,288391,240168.0,7084612.0
2009-06-01,32643,32643,31508,32029,49260,239814.0,7084612.0
2009-06-02,32218,32738,31035,31036,117423,232375.0,7084612.0
2009-06-03,31603,33022,30845,32739,121760,245128.0,7084612.0
2009-06-04,33069,33211,32123,32787,109711,245482.0,7084612.0
2009-06-05,33211,33448,31272,32172,77252,240877.0,7084612.0
2009-06-08,31981,32596,30703,32076,53998,240168.0,7084612.0
2009-06-09,31697,31791,29805,29805,50337,223165.0,7084612.0
2009-06-10,29805,30561,29615,29805,44333,223165.0,7084612.0
2009-06-11,29426,30136,29048,29759,58634,222811.0,7084612.0
2009-06-12,29994,30893,29568,30610,38906,229187.0,7084612.0
2009-06-15,31224,31224,29663,29711,31697,222457.0,7084612.0
2009-06-16,29190,30467,28763,29144,60022,218206.0,7084612.0
2009-06-17,28953,29332,28102,28528,66043,213601.0,7084612.0
2009-06-18,28386,29757,28338,28528,76094,213601.0,7084612.0
2009-06-19,28953,29663,28527,29332,57679,219623.0,7084612.0
2009-06-22,29379,30136,29379,29380,48467,219977.0,7084612.0
2009-06-23,28669,28763,27771,28197,54746,211121.0,7084612.0
2009-06-24,28575,28575,26682,27251,60668,204037.0,7084612.0
2009-06-25,27250,27959,27202,27629,65960,206871.0,7084612.0
2009-06-26,27913,28102,26398,26683,75971,199786.0,7084612.0
2009-06-29,27061,27061,24885,24933,107963,186680.0,7084612.0
2009-06-30,25168,25641,24127,24791,63373,185617.0,7084612.0
2009-07-01,24270,26966,24270,26446,110953,198015.0,7084612.0
2009-07-02,26540,26871,25878,26589,32713,199078.0,7084612.0
2009-07-03,26020,26493,25878,26210,26795,196244.0,7084612.0
2009-07-06,26493,27486,26256,26494,61922,198369.0,7084612.0
2009-07-07,26588,27250,26304,26825,30987,200849.0,7084612.0
2009-07-08,26493,26729,25547,26304,78570,196952.0,7084612.0
2009-07-09,26351,26777,25689,25737,49660,192701.0,7084612.0
2009-07-10,26020,26020,25263,25642,22545,191993.0,7084612.0
2009-07-13,25358,25689,24080,24602,59340,184200.0,7084612.0
2009-07-14,24979,25452,24316,24365,40754,182429.0,7084612.0
2009-07-15,24412,26067,24412,25737,46907,192701.0,7084612.0
2009-07-16,26114,26304,25594,25595,19545,191639.0,7084612.0
2009-07-17,25689,26020,24601,25122,39871,188096.0,7084612.0
2009-07-20,25121,25925,25074,25785,28902,193056.0,7084612.0
2009-07-21,26114,26446,25547,26304,40230,196952.0,7084612.0
2009-07-22,26493,27156,26067,26400,46215,197661.0,7084612.0
2009-07-23,26398,26635,26067,26068,31420,195181.0,7084612.0
2009-07-24,26209,26588,25878,26021,35710,194827.0,7084612.0
2009-07-27,26067,27013,25973,26873,69897,201203.0,7084612.0
2009-07-28,27250,29426,27250,28859,156616,216081.0,7084612.0
2009-07-29,28953,29899,28244,29286,107190,219269.0,7084612.0
2009-07-30,29284,31318,28811,30751,131612,230250.0,7084612.0
2009-07-31,31130,31224,29805,29805,68709,223165.0,7084612.0
2009-08-03,29757,30372,29000,29096,84484,217852.0,7084612.0
2009-08-04,29284,29710,28575,28765,58111,215372.0,7084612.0
2009-08-05,28763,29521,28480,28813,66885,215726.0,7084612.0
2009-08-06,28811,29474,28196,28386,47200,212538.0,7084612.0
2009-08-07,28575,30609,28196,30184,129604,225999.0,7084612.0
2009-08-10,30278,30940,30278,30751,85131,230250.0,7084612.0
2009-08-11,30278,30514,29048,29474,130124,220686.0,7084612.0
2009-08-12,29048,29615,28669,29144,55473,218206.0,7084612.0
2009-08-13,29426,30041,29237,29759,59199,222811.0,7084612.0
2009-08-14,29805,29994,29095,29380,63629,219977.0,7084612.0
2009-08-17,29615,29615,28622,28623,46958,214310.0,7084612.0
2009-08-18,28622,28763,27675,27961,43893,209350.0,7084612.0
2009-08-19,28102,28669,27439,27440,40796,205454.0,7084612.0
2009-08-20,27865,28102,26871,27724,39340,207579.0,7084612.0
2009-08-21,27913,28196,26635,26967,57232,201911.0,7084612.0
2009-08-24,26966,27250,25925,26116,90641,195535.0,7084612.0
2009-08-25,26162,26871,26114,26683,59404,199786.0,7084612.0
2009-08-26,26777,28290,26777,28150,77810,210767.0,7084612.0
2009-08-27,28149,28244,26919,27488,71213,205808.0,7084612.0
2009-08-28,27534,27723,26493,27014,61015,202266.0,7084612.0
2009-08-31,27061,27202,26209,26589,31967,199078.0,7084612.0
2009-09-01,26398,26682,25925,26683,44622,199786.0,7084612.0
2009-09-02,26446,27202,26114,27156,58062,203328.0,7084612.0
2009-09-03,26729,27344,26162,26210,71184,196244.0,7084612.0
2009-09-04,26493,26493,24885,25548,168445,191285.0,7084612.0
2009-09-07,25973,26114,25168,26116,60709,195535.0,7084612.0
2009-09-08,26114,26588,26020,26589,46950,199078.0,7084612.0
2009-09-09,26777,26825,25736,25737,58358,192701.0,7084612.0
2009-09-10,25831,26966,25831,26258,454755,196598.0,7084612.0
2009-09-11,27061,28149,27061,27913,222797,208996.0,7084612.0
2009-09-14,28102,29048,27913,28765,130565,215372.0,7084612.0
2009-09-15,29000,29048,28196,28954,86791,216789.0,7084612.0
2009-09-16,29095,29805,28575,29144,121560,218206.0,7084612.0
2009-09-17,29332,30041,28906,29805,135861,223165.0,7084612.0
2009-09-18,29899,29899,29048,29427,57020,220331.0,7084612.0
2009-09-21,29142,29615,28622,29190,62329,218560.0,7084612.0
2009-09-22,29048,29474,28244,28859,76734,216081.0,7084612.0
2009-09-23,28859,28859,27723,27724,66025,207579.0,7084612.0
2009-09-24,27817,28669,27439,27961,70382,209350.0,7084612.0
2009-09-25,27959,29000,27771,28859,108691,216081.0,7084612.0
2009-09-28,28859,30845,28527,30515,153311,228479.0,7084612.0
2009-09-29,30751,30940,29805,30326,98678,227062.0,7084612.0
2009-09-30,30278,31697,29757,30278,137087,226708.0,7084612.0
2009-10-01,30088,30514,28433,29474,136594,220686.0,7084612.0
2009-10-05,28859,29663,28433,29049,77307,217498.0,7084612.0
2009-10-06,29142,29474,28575,28576,50328,213955.0,7084612.0
2009-10-07,28953,28953,26919,26919,100642,201557.0,7084612.0
2009-10-08,26919,27771,26919,27440,30811,205454.0,7084612.0
2009-10-09,27581,28290,27439,28292,36551,211830.0,7084612.0
2009-10-12,28575,28669,27771,28339,31290,212184.0,7084612.0
2009-10-13,28433,28953,27865,28671,62872,214664.0,7084612.0
2009-10-14,28622,28859,28196,28671,46600,214664.0,7084612.0
2009-10-15,29190,29663,28859,29569,98541,221394.0,7084612.0
2009-10-16,29757,29757,28480,28859,51518,216081.0,7084612.0
2009-10-19,28669,28859,28244,28859,24001,216081.0,7084612.0
2009-10-20,28575,29048,28386,28671,29317,214664.0,7084612.0
2009-10-21,28669,28717,27817,28150,29137,210767.0,7084612.0
2009-10-22,28102,28811,27723,28292,52935,211830.0,7084612.0
2009-10-23,28290,28717,28007,28717,37425,215018.0,7084612.0
2009-10-26,28433,29000,28338,28528,28995,213601.0,7084612.0
