삼진제약(005500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-04-06,4859,4981,4841,4876,69920,60940.0,2200000.0
1999-04-07,4912,5000,4877,4929,77040,61600.0,2200000.0
1999-04-08,4954,4980,4786,4824,53740,60280.0,2200000.0
1999-04-09,4927,4927,4805,4824,48240,60280.0,2200000.0
1999-04-12,4821,4856,4751,4752,54140,59400.0,2200000.0
1999-04-13,4762,4806,4727,4735,62720,59180.0,2200000.0
1999-04-14,4734,4805,4698,4717,46580,58960.0,2200000.0
1999-04-15,4719,5017,4675,4929,109750,61600.0,2200000.0
1999-04-16,4929,4929,4753,4770,52050,59620.0,2200000.0
1999-04-19,4805,4910,4734,4752,59150,59400.0,2200000.0
1999-04-20,4754,5009,4719,4859,98950,60720.0,2200000.0
1999-04-21,4982,5107,4895,4894,149620,61160.0,2200000.0
1999-04-22,5052,5052,4807,4806,53150,60060.0,2200000.0
1999-04-23,4824,4964,4788,4842,58160,60500.0,2200000.0
1999-04-26,4894,4894,4753,4770,59930,59620.0,2200000.0
1999-04-27,4751,4902,4751,4779,64720,59730.0,2200000.0
1999-04-28,4805,4963,4770,4885,85620,61050.0,2200000.0
1999-04-29,5016,5245,4928,5053,171310,63140.0,2200000.0
1999-04-30,5122,5192,4894,4946,79100,61820.0,2200000.0
1999-05-03,4946,5545,4946,5422,246260,67760.0,2200000.0
1999-05-04,5457,5500,5299,5386,129360,67320.0,2200000.0
1999-05-06,5544,5773,5474,5597,159060,69960.0,2200000.0
1999-05-07,5720,5720,5367,5439,90640,67980.0,2200000.0
1999-05-10,5421,5703,5403,5571,103780,69630.0,2200000.0
1999-05-11,5632,6160,5624,5668,183570,70840.0,2200000.0
1999-05-12,5739,5880,5369,5492,77310,68640.0,2200000.0
1999-05-13,5369,5599,5193,5281,72560,66000.0,2200000.0
1999-05-14,5439,5633,5228,5281,87150,66000.0,2200000.0
1999-05-17,5265,5300,4841,4842,54430,60500.0,2200000.0
1999-05-18,4770,4876,4674,4770,49600,59620.0,2200000.0
1999-05-19,4842,4947,4789,4859,46080,60720.0,2200000.0
1999-05-20,4752,4841,4488,4613,55870,57640.0,2200000.0
1999-05-21,4453,4681,4453,4507,32830,56320.0,2200000.0
1999-05-24,4471,5175,4471,5174,92070,64680.0,2200000.0
1999-05-25,5808,5808,5438,5703,454500,71280.0,2200000.0
1999-05-26,5695,5695,5290,5334,98280,66660.0,2200000.0
1999-05-27,5334,5580,5246,5246,79330,65560.0,2200000.0
1999-05-28,5264,5633,5264,5597,114360,69960.0,2200000.0
1999-05-31,5684,5684,5332,5368,56390,67100.0,2200000.0
1999-06-01,5279,5684,5244,5378,95290,67210.0,2200000.0
1999-06-02,5367,5570,5367,5378,52780,67210.0,2200000.0
1999-06-03,5376,5543,5297,5475,54430,68420.0,2200000.0
1999-06-04,5615,5615,5334,5334,42610,66660.0,2200000.0
1999-06-07,5342,5457,5299,5386,65800,67320.0,2200000.0
1999-06-08,5403,5518,5263,5386,66050,67320.0,2200000.0
1999-06-09,5493,5686,5316,5316,110190,66440.0,2200000.0
1999-06-10,5449,5449,5150,5210,52890,65120.0,2200000.0
1999-06-11,5245,5334,5105,5123,57580,64020.0,2200000.0
1999-06-14,5106,5176,4930,4964,48220,62040.0,2200000.0
1999-06-15,4892,4962,4645,4752,52240,59400.0,2200000.0
1999-06-16,4750,4909,4725,4788,32520,59840.0,2200000.0
1999-06-17,4807,5017,4789,4859,47020,60720.0,2200000.0
1999-06-18,4856,4856,4716,4752,24180,59400.0,2200000.0
1999-06-21,4752,4841,4603,4613,37920,57640.0,2200000.0
1999-06-22,4665,5265,4630,4761,36770,59510.0,2200000.0
1999-06-23,4788,4929,4788,4842,28750,60500.0,2200000.0
1999-06-24,4927,4927,4751,4752,27900,59400.0,2200000.0
1999-06-25,4698,4856,4698,4788,20940,59840.0,2200000.0
1999-06-28,4796,4857,4751,4824,21960,60280.0,2200000.0
1999-06-29,4821,4821,4734,4752,23750,59400.0,2200000.0
1999-06-30,4770,4806,4683,4700,33180,58740.0,2200000.0
1999-07-01,4700,4770,4664,4700,36580,58740.0,2200000.0
1999-07-02,4734,4928,4692,4921,44950,61490.0,2200000.0
1999-07-05,4929,5071,4841,4911,30940,61380.0,2200000.0
1999-07-06,4956,5008,4868,4911,35210,61380.0,2200000.0
1999-07-07,4910,4927,4777,4779,38120,59730.0,2200000.0
1999-07-08,4849,5210,4840,5158,86850,64460.0,2200000.0
1999-07-09,5159,5159,4965,5070,28500,63360.0,2200000.0
1999-07-12,5061,5264,4981,4982,48980,62260.0,2200000.0
1999-07-13,5017,5545,5017,5264,178640,65780.0,2200000.0
1999-07-14,5439,5967,5264,5562,204870,69520.0,2200000.0
1999-07-15,5693,5693,5279,5368,65990,67100.0,2200000.0
1999-07-16,5291,5678,5281,5492,102130,68640.0,2200000.0
1999-07-19,5544,5896,5544,5686,89780,71060.0,2200000.0
1999-07-20,5712,5712,5543,5625,82700,70290.0,2200000.0
1999-07-21,5623,5950,5578,5756,142700,71940.0,2200000.0
1999-07-22,5800,5809,5368,5527,65660,69080.0,2200000.0
1999-07-23,5633,5773,5157,5174,71980,64680.0,2200000.0
1999-07-26,5281,5439,5017,5229,123230,65340.0,2200000.0
1999-07-27,5403,5439,5192,5334,53570,66660.0,2200000.0
1999-07-28,5246,5404,5193,5264,64690,65780.0,2200000.0
1999-07-29,5192,5422,5192,5334,49080,66660.0,2200000.0
1999-07-30,5334,5422,5105,5281,57430,66000.0,2200000.0
1999-08-02,5281,5281,4964,5104,39360,63800.0,2200000.0
1999-08-03,5246,5246,5035,5104,28680,63800.0,2200000.0
1999-08-04,5280,5280,4955,4956,24900,61930.0,2200000.0
1999-08-05,5174,5694,5086,5695,109600,71170.0,2200000.0
1999-08-06,6126,6285,5721,5809,460170,72600.0,2200000.0
1999-08-09,5985,6583,5457,5721,352170,71500.0,2200000.0
1999-08-10,5809,5896,5501,5562,106880,69520.0,2200000.0
1999-08-11,5457,5580,5228,5281,82930,66000.0,2200000.0
1999-08-12,5193,5457,5158,5281,61350,66000.0,2200000.0
1999-08-13,5193,5334,5105,5299,52290,66220.0,2200000.0
1999-08-16,5509,5509,5105,5104,33970,63800.0,2200000.0
1999-08-17,5050,5174,4805,4850,35330,60610.0,2200000.0
1999-08-18,4751,5103,4399,4717,32840,58960.0,2200000.0
1999-08-19,4752,5104,4752,5018,31390,62700.0,2200000.0
1999-08-20,5104,5192,4858,5018,46520,62700.0,2200000.0
1999-08-23,5104,5140,4945,5018,32710,62700.0,2200000.0
1999-08-24,4956,5106,4912,4964,36060,62040.0,2200000.0
1999-08-25,5009,5072,4930,4929,51630,61600.0,2200000.0
1999-08-26,5015,5613,5015,5439,106510,67980.0,2200000.0
1999-08-27,5598,5598,5192,5316,59100,66440.0,2200000.0
1999-08-30,5493,5967,5316,5316,233190,66440.0,2200000.0
1999-08-31,5316,5457,5035,5061,111870,63250.0,2200000.0
1999-09-01,5062,5071,4841,4842,66410,60500.0,2200000.0
1999-09-02,4683,5017,4683,4842,54080,60500.0,2200000.0
1999-09-03,4805,4961,4715,4788,42100,59840.0,2200000.0
1999-09-06,4840,4891,4733,4788,35900,59840.0,2200000.0
1999-09-07,4841,5016,4788,4876,37910,60940.0,2200000.0
1999-09-08,4929,5000,4753,4842,20780,60500.0,2200000.0
1999-09-09,4840,4919,4786,4824,16330,60280.0,2200000.0
1999-09-10,4823,4903,4806,4876,27370,60940.0,2200000.0
1999-09-13,4939,4939,4779,4806,23800,60060.0,2200000.0
1999-09-14,4797,4858,4699,4735,36290,59180.0,2200000.0
1999-09-15,4752,4823,4717,4726,28880,59070.0,2200000.0
1999-09-16,4743,4894,4692,4691,38410,58630.0,2200000.0
1999-09-17,4664,4734,4541,4577,33710,57200.0,2200000.0
1999-09-20,4541,4699,4541,4675,20560,58410.0,2200000.0
1999-09-21,4578,4806,4578,4700,17520,58740.0,2200000.0
1999-09-22,4700,4752,4577,4585,27210,57310.0,2200000.0
1999-09-27,4577,4630,4462,4472,18540,55880.0,2200000.0
1999-09-28,4400,4541,4374,4453,14910,55660.0,2200000.0
1999-09-29,4454,4454,4224,4402,17860,55000.0,2200000.0
1999-09-30,4418,4462,4224,4225,17680,52800.0,2200000.0
1999-10-01,4225,4225,3873,4102,26950,51260.0,2200000.0
1999-10-04,4102,4225,3891,3925,16380,49060.0,2200000.0
1999-10-05,3695,4012,3537,3537,26860,44220.0,2200000.0
1999-10-06,3555,3696,3432,3599,20370,44990.0,2200000.0
1999-10-07,3618,4014,3618,3925,33660,49060.0,2200000.0
1999-10-08,3890,3996,3792,3960,10800,49500.0,2200000.0
1999-10-11,4173,4182,3979,4137,23280,51700.0,2200000.0
1999-10-12,4050,4226,4050,4208,17280,52580.0,2200000.0
1999-10-13,4208,4208,4049,4066,10340,50820.0,2200000.0
1999-10-14,4067,4067,3882,3944,18960,49280.0,2200000.0
1999-10-15,3978,4110,3873,3925,25150,49060.0,2200000.0
1999-10-18,3344,3890,3344,3644,33430,45540.0,2200000.0
1999-10-19,3732,3750,3564,3573,18540,44660.0,2200000.0
1999-10-20,3626,3758,3626,3679,27750,45980.0,2200000.0
1999-10-21,3784,4224,3784,4225,158600,52800.0,2200000.0
1999-10-22,4313,4366,3891,3944,103790,49280.0,2200000.0
1999-10-25,3960,4400,3731,3874,120370,48400.0,2200000.0
1999-10-26,3892,3980,3787,3786,33170,47300.0,2200000.0
1999-10-27,3607,3871,3607,3661,29030,45760.0,2200000.0
1999-10-28,3609,3802,3609,3714,37170,46420.0,2200000.0
1999-10-29,3715,3802,3697,3714,29950,46420.0,2200000.0
1999-11-01,3803,3857,3716,3776,34170,47190.0,2200000.0
1999-11-02,3828,4340,3777,4102,313700,51260.0,2200000.0
1999-11-03,4137,4137,3802,3944,70730,49280.0,2200000.0
1999-11-04,4014,4120,3908,3944,49070,49280.0,2200000.0
1999-11-05,3943,4048,3943,3979,48910,49720.0,2200000.0
1999-11-08,3979,4014,3927,3996,38710,49940.0,2200000.0
1999-11-09,3926,4366,3873,4050,61540,50600.0,2200000.0
1999-11-10,4014,4190,3891,3996,45220,49940.0,2200000.0
1999-11-11,4049,4085,3891,3996,49690,49940.0,2200000.0
1999-11-12,3962,4279,3927,4015,98470,50160.0,2200000.0
1999-11-15,4032,4225,3978,4050,60450,50600.0,2200000.0
1999-11-16,4065,4655,4065,4655,263750,58190.0,2200000.0
1999-11-17,4665,5352,4648,5351,269960,66880.0,2200000.0
1999-11-18,5579,6152,5493,5792,524140,72380.0,2200000.0
1999-11-19,5843,5966,5473,5703,175300,71280.0,2200000.0
1999-11-22,5880,6480,5651,6407,248770,80080.0,2200000.0
1999-11-23,6249,6689,6231,6557,96140,81950.0,2200000.0
1999-11-24,6557,6759,6107,6319,116820,78980.0,2200000.0
1999-11-25,6424,6424,5632,6039,120880,75460.0,2200000.0
1999-11-26,5650,6425,5650,5844,105690,73040.0,2200000.0
1999-11-29,5721,6143,5649,5721,100430,71500.0,2200000.0
1999-11-30,5703,6319,5650,6161,130940,77000.0,2200000.0
1999-12-01,6161,7086,6072,7085,125740,88550.0,2200000.0
1999-12-02,8140,8140,8140,8142,28860,101750.0,2200000.0
1999-12-03,9330,9348,8097,8978,330930,112200.0,2200000.0
1999-12-06,8784,10316,8291,10317,181900,128920.0,2200000.0
1999-12-07,10914,11846,10209,11847,201510,148060.0,2200000.0
1999-12-08,12146,13186,11266,11795,412110,147400.0,2200000.0
1999-12-09,12059,13554,12059,13556,185730,169400.0,2200000.0
1999-12-10,15578,15578,14998,15580,170040,194700.0,2200000.0
1999-12-13,15578,17867,15578,16953,207250,211860.0,2200000.0
1999-12-14,17427,18835,16740,16741,214300,209220.0,2200000.0
1999-12-15,14787,16371,14241,14241,121920,177980.0,2200000.0
1999-12-16,13904,14768,12760,14083,330090,176000.0,2200000.0
1999-12-17,14259,15280,12850,13203,181210,165000.0,2200000.0
1999-12-20,12938,14012,12498,12675,198090,158400.0,2200000.0
1999-12-21,12357,12832,10772,10774,180330,134640.0,2200000.0
1999-12-22,10771,12039,9294,11970,291210,149600.0,2200000.0
1999-12-23,12234,13766,11793,13766,305690,172040.0,2200000.0
1999-12-24,13997,14612,11707,11706,177300,146300.0,2200000.0
1999-12-27,11793,12480,9962,9964,162990,124520.0,2200000.0
1999-12-28,9700,10562,8978,9154,158340,114400.0,2200000.0
2000-01-04,8977,10526,8977,10527,62130,131560.0,2200000.0
2000-01-05,10861,12095,10210,12093,94510,151140.0,2200000.0
2000-01-06,13713,13731,11460,12675,123460,158400.0,2200000.0
2000-01-07,13205,14578,12535,14576,161270,182160.0,2200000.0
2000-01-10,16371,16547,14611,15509,173420,193820.0,2200000.0
2000-01-11,14434,15843,14434,14910,121510,186340.0,2200000.0
2000-01-12,15138,15596,13219,13378,141570,167200.0,2200000.0
2000-01-13,13379,13906,11794,12656,158890,158180.0,2200000.0
2000-01-14,12850,13115,11265,11619,103360,145200.0,2200000.0
2000-01-17,11424,13361,10737,13361,147090,166980.0,2200000.0
2000-01-18,13553,15084,13553,14276,167180,178420.0,2200000.0
2000-01-19,13730,14522,12145,12147,93500,151800.0,2200000.0
2000-01-20,12497,12938,11195,12340,123840,154220.0,2200000.0
2000-01-21,12339,13518,12339,12499,84980,156200.0,2200000.0
2000-01-24,11618,13115,11618,12851,81650,160600.0,2200000.0
2000-01-25,13117,13117,12147,12411,70710,155100.0,2200000.0
2000-01-26,12412,12764,11883,12411,73930,155100.0,2200000.0
2000-01-27,12410,14047,12323,12851,163300,160600.0,2200000.0
2000-01-28,12604,13167,12587,12710,56370,158840.0,2200000.0
2000-01-31,12710,13132,12675,12746,65350,159280.0,2200000.0
2000-02-01,12851,13096,12709,12938,52030,161700.0,2200000.0
2000-02-02,13026,14875,13026,14875,104240,185900.0,2200000.0
2000-02-03,15669,16707,14084,14611,169630,182600.0,2200000.0
2000-02-07,14434,16195,13906,14962,161770,187000.0,2200000.0
2000-02-08,15141,15757,14366,14788,100000,184800.0,2200000.0
2000-02-09,15475,17007,15141,17005,110630,212520.0,2200000.0
2000-02-10,19541,19541,19541,19540,24040,244200.0,2200000.0
2000-02-11,22444,22444,22444,22444,18240,280500.0,2200000.0
2000-02-14,25787,25787,21650,25789,522510,322300.0,2200000.0
2000-02-15,25085,27285,22004,22004,282900,275000.0,2200000.0
2000-02-16,22885,23061,18748,21125,253640,264000.0,2200000.0
2000-02-17,21123,24292,20947,24293,258920,303600.0,2200000.0
2000-02-18,24821,27901,24821,25701,274570,321200.0,2200000.0
2000-02-21,25699,25699,22706,22708,172880,283800.0,2200000.0
2000-02-22,22883,24292,19539,22884,195860,286000.0,2200000.0
2000-02-23,22533,23765,20685,21740,153160,271700.0,2200000.0
2000-02-24,22003,24204,22003,22884,161840,286000.0,2200000.0
2000-02-25,22355,25348,22355,22884,144930,286000.0,2200000.0
2000-02-28,22357,23588,22005,22797,83870,284900.0,2200000.0
2000-02-29,23059,24644,22442,23765,118700,297000.0,2200000.0
2000-03-02,24821,27286,24557,27285,169450,341000.0,2200000.0
2000-03-03,27287,29222,24645,24644,198630,308000.0,2200000.0
2000-03-06,24998,25789,23149,23414,122760,292600.0,2200000.0
2000-03-07,23764,24380,22884,23589,107880,294800.0,2200000.0
2000-03-08,22708,23587,22708,23061,74080,288200.0,2200000.0
2000-03-09,22796,26228,22796,23765,142350,297000.0,2200000.0
2000-03-10,24470,26054,24117,24997,113480,312400.0,2200000.0
2000-03-13,26230,27110,25526,25614,118860,320100.0,2200000.0
2000-03-14,25086,25350,24029,24206,64220,302500.0,2200000.0
2000-03-15,22003,24996,22003,24116,87730,301400.0,2200000.0
2000-03-16,24996,27724,24468,27726,240310,346500.0,2200000.0
2000-03-17,28167,30808,25175,26406,261630,330000.0,2200000.0
2000-03-20,26406,28695,26229,26933,164520,336600.0,2200000.0
2000-03-21,27989,27989,25525,26933,98100,336600.0,2200000.0
2000-03-22,27285,29924,27108,29574,213810,369600.0,2200000.0
2000-03-23,30014,30630,27901,29046,115150,363000.0,2200000.0
2000-03-24,29574,30278,28343,29485,102720,368500.0,2200000.0
2000-03-27,30103,33888,30015,33887,199010,423500.0,2200000.0
2000-03-28,33974,35735,32390,32919,242820,411400.0,2200000.0
2000-03-29,32917,33622,30805,31245,118660,390500.0,2200000.0
2000-03-30,31246,32037,28517,29926,111890,374000.0,2200000.0
2000-03-31,28694,30542,28694,29926,64170,374000.0,2200000.0
2000-04-03,29923,31508,27285,28254,88070,353100.0,2200000.0
2000-04-04,28342,28517,24029,24028,140240,300300.0,2200000.0
2000-04-06,24027,24027,20769,21828,139870,272800.0,2200000.0
2000-04-07,22532,25084,22532,25085,163640,313500.0,2200000.0
2000-04-10,25262,26758,24645,24821,186565,310200.0,2200000.0
2000-04-11,23765,24469,22179,23677,94500,295900.0,2200000.0
2000-04-12,24029,25173,22973,23942,75100,299200.0,2200000.0
2000-04-14,21826,23235,21649,21828,117371,272800.0,2200000.0
2000-04-17,18569,18569,18569,18571,10570,232100.0,2200000.0
2000-04-18,17956,21036,17956,18484,229100,231000.0,2200000.0
2000-04-19,19364,20244,16899,17603,115429,220000.0,2200000.0
2000-04-20,18042,18307,15684,16335,123489,204160.0,2200000.0
2000-04-21,16564,18746,16176,18748,140720,234300.0,2200000.0
2000-04-24,20947,21475,19714,21476,127140,268400.0,2200000.0
2000-04-25,24027,24467,21563,21828,353945,272800.0,2200000.0
2000-04-26,21914,22355,19889,20772,162635,259600.0,2200000.0
2000-04-27,21214,22357,20334,21212,138599,265100.0,2200000.0
2000-04-28,21388,24381,21388,24381,196535,304700.0,2200000.0
2000-05-02,25699,26404,24115,24116,272824,301400.0,2200000.0
2000-05-03,24293,24645,22973,23677,106300,295900.0,2200000.0
2000-05-04,23765,27198,23765,25877,334546,323400.0,2200000.0
2000-05-08,26758,26758,24999,25349,119493,316800.0,2200000.0
2000-05-09,25348,27548,25348,25789,186620,322300.0,2200000.0
2000-05-10,25701,26669,25348,26052,106974,325600.0,2200000.0
2000-05-12,26229,26934,25085,25524,106474,319000.0,2200000.0
2000-05-15,24910,25702,21741,21740,117668,271700.0,2200000.0
2000-05-16,21651,22884,19627,21564,128390,269500.0,2200000.0
2000-05-17,22005,22798,20069,20069,112297,250800.0,2200000.0
2000-05-18,18924,20068,18396,19101,150710,238700.0,2200000.0
2000-05-19,19891,20243,18924,19803,115432,247500.0,2200000.0
2000-05-22,19364,21300,18837,19188,154498,239800.0,2200000.0
2000-05-23,19363,19890,16370,16370,158185,204600.0,2200000.0
2000-05-24,14470,14946,13926,13924,109685,174020.0,2200000.0
2000-05-25,13959,16001,13203,16002,281280,199980.0,2200000.0
2000-05-26,14963,16020,13608,13643,201856,170500.0,2200000.0
2000-05-29,14171,14963,12498,14030,193204,175340.0,2200000.0
2000-05-30,14187,14732,13904,14083,142724,176000.0,2200000.0
2000-05-31,14591,15753,14451,15156,181440,189420.0,2200000.0
2000-06-01,15490,17426,14891,17426,241339,217800.0,2200000.0
2000-06-02,17604,19012,16758,16953,215518,211860.0,2200000.0
2000-06-05,17077,17957,16373,17076,160090,213400.0,2200000.0
2000-06-07,17603,18131,16899,17270,152065,215820.0,2200000.0
2000-06-08,17586,17604,14787,15843,169761,198000.0,2200000.0
2000-06-09,14981,16107,14981,15017,109085,187660.0,2200000.0
2000-06-12,15491,17110,15314,16706,240702,208780.0,2200000.0
2000-06-13,16179,16268,14436,14788,135291,184800.0,2200000.0
2000-06-14,14961,15577,14347,14346,99969,179300.0,2200000.0
2000-06-15,14346,14610,12849,13378,107342,167200.0,2200000.0
2000-06-16,12850,14348,12850,13643,109710,170500.0,2200000.0
2000-06-19,13061,14046,13061,13238,104722,165440.0,2200000.0
2000-06-20,13783,13995,12990,13168,111290,164560.0,2200000.0
2000-06-21,13184,13589,13080,13220,109350,165220.0,2200000.0
2000-06-22,13396,14330,13396,13696,173950,171160.0,2200000.0
2000-06-23,13732,13732,13204,13467,68390,168300.0,2200000.0
2000-06-26,13643,14225,13643,13784,116382,172260.0,2200000.0
2000-06-27,13782,13905,13289,13378,96381,167200.0,2200000.0
2000-06-28,13448,13538,13061,13149,84096,164340.0,2200000.0
2000-06-29,13202,13290,12075,12428,154894,155320.0,2200000.0
2000-06-30,12321,13079,12233,12322,112800,154000.0,2200000.0
2000-07-03,12411,12834,12323,12359,79528,154440.0,2200000.0
2000-07-04,12410,12588,11970,12093,112904,151140.0,2200000.0
2000-07-05,11794,11882,10333,10387,182950,129800.0,2200000.0
2000-07-06,10562,10897,10034,10387,143660,129800.0,2200000.0
2000-07-07,10384,11933,10208,11935,311750,149160.0,2200000.0
2000-07-10,12445,13538,12358,12938,318549,161700.0,2200000.0
2000-07-11,12938,13115,12216,12217,132944,152680.0,2200000.0
2000-07-12,12234,13025,12164,12393,143096,154880.0,2200000.0
2000-07-13,12359,12464,11478,11918,81545,148940.0,2200000.0
2000-07-14,11441,11969,11441,11442,80500,143000.0,2200000.0
2000-07-18,11531,12006,11160,11178,62651,139700.0,2200000.0
2000-07-19,10826,11144,10474,10739,60459,134200.0,2200000.0
2000-07-20,10580,10738,9946,10333,61590,129140.0,2200000.0
2000-07-21,11107,11159,10561,10597,65729,132440.0,2200000.0
2000-07-24,10596,11089,10403,10597,78740,132440.0,2200000.0
2000-07-25,10614,10826,10420,10562,47009,132000.0,2200000.0
2000-07-26,10580,10721,10123,10317,51960,128920.0,2200000.0
2000-07-27,10070,11778,10053,10650,135515,133100.0,2200000.0
2000-07-28,10509,10967,10122,10246,60025,128040.0,2200000.0
2000-07-31,10244,10385,9717,9945,43980,124300.0,2200000.0
2000-08-01,9875,10280,9875,10086,61900,126060.0,2200000.0
2000-08-02,11266,11266,10245,10368,118475,129580.0,2200000.0
2000-08-03,10562,10632,10210,10387,60420,129800.0,2200000.0
2000-08-04,10386,10422,10069,10122,38669,126500.0,2200000.0
2000-08-07,9770,10087,9541,9611,47105,120120.0,2200000.0
2000-08-08,9559,9770,9155,9154,55535,114400.0,2200000.0
2000-08-09,9242,9577,9190,9331,57735,116600.0,2200000.0
2000-08-10,9330,9436,9031,9189,54570,114840.0,2200000.0
2000-08-11,9083,9611,9083,9242,66405,115500.0,2200000.0
2000-08-14,9593,9593,9188,9242,43220,115500.0,2200000.0
2000-08-16,9171,9400,9065,9313,39300,116380.0,2200000.0
2000-08-17,9190,9312,9137,9154,30550,114400.0,2200000.0
2000-08-18,9153,9274,8642,8890,50700,111100.0,2200000.0
2000-08-21,8801,8959,8625,8670,42350,108350.0,2200000.0
2000-08-22,8714,8803,8485,8573,43158,107140.0,2200000.0
2000-08-23,8626,9331,8467,9154,153800,114400.0,2200000.0
2000-08-24,8978,9418,8767,8801,80506,110000.0,2200000.0
2000-08-25,8642,8942,8554,8625,41539,107800.0,2200000.0
2000-08-28,8450,8803,8396,8538,74784,106700.0,2200000.0
2000-08-29,8450,8661,8274,8292,72828,103620.0,2200000.0
2000-08-30,8291,8626,7958,8133,103162,101640.0,2200000.0
2000-08-31,8045,8396,7569,7675,78813,95920.0,2200000.0
2000-09-01,7674,8185,7622,7825,99651,97790.0,2200000.0
2000-09-04,7852,8177,7852,8098,93507,101200.0,2200000.0
2000-09-05,8185,8255,7480,7764,60350,97020.0,2200000.0
2000-09-06,7797,7887,7657,7658,49755,95700.0,2200000.0
2000-09-07,7772,8802,7481,8801,201950,110000.0,2200000.0
2000-09-08,9438,9825,8487,8486,363231,106040.0,2200000.0
2000-09-14,8450,9260,8274,9208,145314,115060.0,2200000.0
2000-09-15,9330,9454,8890,9138,125360,114180.0,2200000.0
2000-09-18,8715,8891,7783,8344,81743,104280.0,2200000.0
