S&T중공업(003570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-28,76367,76367,74679,74678,24820,5022.0,2272397.0
1999-05-31,76366,77718,76366,76705,17140,5147.0,2272397.0
1999-06-01,75016,76367,73327,75692,21720,5090.0,2272397.0
1999-06-02,74340,77719,74340,76030,20780,5113.0,2272397.0
1999-06-03,76030,77719,74679,74678,16140,5022.0,2272397.0
1999-06-04,74340,76030,74340,76030,20400,5113.0,2272397.0
1999-06-07,67582,77719,67582,74340,16920,4999.0,2272397.0
1999-06-08,75016,77719,75016,77043,35860,5181.0,2272397.0
1999-06-09,74339,77381,74339,75353,11100,5067.0,2272397.0
1999-06-10,75354,77044,74340,75692,23460,5079.0,2272397.0
1999-06-11,74340,76030,74340,76030,29680,5113.0,2272397.0
1999-06-14,77043,77043,75015,75015,24460,5033.0,2272397.0
1999-06-15,74339,74339,67919,70960,38900,4772.0,2272397.0
1999-06-16,70961,71637,70961,71637,9300,4817.0,2272397.0
1999-06-17,71299,77044,71299,77043,26500,5181.0,2272397.0
1999-06-18,77718,88531,77718,88532,149380,5954.0,2272397.0
1999-06-21,84477,88870,84139,88870,217660,5976.0,2272397.0
1999-06-22,83802,88870,77719,82450,65960,5545.0,2272397.0
1999-06-23,76029,81098,76029,76367,10140,5136.0,2272397.0
1999-06-24,76366,81098,76366,77719,27300,5227.0,2272397.0
1999-06-25,78057,81436,74340,74340,32100,4999.0,2272397.0
1999-06-28,75015,82786,75015,81773,29360,5499.0,2272397.0
1999-06-29,81435,81435,76029,77719,20800,5227.0,2272397.0
1999-06-30,76030,80761,74340,74678,17360,5022.0,2272397.0
1999-07-01,74678,82786,70960,70960,26020,4772.0,2272397.0
1999-07-02,74340,77719,74340,77381,23500,5204.0,2272397.0
1999-07-05,81098,87856,77718,82787,88520,5567.0,2272397.0
1999-07-06,87518,91235,81098,82787,78640,5567.0,2272397.0
1999-07-07,82786,85490,81098,82787,44300,5567.0,2272397.0
1999-07-08,81099,84477,71299,81098,84100,5454.0,2272397.0
1999-07-09,84476,90221,81098,85490,88200,5749.0,2272397.0
1999-07-12,89546,98332,88194,98331,213960,6601.0,2272397.0
1999-07-13,96641,101371,91235,101372,140660,6817.0,2272397.0
1999-07-14,103062,111510,97994,106441,155260,7158.0,2272397.0
1999-07-15,101372,104752,94615,99683,102880,6704.0,2272397.0
1999-07-16,97993,99683,94951,95290,92840,6397.0,2272397.0
1999-07-19,97994,104752,97994,104752,168560,7044.0,2272397.0
1999-07-20,117591,117591,106441,108130,101480,7272.0,2272397.0
1999-07-21,101372,101372,93601,94615,43500,6363.0,2272397.0
1999-07-22,89546,89546,80422,86167,59880,5795.0,2272397.0
1999-07-23,86166,87856,81098,84477,73780,5681.0,2272397.0
1999-07-26,76030,79409,75354,77381,21060,5192.0,2272397.0
1999-07-27,77381,87856,77381,84477,43760,5681.0,2272397.0
1999-07-28,87856,87856,81098,84477,35160,5681.0,2272397.0
1999-07-29,84477,87857,84477,86167,22460,5795.0,2272397.0
1999-07-30,87857,87857,79409,79746,19960,5351.0,2272397.0
1999-08-02,81435,81435,74678,77719,83920,5227.0,2272397.0
1999-08-03,86166,86166,77718,84139,39380,5658.0,2272397.0
1999-08-04,79409,81436,79409,81098,33460,5454.0,2272397.0
1999-08-05,87857,87857,81099,81098,33660,5454.0,2272397.0
1999-08-06,84477,84477,77719,82450,57120,5545.0,2272397.0
1999-08-09,79409,82450,78057,78733,42540,5295.0,2272397.0
1999-08-10,78394,79408,78056,78057,36880,5238.0,2272397.0
1999-08-11,77718,78394,75015,75353,71660,5056.0,2272397.0
1999-08-12,74340,84477,74340,81098,50700,5454.0,2272397.0
1999-08-13,81098,81098,77718,80422,43700,5408.0,2272397.0
1999-08-16,79408,80759,78394,79408,39160,5340.0,2272397.0
1999-08-17,77718,77718,72650,72650,31760,4874.0,2272397.0
1999-08-18,69272,69272,64202,67582,17800,4533.0,2272397.0
1999-08-19,67244,71637,67244,70285,17540,4727.0,2272397.0
1999-08-20,70961,74340,70961,71637,12220,4817.0,2272397.0
1999-08-23,67581,74339,67581,70960,24380,4772.0,2272397.0
1999-08-24,71298,77718,70960,70960,40740,4772.0,2272397.0
1999-08-25,71636,74339,70960,70960,119620,4772.0,2272397.0
1999-08-26,74001,74001,69608,69947,70600,4704.0,2272397.0
1999-08-27,69946,69946,65891,67243,87120,4511.0,2272397.0
1999-08-30,67244,67582,64541,64878,104700,4352.0,2272397.0
1999-08-31,67244,71975,65217,67582,116520,4545.0,2272397.0
1999-09-01,70960,72311,67581,72312,261720,4863.0,2272397.0
1999-09-02,74339,83125,70284,83125,406580,5590.0,2272397.0
1999-09-03,83125,83125,70960,72650,231740,4886.0,2272397.0
1999-09-06,74340,74340,69272,74340,69860,4999.0,2272397.0
1999-09-07,70961,74340,70961,71975,59000,4829.0,2272397.0
1999-09-08,71975,71975,67582,69271,83940,4658.0,2272397.0
1999-09-09,67582,70624,67582,69271,61020,4658.0,2272397.0
1999-09-10,69272,69947,67582,67920,49200,4568.0,2272397.0
1999-09-13,69271,69271,65891,65892,56920,4431.0,2272397.0
1999-09-14,65891,71298,65891,69947,67980,4692.0,2272397.0
1999-09-15,70961,71299,67582,67920,65400,4556.0,2272397.0
1999-09-16,67581,67581,65891,65892,63760,4431.0,2272397.0
1999-09-17,65892,65892,64541,64878,63220,4363.0,2272397.0
1999-09-20,67582,67582,62175,63865,39940,4295.0,2272397.0
1999-09-21,64541,64879,63527,64878,34300,4363.0,2272397.0
1999-09-22,64878,67243,63864,65892,53380,4431.0,2272397.0
1999-09-27,62514,63527,62514,62851,27560,4227.0,2272397.0
1999-09-28,62852,64202,62852,63865,19020,4295.0,2272397.0
1999-09-29,63189,63189,61162,61500,13820,4124.0,2272397.0
1999-09-30,60824,60824,58459,58458,16520,3931.0,2272397.0
1999-10-01,60824,60824,50011,50686,39780,3409.0,2272397.0
1999-10-04,50686,53726,50686,51362,39040,3454.0,2272397.0
1999-10-05,43929,46632,43929,43928,132440,2943.0,2272397.0
1999-10-06,39873,44266,39873,43590,80000,2931.0,2272397.0
1999-10-07,41224,45955,41224,45955,35660,3090.0,2272397.0
1999-10-08,47984,47984,45956,47983,33760,3227.0,2272397.0
1999-10-11,47983,48658,46631,47307,11320,3181.0,2272397.0
1999-10-12,44604,47984,44604,46970,30680,3147.0,2272397.0
1999-10-13,53390,53390,46294,47983,20980,3227.0,2272397.0
1999-10-14,45955,48658,45955,46293,24820,3113.0,2272397.0
1999-10-15,46293,46631,45955,45955,12280,3079.0,2272397.0
1999-10-18,45955,45955,44603,44604,19340,3000.0,2272397.0
1999-10-19,45618,45618,40886,43590,18740,2920.0,2272397.0
1999-10-20,40887,44604,40887,43928,7980,2954.0,2272397.0
1999-10-21,45619,45619,42577,43928,33060,2954.0,2272397.0
1999-10-22,43590,43928,41224,42238,12040,2829.0,2272397.0
1999-10-25,42239,42239,40212,40211,15360,2704.0,2272397.0
1999-10-26,40211,40211,38183,39535,2160,2659.0,2272397.0
1999-10-27,38521,44603,38521,44604,17060,3000.0,2272397.0
1999-10-28,44603,44941,43590,44604,19500,3000.0,2272397.0
1999-10-29,44942,48997,43929,48997,36940,3295.0,2272397.0
1999-11-01,50348,50348,45955,45955,22520,3079.0,2272397.0
1999-11-02,45956,47307,45956,46632,22020,3136.0,2272397.0
1999-11-03,45279,48996,45279,47645,17340,3204.0,2272397.0
1999-11-04,45279,48658,44941,48658,16700,3272.0,2272397.0
1999-11-05,45955,47306,45955,45955,21680,3090.0,2272397.0
1999-11-08,42915,47646,42915,46632,19620,3136.0,2272397.0
1999-11-09,45955,47306,44266,47307,42260,3181.0,2272397.0
1999-11-10,45618,47306,45279,47307,30020,3170.0,2272397.0
1999-11-11,45619,47646,44267,44266,63560,2965.0,2272397.0
1999-11-12,43928,44603,43590,44604,24100,2988.0,2272397.0
1999-11-15,42576,43928,42576,43252,37160,2909.0,2272397.0
1999-11-16,40549,42577,40549,42577,51400,2863.0,2272397.0
1999-11-17,40548,42576,40548,40549,92600,2727.0,2272397.0
1999-11-18,40549,41564,38860,41563,38780,2795.0,2272397.0
1999-11-19,38521,41563,38521,39197,10160,2636.0,2272397.0
1999-11-22,39535,40548,39535,39535,7800,2659.0,2272397.0
1999-11-23,38183,40548,38183,39535,19080,2659.0,2272397.0
1999-11-24,38521,40548,38521,40549,11660,2727.0,2272397.0
1999-11-25,39873,39873,38183,38183,14220,2568.0,2272397.0
1999-11-26,33114,37845,33114,33790,22300,2272.0,2272397.0
1999-11-29,33790,33790,30411,30412,18620,2045.0,2272397.0
1999-11-30,30412,32439,30412,32101,8020,2147.0,2272397.0
1999-12-01,32102,32102,30750,32101,13500,2159.0,2272397.0
1999-12-02,30750,31089,28047,29736,27260,1988.0,2272397.0
1999-12-03,29736,34128,29736,34128,26340,2284.0,2272397.0
1999-12-06,33790,35141,32776,32777,18980,2204.0,2272397.0
1999-12-07,31425,33790,31425,31425,1380,2102.0,2272397.0
1999-12-08,31425,31425,27370,27708,8960,1852.0,2272397.0
1999-12-09,27709,27709,24330,25343,11220,1704.0,2272397.0
1999-12-10,25344,28385,25344,28385,14220,1909.0,2272397.0
1999-12-13,31087,31087,27033,30074,15600,2011.0,2272397.0
1999-12-14,30073,30073,28721,30074,45300,2011.0,2272397.0
1999-12-15,33453,34128,30073,34128,41920,2295.0,2272397.0
1999-12-16,29736,33790,29736,33790,29820,2261.0,2272397.0
1999-12-17,32438,32438,30411,30412,25280,2045.0,2272397.0
1999-12-20,30411,30411,26694,27708,18580,1852.0,2272397.0
1999-12-21,27371,27709,25344,25343,13620,1693.0,2272397.0
1999-12-22,25682,25682,23992,24330,4860,1625.0,2272397.0
1999-12-23,27033,27033,23991,24667,3020,1659.0,2272397.0
1999-12-24,22979,23654,22979,22978,23340,1534.0,2272397.0
1999-12-27,22979,24330,22979,24330,1440,1636.0,2272397.0
1999-12-28,24329,24329,20950,20950,34600,1398.0,2272397.0
2000-01-04,17909,23316,17909,22640,59280,1523.0,2272397.0
2000-01-05,24329,26018,24329,26019,52560,1750.0,2272397.0
2000-01-06,30073,30073,27033,27370,63720,1829.0,2272397.0
2000-01-07,26357,27034,23992,24330,42900,1636.0,2272397.0
2000-01-10,27033,27033,22978,23315,22600,1557.0,2272397.0
2000-01-11,23653,25005,22978,25005,30280,1670.0,2272397.0
2000-01-12,23654,23654,22979,22978,23960,1545.0,2272397.0
2000-01-13,21626,26018,21626,22302,6820,1488.0,2272397.0
2000-01-14,21963,23653,21963,23315,19460,1568.0,2272397.0
2000-01-17,23316,23316,22640,22978,9020,1534.0,2272397.0
2000-01-18,25343,25343,22301,23315,11380,1557.0,2272397.0
2000-01-19,22639,22639,21963,21964,47480,1477.0,2272397.0
2000-01-20,21964,21964,20275,20275,32560,1363.0,2272397.0
2000-01-21,23316,23316,22640,22640,12180,1523.0,2272397.0
2000-01-24,19599,24667,19599,23992,60540,1613.0,2272397.0
2000-01-25,21627,25006,21627,23992,49480,1613.0,2272397.0
2000-01-26,21964,25006,21964,23992,9080,1613.0,2272397.0
2000-01-27,23992,23992,22979,22978,22980,1545.0,2272397.0
2000-01-28,23315,26356,23315,26357,91700,1772.0,2272397.0
2000-01-31,28046,30073,27033,30074,75380,2022.0,2272397.0
2000-02-01,32101,32101,30749,31763,59260,2136.0,2272397.0
2000-02-02,31425,31425,28721,28722,26260,1932.0,2272397.0
2000-02-03,31425,31425,27033,29060,68580,1943.0,2272397.0
2000-02-07,28721,28721,27370,27370,39000,1841.0,2272397.0
2000-02-08,28722,28722,25682,25681,61200,1727.0,2272397.0
2000-02-09,22979,25344,22979,22978,95260,1534.0,2272397.0
2000-02-10,23654,23992,22979,22978,9400,1534.0,2272397.0
2000-02-11,23316,23316,20612,21626,48600,1454.0,2272397.0
2000-02-14,24666,25005,24666,25005,149200,1670.0,2272397.0
2000-02-15,26019,28385,26019,27033,134380,1818.0,2272397.0
2000-02-16,26018,26018,23653,23653,23680,1591.0,2272397.0
2000-02-17,22301,23991,22301,23653,37220,1591.0,2272397.0
2000-02-18,20950,23653,20950,20950,52880,1409.0,2272397.0
2000-02-21,21964,22641,20275,20275,12600,1363.0,2272397.0
2000-02-22,20275,21627,20275,21288,20680,1432.0,2272397.0
2000-02-23,21626,23653,20611,23653,23140,1591.0,2272397.0
2000-02-24,21288,21963,20950,20950,22440,1409.0,2272397.0
2000-02-25,20950,23653,20274,23653,15440,1591.0,2272397.0
2000-02-28,25344,25344,20275,22978,23780,1545.0,2272397.0
2000-02-29,24330,24330,22640,22640,43520,1523.0,2272397.0
2000-03-02,20275,22302,20275,21288,48320,1432.0,2272397.0
2000-03-03,20275,21964,20275,21288,25120,1432.0,2272397.0
2000-03-06,24330,24330,24330,24330,77960,1636.0,2272397.0
2000-03-07,28047,28047,22640,24330,113980,1636.0,2272397.0
2000-03-08,23654,26019,21627,22640,33160,1511.0,2272397.0
2000-03-09,25344,25682,21964,25681,121100,1727.0,2272397.0
2000-03-10,28722,29399,28385,29398,194960,1977.0,2272397.0
2000-03-13,33790,33790,33790,33790,115360,2272.0,2272397.0
2000-03-14,38860,38860,38860,38860,162280,2613.0,2272397.0
2000-03-15,44603,44603,44603,44604,71120,3000.0,2272397.0
2000-03-16,51361,51361,38183,38183,480080,2556.0,2272397.0
2000-03-17,32438,37169,32438,32439,202440,2182.0,2272397.0
2000-03-20,28384,37169,27708,27708,109600,1863.0,2272397.0
2000-03-21,26019,26357,25344,25343,135780,1704.0,2272397.0
2000-03-22,25343,28721,25343,28722,130120,1932.0,2272397.0
2000-03-23,27033,30411,25343,30074,84500,2022.0,2272397.0
2000-03-24,30074,30074,28385,29736,24400,2000.0,2272397.0
2000-03-27,29060,33791,28385,29736,114780,2000.0,2272397.0
2000-03-28,29060,29736,26356,26357,58800,1772.0,2272397.0
2000-03-29,26694,30411,26694,30412,88520,2034.0,2272397.0
2000-03-30,32101,32101,26018,30412,110720,2034.0,2272397.0
2000-03-31,30074,30074,27709,28047,94240,1886.0,2272397.0
2000-04-03,32102,32102,32102,32101,156420,2159.0,2272397.0
2000-04-04,33790,33790,27708,27708,217820,1863.0,2272397.0
2000-04-06,27708,27708,27708,27708,0,1863.0,2272397.0
2000-04-07,27708,27708,27708,27708,0,,
2000-04-10,27708,27708,27708,27708,0,,
2000-04-11,27708,27708,27708,27708,0,,
2000-04-12,27708,27708,27708,27708,0,,
2000-04-14,27708,27708,27708,27708,0,,
2000-04-17,27708,27708,27708,27708,0,,
2000-04-18,27708,27708,27708,27708,0,,
2000-04-19,27708,27708,27708,27708,0,,
2000-04-20,27708,27708,27708,27708,0,,
2000-04-21,27708,27708,27708,27708,0,,
2000-04-24,27708,27708,27708,27708,0,,
2000-04-25,27708,27708,27708,27708,0,,
2000-04-26,27708,27708,27708,27708,0,,
2000-04-27,27708,27708,27708,27708,0,,
2000-04-28,31898,31898,31898,31898,1540,1935.0,410339.0
2000-05-02,36630,36630,27101,27100,87040,1645.0,410339.0
2000-05-03,27101,27101,23316,26695,57140,1621.0,410339.0
2000-05-04,23856,24870,23653,23653,51720,1436.0,410339.0
2000-05-08,23654,25682,23654,25681,14620,1559.0,410339.0
2000-05-09,25479,25479,23654,23992,7760,1457.0,410339.0
2000-05-10,21627,22640,21627,22640,8720,1375.0,410339.0
2000-05-12,22639,22639,21626,22302,10520,1354.0,410339.0
2000-05-15,22369,22369,19058,19598,12160,1190.0,410339.0
2000-05-16,19598,19598,17773,19598,8400,1190.0,410339.0
2000-05-17,19599,22573,19599,22572,17900,1368.0,410339.0
2000-05-18,23653,25951,20950,25951,56120,1574.0,410339.0
2000-05-19,25681,28721,23653,23653,39040,1436.0,410339.0
2000-05-22,20274,21626,20138,20139,13680,1221.0,410339.0
2000-05-23,17234,21627,17234,20275,14220,1231.0,410339.0
2000-05-24,17571,18923,17571,18247,16100,1108.0,410339.0
2000-05-25,18923,20138,18923,19598,17200,1190.0,410339.0
2000-05-26,18923,18923,16827,16828,4900,1022.0,410339.0
2000-05-29,16827,19328,16287,16895,7540,1026.0,410339.0
2000-05-30,18246,18855,18246,18247,7040,1108.0,410339.0
2000-05-31,17031,20275,17031,18923,8940,1149.0,410339.0
2000-06-01,18923,18923,17031,17706,4780,1073.0,410339.0
2000-06-02,16220,18924,16220,18518,5780,1124.0,410339.0
2000-06-05,17571,20274,17571,19733,10480,1198.0,410339.0
2000-06-07,19734,20275,17909,18585,11560,1128.0,410339.0
2000-06-08,18991,19599,17842,17977,14220,1092.0,410339.0
2000-06-09,18247,18720,17572,18585,13680,1128.0,410339.0
2000-06-12,18585,19193,17842,18923,22600,1149.0,410339.0
2000-06-13,19192,19598,18246,19598,19580,1190.0,410339.0
2000-06-14,19599,20275,18924,20275,8220,1231.0,410339.0
2000-06-15,18383,19666,18383,18856,11360,1145.0,410339.0
2000-06-16,18856,18856,18451,18450,140,1120.0,410339.0
2000-06-19,16557,17098,16557,16557,8640,1005.0,410339.0
2000-06-20,14935,18584,14935,17909,3680,1087.0,410339.0
2000-06-21,15611,18586,15611,16625,480,1009.0,410339.0
2000-06-22,16896,18924,16896,17571,5000,1067.0,410339.0
2000-06-23,18856,18856,15003,18112,6620,1100.0,410339.0
2000-06-26,16895,17504,15949,15949,2940,968.0,410339.0
2000-06-27,16761,16761,15680,16287,4480,987.0,410339.0
2000-06-28,15882,17572,15882,17571,4260,1067.0,410339.0
2000-06-29,14935,16895,14935,16895,9900,1026.0,410339.0
2000-06-30,17233,17233,16557,16557,1800,1005.0,410339.0
2000-07-03,15881,15881,15341,15544,4280,44516.0,19354573.0
2000-07-04,15679,15881,15610,15611,3880,44612.0,19354573.0
2000-07-05,15543,15543,14530,14530,7320,41612.0,19354573.0
2000-07-06,12435,15544,12435,15206,10920,43548.0,19354573.0
2000-07-07,14868,14868,14732,14732,4840,42193.0,19354573.0
2000-07-10,13854,14868,13854,14192,3500,40645.0,19354573.0
2000-07-11,14530,14868,13786,14192,5860,40645.0,19354573.0
2000-07-12,13786,14191,12299,12840,8960,36774.0,19354573.0
2000-07-13,13178,13380,12907,12908,8460,36870.0,19354573.0
2000-07-14,13516,13583,12840,13246,5440,37935.0,19354573.0
2000-07-18,12977,12977,12165,12638,6920,36193.0,19354573.0
2000-07-19,12908,13179,12233,12232,10960,34935.0,19354573.0
2000-07-20,11827,11895,10610,10881,9080,31064.0,19354573.0
2000-07-21,11152,11152,11083,11151,2700,31838.0,19354573.0
2000-07-24,11152,11489,10814,11151,3220,31838.0,19354573.0
2000-07-25,10273,11489,10273,11151,2640,31935.0,19354573.0
2000-07-26,10407,11151,10407,10542,6180,30193.0,19354573.0
2000-07-27,11151,11826,11151,11827,19900,33871.0,19354573.0
2000-07-28,12031,12098,11152,11151,13680,31935.0,19354573.0
2000-07-31,10948,11015,10542,10542,6900,30193.0,19354573.0
2000-08-01,11083,11827,11083,11219,5900,32129.0,19354573.0
2000-08-02,11287,12908,11287,12165,19860,34838.0,19354573.0
2000-08-03,11760,12165,11760,12165,12820,34838.0,19354573.0
2000-08-04,12233,12773,12165,12165,9060,34838.0,19354573.0
2000-08-07,12503,12772,12503,12773,12260,36580.0,19354573.0
2000-08-08,12772,12772,11894,11894,1700,34064.0,19354573.0
2000-08-09,11488,13651,11488,13651,26300,39096.0,19354573.0
2000-08-10,12233,14869,12233,14868,24980,42580.0,19354573.0
2000-08-11,14869,14869,12908,13111,22440,37548.0,19354573.0
2000-08-14,13313,13516,13245,13246,4260,37935.0,19354573.0
2000-08-16,13517,13517,13381,13517,9820,38709.0,19354573.0
2000-08-17,13516,15543,13516,15544,51040,44516.0,19354573.0
2000-08-18,15679,17368,15679,16895,40260,48386.0,19354573.0
2000-08-21,16896,18247,15882,18112,38460,51870.0,19354573.0
2000-08-22,17908,17908,15476,16895,26960,48386.0,19354573.0
2000-08-23,16220,19464,16220,19464,85800,55644.0,19354573.0
2000-08-24,19464,20951,19464,19464,86780,55644.0,19354573.0
2000-08-25,19396,22234,17571,20950,88760,59999.0,19354573.0
2000-08-28,20951,23587,20951,21761,72280,62322.0,19354573.0
2000-08-29,21626,21761,19598,19598,48920,56128.0,19354573.0
2000-08-30,19937,21627,19126,19802,51600,56709.0,19354573.0
2000-08-31,19870,20951,19870,20275,62560,58064.0,19354573.0
2000-09-01,20611,20611,18314,18314,18040,52451.0,19354573.0
2000-09-04,17233,19598,16219,19260,42920,55161.0,19354573.0
2000-09-05,19261,20275,17572,20275,33920,58064.0,19354573.0
2000-09-06,20275,20275,17909,18991,18860,54386.0,19354573.0
2000-09-07,18991,19261,16153,16152,47140,46257.0,19354573.0
2000-09-08,14869,15611,14598,14936,48940,42774.0,19354573.0
2000-09-14,13718,15949,13718,15949,20680,45677.0,19354573.0
2000-09-15,13922,17233,13922,15544,18080,44516.0,19354573.0
2000-09-18,15543,15543,13854,15476,4600,44322.0,19354573.0
2000-09-19,15477,16153,15477,16152,12060,46257.0,19354573.0
2000-09-20,16083,16827,16083,16828,28840,48193.0,19354573.0
2000-09-21,18923,18923,17300,17909,38000,51290.0,19354573.0
2000-09-22,18246,18246,16083,16895,14480,48386.0,19354573.0
2000-09-25,15543,17908,15543,16895,14920,48386.0,19354573.0
2000-09-26,17234,18247,17234,17233,26960,49354.0,19354573.0
