LG유플러스(032640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-06,8600,9150,8410,8680,1876401,1655276.0,190700000.0
2000-11-07,8500,8900,8200,8290,1106406,1580903.0,190700000.0
2000-11-08,8060,8390,7800,7940,1087289,1514158.0,190700000.0
2000-11-09,7750,7860,7640,7820,668084,1491274.0,190700000.0
2000-11-10,7630,7870,7630,7680,703344,1464576.0,190700000.0
2000-11-13,7410,7450,7120,7170,723125,1367319.0,190700000.0
2000-11-14,7200,7460,7050,7350,736468,1401645.0,190700000.0
2000-11-15,7550,7780,7300,7380,1052261,1407366.0,190700000.0
2000-11-16,7300,7350,7050,7240,568817,1380668.0,190700000.0
2000-11-17,7000,7650,6950,7240,1043687,1380668.0,190700000.0
2000-11-20,7100,7200,6970,7000,665348,1334900.0,190700000.0
2000-11-21,6800,6800,6450,6800,790597,1296760.0,190700000.0
2000-11-22,6610,6860,6610,6650,693695,1268155.0,190700000.0
2000-11-23,6460,6500,6030,6080,784476,1159456.0,190700000.0
2000-11-24,6000,6280,5870,6250,879020,1191875.0,190700000.0
2000-11-27,6350,6490,6240,6270,877392,1195689.0,190700000.0
2000-11-28,6270,6270,5990,6060,638576,1155642.0,190700000.0
2000-11-29,5910,5920,5530,5580,564814,1064106.0,190700000.0
2000-11-30,5650,5800,5540,5680,569921,1083176.0,190700000.0
2000-12-01,5210,5700,5210,5600,496101,1067920.0,190700000.0
2000-12-04,5750,5800,5500,5530,415375,1054571.0,190700000.0
2000-12-05,5500,5620,5420,5530,318352,1054571.0,190700000.0
2000-12-06,5750,6190,5690,5940,2639134,1132758.0,190700000.0
2000-12-07,5800,6250,5750,5930,1840352,1130851.0,190700000.0
2000-12-08,5900,6150,5850,5990,873153,1142293.0,190700000.0
2000-12-11,6150,6700,6060,6700,1949311,1277690.0,190700000.0
2000-12-12,7100,7450,6690,6920,3256800,1319644.0,190700000.0
2000-12-13,6930,7000,6660,6940,1360223,1323458.0,190700000.0
2000-12-14,6800,7100,6610,6800,1478703,1296760.0,190700000.0
2000-12-15,6800,7610,5990,5990,2407905,1142293.0,190700000.0
2000-12-18,5280,5280,5280,5280,84629,1006896.0,190700000.0
2000-12-19,5000,5160,4650,4650,7794281,886755.0,190700000.0
2000-12-20,4650,4690,4100,4180,5221205,797126.0,190700000.0
2000-12-21,4020,4320,3760,4110,6857895,783777.0,190700000.0
2000-12-22,4130,4220,3620,3620,4390762,690334.0,190700000.0
2000-12-26,3620,3680,3340,3490,4019285,665543.0,190700000.0
2001-01-02,3220,3870,3220,3810,3207266,726567.0,190700000.0
2001-01-03,3710,4000,3630,3870,3426438,738009.0,190700000.0
2001-01-04,4240,4300,4120,4150,2972337,791405.0,190700000.0
2001-01-05,4050,4640,3990,4640,4471019,884848.0,190700000.0
2001-01-08,4980,5190,4710,5190,1534896,989733.0,190700000.0
2001-01-09,5400,5590,5150,5400,6136067,1029780.0,190700000.0
2001-01-10,5500,6040,4900,5000,6659289,953500.0,190700000.0
2001-01-11,5200,5600,4910,5600,3730620,1067920.0,190700000.0
2001-01-12,6090,6270,5850,6270,4393208,1195689.0,190700000.0
2001-01-15,7020,7020,6750,7020,2615811,1338714.0,190700000.0
2001-01-16,7120,7500,6600,6950,5667237,1325365.0,190700000.0
2001-01-17,6700,6850,6210,6460,3742548,1231922.0,190700000.0
2001-01-18,6460,6680,6000,6100,3610558,1163270.0,190700000.0
2001-01-19,6250,6800,6040,6800,3905300,1296760.0,190700000.0
2001-01-22,7400,7610,7150,7610,3272909,1451227.0,190700000.0
2001-01-26,7630,8260,7310,7870,5838174,1500809.0,190700000.0
2001-01-29,7800,8050,7200,7230,3113427,1378761.0,190700000.0
2001-01-30,7260,8090,7260,7720,5239078,1472204.0,190700000.0
2001-01-31,7750,8070,6910,7900,3118897,1506530.0,190700000.0
2001-02-01,7650,7810,7400,7430,1671498,1416901.0,190700000.0
2001-02-02,7410,7800,7200,7310,1976643,1394017.0,190700000.0
2001-02-05,7030,7110,6440,6510,1536399,1241457.0,190700000.0
2001-02-06,6510,6640,6330,6530,1088525,1245271.0,190700000.0
2001-02-07,6630,6650,6110,6140,1136114,1170898.0,190700000.0
2001-02-08,6140,6570,6050,6350,1593572,1210945.0,190700000.0
2001-02-09,6250,6430,6200,6290,747846,1199503.0,190700000.0
2001-02-12,6100,6410,6060,6170,2244084,1176619.0,190700000.0
2001-02-13,6400,6410,6130,6220,1372054,1186154.0,190700000.0
2001-02-14,6170,6900,6120,6650,2480064,1268155.0,190700000.0
2001-02-15,6770,7240,6510,6800,3511322,1296760.0,190700000.0
2001-02-16,7000,7120,6470,6560,1870943,1250992.0,190700000.0
2001-02-19,6500,6560,6320,6380,838793,1216666.0,190700000.0
2001-02-20,6600,6800,6500,6680,1759703,1273876.0,190700000.0
2001-02-21,6520,6950,6500,6550,1492097,1249085.0,190700000.0
2001-02-22,6500,6520,5850,6140,1389850,1170898.0,190700000.0
2001-02-23,5900,6200,5850,6000,1343901,1144200.0,190700000.0
2001-02-26,5850,5980,5570,5600,1861959,1067920.0,190700000.0
2001-02-27,5600,5700,5100,5130,1469134,978291.0,190700000.0
2001-02-28,4900,4980,4810,4820,1574105,919174.0,190700000.0
2001-03-02,4540,4730,4290,4300,1334148,820010.0,190700000.0
2001-03-05,4020,4630,3940,4620,1861738,881034.0,190700000.0
2001-03-06,4620,4810,4450,4450,1168299,848615.0,190700000.0
2001-03-07,4500,4680,4410,4480,808432,854336.0,190700000.0
2001-03-08,4500,4640,4500,4610,1021664,879127.0,190700000.0
2001-03-09,4590,4870,4500,4670,1320010,890569.0,190700000.0
2001-03-12,4520,4770,4500,4520,1260337,861964.0,190700000.0
2001-03-13,4350,4400,4120,4170,1065180,795219.0,190700000.0
2001-03-14,4310,4400,4250,4270,778553,814289.0,190700000.0
2001-03-15,4000,4190,4000,4160,569761,793312.0,190700000.0
2001-03-16,4200,4300,4110,4170,485760,795219.0,190700000.0
2001-03-19,4220,4280,4170,4230,400539,806661.0,190700000.0
2001-03-20,4320,4380,4200,4200,331969,800940.0,190700000.0
2001-03-21,4100,4300,4040,4180,621873,797126.0,190700000.0
2001-03-22,4180,4370,4160,4270,783876,814289.0,190700000.0
2001-03-23,4290,4350,4200,4220,370951,804754.0,190700000.0
2001-03-26,4320,4720,4270,4720,900198,900104.0,190700000.0
2001-03-27,5280,5280,5280,5280,140212,1006896.0,190700000.0
2001-03-28,5910,5910,5400,5440,5109802,1037408.0,190700000.0
2001-03-29,5300,5310,4870,5000,1534102,953500.0,190700000.0
2001-03-30,5000,5070,4610,4750,1367422,905825.0,190700000.0
2001-04-02,4770,4970,4730,4800,1765832,915360.0,190700000.0
2001-04-03,4530,4600,4430,4460,797637,850522.0,190700000.0
2001-04-04,4500,4990,4500,4990,3861536,951593.0,190700000.0
2001-04-06,5210,5290,5070,5140,2527773,980198.0,190700000.0
2001-04-09,5100,5250,4980,4990,908096,951593.0,190700000.0
2001-04-10,5020,5100,4800,4850,1317794,924895.0,190700000.0
2001-04-11,5000,5040,4840,4860,1506578,926802.0,190700000.0
2001-04-12,4800,4860,4600,4700,2564737,896290.0,190700000.0
2001-04-13,4750,5030,4630,4800,3610033,915360.0,190700000.0
2001-04-16,4690,4760,4520,4600,1765901,877220.0,190700000.0
2001-04-17,4520,4630,4470,4560,1439447,869592.0,190700000.0
2001-04-18,4580,4920,4580,4880,3085854,930616.0,190700000.0
2001-04-19,5050,5240,4980,5080,3259137,968756.0,190700000.0
2001-04-20,5110,5140,4820,4830,1667428,921081.0,190700000.0
2001-04-23,4750,5120,4750,5020,2490674,957314.0,190700000.0
2001-04-24,4940,5090,4910,4980,1204733,949686.0,190700000.0
2001-04-25,4900,5430,4900,5230,2895803,997361.0,190700000.0
2001-04-26,5350,5400,5150,5160,1658579,984012.0,190700000.0
2001-04-27,5200,5370,5130,5300,1301870,1010710.0,190700000.0
2001-04-30,5440,5900,5380,5780,2553887,1102246.0,190700000.0
2001-05-02,6060,6230,5660,5720,3181068,1090804.0,190700000.0
2001-05-03,5720,5730,5450,5540,1331129,1056478.0,190700000.0
2001-05-04,5360,5660,5300,5610,1199411,1069827.0,190700000.0
2001-05-07,5640,5800,5510,5630,1194720,1073641.0,190700000.0
2001-05-08,5630,6170,5560,5900,5273547,1246871.0,211334007.0
2001-05-09,6000,6000,5510,5560,2163812,1175017.0,211334007.0
2001-05-10,5510,6220,5490,6220,3702978,1314498.0,211334007.0
2001-05-11,6380,6730,6260,6300,8689953,1331404.0,211334007.0
2001-05-14,6560,7050,6560,7050,1990278,1489905.0,211334007.0
2001-05-15,7400,7750,6850,6980,5951388,1475111.0,211334007.0
2001-05-16,6800,6950,6350,6350,3408814,1341971.0,211334007.0
2001-05-17,6640,6740,6450,6560,2308965,1386351.0,211334007.0
2001-05-18,6600,7200,6580,6840,2989704,1445525.0,211334007.0
2001-05-21,7100,7200,6830,6900,2026089,1458205.0,211334007.0
2001-05-22,7030,7100,6720,6830,1263708,1443411.0,211334007.0
2001-05-23,6700,6830,6610,6660,904116,1407484.0,211334007.0
2001-05-24,6500,7090,6410,6900,1798103,1458205.0,211334007.0
2001-05-25,7000,7120,6750,7120,1494053,1504698.0,211334007.0
2001-05-28,7150,7850,7050,7470,3915089,1578665.0,211334007.0
2001-05-29,7350,7560,7230,7450,1861742,1574438.0,211334007.0
2001-05-30,7400,7650,7400,7450,1185419,1574438.0,211334007.0
2001-05-31,7250,7520,7170,7380,1065618,1559645.0,211334007.0
2001-06-01,7300,7500,7180,7200,795392,1521605.0,211334007.0
2001-06-04,7110,7300,7000,7050,624637,1489905.0,211334007.0
2001-06-05,7050,7360,7030,7190,1644069,1519492.0,211334007.0
2001-06-07,7190,7420,7110,7390,943659,1561758.0,211334007.0
2001-06-08,7430,7520,7350,7490,1087475,1582892.0,211334007.0
2001-06-11,7400,7630,7310,7510,835428,1587118.0,211334007.0
2001-06-12,7500,7540,7400,7410,527336,1565985.0,211334007.0
2001-06-13,7450,7710,7380,7450,1031362,1574438.0,211334007.0
2001-06-14,7490,8050,7360,7720,3159920,1631499.0,211334007.0
2001-06-15,7650,7680,7440,7530,826280,1591345.0,211334007.0
2001-06-18,7280,7300,6750,6790,2145890,1434958.0,211334007.0
2001-06-19,6520,6590,6360,6400,2218220,1352538.0,211334007.0
2001-06-20,6410,6610,6150,6230,1149126,1316611.0,211334007.0
2001-06-21,6150,6420,6150,6300,685466,1331404.0,211334007.0
2001-06-22,6160,6470,6160,6320,862149,1335631.0,211334007.0
2001-06-25,6200,6290,6130,6130,661363,1295477.0,211334007.0
2001-06-26,6110,6220,5720,5770,983539,1219397.0,211334007.0
2001-06-27,5800,5880,5600,5740,769277,1213057.0,211334007.0
2001-06-28,5790,6040,5720,5990,1080096,1265891.0,211334007.0
2001-06-29,6100,6180,6030,6080,530702,1284911.0,211334007.0
2001-07-02,6100,6530,6050,6450,1077285,1363104.0,211334007.0
2001-07-03,6400,6880,6350,6850,2576925,1447638.0,211334007.0
2001-07-04,7000,7230,6860,6970,2201427,1472998.0,211334007.0
2001-07-05,6970,7040,6640,6690,834512,1413825.0,211334007.0
2001-07-06,6580,6580,6330,6360,577445,1344084.0,211334007.0
2001-07-09,6000,6570,5930,6540,1521182,1382124.0,211334007.0
2001-07-10,6590,6650,6400,6400,1141812,1352538.0,211334007.0
2001-07-11,6300,6630,6120,6200,1147238,1310271.0,211334007.0
2001-07-12,6300,6490,6290,6440,704595,1360991.0,211334007.0
2001-07-13,6510,6580,6150,6160,619507,1301817.0,211334007.0
2001-07-16,6100,6250,5940,6040,572588,1276457.0,211334007.0
2001-07-18,6040,6120,5780,5850,412868,1236304.0,211334007.0
2001-07-19,5700,5950,5670,5800,564783,1225737.0,211334007.0
2001-07-20,5800,5850,5630,5790,403561,1223624.0,211334007.0
2001-07-23,5750,5850,5460,5540,418997,1170790.0,211334007.0
2001-07-24,5500,5540,5140,5400,859310,1141204.0,211334007.0
2001-07-25,5300,5740,5200,5490,1373528,1160224.0,211334007.0
2001-07-26,5600,5780,5600,5720,913824,1208831.0,211334007.0
2001-07-27,5830,5890,5750,5840,569429,1234191.0,211334007.0
2001-07-30,5730,5770,5630,5650,331601,1194037.0,211334007.0
2001-07-31,5650,5830,5640,5790,511742,1223624.0,211334007.0
2001-08-01,5850,6100,5830,6010,1283408,1270117.0,211334007.0
2001-08-02,6030,6200,5850,6050,1018063,1278571.0,211334007.0
2001-08-03,6110,6150,5940,6020,422470,1272231.0,211334007.0
2001-08-06,6000,6250,5990,6150,621806,1299704.0,211334007.0
2001-08-07,6100,6460,6060,6270,814137,1325064.0,211334007.0
2001-08-08,6350,6370,6100,6100,401027,1289137.0,211334007.0
2001-08-09,6000,6040,5780,5800,649664,1225737.0,211334007.0
2001-08-10,5820,5920,5800,5850,385835,1236304.0,211334007.0
2001-08-13,5900,5920,5740,5790,239159,1223624.0,211334007.0
2001-08-14,5720,5930,5720,5930,521125,1253211.0,211334007.0
2001-08-16,5890,6190,5800,6030,586053,1274344.0,211334007.0
2001-08-17,6100,6130,5990,6030,414719,1274344.0,211334007.0
2001-08-20,6000,6000,5870,5970,412523,1261664.0,211334007.0
2001-08-21,5990,6040,5920,5950,317125,1257437.0,211334007.0
2001-08-22,5810,5950,5810,5930,328830,1253211.0,211334007.0
2001-08-23,5900,6250,5900,5990,771033,1265891.0,211334007.0
2001-08-24,6050,6080,5910,6000,431064,1268004.0,211334007.0
2001-08-27,6500,6580,6310,6340,1974901,1339858.0,211334007.0
2001-08-28,6340,6390,6030,6050,874124,1278571.0,211334007.0
2001-08-29,5880,5980,5740,5750,903041,1215171.0,211334007.0
2001-08-30,5270,5690,5250,5660,581447,1196150.0,211334007.0
2001-08-31,5430,5570,5330,5390,532972,1139090.0,211334007.0
2001-09-03,5300,5540,5300,5400,376284,1141204.0,211334007.0
2001-09-04,5370,5700,5350,5700,647580,1204604.0,211334007.0
2001-09-05,5600,5710,5450,5710,645549,1206717.0,211334007.0
2001-09-06,5700,5750,5580,5660,594062,1196150.0,211334007.0
2001-09-07,5640,5640,5520,5550,460988,1172904.0,211334007.0
2001-09-10,5500,5570,5420,5450,486791,1151770.0,211334007.0
2001-09-11,5480,5600,5400,5410,385508,1143317.0,211334007.0
2001-09-12,4770,4770,4770,4770,237741,1008063.0,211334007.0
2001-09-13,4580,4910,4500,4800,1212908,1014403.0,211334007.0
2001-09-14,4800,4830,4230,4250,1033520,898170.0,211334007.0
2001-09-17,4100,4200,3740,3740,1056436,790389.0,211334007.0
2001-09-18,4000,4150,3940,4140,1217170,874923.0,211334007.0
2001-09-19,4150,4480,4010,4300,1115865,908736.0,211334007.0
2001-09-20,4330,4450,4250,4300,892482,908736.0,211334007.0
2001-09-21,4150,4300,4030,4290,459780,906623.0,211334007.0
2001-09-24,4290,4680,4260,4500,1337560,951003.0,211334007.0
2001-09-25,4680,4700,4300,4430,946938,936210.0,211334007.0
2001-09-26,4500,4520,4370,4400,306316,929870.0,211334007.0
2001-09-27,4300,4450,4300,4410,319641,931983.0,211334007.0
2001-09-28,4410,4570,4370,4490,585111,948890.0,211334007.0
2001-10-04,4700,4830,4650,4810,903945,1016517.0,211334007.0
2001-10-05,4750,4750,4650,4660,450670,984816.0,211334007.0
2001-10-08,4580,4760,4430,4550,575124,961570.0,211334007.0
2001-10-09,4650,4740,4620,4650,819744,982703.0,211334007.0
2001-10-10,4600,4740,4560,4640,711869,980590.0,211334007.0
2001-10-11,4900,5030,4790,4790,1650237,1012290.0,211334007.0
2001-10-12,4900,4960,4760,4850,749643,1024970.0,211334007.0
2001-10-15,4870,5110,4800,5010,1221193,1058783.0,211334007.0
2001-10-16,5150,5400,5090,5230,1182486,1105277.0,211334007.0
2001-10-17,5300,5360,5180,5220,635484,1103164.0,211334007.0
2001-10-18,5050,5270,5030,5150,511284,1088370.0,211334007.0
2001-10-19,5140,5530,5130,5530,1228821,1168677.0,211334007.0
2001-10-22,5630,5750,5350,5510,1638553,1164450.0,211334007.0
2001-10-23,5520,5600,5350,5390,627218,1139090.0,211334007.0
2001-10-24,5400,5520,5390,5430,784203,1147544.0,211334007.0
2001-10-25,5460,5490,5300,5310,545967,1122184.0,211334007.0
2001-10-26,5350,5600,5340,5470,1854717,1155997.0,211334007.0
2001-10-29,5500,5650,5450,5490,1059934,1160224.0,211334007.0
2001-10-30,5410,5410,5260,5260,604892,1111617.0,211334007.0
2001-10-31,5210,5380,5170,5340,391649,1128524.0,211334007.0
2001-11-01,5380,5460,5310,5450,470369,1151770.0,211334007.0
2001-11-02,5550,5840,5480,5620,2341179,1187697.0,211334007.0
2001-11-05,5770,5830,5620,5700,707898,1204604.0,211334007.0
2001-11-06,5740,5770,5630,5680,549921,1200377.0,211334007.0
2001-11-07,5680,5800,5560,5610,874617,1185584.0,211334007.0
2001-11-08,5610,5730,5590,5600,578555,1183470.0,211334007.0
2001-11-09,5600,5850,5550,5830,1666031,1232077.0,211334007.0
2001-11-12,5990,6200,5870,6120,1806764,1293364.0,211334007.0
2001-11-13,6000,6080,5870,5950,1021119,1257437.0,211334007.0
2001-11-14,6000,6080,5900,5940,926380,1255324.0,211334007.0
2001-11-15,5940,6030,5760,5800,873533,1225737.0,211334007.0
2001-11-16,5810,6000,5770,5830,903911,1232077.0,211334007.0
2001-11-19,5900,5930,5800,5820,1360534,1229964.0,211334007.0
2001-11-20,5830,5950,5750,5800,1790323,1225737.0,211334007.0
2001-11-21,5630,5700,5560,5580,1763207,1179244.0,211334007.0
2001-11-22,5580,5670,5480,5650,959041,1194037.0,211334007.0
2001-11-23,5600,6110,5590,6110,2870513,1291251.0,211334007.0
2001-11-26,6350,6750,6310,6550,4213068,1384238.0,211334007.0
2001-11-27,6810,6950,6380,6500,4641533,1373671.0,211334007.0
2001-11-28,6390,6430,5980,6000,2199302,1268004.0,211334007.0
2001-11-29,5810,6040,5740,6000,2070071,1268004.0,211334007.0
2001-11-30,6100,6190,5960,6000,2371309,1268004.0,211334007.0
2001-12-03,5810,5980,5680,5800,2327145,1225737.0,211334007.0
2001-12-04,5800,5830,5650,5820,2711650,1229964.0,211334007.0
2001-12-05,6000,6510,6000,6510,9628239,1375784.0,211334007.0
2001-12-06,7100,7290,6910,7290,10825321,1540625.0,211334007.0
2001-12-07,7350,7920,7060,7400,10971462,1563872.0,211334007.0
2001-12-10,7570,7650,7220,7260,3497915,1534285.0,211334007.0
2001-12-11,6950,7880,6910,7700,6459527,1627272.0,211334007.0
2001-12-12,7800,8620,7780,8620,7936967,1821699.0,211334007.0
2001-12-13,9090,9280,8370,8450,12243967,1785772.0,211334007.0
2001-12-14,8050,8240,7630,7890,5296291,1667425.0,211334007.0
2001-12-17,7850,7850,7420,7500,4134033,1585005.0,211334007.0
2001-12-18,7600,7980,7210,7250,8160043,2010269.0,277278430.0
2001-12-19,7350,7560,7130,7350,4636877,2037996.0,277278430.0
2001-12-20,7330,8100,7160,7950,9217345,2204364.0,277278430.0
2001-12-21,7720,8110,7570,7720,6964653,2140589.0,277278430.0
2001-12-24,7900,7950,7510,7580,3187074,2101770.0,277278430.0
2001-12-26,7580,7870,7500,7670,4340623,2126726.0,277278430.0
2001-12-27,7650,7970,7600,7760,3418462,2151681.0,277278430.0
2001-12-28,7910,8450,7880,8240,9988078,2284774.0,277278430.0
2002-01-02,8290,8480,8150,8400,5046412,2329139.0,277278430.0
2002-01-03,8730,8730,8410,8470,4793419,2348548.0,277278430.0
2002-01-04,8630,8650,8320,8350,4208698,2315275.0,277278430.0
2002-01-07,8350,8490,8050,8340,4368271,2312502.0,277278430.0
2002-01-08,8260,8580,8160,8290,5221753,2298638.0,277278430.0
2002-01-09,8150,8510,8150,8480,4016400,2351321.0,277278430.0
2002-01-10,8500,8570,8300,8350,3804308,2315275.0,277278430.0
2002-01-11,8390,8510,7830,7870,4313525,2182181.0,277278430.0
2002-01-14,7710,7870,7630,7750,2513100,2148908.0,277278430.0
2002-01-15,7650,7650,7330,7340,2731517,2035224.0,277278430.0
2002-01-16,7150,7430,7150,7220,2328262,2001950.0,277278430.0
2002-01-17,7020,7150,6920,7150,1938488,1982541.0,277278430.0
2002-01-18,7150,7540,7130,7250,4057900,2010269.0,277278430.0
2002-01-21,7250,7420,7220,7370,1302747,2043542.0,277278430.0
2002-01-22,7370,7600,7350,7480,3213396,2074043.0,277278430.0
2002-01-23,7410,7600,7380,7480,1648912,2074043.0,277278430.0
2002-01-24,7530,7810,7530,7760,3071104,2151681.0,277278430.0
2002-01-25,8000,8070,7860,7880,2342905,2184954.0,277278430.0
2002-01-28,7900,8020,7810,7910,2611526,2193272.0,277278430.0
2002-01-29,7950,8120,7610,7610,2783583,2110089.0,277278430.0
2002-01-30,7300,7400,7220,7260,1807615,2013041.0,277278430.0
2002-01-31,7400,7440,7260,7370,1100224,2043542.0,277278430.0
2002-02-01,7390,7450,7170,7190,1275394,1993632.0,277278430.0
2002-02-04,7050,7200,6900,6940,1309953,1924312.0,277278430.0
2002-02-05,6790,6900,6650,6900,977780,1913221.0,277278430.0
2002-02-06,6810,7020,6810,6920,689479,1918767.0,277278430.0
2002-02-07,6810,6870,6610,6630,724212,1838356.0,277278430.0
2002-02-08,6640,6720,6520,6720,736326,1863311.0,277278430.0
2002-02-14,6890,6980,6850,6950,856148,1927085.0,277278430.0
2002-02-15,7000,7180,6960,7060,1050526,1957586.0,277278430.0
2002-02-18,7060,7250,7000,7220,1054613,2001950.0,277278430.0
2002-02-19,7490,7540,7330,7370,2155035,2043542.0,277278430.0
2002-02-20,7350,7350,7060,7150,1026378,1982541.0,277278430.0
2002-02-21,7240,7340,7110,7290,1211007,2021360.0,277278430.0
2002-02-22,7200,8000,7150,7900,6084320,2190500.0,277278430.0
2002-02-25,8110,8300,7840,7930,3632610,2198818.0,277278430.0
2002-02-26,8100,8120,7670,7780,2914856,2157226.0,277278430.0
2002-02-27,7800,8180,7660,8000,3617345,2218227.0,277278430.0
2002-02-28,8000,8100,7670,7700,2684057,2135044.0,277278430.0
2002-03-04,8100,8250,7930,8180,5595864,2268138.0,277278430.0
2002-03-05,8310,8450,8040,8070,3734437,2237637.0,277278430.0
2002-03-06,8070,8150,7960,8120,1967215,2251501.0,277278430.0
2002-03-07,8210,8400,7960,8000,2813144,2218227.0,277278430.0
2002-03-08,7960,8100,7770,7900,1512502,2190500.0,277278430.0
2002-03-11,7950,8070,7840,7910,1627565,2193272.0,277278430.0
2002-03-12,7910,8040,7860,8000,1809717,2218227.0,277278430.0
2002-03-13,8000,8630,7950,8450,6990872,2343003.0,277278430.0
2002-03-14,8450,8480,8130,8450,2206500,2343003.0,277278430.0
2002-03-15,8450,9460,8390,9460,10813698,2623054.0,277278430.0
2002-03-18,9980,10550,9760,10050,14459557,2786648.0,277278430.0
2002-03-19,10050,10300,9800,10150,6889319,2814376.0,277278430.0
2002-03-20,10300,10850,10000,10150,7150390,2814376.0,277278430.0
2002-03-21,9900,10350,9850,10000,3817920,2772784.0,277278430.0
2002-03-22,10200,11200,10200,11200,6702456,3105518.0,277278430.0
2002-03-25,11800,12300,10900,10900,12536492,3022335.0,277278430.0
2002-03-26,10800,12150,10700,12000,9123539,3327341.0,277278430.0
2002-03-27,12000,12050,11250,11300,7465201,3133246.0,277278430.0
2002-03-28,11300,11550,10300,10300,8425867,2855968.0,277278430.0
2002-03-29,10500,10900,10300,10550,3775752,2925287.0,277278430.0
2002-04-01,10300,10450,9710,9750,4203726,2703465.0,277278430.0
2002-04-02,9600,10100,9450,9870,3822492,2736738.0,277278430.0
2002-04-03,9850,9990,9550,9650,2903620,2675737.0,277278430.0
2002-04-04,9520,9650,9130,9300,4652414,2578689.0,277278430.0
2002-04-08,9350,9450,9200,9250,2650238,2564825.0,277278430.0
2002-04-09,9270,9740,9020,9510,5516493,2636918.0,277278430.0
2002-04-10,9510,9680,9260,9610,4335823,2664646.0,277278430.0
2002-04-11,9800,9800,9350,9500,2946122,2634145.0,277278430.0
2002-04-12,9310,10000,9300,10000,4538151,2772784.0,277278430.0
2002-04-15,9940,10100,9800,9950,2586940,2758920.0,277278430.0
2002-04-16,9950,10150,9620,9670,2843437,2681282.0,277278430.0
2002-04-17,10000,10500,9910,9920,5180840,2750602.0,277278430.0
2002-04-18,9960,10050,9850,9930,2149269,2753375.0,277278430.0
2002-04-19,9890,9900,9520,9600,2531495,2661873.0,277278430.0
2002-04-22,9500,9680,9220,9300,2241623,2578689.0,277278430.0
2002-04-23,9050,9260,8910,9110,1716776,2526006.0,277278430.0
2002-04-24,8920,9210,8920,9000,1673837,2495506.0,277278430.0
2002-04-25,8870,8950,8380,8390,1935834,2326366.0,277278430.0
2002-04-26,8210,8350,7810,8210,2086201,2276456.0,277278430.0
2002-04-29,7900,8060,7740,7750,1438467,2148908.0,277278430.0
2002-04-30,7700,7870,7610,7670,1458140,2126726.0,277278430.0
2002-05-02,7850,8060,7850,7940,1544470,2201591.0,277278430.0
2002-05-03,7840,7850,7520,7660,1378857,2123953.0,277278430.0
2002-05-06,7520,7590,7400,7400,998364,2051860.0,277278430.0
2002-05-07,7210,7300,7140,7180,1321996,1990859.0,277278430.0
2002-05-08,7350,7660,7350,7580,2781287,2101770.0,277278430.0
2002-05-09,8000,8020,7580,7660,2324482,2123953.0,277278430.0
2002-05-10,7680,7680,7350,7430,1179062,2060179.0,277278430.0
2002-05-13,7260,7760,7260,7710,1828396,2137817.0,277278430.0
2002-05-14,7890,7900,7560,7570,1534347,2098998.0,277278430.0
2002-05-15,7710,8110,7710,7920,2472396,2196045.0,277278430.0
