디와이(013570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-14,1372,1388,1313,1330,490500,38734.0,2420859.0
1999-05-17,1355,1355,1231,1247,426400,36313.0,2420859.0
1999-05-18,1247,1255,1156,1247,354200,36313.0,2420859.0
1999-05-19,1231,1322,1222,1322,451100,38492.0,2420859.0
1999-05-20,1322,1322,1230,1280,799000,37281.0,2420859.0
1999-05-21,1255,1296,1230,1260,254700,36676.0,2420859.0
1999-05-24,1247,1260,1222,1247,160300,36313.0,2420859.0
1999-05-25,1222,1255,1210,1251,119600,36434.0,2420859.0
1999-05-26,1255,1305,1255,1293,277800,37644.0,2420859.0
1999-05-27,1293,1364,1289,1322,569200,38492.0,2420859.0
1999-05-28,1309,1330,1263,1297,298700,37765.0,2420859.0
1999-05-31,1297,1339,1272,1272,257300,37039.0,2420859.0
1999-06-01,1280,1289,1247,1289,277500,37523.0,2420859.0
1999-06-02,1289,1346,1289,1314,409700,38250.0,2420859.0
1999-06-03,1346,1413,1330,1372,1098900,39944.0,2420859.0
1999-06-04,1405,1447,1372,1393,1270600,40549.0,2420859.0
1999-06-07,1459,1459,1405,1434,707000,41760.0,2420859.0
1999-06-08,1439,1496,1392,1496,1050400,43575.0,2420859.0
1999-06-09,1496,1546,1472,1496,970400,43575.0,2420859.0
1999-06-10,1479,1612,1463,1596,1504600,46480.0,2420859.0
1999-06-11,1638,1646,1563,1580,743400,45996.0,2420859.0
1999-06-14,1564,1571,1489,1505,501800,43818.0,2420859.0
1999-06-15,1496,1538,1413,1496,716700,43575.0,2420859.0
1999-06-16,1456,1538,1456,1505,179900,43818.0,2420859.0
1999-06-17,1505,1546,1455,1463,252900,42607.0,2420859.0
1999-06-18,1496,1496,1439,1472,326300,42849.0,2420859.0
1999-06-21,1496,1505,1421,1455,211700,42365.0,2420859.0
1999-06-22,1455,1538,1430,1517,425300,44181.0,2420859.0
1999-06-23,1517,1563,1488,1555,305500,45270.0,2420859.0
1999-06-24,1571,1617,1555,1580,555700,45996.0,2420859.0
1999-06-25,1622,1655,1542,1563,514500,45512.0,2420859.0
1999-06-28,1580,1605,1538,1546,473700,45028.0,2420859.0
1999-06-29,1559,1559,1479,1496,563800,43575.0,2420859.0
1999-06-30,1526,1530,1463,1505,397600,43818.0,2420859.0
1999-07-01,1513,1571,1505,1530,338500,44544.0,2420859.0
1999-07-02,1547,1613,1496,1580,417600,45996.0,2420859.0
1999-07-05,1622,1713,1622,1696,904900,49386.0,2420859.0
1999-07-06,1713,1713,1646,1663,372100,48417.0,2420859.0
1999-07-07,1679,1679,1587,1613,405400,46965.0,2420859.0
1999-07-08,1617,1646,1592,1634,393400,47570.0,2420859.0
1999-07-09,1646,1659,1587,1630,546200,47449.0,2420859.0
1999-07-12,1633,1704,1596,1609,480900,46844.0,2420859.0
1999-07-13,1584,1613,1513,1513,356200,44060.0,2420859.0
1999-07-14,1496,1530,1459,1496,355100,43575.0,2420859.0
1999-07-15,1479,1488,1439,1459,216000,42486.0,2420859.0
1999-07-16,1430,1513,1430,1513,333400,44060.0,2420859.0
1999-07-19,1555,1571,1513,1526,240000,44423.0,2420859.0
1999-07-20,1538,1538,1439,1488,292600,43333.0,2420859.0
1999-07-21,1430,1463,1371,1405,317700,40913.0,2420859.0
1999-07-22,1381,1414,1330,1413,329200,41155.0,2420859.0
1999-07-23,1397,1580,1372,1413,501400,41155.0,2420859.0
1999-07-26,1414,1455,1289,1289,220600,37523.0,2420859.0
1999-07-27,1289,1330,1268,1314,296700,38250.0,2420859.0
1999-07-28,1289,1388,1289,1347,323200,39218.0,2420859.0
1999-07-29,1297,1497,1297,1393,1932500,40549.0,2420859.0
1999-07-30,1588,1601,1496,1600,2383600,46602.0,2420859.0
1999-08-02,1622,1838,1622,1746,3375200,50838.0,2420859.0
1999-08-03,1804,1837,1662,1721,1862500,50112.0,2420859.0
1999-08-04,1762,1837,1629,1663,1113900,48417.0,2420859.0
1999-08-05,1645,1745,1537,1596,1136400,46480.0,2420859.0
1999-08-06,1608,1621,1512,1555,467100,45270.0,2420859.0
1999-08-09,1530,1612,1521,1538,507100,44786.0,2420859.0
1999-08-10,1538,1571,1521,1571,431400,45754.0,2420859.0
1999-08-11,1538,1804,1530,1804,3040100,52533.0,2420859.0
1999-08-12,1833,1863,1646,1671,3030600,48659.0,2420859.0
1999-08-13,1680,1680,1496,1542,999800,44907.0,2420859.0
1999-08-16,1472,1622,1472,1505,737400,43818.0,2420859.0
1999-08-17,1496,1662,1458,1521,1204600,44302.0,2420859.0
1999-08-18,1521,1575,1467,1480,453100,43091.0,2420859.0
1999-08-19,1463,1521,1463,1521,427800,44302.0,2420859.0
1999-08-20,1538,1547,1480,1530,323800,44544.0,2420859.0
1999-08-23,1488,1579,1479,1538,745200,44786.0,2420859.0
1999-08-24,1513,1547,1505,1509,558300,43939.0,2420859.0
1999-08-25,1513,1550,1509,1513,643500,44060.0,2420859.0
1999-08-26,1512,1530,1472,1480,399200,43091.0,2420859.0
1999-08-27,1456,1456,1388,1413,437100,41155.0,2420859.0
1999-08-30,1409,1512,1380,1447,336500,42123.0,2420859.0
1999-08-31,1330,1421,1330,1388,245300,40428.0,2420859.0
1999-09-01,1414,1414,1306,1305,187800,38007.0,2420859.0
1999-09-02,1306,1330,1289,1289,211000,37523.0,2420859.0
1999-09-03,1289,1313,1247,1297,205700,37765.0,2420859.0
1999-09-06,1172,1255,1172,1230,221100,35829.0,2420859.0
1999-09-07,1255,1397,1163,1314,686700,38250.0,2420859.0
1999-09-08,1272,1414,1272,1289,430400,37523.0,2420859.0
1999-09-09,1322,1330,1259,1289,114800,37523.0,2420859.0
1999-09-10,1272,1322,1264,1289,127700,37523.0,2420859.0
1999-09-13,1296,1363,1271,1297,222700,37765.0,2420859.0
1999-09-14,1314,1347,1297,1301,155700,37886.0,2420859.0
1999-09-15,1297,1301,1272,1272,98200,37039.0,2420859.0
1999-09-16,1251,1280,1222,1239,150600,36071.0,2420859.0
1999-09-17,1197,1231,1197,1230,82900,35829.0,2420859.0
1999-09-20,1189,1305,1189,1255,198900,36555.0,2420859.0
1999-09-21,1264,1372,1264,1289,276500,37523.0,2420859.0
1999-09-22,1272,1272,1214,1251,121600,36434.0,2420859.0
1999-09-27,1173,1231,1173,1189,148800,34618.0,2420859.0
1999-09-28,1189,1222,1164,1181,83900,34376.0,2420859.0
1999-09-29,1189,1222,1156,1181,156300,34376.0,2420859.0
1999-09-30,1147,1205,1130,1131,76100,32924.0,2420859.0
1999-10-01,1093,1156,1023,1081,156600,31471.0,2420859.0
1999-10-04,1030,1105,1030,1039,111800,30261.0,2420859.0
1999-10-05,1048,1072,997,998,188900,29050.0,2420859.0
1999-10-06,955,1030,922,1002,224400,29171.0,2420859.0
1999-10-07,1027,1027,960,1023,224500,29777.0,2420859.0
1999-10-08,1027,1088,1006,1056,241300,30745.0,2420859.0
1999-10-11,1081,1123,1065,1097,258600,31955.0,2420859.0
1999-10-12,1147,1177,1123,1151,264100,33529.0,2420859.0
1999-10-13,1152,1322,1081,1247,1508100,36313.0,2420859.0
1999-10-14,1181,1268,1164,1226,210200,35708.0,2420859.0
1999-10-15,1193,1239,1156,1156,106100,33650.0,2420859.0
1999-10-18,1089,1156,1085,1085,166600,31592.0,2420859.0
1999-10-19,1097,1114,1072,1072,88400,31229.0,2420859.0
1999-10-20,1114,1164,1089,1139,108100,33166.0,2420859.0
1999-10-21,1164,1247,1139,1139,166600,33166.0,2420859.0
1999-10-22,1147,1180,1130,1181,98800,34376.0,2420859.0
1999-10-25,1163,1163,1089,1089,53300,31713.0,2420859.0
1999-10-26,1089,1114,1081,1081,29900,31471.0,2420859.0
1999-10-27,1140,1140,1056,1060,56000,30866.0,2420859.0
1999-10-28,1055,1109,1055,1072,33700,31229.0,2420859.0
1999-10-29,1081,1131,1056,1081,63300,31471.0,2420859.0
1999-11-01,1088,1147,1088,1147,101700,33408.0,2420859.0
1999-11-02,1163,1197,1122,1147,95900,33408.0,2420859.0
1999-11-03,1147,1147,1102,1147,94100,33408.0,2420859.0
1999-11-04,1163,1163,1122,1131,123800,32924.0,2420859.0
1999-11-05,1163,1189,1130,1164,162700,33892.0,2420859.0
1999-11-08,1196,1196,1122,1131,163700,32924.0,2420859.0
1999-11-09,1098,1281,1098,1189,725600,34618.0,2420859.0
1999-11-10,1189,1201,1135,1164,261900,33892.0,2420859.0
1999-11-11,1139,1198,1139,1193,351900,34739.0,2420859.0
1999-11-12,1193,1214,1156,1181,743400,34376.0,2420859.0
1999-11-15,1180,1180,1126,1139,180600,33166.0,2420859.0
1999-11-16,1131,1131,1098,1114,152500,32440.0,2420859.0
1999-11-17,1089,1098,956,1023,189700,29777.0,2420859.0
1999-11-18,955,1056,955,1014,276200,29534.0,2420859.0
1999-11-19,973,1039,973,1039,182500,30261.0,2420859.0
1999-11-22,1072,1072,1014,1027,136100,29898.0,2420859.0
1999-11-23,1023,1056,1014,1048,88800,30503.0,2420859.0
1999-11-24,1065,1081,1039,1081,215700,31471.0,2420859.0
1999-11-25,1060,1097,1006,1056,135200,30745.0,2420859.0
1999-11-26,1030,1030,915,956,161200,27840.0,2420859.0
1999-11-29,956,998,915,948,67100,27598.0,2420859.0
1999-11-30,956,964,927,956,121100,27840.0,2420859.0
1999-12-01,814,1039,814,1039,883500,30261.0,2420859.0
1999-12-02,1039,1114,1006,1031,176300,30019.0,2420859.0
1999-12-03,1030,1088,1030,1039,668900,30261.0,2420859.0
1999-12-06,1193,1193,1164,1193,1297500,34739.0,2420859.0
1999-12-07,1155,1176,1014,1018,969400,29656.0,2420859.0
1999-12-08,1022,1068,922,998,674000,29050.0,2420859.0
1999-12-09,956,1023,939,956,218700,27840.0,2420859.0
1999-12-10,922,1081,922,998,333800,29050.0,2420859.0
1999-12-13,1023,1081,1023,1048,216100,30503.0,2420859.0
1999-12-14,997,1123,997,1122,288300,32682.0,2420859.0
1999-12-15,1139,1205,1064,1085,325300,31592.0,2420859.0
1999-12-16,1131,1247,1102,1247,620500,36313.0,2420859.0
1999-12-17,1238,1322,1188,1280,805200,37281.0,2420859.0
1999-12-20,1280,1313,1147,1181,578100,34376.0,2420859.0
1999-12-21,1123,1156,1065,1097,241700,31955.0,2420859.0
1999-12-22,1065,1086,965,1023,196800,29777.0,2420859.0
1999-12-23,1031,1123,1031,1043,192200,30382.0,2420859.0
1999-12-24,997,1198,997,1197,1018900,34860.0,2420859.0
1999-12-27,1198,1360,1123,1197,1198500,34860.0,2420859.0
1999-12-28,1206,1231,1081,1156,376700,33650.0,2420859.0
2000-01-04,989,1105,989,1072,241700,31229.0,2420859.0
2000-01-05,1073,1156,1044,1060,187500,30866.0,2420859.0
2000-01-06,1123,1123,1023,1064,161400,30987.0,2420859.0
2000-01-07,1056,1081,1006,1023,117600,29777.0,2420859.0
2000-01-10,1172,1172,997,1002,628800,29171.0,2420859.0
2000-01-11,1014,1014,981,1006,145500,29292.0,2420859.0
2000-01-12,997,997,948,956,877200,27840.0,2420859.0
2000-01-13,956,998,936,989,264600,28808.0,2420859.0
2000-01-14,997,1006,964,981,110000,28566.0,2420859.0
2000-01-17,981,1072,981,1010,264200,29413.0,2420859.0
2000-01-18,1030,1048,973,994,125000,28929.0,2420859.0
2000-01-19,985,985,948,956,141500,27840.0,2420859.0
2000-01-20,931,939,889,939,165800,27356.0,2420859.0
2000-01-21,989,1022,898,923,893800,26872.0,2420859.0
2000-01-24,931,931,885,898,521100,26145.0,2420859.0
2000-01-25,898,939,898,898,301300,26145.0,2420859.0
2000-01-26,898,910,860,890,387500,25903.0,2420859.0
2000-01-27,890,939,890,931,270900,27114.0,2420859.0
2000-01-28,981,981,915,919,149300,26750.0,2420859.0
2000-01-31,936,944,923,935,148700,27235.0,2420859.0
2000-02-01,936,952,902,915,193100,26629.0,2420859.0
2000-02-02,919,956,898,956,168900,27840.0,2420859.0
2000-02-03,1081,1098,1014,1023,848800,29777.0,2420859.0
2000-02-07,981,1031,965,1006,254800,29292.0,2420859.0
2000-02-08,989,1006,960,964,168700,28082.0,2420859.0
2000-02-09,964,973,936,935,232700,27235.0,2420859.0
2000-02-10,935,935,898,906,279100,26387.0,2420859.0
2000-02-11,906,910,873,881,227100,25661.0,2420859.0
2000-02-14,848,873,848,856,67900,24935.0,2420859.0
2000-02-15,856,873,856,865,103000,25177.0,2420859.0
2000-02-16,877,915,873,898,328800,26145.0,2420859.0
2000-02-17,898,973,898,973,161000,28324.0,2420859.0
2000-02-18,973,997,906,956,345700,27840.0,2420859.0
2000-02-21,956,956,857,873,145400,25419.0,2420859.0
2000-02-22,832,932,832,873,95900,25419.0,2420859.0
2000-02-23,890,953,890,948,96500,27598.0,2420859.0
2000-02-24,948,964,890,898,168600,26145.0,2420859.0
2000-02-25,956,956,898,939,132100,27356.0,2420859.0
2000-02-28,939,1055,939,1039,501000,30261.0,2420859.0
2000-02-29,1073,1089,998,1023,371100,29777.0,2420859.0
2000-03-02,1022,1076,985,1052,355300,30624.0,2420859.0
2000-03-03,1055,1180,1055,1110,671400,32318.0,2420859.0
2000-03-06,1193,1276,1163,1276,878300,37160.0,2420859.0
2000-03-07,1468,1468,1456,1467,928600,42728.0,2420859.0
2000-03-08,1496,1538,1272,1289,2448200,37523.0,2420859.0
2000-03-09,1330,1380,1255,1289,1469600,37523.0,2420859.0
2000-03-10,1306,1322,1214,1264,1163000,36797.0,2420859.0
2000-03-13,1289,1364,1264,1264,995200,36797.0,2420859.0
2000-03-14,1330,1439,1180,1255,1426300,36555.0,2420859.0
2000-03-15,1255,1264,1180,1181,420900,34376.0,2420859.0
2000-03-16,1114,1206,1106,1114,434700,32440.0,2420859.0
2000-03-17,1156,1272,1098,1172,779000,34134.0,2420859.0
2000-03-20,1222,1281,1177,1247,549800,36313.0,2420859.0
2000-03-21,1280,1280,1172,1206,355900,35102.0,2420859.0
2000-03-22,1164,1255,1164,1214,383600,35345.0,2420859.0
2000-03-23,1214,1264,1189,1230,578800,35829.0,2420859.0
2000-03-24,1231,1314,1214,1247,722000,36313.0,2420859.0
2000-03-27,1297,1297,1222,1247,237000,36313.0,2420859.0
2000-03-28,1264,1264,1173,1172,322200,34134.0,2420859.0
2000-03-29,1164,1197,1098,1102,281900,32076.0,2420859.0
2000-03-30,1081,1140,1081,1081,235100,31471.0,2420859.0
2000-03-31,1098,1119,1081,1114,169100,32440.0,2420859.0
2000-04-03,1086,1140,1056,1081,115200,31471.0,2420859.0
2000-04-04,1039,1048,973,998,119900,29050.0,2420859.0
2000-04-06,964,1014,956,989,52300,28808.0,2420859.0
2000-04-07,997,1035,955,1035,159100,30140.0,2420859.0
2000-04-10,1035,1056,1027,1031,88600,30019.0,2420859.0
2000-04-11,1030,1030,989,1031,155800,30019.0,2420859.0
2000-04-12,1039,1048,1006,1006,53900,29292.0,2420859.0
2000-04-14,1002,1039,964,998,113400,29050.0,2420859.0
2000-04-17,981,981,848,848,99200,24693.0,2420859.0
2000-04-18,882,915,882,894,133700,26024.0,2420859.0
2000-04-19,956,956,894,915,155500,26629.0,2420859.0
2000-04-20,914,947,885,944,52700,27477.0,2420859.0
2000-04-21,956,956,902,948,48000,27598.0,2420859.0
2000-04-24,964,989,943,964,97400,28082.0,2420859.0
2000-04-25,973,973,915,939,127000,27356.0,2420859.0
2000-04-26,981,1039,931,973,244900,28324.0,2420859.0
2000-04-27,956,990,915,915,126800,26629.0,2420859.0
2000-04-28,981,981,910,944,63200,27477.0,2420859.0
2000-05-02,952,973,911,952,205100,27719.0,2420859.0
2000-05-03,952,952,915,952,35200,27719.0,2420859.0
2000-05-04,939,939,915,939,62300,27356.0,2420859.0
2000-05-08,955,1023,955,977,103100,28445.0,2420859.0
2000-05-09,997,1105,997,1039,462800,30261.0,2420859.0
2000-05-10,1072,1072,1006,1052,108000,30624.0,2420859.0
2000-05-12,1044,1044,973,994,116900,28929.0,2420859.0
2000-05-15,997,997,915,939,112500,27356.0,2420859.0
2000-05-16,969,969,889,939,41200,27356.0,2420859.0
2000-05-17,939,939,848,848,78400,24693.0,2420859.0
2000-05-18,748,786,723,773,397900,22514.0,2420859.0
2000-05-19,790,857,707,782,111400,22756.0,2420859.0
2000-05-22,798,815,723,748,112200,21788.0,2420859.0
2000-05-23,773,773,732,752,163600,21909.0,2420859.0
2000-05-24,756,864,717,865,162900,25177.0,2420859.0
2000-05-25,898,931,815,865,394300,25177.0,2420859.0
2000-05-26,865,981,827,873,707700,25419.0,2420859.0
2000-05-29,906,956,877,877,329300,25540.0,2420859.0
2000-05-30,882,898,798,877,287600,25540.0,2420859.0
2000-05-31,919,981,877,915,715100,26629.0,2420859.0
2000-06-01,923,923,864,915,248200,26629.0,2420859.0
2000-06-02,915,956,898,931,320800,27114.0,2420859.0
2000-06-05,948,956,915,948,338400,27598.0,2420859.0
2000-06-07,948,956,915,939,230400,27356.0,2420859.0
2000-06-08,919,939,856,923,273000,26872.0,2420859.0
2000-06-09,844,898,844,881,228400,25661.0,2420859.0
2000-06-12,873,906,856,881,148500,25661.0,2420859.0
2000-06-13,864,923,856,881,289100,25661.0,2420859.0
2000-06-14,890,890,840,856,143900,24935.0,2420859.0
2000-06-15,840,840,790,813,130500,23676.0,2420859.0
2000-06-16,783,803,782,782,98100,22756.0,2420859.0
2000-06-19,765,798,765,790,80700,22998.0,2420859.0
2000-06-20,807,815,790,802,132300,23361.0,2420859.0
2000-06-21,784,815,784,790,206100,22998.0,2420859.0
2000-06-22,798,801,774,796,123700,23168.0,2420859.0
2000-06-23,814,889,774,848,234200,24693.0,2420859.0
2000-06-26,873,882,848,860,232100,25056.0,2420859.0
2000-06-27,990,990,906,956,795100,27840.0,2420859.0
2000-06-28,915,952,877,881,319200,25661.0,2420859.0
2000-06-29,997,1011,939,1010,1732700,29413.0,2420859.0
2000-06-30,1081,1123,981,1023,1773100,29777.0,2420859.0
2000-07-03,1035,1040,956,985,624600,28687.0,2420859.0
2000-07-04,993,997,915,923,376100,26872.0,2420859.0
2000-07-05,922,997,922,939,592000,27356.0,2420859.0
2000-07-06,952,964,915,956,348600,27840.0,2420859.0
2000-07-07,981,1014,931,1006,386500,29292.0,2420859.0
2000-07-10,998,1006,973,985,288200,28687.0,2420859.0
2000-07-11,968,968,922,923,373200,26872.0,2420859.0
2000-07-12,973,973,922,944,221800,27477.0,2420859.0
2000-07-13,955,1018,922,981,268400,28566.0,2420859.0
2000-07-14,923,1068,923,956,892800,27840.0,2420859.0
2000-07-18,960,964,889,906,336100,26387.0,2420859.0
2000-07-19,906,927,857,856,153700,24935.0,2420859.0
2000-07-20,831,964,831,902,643400,26266.0,2420859.0
2000-07-21,931,976,877,923,916600,26872.0,2420859.0
2000-07-24,922,922,840,865,265900,25177.0,2420859.0
2000-07-25,840,882,840,873,101500,25419.0,2420859.0
2000-07-26,856,885,856,881,78500,25661.0,2420859.0
2000-07-27,864,873,848,865,90000,25177.0,2420859.0
2000-07-28,873,915,840,915,134200,26629.0,2420859.0
2000-07-31,910,910,864,898,79600,26145.0,2420859.0
2000-08-01,882,919,882,919,122300,26750.0,2420859.0
2000-08-02,915,990,906,956,346100,27840.0,2420859.0
2000-08-03,936,973,919,931,170700,27114.0,2420859.0
2000-08-04,923,1014,906,952,1287400,27719.0,2420859.0
2000-08-07,952,969,890,915,312800,26629.0,2420859.0
2000-08-08,889,922,889,906,200800,26387.0,2420859.0
2000-08-09,898,931,898,906,111900,26387.0,2420859.0
2000-08-10,906,952,894,952,148700,27719.0,2420859.0
2000-08-11,952,997,943,956,258900,27840.0,2420859.0
2000-08-14,964,1014,960,998,269100,29050.0,2420859.0
2000-08-16,964,1014,960,1014,237200,29534.0,2420859.0
2000-08-17,1030,1039,973,998,212000,29050.0,2420859.0
2000-08-18,997,1035,981,1014,309400,29534.0,2420859.0
2000-08-21,1014,1022,973,998,330900,29050.0,2420859.0
2000-08-22,981,998,960,985,234500,28687.0,2420859.0
2000-08-23,997,997,948,977,226800,28445.0,2420859.0
2000-08-24,976,976,919,939,237300,27356.0,2420859.0
2000-08-25,939,948,898,923,203600,26872.0,2420859.0
2000-08-28,932,944,911,931,82300,27114.0,2420859.0
2000-08-29,931,948,919,923,113200,26872.0,2420859.0
2000-08-30,927,931,898,923,104000,26872.0,2420859.0
2000-08-31,906,906,877,885,84000,25782.0,2420859.0
2000-09-01,902,910,890,898,102300,26145.0,2420859.0
2000-09-04,882,956,882,915,250100,26629.0,2420859.0
2000-09-05,923,944,899,910,216900,26508.0,2420859.0
2000-09-06,906,931,893,927,99400,26993.0,2420859.0
2000-09-07,915,927,898,923,129800,26872.0,2420859.0
2000-09-08,932,956,915,948,235600,27598.0,2420859.0
2000-09-14,956,956,923,956,131400,27840.0,2420859.0
2000-09-15,973,973,814,815,968400,23724.0,2420859.0
2000-09-18,824,831,693,693,732200,20166.0,2420859.0
2000-09-19,704,704,650,669,243200,19488.0,2420859.0
2000-09-20,678,740,670,707,410900,20577.0,2420859.0
2000-09-21,669,707,648,698,219400,20311.0,2420859.0
2000-09-22,688,697,633,661,102700,19246.0,2420859.0
2000-09-25,706,706,649,673,91200,19609.0,2420859.0
2000-09-26,702,702,666,681,63500,19827.0,2420859.0
2000-09-27,674,700,665,678,194700,19730.0,2420859.0
2000-09-28,682,702,681,685,244000,19948.0,2420859.0
2000-09-29,705,705,675,705,144500,20529.0,2420859.0
2000-10-02,678,690,678,687,58100,19996.0,2420859.0
2000-10-04,672,690,657,690,207800,20093.0,2420859.0
2000-10-05,707,707,683,698,119200,20335.0,2420859.0
2000-10-06,703,703,665,674,126200,19633.0,2420859.0
2000-10-09,756,774,748,775,1019100,22562.0,2420859.0
2000-10-10,813,813,698,707,1370300,20577.0,2420859.0
2000-10-11,670,706,659,658,437500,19173.0,2420859.0
2000-10-12,666,673,640,641,377500,18665.0,2420859.0
2000-10-13,633,633,546,606,257400,17648.0,2420859.0
2000-10-16,614,634,614,624,150000,18181.0,2420859.0
2000-10-17,591,706,591,629,424800,18302.0,2420859.0
2000-10-18,665,665,602,632,129700,18399.0,2420859.0
2000-10-19,607,639,607,614,147700,17890.0,2420859.0
