에이리츠(140910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-06-07,5595,5703,5345,5590,2090,17019.0,3628735.0
2012-06-08,5399,5660,5315,5442,1124,16565.0,3628735.0
2012-06-11,5446,5637,5369,5590,2370,17019.0,3628735.0
2012-06-12,5369,5583,5363,5560,900,16928.0,3628735.0
2012-06-13,5560,5637,5458,5459,50,16620.0,3628735.0
2012-06-14,5566,5566,5566,5566,10,16946.0,3628735.0
2012-06-15,5637,6316,5566,5894,31632,17944.0,3628735.0
2012-06-18,6257,6257,5601,5727,14310,17436.0,3628735.0
2012-06-19,5739,5911,5434,5483,24240,16692.0,3628735.0
2012-06-20,5393,5560,5297,5495,4980,16728.0,3628735.0
2012-06-21,5499,5506,5375,5418,11420,16493.0,3628735.0
2012-06-22,5440,5476,5267,5459,757,16620.0,3628735.0
2012-06-25,5506,5530,5303,5448,2940,16583.0,3628735.0
2012-06-26,5363,5530,5303,5459,3696,16620.0,3628735.0
2012-06-27,5458,5512,5351,5352,800,16293.0,3628735.0
2012-06-28,5387,5440,5273,5442,741,16565.0,3628735.0
2012-06-29,5470,5506,5399,5459,820,16620.0,3628735.0
2012-07-02,5458,5458,5279,5424,1870,16511.0,3628735.0
2012-07-03,5334,5416,5244,5387,880,16402.0,3628735.0
2012-07-04,5357,5357,5273,5304,6800,16148.0,3628735.0
2012-07-05,5328,5452,5226,5275,3540,16057.0,3628735.0
2012-07-06,5440,5440,5178,5245,1420,15966.0,3628735.0
2012-07-09,5267,5804,5178,5340,23065,16257.0,3628735.0
2012-07-10,5267,5399,5173,5352,5235,16293.0,3628735.0
2012-07-11,5351,5739,5255,5316,27740,16184.0,3628735.0
2012-07-12,5339,5660,5309,5495,2891,16728.0,3628735.0
2012-07-13,5494,5494,5184,5257,5711,16003.0,3628735.0
2012-07-16,5255,5494,5184,5399,4536,16438.0,3628735.0
2012-07-17,5518,5518,5351,5465,2950,16638.0,3628735.0
2012-07-18,5524,5524,5285,5436,2390,16547.0,3628735.0
2012-07-19,5297,5482,5267,5418,3280,16493.0,3628735.0
2012-07-20,5446,5482,5149,5269,6211,16039.0,3628735.0
2012-07-23,5255,5315,5190,5310,2370,16166.0,3628735.0
2012-07-24,5309,5470,5273,5381,500,16384.0,3628735.0
2012-07-25,5226,5303,5167,5239,2070,15948.0,3628735.0
2012-07-26,5238,5357,5161,5334,1180,16239.0,3628735.0
2012-07-27,5524,5524,5208,5251,630,15985.0,3628735.0
2012-07-30,5303,5345,5136,5251,7770,15985.0,3628735.0
2012-07-31,5244,5363,5124,5304,6400,16148.0,3628735.0
2012-08-01,5142,5328,5142,5293,1230,16112.0,3628735.0
2012-08-02,5124,5244,5089,5090,5020,15495.0,3628735.0
2012-08-03,5094,5094,5006,5066,3400,15422.0,3628735.0
2012-08-06,5118,5118,4969,5006,2840,15241.0,3628735.0
2012-08-07,5124,5124,4886,5030,6920,15313.0,3628735.0
2012-08-08,5089,5089,4982,5024,650,15295.0,3628735.0
2012-08-09,5130,5232,5011,5197,9580,15821.0,3628735.0
2012-08-10,5226,5232,5083,5209,170,15858.0,3628735.0
2012-08-13,5446,5446,5238,5239,40,15948.0,3628735.0
2012-08-14,5363,5363,4982,5310,14160,16166.0,3628735.0
2012-08-16,5833,5833,5279,5418,4530,16493.0,3628735.0
2012-08-17,5357,5411,5136,5381,7730,16384.0,3628735.0
2012-08-20,5399,5589,5399,5537,7960,16855.0,3628735.0
2012-08-21,5542,5548,5375,5542,1460,16874.0,3628735.0
2012-08-22,5291,5542,5250,5542,4021,16874.0,3628735.0
2012-08-23,5446,5721,5309,5578,4741,16982.0,3628735.0
2012-08-24,5334,5566,5321,5560,340,16928.0,3628735.0
2012-08-27,5303,5560,5267,5513,4940,16783.0,3628735.0
2012-08-28,5285,5518,5285,5459,2607,16620.0,3628735.0
2012-08-29,5315,5393,5035,5269,2845,16039.0,3628735.0
2012-08-30,5244,5458,5244,5387,192,16402.0,3628735.0
2012-08-31,5250,5375,5094,5310,7883,16166.0,3628735.0
2012-09-03,5291,5291,5124,5263,2310,16021.0,3628735.0
2012-09-04,5554,5554,5065,5245,8917,15966.0,3628735.0
2012-09-05,5006,5250,5006,5220,10325,15894.0,3628735.0
2012-09-06,5334,5334,5006,5161,6560,15712.0,3628735.0
2012-09-07,5161,5351,5017,5149,3573,15676.0,3628735.0
2012-09-10,4994,5267,4994,5269,7760,16039.0,3628735.0
2012-09-11,5047,5250,5047,5251,6320,15985.0,3628735.0
2012-09-12,5089,5351,5089,5346,5160,16275.0,3628735.0
2012-09-13,5411,5411,5155,5310,6380,16166.0,3628735.0
2012-09-14,5309,5309,5047,5197,15208,15821.0,3628735.0
2012-09-17,5345,5345,5017,5120,11900,15585.0,3628735.0
2012-09-18,5047,5297,5047,5132,4510,15622.0,3628735.0
2012-09-19,5297,5297,5041,5226,10510,15912.0,3628735.0
2012-09-20,5226,5244,5112,5245,3030,15966.0,3628735.0
2012-09-21,5238,5309,5178,5281,6440,16075.0,3628735.0
2012-09-24,6066,6066,5458,6067,185148,18470.0,3628735.0
2012-09-25,6436,6554,5190,5489,90891,16710.0,3628735.0
2012-09-26,5548,5548,5244,5399,27296,16438.0,3628735.0
2012-09-27,5250,5279,5083,5179,23411,15767.0,3628735.0
2012-09-28,5232,5416,5124,5232,3100,15930.0,3628735.0
2012-10-02,5357,5357,5071,5239,5870,15948.0,3628735.0
2012-10-04,5142,5363,5124,5239,8610,15948.0,3628735.0
2012-10-05,5363,5589,5124,5358,12079,16311.0,3628735.0
2012-10-08,5422,5422,5202,5364,7220,16329.0,3628735.0
2012-10-09,5261,5434,5184,5269,12330,16039.0,3628735.0
2012-10-10,5328,5387,5184,5245,5514,15966.0,3628735.0
2012-10-11,5363,5363,5130,5161,3810,15712.0,3628735.0
2012-10-12,5161,5220,5023,5179,5358,15767.0,3628735.0
2012-10-15,5041,5297,5041,5232,4147,15930.0,3628735.0
2012-10-16,5053,5297,5017,5245,5860,15966.0,3628735.0
2012-10-17,5136,5363,5136,5167,4090,15731.0,3628735.0
2012-10-18,5089,5351,5089,5185,2801,15785.0,3628735.0
2012-10-19,5255,5255,5065,5161,3761,15712.0,3628735.0
2012-10-22,5100,5315,5077,5298,3060,16130.0,3628735.0
2012-10-23,5357,5357,5202,5346,5030,16275.0,3628735.0
2012-10-24,5351,5721,5232,5448,2740,16583.0,3628735.0
2012-10-25,5387,5566,5351,5471,3250,16656.0,3628735.0
2012-10-26,5261,5476,5261,5424,1750,16511.0,3628735.0
2012-10-29,5273,5411,5273,5387,72,16402.0,3628735.0
2012-10-30,5279,5393,5167,5209,3838,15858.0,3628735.0
2012-10-31,5387,5411,5149,5293,4211,16112.0,3628735.0
2012-11-01,5625,5625,5065,5173,2325,15749.0,3628735.0
2012-11-02,5065,5422,5029,5197,5486,15821.0,3628735.0
2012-11-05,5118,5232,4945,4947,9393,15059.0,3628735.0
2012-11-06,4951,5196,4945,5066,14490,15422.0,3628735.0
2012-11-07,5161,5161,4886,5114,6930,15567.0,3628735.0
2012-11-08,5118,5118,5011,5114,920,15567.0,3628735.0
2012-11-09,5006,5149,4892,5126,10870,15604.0,3628735.0
2012-11-12,5155,5387,5053,5185,800,15785.0,3628735.0
2012-11-13,5041,5220,4982,5126,6101,15604.0,3628735.0
2012-11-14,5184,5184,4833,5126,21361,15604.0,3628735.0
2012-11-15,5124,5124,5006,5126,14741,15604.0,3628735.0
2012-11-16,5006,5006,5006,5006,310,15241.0,3628735.0
2012-11-19,5006,5118,5006,5084,22930,15477.0,3628735.0
2012-11-20,5190,5190,4951,5126,5070,15604.0,3628735.0
2012-11-21,4969,5094,4886,5084,3050,15477.0,3628735.0
2012-11-22,4969,5112,4939,5018,1977,15277.0,3628735.0
2012-11-23,4904,5006,4839,4971,4752,15132.0,3628735.0
2012-11-26,4969,5006,4886,5006,2480,15241.0,3628735.0
2012-11-27,4904,5000,4898,4994,2130,15204.0,3628735.0
2012-11-28,5226,5226,4868,5006,1893,15241.0,3628735.0
2012-11-29,4886,5100,4886,5006,3400,15241.0,3628735.0
2012-11-30,5065,5065,5000,5000,640,15223.0,3628735.0
2012-12-03,4910,5006,4910,4994,100,15204.0,3628735.0
2012-12-04,4856,4994,4856,4994,1220,15204.0,3628735.0
2012-12-05,4982,4982,4803,4976,540,15150.0,3628735.0
2012-12-06,4976,5244,4976,4994,380,15204.0,3628735.0
2012-12-07,4880,5106,4880,5053,4053,15386.0,3628735.0
2012-12-10,5208,5208,4969,5120,4652,15585.0,3628735.0
2012-12-11,5118,5118,4886,5096,4451,15513.0,3628735.0
2012-12-12,5094,5094,4916,5006,4960,15241.0,3628735.0
2012-12-13,5023,5077,4969,5066,4737,15422.0,3628735.0
2012-12-14,5118,5118,4922,5053,4922,15386.0,3628735.0
2012-12-17,5053,5053,4945,5048,2840,15368.0,3628735.0
2012-12-18,5006,5006,4945,5006,4660,15241.0,3628735.0
2012-12-20,5006,5100,4945,5066,4898,15422.0,3628735.0
2012-12-21,5065,5244,5053,5173,13188,15749.0,3628735.0
2012-12-24,5184,5184,4963,4994,2740,15204.0,3628735.0
2012-12-26,4994,4994,4916,4971,186762,15132.0,3628735.0
2012-12-27,4874,5029,4839,4971,4211,15132.0,3628735.0
2012-12-28,4845,5017,4833,4965,9150,15114.0,3628735.0
2013-01-02,4886,4994,4886,4988,1341,15186.0,3628735.0
2013-01-03,4933,5053,4910,4941,2089,15041.0,3628735.0
2013-01-04,4939,5006,4862,4923,4050,14987.0,3628735.0
2013-01-07,4951,4994,4945,4971,630,15132.0,3628735.0
2013-01-08,4910,4982,4910,4982,20,15168.0,3628735.0
2013-01-09,4874,4933,4809,4917,2500,14969.0,3628735.0
2013-01-10,4845,5059,4815,4982,4840,15168.0,3628735.0
2013-01-11,5065,5065,4833,4965,1710,15114.0,3628735.0
2013-01-14,4963,4963,4821,4947,1644,15059.0,3628735.0
2013-01-15,4945,5106,4904,5042,6152,15350.0,3628735.0
2013-01-16,4945,5041,4868,4869,986,14823.0,3628735.0
2013-01-17,4874,4922,4749,4911,4341,14950.0,3628735.0
2013-01-18,4910,4922,4409,4893,5800,14896.0,3628735.0
2013-01-21,4684,4862,4684,4815,4780,14660.0,3628735.0
2013-01-22,4767,4809,4678,4810,3460,14642.0,3628735.0
2013-01-23,4939,4939,4695,4911,4130,14950.0,3628735.0
2013-01-24,4719,4892,4719,4774,240,14533.0,3628735.0
2013-01-25,4784,4969,4778,4845,1200,14751.0,3628735.0
2013-01-28,4827,4827,4713,4715,221,14352.0,3628735.0
2013-01-29,4713,4743,4611,4715,4100,14352.0,3628735.0
2013-01-30,4910,4910,4600,4744,5260,14442.0,3628735.0
2013-01-31,4743,4743,4540,4577,3241,13934.0,3628735.0
2013-02-01,4672,4672,4666,4666,20,14206.0,3628735.0
2013-02-04,4719,4719,4528,4560,510,13880.0,3628735.0
2013-02-05,4570,4570,4421,4554,1200,13862.0,3628735.0
2013-02-06,4511,4528,4433,4530,2951,13789.0,3628735.0
2013-02-07,4463,4528,4457,4530,391,13789.0,3628735.0
2013-02-08,4528,4684,4528,4530,720,13789.0,3628735.0
2013-02-12,4743,4743,4528,4530,2140,13789.0,3628735.0
2013-02-13,4636,4636,4528,4536,1440,13807.0,3628735.0
2013-02-14,4695,4695,4517,4589,6250,13971.0,3628735.0
2013-02-15,4594,4719,4511,4690,4390,14279.0,3628735.0
2013-02-18,4528,4695,4528,4554,210,13862.0,3628735.0
2013-02-19,4624,4630,4427,4613,6660,14043.0,3628735.0
2013-02-20,4755,4755,4552,4613,3320,14043.0,3628735.0
2013-02-21,4707,4707,4469,4654,2580,14170.0,3628735.0
2013-02-22,4672,4678,4540,4678,260,14243.0,3628735.0
2013-02-25,4689,4689,4689,4690,11,14279.0,3628735.0
2013-02-26,4540,4701,4523,4672,4000,14225.0,3628735.0
2013-02-27,4642,4642,4493,4631,650,14098.0,3628735.0
2013-02-28,4600,4624,4594,4625,140,14079.0,3628735.0
2013-03-04,4517,4588,4517,4554,610,13862.0,3628735.0
2013-03-05,4499,4499,4499,4499,40,13698.0,3628735.0
2013-03-06,4528,4546,4421,4548,3130,13844.0,3628735.0
2013-03-07,4546,4755,4445,4446,4140,13535.0,3628735.0
2013-03-08,4463,4576,4463,4476,170,13626.0,3628735.0
2013-03-11,4481,4576,4475,4476,5480,13626.0,3628735.0
2013-03-12,4552,5118,4540,4542,4160,13825.0,3628735.0
2013-03-13,4749,4755,4469,4690,17075,14279.0,3628735.0
2013-03-14,4695,5393,4689,5126,130889,15604.0,3628735.0
2013-03-15,5112,5303,4755,4863,21345,14805.0,3628735.0
2013-03-18,4809,4874,4242,4530,19120,13789.0,3628735.0
2013-03-19,4440,4594,4421,4434,12594,13499.0,3628735.0
2013-03-20,4302,4564,4302,4446,13990,13535.0,3628735.0
2013-03-21,4391,4528,4350,4458,6118,13571.0,3628735.0
2013-03-22,4457,4457,4362,4434,4810,13499.0,3628735.0
2013-03-25,4350,4487,4350,4410,4602,13426.0,3628735.0
2013-03-26,4433,4433,4314,4387,4030,13354.0,3628735.0
