신한알파리츠(293940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-20,5740,5780,5680,5730,147093,218348.0,38106123.0
2018-12-21,5770,5780,5700,5730,93795,218348.0,38106123.0
2018-12-24,5740,5740,5630,5650,98256,215300.0,38106123.0
2018-12-26,5650,5690,5540,5620,193193,214156.0,38106123.0
2018-12-27,5640,5640,5510,5640,34349,214919.0,38106123.0
2018-12-28,5640,5650,5590,5620,16710,214156.0,38106123.0
2019-01-02,5620,5620,5570,5600,26653,213394.0,38106123.0
2019-01-03,5600,5650,5560,5590,55955,213013.0,38106123.0
2019-01-04,5580,5600,5530,5540,57841,211108.0,38106123.0
2019-01-07,5590,5590,5400,5450,130546,207678.0,38106123.0
2019-01-08,5450,5470,5400,5440,122357,207297.0,38106123.0
2019-01-09,5390,5450,5390,5420,61989,206535.0,38106123.0
2019-01-10,5430,5440,5380,5430,81342,206916.0,38106123.0
2019-01-11,5440,5440,5390,5410,95909,206154.0,38106123.0
2019-01-14,5420,5420,5400,5400,53391,205773.0,38106123.0
2019-01-15,5400,5420,5350,5350,105583,203868.0,38106123.0
2019-01-16,5360,5390,5350,5380,97693,205011.0,38106123.0
2019-01-17,5380,5390,5340,5360,46729,204249.0,38106123.0
2019-01-18,5360,5390,5360,5390,32073,205392.0,38106123.0
2019-01-21,5400,5440,5390,5430,50336,206916.0,38106123.0
2019-01-22,5440,5460,5420,5430,64262,206916.0,38106123.0
2019-01-23,5440,5460,5410,5460,88047,208059.0,38106123.0
2019-01-24,5470,5560,5470,5530,34663,210727.0,38106123.0
2019-01-25,5530,5650,5530,5570,55768,212251.0,38106123.0
2019-01-28,5520,5570,5400,5490,80776,209203.0,38106123.0
2019-01-29,5560,5590,5490,5560,422250,211870.0,38106123.0
2019-01-30,5620,5620,5510,5540,65036,211108.0,38106123.0
2019-01-31,5590,5640,5540,5630,116732,214537.0,38106123.0
2019-02-01,5620,5660,5560,5560,37783,211870.0,38106123.0
2019-02-07,5570,5620,5560,5570,29487,212251.0,38106123.0
2019-02-08,5570,5630,5570,5620,23132,214156.0,38106123.0
2019-02-11,5620,5680,5610,5660,52904,215681.0,38106123.0
2019-02-12,5640,5710,5620,5710,65312,217586.0,38106123.0
2019-02-13,5650,5740,5620,5670,53122,216062.0,38106123.0
2019-02-14,5670,5690,5630,5660,29523,215681.0,38106123.0
2019-02-15,5620,5700,5620,5620,77025,267681.0,47630123.0
2019-02-18,5630,5680,5630,5680,45632,270539.0,47630123.0
2019-02-19,5680,5680,5630,5650,104587,269110.0,47630123.0
2019-02-20,5680,5680,5630,5630,60390,268158.0,47630123.0
2019-02-21,5670,5670,5620,5640,46268,268634.0,47630123.0
2019-02-22,5650,5660,5580,5590,70532,266252.0,47630123.0
2019-02-25,5590,5650,5560,5570,66263,265300.0,47630123.0
2019-02-26,5570,5650,5570,5620,48663,267681.0,47630123.0
2019-02-27,5680,5680,5600,5630,65699,268158.0,47630123.0
2019-02-28,5610,5650,5610,5630,23790,268158.0,47630123.0
2019-03-04,5630,5670,5620,5650,89750,269110.0,47630123.0
2019-03-05,5650,5670,5620,5650,50931,269110.0,47630123.0
2019-03-06,5650,5670,5610,5650,67351,269110.0,47630123.0
2019-03-07,5660,5680,5640,5660,38643,269586.0,47630123.0
2019-03-08,5660,5700,5660,5690,59639,271015.0,47630123.0
2019-03-11,5690,5730,5670,5720,123617,272444.0,47630123.0
2019-03-12,5720,5740,5660,5720,106083,272444.0,47630123.0
2019-03-13,5700,5730,5680,5700,76782,271492.0,47630123.0
2019-03-14,5690,5730,5680,5710,47368,271968.0,47630123.0
2019-03-15,5690,5740,5690,5740,51567,273397.0,47630123.0
2019-03-18,5740,5840,5740,5840,95523,278160.0,47630123.0
2019-03-19,5850,5920,5790,5850,83855,278636.0,47630123.0
2019-03-20,5850,5900,5820,5840,167480,278160.0,47630123.0
2019-03-21,5810,5860,5810,5860,121029,279113.0,47630123.0
2019-03-22,5870,5890,5830,5850,157505,278636.0,47630123.0
2019-03-25,5870,5880,5800,5860,148487,279113.0,47630123.0
2019-03-26,5830,5980,5830,5930,145090,282447.0,47630123.0
2019-03-27,5930,5950,5900,5930,141217,282447.0,47630123.0
2019-03-28,5880,5910,5830,5910,83848,281494.0,47630123.0
2019-03-29,5910,5910,5870,5900,94454,281018.0,47630123.0
2019-04-01,5900,5970,5840,5900,174651,281018.0,47630123.0
2019-04-02,5900,5920,5880,5880,62604,280065.0,47630123.0
2019-04-03,5890,5920,5880,5890,48448,280541.0,47630123.0
2019-04-04,5890,5900,5750,5780,146839,275302.0,47630123.0
2019-04-05,5850,5870,5800,5800,28357,276255.0,47630123.0
2019-04-08,5860,5890,5810,5880,83333,280065.0,47630123.0
2019-04-09,5870,5910,5850,5910,63410,281494.0,47630123.0
2019-04-10,5850,5970,5850,5950,164762,283399.0,47630123.0
2019-04-11,5970,6140,5970,6110,412519,291020.0,47630123.0
2019-04-12,6110,6140,5980,6070,184580,289115.0,47630123.0
2019-04-15,6050,6070,5970,6000,123508,285781.0,47630123.0
2019-04-16,6010,6140,6000,6080,150073,289591.0,47630123.0
2019-04-17,6040,6130,6010,6100,69401,290544.0,47630123.0
2019-04-18,6100,6130,6080,6120,82327,291496.0,47630123.0
2019-04-19,6120,6130,6080,6110,43054,291020.0,47630123.0
2019-04-22,6150,6260,6110,6110,114653,291020.0,47630123.0
2019-04-23,6180,6200,6120,6170,80043,293878.0,47630123.0
2019-04-24,6190,6210,6030,6100,133912,290544.0,47630123.0
2019-04-25,6090,6120,6010,6070,144867,289115.0,47630123.0
2019-04-26,6070,6150,6060,6110,46860,291020.0,47630123.0
2019-04-29,6150,6150,6080,6150,103823,292925.0,47630123.0
2019-04-30,6190,6240,6100,6140,44047,292449.0,47630123.0
2019-05-02,6130,6200,6130,6170,76696,293878.0,47630123.0
2019-05-03,6200,6200,6130,6190,44685,294830.0,47630123.0
2019-05-07,6170,6230,6140,6180,64948,294354.0,47630123.0
2019-05-08,6210,6300,6170,6300,178920,300070.0,47630123.0
2019-05-09,6290,6390,6270,6290,176026,299593.0,47630123.0
2019-05-10,6290,6350,6250,6300,60932,300070.0,47630123.0
2019-05-13,6300,6350,6250,6320,51858,301022.0,47630123.0
2019-05-14,6260,6320,6260,6320,70425,301022.0,47630123.0
2019-05-15,6320,6340,6280,6330,42628,301499.0,47630123.0
2019-05-16,6340,6370,6330,6330,57238,301499.0,47630123.0
2019-05-17,6360,6450,6350,6380,120851,303880.0,47630123.0
2019-05-20,6380,6500,6380,6440,123095,306738.0,47630123.0
2019-05-21,6450,6560,6440,6520,123350,310548.0,47630123.0
2019-05-22,6500,6530,6450,6500,79760,309596.0,47630123.0
2019-05-23,6500,6520,6470,6490,85506,309119.0,47630123.0
2019-05-24,6500,6520,6440,6500,133654,309596.0,47630123.0
2019-05-27,6500,6500,6450,6450,105747,307214.0,47630123.0
2019-05-28,6470,6470,6310,6380,171920,303880.0,47630123.0
2019-05-29,6360,6390,6310,6390,69343,304356.0,47630123.0
2019-05-30,6390,6440,6370,6390,78043,304356.0,47630123.0
2019-05-31,6430,6430,6310,6410,117556,305309.0,47630123.0
2019-06-03,6400,6430,6390,6400,151970,304833.0,47630123.0
2019-06-04,6400,6420,6380,6390,51827,304356.0,47630123.0
2019-06-05,6450,6450,6350,6390,66807,304356.0,47630123.0
2019-06-07,6390,6440,6370,6380,37651,303880.0,47630123.0
2019-06-10,6440,6440,6360,6410,58244,305309.0,47630123.0
2019-06-11,6440,6480,6370,6460,112369,307691.0,47630123.0
2019-06-12,6490,6490,6410,6470,60315,308167.0,47630123.0
2019-06-13,6460,6550,6450,6500,52401,309596.0,47630123.0
2019-06-14,6530,6530,6440,6470,51999,308167.0,47630123.0
2019-06-17,6520,6520,6130,6500,61891,309596.0,47630123.0
2019-06-18,6510,7000,6500,6630,138767,315788.0,47630123.0
2019-06-19,6700,6780,6640,6680,59225,318169.0,47630123.0
2019-06-20,6700,6840,6700,6830,129711,325314.0,47630123.0
2019-06-21,6870,6870,6750,6790,78085,323409.0,47630123.0
2019-06-24,6820,6820,6690,6790,75641,323409.0,47630123.0
2019-06-25,6820,6840,6770,6790,99328,323409.0,47630123.0
2019-06-26,6790,6800,6680,6700,104034,319122.0,47630123.0
2019-06-27,6710,6770,6710,6720,45831,320074.0,47630123.0
2019-06-28,6720,6780,6680,6780,64956,322932.0,47630123.0
2019-07-01,6730,6900,6730,6820,84470,324837.0,47630123.0
2019-07-02,6820,7050,6820,7000,228534,333411.0,47630123.0
2019-07-03,7040,7170,7040,7110,179873,338650.0,47630123.0
2019-07-04,7190,7190,7050,7110,84469,338650.0,47630123.0
2019-07-05,7160,7160,7060,7100,46536,338174.0,47630123.0
2019-07-08,7100,7160,7010,7020,97315,334363.0,47630123.0
2019-07-09,7030,7060,6910,6990,125333,332935.0,47630123.0
2019-07-10,6980,7120,6860,7120,152412,339126.0,47630123.0
2019-07-11,7190,7190,7010,7110,94472,338650.0,47630123.0
2019-07-12,7140,7140,7000,7060,93990,336269.0,47630123.0
2019-07-15,7100,7100,6870,6980,221756,332458.0,47630123.0
2019-07-16,7070,7070,6890,7030,125893,334840.0,47630123.0
2019-07-17,7030,7060,6930,7000,105178,333411.0,47630123.0
2019-07-18,6910,7000,6910,6990,77351,332935.0,47630123.0
2019-07-19,7000,7120,7000,7080,101348,337221.0,47630123.0
2019-07-22,7080,7130,7010,7100,99415,338174.0,47630123.0
2019-07-23,7240,7240,7100,7160,57594,341032.0,47630123.0
2019-07-24,7110,7210,7110,7190,79030,342461.0,47630123.0
2019-07-25,7200,7220,7130,7220,86589,343889.0,47630123.0
2019-07-26,7210,7210,7160,7200,62073,342937.0,47630123.0
2019-07-29,7200,7200,7080,7150,102170,340555.0,47630123.0
2019-07-30,7160,7180,7040,7150,77806,340555.0,47630123.0
2019-07-31,7200,7290,7090,7280,123691,346747.0,47630123.0
2019-08-01,7280,7280,7160,7160,100112,341032.0,47630123.0
2019-08-02,7160,7160,7080,7150,66927,340555.0,47630123.0
2019-08-05,7140,7140,7020,7060,123177,336269.0,47630123.0
2019-08-06,7020,7030,6800,6940,231432,330553.0,47630123.0
2019-08-07,7050,7050,6890,6980,166064,332458.0,47630123.0
2019-08-08,7010,7030,6960,6960,68882,331506.0,47630123.0
2019-08-09,6950,7130,6950,7100,73006,338174.0,47630123.0
2019-08-12,7100,7180,7080,7140,52755,340079.0,47630123.0
2019-08-13,7120,7160,7080,7140,54754,340079.0,47630123.0
2019-08-14,7180,7190,7000,7190,68709,342461.0,47630123.0
2019-08-16,7190,7190,7040,7160,64816,341032.0,47630123.0
2019-08-19,7180,7230,7140,7200,77245,342937.0,47630123.0
2019-08-20,7200,7230,7190,7220,60966,343889.0,47630123.0
2019-08-21,7260,7300,7200,7280,69537,346747.0,47630123.0
2019-08-22,7290,7380,7180,7380,137340,351510.0,47630123.0
2019-08-23,7380,7500,7330,7390,67528,351987.0,47630123.0
2019-08-26,7450,7450,7350,7390,77530,351987.0,47630123.0
2019-08-27,7390,7440,7310,7410,59202,352939.0,47630123.0
2019-08-28,7420,7530,7400,7450,92637,354844.0,47630123.0
2019-08-29,7460,7490,7410,7490,25315,356750.0,47630123.0
2019-08-30,7500,7620,7450,7600,113257,361989.0,47630123.0
2019-09-02,7650,8000,7590,7820,219790,372468.0,47630123.0
2019-09-03,7820,8090,7670,8070,225043,384375.0,47630123.0
2019-09-04,8070,8250,7970,8140,220553,387709.0,47630123.0
2019-09-05,8150,8180,7950,8070,240004,384375.0,47630123.0
2019-09-06,8040,8040,7960,8010,72554,381517.0,47630123.0
2019-09-09,8010,8050,7860,7870,166796,374849.0,47630123.0
2019-09-10,7890,7890,7720,7790,214662,371039.0,47630123.0
2019-09-11,7770,7990,7770,7970,153025,379612.0,47630123.0
2019-09-16,8020,8090,7950,7980,120823,380088.0,47630123.0
2019-09-17,7990,7990,7910,7950,86246,378659.0,47630123.0
2019-09-18,7920,7960,7890,7920,62951,377231.0,47630123.0
2019-09-19,7880,8040,7880,8000,128752,381041.0,47630123.0
2019-09-20,8000,8050,7960,8000,142678,381041.0,47630123.0
2019-09-23,8000,8000,7940,7980,103181,380088.0,47630123.0
2019-09-24,7990,8000,7970,7990,104497,380565.0,47630123.0
2019-09-25,7980,8000,7930,8000,122500,381041.0,47630123.0
2019-09-26,7970,8000,7940,8000,98454,381041.0,47630123.0
2019-09-27,8040,8040,7930,7990,111048,380565.0,47630123.0
2019-09-30,7990,8000,7940,8000,116932,381041.0,47630123.0
2019-10-01,8000,8020,7960,7990,74737,380565.0,47630123.0
2019-10-02,7990,8030,7980,8020,110639,381994.0,47630123.0
2019-10-04,8030,8060,7960,8000,114384,381041.0,47630123.0
2019-10-07,8000,8000,7890,7990,111693,,
