우진아이엔에스(010400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-26,11100,11250,10750,11150,66815,84985.0,7622000.0
2018-11-27,11300,12000,11150,11650,155216,88796.0,7622000.0
2018-11-28,11750,11950,10800,10950,232886,83461.0,7622000.0
2018-11-29,11050,11150,10400,10450,195513,79650.0,7622000.0
2018-11-30,10350,10600,10000,10150,118573,77363.0,7622000.0
2018-12-03,10100,10350,10050,10150,103099,77363.0,7622000.0
2018-12-04,10050,10500,10000,10350,116532,78888.0,7622000.0
2018-12-05,10050,10400,10050,10300,119992,78507.0,7622000.0
2018-12-06,10300,10500,10100,10100,70370,76982.0,7622000.0
2018-12-07,10350,10350,9860,9980,84565,76068.0,7622000.0
2018-12-10,9830,9880,9620,9670,70326,73705.0,7622000.0
2018-12-11,9620,9690,9120,9200,107784,70122.0,7622000.0
2018-12-12,9270,9450,9090,9320,68786,71037.0,7622000.0
2018-12-13,9380,9690,9200,9560,60692,72866.0,7622000.0
2018-12-14,9510,9560,9380,9410,24536,71723.0,7622000.0
2018-12-17,9320,9590,9300,9370,48835,71418.0,7622000.0
2018-12-18,9110,9260,9060,9200,57104,70122.0,7622000.0
2018-12-19,9200,10900,9200,10200,1097324,77744.0,7622000.0
2018-12-20,10200,10250,9480,9880,189188,75305.0,7622000.0
2018-12-21,9880,10600,9810,10250,301129,78126.0,7622000.0
2018-12-24,10250,10700,10050,10550,162472,80412.0,7622000.0
2018-12-26,10200,10850,10150,10450,215987,79650.0,7622000.0
2018-12-27,10600,10750,10150,10250,147058,78126.0,7622000.0
2018-12-28,10500,10500,9940,9950,182061,75839.0,7622000.0
2019-01-02,10000,10150,9720,9880,82309,75305.0,7622000.0
2019-01-03,9770,9950,9550,9550,87963,72790.0,7622000.0
2019-01-04,9400,9490,9100,9390,76168,71571.0,7622000.0
2019-01-07,9420,9630,9350,9400,71594,71647.0,7622000.0
2019-01-08,9360,9600,9210,9300,63509,70885.0,7622000.0
2019-01-09,9270,9440,9220,9420,61955,71799.0,7622000.0
2019-01-10,9420,9640,9340,9600,90765,73171.0,7622000.0
2019-01-11,9640,10250,9640,9910,352183,75534.0,7622000.0
2019-01-14,9900,10100,9760,9800,71546,74696.0,7622000.0
2019-01-15,9700,9890,9690,9810,65295,74772.0,7622000.0
2019-01-16,9840,10000,9730,10000,86227,76220.0,7622000.0
2019-01-17,10150,10500,9850,9870,139489,75229.0,7622000.0
2019-01-18,10150,10150,9920,9960,80699,75915.0,7622000.0
2019-01-21,10100,10100,9490,9680,92268,73781.0,7622000.0
2019-01-22,9680,9770,9500,9650,73787,73552.0,7622000.0
2019-01-23,9570,9800,9530,9650,62284,73552.0,7622000.0
2019-01-24,9650,9720,9600,9650,43177,73552.0,7622000.0
2019-01-25,9670,9960,9650,9960,82734,75915.0,7622000.0
2019-01-28,10100,10150,9880,10050,115682,76601.0,7622000.0
2019-01-29,10000,10250,9900,10200,93314,77744.0,7622000.0
2019-01-30,10400,11050,10200,10600,476785,80793.0,7622000.0
2019-01-31,10700,10850,10450,10850,143931,82699.0,7622000.0
2019-02-01,10850,11000,10600,10750,121520,81936.0,7622000.0
2019-02-07,10900,11050,10650,10750,127916,81936.0,7622000.0
2019-02-08,10750,10750,10500,10600,96552,80793.0,7622000.0
2019-02-11,10600,11100,10550,10700,105524,81555.0,7622000.0
2019-02-12,10550,10700,10350,10700,60873,81555.0,7622000.0
2019-02-13,10700,11050,10500,10850,115607,82699.0,7622000.0
2019-02-14,10950,11150,10650,10800,86305,82318.0,7622000.0
2019-02-15,10800,11050,10700,11050,97527,84223.0,7622000.0
2019-02-18,11200,11750,10950,11600,347824,88415.0,7622000.0
2019-02-19,11650,11900,11450,11700,136545,89177.0,7622000.0
2019-02-20,12000,12300,11800,11800,303343,89940.0,7622000.0
2019-02-21,11800,12100,11350,11850,149082,90321.0,7622000.0
2019-02-22,11800,12050,11650,11650,93069,88796.0,7622000.0
2019-02-25,11650,11800,11500,11750,68957,89558.0,7622000.0
2019-02-26,11750,11750,11350,11400,86600,86891.0,7622000.0
2019-02-27,11500,11650,11350,11550,47071,88034.0,7622000.0
2019-02-28,11600,11650,10550,10700,134459,81555.0,7622000.0
2019-03-04,10900,11150,10800,10950,61429,83461.0,7622000.0
2019-03-05,10950,10950,10450,10650,72612,81174.0,7622000.0
2019-03-06,10650,10950,10650,10900,51291,83080.0,7622000.0
2019-03-07,10900,11050,10700,10700,47621,81555.0,7622000.0
2019-03-08,10600,10800,10350,10600,50266,80793.0,7622000.0
2019-03-11,10550,10650,10250,10400,51816,79269.0,7622000.0
2019-03-12,10400,10950,10400,10900,63252,83080.0,7622000.0
2019-03-13,10800,11100,10750,10850,68503,82699.0,7622000.0
2019-03-14,10750,11550,10700,11500,149817,87653.0,7622000.0
2019-03-15,11600,11650,11100,11300,116101,86129.0,7622000.0
2019-03-18,11350,11500,11200,11500,75261,87653.0,7622000.0
2019-03-19,11200,11250,10700,10850,250161,82699.0,7622000.0
2019-03-20,10900,10900,10550,10800,66053,82318.0,7622000.0
2019-03-21,10950,11400,10950,11150,182182,84985.0,7622000.0
2019-03-22,11200,11350,10900,11150,60757,84985.0,7622000.0
2019-03-25,11000,11050,10700,10800,73543,82318.0,7622000.0
2019-03-26,10750,11100,10700,11000,80120,83842.0,7622000.0
2019-03-27,11100,11950,10900,11900,344880,90702.0,7622000.0
2019-03-28,12150,12350,11750,12000,358156,91464.0,7622000.0
2019-03-29,12000,12050,11500,11950,209164,91083.0,7622000.0
2019-04-01,12000,12100,11850,12000,115151,91464.0,7622000.0
2019-04-02,12000,12150,11650,11750,138542,89558.0,7622000.0
2019-04-03,11800,11850,11550,11700,89808,89177.0,7622000.0
2019-04-04,11700,12100,11600,12050,150674,91845.0,7622000.0
2019-04-05,12150,13900,12000,13300,1966466,101373.0,7622000.0
2019-04-08,13400,13550,13050,13450,387900,102516.0,7622000.0
2019-04-09,13350,13400,12850,12900,281667,98324.0,7622000.0
2019-04-10,12750,13050,12600,12900,195046,98324.0,7622000.0
2019-04-11,12800,13000,12450,12800,141513,97562.0,7622000.0
2019-04-12,12800,13400,12700,13400,309106,102135.0,7622000.0
2019-04-15,13450,13550,13050,13150,152178,100229.0,7622000.0
2019-04-16,13150,13250,12700,12750,161432,97180.0,7622000.0
2019-04-17,12750,13250,12600,13000,153606,99086.0,7622000.0
2019-04-18,13100,13100,12750,13000,114607,99086.0,7622000.0
2019-04-19,12950,13200,12800,13050,83243,99467.0,7622000.0
2019-04-22,13200,13200,12800,12800,77456,97562.0,7622000.0
2019-04-23,12800,12900,12150,12300,167397,93751.0,7622000.0
2019-04-24,12350,12350,11900,12000,104980,91464.0,7622000.0
2019-04-25,12050,12300,11800,12250,74533,93370.0,7622000.0
2019-04-26,12100,12200,11500,11650,84635,88796.0,7622000.0
2019-04-29,11650,12050,11550,11900,41297,90702.0,7622000.0
2019-04-30,12000,12700,11950,12650,123951,96418.0,7622000.0
2019-05-02,12600,13250,12500,12850,294963,97943.0,7622000.0
2019-05-03,12800,13000,12450,12550,54888,95656.0,7622000.0
2019-05-07,12500,12700,12050,12600,56014,96037.0,7622000.0
2019-05-08,12400,12450,12100,12350,59199,94132.0,7622000.0
2019-05-09,12350,12400,11650,11650,78212,88796.0,7622000.0
2019-05-10,11550,11900,11500,11600,44309,88415.0,7622000.0
2019-05-13,11650,11700,11100,11250,59233,85748.0,7622000.0
2019-05-14,10950,11450,10500,11200,102391,85366.0,7622000.0
2019-05-15,11300,11650,11100,11650,40937,88796.0,7622000.0
2019-05-16,11600,11750,11200,11250,34699,85748.0,7622000.0
2019-05-17,11250,11650,11250,11450,44025,87272.0,7622000.0
2019-05-20,11300,11600,11150,11200,30878,85366.0,7622000.0
2019-05-21,11050,11300,11050,11050,20825,84223.0,7622000.0
2019-05-22,11050,11200,10850,11050,21753,84223.0,7622000.0
2019-05-23,11050,11050,10450,10550,55370,80412.0,7622000.0
2019-05-24,10500,10650,10300,10500,34647,80031.0,7622000.0
2019-05-27,10400,10600,10100,10350,45230,78888.0,7622000.0
2019-05-28,10350,10550,10100,10550,33749,80412.0,7622000.0
2019-05-29,10550,10600,10150,10300,25188,78507.0,7622000.0
2019-05-30,10300,10300,9990,10100,46659,76982.0,7622000.0
2019-05-31,9970,9970,9350,9600,180183,73171.0,7622000.0
2019-06-03,9500,9730,9450,9650,44952,73552.0,7622000.0
2019-06-04,9650,9710,9560,9700,25408,73933.0,7622000.0
2019-06-05,9800,10100,9790,10000,41506,76220.0,7622000.0
2019-06-07,10000,10150,9960,10050,27293,76601.0,7622000.0
2019-06-10,10050,10100,9980,10100,11658,76982.0,7622000.0
2019-06-11,10100,10200,10000,10200,24908,77744.0,7622000.0
2019-06-12,10300,10300,9970,9980,39913,76068.0,7622000.0
2019-06-13,10000,10400,9950,10250,105149,78126.0,7622000.0
2019-06-14,10250,10300,10050,10100,39523,76982.0,7622000.0
2019-06-17,10100,10200,10000,10150,23842,77363.0,7622000.0
2019-06-18,10150,10200,10050,10050,36624,76601.0,7622000.0
2019-06-19,10100,10500,10050,10350,50737,78888.0,7622000.0
2019-06-20,10450,10450,10150,10450,29327,79650.0,7622000.0
2019-06-21,10450,10450,10200,10300,28033,78507.0,7622000.0
2019-06-24,10300,10600,10150,10550,59239,80412.0,7622000.0
2019-06-25,10500,10700,10450,10450,47902,79650.0,7622000.0
2019-06-26,10400,10550,10300,10400,25429,79269.0,7622000.0
2019-06-27,10400,10500,10200,10350,27804,78888.0,7622000.0
2019-06-28,10450,10450,10100,10200,22200,77744.0,7622000.0
2019-07-01,10200,10350,10150,10200,30020,77744.0,7622000.0
2019-07-02,10200,10350,10100,10350,16675,78888.0,7622000.0
2019-07-03,10400,10400,10200,10250,23287,78126.0,7622000.0
2019-07-04,10250,10300,9920,10100,39565,76982.0,7622000.0
2019-07-05,10100,10150,9900,9980,31301,76068.0,7622000.0
2019-07-08,9990,10000,9270,9400,89569,71647.0,7622000.0
2019-07-09,9270,9640,9240,9280,29579,70732.0,7622000.0
2019-07-10,9110,10200,9110,9600,135401,73171.0,7622000.0
2019-07-11,9650,9800,9550,9740,25136,74238.0,7622000.0
2019-07-12,9700,9750,9610,9750,21576,74314.0,7622000.0
2019-07-15,9750,9750,9460,9650,19293,73552.0,7622000.0
2019-07-16,9610,9740,9530,9630,25679,73400.0,7622000.0
2019-07-17,9510,9550,9230,9330,33536,71113.0,7622000.0
2019-07-18,9260,9500,9260,9500,8813,72409.0,7622000.0
2019-07-19,9410,9740,9410,9710,21990,74010.0,7622000.0
2019-07-22,9740,9740,9570,9660,8846,73629.0,7622000.0
2019-07-23,9660,9940,9660,9680,38729,73781.0,7622000.0
2019-07-24,9600,9740,9420,9490,23341,72333.0,7622000.0
2019-07-25,9400,9410,9120,9260,27822,70580.0,7622000.0
2019-07-26,9260,9550,9120,9250,41845,70504.0,7622000.0
2019-07-29,9150,9230,8700,8880,41740,67683.0,7622000.0
2019-07-30,8830,9140,8820,8950,26301,68217.0,7622000.0
2019-07-31,8860,8990,8530,8900,50650,67836.0,7622000.0
2019-08-01,8800,9000,8630,8710,26020,66388.0,7622000.0
2019-08-02,8560,8630,8200,8500,42100,64787.0,7622000.0
2019-08-05,8310,8430,7950,8000,61785,60976.0,7622000.0
2019-08-06,7750,8190,7380,7620,77081,58080.0,7622000.0
2019-08-07,7620,7880,7620,7860,27801,59909.0,7622000.0
2019-08-08,7950,8190,7860,8090,21437,61662.0,7622000.0
2019-08-09,8090,8290,8090,8200,12109,62500.0,7622000.0
2019-08-12,8110,8250,8030,8190,10704,62424.0,7622000.0
2019-08-13,8180,8250,8050,8250,16117,62882.0,7622000.0
2019-08-14,8270,8440,8220,8320,19578,63415.0,7622000.0
2019-08-16,8210,8240,8000,8030,24497,61205.0,7622000.0
2019-08-19,8050,8100,7960,8060,13778,61433.0,7622000.0
2019-08-20,8100,8330,8060,8290,30240,63186.0,7622000.0
2019-08-21,8290,8350,8210,8340,13948,63567.0,7622000.0
2019-08-22,8350,8430,8240,8350,12368,63644.0,7622000.0
2019-08-23,8300,8300,8000,8120,33274,61891.0,7622000.0
2019-08-26,8000,8110,7780,7810,41998,59528.0,7622000.0
2019-08-27,7900,8050,7860,7900,10904,60214.0,7622000.0
2019-08-28,7860,8090,7800,8050,14332,61357.0,7622000.0
2019-08-29,8040,8100,7870,7940,10221,60519.0,7622000.0
2019-08-30,7990,8100,7770,8000,27430,60976.0,7622000.0
2019-09-02,7900,8140,7900,8080,20395,61586.0,7622000.0
2019-09-03,8150,8230,8000,8140,14221,62043.0,7622000.0
2019-09-04,8140,8180,8020,8110,13918,61814.0,7622000.0
2019-09-05,8140,8410,8140,8270,65841,63034.0,7622000.0
2019-09-06,8350,8380,8260,8270,22173,63034.0,7622000.0
2019-09-09,8240,8340,8200,8250,12334,62882.0,7622000.0
2019-09-10,8190,8300,8160,8200,10369,62500.0,7622000.0
2019-09-11,8170,8350,8160,8210,24541,62577.0,7622000.0
2019-09-16,8300,8500,8290,8450,32239,64406.0,7622000.0
2019-09-17,8330,8500,8330,8490,14505,64711.0,7622000.0
2019-09-18,8590,8590,8380,8490,11571,64711.0,7622000.0
2019-09-19,8490,8560,8400,8450,13001,64406.0,7622000.0
2019-09-20,8550,8550,8320,8450,15852,64406.0,7622000.0
2019-09-23,8540,8690,8300,8660,45645,66007.0,7622000.0
2019-09-24,8640,8680,8550,8570,22743,65321.0,7622000.0
2019-09-25,8560,8920,8510,8870,73045,67607.0,7622000.0
2019-09-26,8880,9010,8660,8780,36757,66921.0,7622000.0
2019-09-27,8780,8800,8610,8730,36036,66540.0,7622000.0
2019-09-30,8730,8800,8480,8550,18556,65168.0,7622000.0
2019-10-01,8550,8600,8350,8390,26997,63949.0,7622000.0
2019-10-02,8380,8390,8200,8250,28060,62882.0,7622000.0
2019-10-04,8340,8340,8130,8200,14384,62500.0,7622000.0
2019-10-07,8200,8280,8000,8150,37972,62119.0,7622000.0
