신송홀딩스(006880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-10-02,9150,9290,9120,9190,51709,108707.0,11828858.0
2014-10-06,9360,9360,9120,9140,59297,108116.0,11828858.0
2014-10-07,9160,9230,8970,9110,41763,107761.0,11828858.0
2014-10-08,8980,9110,8980,9010,19434,106578.0,11828858.0
2014-10-10,8980,9020,8730,8870,38294,104922.0,11828858.0
2014-10-13,8870,8930,8350,8500,81507,100545.0,11828858.0
2014-10-14,8500,8840,8500,8730,41633,103266.0,11828858.0
2014-10-15,8630,8730,8500,8700,33135,102911.0,11828858.0
2014-10-16,8550,8680,8420,8670,33469,102556.0,11828858.0
2014-10-17,8590,8930,8590,8880,29680,105040.0,11828858.0
2014-10-20,8880,9140,8810,9110,32547,107761.0,11828858.0
2014-10-21,9110,9270,9010,9230,42269,109180.0,11828858.0
2014-10-22,9240,9500,9160,9330,85936,110363.0,11828858.0
2014-10-23,9290,9420,9260,9390,46561,111073.0,11828858.0
2014-10-24,9490,9540,9310,9380,44665,110955.0,11828858.0
2014-10-27,9520,9830,9450,9740,174696,115213.0,11828858.0
2014-10-28,9750,9830,9570,9650,69786,114148.0,11828858.0
2014-10-29,9650,9660,9160,9210,150152,108944.0,11828858.0
2014-10-30,9200,9250,8880,9090,62841,107524.0,11828858.0
2014-10-31,9040,9100,8890,9100,49933,107643.0,11828858.0
2014-11-03,9100,9200,8980,9200,22363,108825.0,11828858.0
2014-11-04,9220,9270,8980,9050,42466,107051.0,11828858.0
2014-11-05,8980,9050,8850,9000,27463,106460.0,11828858.0
2014-11-06,8980,9080,8770,8840,14979,104567.0,11828858.0
2014-11-07,8850,8950,8680,8930,25816,105632.0,11828858.0
2014-11-10,8900,9000,8860,8920,17192,105513.0,11828858.0
2014-11-11,8890,9000,8870,9000,31245,106460.0,11828858.0
2014-11-12,9000,9130,8930,9130,16851,107997.0,11828858.0
2014-11-13,9100,9200,9040,9110,33071,107761.0,11828858.0
2014-11-14,9110,9170,8990,9120,46685,107879.0,11828858.0
2014-11-17,9120,9180,9040,9110,16155,107761.0,11828858.0
2014-11-18,9050,9110,8850,8870,40509,104922.0,11828858.0
2014-11-19,8870,8970,8700,8750,33474,103503.0,11828858.0
2014-11-20,8750,8840,8620,8700,44546,102911.0,11828858.0
2014-11-21,8610,8830,8500,8620,83549,101965.0,11828858.0
2014-11-24,8640,8660,8510,8610,92837,101846.0,11828858.0
2014-11-25,8550,8710,8550,8650,50821,102320.0,11828858.0
2014-11-26,8620,8770,8620,8680,40568,102674.0,11828858.0
2014-11-27,8750,8800,8650,8700,40762,102911.0,11828858.0
2014-11-28,8660,8760,8540,8600,36649,101728.0,11828858.0
2014-12-01,8530,8620,8500,8510,31636,100664.0,11828858.0
2014-12-02,8600,8630,8330,8480,61055,100309.0,11828858.0
2014-12-03,8480,8530,8350,8480,29406,100309.0,11828858.0
2014-12-04,8420,8550,8380,8400,22891,99362.0,11828858.0
2014-12-05,8400,8460,8310,8330,34022,98534.0,11828858.0
2014-12-08,8340,8490,8330,8390,20932,99244.0,11828858.0
2014-12-09,8470,8470,8380,8410,18313,99481.0,11828858.0
2014-12-10,8380,8410,8260,8260,44734,97706.0,11828858.0
2014-12-11,8200,8370,8130,8160,42315,96523.0,11828858.0
2014-12-12,8340,8340,8180,8220,19392,97233.0,11828858.0
2014-12-15,8330,8330,8130,8200,16905,96997.0,11828858.0
2014-12-16,8160,8360,8160,8300,10944,98180.0,11828858.0
2014-12-17,8200,8320,8140,8150,24053,96405.0,11828858.0
2014-12-18,8160,8230,7990,8230,34049,97352.0,11828858.0
2014-12-19,8170,8280,8020,8210,20294,97115.0,11828858.0
2014-12-22,8210,8320,8130,8220,15490,97233.0,11828858.0
2014-12-23,8270,8390,8150,8230,23344,97352.0,11828858.0
2014-12-24,8200,8340,8200,8230,42533,97352.0,11828858.0
2014-12-26,8200,8310,8200,8290,19089,98061.0,11828858.0
2014-12-29,8290,8290,8160,8160,13474,96523.0,11828858.0
2014-12-30,8100,8260,8100,8240,8890,97470.0,11828858.0
2015-01-02,8200,8290,8160,8190,19040,96878.0,11828858.0
2015-01-05,8150,8280,8100,8270,30068,97825.0,11828858.0
2015-01-06,8250,8280,8180,8220,20852,97233.0,11828858.0
2015-01-07,8190,8280,8170,8230,18875,97352.0,11828858.0
2015-01-08,8280,8480,8190,8480,36531,100309.0,11828858.0
2015-01-09,8490,8620,8420,8610,28187,101846.0,11828858.0
2015-01-12,8640,8640,8460,8600,22226,101728.0,11828858.0
2015-01-13,8600,8660,8470,8530,17369,100900.0,11828858.0
2015-01-14,8510,8650,8410,8510,26863,100664.0,11828858.0
2015-01-15,8510,8540,8440,8440,12803,99836.0,11828858.0
2015-01-16,8420,8520,8300,8300,22647,98180.0,11828858.0
2015-01-19,8320,8430,8250,8340,18077,98653.0,11828858.0
2015-01-20,8290,8450,8270,8380,24002,99126.0,11828858.0
2015-01-21,8350,8400,8200,8240,41306,97470.0,11828858.0
2015-01-22,8240,8380,8190,8220,30163,97233.0,11828858.0
2015-01-23,8280,8330,8230,8310,16415,98298.0,11828858.0
2015-01-26,8320,8400,8270,8370,22596,99008.0,11828858.0
2015-01-27,8370,8450,8310,8420,37990,99599.0,11828858.0
2015-01-28,8420,8430,8340,8410,19835,99481.0,11828858.0
2015-01-29,8410,8410,8260,8380,30605,99126.0,11828858.0
2015-01-30,8320,8400,8280,8360,36691,98889.0,11828858.0
2015-02-02,8350,8410,8280,8360,32234,98889.0,11828858.0
2015-02-03,8400,8870,8400,8800,178218,104094.0,11828858.0
2015-02-04,8860,8860,8700,8800,57450,104094.0,11828858.0
2015-02-05,8800,8840,8700,8790,36157,103976.0,11828858.0
2015-02-06,8660,8660,8120,8220,354987,97233.0,11828858.0
2015-02-09,8230,8270,8140,8230,60028,97352.0,11828858.0
2015-02-10,8260,8290,7960,8000,80054,94631.0,11828858.0
2015-02-11,8000,8120,7950,8090,69882,95695.0,11828858.0
2015-02-12,8040,8180,8040,8140,233697,96287.0,11828858.0
2015-02-13,8160,8270,8160,8230,21588,97352.0,11828858.0
2015-02-16,8260,8270,8190,8240,38792,97470.0,11828858.0
2015-02-17,8250,8330,8210,8330,29099,98534.0,11828858.0
2015-02-23,8360,8690,8330,8540,125371,101018.0,11828858.0
2015-02-24,8560,8760,8560,8690,129450,102793.0,11828858.0
2015-02-25,8700,8850,8660,8820,103951,104331.0,11828858.0
2015-02-26,8820,8900,8660,8800,73743,104094.0,11828858.0
2015-02-27,8750,8860,8660,8770,32340,103739.0,11828858.0
2015-03-02,8770,8780,8630,8700,34368,102911.0,11828858.0
2015-03-03,8670,8870,8670,8820,36020,104331.0,11828858.0
2015-03-04,8930,8950,8720,8820,52303,104331.0,11828858.0
2015-03-05,8800,9050,8710,8960,62077,105987.0,11828858.0
2015-03-06,8960,9040,8870,8990,34453,106341.0,11828858.0
2015-03-09,8940,8970,8680,8770,37765,103739.0,11828858.0
2015-03-10,8750,8830,8610,8730,47279,103266.0,11828858.0
2015-03-11,8690,8940,8690,8910,68470,105395.0,11828858.0
2015-03-12,8900,9020,8880,8950,21000,105868.0,11828858.0
2015-03-13,8970,9170,8900,9070,42059,107288.0,11828858.0
2015-03-16,9110,9150,9020,9050,20104,107051.0,11828858.0
2015-03-17,9050,9170,8940,9140,35658,108116.0,11828858.0
2015-03-18,9060,9210,9060,9170,71635,108471.0,11828858.0
2015-03-19,9120,9250,9060,9190,37375,108707.0,11828858.0
2015-03-20,9050,9180,9000,9180,39321,108589.0,11828858.0
2015-03-23,9310,9600,9210,9240,198801,109299.0,11828858.0
2015-03-24,9200,9330,9100,9330,32192,110363.0,11828858.0
2015-03-25,9370,9400,9230,9230,29306,109180.0,11828858.0
2015-03-26,9180,9300,8900,8990,93697,106341.0,11828858.0
2015-03-27,8970,9250,8930,9200,48761,108825.0,11828858.0
2015-03-30,9270,9360,9150,9360,41044,110718.0,11828858.0
2015-03-31,9360,9480,9290,9400,57681,111191.0,11828858.0
2015-04-01,9340,9480,9300,9400,20824,111191.0,11828858.0
2015-04-02,9460,9500,9370,9420,34004,111428.0,11828858.0
2015-04-03,9450,9590,9430,9510,72487,112492.0,11828858.0
2015-04-06,9530,9740,9510,9690,113635,114622.0,11828858.0
2015-04-07,9690,9720,9550,9620,57631,113794.0,11828858.0
2015-04-08,9540,9690,9430,9580,51404,113320.0,11828858.0
2015-04-09,9560,9580,9400,9490,45813,112256.0,11828858.0
2015-04-10,9400,9490,9300,9400,48141,111191.0,11828858.0
2015-04-13,9400,9580,9230,9300,67120,110008.0,11828858.0
2015-04-14,9300,9360,9060,9310,51708,110127.0,11828858.0
2015-04-15,9290,9380,9150,9280,27195,109772.0,11828858.0
2015-04-16,9260,9280,9070,9110,52409,107761.0,11828858.0
2015-04-17,9110,9240,9000,9190,56131,108707.0,11828858.0
2015-04-20,9190,9290,9120,9280,39778,109772.0,11828858.0
2015-04-21,9280,9340,9200,9300,29910,110008.0,11828858.0
2015-04-22,9320,9410,8820,9130,57474,107997.0,11828858.0
2015-04-23,9130,9200,8900,8980,69628,106223.0,11828858.0
2015-04-24,9010,9100,8850,8870,37714,104922.0,11828858.0
2015-04-27,9050,9080,8790,9040,45092,106933.0,11828858.0
2015-04-28,9000,9100,8950,9040,22137,106933.0,11828858.0
2015-04-29,9010,9140,8890,8900,24781,105277.0,11828858.0
2015-04-30,8960,8960,8710,8870,30054,104922.0,11828858.0
2015-05-04,8870,9090,8760,9070,25313,107288.0,11828858.0
2015-05-06,9010,9100,8860,8930,32248,105632.0,11828858.0
2015-05-07,8960,8960,8620,8880,43904,105040.0,11828858.0
2015-05-08,8770,8970,8770,8970,23745,106105.0,11828858.0
2015-05-11,9020,9150,8970,9120,34846,107879.0,11828858.0
2015-05-12,9120,9250,9080,9230,37517,109180.0,11828858.0
2015-05-13,9230,9290,9150,9290,45855,109890.0,11828858.0
2015-05-14,9320,9420,9260,9360,38725,110718.0,11828858.0
2015-05-15,9360,9500,9290,9350,35116,110600.0,11828858.0
2015-05-18,9350,9410,9180,9380,20242,110955.0,11828858.0
2015-05-19,9380,9380,9170,9200,40260,108825.0,11828858.0
2015-05-20,9360,9360,9060,9070,48693,107288.0,11828858.0
2015-05-21,9180,9240,8950,9110,34922,107761.0,11828858.0
2015-05-22,9110,9480,9030,9300,78635,110008.0,11828858.0
2015-05-26,9220,9600,9220,9440,78777,111664.0,11828858.0
2015-05-27,9440,9460,9200,9300,55558,110008.0,11828858.0
2015-05-28,9310,9430,9190,9330,375182,110363.0,11828858.0
2015-05-29,9330,9400,9260,9370,25046,110836.0,11828858.0
2015-06-01,9410,9410,9200,9310,21727,110127.0,11828858.0
2015-06-02,9370,9400,9200,9260,50583,109535.0,11828858.0
2015-06-03,9260,9400,9080,9200,40499,108825.0,11828858.0
2015-06-04,9240,9300,8900,9050,82065,107051.0,11828858.0
2015-06-05,9050,9050,8740,8970,45658,106105.0,11828858.0
2015-06-08,9050,9090,8800,8970,19791,106105.0,11828858.0
2015-06-09,8930,9060,8770,8940,65327,105750.0,11828858.0
2015-06-10,8940,8940,8810,8930,33049,105632.0,11828858.0
2015-06-11,8960,9030,8850,9030,18264,106815.0,11828858.0
2015-06-12,9070,9120,8900,9050,22611,107051.0,11828858.0
2015-06-15,9000,9100,8890,9000,24499,106460.0,11828858.0
2015-06-16,8920,9000,8790,8950,45337,105868.0,11828858.0
2015-06-17,9010,9020,8740,8860,43225,104804.0,11828858.0
2015-06-18,8930,8990,8820,8900,21987,105277.0,11828858.0
2015-06-19,9000,9020,8850,8890,34573,105159.0,11828858.0
2015-06-22,8900,9000,8870,8980,20717,106223.0,11828858.0
2015-06-23,9060,9070,8880,9030,78846,106815.0,11828858.0
2015-06-24,9080,9150,9050,9150,49106,108234.0,11828858.0
2015-06-25,9180,9290,9040,9210,45330,108944.0,11828858.0
2015-06-26,9280,9280,9150,9220,30423,109062.0,11828858.0
2015-06-29,9200,9210,9030,9100,37422,107643.0,11828858.0
2015-06-30,9000,9200,9000,9120,27534,107879.0,11828858.0
2015-07-01,9200,9280,9090,9140,38190,108116.0,11828858.0
2015-07-02,9170,9170,9000,9040,50980,106933.0,11828858.0
2015-07-03,9100,9350,9030,9270,77972,109654.0,11828858.0
2015-07-06,9280,9390,9180,9200,33019,108825.0,11828858.0
2015-07-07,9310,10150,9250,9800,373594,115923.0,11828858.0
2015-07-08,9940,10350,9400,9490,243869,112256.0,11828858.0
2015-07-09,9400,9500,9180,9310,98612,110127.0,11828858.0
2015-07-10,9300,9480,9250,9330,70173,110363.0,11828858.0
2015-07-13,9410,9620,9340,9580,90034,113320.0,11828858.0
2015-07-14,9650,9650,9390,9630,69529,113912.0,11828858.0
2015-07-15,9670,9900,9570,9890,97230,116987.0,11828858.0
2015-07-16,10000,10350,9900,10200,185659,120654.0,11828858.0
2015-07-17,10150,10250,9790,9790,102193,115805.0,11828858.0
2015-07-20,9750,9920,9610,9910,67158,117224.0,11828858.0
2015-07-21,9950,10150,9800,9980,107182,118052.0,11828858.0
2015-07-22,9960,10650,9900,10550,197438,124794.0,11828858.0
2015-07-23,10500,10500,10000,10400,153230,123020.0,11828858.0
2015-07-24,10250,10800,10250,10750,165385,127160.0,11828858.0
2015-07-27,10700,10950,10500,10700,151936,126569.0,11828858.0
2015-07-28,10600,10700,10050,10500,129615,124203.0,11828858.0
2015-07-29,10600,10750,10150,10150,110289,120063.0,11828858.0
2015-07-30,10200,10350,9950,10150,84356,120063.0,11828858.0
2015-07-31,10200,10250,10000,10150,36465,120063.0,11828858.0
2015-08-03,10150,10200,9900,9970,42926,117934.0,11828858.0
2015-08-04,10000,10200,9810,10200,51408,120654.0,11828858.0
2015-08-05,10200,10500,10050,10350,45024,122429.0,11828858.0
2015-08-06,10250,10500,10200,10300,28327,121837.0,11828858.0
