삼성전자(005930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-18,1821,1858,1805,1830,359949,12183406.0,133151976.0
1999-05-19,1848,1848,1774,1780,809870,11850526.0,133151976.0
1999-05-20,1790,1798,1670,1684,1151610,11211396.0,133151976.0
1999-05-21,1673,1697,1578,1698,1180860,11304603.0,133151976.0
1999-05-24,1620,1668,1620,1626,826890,10825256.0,133151976.0
1999-05-25,1606,1670,1602,1640,548914,10918462.0,133151976.0
1999-05-26,1638,1672,1614,1658,748059,11038299.0,133151976.0
1999-05-27,1660,1724,1658,1660,803200,11051614.0,133151976.0
1999-05-28,1660,1680,1641,1650,539161,10985038.0,133151976.0
1999-05-31,1646,1680,1644,1658,435717,11038299.0,133151976.0
1999-06-01,1640,1726,1625,1706,962093,11357864.0,133151976.0
1999-06-02,1733,1860,1730,1806,1306585,12023623.0,133151976.0
1999-06-03,1840,1846,1762,1820,994982,12116830.0,133151976.0
1999-06-04,1820,1920,1820,1900,1042697,12649438.0,133151976.0
1999-06-07,1960,2040,1936,2040,1155707,13581502.0,133151976.0
1999-06-08,2040,2050,1962,1990,957041,13248622.0,133151976.0
1999-06-09,1940,1960,1829,1830,726697,12183406.0,133151976.0
1999-06-10,1868,2100,1862,2100,2087601,13980957.0,133151976.0
1999-06-11,2100,2310,2050,2180,1969349,14513565.0,133151976.0
1999-06-14,2120,2120,2000,2090,870005,13914381.0,133151976.0
1999-06-15,2000,2170,2000,2060,1104861,13714654.0,133151976.0
1999-06-16,2080,2300,2080,2280,1557300,15179325.0,133151976.0
1999-06-17,2340,2589,2300,2300,2292345,15312477.0,133151976.0
1999-06-18,2360,2460,2320,2380,1631519,15845085.0,133151976.0
1999-06-21,2440,2580,2440,2580,1136161,17176605.0,133151976.0
1999-06-22,2550,2600,2480,2560,998475,17043453.0,133151976.0
1999-06-23,2500,2590,2480,2480,956212,16510845.0,133151976.0
1999-06-24,2500,2560,2480,2480,852441,16510845.0,133151976.0
1999-06-25,2400,2500,2380,2500,832874,16643997.0,133151976.0
1999-06-28,2490,2680,2490,2620,1216380,17442909.0,133151976.0
1999-06-29,2600,2610,2540,2540,901702,16910301.0,133151976.0
1999-06-30,2540,2669,2440,2540,1642272,16910301.0,133151976.0
1999-07-01,2580,2680,2550,2660,1064785,17709213.0,133151976.0
1999-07-02,2660,2900,2610,2820,1533313,18774429.0,133151976.0
1999-07-05,2900,3030,2790,3020,1227350,20105948.0,133151976.0
1999-07-06,3000,3470,2970,3440,1323518,22902140.0,133151976.0
1999-07-07,3380,3400,3170,3230,2116561,23991144.0,148551976.0
1999-07-08,3250,3350,3030,3200,1756683,23768316.0,148551976.0
1999-07-09,3200,3200,3040,3140,1393425,23322660.0,148551976.0
1999-07-12,3120,3180,2990,2990,1090993,22208520.0,148551976.0
1999-07-13,2930,3250,2930,3130,1627833,23248384.0,148551976.0
1999-07-14,3150,3240,3100,3140,1251715,23322660.0,148551976.0
1999-07-15,3200,3390,3170,3360,1447788,24956732.0,148551976.0
1999-07-16,3380,3540,3380,3450,1388163,25625216.0,148551976.0
1999-07-19,3600,3619,3360,3460,1148678,25699492.0,148551976.0
1999-07-20,3460,3560,3419,3420,1030892,25402388.0,148551976.0
1999-07-21,3370,3380,3160,3330,1186533,24733904.0,148551976.0
1999-07-22,3290,3460,3280,3440,1157303,25550940.0,148551976.0
1999-07-23,3400,3400,3000,3120,1180685,23174108.0,148551976.0
1999-07-26,3120,3260,3060,3170,1212761,23545488.0,148551976.0
1999-07-27,3229,3399,3200,3370,910512,25031008.0,148551976.0
1999-07-28,3409,3750,3390,3560,1952152,26442252.0,148551976.0
1999-07-29,3699,3960,3570,3940,1661889,29264739.0,148551976.0
1999-07-30,3939,4080,3740,3780,1945800,28076323.0,148551976.0
1999-08-02,3770,3860,3630,3750,1155480,27853496.0,148551976.0
1999-08-03,3800,3920,3730,3890,873906,28893359.0,148551976.0
1999-08-04,3890,3920,3800,3800,673348,28224875.0,148551976.0
1999-08-05,3720,3800,3620,3660,824200,27185012.0,148551976.0
1999-08-06,3660,3740,3480,3540,753170,26333660.0,148777742.0
1999-08-09,3540,3730,3490,3600,774547,26779994.0,148777742.0
1999-08-10,3640,4000,3600,4000,1108673,29764464.0,148822320.0
1999-08-11,3900,3940,3700,3710,958530,27606540.0,148822320.0
1999-08-12,3800,3860,3730,3800,740069,28276241.0,148822320.0
1999-08-13,3699,3779,3610,3700,719845,27532129.0,148822320.0
1999-08-16,3680,3890,3640,3800,700220,28276241.0,148822320.0
1999-08-17,3820,3870,3660,3680,759830,27383307.0,148822320.0
1999-08-18,3600,3760,3540,3680,695577,27383307.0,148822320.0
1999-08-19,3720,3760,3560,3560,509661,26507845.0,148920477.0
1999-08-20,3560,3560,3460,3520,529333,26210004.0,148920477.0
1999-08-23,3590,3740,3560,3700,674482,27550288.0,148920477.0
1999-08-24,3800,3879,3730,3850,794226,28667192.0,148920477.0
1999-08-25,3850,4050,3850,3990,1126957,29709635.0,148920477.0
1999-08-26,4040,4350,3970,4240,1429694,31571141.0,148920477.0
1999-08-27,4300,4660,4220,4480,1298826,33358187.0,148920477.0
1999-08-30,4520,4620,4340,4340,879129,32315744.0,148920477.0
1999-08-31,4260,4490,4260,4480,1086024,33378492.0,149011124.0
1999-09-01,4600,4680,4360,4370,1506536,32558931.0,149011124.0
1999-09-02,4290,4560,4270,4500,1188782,33527503.0,149011124.0
1999-09-03,4560,4890,4460,4820,1819980,35911681.0,149011124.0
1999-09-06,4980,5040,4820,4900,1342907,36507725.0,149011124.0
1999-09-07,4900,4960,4800,4820,948415,35911681.0,149011124.0
1999-09-08,4779,4890,4699,4760,1279528,35464648.0,149011124.0
1999-09-09,4760,4820,4619,4760,1093878,35464648.0,149011124.0
1999-09-10,4700,4790,4630,4630,1231084,34496075.0,149011124.0
1999-09-13,4800,5030,4720,5000,1531271,37283076.0,149132302.0
1999-09-14,4900,4970,4720,4740,1096282,35344356.0,149132302.0
1999-09-15,4780,4810,4660,4660,709764,34747826.0,149132302.0
1999-09-16,4580,4600,4330,4360,1127055,32510842.0,149132302.0
1999-09-17,4260,4410,4160,4370,1278055,32585408.0,149132302.0
1999-09-20,4390,4480,4340,4420,657403,32958239.0,149132302.0
1999-09-21,4630,4900,4500,4800,1537767,35791752.0,149132302.0
1999-09-22,4810,5030,4700,4710,1413547,35120657.0,149132302.0
1999-09-27,4760,4790,4400,4400,991991,32809106.0,149132302.0
1999-09-28,4420,4500,4300,4350,857267,32454936.0,149218098.0
1999-09-29,4340,4340,4120,4120,778142,30738928.0,149218098.0
1999-09-30,4019,4180,3939,3940,1652824,29395965.0,149218098.0
1999-10-01,3940,4000,3740,3930,1456916,29321356.0,149218098.0
1999-10-04,3960,4040,3800,3800,800957,28351439.0,149218098.0
1999-10-05,3900,3980,3820,3840,1287987,28649875.0,149218098.0
1999-10-06,3900,4260,3870,4180,1378814,31186582.0,149218098.0
1999-10-07,4200,4230,4040,4160,810365,31059743.0,149325687.0
1999-10-08,4080,4090,3970,4000,834553,29865137.0,149325687.0
1999-10-11,3960,4010,3899,3900,616634,29118509.0,149325687.0
1999-10-12,3900,4070,3900,4070,792332,30387777.0,149325687.0
1999-10-13,4000,4190,3980,4160,650974,31059743.0,149325687.0
1999-10-14,4120,4220,4080,4160,715071,31059743.0,149325687.0
1999-10-15,4200,4210,4030,4070,452595,30387777.0,149325687.0
1999-10-18,3900,3980,3840,3870,603408,28894520.0,149325687.0
1999-10-19,3890,3900,3660,3680,1132368,27475926.0,149325687.0
1999-10-20,3720,3770,3610,3640,957076,27177275.0,149325687.0
1999-10-21,3700,3789,3620,3640,859831,27177275.0,149325687.0
1999-10-22,3600,3770,3570,3740,771183,27923903.0,149325687.0
1999-10-25,3710,3720,3580,3590,561313,26803961.0,149325687.0
1999-10-26,3530,3690,3509,3640,480149,27185206.0,149369265.0
1999-10-27,3660,3719,3620,3650,322966,27259891.0,149369265.0
1999-10-28,3720,3889,3680,3880,807717,28977637.0,149369265.0
1999-10-29,3990,4100,3950,4000,1056907,29873853.0,149369265.0
1999-11-01,4200,4280,4100,4160,613272,31068807.0,149369265.0
1999-11-02,4140,4180,4100,4160,644592,31068807.0,149369265.0
1999-11-03,4200,4380,4180,4240,824916,31666284.0,149369265.0
1999-11-04,4360,4440,4300,4380,647817,32711869.0,149369265.0
1999-11-05,4440,4490,4320,4320,609784,32263761.0,149369265.0
1999-11-08,4340,4350,4190,4200,612169,31367546.0,149369265.0
1999-11-09,4220,4460,4170,4430,947061,33085292.0,149369265.0
1999-11-10,4400,4420,4300,4320,707761,32263761.0,149369265.0
1999-11-11,4390,4480,4320,4330,747622,32338446.0,149369265.0
1999-11-12,4440,4750,4420,4600,1189695,34354931.0,149369265.0
1999-11-15,4800,4800,4510,4540,687524,33906823.0,149369265.0
1999-11-16,4500,4700,4460,4700,737667,35101777.0,149369265.0
1999-11-17,4780,4840,4500,4520,857492,33758093.0,149372095.0
1999-11-18,4480,4580,4420,4550,655310,33982152.0,149372095.0
1999-11-19,4630,4720,4550,4640,682900,34654326.0,149372095.0
1999-11-22,4640,4640,4500,4520,577591,33758093.0,149372095.0
1999-11-23,4520,4600,4440,4440,571893,33160605.0,149372095.0
1999-11-24,4460,4540,4400,4530,501773,33832780.0,149372095.0
1999-11-25,4600,4600,4450,4450,588443,33235291.0,149372095.0
1999-11-26,4520,4650,4420,4520,880319,33758093.0,149372095.0
1999-11-29,4600,4760,4530,4760,747927,35550559.0,149372095.0
1999-11-30,4760,4900,4700,4800,959543,35849303.0,149372095.0
1999-12-01,4750,5100,4740,5100,1436348,38089884.0,149372095.0
1999-12-02,5160,5270,4940,5000,1067394,37343024.0,149372095.0
1999-12-03,5060,5200,5020,5120,892690,38239256.0,149372095.0
1999-12-06,5180,5500,5170,5500,1096821,41077326.0,149372095.0
1999-12-07,5500,5600,5420,5570,907656,41600128.0,149372095.0
1999-12-08,5560,5590,5400,5470,730112,40853268.0,149372095.0
1999-12-09,5360,5460,5310,5400,1092752,40330466.0,149372095.0
1999-12-10,5400,5480,5200,5320,847967,39732977.0,149372095.0
1999-12-13,5400,5400,5160,5160,926917,38538001.0,149372095.0
1999-12-14,5160,5260,5070,5110,792262,38164570.0,149372095.0
1999-12-15,5040,5090,4750,4890,910813,36540616.0,149450371.0
1999-12-16,4830,4890,4710,4780,703962,35718639.0,149450371.0
1999-12-17,4839,4980,4740,4900,1072150,36615341.0,149450371.0
1999-12-20,4960,5040,4879,4970,656436,37138417.0,149450371.0
1999-12-21,5000,5360,4900,5040,967402,37661493.0,149450371.0
1999-12-22,5140,5350,5060,5280,826858,39454898.0,149450371.0
1999-12-23,5280,5700,5240,5580,1057262,41696654.0,149450371.0
1999-12-24,5700,5720,5360,5460,708446,40799951.0,149450371.0
1999-12-27,5460,5490,5140,5220,934057,39006547.0,149450371.0
1999-12-28,5200,5560,5050,5320,1481697,39857115.0,149838777.0
2000-01-04,6000,6110,5660,6110,1483967,45775746.0,149838777.0
2000-01-05,5800,6060,5520,5580,1493604,41805019.0,149838777.0
2000-01-06,5750,5780,5580,5620,1087810,42104696.0,149838777.0
2000-01-07,5560,5670,5360,5540,806195,41505341.0,149838777.0
2000-01-10,5600,5770,5580,5770,937615,43228487.0,149838777.0
2000-01-11,5820,6100,5770,5770,1194974,43228487.0,149838777.0
2000-01-12,5610,5740,5600,5720,584492,42853890.0,149838777.0
2000-01-13,5600,5740,5560,5710,823830,42778971.0,149838777.0
2000-01-14,5720,5880,5680,5830,987576,43678003.0,149838777.0
2000-01-17,6000,6180,5920,6100,1270138,45700827.0,149838777.0
2000-01-18,6160,6160,5980,6100,905231,45788938.0,150127665.0
2000-01-19,6000,6040,5960,5960,804159,44738044.0,150127665.0
2000-01-20,5860,6040,5820,6040,746360,45338555.0,150127665.0
2000-01-21,5950,5980,5880,5880,650728,44137534.0,150127665.0
2000-01-24,5800,5900,5700,5700,687183,42786385.0,150127665.0
2000-01-25,5520,5640,5440,5440,885067,40834725.0,150127665.0
2000-01-26,5500,5520,5410,5480,585734,41134980.0,150127665.0
2000-01-27,5480,5620,5430,5520,558083,41435236.0,150127665.0
2000-01-28,5640,5880,5540,5820,766398,43687151.0,150127665.0
2000-01-31,5640,5730,5560,5580,792689,41885619.0,150127665.0
2000-02-01,5600,5680,5260,5320,1429402,39933959.0,150127665.0
2000-02-02,5220,5370,5110,5250,1282143,39408512.0,150127665.0
2000-02-03,5250,5460,4970,5130,2855355,38507746.0,150127665.0
2000-02-07,5140,5330,5040,5240,1282835,39333448.0,150127665.0
2000-02-08,5340,5480,5310,5430,1169244,40788719.0,150234691.0
2000-02-09,5560,5720,5480,5720,1021023,42967122.0,150234691.0
2000-02-10,5660,5880,5600,5760,1236979,43267591.0,150234691.0
2000-02-11,5960,5960,5680,5700,693257,42816887.0,150234691.0
2000-02-14,5600,5660,5340,5380,882889,40413132.0,150234691.0
2000-02-15,5380,5420,5140,5200,766393,39061020.0,150234691.0
2000-02-16,5180,5200,4780,5000,1462389,37558673.0,150234691.0
2000-02-17,4939,5099,4910,5080,1303738,38159612.0,150234691.0
2000-02-18,5370,5630,5160,5300,2175083,39812193.0,150234691.0
2000-02-21,5200,5260,5030,5070,529722,38084494.0,150234691.0
2000-02-22,5000,5240,5000,5120,483669,38460081.0,150234691.0
2000-02-23,5220,5260,5100,5140,554497,38610316.0,150234691.0
2000-02-24,5120,5240,5060,5070,521526,38084494.0,150234691.0
2000-02-25,5080,5150,4980,5120,557527,38460081.0,150234691.0
2000-02-28,5000,5050,4800,4800,602864,36056326.0,150234691.0
2000-02-29,4900,5140,4840,5120,1036420,38460081.0,150234691.0
2000-03-02,5880,5880,5520,5880,2355092,44168999.0,150234691.0
2000-03-03,6200,6250,5880,6000,2819891,45092899.0,150309664.0
2000-03-06,6000,6050,5600,5640,783020,42387325.0,150309664.0
2000-03-07,5600,5640,5480,5620,601414,42237016.0,150309664.0
2000-03-08,5520,6000,5500,5920,649288,44491661.0,150309664.0
2000-03-09,5970,5980,5620,5620,1117890,42237016.0,150309664.0
2000-03-10,5790,5800,5520,5540,572199,41635777.0,150309664.0
2000-03-13,5480,5490,5160,5180,644358,38930203.0,150309664.0
2000-03-14,5170,5380,5160,5210,601241,39155667.0,150309664.0
2000-03-15,5200,5400,5120,5400,922141,40583609.0,150309664.0
2000-03-16,5480,5520,5360,5400,575981,40583609.0,150309664.0
2000-03-17,5540,5560,5400,5480,481685,41184848.0,150309664.0
2000-03-20,5600,5710,5530,5660,527321,42537635.0,150309664.0
2000-03-21,5700,5940,5610,5880,898587,44191041.0,150309664.0
2000-03-22,5960,6300,5880,6200,1739537,46595996.0,150309664.0
2000-03-23,6480,6580,6200,6200,1299012,46595996.0,150309664.0
2000-03-24,6320,7120,6180,6800,1805280,51105286.0,150309664.0
2000-03-27,6960,7040,6700,6800,1354691,51105286.0,150309664.0
2000-03-28,6899,7260,6820,7030,1488500,52833847.0,150309664.0
2000-03-29,7030,7680,6979,7660,1561874,57568601.0,150309664.0
2000-03-30,7520,7560,7050,7050,1492996,52984157.0,150309664.0
2000-03-31,6800,7070,6649,6700,1277121,50353737.0,150309664.0
2000-04-03,6920,7320,6860,7100,1136142,53359931.0,150309664.0
2000-04-04,7000,7290,6659,6800,1166838,51105286.0,150309664.0
2000-04-06,6860,6960,6679,6680,944729,50243331.0,150429134.0
2000-04-07,6860,7260,6780,7200,847198,54154488.0,150429134.0
2000-04-10,7499,7499,7200,7300,717709,54906634.0,150429134.0
2000-04-11,7200,7200,6950,7100,581565,53402343.0,150429134.0
2000-04-12,6960,7030,6860,6910,705096,51973266.0,150429134.0
2000-04-14,6600,6680,6260,6260,1247397,47084319.0,150429134.0
2000-04-17,5420,5750,5340,5520,1561048,41518441.0,150429134.0
2000-04-18,6200,6240,5860,6040,1474625,45429598.0,150429134.0
2000-04-19,6300,6460,5860,6000,1212342,45128740.0,150429134.0
2000-04-20,5960,6160,5920,6020,746719,45279169.0,150429134.0
2000-04-21,6060,6180,5970,6050,528513,45504813.0,150429134.0
2000-04-24,5970,6030,5760,5800,556613,43624449.0,150429134.0
2000-04-25,5620,5760,5520,5640,698014,42421016.0,150429134.0
2000-04-26,5820,5860,5600,5600,785860,42120158.0,150429134.0
2000-04-27,5520,5700,5400,5400,1082253,40615866.0,150429134.0
2000-04-28,5500,6100,5460,6000,1510624,45128740.0,150429134.0
2000-05-02,6200,6530,6120,6280,1446713,47314150.0,150682007.0
2000-05-03,6240,6260,6090,6180,531786,46560740.0,150682007.0
2000-05-04,6220,6360,6140,6180,522021,46560740.0,150682007.0
2000-05-08,6400,6700,6300,6560,1053944,49423698.0,150682007.0
2000-05-09,6500,6540,6340,6370,1010990,47992219.0,150682007.0
2000-05-10,6320,6390,6270,6350,552476,47841537.0,150682007.0
2000-05-12,6420,6440,6160,6160,943445,46410058.0,150682007.0
2000-05-15,6290,6530,6220,6440,942417,48519606.0,150682007.0
2000-05-16,6510,6800,6510,6800,792495,51231882.0,150682007.0
2000-05-17,7000,7340,6919,6920,1524758,52135974.0,150682007.0
2000-05-18,6739,7000,6680,6800,731638,51231882.0,150682007.0
2000-05-19,6740,6900,6600,6900,829049,51985292.0,150682007.0
2000-05-22,6720,6830,6620,6670,727774,50252449.0,150682007.0
2000-05-23,6500,6700,6350,6380,825886,48067560.0,150682007.0
2000-05-24,6160,6370,5920,6200,1443050,46711422.0,150682007.0
2000-05-25,6330,6380,5930,6000,1719303,45230495.0,150768316.0
2000-05-26,5900,5990,5600,5600,1342077,42215128.0,150768316.0
2000-05-29,5260,5680,5240,5460,1342608,41159750.0,150768316.0
2000-05-30,5600,5800,5520,5800,1299038,43722812.0,150768316.0
2000-05-31,6000,6290,5960,6160,1678705,46436641.0,150768316.0
2000-06-01,6200,6410,6120,6300,1004689,47492020.0,150768316.0
2000-06-02,6690,6899,6510,6620,1687778,49904313.0,150768316.0
2000-06-05,6920,6980,6680,6740,960247,50808922.0,150768316.0
2000-06-07,6600,6979,6510,6800,1067336,51261227.0,150768316.0
2000-06-08,6660,6960,6530,6530,1171017,49225855.0,150768316.0
2000-06-09,6600,7040,6530,7020,1277296,52919679.0,150768316.0
2000-06-12,7200,7280,7030,7190,990305,54201210.0,150768316.0
2000-06-13,7060,7099,6870,7060,849970,53221216.0,150768316.0
2000-06-14,7230,7639,7089,7640,1260474,57644250.0,150901179.0
2000-06-15,7560,7560,6999,7000,1224547,52815413.0,150901179.0
2000-06-16,6900,6960,6710,6740,1329127,50853697.0,150901179.0
2000-06-19,6600,6950,6550,6700,1071256,50551895.0,150901179.0
2000-06-20,6940,7179,6829,7140,1195878,53871721.0,150901179.0
2000-06-21,7300,7380,7069,7080,751795,53419017.0,150901179.0
2000-06-22,7240,7270,6960,7040,672733,53117215.0,150901179.0
2000-06-23,6980,7009,6860,7000,584323,52815413.0,150901179.0
2000-06-26,7100,7360,6990,7210,799690,54399875.0,150901179.0
2000-06-27,7320,7440,7190,7310,910783,55154381.0,150901179.0
2000-06-28,7220,7540,7220,7520,945903,56738843.0,150901179.0
2000-06-29,7600,7739,7380,7490,1222497,56512492.0,150901179.0
2000-06-30,7439,7540,7290,7380,705080,55682535.0,150901179.0
2000-07-03,7440,7550,7420,7500,519515,56587942.0,150901179.0
2000-07-04,7600,7620,7350,7350,656229,55490216.0,150993785.0
2000-07-05,7390,7519,7350,7430,497988,56094191.0,150993785.0
2000-07-06,7240,7350,7179,7300,1206852,55112732.0,150993785.0
2000-07-07,7340,7460,7230,7360,811625,55565713.0,150993785.0
2000-07-10,7440,7630,7410,7600,850172,57377638.0,150993785.0
2000-07-11,7580,7740,7450,7450,698992,56245185.0,150993785.0
2000-07-12,7520,7660,7460,7640,802868,57679626.0,150993785.0
2000-07-13,7699,7880,7570,7760,976116,58585589.0,150993785.0
2000-07-14,7780,7840,7540,7550,608514,57000154.0,150993785.0
2000-07-18,7550,7620,7439,7460,392106,56320682.0,150993785.0
2000-07-19,7360,7390,7140,7200,801065,54357763.0,150993785.0
2000-07-20,7060,7110,6840,6900,806380,52092856.0,150993785.0
2000-07-21,6960,7050,6759,6920,967901,52243850.0,150993785.0
2000-07-24,6640,6740,6360,6380,980364,48167017.0,150993785.0
2000-07-25,6310,6400,6120,6280,1134767,47412048.0,150993785.0
2000-07-26,6400,6579,6360,6550,1094925,49450465.0,150993785.0
2000-07-27,6220,6360,6100,6230,870865,47034564.0,150993785.0
2000-07-28,5800,5910,5710,5730,1660739,43259719.0,150993785.0
2000-07-31,5730,5910,5550,5900,932312,44543167.0,150993785.0
2000-08-01,5960,6270,5870,6220,1062466,46959067.0,150993785.0
2000-08-02,6100,6170,5930,6070,743825,45888636.0,151198141.0
2000-08-03,6180,6180,5970,6030,556342,45586240.0,151198141.0
2000-08-04,5930,6010,5850,5920,472137,44754650.0,151198141.0
2000-08-07,5740,5770,5580,5580,575355,42184281.0,151198141.0
2000-08-08,5660,5750,5570,5580,669550,42184281.0,151198141.0
2000-08-09,5680,6040,5680,6000,791495,45359442.0,151198141.0
2000-08-10,6000,6160,5860,6160,816612,46569027.0,151198141.0
2000-08-11,6000,6070,5880,5960,676890,45057046.0,151198141.0
2000-08-14,6060,6160,6000,6020,474664,45510640.0,151198141.0
2000-08-16,6500,6530,6330,6420,1038360,48534603.0,151198141.0
2000-08-17,6480,6560,6340,6440,726926,48685801.0,151198141.0
2000-08-18,6500,6520,6200,6200,427433,46871424.0,151198141.0
2000-08-21,6200,6340,6190,6270,419000,47400617.0,151198141.0
2000-08-22,6260,6470,6240,6460,554252,48837000.0,151198141.0
