유화증권(003460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-02-12,12630,13019,12241,12338,317340,138732.0,10923795.0
1999-02-18,12436,12727,11950,11950,108790,134363.0,10923795.0
1999-02-19,11173,11756,10784,11075,117950,124531.0,10923795.0
1999-02-22,10104,10978,10104,10395,82630,116885.0,10923795.0
1999-02-23,10493,10881,10104,10298,114630,115792.0,10923795.0
1999-02-24,10298,10638,9813,9812,63600,110330.0,10923795.0
1999-02-25,9715,9910,9424,9423,65690,105961.0,10923795.0
1999-02-26,9278,9910,9278,9909,56440,111423.0,10923795.0
1999-03-02,10201,10541,10104,10201,62690,114700.0,10923795.0
1999-03-03,10396,10493,10055,10201,60160,114700.0,10923795.0
1999-03-04,10298,10590,10201,10201,40130,114700.0,10923795.0
1999-03-05,9910,10298,9910,10298,34390,115792.0,10923795.0
1999-03-08,10493,11804,10493,11804,148530,132724.0,10923795.0
1999-03-09,11804,12630,11367,11755,162070,132178.0,10923795.0
1999-03-10,11270,11707,11270,11609,73330,130539.0,10923795.0
1999-03-11,11610,12533,11610,12241,142730,137640.0,10923795.0
1999-03-12,12241,12533,12047,12532,115770,140917.0,10923795.0
1999-03-15,12533,13116,12387,12532,148550,140917.0,10923795.0
1999-03-16,12484,12533,12241,12532,79960,140917.0,10923795.0
1999-03-17,12533,13067,12533,12727,216850,143102.0,10923795.0
1999-03-18,12339,12630,11659,11755,104980,132178.0,10923795.0
1999-03-19,11756,12241,11513,12144,168950,136547.0,10923795.0
1999-03-22,12241,12339,11659,11852,88570,133270.0,10923795.0
1999-03-23,11853,12144,11756,12047,84020,135455.0,10923795.0
1999-03-24,11707,12047,11659,11804,52370,132724.0,10923795.0
1999-03-25,11804,11804,11804,11804,0,132724.0,10923795.0
1999-03-26,11901,12096,11659,12047,75200,135455.0,10923795.0
1999-03-29,11950,12339,11756,11950,94720,134363.0,10923795.0
1999-03-30,12100,12100,11600,11650,66430,127262.0,10923795.0
1999-03-31,12000,12200,11550,11550,33500,126170.0,10923795.0
1999-04-01,11550,12000,11400,11650,116680,127262.0,10923795.0
1999-04-02,11700,11900,11200,11300,137700,123439.0,10923795.0
1999-04-06,11650,11800,11350,11700,153250,127808.0,10923795.0
1999-04-07,11900,12300,11600,11750,167000,128355.0,10923795.0
1999-04-08,11900,12200,11600,12150,79770,132724.0,10923795.0
1999-04-09,12400,12900,12100,12700,259020,138732.0,10923795.0
1999-04-12,13000,13200,12500,13100,185740,143102.0,10923795.0
1999-04-13,12900,13500,12800,13150,237820,143648.0,10923795.0
1999-04-14,13350,13450,12800,13300,127570,145286.0,10923795.0
1999-04-15,13450,15250,13400,15250,623320,166588.0,10923795.0
1999-04-16,15250,16400,14500,15000,636700,163857.0,10923795.0
1999-04-19,14800,15250,14350,14600,257210,159487.0,10923795.0
1999-04-20,14000,14700,14000,14650,164620,160034.0,10923795.0
1999-04-21,14300,15500,14300,14750,280610,161126.0,10923795.0
1999-04-22,14950,15300,13700,14700,172660,160580.0,10923795.0
1999-04-23,14200,15300,14200,15200,345330,166042.0,10923795.0
1999-04-26,15400,17100,15000,17000,538380,185705.0,10923795.0
1999-04-27,17300,17500,15750,16000,266560,174781.0,10923795.0
1999-04-28,15500,16400,15400,15600,328130,170411.0,10923795.0
1999-04-29,15600,15950,14800,14800,187080,161672.0,10923795.0
1999-04-30,14800,15000,14250,14800,230730,161672.0,10923795.0
1999-05-03,15200,15350,14500,14550,156090,158941.0,10923795.0
1999-05-04,14600,15100,14500,14500,184660,158395.0,10923795.0
1999-05-06,14900,15150,14500,14900,323750,162765.0,10923795.0
1999-05-07,15300,15800,14850,14900,210010,162765.0,10923795.0
1999-05-10,15500,15850,15500,15600,446630,170411.0,10923795.0
1999-05-11,16000,16300,15000,15000,368360,163857.0,10923795.0
1999-05-12,15300,15500,14500,14500,149410,158395.0,10923795.0
1999-05-13,14350,14400,13200,13250,119170,144740.0,10923795.0
1999-05-14,13250,13500,12500,12800,146040,139825.0,10923795.0
1999-05-17,12700,13000,12500,12500,80470,136547.0,10923795.0
1999-05-18,12550,12800,12400,12600,49590,137640.0,10923795.0
1999-05-19,12900,13000,12800,12800,90810,139825.0,10923795.0
1999-05-20,13000,13100,11850,11900,108290,129993.0,10923795.0
1999-05-21,12300,12500,11900,12000,47760,131086.0,10923795.0
1999-05-24,12000,12500,11900,11900,31170,129993.0,10923795.0
1999-05-25,11900,12200,11700,12000,38160,131086.0,10923795.0
1999-05-26,12100,12400,12050,12400,42920,135455.0,10923795.0
1999-05-27,12500,12700,12050,12050,45770,131632.0,10923795.0
1999-05-28,12200,12400,11800,12100,50290,132178.0,10923795.0
1999-05-31,12300,12300,11900,11900,34470,129993.0,10923795.0
1999-06-01,12000,12000,11750,11800,21250,128901.0,10923795.0
1999-06-02,11800,13000,11800,12300,96450,134363.0,10923795.0
1999-06-03,12550,12700,11900,12200,82890,133270.0,10923795.0
1999-06-04,12100,12500,12000,12050,39930,131632.0,10923795.0
1999-06-07,12250,13300,12100,12900,135980,140917.0,10923795.0
1999-06-08,12900,13300,12600,13000,128110,142009.0,10923795.0
1999-06-09,13250,13700,12800,13350,172670,145833.0,10923795.0
1999-06-10,12600,13450,12600,13400,94260,146379.0,10923795.0
1999-06-11,13200,13650,12800,13400,77810,146379.0,10923795.0
1999-06-14,13350,13350,12600,12700,32200,138732.0,10923795.0
1999-06-15,12500,12700,11050,11500,52550,125624.0,10923795.0
1999-06-16,11500,11950,11500,11500,52460,125624.0,10923795.0
1999-06-17,9810,11900,9810,11300,71000,123439.0,10923795.0
1999-06-18,11300,11500,10550,10550,42600,115246.0,10923795.0
1999-06-21,10550,10550,9600,9910,100690,108255.0,10923795.0
1999-06-22,9510,9900,8600,9900,241120,108146.0,10923795.0
1999-06-23,9700,10700,9700,10100,245800,110330.0,10923795.0
1999-06-24,10100,10400,9600,9700,82320,105961.0,10923795.0
1999-06-25,9500,9500,8400,8800,254200,96129.0,10923795.0
1999-06-28,9000,9000,8220,8350,103160,91214.0,10923795.0
1999-06-29,8360,8700,8360,8500,97030,96394.0,11340483.0
1999-06-30,8510,8700,8250,8300,68620,94126.0,11340483.0
1999-07-01,8420,8550,8200,8310,124250,94239.0,11340483.0
1999-07-02,8400,8700,8320,8410,58740,95373.0,11340483.0
1999-07-05,8700,9500,8630,9500,162660,107735.0,11340483.0
1999-07-06,10000,10700,10000,10200,278430,115673.0,11340483.0
1999-07-07,10200,10500,9750,10000,119230,113405.0,11340483.0
1999-07-08,10300,10500,10200,10350,119450,117374.0,11340483.0
1999-07-09,10500,11050,10500,10750,150410,121910.0,11340483.0
1999-07-12,11000,11700,10500,10500,163210,119075.0,11340483.0
1999-07-13,10550,10900,9850,9900,70210,112271.0,11340483.0
1999-07-14,10000,10200,9700,9810,63310,111250.0,11340483.0
1999-07-15,10000,10000,9400,9670,70050,109662.0,11340483.0
1999-07-16,9570,9950,9570,9890,52840,112157.0,11340483.0
1999-07-19,10000,10200,9800,10050,93280,113972.0,11340483.0
1999-07-20,10050,10100,9810,9870,58050,111931.0,11340483.0
1999-07-21,9870,9870,9500,9500,61330,107735.0,11340483.0
1999-07-22,9500,10000,9500,9900,56730,112271.0,11340483.0
1999-07-23,10100,10300,9500,9500,108440,107735.0,11340483.0
1999-07-26,9100,9100,8800,8930,84110,101271.0,11340483.0
1999-07-27,8930,9500,8930,9400,48260,106601.0,11340483.0
1999-07-28,9500,9600,9200,9400,42810,106601.0,11340483.0
1999-07-29,9110,9800,9110,9540,65100,108188.0,11340483.0
1999-07-30,9550,9550,9100,9100,55020,103198.0,11340483.0
1999-08-02,8800,9100,8590,8800,45320,99796.0,11340483.0
1999-08-03,8800,10000,8800,10000,41250,113405.0,11340483.0
1999-08-04,9600,10600,9600,10000,118310,113405.0,11340483.0
1999-08-05,10000,10000,9310,9310,26160,105580.0,11340483.0
1999-08-06,9300,9700,9000,9400,33750,106601.0,11340483.0
1999-08-09,9700,10800,9600,10700,218090,121343.0,11340483.0
1999-08-10,10500,10900,10100,10700,149710,121343.0,11340483.0
1999-08-11,10800,11300,10600,10800,196400,122477.0,11340483.0
1999-08-12,10350,11250,10350,11000,118480,124745.0,11340483.0
1999-08-13,11000,11300,10450,10700,96650,121343.0,11340483.0
1999-08-16,10500,11000,10250,10300,49890,116807.0,11340483.0
1999-08-17,10400,10500,9300,9300,39770,105466.0,11340483.0
1999-08-18,9300,9600,8850,9300,61800,105466.0,11340483.0
1999-08-19,9400,9600,9150,9600,34970,108869.0,11340483.0
1999-08-20,9600,9900,9400,9800,42570,111137.0,11340483.0
1999-08-23,9800,11000,9800,10500,92170,119075.0,11340483.0
1999-08-24,10950,10950,10150,10300,84410,116807.0,11340483.0
1999-08-25,10500,10900,10200,10800,114650,122477.0,11340483.0
1999-08-26,10800,11000,10500,10500,78920,119075.0,11340483.0
1999-08-27,10300,10550,9910,10100,52180,114539.0,11340483.0
1999-08-30,10000,10400,10000,10000,19980,113405.0,11340483.0
1999-08-31,10000,10250,9920,10000,22880,113405.0,11340483.0
1999-09-01,9920,10100,9520,9800,41620,111137.0,11340483.0
1999-09-02,9850,10000,9600,9800,20780,111137.0,11340483.0
1999-09-03,11000,11000,9600,9860,28560,111817.0,11340483.0
1999-09-06,9700,9850,9500,9610,19140,108982.0,11340483.0
1999-09-07,9620,9950,9600,9610,17700,108982.0,11340483.0
1999-09-08,9610,9610,9100,9100,28260,103198.0,11340483.0
1999-09-09,9100,9600,9100,9220,44900,104559.0,11340483.0
1999-09-10,9220,9700,9220,9600,23860,108869.0,11340483.0
1999-09-13,11000,11000,9450,9500,30640,107735.0,11340483.0
1999-09-14,9580,9990,9580,9700,27900,110003.0,11340483.0
1999-09-15,9620,9700,9250,9450,34350,107168.0,11340483.0
1999-09-16,9300,9600,9000,9300,48680,105466.0,11340483.0
1999-09-17,9010,9390,9010,9200,27650,104332.0,11340483.0
1999-09-20,9200,9400,9100,9200,50130,104332.0,11340483.0
1999-09-21,8850,9400,8850,9200,31400,104332.0,11340483.0
1999-09-22,9500,9550,9200,9400,43740,106601.0,11340483.0
1999-09-27,9550,10000,9450,9480,36690,107508.0,11340483.0
1999-09-28,9600,9800,9300,9600,22950,108869.0,11340483.0
1999-09-29,9600,10450,9500,9840,103180,111590.0,11340483.0
1999-09-30,10200,10200,9100,9100,39940,103198.0,11340483.0
1999-10-01,9200,9200,8800,8960,44470,101611.0,11340483.0
1999-10-04,8750,9280,8750,8840,15490,100250.0,11340483.0
1999-10-05,8900,9120,8500,8500,26630,96394.0,11340483.0
1999-10-06,9000,9000,8250,8700,22560,98662.0,11340483.0
1999-10-07,8800,9100,8600,8900,62810,100930.0,11340483.0
1999-10-08,8890,9290,8710,9000,46350,102064.0,11340483.0
1999-10-11,9100,9200,9010,9100,25520,103198.0,11340483.0
1999-10-12,9000,9300,9000,9170,20290,103992.0,11340483.0
1999-10-13,9210,9500,9010,9400,27490,106601.0,11340483.0
1999-10-14,9450,10750,9450,10500,204890,119075.0,11340483.0
1999-10-15,10600,10800,10000,10100,117830,114539.0,11340483.0
1999-10-18,9790,10150,9700,9760,70190,110683.0,11340483.0
1999-10-19,10050,10100,9410,9410,55240,106714.0,11340483.0
1999-10-20,9560,10800,9560,10750,137710,121910.0,11340483.0
1999-10-21,11000,11000,10150,10150,145970,115106.0,11340483.0
1999-10-22,10400,10700,10200,10500,98840,119075.0,11340483.0
1999-10-25,10950,11500,10550,10800,309820,122477.0,11340483.0
1999-10-26,10600,10600,10000,10150,85440,115106.0,11340483.0
1999-10-27,10300,10500,10000,10250,67670,116240.0,11340483.0
1999-10-28,9320,10350,9320,10200,56850,115673.0,11340483.0
1999-10-29,10400,10700,10100,10300,82600,116807.0,11340483.0
1999-11-01,10800,11250,10500,11000,161770,124745.0,11340483.0
1999-11-02,11000,11300,10700,11000,119580,124745.0,11340483.0
1999-11-03,11000,11700,10800,11100,159630,125879.0,11340483.0
1999-11-04,11500,12000,11200,12000,216160,136086.0,11340483.0
1999-11-05,12000,12200,11550,11800,109640,133818.0,11340483.0
1999-11-08,11800,12100,11500,11700,81130,132684.0,11340483.0
1999-11-09,11900,11900,11400,11700,76410,132684.0,11340483.0
1999-11-10,11750,12450,11250,11350,126080,128714.0,11340483.0
1999-11-11,11500,11900,11350,11650,93000,132117.0,11340483.0
1999-11-12,11700,13000,11550,12950,267550,146859.0,11340483.0
1999-11-15,13500,14000,13000,13850,304910,157066.0,11340483.0
1999-11-16,13850,14400,13200,13850,187330,157066.0,11340483.0
1999-11-17,14000,14050,12800,13000,200680,147426.0,11340483.0
1999-11-18,12800,12900,11950,12350,121070,140055.0,11340483.0
1999-11-19,11650,12700,11650,12300,75000,139488.0,11340483.0
1999-11-22,11850,12250,11600,11800,48620,133818.0,11340483.0
1999-11-23,11700,12100,11250,11600,55180,131550.0,11340483.0
1999-11-24,11200,11600,10700,10850,47540,123044.0,11340483.0
1999-11-25,10850,11150,10300,10450,41270,118508.0,11340483.0
1999-11-26,10400,10700,9740,9760,38710,110683.0,11340483.0
1999-11-29,9700,10000,9300,9600,41560,108869.0,11340483.0
1999-11-30,9600,10400,9600,10300,39190,116807.0,11340483.0
1999-12-01,10000,10050,9000,9400,59110,106601.0,11340483.0
1999-12-02,9400,9880,9300,9650,51260,109436.0,11340483.0
1999-12-03,9210,9900,9210,9600,27660,108869.0,11340483.0
1999-12-06,9700,9700,9200,9350,25940,106034.0,11340483.0
1999-12-07,9530,9530,8800,8900,28230,100930.0,11340483.0
1999-12-08,8800,9300,7610,8170,192840,92652.0,11340483.0
1999-12-09,8580,8600,8210,8340,53490,94580.0,11340483.0
1999-12-10,8700,9590,8500,9210,176950,104446.0,11340483.0
1999-12-13,9250,9490,8500,8850,79130,100363.0,11340483.0
1999-12-14,8560,9200,8560,8800,46680,99796.0,11340483.0
1999-12-15,8900,8900,8460,8640,39010,97982.0,11340483.0
1999-12-16,8550,8870,8450,8600,34180,97528.0,11340483.0
1999-12-17,8700,8780,8500,8500,32500,96394.0,11340483.0
1999-12-20,8450,8890,8300,8300,19460,94126.0,11340483.0
1999-12-21,8400,8400,7800,7800,30520,88456.0,11340483.0
1999-12-22,7800,8100,7590,7800,61600,88456.0,11340483.0
1999-12-23,7700,8500,7600,7600,29750,86188.0,11340483.0
1999-12-24,7800,8480,7800,8000,40830,90724.0,11340483.0
1999-12-27,8100,8490,8000,8110,37630,91971.0,11340483.0
1999-12-28,8050,8200,7820,7920,21010,89817.0,11340483.0
2000-01-04,8210,9100,8050,8890,21610,100817.0,11340483.0
2000-01-05,8600,8880,8200,8500,19380,96394.0,11340483.0
2000-01-06,8900,8900,8010,8200,16280,92992.0,11340483.0
2000-01-07,8300,8500,8130,8160,15120,92538.0,11340483.0
2000-01-10,8450,8480,8160,8310,40190,94239.0,11340483.0
2000-01-11,8160,8400,8160,8300,24670,94126.0,11340483.0
2000-01-12,8160,8390,8000,8050,29460,91291.0,11340483.0
2000-01-13,8100,8150,7980,8100,24560,91858.0,11340483.0
2000-01-14,8000,8060,7720,7900,13450,89590.0,11340483.0
2000-01-17,7950,8040,7720,8000,26140,90724.0,11340483.0
2000-01-18,8290,8290,7800,7970,15620,90384.0,11340483.0
2000-01-19,7600,7660,7000,7000,17750,79383.0,11340483.0
2000-01-20,7000,7250,6750,7100,13750,80517.0,11340483.0
2000-01-21,6910,7270,6700,6740,19370,76435.0,11340483.0
2000-01-24,6800,6990,6700,6710,11470,76095.0,11340483.0
2000-01-25,6710,6960,6600,6800,12130,77115.0,11340483.0
2000-01-26,6850,7410,6800,7200,30260,81651.0,11340483.0
2000-01-27,7210,8270,7210,8110,46200,91971.0,11340483.0
2000-01-28,8300,8300,7900,8050,39010,91291.0,11340483.0
2000-01-31,7810,8500,7810,8350,39400,94693.0,11340483.0
2000-02-01,8500,8500,8120,8400,39800,95260.0,11340483.0
2000-02-02,8450,8750,8210,8320,30880,94353.0,11340483.0
2000-02-03,8400,8500,8220,8260,23640,93672.0,11340483.0
2000-02-07,8490,8500,8000,8360,29710,94806.0,11340483.0
2000-02-08,8400,8600,8200,8250,28390,93559.0,11340483.0
2000-02-09,8100,8400,7940,8030,26420,91064.0,11340483.0
2000-02-10,8010,8200,7710,7900,12660,89590.0,11340483.0
2000-02-11,8050,8100,7720,7730,12230,87662.0,11340483.0
2000-02-14,7550,8000,7550,7560,15180,85734.0,11340483.0
2000-02-15,7420,8150,7420,7750,22910,87889.0,11340483.0
2000-02-16,8150,8150,7210,7800,8970,88456.0,11340483.0
2000-02-17,7750,7990,7610,7750,7590,87889.0,11340483.0
2000-02-18,7700,7750,7500,7700,7930,87322.0,11340483.0
2000-02-21,7210,7700,7210,7220,12660,81878.0,11340483.0
2000-02-22,6800,7410,6800,6950,12380,78816.0,11340483.0
2000-02-23,7500,7990,7210,7890,42830,89476.0,11340483.0
2000-02-24,7880,7880,7120,7120,24580,80744.0,11340483.0
2000-02-25,7210,7490,7120,7300,9940,82786.0,11340483.0
2000-02-28,7100,7350,7100,7160,24080,81198.0,11340483.0
2000-02-29,7980,7980,7200,7450,6890,84487.0,11340483.0
2000-03-02,7270,7690,7270,7600,13610,86188.0,11340483.0
2000-03-03,7370,7380,7150,7150,18110,81084.0,11340483.0
2000-03-06,7110,7590,7000,7590,30390,86074.0,11340483.0
2000-03-07,7210,8000,7210,7690,20840,87208.0,11340483.0
2000-03-08,7500,8180,7500,7710,21650,87435.0,11340483.0
2000-03-09,7600,7610,7450,7500,20420,85054.0,11340483.0
2000-03-10,7050,8000,7050,7250,39350,82219.0,11340483.0
2000-03-13,8000,8000,7350,7360,28010,83466.0,11340483.0
2000-03-14,7400,7800,7400,7460,18590,84600.0,11340483.0
2000-03-15,7470,7700,7020,7220,26710,81878.0,11340483.0
2000-03-16,7400,7400,7110,7200,15680,81651.0,11340483.0
2000-03-17,7400,7980,7400,7550,60140,85621.0,11340483.0
2000-03-20,7700,7700,7400,7430,13890,84260.0,11340483.0
2000-03-21,7230,7500,7210,7230,12270,81992.0,11340483.0
2000-03-22,7230,7570,7230,7540,26590,85507.0,11340483.0
2000-03-23,7570,7800,7300,7510,26170,85167.0,11340483.0
2000-03-24,7750,7750,7480,7700,17950,87322.0,11340483.0
2000-03-27,7800,8590,7800,8590,57260,97415.0,11340483.0
2000-03-28,8450,8550,8000,8130,63060,92198.0,11340483.0
2000-03-29,8300,8300,7540,7540,40220,85507.0,11340483.0
2000-03-30,6800,6900,6410,6410,42940,72692.0,11340483.0
2000-03-31,6120,6240,5560,5700,33710,64641.0,11340483.0
2000-04-03,5410,5550,5000,5000,26390,56702.0,11340483.0
2000-04-04,5000,5500,4710,5020,34770,56929.0,11340483.0
2000-04-06,5050,5080,4730,4820,6000,54661.0,11340483.0
2000-04-07,4730,4990,4730,4900,15070,55568.0,11340483.0
2000-04-10,4900,5390,4520,4925,62140,55852.0,11340483.0
2000-04-11,5000,5300,4800,4820,10200,54661.0,11340483.0
2000-04-12,4830,5000,4750,4910,18050,55682.0,11340483.0
2000-04-14,4810,5180,4810,5100,37450,57836.0,11340483.0
2000-04-17,4700,4890,4400,4460,25590,50579.0,11340483.0
2000-04-18,4710,4710,4510,4640,7530,52620.0,11340483.0
2000-04-19,4510,4690,4510,4560,17830,51713.0,11340483.0
2000-04-20,4645,4645,4460,4500,12720,51032.0,11340483.0
2000-04-21,4600,4600,3830,3830,29530,43434.0,11340483.0
2000-04-24,4300,4300,4100,4100,34430,46496.0,11340483.0
2000-04-25,4100,4190,4050,4140,43540,46950.0,11340483.0
2000-04-26,4240,4300,3855,4000,34640,45362.0,11340483.0
2000-04-27,3525,4190,3525,3820,39400,43321.0,11340483.0
2000-04-28,4000,4320,3920,4045,84810,45872.0,11340483.0
2000-05-02,4100,4100,3880,3965,38250,44965.0,11340483.0
2000-05-03,3990,4100,3850,4040,33700,45816.0,11340483.0
2000-05-04,3850,4145,3850,3995,27360,45305.0,11340483.0
2000-05-08,3920,4200,3910,3930,20600,44568.0,11340483.0
2000-05-09,3910,4050,3910,3930,20620,44568.0,11340483.0
2000-05-10,3920,4075,3920,3990,5210,45249.0,11340483.0
2000-05-12,3510,4090,3510,3840,18640,43547.0,11340483.0
2000-05-15,3820,3880,3415,3650,28550,41393.0,11340483.0
2000-05-16,3500,3830,3500,3610,11820,40939.0,11340483.0
2000-05-17,3520,3800,3440,3500,33150,39692.0,11340483.0
2000-05-18,3310,3500,3300,3390,38550,38444.0,11340483.0
2000-05-19,3320,3500,3310,3480,11740,39465.0,11340483.0
2000-05-22,3600,3640,3450,3640,32750,41279.0,11340483.0
2000-05-23,3600,4000,3600,3900,19500,44228.0,11340483.0
2000-05-24,3810,4485,3545,4485,99460,50862.0,11340483.0
2000-05-25,4385,5150,4385,4900,155570,55568.0,11340483.0
2000-05-26,4210,4900,4165,4165,65920,47233.0,11340483.0
2000-05-29,3610,4750,3560,4600,70120,52166.0,11340483.0
2000-05-30,4540,5100,4115,4250,90910,48197.0,11340483.0
2000-05-31,4350,4700,4250,4400,109730,49898.0,11340483.0
2000-06-01,4210,4480,4100,4100,26340,46496.0,11340483.0
2000-06-02,4480,4495,4210,4350,43420,49331.0,11340483.0
2000-06-05,4530,5000,4530,5000,115110,56702.0,11340483.0
2000-06-07,4980,5400,4980,5000,37800,56702.0,11340483.0
2000-06-08,4880,5100,4510,4850,44330,55001.0,11340483.0
2000-06-09,4700,4960,4560,4650,24990,52733.0,11340483.0
2000-06-12,4700,4750,4600,4670,26200,52960.0,11340483.0
2000-06-13,4680,4900,4580,4580,10140,51939.0,11340483.0
2000-06-14,4700,4700,4440,4500,13730,51032.0,11340483.0
2000-06-15,4500,4550,4350,4350,12710,49331.0,11340483.0
2000-06-16,4250,4480,4165,4380,6490,49671.0,11340483.0
2000-06-19,4360,4360,4140,4150,7310,47063.0,11340483.0
2000-06-20,4160,4765,4160,4650,22830,52733.0,11340483.0
2000-06-21,4640,5100,4460,4600,71100,52166.0,11340483.0
2000-06-22,4950,4950,4500,4510,14010,51146.0,11340483.0
2000-06-23,4420,4500,4400,4495,15020,50975.0,11340483.0
2000-06-26,4295,4600,4295,4500,16010,51032.0,11340483.0
2000-06-27,4500,5140,4500,5000,51030,56702.0,11340483.0
2000-06-28,4810,5190,4810,4920,78880,55795.0,11340483.0
2000-06-29,5000,5000,4800,4910,11510,55682.0,11340483.0
2000-06-30,4720,5010,4720,5000,52520,56702.0,11340483.0
2000-07-03,5000,5180,4950,5180,25610,58744.0,11340483.0
2000-07-04,5270,5480,5180,5200,39430,58971.0,11340483.0
2000-07-05,5200,5400,4900,5300,56120,60105.0,11340483.0
2000-07-06,5300,5790,5200,5510,88990,62486.0,11340483.0
2000-07-07,5450,5890,5450,5770,78940,65435.0,11340483.0
2000-07-10,5770,6450,5700,6280,94670,71218.0,11340483.0
2000-07-11,6200,6880,6000,6000,223050,68043.0,11340483.0
2000-07-12,6000,6200,5610,5700,32890,64641.0,11340483.0
2000-07-13,5700,5800,5520,5800,54590,65775.0,11340483.0
2000-07-14,5400,5800,5400,5400,27840,61239.0,11340483.0
2000-07-18,5150,5270,5000,5000,32170,56702.0,11340483.0
2000-07-19,4710,5500,4710,5340,31810,60558.0,11340483.0
2000-07-20,5170,5430,5010,5290,13250,59991.0,11340483.0
2000-07-21,5060,5800,5060,5550,59530,62940.0,11340483.0
2000-07-24,5350,5500,5010,5020,25290,56929.0,11340483.0
2000-07-25,5100,5200,5020,5020,19640,56929.0,11340483.0
2000-07-26,5050,5100,4950,5020,16780,56929.0,11340483.0
2000-07-27,5000,5180,4850,4860,6510,55115.0,11340483.0
2000-07-28,4800,4970,4700,4800,8500,54434.0,11340483.0
2000-07-31,4800,4900,4620,4900,6250,55568.0,11340483.0
2000-08-01,4890,5040,4620,4930,21510,55909.0,11340483.0
2000-08-02,4930,5100,4860,4950,16020,56135.0,11340483.0
2000-08-03,4950,5040,4890,4970,7260,56362.0,11340483.0
2000-08-04,5050,5050,4800,4800,11740,54434.0,11340483.0
2000-08-07,4800,4900,4655,4860,4340,55115.0,11340483.0
2000-08-08,4860,4930,4630,4850,8330,55001.0,11340483.0
2000-08-09,4810,5100,4760,4840,76600,54888.0,11340483.0
2000-08-10,4940,4940,4725,4800,20950,54434.0,11340483.0
2000-08-11,4840,5000,4660,4990,26780,56589.0,11340483.0
2000-08-14,5450,5590,5060,5190,24580,58857.0,11340483.0
2000-08-16,5060,5160,5000,5120,18380,58063.0,11340483.0
2000-08-17,5030,5200,5010,5030,20140,57043.0,11340483.0
2000-08-18,5150,5200,4930,4950,12980,56135.0,11340483.0
2000-08-21,4950,4990,4840,4900,11860,55568.0,11340483.0
2000-08-22,4865,4950,4850,4920,11990,55795.0,11340483.0
2000-08-23,4990,4990,4870,4960,12910,56249.0,11340483.0
2000-08-24,4900,4970,4850,4970,6290,56362.0,11340483.0
2000-08-25,4870,4970,4870,4970,4280,56362.0,11340483.0
2000-08-28,4970,4995,4875,4995,1820,56646.0,11340483.0
2000-08-29,4990,5000,4890,4890,4620,55455.0,11340483.0
2000-08-30,4900,4940,4800,4940,6650,56022.0,11340483.0
2000-08-31,4900,4930,4800,4850,13960,55001.0,11340483.0
2000-09-01,4750,4900,4750,4890,4300,55455.0,11340483.0
2000-09-04,4830,4890,4825,4825,2930,54718.0,11340483.0
2000-09-05,4770,4930,4770,4830,3980,54775.0,11340483.0
2000-09-06,4800,4900,4800,4900,3130,55568.0,11340483.0
2000-09-07,4825,4900,4770,4770,10840,54094.0,11340483.0
2000-09-08,4780,5100,4770,5090,12120,57723.0,11340483.0
2000-09-14,5100,5200,4890,5200,11770,58971.0,11340483.0
2000-09-15,5200,5290,4955,5150,8870,58403.0,11340483.0
2000-09-18,5110,5110,4560,4790,9310,54321.0,11340483.0
