S&T홀딩스(036530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-19,25500,28200,24300,28200,278477,211500.0,7500000.0
2000-06-20,31550,31550,29600,31550,167507,236625.0,7500000.0
2000-06-21,34650,35250,32000,34000,561346,255000.0,7500000.0
2000-06-22,34000,36900,31000,33000,452859,247500.0,7500000.0
2000-06-23,33000,36950,31200,36200,434070,271500.0,7500000.0
2000-06-26,36200,37500,34000,35600,384948,267000.0,7500000.0
2000-06-27,36000,36500,31350,31350,420651,235125.0,7500000.0
2000-06-28,30000,31700,27600,28300,681509,212250.0,7500000.0
2000-06-29,28499,30899,27699,29000,514933,217500.0,7500000.0
2000-06-30,28500,29500,25600,26000,307726,195000.0,7500000.0
2000-07-03,24700,27000,24649,26000,359197,195000.0,7500000.0
2000-07-04,26000,27700,25500,26300,346839,197250.0,7500000.0
2000-07-05,26700,26799,23150,23150,228185,173625.0,7500000.0
2000-07-06,20650,22000,20400,20400,316409,153000.0,7500000.0
2000-07-07,21050,22450,20400,21700,343438,162750.0,7500000.0
2000-07-10,21900,23450,21900,22700,219538,170250.0,7500000.0
2000-07-11,24000,25400,23700,25400,171145,190500.0,7500000.0
2000-07-12,26699,27900,22400,22450,836079,168375.0,7500000.0
2000-07-13,22950,22950,20700,21700,329750,162750.0,7500000.0
2000-07-14,22600,23200,21500,21800,331226,163500.0,7500000.0
2000-07-18,21500,22200,20550,21250,193984,159375.0,7500000.0
2000-07-19,20600,21250,18700,18900,233499,141750.0,7500000.0
2000-07-20,18500,21150,18500,20000,629435,150000.0,7500000.0
2000-07-21,20700,20800,18800,19500,321166,146250.0,7500000.0
2000-07-24,19000,20300,17650,18500,362688,138750.0,7500000.0
2000-07-25,18500,19000,17500,18250,242060,136875.0,7500000.0
2000-07-26,18500,18600,17700,18150,222593,136125.0,7500000.0
2000-07-27,18500,19500,18150,18450,329342,138375.0,7500000.0
2000-07-28,18500,18900,17600,18250,221611,136875.0,7500000.0
2000-07-31,18700,18700,17500,18200,170394,136500.0,7500000.0
2000-08-01,18500,20350,18200,20350,509944,152625.0,7500000.0
2000-08-02,20150,21500,19550,20000,527737,150000.0,7500000.0
2000-08-03,20450,21900,20100,20800,555761,156000.0,7500000.0
2000-08-04,21400,21400,19400,19650,221867,147375.0,7500000.0
2000-08-07,19700,20000,18600,18950,200678,142125.0,7500000.0
2000-08-08,18500,19450,18400,18500,216644,138750.0,7500000.0
2000-08-09,18700,19200,18200,18800,299108,141000.0,7500000.0
2000-08-10,18850,18900,18300,18350,105448,137625.0,7500000.0
2000-08-11,18450,19300,18300,18550,181498,139125.0,7500000.0
2000-08-14,18350,18800,18200,18400,89019,138000.0,7500000.0
2000-08-16,18500,19300,18500,18650,119925,139875.0,7500000.0
2000-08-17,19450,20400,18900,19300,343826,144750.0,7500000.0
2000-08-18,19800,19800,18200,18750,158058,140625.0,7500000.0
2000-08-21,18750,18750,17750,18100,136071,135750.0,7500000.0
2000-08-22,18100,19300,17900,18400,265302,138000.0,7500000.0
2000-08-23,18500,19900,18500,18950,385691,142125.0,7500000.0
2000-08-24,19100,21200,18850,20600,720637,154500.0,7500000.0
2000-08-25,20850,23050,20400,23050,417113,172875.0,7500000.0
2000-08-28,24247,25800,23000,23100,1025147,173250.0,7500000.0
2000-08-29,24200,24450,23150,23450,284112,175875.0,7500000.0
2000-08-30,23400,25500,22300,24300,530862,182250.0,7500000.0
2000-08-31,24500,24700,22000,23300,274604,174750.0,7500000.0
2000-09-01,23000,24000,22300,23000,168286,172500.0,7500000.0
2000-09-04,22900,24000,20250,20250,1241181,151875.0,7500000.0
2000-09-05,20000,20650,18700,19200,376692,144000.0,7500000.0
2000-09-06,19200,20800,18550,19900,526465,149250.0,7500000.0
2000-09-07,19500,19950,18100,18500,226147,138750.0,7500000.0
2000-09-08,18600,18900,17550,17950,172401,134625.0,7500000.0
2000-09-14,17000,17800,16800,17800,98054,133500.0,7500000.0
2000-09-15,17800,19300,17600,18350,252099,137625.0,7500000.0
2000-09-18,17800,17800,16149,16300,199550,122250.0,7500000.0
2000-09-19,16500,16900,15400,16300,121125,122250.0,7500000.0
2000-09-20,17000,17150,16450,16600,111289,124500.0,7500000.0
2000-09-21,16500,16950,15550,16000,70674,120000.0,7500000.0
2000-09-22,15700,15700,14100,14100,107677,105750.0,7500000.0
2000-09-25,13500,15000,13500,14300,102342,107250.0,7500000.0
2000-09-26,14000,14600,13700,14500,77736,108750.0,7500000.0
2000-09-27,14250,16050,14250,15900,122653,119250.0,7500000.0
2000-09-28,16349,16750,15700,16300,241557,122250.0,7500000.0
2000-09-29,16299,16900,15899,16150,171894,121125.0,7500000.0
2000-10-02,16000,17300,15300,16650,301897,124875.0,7500000.0
2000-10-04,16500,16900,16000,16350,176158,122625.0,7500000.0
2000-10-05,16500,16950,15900,16500,256338,123750.0,7500000.0
2000-10-06,16400,17350,16400,17050,250684,127875.0,7500000.0
2000-10-09,17000,17400,16400,16700,171046,125250.0,7500000.0
2000-10-10,17150,18450,17150,18100,423644,135750.0,7500000.0
2000-10-11,17900,17900,15950,16500,188569,123750.0,7500000.0
2000-10-12,16200,16350,15400,15700,143726,117750.0,7500000.0
2000-10-13,14700,14949,13850,14700,209606,110250.0,7500000.0
2000-10-16,15750,16200,15600,16100,132648,120750.0,7500000.0
2000-10-17,15300,15700,14200,14800,137796,111000.0,7500000.0
2000-10-18,14250,14950,14200,14750,86163,110625.0,7500000.0
2000-10-19,14750,15700,14400,14800,177454,111000.0,7500000.0
2000-10-20,15300,15450,15050,15150,111190,113625.0,7500000.0
2000-10-23,15000,15000,13800,14400,108149,108000.0,7500000.0
2000-10-24,14150,15299,14000,14650,201565,109875.0,7500000.0
2000-10-25,14600,15500,14400,15450,160551,115875.0,7500000.0
2000-10-26,15050,16600,15050,15650,435414,117375.0,7500000.0
2000-10-27,16000,16100,14500,15000,188973,112500.0,7500000.0
2000-10-30,14600,15149,13600,13900,103790,104250.0,7500000.0
2000-10-31,13150,14200,13000,14000,127162,105000.0,7500000.0
2000-11-01,14200,14499,14000,14250,127554,106875.0,7500000.0
2000-11-02,14000,14649,14000,14500,96001,108750.0,7500000.0
2000-11-03,14900,15250,14500,15000,142246,112500.0,7500000.0
2000-11-06,14499,16200,14499,15050,471690,112875.0,7500000.0
2000-11-07,15500,15650,14650,15000,217686,112500.0,7500000.0
2000-11-08,14800,15099,14200,14750,110901,110625.0,7500000.0
2000-11-09,14350,15200,14350,14950,94949,112125.0,7500000.0
2000-11-10,14850,16700,14850,16700,440220,125250.0,7500000.0
2000-11-13,16650,16700,14899,15450,626672,115875.0,7500000.0
2000-11-14,14200,15699,14099,14850,3987077,111375.0,7500000.0
2000-11-15,15600,16200,15050,15500,1467310,116250.0,7500000.0
2000-11-16,15500,15550,14649,14900,505740,111750.0,7500000.0
2000-11-17,14800,15400,14700,15100,361639,113250.0,7500000.0
2000-11-20,14900,16200,14900,15500,728545,116250.0,7500000.0
2000-11-21,15200,15400,14200,14900,429841,111750.0,7500000.0
2000-11-22,14700,14749,13900,13900,367011,104250.0,7500000.0
2000-11-23,13400,13850,12250,12350,626748,92625.0,7500000.0
2000-11-24,12550,12700,11550,12500,362263,93750.0,7500000.0
2000-11-27,12700,13150,12550,13050,355487,97875.0,7500000.0
2000-11-28,13000,13000,12150,12500,304483,93750.0,7500000.0
2000-11-29,12000,13400,11850,12700,426940,95250.0,7500000.0
2000-11-30,12500,12950,11950,12400,248166,93000.0,7500000.0
2000-12-01,12000,12600,11700,12500,210588,93750.0,7500000.0
2000-12-04,12600,12899,12300,12450,278540,93375.0,7500000.0
2000-12-05,12699,12750,12400,12750,133486,95625.0,7500000.0
2000-12-06,13000,13150,12300,12400,304066,93000.0,7500000.0
2000-12-07,12200,12500,12000,12300,128938,92250.0,7500000.0
2000-12-08,12600,12600,12300,12400,129882,93000.0,7500000.0
2000-12-11,12400,12600,12249,12500,179042,93750.0,7500000.0
2000-12-12,12600,13650,12400,13200,420424,99000.0,7500000.0
2000-12-13,13200,14400,13000,13600,714396,102000.0,7500000.0
2000-12-14,13850,14750,13400,14450,789815,108375.0,7500000.0
2000-12-15,14700,14700,13150,13700,316692,102750.0,7500000.0
2000-12-18,13300,13600,13050,13200,185031,99000.0,7500000.0
2000-12-19,12850,13500,11900,12450,272889,93375.0,7500000.0
2000-12-20,12000,12300,11050,11100,222235,83250.0,7500000.0
2000-12-21,10200,10600,9800,9800,369066,73500.0,7500000.0
2000-12-22,10000,10250,8810,9150,465871,68625.0,7500000.0
2000-12-26,9300,9990,9100,9750,346008,73125.0,7500000.0
2001-01-02,8600,10250,8600,9940,414097,74550.0,7500000.0
2001-01-03,9620,10200,9400,9830,364485,73725.0,7500000.0
2001-01-04,10500,11000,10200,11000,724317,82500.0,7500000.0
2001-01-05,10700,11250,10400,10800,415268,81000.0,7500000.0
2001-01-08,10600,11100,10400,10700,383907,80250.0,7500000.0
2001-01-09,10800,11550,10500,11400,573429,85500.0,7500000.0
2001-01-10,11600,12300,10100,10100,669104,75750.0,7500000.0
2001-01-11,10600,11300,10250,11300,576453,84750.0,7500000.0
2001-01-12,11900,12650,11650,12200,870796,91500.0,7500000.0
2001-01-15,12800,13300,12150,12750,878251,95625.0,7500000.0
2001-01-16,12400,12550,11850,12200,581497,91500.0,7500000.0
2001-01-17,12600,13150,11500,12200,894993,91500.0,7500000.0
2001-01-18,11800,12500,11800,11900,328912,89250.0,7500000.0
2001-01-19,11900,12700,11800,12100,628778,90750.0,7500000.0
2001-01-22,12100,13150,12000,12400,759258,93000.0,7500000.0
2001-01-26,12500,12600,11550,11600,316100,87000.0,7500000.0
2001-01-29,11800,12650,11600,12600,578730,94500.0,7500000.0
2001-01-30,12950,14100,12849,14100,513436,105750.0,7500000.0
2001-01-31,15699,15699,13100,14050,1258957,105375.0,7500000.0
2001-02-01,14000,14900,13500,14000,566168,105000.0,7500000.0
2001-02-02,14000,14300,13600,13800,234151,103500.0,7500000.0
2001-02-05,13300,13600,12700,13000,271451,97500.0,7500000.0
2001-02-06,13200,14000,13200,13700,553308,102750.0,7500000.0
2001-02-07,13949,14250,13500,13500,465339,101250.0,7500000.0
2001-02-08,13400,13750,13250,13650,252236,102375.0,7500000.0
2001-02-09,13800,15250,13750,15250,1058435,114375.0,7500000.0
2001-02-12,15700,17000,15500,16200,1526703,121500.0,7500000.0
2001-02-13,16500,16800,15700,16450,797487,123375.0,7500000.0
2001-02-14,16800,17450,16450,17200,830312,129000.0,7500000.0
2001-02-15,17500,18550,16850,17400,965166,130500.0,7500000.0
2001-02-16,17500,17900,16900,17050,422759,127875.0,7500000.0
2001-02-19,17150,17600,16950,17000,367759,127500.0,7500000.0
2001-02-20,17100,19000,17000,18000,1219772,135000.0,7500000.0
2001-02-21,17950,18550,17650,17750,336409,133125.0,7500000.0
2001-02-22,17200,17750,16250,16800,399397,126000.0,7500000.0
2001-02-23,17500,17500,16800,16950,279031,127125.0,7500000.0
2001-02-26,17000,17400,16500,16850,280891,126375.0,7500000.0
2001-02-27,17049,17300,16050,16200,252640,121500.0,7500000.0
2001-02-28,15500,16400,15500,16200,184583,121500.0,7500000.0
2001-03-02,16299,16500,15400,15550,227834,116625.0,7500000.0
2001-03-05,15000,15750,14750,15750,272049,118125.0,7500000.0
2001-03-06,15500,15900,15299,15450,192982,115875.0,7500000.0
2001-03-07,15700,16150,15100,15200,184855,114000.0,7500000.0
2001-03-08,15400,15900,15349,15900,321548,119250.0,7500000.0
2001-03-09,15700,16450,15400,16200,245030,121500.0,7500000.0
2001-03-12,15800,15900,14800,15050,163754,112875.0,7500000.0
2001-03-13,14300,14750,13650,13800,195118,103500.0,7500000.0
2001-03-14,14400,14699,14200,14550,235033,109125.0,7500000.0
2001-03-15,13800,14800,13700,14800,174352,111000.0,7500000.0
2001-03-16,14850,15400,14550,15400,174327,115500.0,7500000.0
2001-03-19,15200,15700,14900,15400,117510,115500.0,7500000.0
2001-03-20,16000,16900,15649,15700,380156,117750.0,7500000.0
2001-03-21,15400,15900,15299,15650,127096,117375.0,7500000.0
2001-03-22,15650,16100,15450,15800,151954,118500.0,7500000.0
2001-03-23,16250,16299,15750,16150,127582,121125.0,7500000.0
2001-03-26,16450,16450,16000,16150,100559,121125.0,7500000.0
2001-03-27,16200,16200,15600,15650,94100,117375.0,7500000.0
2001-03-28,15699,16300,15650,15650,191543,117375.0,7500000.0
2001-03-29,15900,16200,15650,16050,158097,120375.0,7500000.0
2001-03-30,16050,16700,15700,16700,328594,125250.0,7500000.0
2001-04-02,16700,17650,16600,17100,583283,128250.0,7500000.0
2001-04-03,17000,17700,16350,17200,457202,129000.0,7500000.0
2001-04-04,17100,17650,16099,16250,311665,121875.0,7500000.0
2001-04-06,16900,17300,16150,16250,337310,121875.0,7500000.0
2001-04-09,16000,16400,15850,15950,127153,119625.0,7500000.0
2001-04-10,16000,16400,15849,16100,188252,120750.0,7500000.0
2001-04-11,16500,16750,16300,16500,183279,123750.0,7500000.0
2001-04-12,16700,17650,16600,17000,309479,127500.0,7500000.0
2001-04-13,17050,17400,16750,17000,138352,127500.0,7500000.0
2001-04-16,17000,17650,17000,17200,187323,129000.0,7500000.0
2001-04-17,17200,18050,17200,17700,442308,132750.0,7500000.0
2001-04-18,18000,18050,17450,17800,576337,133500.0,7500000.0
2001-04-19,18600,19300,17850,18050,698100,135375.0,7500000.0
2001-04-20,18050,18250,17550,17700,217840,132750.0,7500000.0
2001-04-23,17400,18100,17400,17850,279052,133875.0,7500000.0
2001-04-24,17300,17550,17100,17200,217847,129000.0,7500000.0
2001-04-25,17000,18150,17000,18000,320178,135000.0,7500000.0
2001-04-26,18150,18350,17000,17650,1304723,132375.0,7500000.0
2001-04-27,18100,18300,17150,17600,193225,132000.0,7500000.0
2001-04-30,17900,18600,17700,18150,558836,136125.0,7500000.0
2001-05-02,18450,18800,18150,18300,375216,137250.0,7500000.0
2001-05-03,18400,19700,17950,19150,799853,143625.0,7500000.0
2001-05-04,19050,19500,18950,19200,265508,144000.0,7500000.0
2001-05-07,19500,20300,19000,19850,502945,148875.0,7500000.0
2001-05-08,20000,20900,19950,20150,526031,151125.0,7500000.0
2001-05-09,22000,22550,20500,20500,1271565,153750.0,7500000.0
2001-05-10,20000,21250,19750,21100,488679,158250.0,7500000.0
2001-05-11,21500,23150,21100,22800,967479,171000.0,7500000.0
2001-05-14,22500,23450,22050,22400,489558,168000.0,7500000.0
2001-05-15,23450,23450,21500,21800,276522,163500.0,7500000.0
2001-05-16,21350,21900,20850,20900,349079,156750.0,7500000.0
2001-05-17,21300,22200,20950,22200,599860,166500.0,7500000.0
2001-05-18,22200,22200,21350,22200,252268,166500.0,7500000.0
2001-05-21,22500,23300,22400,22900,621163,171750.0,7500000.0
2001-05-22,23500,24199,22650,22900,364759,171750.0,7500000.0
2001-05-23,22800,23450,22700,22700,250021,170250.0,7500000.0
2001-05-24,22500,23800,22100,23400,414140,175500.0,7500000.0
2001-05-25,23500,24300,23300,24000,258763,180000.0,7500000.0
2001-05-28,24000,25400,23599,24950,398248,187125.0,7500000.0
2001-05-29,25000,26350,24500,25500,467521,191250.0,7500000.0
2001-05-30,25500,26500,25400,26000,325379,195000.0,7500000.0
2001-05-31,25500,28400,25500,27500,410771,206250.0,7500000.0
2001-06-01,27899,29800,26600,27800,1151671,208500.0,7500000.0
2001-06-04,28000,28300,26999,27500,308259,206250.0,7500000.0
2001-06-05,27399,27399,24800,25300,570917,189750.0,7500000.0
2001-06-07,24500,25750,24200,24550,287354,184125.0,7500000.0
2001-06-08,24800,26200,24449,26000,690912,195000.0,7500000.0
2001-06-11,26200,26400,25400,26200,196989,196500.0,7500000.0
2001-06-12,25800,27300,25800,26400,261995,198000.0,7500000.0
2001-06-13,27000,27250,26350,27200,223363,204000.0,7500000.0
2001-06-14,26900,29300,26900,28900,432814,216750.0,7500000.0
2001-06-15,28600,28800,27500,27750,328611,208125.0,7500000.0
2001-06-18,27799,28200,26999,27100,172544,203250.0,7500000.0
2001-06-19,26500,27650,26350,27200,361301,204000.0,7500000.0
2001-06-20,27000,27650,26099,26600,404278,199500.0,7500000.0
2001-06-21,26950,27200,25400,25600,493833,192000.0,7500000.0
2001-06-22,26550,28150,26200,27700,697231,207750.0,7500000.0
2001-06-25,28600,29499,28100,28600,549945,214500.0,7500000.0
2001-06-26,28950,30100,28199,29300,631813,219750.0,7500000.0
2001-06-27,29300,29600,28100,28600,229163,214500.0,7500000.0
2001-06-28,28300,31100,28200,30400,561176,228000.0,7500000.0
2001-06-29,31500,32500,30600,32000,607737,240000.0,7500000.0
2001-07-02,32500,32500,31100,31700,226009,237750.0,7500000.0
2001-07-03,31700,32000,29000,30000,424437,225000.0,7500000.0
2001-07-04,29250,29500,27700,28000,399686,210000.0,7500000.0
2001-07-05,28198,28950,28000,28100,284486,210750.0,7500000.0
2001-07-06,27800,29100,27500,28550,389353,214125.0,7500000.0
2001-07-09,28399,28500,25800,25950,311588,194625.0,7500000.0
2001-07-10,26100,26600,25350,25650,194044,192375.0,7500000.0
2001-07-11,25000,25300,22600,24000,1112482,180000.0,7500000.0
2001-07-12,24300,26800,24300,26800,542672,201000.0,7500000.0
2001-07-13,27650,27650,25300,25750,450325,193125.0,7500000.0
2001-07-16,25700,26550,24950,25750,260881,193125.0,7500000.0
2001-07-18,25750,26349,24500,24500,171931,183750.0,7500000.0
2001-07-19,23000,24300,23000,23750,293057,178125.0,7500000.0
2001-07-20,24000,25000,23600,23800,501934,178500.0,7500000.0
2001-07-23,24000,24000,21700,21850,357393,163875.0,7500000.0
2001-07-24,21200,21600,19950,21200,450184,159000.0,7500000.0
2001-07-25,20650,22150,20650,21500,302809,161250.0,7500000.0
2001-07-26,22000,22250,21650,22050,166640,165375.0,7500000.0
2001-07-27,22500,23150,22300,22750,159554,170625.0,7500000.0
2001-07-30,23450,24149,23100,23600,268167,177000.0,7500000.0
2001-07-31,23600,24299,22699,23800,186840,178500.0,7500000.0
2001-08-01,24000,24650,23600,24500,252531,183750.0,7500000.0
2001-08-02,24800,26300,24050,25800,422428,193500.0,7500000.0
2001-08-03,26000,27200,26000,26700,368406,200250.0,7500000.0
2001-08-06,26200,27150,26200,26500,154053,198750.0,7500000.0
2001-08-07,26000,26400,24800,25200,293580,189000.0,7500000.0
2001-08-08,25200,25800,25100,25100,119991,188250.0,7500000.0
2001-08-09,24100,24900,24100,24350,109760,182625.0,7500000.0
2001-08-10,24500,25300,24500,25250,208287,189375.0,7500000.0
2001-08-13,25700,27150,25400,26200,443640,196500.0,7500000.0
2001-08-14,26900,26900,25600,26150,181089,196125.0,7500000.0
2001-08-16,25600,25699,25000,25000,216414,187500.0,7500000.0
2001-08-17,25049,25600,24350,24400,191320,183000.0,7500000.0
2001-08-20,24000,24200,23200,23250,210855,174375.0,7500000.0
2001-08-21,23499,24000,23099,23800,159899,178500.0,7500000.0
2001-08-22,23200,24250,23200,24200,129861,181500.0,7500000.0
2001-08-23,24599,24599,23799,23900,115314,179250.0,7500000.0
2001-08-24,23900,24199,23700,23700,70958,177750.0,7500000.0
2001-08-27,24000,24400,23850,24000,116467,180000.0,7500000.0
2001-08-28,23950,24399,23700,24050,73300,180375.0,7500000.0
2001-08-29,23600,23700,23150,23200,97866,174000.0,7500000.0
2001-08-30,22500,23200,22100,22900,81701,171750.0,7500000.0
2001-08-31,22250,22400,21600,22000,115941,165000.0,7500000.0
2001-09-03,21050,22200,21050,21800,82573,163500.0,7500000.0
2001-09-04,22000,24350,22000,24000,387735,180000.0,7500000.0
2001-09-05,23299,24150,23000,23400,99908,175500.0,7500000.0
2001-09-06,23600,23900,23100,23250,60062,174375.0,7500000.0
2001-09-07,23000,24200,22549,23850,140284,178875.0,7500000.0
2001-09-10,23500,24400,23500,24150,96797,181125.0,7500000.0
2001-09-11,24300,24950,23650,23700,142402,177750.0,7500000.0
2001-09-12,20900,21800,20900,21000,311958,157500.0,7500000.0
2001-09-13,21700,22600,21400,21700,183013,162750.0,7500000.0
2001-09-14,21700,21800,20000,20500,181612,153750.0,7500000.0
2001-09-17,20500,20900,19100,20000,128441,150000.0,7500000.0
2001-09-18,20700,21850,20700,21300,163704,159750.0,7500000.0
2001-09-19,21800,21800,20900,21100,84400,158250.0,7500000.0
2001-09-20,21500,21500,20200,20600,67711,154500.0,7500000.0
2001-09-21,19900,20950,19700,20750,83390,155625.0,7500000.0
2001-09-24,20150,20800,20000,20600,138970,154500.0,7500000.0
2001-09-25,21500,21550,20000,20500,140129,153750.0,7500000.0
2001-09-26,20700,20850,20300,20750,82402,155625.0,7500000.0
2001-09-27,20500,20800,20350,20500,56238,153750.0,7500000.0
2001-09-28,20600,21800,20600,21000,193932,157500.0,7500000.0
2001-10-04,22400,22800,21700,22500,192076,168750.0,7500000.0
2001-10-05,22300,22900,21800,22700,158993,170250.0,7500000.0
2001-10-08,22200,22850,22000,22000,76837,165000.0,7500000.0
2001-10-09,22300,22750,22200,22600,99514,169500.0,7500000.0
2001-10-10,22150,22550,21950,22100,127682,165750.0,7500000.0
2001-10-11,22350,22900,22200,22200,120597,166500.0,7500000.0
2001-10-12,22500,22850,21750,22500,280527,168750.0,7500000.0
2001-10-15,22150,22650,21950,22000,152075,165000.0,7500000.0
2001-10-16,22000,23250,21800,22750,360743,170625.0,7500000.0
2001-10-17,23000,23350,22600,22900,190284,171750.0,7500000.0
2001-10-18,22600,24950,22400,24450,534715,183375.0,7500000.0
2001-10-19,25450,25900,24000,24100,569274,180750.0,7500000.0
2001-10-22,24300,24750,23900,24300,253379,182250.0,7500000.0
2001-10-23,24500,24800,23900,24500,399642,183750.0,7500000.0
2001-10-24,24250,25300,24250,25150,268279,188625.0,7500000.0
2001-10-25,25799,26599,25300,25700,470137,192750.0,7500000.0
2001-10-26,25700,26300,25400,25700,189560,192750.0,7500000.0
2001-10-29,25400,25800,24800,24800,126885,186000.0,7500000.0
2001-10-30,24000,24199,23300,23700,245467,177750.0,7500000.0
2001-10-31,23200,24000,22900,24000,241265,180000.0,7500000.0
2001-11-01,24200,24750,23800,24600,203289,184500.0,7500000.0
2001-11-02,25250,25250,24850,25000,197863,187500.0,7500000.0
2001-11-05,25000,25200,24600,25000,56997,187500.0,7500000.0
2001-11-06,25400,25700,24200,24750,139424,185625.0,7500000.0
2001-11-07,24650,25300,24300,25200,89893,189000.0,7500000.0
2001-11-08,25300,25300,24700,24800,122173,186000.0,7500000.0
2001-11-09,24500,25000,24250,24300,68476,182250.0,7500000.0
2001-11-12,24050,25700,23900,25200,217945,189000.0,7500000.0
2001-11-13,25000,25400,24600,25400,128043,190500.0,7500000.0
2001-11-14,25400,25800,25300,25450,160912,190875.0,7500000.0
2001-11-15,25450,25450,24400,24800,79937,186000.0,7500000.0
2001-11-16,24800,24800,24300,24500,75698,183750.0,7500000.0
2001-11-19,24300,24950,24300,24950,104604,187125.0,7500000.0
2001-11-20,25100,25399,24700,25100,127450,188250.0,7500000.0
2001-11-21,24900,26850,24900,26650,434052,199875.0,7500000.0
2001-11-22,27000,27850,26100,27450,541481,205875.0,7500000.0
2001-11-23,27499,28650,27000,27800,455732,208500.0,7500000.0
2001-11-26,28400,28750,27400,27500,335440,206250.0,7500000.0
2001-11-27,27500,28500,27050,27050,373156,202875.0,7500000.0
2001-11-28,27300,27599,25600,25650,266400,192375.0,7500000.0
