한솔테크닉스(004710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-07-19,38109,43091,37219,43091,4568110,207832.0,25283676.0
1999-07-20,44138,46600,41464,41937,5746320,202269.0,25283676.0
1999-07-21,41936,44505,39838,43773,3103190,211119.0,25283676.0
1999-07-22,46130,50325,44295,50326,5664870,242723.0,25283676.0
1999-07-23,52422,56352,42776,45608,7433100,219968.0,25283676.0
1999-07-26,47860,49748,41989,46237,4521570,223002.0,25283676.0
1999-07-27,48752,49225,43876,45608,2930310,219968.0,25283676.0
1999-07-28,46181,51739,45657,46394,4709370,224829.0,25404383.0
1999-07-29,50324,50795,47282,48754,2952510,236261.0,25404383.0
1999-07-30,48227,48490,42723,44560,2523320,215937.0,25404383.0
1999-08-02,44556,47125,42512,44716,2393360,216699.0,25404383.0
1999-08-03,45343,47073,43562,44035,1804220,213397.0,25404383.0
1999-08-04,43247,44295,42723,42986,1433140,208316.0,25404383.0
1999-08-05,42460,42670,38108,38373,1464860,185960.0,25404383.0
1999-08-06,37795,39787,37533,39317,1107330,190533.0,25404383.0
1999-08-09,38791,40364,38268,38846,1032020,190257.0,25675653.0
1999-08-10,37742,38685,35697,36959,1571580,181013.0,25675653.0
1999-08-11,36955,37218,35645,35701,1106200,174851.0,25675653.0
1999-08-12,35645,38162,35645,36591,1289390,179216.0,25675653.0
1999-08-13,35802,36694,34072,36696,921860,179730.0,25675653.0
1999-08-16,36694,37585,35121,35124,576430,172027.0,25675653.0
1999-08-17,34071,35015,30455,30929,1321400,151486.0,25675653.0
1999-08-18,28987,30351,26839,29096,887100,142500.0,25675653.0
1999-08-19,29354,32447,28830,31400,1133190,153797.0,25675653.0
1999-08-20,30927,31345,29878,30667,569150,150203.0,25675653.0
1999-08-23,30926,31923,30716,31454,697750,154054.0,25675653.0
1999-08-24,31766,33810,31031,32817,1217330,160730.0,25675653.0
1999-08-25,32921,33286,32238,32293,646640,158162.0,25675653.0
1999-08-26,32080,33284,31450,31559,782510,154567.0,25675653.0
1999-08-27,30979,31450,29827,30406,761860,148919.0,25675653.0
1999-08-30,30403,31976,30403,30457,556940,149176.0,25675653.0
1999-08-31,30351,30403,29250,30038,510770,147121.0,25675653.0
1999-09-01,30666,31084,28358,28728,669410,140703.0,25675653.0
1999-09-02,26314,28411,26314,27260,507890,133513.0,25675653.0
1999-09-03,27258,28726,26261,28308,702310,138649.0,25675653.0
1999-09-06,28830,32552,28830,32556,829940,159446.0,25675653.0
1999-09-07,35383,35487,32761,33394,2089960,163554.0,25675653.0
1999-09-08,33549,33549,30403,31874,813440,156108.0,25675653.0
1999-09-09,31975,36639,31975,36643,2801780,179473.0,25675653.0
1999-09-10,40257,41306,37322,37745,5862860,184865.0,25675653.0
1999-09-13,38790,39054,35750,38269,2153850,187432.0,25675653.0
1999-09-14,38266,38266,36169,36224,1502860,177419.0,25675653.0
1999-09-15,34860,39210,34598,36172,4196460,177162.0,25675653.0
1999-09-16,40855,40914,37059,38840,2337460,168176.0,25675653.0
1999-09-17,38246,38246,36347,36468,934200,157905.0,25675653.0
1999-09-20,35932,41209,35932,39848,2116900,172540.0,25675653.0
1999-09-21,39727,41446,38007,39374,1212270,170486.0,25675653.0
1999-09-22,39370,39727,37058,37654,1336340,163040.0,25675653.0
1999-09-27,37652,37652,35755,35994,746190,155851.0,25675653.0
1999-09-28,35695,37711,35399,36052,754420,156108.0,25675653.0
1999-09-29,35575,36466,34450,34451,699300,149176.0,25675653.0
1999-09-30,33857,35576,33325,33444,663020,144811.0,25675653.0
1999-10-01,32730,34035,30359,32021,671320,138649.0,25675653.0
1999-10-04,31424,33205,31424,31666,584240,137493.0,25747761.0
1999-10-05,31721,32907,30238,30301,645940,131571.0,25747761.0
1999-10-06,30298,32019,29647,32021,809410,139038.0,25747761.0
1999-10-07,32079,36467,31544,34690,1879720,150624.0,25747761.0
1999-10-08,34451,37593,33383,34749,1849950,150882.0,25747761.0
1999-10-11,35814,36762,34509,34986,1022700,151912.0,25747761.0
1999-10-12,34982,36109,34390,35579,1083720,154487.0,25747761.0
1999-10-13,36169,38421,35575,36350,3425690,157834.0,25747761.0
1999-10-14,36347,37651,35161,35579,1670950,154487.0,25747761.0
1999-10-15,35576,36467,34213,34690,1565880,150624.0,25747761.0
1999-10-18,34686,36109,32611,32614,2818410,141613.0,25747761.0
1999-10-19,33206,34094,31721,31725,1564650,137751.0,25747761.0
1999-10-20,32611,33737,32136,32496,2087340,141098.0,25747761.0
1999-10-21,32612,33383,31248,31309,1290320,135948.0,25747761.0
1999-10-22,31010,32254,30655,31429,897050,136463.0,25747761.0
1999-10-25,31188,31365,29943,30420,941480,132086.0,25747761.0
1999-10-26,29767,31426,29232,29709,1240130,128996.0,25747761.0
1999-10-27,29767,31366,29648,29709,1724310,128996.0,25747761.0
1999-10-28,29705,30476,29408,30242,975580,131314.0,25747761.0
1999-10-29,30238,31365,29943,29945,1560990,130026.0,25747761.0
1999-11-01,30239,31485,30003,30776,1853740,133631.0,25747761.0
1999-11-02,30832,31721,30120,31725,1814340,137751.0,25747761.0
1999-11-03,32019,32256,30714,30836,1525230,133888.0,25747761.0
1999-11-04,31366,33442,30952,32317,3660690,140325.0,25747761.0
1999-11-05,32908,33621,31662,32080,2481370,139295.0,25747761.0
1999-11-08,33263,34390,32611,32614,2743100,141613.0,25747761.0
1999-11-09,32672,33502,32019,32199,1443790,139810.0,25747761.0
1999-11-10,32730,33086,31129,31309,2069690,135948.0,25747761.0
1999-11-11,31130,35992,31012,35994,9585070,156289.0,25747761.0
1999-11-12,37476,40856,34391,34392,8167850,149337.0,25747761.0
1999-11-15,35695,36170,32375,34630,3755040,251699.0,43099115.0
1999-11-16,34628,39787,33501,39789,9221860,289195.0,43099115.0
1999-11-17,42039,45715,41564,44177,17001980,321088.0,43099115.0
1999-11-18,43581,44115,37592,37773,6872030,274541.0,43099115.0
1999-11-19,38662,39253,36229,37062,4300820,269369.0,43099115.0
1999-11-22,37712,39372,36526,37535,3074300,272817.0,43099115.0
1999-11-23,35575,37948,35575,35757,2373640,259888.0,43099115.0
1999-11-24,35575,38542,34569,38543,4164780,280144.0,43099115.0
1999-11-25,38957,42100,37356,39138,8562810,284454.0,43099115.0
1999-11-26,38541,40615,35575,35579,3635790,258595.0,43099115.0
1999-11-29,35575,37829,33797,36646,3155680,266353.0,43099115.0
1999-11-30,35873,37652,35340,35639,3736890,259032.0,43100089.0
1999-12-01,36170,37237,34391,34392,2448290,249981.0,43100089.0
1999-12-02,34450,35280,32315,32317,2569310,234895.0,43100089.0
1999-12-03,32553,33383,31960,32258,1948050,234464.0,43100089.0
1999-12-06,32254,35279,32254,32614,3137760,237050.0,43100089.0
1999-12-07,32612,33501,29766,30065,1922150,218517.0,43100089.0
1999-12-08,29648,30062,27573,28286,2104230,205587.0,43100089.0
1999-12-09,27868,30832,27868,30539,3199570,221965.0,43100089.0
1999-12-10,30833,32019,29943,30776,3228450,223689.0,43100089.0
1999-12-13,30832,31307,29706,29826,2023920,216793.0,43100089.0
1999-12-14,29943,33086,29349,31547,4502870,229292.0,43100089.0
1999-12-15,31425,31543,29261,29648,2483100,215500.0,43100089.0
1999-12-16,29349,30119,28461,28997,2079840,210759.0,43100089.0
1999-12-17,28935,29528,27483,27870,1762370,202570.0,43100089.0
1999-12-20,27039,29054,27039,27278,1977120,198260.0,43100089.0
1999-12-21,27275,27573,24607,24727,1809030,179727.0,43100089.0
1999-12-22,23775,26087,23420,24877,2914240,180805.0,43100089.0
1999-12-23,24872,28105,24192,25854,4263350,187916.0,43100089.0
1999-12-24,27038,27748,24902,24906,1657610,181020.0,43100089.0
1999-12-27,24903,25319,23421,23690,1359410,172185.0,43100089.0
1999-12-28,23215,23481,20812,22058,1521500,160332.0,43100089.0
2000-01-04,21344,25346,21344,25351,1162580,184253.0,43100089.0
2000-01-05,23717,25318,22887,24786,1005960,180158.0,43100089.0
2000-01-06,25437,25497,23303,23481,998760,170676.0,43100089.0
2000-01-07,23511,24043,22650,23303,901870,169383.0,43100089.0
2000-01-10,23716,24310,23123,23719,1348310,172400.0,43100089.0
2000-01-11,23717,25911,23005,24076,2464650,174986.0,43100089.0
2000-01-12,23835,24013,23125,23127,1029690,168090.0,43100089.0
2000-01-13,23302,24903,23302,23780,2678280,172831.0,43100089.0
2000-01-14,24370,24606,22946,23185,1267130,168521.0,43100089.0
2000-01-17,23421,23776,22946,23780,1271240,172831.0,43100089.0
2000-01-18,23834,24012,23241,23719,1144500,172400.0,43100089.0
2000-01-19,23657,26979,23480,24312,7998220,176710.0,43100089.0
2000-01-20,24281,25199,21672,23008,2776120,167228.0,43100089.0
2000-01-21,23005,24311,21938,22534,2432270,163780.0,43100089.0
2000-01-24,22234,23123,22234,22295,1844430,162056.0,43100089.0
2000-01-25,21968,21996,21403,21526,1221910,156453.0,43100089.0
2000-01-26,21225,21908,21107,21526,1020330,156453.0,43100089.0
2000-01-27,21938,22708,21345,22534,1371600,163780.0,43100089.0
2000-01-28,22708,23184,22294,22742,1478200,165289.0,43100089.0
2000-01-31,22649,22649,22235,22623,1002050,164427.0,43100089.0
2000-02-01,23065,24904,22887,23393,7915270,170030.0,43100089.0
2000-02-02,24251,24546,23241,23839,2776820,173262.0,43100089.0
2000-02-03,24428,25198,23864,24015,2348780,174555.0,43100089.0
2000-02-07,23716,25169,23716,24906,2677800,181020.0,43100089.0
2000-02-08,24903,25436,24311,25321,2082840,184037.0,43100089.0
2000-02-09,25318,26800,23834,23957,6857970,174124.0,43100089.0
2000-02-10,23422,23422,22236,22236,1928620,161625.0,43100089.0
2000-02-11,22027,22709,21701,22058,1487960,160332.0,43100089.0
2000-02-14,22117,22236,20812,20843,1315040,151497.0,43100089.0
2000-02-15,20900,21344,20811,21169,990970,153867.0,43100089.0
2000-02-16,21227,22650,20901,21881,2569550,159039.0,43100089.0
2000-02-17,21432,21878,21078,21615,1320570,157100.0,43100089.0
2000-02-18,21433,23481,20901,23481,3076490,170676.0,43100089.0
2000-02-21,22886,24488,22530,22534,4488430,163780.0,43100089.0
2000-02-22,21968,23302,21611,21615,3866110,157100.0,43100089.0
2000-02-23,22116,24844,21818,24846,3872590,180589.0,43100089.0
2000-02-24,24962,26030,22650,23096,4169900,167875.0,43100089.0
2000-02-25,22649,23005,21701,21822,2808230,158608.0,43100089.0
2000-02-28,21463,22472,21404,21644,3158100,157315.0,43100089.0
2000-02-29,21939,22531,21493,21881,1858250,159039.0,43100089.0
2000-03-02,21641,24606,21641,23690,6450810,172185.0,43100089.0
2000-03-03,23984,25139,22235,22830,5230560,165935.0,43100089.0
2000-03-06,23599,24577,22620,23541,3420460,171107.0,43100089.0
2000-03-07,23124,24251,22827,22950,1726910,166797.0,43100089.0
2000-03-08,22828,23422,22531,23422,1878710,170245.0,43100089.0
2000-03-09,23124,23687,22827,23185,2246030,168521.0,43100089.0
2000-03-10,23716,24813,23123,23719,4574930,172400.0,43100089.0
2000-03-13,25198,27273,24487,26388,7473500,191795.0,43100089.0
2000-03-14,26060,26060,23807,24460,2724860,177788.0,43100089.0
2000-03-15,23953,24370,23331,23987,2728990,174340.0,43100089.0
2000-03-16,23953,24370,23184,23362,1957700,169814.0,43100089.0
2000-03-17,23480,23834,22887,23541,1849980,171107.0,43100089.0
2000-03-20,22827,23538,22530,22534,2479810,163780.0,43100089.0
2000-03-21,22530,22737,21641,21644,1706940,157315.0,43100089.0
2000-03-22,21700,22767,21344,22415,3157280,162918.0,43100089.0
2000-03-23,21997,22352,21345,21585,1882160,156884.0,43100089.0
2000-03-24,21641,22057,21373,21466,3339430,156022.0,43100089.0
2000-03-27,21522,21582,21167,21407,1676640,155591.0,43100089.0
2000-03-28,21404,22176,21226,21318,2373590,154945.0,43100089.0
2000-03-29,21226,21582,20930,21585,2694550,156884.0,43100089.0
2000-03-30,21463,21463,20188,20872,1574010,151712.0,43100089.0
2000-03-31,19862,20633,19862,19924,1057890,144816.0,43100089.0
2000-04-03,19300,19566,17877,17968,1501800,130593.0,43100089.0
2000-04-04,16898,17787,16363,16662,1212090,121111.0,43100089.0
2000-04-06,16603,17254,16009,16634,1957970,120896.0,43100089.0
2000-04-07,16274,17016,16274,16959,1395560,123266.0,43100089.0
2000-04-10,16690,17786,16690,17256,1311460,125421.0,43100089.0
2000-04-11,17135,17194,16068,16071,1001650,116801.0,43100089.0
2000-04-12,16423,16453,15919,16040,1487200,116586.0,43100089.0
2000-04-14,15445,15860,14467,14468,2529510,105164.0,43100089.0
2000-04-17,12450,13012,12301,12305,2429290,89433.0,43100089.0
2000-04-18,12895,13222,12301,12453,2002630,90510.0,43100089.0
2000-04-19,12568,14169,12568,13223,3162600,96113.0,43100089.0
2000-04-20,13162,13902,12865,13461,1419570,97837.0,43100089.0
2000-04-21,14110,15415,13694,15121,3411980,109905.0,43100089.0
2000-04-24,15118,15118,13724,13936,1297950,101285.0,43100089.0
2000-04-25,13694,14109,13339,13638,784600,99130.0,43100089.0
2000-04-26,14229,14229,12777,12867,981200,93527.0,43100089.0
2000-04-27,12450,12864,12212,12274,873930,89217.0,43100089.0
2000-04-28,12391,12865,12391,12541,693120,91157.0,43100089.0
2000-05-02,12568,13043,12568,12779,650980,92881.0,43100089.0
2000-05-03,12716,12865,12480,12512,675060,90941.0,43100089.0
2000-05-04,12509,12777,12451,12512,622800,90941.0,43100089.0
2000-05-08,12627,12686,12332,12363,931170,89864.0,43100089.0
2000-05-09,12480,13517,12243,12957,1687290,94174.0,43100089.0
2000-05-10,13517,13517,12539,12867,707670,93527.0,43100089.0
2000-05-12,12747,13340,12332,12809,1423340,93096.0,43100089.0
2000-05-15,12509,13874,11886,13253,2946410,96329.0,43100089.0
2000-05-16,14051,14230,12747,12927,1829420,93958.0,43100089.0
2000-05-17,13043,13221,10996,11148,1381720,81028.0,43100089.0
2000-05-18,11145,11145,9781,9903,1097020,71977.0,43100089.0
2000-05-19,9188,10196,8952,9785,1013830,71115.0,43100089.0
2000-05-22,9248,9604,8329,8332,1123830,60556.0,43100089.0
2000-05-23,7737,8210,7648,7886,1351430,57323.0,43100089.0
2000-05-24,8002,8952,7676,8362,1637810,60771.0,43100089.0
2000-05-25,8654,9603,8594,9606,1765810,69822.0,43100089.0
2000-05-26,9368,9782,8241,8242,1678020,59909.0,43100089.0
2000-05-29,7885,9219,7737,8895,1067930,64650.0,43100089.0
2000-05-30,9367,9722,9248,9517,1012650,69176.0,43100089.0
2000-05-31,10050,10612,9812,10258,1294660,74563.0,43100089.0
2000-06-01,10256,10256,9514,9606,1183180,69822.0,43100089.0
2000-06-02,10078,10316,9573,9754,1170560,70900.0,43100089.0
2000-06-05,10018,11027,9959,11029,2138720,80166.0,43100089.0
2000-06-07,11086,12656,11027,12660,2613940,92019.0,43100089.0
2000-06-08,12687,13517,12155,12957,3441770,94174.0,43100089.0
2000-06-09,13310,13310,12183,12274,1913010,89217.0,43100089.0
2000-06-12,12865,13517,12509,12867,2495560,93527.0,43100089.0
2000-06-13,12301,12747,11561,11622,1342960,84476.0,43100089.0
2000-06-14,11739,12124,11028,11089,1024780,80597.0,43100089.0
2000-06-15,11145,12746,10730,10970,2780920,79735.0,43100089.0
2000-06-16,11916,11975,10967,11118,1363290,80813.0,43100089.0
2000-06-19,11147,11532,10732,10733,972470,78011.0,43100089.0
2000-06-20,10731,11116,10167,10674,1030070,77580.0,43100089.0
2000-06-21,10671,11442,10435,10674,1785060,77580.0,43100089.0
2000-06-22,10908,10968,10375,10496,1133000,76287.0,43100089.0
2000-06-23,10375,10583,10167,10229,772290,74348.0,43100089.0
2000-06-26,10167,10347,10167,10258,622140,74563.0,43100089.0
2000-06-27,10435,10582,10316,10496,980270,76287.0,43100089.0
2000-06-28,10671,10732,10375,10407,1002040,75641.0,43100089.0
2000-06-29,10640,10730,10107,10199,1090780,74132.0,43100089.0
2000-06-30,10257,10404,10138,10288,644000,74779.0,43100089.0
2000-07-03,10435,11412,10286,11208,2301020,81459.0,43100089.0
2000-07-04,11620,12865,10997,12867,5233650,93527.0,43100089.0
2000-07-05,13043,13754,11619,12393,6049750,90079.0,43100089.0
2000-07-06,12746,14228,12597,13638,8707040,99130.0,43100089.0
2000-07-07,13635,14526,13132,13461,4061050,97837.0,43100089.0
2000-07-10,13932,14585,13694,14172,4115540,103009.0,43100089.0
2000-07-11,14169,14229,13103,13164,3019890,95682.0,43100089.0
2000-07-12,13222,13339,12480,12720,1853360,92450.0,43100089.0
2000-07-13,12746,12984,12391,12512,1530590,90941.0,43100089.0
2000-07-14,12864,13458,12450,12690,1976800,92234.0,43100089.0
2000-07-18,12451,12687,11768,11919,1218560,86631.0,43100089.0
2000-07-19,11441,11680,10968,11208,1063050,81459.0,43100089.0
2000-07-20,10849,11088,10583,10792,1065480,78442.0,43100089.0
2000-07-21,11382,11532,10938,11385,1033230,82752.0,43100089.0
2000-07-24,11087,12332,10789,11266,2488160,81890.0,43100089.0
2000-07-25,11381,11767,10967,11148,950150,81028.0,43100089.0
2000-07-26,11205,11441,11027,11208,929650,81459.0,43100089.0
2000-07-27,11205,11738,11027,11060,1417380,80382.0,43100089.0
2000-07-28,11087,11264,10463,10674,1164220,77580.0,43100089.0
2000-07-31,10404,10731,10316,10496,647540,76287.0,43100089.0
2000-08-01,10671,10969,10553,10822,1131050,78658.0,43100089.0
2000-08-02,10583,11088,10553,10822,1120920,78658.0,43100089.0
2000-08-03,10849,10998,10701,10822,955880,78658.0,43100089.0
2000-08-04,10968,10968,10552,10643,653170,77365.0,43100089.0
2000-08-07,10493,10610,10166,10199,664330,74132.0,43100089.0
2000-08-08,10196,10435,9960,10051,626700,73055.0,43100089.0
2000-08-09,10108,10612,10078,10407,940790,75641.0,43100089.0
2000-08-10,10258,10553,10167,10436,497930,75856.0,43100089.0
2000-08-11,10463,10968,10316,10674,1043180,77580.0,43100089.0
2000-08-14,10789,11501,10759,11208,1083570,81459.0,43100089.0
2000-08-16,11562,12273,11116,12066,3174690,87709.0,43100089.0
2000-08-17,12034,12065,11353,11414,1409080,82968.0,43100089.0
2000-08-18,11264,11739,11175,11385,959690,82752.0,43100089.0
2000-08-21,11146,11382,10849,10882,660560,79089.0,43100089.0
2000-08-22,10759,11381,10759,11060,867070,80382.0,43100089.0
2000-08-23,11028,11116,10611,10643,619450,77365.0,43100089.0
2000-08-24,10671,10908,10346,10555,603970,76718.0,43100089.0
2000-08-25,10671,10969,10494,10733,655480,78011.0,43100089.0
2000-08-28,10553,10820,10553,10792,515870,78442.0,43100089.0
2000-08-29,10849,10938,10671,10674,461980,77580.0,43100089.0
2000-08-30,10761,10879,10612,10733,396150,78011.0,43100089.0
2000-08-31,10789,10848,10316,10377,630570,75425.0,43100089.0
2000-09-01,10611,10968,10435,10674,1303470,77580.0,43100089.0
