삼화왕관(004450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-18,16207,16313,15050,15050,6880,35621.0,2490970.0
1999-03-19,15313,15892,15103,15576,6240,36866.0,2490970.0
1999-03-22,15259,15576,15259,15261,6980,36119.0,2490970.0
1999-03-23,15208,15682,15155,15208,10050,35995.0,2490970.0
1999-03-24,15366,15787,15156,15629,8990,36991.0,2490970.0
1999-03-25,15260,15682,15260,15313,5870,36244.0,2490970.0
1999-03-26,15259,15576,15049,15261,7800,36119.0,2490970.0
1999-03-29,14944,15418,14944,15103,6510,35745.0,2490970.0
1999-03-30,15154,15576,15154,15524,12960,36742.0,2490970.0
1999-03-31,15524,15786,15365,15682,11670,37115.0,2490970.0
1999-04-01,15997,17366,15997,16313,52760,38610.0,2490970.0
1999-04-02,16734,16734,15787,15997,16750,37863.0,2490970.0
1999-04-06,15892,16524,15787,16418,14250,38859.0,2490970.0
1999-04-07,16524,16734,16419,16471,20460,38984.0,2490970.0
1999-04-08,16261,17049,16207,16839,25600,39856.0,2490970.0
1999-04-09,16840,16840,16314,16471,14790,38984.0,2490970.0
1999-04-12,16576,16839,16102,16629,21770,39357.0,2490970.0
1999-04-13,16839,17260,16629,16839,23840,39856.0,2490970.0
1999-04-14,16734,17576,16734,17260,32080,40852.0,2490970.0
1999-04-15,17419,17681,16734,17260,37210,40852.0,2490970.0
1999-04-16,17366,17576,16629,16839,12970,39856.0,2490970.0
1999-04-19,16839,16839,16313,16524,19570,39108.0,2490970.0
1999-04-20,16838,17155,16418,17103,38210,40478.0,2490970.0
1999-04-21,17260,18102,17154,17787,65920,42097.0,2490970.0
1999-04-22,17997,18103,17366,17418,22370,41226.0,2490970.0
1999-04-23,16943,17785,16943,17103,12340,40478.0,2490970.0
1999-04-26,16943,17470,16733,16945,23860,40105.0,2490970.0
1999-04-27,16997,17997,16944,17997,60330,42596.0,2490970.0
1999-04-28,17470,18786,17470,18313,91630,43343.0,2490970.0
1999-04-29,18732,19469,18417,18629,57420,44090.0,2490970.0
1999-04-30,19154,20206,18732,19471,77130,46083.0,2490970.0
1999-05-03,19575,21364,19575,21154,55800,50068.0,2490970.0
1999-05-04,21260,21681,20418,20628,56650,48823.0,2490970.0
1999-05-06,21577,21577,19998,20207,45060,47827.0,2490970.0
1999-05-07,20838,22628,20838,21681,96250,51314.0,2490970.0
1999-05-10,22522,24889,22417,24891,81690,58911.0,2490970.0
1999-05-11,25101,26153,23680,24207,109380,57292.0,2490970.0
1999-05-12,23785,24207,22101,22628,46890,53556.0,2490970.0
1999-05-13,22628,24733,22312,23154,68000,54801.0,2490970.0
1999-05-14,22628,23154,19787,19786,34790,46830.0,2490970.0
1999-05-17,20313,21050,18208,18944,27210,44837.0,2490970.0
1999-05-18,17891,18944,17365,18208,18650,43094.0,2490970.0
1999-05-19,18945,20417,18945,19681,29860,46581.0,2490970.0
1999-05-20,19260,19471,18261,18944,22950,44837.0,2490970.0
1999-05-21,21786,21786,20733,20839,162070,49321.0,2490970.0
1999-05-24,20839,21312,19365,21312,34740,50442.0,2490970.0
1999-05-25,21522,23575,21522,23154,108300,54801.0,2490970.0
1999-05-26,23259,23891,21787,23575,55810,55798.0,2490970.0
1999-05-27,22523,24733,22523,23154,70980,54801.0,2490970.0
1999-05-28,23154,24208,22524,22838,30330,54054.0,2490970.0
1999-05-31,23680,24100,22628,22628,35340,53556.0,2490970.0
1999-06-01,22102,22419,21787,21891,22650,51812.0,2490970.0
1999-06-02,21891,22628,21575,21786,30770,51563.0,2490970.0
1999-06-03,21839,23049,21628,22312,31230,52809.0,2490970.0
1999-06-04,22944,22944,21892,21891,25680,51812.0,2490970.0
1999-06-07,22628,22628,21891,22470,26900,53182.0,2490970.0
1999-06-08,22469,22627,21943,22102,22080,52310.0,2490970.0
1999-06-09,21891,22206,20522,20734,24880,49072.0,2490970.0
1999-06-10,19575,21522,19575,21154,25660,50068.0,2490970.0
1999-06-11,21260,21365,20523,20786,20790,49197.0,2490970.0
1999-06-14,20521,20785,20101,20313,10410,48076.0,2490970.0
1999-06-15,20103,20523,18945,19260,19860,45585.0,2490970.0
1999-06-16,19156,20208,19156,20102,15050,47578.0,2490970.0
1999-06-17,19523,20523,19523,19681,12370,46581.0,2490970.0
1999-06-18,20312,20312,19680,19997,13820,47328.0,2490970.0
1999-06-21,19680,19996,19154,19892,15210,47079.0,2490970.0
1999-06-22,19997,21365,19365,20523,35250,48574.0,2490970.0
1999-06-23,20840,22102,20840,21891,52300,51812.0,2490970.0
1999-06-24,21890,21890,21048,21523,16650,50940.0,2490970.0
1999-06-25,21575,21627,18944,20418,15400,48325.0,2490970.0
1999-06-28,20628,21260,20050,20102,13940,47578.0,2490970.0
1999-06-29,20312,20522,20102,20365,9410,48200.0,2490970.0
1999-06-30,20365,21364,20207,20365,16060,48200.0,2490970.0
1999-07-01,20417,22628,20312,21786,45530,51563.0,2490970.0
1999-07-02,22419,23681,21892,22733,54410,53805.0,2490970.0
1999-07-05,24101,25259,23680,23996,67270,56794.0,2490970.0
1999-07-06,23994,24416,23152,23786,39610,56296.0,2490970.0
1999-07-07,23785,24627,23364,24207,42830,57292.0,2490970.0
1999-07-08,24208,25785,23786,25259,54200,59783.0,2490970.0
1999-07-09,25258,25468,24206,24628,27700,58289.0,2490970.0
1999-07-12,24837,24837,23470,23470,33230,55549.0,2490970.0
1999-07-13,23785,25259,22417,23365,59800,55300.0,2490970.0
1999-07-14,22522,23890,22100,22260,20940,52684.0,2490970.0
1999-07-15,22101,22311,21575,21786,15370,51563.0,2490970.0
1999-07-16,21576,23049,21576,22733,13810,53805.0,2490970.0
1999-07-19,22734,23418,22524,22733,17210,53805.0,2490970.0
1999-07-20,23048,24207,22628,22891,24090,54179.0,2490970.0
1999-07-21,23048,23890,22891,22891,21770,54179.0,2490970.0
1999-07-22,22943,23996,21996,23996,31490,56794.0,2490970.0
1999-07-23,23996,25575,23154,23154,48270,54801.0,2490970.0
1999-07-26,23049,23154,21050,21049,25690,49819.0,2490970.0
1999-07-27,21155,21891,21049,21575,11920,51065.0,2490970.0
1999-07-28,21575,22627,21258,22102,19460,52310.0,2490970.0
1999-07-29,22101,22471,21681,22312,19300,52809.0,2490970.0
1999-07-30,22365,22365,19156,21049,16980,49819.0,2490970.0
1999-08-02,21050,21523,20103,21049,7240,49819.0,2490970.0
1999-08-03,21049,21576,20682,21575,9100,51065.0,2490970.0
1999-08-04,21469,22101,21469,21681,5940,51314.0,2490970.0
1999-08-05,21050,21577,20523,21049,12490,49819.0,2490970.0
1999-08-06,21049,21049,20207,20839,8820,49321.0,2490970.0
1999-08-09,20943,21469,20943,21365,10920,50567.0,2490970.0
1999-08-10,21576,22102,21049,21575,13710,51065.0,2490970.0
1999-08-11,21681,21786,20838,21786,7320,51563.0,2490970.0
1999-08-12,20523,21786,20523,21470,10820,50816.0,2490970.0
1999-08-13,20522,20839,19997,20470,6720,48449.0,2490970.0
1999-08-16,18945,20945,18945,20207,4910,47827.0,2490970.0
1999-08-17,20523,20523,19208,19207,4720,45460.0,2490970.0
1999-08-18,19260,22049,18628,22049,34080,52186.0,2490970.0
1999-08-19,21786,22101,20734,20997,14980,49695.0,2490970.0
1999-08-20,20628,20628,19998,20207,14120,47827.0,2490970.0
1999-08-23,20523,20787,19787,20102,8160,47578.0,2490970.0
1999-08-24,20208,20628,19998,20207,9830,47827.0,2490970.0
1999-08-25,20101,20207,19786,19892,10180,47079.0,2490970.0
1999-08-26,19996,20207,19470,19892,9480,47079.0,2490970.0
1999-08-27,19891,19996,19364,19471,6380,46083.0,2490970.0
1999-08-30,19891,20101,19469,19471,6820,46083.0,2490970.0
1999-08-31,19575,19681,19155,19681,4680,46581.0,2490970.0
1999-09-01,20207,20207,18945,18944,7960,44837.0,2490970.0
1999-09-02,17943,18733,17365,17366,6310,41101.0,2490970.0
1999-09-03,17049,18208,17049,17471,3220,41350.0,2490970.0
1999-09-06,17892,18945,17892,18944,9520,44837.0,2490970.0
1999-09-07,19154,21363,18944,19576,13230,46332.0,2490970.0
1999-09-08,20048,20416,19469,19471,10630,46083.0,2490970.0
1999-09-09,19998,20050,19156,19260,5460,45585.0,2490970.0
1999-09-10,19313,19892,18945,18944,4920,44837.0,2490970.0
1999-09-13,19311,19311,18627,18629,6520,44090.0,2490970.0
1999-09-14,18627,18785,18207,18576,13410,43966.0,2490970.0
1999-09-15,18627,18627,18259,18471,6050,43717.0,2490970.0
1999-09-16,18629,18787,17997,18365,8200,43467.0,2490970.0
1999-09-17,18523,18523,17891,18313,7120,43343.0,2490970.0
1999-09-20,18312,18944,18312,18629,4050,44090.0,2490970.0
1999-09-21,18996,19574,18680,19576,11310,46332.0,2490970.0
1999-09-22,19574,20838,18837,19576,25200,46332.0,2490970.0
1999-09-27,19576,19787,18839,19260,19010,45585.0,2490970.0
1999-09-28,19893,20418,19261,19260,41920,45585.0,2490970.0
1999-09-29,19471,19471,18419,18418,15510,43592.0,2490970.0
1999-09-30,18207,18207,17576,17576,27650,41599.0,2490970.0
1999-10-01,17575,17575,15297,15299,10650,32632.0,2490970.0
1999-10-04,14830,16115,14830,15299,9530,32632.0,2490970.0
1999-10-05,15065,15532,14014,14014,7450,29892.0,2490970.0
1999-10-06,14247,14598,12963,14598,17820,31137.0,2490970.0
1999-10-07,15064,16699,14597,16000,14130,34126.0,2490970.0
1999-10-08,15999,17284,15999,16583,9610,35372.0,2490970.0
1999-10-11,16933,16992,16057,16233,3590,34624.0,2490970.0
1999-10-12,16933,17517,16700,17284,17450,36866.0,2490970.0
1999-10-13,17050,17284,16349,16875,6600,35995.0,2490970.0
1999-10-14,16349,17225,16349,16525,8860,35247.0,2490970.0
1999-10-15,17108,17108,16466,16583,13330,35372.0,2490970.0
1999-10-18,16232,16232,15181,15416,9500,32881.0,2490970.0
1999-10-19,15531,15648,15064,15124,13540,32258.0,2490970.0
1999-10-20,15648,16056,15297,15883,46740,33877.0,2490970.0
1999-10-21,16349,17050,16116,16116,34910,34375.0,2490970.0
1999-10-22,16232,16232,15531,15766,12450,33628.0,2490970.0
1999-10-25,15765,15765,14948,14948,15920,31884.0,2490970.0
1999-10-26,14948,15182,14598,15182,5080,32383.0,2490970.0
1999-10-27,15648,15881,14713,14715,13430,31386.0,2490970.0
1999-10-28,14597,15181,14597,14832,7760,31635.0,2490970.0
1999-10-29,14948,15415,14714,14948,21790,31884.0,2490970.0
1999-11-01,14598,15473,14598,15182,39220,32383.0,2490970.0
1999-11-02,15649,15649,14890,15182,19830,32383.0,2490970.0
1999-11-03,15356,15998,15181,15474,49930,33005.0,2490970.0
1999-11-04,15649,17342,15649,16875,50630,35995.0,2490970.0
1999-11-05,17225,17284,15941,16233,38800,34624.0,2490970.0
1999-11-08,16115,16640,15531,15883,29920,33877.0,2490970.0
1999-11-09,15881,16348,15881,16350,56500,34874.0,2490970.0
1999-11-10,16466,16700,15999,16583,29390,35372.0,2490970.0
1999-11-11,16583,17050,15999,16525,42870,35247.0,2490970.0
1999-11-12,16582,16699,15764,15766,26580,33628.0,2490970.0
1999-11-15,13779,15940,13779,15124,23370,32258.0,2490970.0
1999-11-16,15181,15764,15181,15766,16050,33628.0,2490970.0
1999-11-17,15999,15999,15065,15065,19880,32134.0,2490970.0
1999-11-18,14948,15707,14714,15182,17790,32383.0,2490970.0
1999-11-19,14597,15181,14597,14832,13750,31635.0,2490970.0
1999-11-22,14246,15881,14246,14832,45860,47453.0,3736455.0
1999-11-23,15414,15764,14830,15007,33100,48013.0,3736455.0
1999-11-24,15415,15415,14598,14598,29290,46706.0,3736455.0
1999-11-25,14130,14598,13780,13897,24300,44464.0,3736455.0
1999-11-26,13313,13897,12729,13722,27470,43903.0,3736455.0
1999-11-29,13780,13780,12963,13430,10460,42969.0,3736455.0
1999-11-30,12845,14013,12845,13664,20730,43717.0,3736455.0
1999-12-01,13896,14772,13662,13664,31620,43717.0,3736455.0
1999-12-02,13662,13896,13312,13489,19400,43156.0,3736455.0
1999-12-03,13313,13839,13313,13430,20320,42969.0,3736455.0
1999-12-06,14422,14422,13780,13897,17300,44464.0,3736455.0
1999-12-07,13429,13896,12728,12730,14700,40727.0,3736455.0
1999-12-08,12846,12846,11444,12379,11730,39606.0,3736455.0
1999-12-09,11678,12846,11678,12379,15990,39606.0,3736455.0
1999-12-10,12262,13430,11795,12963,19830,41475.0,3736455.0
1999-12-13,13195,13662,13078,13080,20060,41848.0,3736455.0
1999-12-14,13488,14598,13079,13897,35770,44464.0,3736455.0
1999-12-15,14597,14597,12903,12905,21730,41288.0,3736455.0
1999-12-16,14830,14830,13604,14832,32640,47453.0,3736455.0
1999-12-17,16233,16349,13430,13430,110470,42969.0,3736455.0
1999-12-20,13780,14481,13430,13430,19320,42969.0,3736455.0
1999-12-21,13488,13488,11912,11912,28390,38112.0,3736455.0
1999-12-22,11211,12204,11211,11912,31850,38112.0,3736455.0
1999-12-23,11560,12086,11443,11445,16700,36617.0,3736455.0
1999-12-24,10055,11421,10055,11211,29060,35870.0,3736455.0
1999-12-27,10767,11444,10744,10744,16890,34375.0,3736455.0
1999-12-28,10872,10872,10160,10569,19500,33815.0,3736455.0
2000-01-04,10042,10848,10042,10803,13980,34562.0,3736455.0
2000-01-05,10744,10744,10101,10569,12530,33815.0,3736455.0
2000-01-06,10393,11094,10288,10335,8070,33068.0,3736455.0
2000-01-07,9961,10510,9961,10347,6360,33105.0,3736455.0
2000-01-10,10510,11024,10510,10569,8100,33815.0,3736455.0
2000-01-11,10568,10568,10100,10172,9080,32545.0,3736455.0
2000-01-12,10299,11035,10299,10511,10450,33628.0,3736455.0
2000-01-13,10510,11561,10277,11223,44740,35907.0,3736455.0
2000-01-14,10988,12728,10918,12321,52670,39420.0,3736455.0
2000-01-17,12319,12378,11268,11270,28440,36057.0,3736455.0
2000-01-18,11327,12027,11210,12029,23160,38485.0,3736455.0
2000-01-19,11795,11912,11269,11316,32310,36206.0,3736455.0
2000-01-20,11444,11561,10522,10627,10100,34002.0,3736455.0
2000-01-21,10392,10743,10159,10733,15160,34338.0,3736455.0
2000-01-24,10755,11094,10569,10569,10710,33815.0,3736455.0
2000-01-25,10392,10568,10217,10394,6870,33254.0,3736455.0
2000-01-26,10392,11560,10392,11562,65500,36991.0,3736455.0
2000-01-27,11620,12028,11164,11620,41810,37178.0,3736455.0
2000-01-28,11795,12729,11620,11620,64990,37178.0,3736455.0
2000-01-31,11560,12027,11222,11445,23400,36617.0,3736455.0
2000-02-01,11561,11678,11211,11328,12450,36244.0,3736455.0
2000-02-02,11550,12145,11316,11678,20570,37365.0,3736455.0
2000-02-03,11852,12027,11560,11737,22130,37551.0,3736455.0
2000-02-07,11795,11795,11596,11678,14300,37365.0,3736455.0
2000-02-08,11573,11655,11328,11655,7360,37290.0,3736455.0
2000-02-09,11678,11678,11328,11328,9630,36244.0,3736455.0
2000-02-10,11222,11222,10859,10861,7330,34749.0,3736455.0
2000-02-11,11094,11094,10183,10335,16440,33068.0,3736455.0
2000-02-14,10335,10335,9926,10043,19420,32134.0,3736455.0
2000-02-15,9867,10451,9867,9927,4930,31760.0,3736455.0
2000-02-16,10042,10276,9692,9705,9450,31050.0,3736455.0
2000-02-17,9703,9773,9516,9530,10040,30489.0,3736455.0
2000-02-18,9528,9797,8757,8759,23700,28023.0,3736455.0
2000-02-21,8757,8991,8185,8187,19730,26193.0,3736455.0
2000-02-22,8408,9214,8174,9109,14510,29144.0,3736455.0
2000-02-23,8407,10042,8407,9343,23550,29892.0,3736455.0
2000-02-24,9341,9622,8816,8876,16150,28397.0,3736455.0
2000-02-25,8874,9902,8874,9810,17510,31386.0,3736455.0
2000-02-28,9808,11093,9353,10511,37800,33628.0,3736455.0
2000-02-29,11012,11094,10101,10160,18440,32507.0,3736455.0
2000-03-02,9926,10977,9809,9985,16480,31947.0,3736455.0
2000-03-03,10497,10497,9808,9810,26530,31386.0,3736455.0
2000-03-06,10393,11281,9926,11036,51840,35309.0,3736455.0
2000-03-07,11094,12204,10533,11678,39480,37365.0,3736455.0
2000-03-08,11223,12846,10860,11912,74180,38112.0,3736455.0
2000-03-09,12028,12729,11736,11912,35130,38112.0,3736455.0
2000-03-10,12262,12262,11094,11912,46560,38112.0,3736455.0
2000-03-13,12494,13312,12027,13197,134010,42222.0,3736455.0
2000-03-14,13662,13662,11677,12146,44270,38859.0,3736455.0
2000-03-15,11677,11794,11338,11445,29760,36617.0,3736455.0
2000-03-16,11677,11911,10532,10978,28760,35123.0,3736455.0
2000-03-17,11222,11560,10392,10511,37310,33628.0,3736455.0
2000-03-20,10627,11094,10510,10627,20620,34002.0,3736455.0
2000-03-21,11211,12204,10919,12204,53820,39046.0,3736455.0
2000-03-22,12203,13487,11455,11854,99990,37925.0,3736455.0
2000-03-23,11853,13605,11444,13605,181850,43530.0,3736455.0
2000-03-24,13838,15589,13662,15591,424140,49882.0,3736455.0
2000-03-27,16115,16582,14129,14131,190110,45211.0,3736455.0
2000-03-28,13429,14830,12962,13080,146500,41848.0,3736455.0
2000-03-29,13255,13780,12262,12262,78020,39233.0,3736455.0
2000-03-30,12378,12786,11443,11445,71580,36617.0,3736455.0
2000-03-31,11444,12204,11444,11912,76410,38112.0,3736455.0
2000-04-03,12262,12495,11328,11328,64450,36244.0,3736455.0
2000-04-04,11210,11619,10532,11095,36880,35496.0,3736455.0
2000-04-06,11315,11315,10521,10534,21140,33703.0,3736455.0
2000-04-07,10579,11093,10276,11095,37760,35496.0,3736455.0
2000-04-10,11094,11561,10860,11328,44970,36244.0,3736455.0
2000-04-11,11211,11328,10569,10779,31250,34487.0,3736455.0
2000-04-12,10779,11024,10627,10627,20500,34002.0,3736455.0
2000-04-14,10277,11094,10277,10744,19850,34375.0,3736455.0
2000-04-17,9131,10217,9131,9670,26050,30938.0,3736455.0
2000-04-18,10347,10347,9704,10008,27040,32021.0,3736455.0
2000-04-19,10160,11211,10160,10335,59600,33068.0,3736455.0
2000-04-20,10510,10744,9926,10347,17650,33105.0,3736455.0
2000-04-21,10626,10626,10042,10394,25510,33254.0,3736455.0
2000-04-24,10241,10568,10065,10219,16770,32694.0,3736455.0
2000-04-25,10241,10836,9949,10511,33660,33628.0,3736455.0
2000-04-26,10626,10859,9925,9927,21440,31760.0,3736455.0
2000-04-27,9820,10042,9341,9600,17290,30714.0,3736455.0
2000-04-28,9704,9880,9599,9693,13750,31013.0,3736455.0
2000-05-02,9693,10031,9693,9693,8610,31013.0,3736455.0
2000-05-03,9808,9808,9575,9635,14900,30826.0,3736455.0
2000-05-04,9634,9786,9576,9646,13470,30863.0,3736455.0
2000-05-08,9703,10112,9692,9822,22790,31424.0,3736455.0
2000-05-09,9867,9867,9575,9600,17980,30714.0,3736455.0
2000-05-10,9284,9576,9284,9576,16200,30639.0,3736455.0
2000-05-12,9458,9692,9341,9343,17190,29892.0,3736455.0
2000-05-15,9132,9506,8770,9109,16630,29144.0,3736455.0
2000-05-16,8642,9109,8642,9074,10940,29032.0,3736455.0
2000-05-17,9108,9458,8407,8409,14010,26902.0,3736455.0
2000-05-18,8232,8232,7286,7416,17380,23726.0,3736455.0
2000-05-19,7590,7998,7590,7825,12580,25034.0,3736455.0
2000-05-22,7999,7999,7357,7357,9200,23540.0,3736455.0
2000-05-23,7122,7554,6912,7416,10850,23726.0,3736455.0
2000-05-24,7239,7940,6772,7533,14570,24100.0,3736455.0
2000-05-25,7765,8535,7765,8409,17510,26902.0,3736455.0
2000-05-26,7988,8478,7591,7591,12180,24287.0,3736455.0
2000-05-29,7007,7941,6948,7591,12410,24287.0,3736455.0
2000-05-30,7706,8092,7706,7825,14140,25034.0,3736455.0
2000-05-31,8058,8980,8058,8922,23710,28547.0,3736455.0
2000-06-01,9622,9622,7590,8397,40510,26865.0,3736455.0
2000-06-02,8874,8991,8349,8362,23510,26753.0,3736455.0
2000-06-05,8875,8980,8536,8934,27370,28584.0,3736455.0
2000-06-07,8933,9341,8302,9343,42910,29892.0,3736455.0
2000-06-08,9401,9459,7953,8700,21760,27837.0,3736455.0
2000-06-09,8303,8875,8303,8700,11650,27837.0,3736455.0
2000-06-12,8642,9097,8583,8642,14250,27650.0,3736455.0
2000-06-13,8664,8851,8325,8327,20980,26641.0,3736455.0
2000-06-14,8547,8641,8290,8327,5760,26641.0,3736455.0
2000-06-15,8186,8326,7941,7941,9700,25408.0,3736455.0
2000-06-16,7835,8057,7776,7848,7980,25109.0,3736455.0
2000-06-19,7823,8162,7823,7848,8970,25109.0,3736455.0
2000-06-20,8057,8115,7823,8000,6620,25595.0,3736455.0
2000-06-21,8116,8700,7941,8245,10150,26379.0,3736455.0
2000-06-22,8245,8373,8174,8373,11550,26790.0,3736455.0
2000-06-23,8629,8629,8173,8187,7180,26193.0,3736455.0
2000-06-26,8454,8454,8197,8409,10310,26902.0,3736455.0
2000-06-27,8629,8734,8465,8736,16690,27949.0,3736455.0
2000-06-28,8688,8758,8525,8630,14240,27612.0,3736455.0
2000-06-29,8582,8699,8349,8502,7310,27201.0,3736455.0
2000-06-30,8571,8571,8314,8409,5300,26902.0,3736455.0
2000-07-03,8407,9341,8407,8876,28300,28397.0,3736455.0
2000-07-04,9109,9447,8887,8957,27480,28659.0,3736455.0
2000-07-05,8933,8933,8524,8759,9030,28023.0,3736455.0
2000-07-06,8899,9226,8770,9004,20940,28808.0,3736455.0
2000-07-07,9225,9808,9014,9483,48030,30340.0,3736455.0
2000-07-10,9809,9809,9226,9471,20860,30303.0,3736455.0
2000-07-11,9354,9447,9109,9284,24860,29705.0,3736455.0
2000-07-12,8992,9342,8910,8992,15410,28771.0,3736455.0
2000-07-13,8992,9109,8875,8992,10760,28771.0,3736455.0
2000-07-14,8782,9109,8782,8934,6050,28584.0,3736455.0
2000-07-18,8992,8992,8408,8642,13350,27650.0,3736455.0
2000-07-19,8315,8513,8291,8385,10600,26828.0,3736455.0
2000-07-20,8290,8290,8092,8292,9450,26529.0,3736455.0
2000-07-21,8465,8465,8232,8409,7040,26902.0,3736455.0
2000-07-24,8291,8291,7941,7953,7350,25445.0,3736455.0
2000-07-25,7881,8173,7706,8000,8170,25595.0,3736455.0
2000-07-26,8045,8629,7823,8292,9500,26529.0,3736455.0
2000-07-27,8290,8290,8068,8292,1750,26529.0,3736455.0
2000-07-28,8290,8290,8115,8175,3660,26155.0,3736455.0
2000-07-31,8174,8350,8093,8350,2170,26716.0,3736455.0
2000-08-01,8338,8396,8174,8338,6040,26678.0,3736455.0
2000-08-02,8525,8525,8174,8315,5900,26604.0,3736455.0
2000-08-03,8465,8465,8115,8175,6790,26155.0,3736455.0
2000-08-04,7998,8173,7998,8117,5950,25968.0,3736455.0
2000-08-07,7894,8034,7707,7953,7220,25445.0,3736455.0
2000-08-08,8046,8163,7918,8058,9620,25782.0,3736455.0
2000-08-09,7999,8525,7999,8350,9310,26716.0,3736455.0
2000-08-10,8489,8489,8255,8292,3350,26529.0,3736455.0
2000-08-11,8408,8922,8408,8677,21840,27762.0,3736455.0
2000-08-14,9342,9915,8817,9249,40620,29593.0,3736455.0
2000-08-16,9225,9575,8757,8771,20290,28061.0,3736455.0
2000-08-17,8886,8991,8781,8946,9830,28621.0,3736455.0
2000-08-18,8944,8944,8641,8876,11070,28397.0,3736455.0
2000-08-21,8419,8816,8419,8654,4770,27687.0,3736455.0
2000-08-22,8419,8746,8419,8654,3870,27687.0,3736455.0
2000-08-23,8630,8723,8490,8525,6430,27276.0,3736455.0
2000-08-24,8677,8922,8466,8525,8980,27276.0,3736455.0
2000-08-25,8921,8921,8524,8654,4780,27687.0,3736455.0
2000-08-28,8653,9950,8653,9950,80470,31835.0,3736455.0
2000-08-29,10171,10335,9179,9366,86730,29966.0,3736455.0
2000-08-30,9576,9623,9226,9331,33970,29854.0,3736455.0
2000-08-31,9401,9424,8758,9039,24310,28920.0,3736455.0
2000-09-01,8874,9516,8874,9063,30180,28995.0,3736455.0
2000-09-04,9401,10417,9401,10417,150990,33329.0,3736455.0
2000-09-05,10497,10509,9925,9962,70930,31872.0,3736455.0
2000-09-06,10031,11433,9961,10522,152680,33665.0,3736455.0
2000-09-07,10569,11047,10101,10195,84250,32619.0,3736455.0
2000-09-08,10392,10509,9365,9635,48130,30826.0,3736455.0
2000-09-14,9377,9576,9120,9401,17920,30078.0,3736455.0
2000-09-15,9458,10159,9400,9635,41570,30826.0,3736455.0
2000-09-18,9575,9575,8197,8409,35510,26902.0,3736455.0
