삼성SDI(006400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-01-10,43000,43000,41200,41600,737530,1929896.0,46391737.0
2000-01-11,42100,43000,41550,41850,535690,1941494.0,46391737.0
2000-01-12,41500,41500,39500,40100,446193,1860309.0,46391737.0
2000-01-13,40100,42400,39600,42000,594720,1948453.0,46391737.0
2000-01-14,42500,45400,42000,44300,816015,2055154.0,46391737.0
2000-01-17,45300,45400,43100,45000,804797,2087628.0,46391737.0
2000-01-18,44900,44900,43600,44300,541262,2055154.0,46391737.0
2000-01-19,44000,44000,42500,42900,569330,1990206.0,46391737.0
2000-01-20,42850,48400,42050,45900,713850,2129381.0,46391737.0
2000-01-21,45800,47900,44700,45900,666280,2129381.0,46391737.0
2000-01-24,46500,47800,46100,46900,458851,2175772.0,46391737.0
2000-01-25,45700,46500,45100,45300,310950,2101546.0,46391737.0
2000-01-26,45100,45850,43700,44350,331610,2057474.0,46391737.0
2000-01-27,43500,45400,43050,44800,342013,2078350.0,46391737.0
2000-01-28,44500,45400,44000,45200,288100,2096907.0,46391737.0
2000-01-31,44400,45500,44050,44500,308858,2064432.0,46391737.0
2000-02-01,45800,47000,45600,45700,888360,2120102.0,46391737.0
2000-02-02,46000,46700,45200,46000,447098,2134020.0,46391737.0
2000-02-03,45000,46600,45000,45500,443840,2110824.0,46391737.0
2000-02-07,45900,46500,45500,46000,460930,2134020.0,46391737.0
2000-02-08,46500,46950,44850,45200,377540,2096907.0,46391737.0
2000-02-09,44700,45700,44500,45400,509894,2106185.0,46391737.0
2000-02-10,44950,45400,43200,43550,517495,2020360.0,46391737.0
2000-02-11,43400,44450,42300,43600,461550,2022680.0,46391737.0
2000-02-14,42050,43000,41300,41400,394870,1920618.0,46391737.0
2000-02-15,41400,41950,40500,40800,244570,1892783.0,46391737.0
2000-02-16,40800,41700,40400,41550,316110,1927577.0,46391737.0
2000-02-17,41550,42500,40800,42400,334070,1967010.0,46391737.0
2000-02-18,42400,43000,41000,41000,587810,1902061.0,46391737.0
2000-02-21,40500,40800,38600,39300,418910,1823195.0,46391737.0
2000-02-22,39000,40500,38000,38000,437030,1762886.0,46391737.0
2000-02-23,38300,40800,37100,39000,654520,1809278.0,46391737.0
2000-02-24,38500,39000,36750,39000,488100,1809278.0,46391737.0
2000-02-25,37800,38400,37400,37400,316380,1735051.0,46391737.0
2000-02-28,35100,36600,33000,33000,753850,1530927.0,46391737.0
2000-02-29,33900,34200,32150,32900,537680,1526288.0,46391737.0
2000-03-02,33000,36500,33000,36150,904910,1677061.0,46391737.0
2000-03-03,35500,35700,34050,34550,484180,1602835.0,46391737.0
2000-03-06,34800,37400,34200,35700,805420,1656185.0,46391737.0
2000-03-07,36500,37700,35650,36000,765610,1670103.0,46391737.0
2000-03-08,35000,36400,34550,36100,356750,1674742.0,46391737.0
2000-03-09,36500,36500,34500,34500,425150,1600515.0,46391737.0
2000-03-10,35500,36200,35200,36000,407840,1670103.0,46391737.0
2000-03-13,35800,35800,34200,34800,315570,1614432.0,46391737.0
2000-03-14,34000,34800,33800,34200,233170,1586597.0,46391737.0
2000-03-15,33950,34850,33100,34500,327060,1600515.0,46391737.0
2000-03-16,35500,36200,34700,35000,432740,1623711.0,46391737.0
2000-03-17,36400,40250,35800,40000,2246540,1855669.0,46391737.0
2000-03-20,40100,40800,37700,38600,730560,1790721.0,46391737.0
2000-03-21,38100,38500,37100,37300,397380,1730412.0,46391737.0
2000-03-22,37950,40100,37600,39000,785340,1809278.0,46391737.0
2000-03-23,38700,38700,36600,36800,400090,1707216.0,46391737.0
2000-03-24,37100,37700,36500,36800,333620,1707216.0,46391737.0
2000-03-27,37100,39150,36800,37800,506760,1753608.0,46391737.0
2000-03-28,37800,42500,37800,41900,1145770,1943814.0,46391737.0
2000-03-29,42000,44300,41500,43500,1499540,2018041.0,46391737.0
2000-03-30,44500,45900,43500,43500,1162970,2018041.0,46391737.0
2000-03-31,42200,43700,40700,41000,515190,1902061.0,46391737.0
2000-04-03,42000,42400,39500,40000,547910,1855669.0,46391737.0
2000-04-04,39000,41800,39000,41500,378270,1925257.0,46391737.0
2000-04-06,40600,41400,40550,41400,234900,1920618.0,46391737.0
2000-04-07,41500,44200,41400,43800,895340,2031958.0,46391737.0
2000-04-10,45000,46200,43050,45400,983280,2106185.0,46391737.0
2000-04-11,45400,47500,44000,46300,1038500,2147937.0,46391737.0
2000-04-12,46300,46800,45050,45350,482890,2103865.0,46391737.0
2000-04-14,44500,44500,43200,44000,410450,2041236.0,46391737.0
2000-04-17,39500,41500,38600,41000,549170,1902061.0,46391737.0
2000-04-18,44300,44300,41500,43100,513400,1999484.0,46391737.0
2000-04-19,44000,47700,43900,45100,1111220,2092267.0,46391737.0
2000-04-20,45550,47300,45000,46250,735000,2145618.0,46391737.0
2000-04-21,46900,47200,45600,46950,437410,2178092.0,46391737.0
2000-04-24,46800,46800,44300,44900,332160,2082989.0,46391737.0
2000-04-25,43200,45800,43200,45000,254860,2087628.0,46391737.0
2000-04-26,46500,46500,42800,42900,463140,1990206.0,46391737.0
2000-04-27,42000,44300,41300,42900,494970,1990206.0,46391737.0
2000-04-28,42900,46750,42900,46300,601370,2147937.0,46391737.0
2000-05-02,46500,49200,46500,48100,688650,2231443.0,46391737.0
2000-05-03,47800,48700,47100,48600,431830,2254638.0,46391737.0
2000-05-04,48000,50500,47800,49500,629090,2296391.0,46391737.0
2000-05-08,50600,51500,49700,50400,610180,2338144.0,46391737.0
2000-05-09,50400,51000,49500,50300,456850,2333504.0,46391737.0
2000-05-10,50300,50900,49500,50000,456280,2319587.0,46391737.0
2000-05-12,49100,50300,47900,49000,348390,2273195.0,46391737.0
2000-05-15,47500,49000,46500,47500,354910,2203608.0,46391737.0
2000-05-16,48100,51300,47500,50900,573410,2361339.0,46391737.0
2000-05-17,51600,52900,49900,49900,867300,2314948.0,46391737.0
2000-05-18,48150,50600,48150,49500,382270,2296391.0,46391737.0
2000-05-19,49500,49800,48100,49500,395960,2296391.0,46391737.0
2000-05-22,49000,49300,45000,45700,366020,2120102.0,46391737.0
2000-05-23,44700,47000,44000,44900,284690,2082989.0,46391737.0
2000-05-24,44000,45500,41300,44300,329250,2055154.0,46391737.0
2000-05-25,44700,46500,43000,44150,583810,2048195.0,46391737.0
2000-05-26,43500,43500,39800,39950,409380,1853350.0,46391737.0
2000-05-29,38000,40700,37700,39900,354750,1851030.0,46391737.0
2000-05-30,40500,43900,40500,43700,354960,2027319.0,46391737.0
2000-05-31,45700,46800,43000,43000,725310,1994845.0,46391737.0
2000-06-01,44400,46800,43500,45900,481740,2129381.0,46391737.0
2000-06-02,47300,49200,47300,48000,636790,2226803.0,46391737.0
2000-06-05,49000,49700,47550,48000,573600,2226803.0,46391737.0
2000-06-07,48000,49500,47500,49000,543490,2273195.0,46391737.0
2000-06-08,49400,49400,47500,47700,570510,2212886.0,46391737.0
2000-06-09,48600,54800,48200,53000,1091290,2458762.0,46391737.0
2000-06-12,54400,54400,51500,53000,805760,2458762.0,46391737.0
2000-06-13,52400,52400,50000,51300,366760,2379896.0,46391737.0
2000-06-14,51300,54000,49650,52800,737550,2449484.0,46391737.0
2000-06-15,51900,54300,50500,50500,399870,2342783.0,46391737.0
2000-06-16,50500,53800,49700,51000,463130,2365979.0,46391737.0
2000-06-19,50100,52900,50100,52000,334240,2412370.0,46391737.0
2000-06-20,53000,55800,52500,55000,782050,2551546.0,46391737.0
2000-06-21,55000,56700,54000,54500,494700,2528350.0,46391737.0
2000-06-22,55100,55800,53000,54200,295850,2514432.0,46391737.0
2000-06-23,53400,54000,52400,53500,281920,2481958.0,46391737.0
2000-06-26,54000,54500,53000,53000,343540,2458762.0,46391737.0
2000-06-27,53700,53900,53000,53800,292200,2495875.0,46391737.0
2000-06-28,54500,54800,53600,54400,284960,2523710.0,46391737.0
2000-06-29,54800,55000,53000,53000,334740,2458762.0,46391737.0
2000-06-30,53000,54000,52800,53500,171810,2481958.0,46391737.0
2000-07-03,53400,54000,52800,53600,233500,2486597.0,46391737.0
2000-07-04,54000,54400,52800,52800,200040,2449484.0,46391737.0
2000-07-05,53000,57300,52900,56300,379140,2611855.0,46391737.0
2000-07-06,56000,57500,55000,55900,328650,2593298.0,46391737.0
2000-07-07,57000,58000,54900,55500,249230,2574741.0,46391737.0
2000-07-10,55500,58000,55000,57600,417870,2672164.0,46391737.0
2000-07-11,57000,59500,56600,57600,567311,2672164.0,46391737.0
2000-07-12,57100,58200,55600,56000,252538,2597937.0,46391737.0
2000-07-13,56500,56900,55600,56100,251645,2602576.0,46391737.0
2000-07-14,56500,57500,56000,56000,237011,2597937.0,46391737.0
2000-07-18,56700,56700,54200,55600,169720,2579381.0,46391737.0
2000-07-19,54300,55000,53200,53900,192371,2500515.0,46391737.0
2000-07-20,53500,53900,51500,52000,230371,2412370.0,46391737.0
2000-07-21,52500,52600,50300,51000,344010,2365979.0,46391737.0
2000-07-24,49900,50700,48000,48000,240761,2226803.0,46391737.0
2000-07-25,47900,49800,46500,48900,299153,2268556.0,46391737.0
2000-07-26,48200,49900,47750,48500,264433,2249999.0,46391737.0
2000-07-27,48500,49500,47450,49300,136420,2287113.0,46391737.0
2000-07-28,48000,49300,46100,48000,230910,2226803.0,46391737.0
2000-07-31,47100,49500,46600,49300,116190,2287113.0,46391737.0
2000-08-01,48000,50500,48000,50300,187281,2333504.0,46391737.0
2000-08-02,49800,51200,49100,50700,150220,2352061.0,46391737.0
2000-08-03,51700,51700,49500,49950,145910,2317267.0,46391737.0
2000-08-04,49950,50400,49250,49300,139521,2287113.0,46391737.0
2000-08-07,49000,49000,47350,48100,108781,2231443.0,46391737.0
2000-08-08,48000,49500,48000,48100,263970,2231443.0,46391737.0
2000-08-09,49000,52500,48600,52000,403560,2412370.0,46391737.0
2000-08-10,52000,54500,51500,54500,514034,2528350.0,46391737.0
2000-08-11,53200,55200,52500,54500,307418,2528350.0,46391737.0
2000-08-14,55000,56100,54100,54400,188610,2523710.0,46391737.0
2000-08-16,55800,55800,53500,53500,165870,2481958.0,46391737.0
2000-08-17,53000,55500,52800,53800,277361,2495875.0,46391737.0
2000-08-18,53800,54600,52500,52600,186832,2440205.0,46391737.0
2000-08-21,52600,53400,52100,53000,94030,2458762.0,46391737.0
2000-08-22,54000,54800,53600,54700,212440,2537628.0,46391737.0
2000-08-23,55000,55100,53600,53800,113110,2495875.0,46391737.0
2000-08-24,54400,54500,52300,53700,176928,2491236.0,46391737.0
2000-08-25,53400,54000,52700,54000,69210,2505154.0,46391737.0
