효성중공업(298040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-11,48000,50700,47500,47500,52692,442916.0,9324548.0
2018-10-12,47350,49950,47350,49100,32580,457835.0,9324548.0
2018-10-15,48700,51500,48600,49000,25899,456903.0,9324548.0
2018-10-16,49100,50800,49100,49550,18225,462031.0,9324548.0
2018-10-17,50100,51000,48500,49300,46119,459700.0,9324548.0
2018-10-18,48750,50300,48700,49700,23467,463430.0,9324548.0
2018-10-19,48650,49350,47800,48450,63550,451774.0,9324548.0
2018-10-22,47900,49100,46650,48500,47467,452241.0,9324548.0
2018-10-23,47950,48250,46200,46550,35883,434058.0,9324548.0
2018-10-24,47300,47300,45800,46450,36548,433125.0,9324548.0
2018-10-25,44800,45400,43150,44100,85135,411213.0,9324548.0
2018-10-26,44200,44450,40150,41000,83527,382306.0,9324548.0
2018-10-29,40450,42850,39200,40000,130094,372982.0,9324548.0
2018-10-30,40200,41550,39550,41450,112212,386503.0,9324548.0
2018-10-31,41100,43950,41100,42350,99940,394895.0,9324548.0
2018-11-01,41900,43000,41200,41600,97186,387901.0,9324548.0
2018-11-02,41600,43600,41600,43250,72254,403287.0,9324548.0
2018-11-05,42500,43550,42200,43050,34378,401422.0,9324548.0
2018-11-06,43400,43550,42500,42900,17908,400023.0,9324548.0
2018-11-07,43100,43500,41800,41950,31409,391165.0,9324548.0
2018-11-08,42700,43000,42400,42650,22246,397692.0,9324548.0
2018-11-09,42250,43500,42250,42400,17559,395361.0,9324548.0
2018-11-12,42300,44000,42250,43250,22526,403287.0,9324548.0
2018-11-13,42200,43650,42200,43100,17639,401888.0,9324548.0
2018-11-14,42600,43150,42150,42200,37600,393496.0,9324548.0
2018-11-15,42050,42800,42000,42000,25161,391631.0,9324548.0
2018-11-16,42200,42650,42000,42250,22236,393962.0,9324548.0
2018-11-19,42200,42850,42200,42250,20408,393962.0,9324548.0
2018-11-20,42150,42550,41800,42250,50833,393962.0,9324548.0
2018-11-21,42200,43300,42000,43100,23528,401888.0,9324548.0
2018-11-22,43100,43400,42600,42800,25991,399091.0,9324548.0
2018-11-23,42500,43050,42450,42800,16603,399091.0,9324548.0
2018-11-26,43050,43850,42800,43800,29776,408415.0,9324548.0
2018-11-27,43300,43700,43200,43300,14319,403753.0,9324548.0
2018-11-28,43650,43650,43200,43250,24237,403287.0,9324548.0
2018-11-29,43550,46000,43550,45800,110938,427064.0,9324548.0
2018-11-30,45800,46100,45000,45400,39175,423334.0,9324548.0
2018-12-03,45400,46300,45350,45500,49474,424267.0,9324548.0
2018-12-04,45700,45950,44050,44950,68127,419138.0,9324548.0
2018-12-05,44400,45900,44150,45200,44675,421470.0,9324548.0
2018-12-06,45350,45900,44600,45000,32594,419605.0,9324548.0
2018-12-07,45100,45750,44250,44850,25358,418206.0,9324548.0
2018-12-10,44250,45300,44250,44600,34146,415875.0,9324548.0
2018-12-11,44500,44900,43800,44550,65814,415409.0,9324548.0
2018-12-12,45450,47200,44300,47150,65652,439652.0,9324548.0
2018-12-13,47450,48850,47100,48200,80840,449443.0,9324548.0
2018-12-14,48150,48600,47350,48500,35603,452241.0,9324548.0
2018-12-17,48450,49300,47100,48500,51209,452241.0,9324548.0
2018-12-18,48500,49000,46550,48000,60784,447578.0,9324548.0
2018-12-19,48100,51500,46650,47100,166241,439186.0,9324548.0
2018-12-20,47100,47950,45950,46400,35522,432659.0,9324548.0
2018-12-21,46700,46750,43350,44100,142861,411213.0,9324548.0
2018-12-24,44100,44400,43250,43950,23168,409814.0,9324548.0
2018-12-26,43050,43750,41300,42350,46627,394895.0,9324548.0
2018-12-27,42350,42850,41550,42300,26867,394428.0,9324548.0
2018-12-28,42200,43350,41350,41350,31442,385570.0,9324548.0
2019-01-02,41450,42250,41350,42000,36232,391631.0,9324548.0
2019-01-03,42000,42300,40800,40800,29102,380442.0,9324548.0
2019-01-04,40500,40650,38650,39050,51674,364124.0,9324548.0
2019-01-07,39500,40650,39500,40500,30787,377644.0,9324548.0
2019-01-08,41050,41050,40350,40950,20623,381840.0,9324548.0
2019-01-09,40850,44350,40850,42400,61840,395361.0,9324548.0
2019-01-10,42100,42650,41450,41650,32050,388367.0,9324548.0
2019-01-11,41800,43600,41550,42950,46004,400489.0,9324548.0
2019-01-14,42750,44600,42600,43550,29340,406084.0,9324548.0
2019-01-15,44650,44650,43550,43800,31602,408415.0,9324548.0
2019-01-16,43600,44200,42350,43250,50106,403287.0,9324548.0
2019-01-17,43650,46300,42850,45250,80067,421936.0,9324548.0
2019-01-18,47100,51800,46500,47550,338926,443382.0,9324548.0
2019-01-21,48500,49950,47600,49150,167514,458302.0,9324548.0
2019-01-22,49400,49400,46600,47000,94511,438254.0,9324548.0
2019-01-23,47050,47650,46600,46800,49662,436389.0,9324548.0
2019-01-24,46750,47300,45900,46200,49110,430794.0,9324548.0
2019-01-25,45950,46700,45400,45800,73429,427064.0,9324548.0
2019-01-28,45850,46300,44900,45050,62992,420071.0,9324548.0
2019-01-29,45250,45750,44200,44600,84600,415875.0,9324548.0
2019-01-30,44600,46900,44150,46900,107354,437321.0,9324548.0
2019-01-31,46950,47000,45100,45350,79618,422868.0,9324548.0
2019-02-01,45350,45600,43850,43900,84384,409348.0,9324548.0
2019-02-07,45000,45000,44350,44800,64069,417740.0,9324548.0
2019-02-08,44850,45600,44500,44550,71620,415409.0,9324548.0
2019-02-11,45300,46950,45050,46950,122847,437788.0,9324548.0
2019-02-12,47650,48450,46000,46000,81828,428929.0,9324548.0
2019-02-13,46000,47200,45550,46850,68341,436855.0,9324548.0
2019-02-14,46900,47000,45850,46900,54412,437321.0,9324548.0
2019-02-15,46400,46550,45550,45900,51017,427997.0,9324548.0
2019-02-18,46100,46500,45300,45600,42827,425199.0,9324548.0
2019-02-19,45600,46250,45550,46000,46508,428929.0,9324548.0
2019-02-20,45900,47400,44650,47250,115108,440585.0,9324548.0
2019-02-21,47500,47750,46650,47000,46817,438254.0,9324548.0
2019-02-22,46900,47200,46200,46500,35895,433591.0,9324548.0
2019-02-25,46600,47000,45750,46200,27591,430794.0,9324548.0
2019-02-26,46200,46350,45800,46050,22526,429395.0,9324548.0
2019-02-27,46050,46700,45250,46650,38599,434990.0,9324548.0
2019-02-28,46900,46900,44000,44000,86301,410280.0,9324548.0
2019-03-04,44950,44950,43450,43450,52708,405152.0,9324548.0
2019-03-05,43350,44000,42050,43900,58661,409348.0,9324548.0
2019-03-06,44200,44200,41900,42400,46836,395361.0,9324548.0
2019-03-07,42750,42850,41500,41700,37135,388834.0,9324548.0
2019-03-08,41250,42000,41000,41000,39706,382306.0,9324548.0
2019-03-11,41300,41500,40650,41100,30876,383239.0,9324548.0
2019-03-12,41600,41800,40600,40950,54885,381840.0,9324548.0
2019-03-13,40950,41200,40700,41200,31785,384171.0,9324548.0
2019-03-14,41200,41900,40950,41900,69119,390699.0,9324548.0
2019-03-15,42450,42700,41150,41150,63566,383705.0,9324548.0
2019-03-18,41500,41900,40850,41100,57065,383239.0,9324548.0
2019-03-19,41100,41200,40750,40800,61827,380442.0,9324548.0
2019-03-20,41400,41400,40050,40450,56611,377178.0,9324548.0
2019-03-21,40550,40850,40150,40400,42718,376712.0,9324548.0
2019-03-22,40300,40450,39950,40000,36172,372982.0,9324548.0
2019-03-25,39550,39700,39350,39350,32548,366921.0,9324548.0
2019-03-26,39350,39700,39300,39300,19872,366455.0,9324548.0
2019-03-27,39750,40550,39550,40500,33552,377644.0,9324548.0
2019-03-28,40100,40150,39450,39600,34414,369252.0,9324548.0
2019-03-29,39250,39950,39000,39600,41432,369252.0,9324548.0
2019-04-01,39600,41500,39600,41450,77638,386503.0,9324548.0
2019-04-02,41700,41850,40900,41050,48541,382773.0,9324548.0
2019-04-03,41150,41550,40700,41350,28651,385570.0,9324548.0
2019-04-04,41350,41800,41150,41600,32023,387901.0,9324548.0
2019-04-05,41600,41850,41450,41650,19221,388367.0,9324548.0
2019-04-08,41700,41850,41000,41000,26697,382306.0,9324548.0
2019-04-09,41000,41500,40700,41000,20571,382306.0,9324548.0
2019-04-10,40850,42000,40850,41800,44942,389766.0,9324548.0
2019-04-11,42250,42300,41200,41800,33686,389766.0,9324548.0
2019-04-12,41750,42250,41000,41650,41915,388367.0,9324548.0
2019-04-15,41650,42000,41550,41750,32817,389300.0,9324548.0
2019-04-16,41500,41900,41050,41500,42015,386969.0,9324548.0
2019-04-17,41350,42600,41300,42600,59689,397226.0,9324548.0
2019-04-18,42800,42900,41000,41300,61842,385104.0,9324548.0
2019-04-19,41700,41750,40850,41000,22416,382306.0,9324548.0
2019-04-22,41100,41200,40100,40100,46394,373914.0,9324548.0
2019-04-23,39900,40400,38900,39550,89069,368786.0,9324548.0
2019-04-24,39600,40600,39600,39750,33863,370651.0,9324548.0
2019-04-25,39950,40000,39100,39250,40919,365989.0,9324548.0
2019-04-26,39300,39450,39000,39050,21055,364124.0,9324548.0
2019-04-29,40150,40550,39600,40550,33813,378110.0,9324548.0
2019-04-30,40800,40800,39700,39800,35358,371117.0,9324548.0
2019-05-02,41200,41800,40050,40050,66063,373448.0,9324548.0
2019-05-03,40200,40550,39750,39800,26669,371117.0,9324548.0
2019-05-07,39300,40050,38950,39800,35977,371117.0,9324548.0
2019-05-08,39450,39800,39000,39350,27290,366921.0,9324548.0
2019-05-09,39500,39850,36600,37250,106453,347339.0,9324548.0
2019-05-10,37100,38100,36850,37650,40981,351069.0,9324548.0
2019-05-13,37150,37300,35900,36050,43546,336150.0,9324548.0
2019-05-14,35450,35900,34900,35350,55757,329623.0,9324548.0
2019-05-15,35200,35850,35100,35850,34451,334285.0,9324548.0
2019-05-16,35350,36050,35200,35500,22494,331021.0,9324548.0
2019-05-17,35800,35900,34950,35050,27492,326825.0,9324548.0
2019-05-20,35050,35300,34100,34200,24786,318900.0,9324548.0
2019-05-21,33850,34200,33500,33800,40458,315170.0,9324548.0
2019-05-22,33800,35500,33800,34900,48217,325427.0,9324548.0
2019-05-23,35400,35650,34600,35200,31885,328224.0,9324548.0
2019-05-24,34600,35550,34600,35200,15909,328224.0,9324548.0
2019-05-27,34600,35500,34600,34900,17040,325427.0,9324548.0
2019-05-28,34650,36000,34650,35950,24272,335218.0,9324548.0
2019-05-29,35950,36050,34600,34650,23821,323096.0,9324548.0
2019-05-30,34650,34900,33650,33900,39025,316102.0,9324548.0
2019-05-31,33700,34200,33300,33350,38935,310974.0,9324548.0
2019-06-03,33250,33700,32650,33200,38376,309575.0,9324548.0
2019-06-04,33150,33800,33100,33400,31375,311440.0,9324548.0
2019-06-05,33900,34150,33550,34000,24271,317035.0,9324548.0
2019-06-07,33800,34650,33750,34100,30337,317967.0,9324548.0
2019-06-10,34150,34500,33750,33950,20305,316568.0,9324548.0
2019-06-11,34000,35300,33950,35100,51158,327292.0,9324548.0
2019-06-12,35400,36450,35100,35900,66262,334751.0,9324548.0
2019-06-13,35900,36300,35000,35000,75636,326359.0,9324548.0
2019-06-14,35500,35950,35050,35400,37354,330089.0,9324548.0
2019-06-17,35450,35850,34950,35100,46488,327292.0,9324548.0
2019-06-18,35200,35750,35000,35750,20577,333353.0,9324548.0
2019-06-19,35900,36800,35650,36350,34500,338947.0,9324548.0
2019-06-20,36600,36650,35750,35900,20126,334751.0,9324548.0
2019-06-21,35900,36200,35550,35550,23958,331488.0,9324548.0
2019-06-24,35600,35900,35150,35350,24084,329623.0,9324548.0
2019-06-25,35050,35800,34850,35100,25179,327292.0,9324548.0
2019-06-26,34850,35500,34700,35150,29879,327758.0,9324548.0
2019-06-27,34900,35650,34850,34900,26953,325427.0,9324548.0
2019-06-28,34850,35100,33400,33600,42922,313305.0,9324548.0
2019-07-01,34800,34950,34150,34500,27425,321697.0,9324548.0
2019-07-02,34700,34700,34150,34150,8806,318433.0,9324548.0
2019-07-03,34600,34600,33400,33750,17844,314703.0,9324548.0
2019-07-04,33450,33900,32850,33400,23874,311440.0,9324548.0
2019-07-05,33300,33450,32900,33200,12509,309575.0,9324548.0
2019-07-08,32900,33150,32000,32050,31965,298852.0,9324548.0
2019-07-09,32350,32350,30650,30650,48556,285797.0,9324548.0
2019-07-10,30600,30850,30300,30400,26568,283466.0,9324548.0
2019-07-11,30450,30750,30350,30650,22174,285797.0,9324548.0
2019-07-12,30550,31200,30400,30850,26151,287662.0,9324548.0
2019-07-15,30900,31300,30500,31050,20763,289527.0,9324548.0
2019-07-16,30700,31300,30700,31000,15449,289061.0,9324548.0
2019-07-17,30800,31100,29700,29850,48775,278338.0,9324548.0
2019-07-18,29850,29950,29350,29350,27372,273675.0,9324548.0
2019-07-19,29550,30850,29400,30650,45770,285797.0,9324548.0
2019-07-22,30800,31250,30400,30900,16208,288129.0,9324548.0
2019-07-23,30600,31500,30600,31150,20516,290460.0,9324548.0
2019-07-24,31250,31350,30300,30750,22222,286730.0,9324548.0
2019-07-25,30400,30550,28950,29050,72481,270878.0,9324548.0
2019-07-26,29050,29500,28700,29000,47804,270412.0,9324548.0
2019-07-29,32450,33300,31450,32100,366849,299318.0,9324548.0
2019-07-30,31900,35150,31850,34700,223808,323562.0,9324548.0
2019-07-31,34800,35550,34250,34750,99767,324028.0,9324548.0
2019-08-01,34750,35250,34250,34500,69269,321697.0,9324548.0
2019-08-02,33750,36700,33650,35950,149005,335218.0,9324548.0
2019-08-05,35950,35950,34450,35150,106662,327758.0,9324548.0
2019-08-06,34350,35500,33250,33550,62809,312839.0,9324548.0
2019-08-07,33350,34150,32500,32900,49442,306778.0,9324548.0
2019-08-08,33850,33950,32700,33400,52247,311440.0,9324548.0
2019-08-09,33450,33850,32700,32850,26022,306311.0,9324548.0
2019-08-12,32850,33950,32550,32950,31273,307244.0,9324548.0
2019-08-13,32650,36100,32600,35700,93631,332886.0,9324548.0
2019-08-14,35800,37450,35400,36500,79466,340346.0,9324548.0
2019-08-16,36000,36450,35000,35500,35184,331021.0,9324548.0
2019-08-19,35500,37700,34500,37400,69797,348738.0,9324548.0
2019-08-20,37500,38600,37250,38400,49947,358063.0,9324548.0
2019-08-21,38650,39250,37750,38650,41844,360394.0,9324548.0
2019-08-22,38650,38850,37500,37600,41130,350603.0,9324548.0
2019-08-23,37500,37500,36850,36950,25506,344542.0,9324548.0
2019-08-26,36000,36650,35550,35950,23834,335218.0,9324548.0
2019-08-27,36100,36800,35250,35250,31371,328690.0,9324548.0
2019-08-28,35300,35850,35050,35450,18467,330555.0,9324548.0
2019-08-29,35450,35600,34500,34600,25036,322629.0,9324548.0
2019-08-30,34750,35400,34600,35400,32299,330089.0,9324548.0
2019-09-02,35350,36550,35100,36000,23583,335684.0,9324548.0
2019-09-03,36000,37250,35800,36800,27654,343143.0,9324548.0
2019-09-04,36450,36800,35300,35500,34711,331021.0,9324548.0
2019-09-05,35800,35800,34950,35150,26799,327758.0,9324548.0
2019-09-06,35200,35750,35150,35250,17601,328690.0,9324548.0
2019-09-09,35200,35700,34650,34700,24496,323562.0,9324548.0
2019-09-10,34550,36050,34550,35900,20250,334751.0,9324548.0
2019-09-11,35400,35400,34550,34850,38011,324960.0,9324548.0
2019-09-16,35500,35950,34950,35500,21899,331021.0,9324548.0
2019-09-17,35050,35950,34800,34850,14620,324960.0,9324548.0
2019-09-18,34850,35350,33750,33950,58156,316568.0,9324548.0
2019-09-19,34000,34450,33500,34200,33926,318900.0,9324548.0
2019-09-20,34200,34250,33750,33850,23177,315636.0,9324548.0
2019-09-23,33900,34300,33750,33850,16479,315636.0,9324548.0
2019-09-24,33850,34250,33700,34000,13797,317035.0,9324548.0
2019-09-25,33750,33850,32800,32800,37902,305845.0,9324548.0
2019-09-26,33000,33050,32200,32400,26251,302115.0,9324548.0
2019-09-27,32200,32650,31800,32100,17063,299318.0,9324548.0
2019-09-30,31850,32500,31450,31450,22204,,
2019-10-01,31700,32500,31500,31600,22791,,
2019-10-02,31600,31650,31100,31200,13620,,
2019-10-04,31100,31300,30700,30700,15064,,
2019-10-07,31000,31000,30250,30250,14440,,
