핸즈코퍼레이션(143210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-18,8250,8480,8030,8480,16687,185401.0,21863268.0
2017-08-21,8500,8630,8490,8590,44665,187805.0,21863268.0
2017-08-22,8590,8660,8500,8650,21197,189117.0,21863268.0
2017-08-23,8670,8670,8440,8490,23300,185619.0,21863268.0
2017-08-24,8550,8550,8280,8420,29933,184089.0,21863268.0
2017-08-25,8470,8630,8300,8600,34229,188024.0,21863268.0
2017-08-28,8670,8670,8370,8560,15810,187150.0,21863268.0
2017-08-29,8540,8600,8350,8590,26867,187805.0,21863268.0
2017-08-30,8590,8590,8400,8500,8975,185838.0,21863268.0
2017-08-31,8560,8560,8450,8480,3805,185401.0,21863268.0
2017-09-01,8530,8530,8250,8380,36091,183214.0,21863268.0
2017-09-04,8200,8370,8000,8200,18676,179279.0,21863268.0
2017-09-05,8250,8250,8130,8220,12507,179716.0,21863268.0
2017-09-06,8290,8590,8110,8400,39466,183651.0,21863268.0
2017-09-07,8490,8510,8340,8500,16065,185838.0,21863268.0
2017-09-08,8580,8600,8360,8400,10265,183651.0,21863268.0
2017-09-11,8400,8410,8200,8390,22341,183433.0,21863268.0
2017-09-12,8430,8430,8180,8310,50374,181684.0,21863268.0
2017-09-13,8380,8380,8220,8220,37164,179716.0,21863268.0
2017-09-14,8260,8310,8200,8290,19714,181246.0,21863268.0
2017-09-15,8300,8330,8110,8150,29572,178186.0,21863268.0
2017-09-18,8150,8310,8100,8150,35490,178186.0,21863268.0
2017-09-19,8250,8250,8050,8050,32684,175999.0,21863268.0
2017-09-20,8020,8160,8020,8100,41599,177092.0,21863268.0
2017-09-21,8020,8170,8000,8030,36016,175562.0,21863268.0
2017-09-22,8030,8170,7810,7810,69902,170752.0,21863268.0
2017-09-25,7710,7870,7530,7710,60505,168566.0,21863268.0
2017-09-26,7600,7960,7570,7950,37755,173813.0,21863268.0
2017-09-27,7950,7950,7750,7880,22825,172283.0,21863268.0
2017-09-28,7950,8070,7700,8070,15290,176437.0,21863268.0
2017-09-29,8070,8070,7970,8040,11103,175781.0,21863268.0
2017-10-10,8100,8100,7950,7960,3779,174032.0,21863268.0
2017-10-11,8100,8100,7900,8050,13763,175999.0,21863268.0
2017-10-12,7950,8050,7910,8000,9998,174906.0,21863268.0
2017-10-13,8000,8000,7840,7990,18217,174688.0,21863268.0
2017-10-16,8000,8000,7810,7890,9569,172501.0,21863268.0
2017-10-17,7990,7990,7810,7840,11973,171408.0,21863268.0
2017-10-18,7920,7920,7740,7810,13701,170752.0,21863268.0
2017-10-19,7760,7910,7690,7770,16530,169878.0,21863268.0
2017-10-20,7860,7860,7650,7770,31776,169878.0,21863268.0
2017-10-23,7830,7830,7730,7760,17223,169659.0,21863268.0
2017-10-24,7760,7800,7690,7700,31796,168347.0,21863268.0
2017-10-25,7750,7780,7640,7700,39725,168347.0,21863268.0
2017-10-26,7750,7750,7610,7750,29496,169440.0,21863268.0
2017-10-27,7750,8130,7700,7990,89963,174688.0,21863268.0
2017-10-30,8020,8060,7890,7980,59056,174469.0,21863268.0
2017-10-31,8000,8200,7910,8200,62782,179279.0,21863268.0
2017-11-01,8190,8280,8150,8220,22400,179716.0,21863268.0
2017-11-02,8320,8320,8040,8200,19173,179279.0,21863268.0
2017-11-03,8290,8290,8160,8260,20786,180591.0,21863268.0
2017-11-06,8210,8350,8130,8190,32843,179060.0,21863268.0
2017-11-07,8250,8290,8140,8190,33053,179060.0,21863268.0
2017-11-08,8240,8280,8150,8270,32989,180809.0,21863268.0
2017-11-09,8380,8380,8210,8270,15266,180809.0,21863268.0
2017-11-10,8340,8340,8200,8290,33291,181246.0,21863268.0
2017-11-13,8310,8310,8210,8270,17832,180809.0,21863268.0
2017-11-14,8250,8390,8140,8310,45307,181684.0,21863268.0
2017-11-15,8260,8380,8160,8240,43004,180153.0,21863268.0
2017-11-16,8400,8440,8210,8230,60130,179935.0,21863268.0
2017-11-17,8330,8600,8140,8500,106017,185838.0,21863268.0
2017-11-20,8500,8890,8440,8780,93098,191959.0,21863268.0
2017-11-21,8870,8920,8540,8750,93695,191304.0,21863268.0
2017-11-22,8850,8850,8480,8610,36605,188243.0,21863268.0
2017-11-23,8590,8700,8460,8670,22860,189555.0,21863268.0
2017-11-24,8600,8730,8500,8660,28031,189336.0,21863268.0
2017-11-27,8530,8900,8460,8860,142407,193709.0,21863268.0
2017-11-28,8890,9380,8860,9250,386015,202235.0,21863268.0
2017-11-29,9160,9340,9050,9280,113008,202891.0,21863268.0
2017-11-30,9270,9440,9160,9200,104576,201142.0,21863268.0
2017-12-01,9170,9350,9070,9200,93897,201142.0,21863268.0
2017-12-04,9130,9250,9070,9200,50824,201142.0,21863268.0
2017-12-05,9240,9290,9050,9250,89238,202235.0,21863268.0
2017-12-06,9150,9270,9100,9150,35772,200049.0,21863268.0
2017-12-07,9090,9150,8920,9130,48389,199612.0,21863268.0
2017-12-08,9070,9190,8990,9140,41725,199830.0,21863268.0
2017-12-11,9140,9140,8940,9070,54802,198300.0,21863268.0
2017-12-12,9010,9050,8850,9010,31147,196988.0,21863268.0
2017-12-13,8950,8990,8710,8770,65982,191741.0,21863268.0
2017-12-14,8760,8940,8730,8830,44024,193053.0,21863268.0
2017-12-15,8830,9000,8730,8950,79550,195676.0,21863268.0
2017-12-18,8880,9060,8850,9000,61644,196769.0,21863268.0
2017-12-19,9000,9390,8890,9390,149868,205296.0,21863268.0
2017-12-20,9390,9420,9200,9250,59357,202235.0,21863268.0
2017-12-21,9190,9250,9060,9060,20389,198081.0,21863268.0
2017-12-22,9060,9190,8950,9000,36150,196769.0,21863268.0
2017-12-26,8930,9100,8930,8940,29106,195458.0,21863268.0
2017-12-27,8940,9200,8930,9140,14340,199830.0,21863268.0
2017-12-28,9060,9200,8700,9050,25157,197863.0,21863268.0
2018-01-02,8980,9150,8860,9130,43620,199612.0,21863268.0
2018-01-03,9050,9230,9000,9150,61375,200049.0,21863268.0
2018-01-04,9100,9190,9020,9110,50236,199174.0,21863268.0
2018-01-05,9100,9440,9050,9260,113857,202454.0,21863268.0
2018-01-08,9300,9500,9260,9410,123690,205733.0,21863268.0
2018-01-09,9420,9750,9250,9660,87288,211199.0,21863268.0
2018-01-10,9740,9850,9540,9660,76006,211199.0,21863268.0
2018-01-11,9600,9820,9520,9700,52838,212074.0,21863268.0
2018-01-12,9680,9820,9620,9800,73084,214260.0,21863268.0
2018-01-15,9720,9980,9690,9910,77481,216665.0,21863268.0
2018-01-16,9910,9990,9610,9780,34105,213823.0,21863268.0
2018-01-17,9640,9700,9520,9590,47361,209669.0,21863268.0
2018-01-18,9440,9800,9400,9670,61205,211418.0,21863268.0
2018-01-19,9610,10100,9610,9980,169754,218195.0,21863268.0
2018-01-22,10050,10350,9910,10250,167431,224098.0,21863268.0
2018-01-23,10250,10400,10050,10300,76848,225192.0,21863268.0
2018-01-24,10150,10750,10150,10700,192101,233937.0,21863268.0
2018-01-25,10550,10950,10450,10750,107029,235030.0,21863268.0
2018-01-26,10650,10900,10550,10700,120942,233937.0,21863268.0
2018-01-29,10850,10850,10500,10750,103153,235030.0,21863268.0
2018-01-30,10850,11550,10650,11500,189730,251428.0,21863268.0
2018-01-31,11500,11750,11100,11650,115389,254707.0,21863268.0
2018-02-01,11700,12200,11400,11500,131254,251428.0,21863268.0
2018-02-02,11700,11700,11100,11250,164824,245962.0,21863268.0
2018-02-05,10900,11200,10650,10900,147079,238310.0,21863268.0
2018-02-06,10500,11250,10200,11050,137577,241589.0,21863268.0
2018-02-07,11500,11500,10800,10800,69777,236123.0,21863268.0
2018-02-08,10700,11150,9800,11000,338002,240496.0,21863268.0
2018-02-09,10800,10800,10000,10300,209847,225192.0,21863268.0
2018-02-12,10500,10650,9960,10300,184640,225192.0,21863268.0
2018-02-13,10350,10600,10150,10550,82192,230657.0,21863268.0
2018-02-14,10550,10700,10300,10550,23469,230657.0,21863268.0
2018-02-19,10400,10700,10400,10500,32022,229564.0,21863268.0
2018-02-20,10400,11350,10150,11000,186287,240496.0,21863268.0
2018-02-21,11000,11350,10750,10750,97277,235030.0,21863268.0
2018-02-22,10750,11050,10750,10900,30005,238310.0,21863268.0
2018-02-23,10950,10950,10450,10650,48474,232844.0,21863268.0
2018-02-26,10700,10800,10350,10700,67260,233937.0,21863268.0
2018-02-27,11050,11100,10750,10850,54744,237216.0,21863268.0
2018-02-28,10900,11100,10400,11100,116585,242682.0,21863268.0
2018-03-02,11050,11050,10750,10900,65612,238310.0,21863268.0
2018-03-05,11100,11100,10450,10500,31316,229564.0,21863268.0
2018-03-06,10650,10650,10400,10650,32406,232844.0,21863268.0
2018-03-07,10500,10650,10150,10350,69059,226285.0,21863268.0
2018-03-08,10450,10500,10000,10200,53924,223005.0,21863268.0
2018-03-09,10200,10300,10000,10200,34802,223005.0,21863268.0
2018-03-12,10300,10350,10200,10350,31341,226285.0,21863268.0
2018-03-13,10350,10350,10050,10050,36125,219726.0,21863268.0
2018-03-14,10100,10800,10000,10250,86394,224098.0,21863268.0
2018-03-15,10250,10350,10050,10350,31443,226285.0,21863268.0
2018-03-16,10350,10350,9970,10150,82171,221912.0,21863268.0
2018-03-19,10050,10150,9400,9790,105720,214041.0,21863268.0
2018-03-20,9690,10050,9510,10000,51125,218633.0,21863268.0
2018-03-21,10050,10050,9800,10000,50132,218633.0,21863268.0
2018-03-22,10000,10000,9730,9800,26283,214260.0,21863268.0
2018-03-23,9700,9750,9500,9720,32305,212511.0,21863268.0
2018-03-26,9530,9690,9390,9510,66096,207920.0,21863268.0
2018-03-27,9780,9800,9460,9760,25023,213385.0,21863268.0
2018-03-28,9510,9720,9510,9660,13784,211199.0,21863268.0
2018-03-29,9750,9750,9440,9640,24953,210762.0,21863268.0
2018-03-30,9670,9800,9500,9670,31985,211418.0,21863268.0
2018-04-02,9670,9700,9500,9560,17989,209013.0,21863268.0
2018-04-03,9350,9690,9200,9630,30087,210543.0,21863268.0
2018-04-04,9820,9820,9350,9380,22943,205077.0,21863268.0
2018-04-05,9370,9690,9370,9530,12140,208357.0,21863268.0
2018-04-06,9340,9490,9200,9280,70024,202891.0,21863268.0
2018-04-09,9220,9400,9100,9290,17979,203110.0,21863268.0
2018-04-10,9450,9450,9130,9280,14922,202891.0,21863268.0
2018-04-11,9250,9800,9180,9520,38038,208138.0,21863268.0
2018-04-12,9520,9740,9480,9730,27106,212730.0,21863268.0
2018-04-13,9730,9740,9440,9740,26045,212948.0,21863268.0
2018-04-16,9620,9810,9540,9600,18544,209887.0,21863268.0
2018-04-17,9600,9600,9380,9590,15434,209669.0,21863268.0
2018-04-18,9600,9600,9250,9290,60791,203110.0,21863268.0
2018-04-19,9290,9430,9190,9390,24549,205296.0,21863268.0
2018-04-20,9390,9420,9330,9390,13909,205296.0,21863268.0
2018-04-23,9400,9400,9150,9240,31011,202017.0,21863268.0
2018-04-24,9140,9400,9110,9240,21426,202017.0,21863268.0
2018-04-25,9390,9390,8960,8990,24678,196551.0,21863268.0
2018-04-26,8990,9140,8950,8990,17792,196551.0,21863268.0
2018-04-27,8970,9100,8890,8970,13775,196114.0,21863268.0
2018-04-30,8910,9040,8850,9030,7295,197425.0,21863268.0
2018-05-02,9010,9300,8910,9280,22437,202891.0,21863268.0
2018-05-03,9140,9280,9130,9240,9907,202017.0,21863268.0
2018-05-04,9240,9270,8810,8970,34002,196114.0,21863268.0
2018-05-08,9120,9120,8700,8700,40419,190210.0,21863268.0
2018-05-09,8710,8860,8570,8820,27273,192834.0,21863268.0
2018-05-10,8970,8970,8750,8850,8869,193490.0,21863268.0
2018-05-11,9000,9000,8510,8850,25610,193490.0,21863268.0
2018-05-14,8990,8990,8600,8900,27716,194583.0,21863268.0
2018-05-15,8970,9450,8800,9230,39659,201798.0,21863268.0
2018-05-16,9230,9440,9120,9270,126970,202672.0,21863268.0
2018-05-17,9270,9370,9000,9130,20685,199612.0,21863268.0
2018-05-18,9130,9230,8960,9200,16676,201142.0,21863268.0
2018-05-21,9080,9230,8990,9070,14602,198300.0,21863268.0
2018-05-23,9090,9090,8810,8960,41649,195895.0,21863268.0
2018-05-24,8880,9160,8770,8860,19132,193709.0,21863268.0
2018-05-25,8860,8880,8520,8520,50316,186275.0,21863268.0
2018-05-28,8520,8760,8490,8690,29623,189992.0,21863268.0
2018-05-29,8800,8810,8530,8690,23376,189992.0,21863268.0
2018-05-30,8850,8850,8480,8730,22955,190866.0,21863268.0
2018-05-31,8720,8810,8310,8310,52959,181684.0,21863268.0
2018-06-01,8310,8560,8240,8260,32817,180591.0,21863268.0
2018-06-04,8470,8470,8260,8410,17333,183870.0,21863268.0
2018-06-05,8270,8720,8270,8650,39471,189117.0,21863268.0
2018-06-07,8650,8780,8450,8650,44265,189117.0,21863268.0
2018-06-08,8700,8700,8510,8530,12290,186494.0,21863268.0
2018-06-11,8600,8640,8470,8600,14606,188024.0,21863268.0
2018-06-12,8630,8690,8470,8670,12978,189555.0,21863268.0
2018-06-14,8670,8690,8410,8690,30120,189992.0,21863268.0
2018-06-15,8750,8820,8560,8680,11579,189773.0,21863268.0
2018-06-18,8660,8680,8450,8660,22237,189336.0,21863268.0
2018-06-19,8740,8740,8320,8320,55389,181902.0,21863268.0
2018-06-20,8400,8520,8190,8470,10406,185182.0,21863268.0
2018-06-21,8560,8560,8270,8270,18431,180809.0,21863268.0
2018-06-22,8270,8370,8070,8090,28743,176874.0,21863268.0
2018-06-25,8250,8450,7650,8420,51317,184089.0,21863268.0
2018-06-26,8440,8560,8300,8550,16701,186931.0,21863268.0
2018-06-27,8530,8680,8450,8450,12417,184745.0,21863268.0
2018-06-28,8540,8630,8340,8630,8984,188680.0,21863268.0
2018-06-29,8700,8700,8350,8680,16504,189773.0,21863268.0
2018-07-02,8700,8700,8480,8540,13614,186712.0,21863268.0
2018-07-03,8690,8690,8450,8620,10082,188461.0,21863268.0
2018-07-04,8620,8680,8420,8620,16921,188461.0,21863268.0
2018-07-05,8500,8650,8320,8450,19580,184745.0,21863268.0
2018-07-06,8410,8630,8390,8600,6317,188024.0,21863268.0
2018-07-09,8600,8660,8440,8640,14428,188899.0,21863268.0
2018-07-10,8600,8690,8550,8640,10583,188899.0,21863268.0
2018-07-11,8690,8690,8350,8650,29467,189117.0,21863268.0
2018-07-12,8650,8690,8580,8630,5451,188680.0,21863268.0
2018-07-13,8680,8680,8370,8370,47078,182996.0,21863268.0
2018-07-16,8540,8630,8280,8550,42944,186931.0,21863268.0
2018-07-17,8550,8550,8350,8490,21258,185619.0,21863268.0
2018-07-18,8490,8590,8340,8490,17774,185619.0,21863268.0
2018-07-19,8330,8490,8200,8300,50948,181465.0,21863268.0
2018-07-20,8480,8480,8180,8400,17378,183651.0,21863268.0
2018-07-23,8390,8390,8090,8240,25587,180153.0,21863268.0
2018-07-24,8160,8280,8000,8230,33225,179935.0,21863268.0
2018-07-25,8290,8290,7980,8000,38600,174906.0,21863268.0
2018-07-26,8220,8220,7920,8000,33769,174906.0,21863268.0
2018-07-27,8100,8310,8000,8200,17598,179279.0,21863268.0
2018-07-30,8130,8250,7990,8160,49398,178404.0,21863268.0
2018-07-31,8180,8280,8040,8230,21179,179935.0,21863268.0
2018-08-01,8230,8320,8080,8160,13637,178404.0,21863268.0
2018-08-02,8140,8190,7990,8100,24785,177092.0,21863268.0
2018-08-03,8100,8150,7950,8140,11127,177967.0,21863268.0
2018-08-06,8280,8280,8000,8060,10904,176218.0,21863268.0
2018-08-07,8080,8140,8050,8130,31298,177748.0,21863268.0
2018-08-08,8240,8240,8060,8100,12895,177092.0,21863268.0
2018-08-09,8180,8190,7960,8000,40061,174906.0,21863268.0
2018-08-10,7970,8340,7970,8180,42291,178842.0,21863268.0
2018-08-13,8160,8250,7980,8000,14400,174906.0,21863268.0
2018-08-14,8000,8100,7900,8070,18876,176437.0,21863268.0
2018-08-16,8050,8150,7780,8020,26795,175343.0,21863268.0
2018-08-17,8020,8020,7600,7800,63048,170533.0,21863268.0
2018-08-20,7740,7940,7600,7610,58003,166379.0,21863268.0
2018-08-21,7650,7800,7550,7740,48399,169222.0,21863268.0
2018-08-22,7760,8050,7640,7920,34439,173157.0,21863268.0
