테이팩스(055490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-22,25850,26050,25500,25700,17544,121244.0,4717650.0
2018-02-23,26000,26050,25550,25850,19416,121951.0,4717650.0
2018-02-26,26000,26000,25450,25500,10235,120300.0,4717650.0
2018-02-27,25550,25900,24850,25200,54564,118885.0,4717650.0
2018-02-28,25450,25700,24800,25700,23456,121244.0,4717650.0
2018-03-02,25050,25950,25000,25750,16874,121479.0,4717650.0
2018-03-05,25900,25900,24950,25100,17305,118413.0,4717650.0
2018-03-06,25150,25450,24800,25000,19445,117941.0,4717650.0
2018-03-07,24900,25100,23850,24000,42133,113224.0,4717650.0
2018-03-08,24150,24450,23650,24250,17681,114403.0,4717650.0
2018-03-09,24200,24700,23850,24400,17423,115111.0,4717650.0
2018-03-12,24750,24750,24200,24600,14637,116054.0,4717650.0
2018-03-13,24800,25750,24450,25400,37693,119828.0,4717650.0
2018-03-14,25400,25400,24600,25100,18367,118413.0,4717650.0
2018-03-15,25000,25250,24700,25100,14152,118413.0,4717650.0
2018-03-16,25150,25400,24850,25150,14936,118649.0,4717650.0
2018-03-19,25150,26500,25150,25700,47842,121244.0,4717650.0
2018-03-20,25550,25950,24750,25350,36170,119592.0,4717650.0
2018-03-21,25200,25750,25200,25600,23991,120772.0,4717650.0
2018-03-22,25600,25800,25200,25550,29790,120536.0,4717650.0
2018-03-23,25400,25400,24900,24950,34626,117705.0,4717650.0
2018-03-26,25000,25650,24800,25400,15854,119828.0,4717650.0
2018-03-27,25600,26000,25450,25800,19464,121715.0,4717650.0
2018-03-28,25800,26900,25400,26900,58860,126905.0,4717650.0
2018-03-29,27700,29950,27000,27000,310907,127377.0,4717650.0
2018-03-30,27350,28000,26800,27450,75422,129499.0,4717650.0
2018-04-02,27550,28000,26850,26850,54306,126669.0,4717650.0
2018-04-03,26400,26600,26000,26400,48287,124546.0,4717650.0
2018-04-04,26150,26400,25650,25800,30556,121715.0,4717650.0
2018-04-05,25750,26150,25700,25950,20381,122423.0,4717650.0
2018-04-06,25950,27000,25900,26450,28115,124782.0,4717650.0
2018-04-09,26450,26900,26250,26500,29363,125018.0,4717650.0
2018-04-10,26500,26500,25800,26000,29619,122659.0,4717650.0
2018-04-11,26700,26700,26000,26300,58583,124074.0,4717650.0
2018-04-12,26500,27700,26500,27250,109416,128556.0,4717650.0
2018-04-13,27450,27850,26850,27500,55749,129735.0,4717650.0
2018-04-16,27600,28000,27300,27550,35886,129971.0,4717650.0
2018-04-17,27700,28300,27300,27400,35419,129264.0,4717650.0
2018-04-18,27300,27900,27100,27200,49734,128320.0,4717650.0
2018-04-19,27300,27450,26750,27200,46999,128320.0,4717650.0
2018-04-20,27250,29900,27250,29400,208989,138699.0,4717650.0
2018-04-23,29600,31000,29050,29850,127550,140822.0,4717650.0
2018-04-24,29950,30300,28550,28800,61505,135868.0,4717650.0
2018-04-25,28800,29200,28200,28650,34658,135161.0,4717650.0
2018-04-26,28650,29450,28400,29200,25650,137755.0,4717650.0
2018-04-27,29400,29400,28700,29000,19394,136812.0,4717650.0
2018-04-30,28800,29150,27700,28100,66272,132566.0,4717650.0
2018-05-02,28100,28750,27750,28000,28089,132094.0,4717650.0
2018-05-03,27900,28500,27900,28400,11606,133981.0,4717650.0
2018-05-04,28250,28850,27600,27650,30349,130443.0,4717650.0
2018-05-08,27650,28300,26400,26500,32263,125018.0,4717650.0
2018-05-09,26250,27000,25750,26700,22098,125961.0,4717650.0
2018-05-10,26700,27100,26000,27100,22633,127848.0,4717650.0
2018-05-11,27500,27500,26700,26900,25725,126905.0,4717650.0
2018-05-14,26750,27200,26500,27100,23585,127848.0,4717650.0
2018-05-15,26950,27800,26600,26800,11401,126433.0,4717650.0
2018-05-16,26800,27250,26300,26500,19002,125018.0,4717650.0
2018-05-17,26800,26850,25900,26000,23714,122659.0,4717650.0
2018-05-18,26250,27350,25800,27000,28187,127377.0,4717650.0
2018-05-21,26750,27450,26600,27450,10684,129499.0,4717650.0
2018-05-23,27100,27750,27100,27350,14069,129028.0,4717650.0
2018-05-24,27650,27650,27000,27350,12445,129028.0,4717650.0
2018-05-25,27350,27600,26900,27550,18638,129971.0,4717650.0
2018-05-28,27500,28350,27150,28000,40732,132094.0,4717650.0
2018-05-29,27950,28250,27700,27750,21829,130915.0,4717650.0
2018-05-30,27750,28000,26200,26900,45092,126905.0,4717650.0
2018-05-31,27500,27950,26700,27800,31229,131151.0,4717650.0
2018-06-01,27950,28600,27300,27700,81729,130679.0,4717650.0
2018-06-04,27750,28700,26850,27350,53499,129028.0,4717650.0
2018-06-05,27350,28300,26900,27400,72105,129264.0,4717650.0
2018-06-07,27700,28200,27350,27850,43262,131387.0,4717650.0
2018-06-08,27950,28000,27400,27900,36552,131622.0,4717650.0
2018-06-11,28200,29000,27950,28200,85085,133038.0,4717650.0
2018-06-12,28250,28250,27200,27500,32210,129735.0,4717650.0
2018-06-14,27150,27700,27150,27300,17991,128792.0,4717650.0
2018-06-15,27700,28400,27350,27850,45844,131387.0,4717650.0
2018-06-18,28000,28300,26000,26300,61400,124074.0,4717650.0
2018-06-19,26050,26550,24400,24700,48264,116526.0,4717650.0
2018-06-20,24650,25400,24100,25400,45031,119828.0,4717650.0
2018-06-21,25400,25650,24850,25300,27041,119357.0,4717650.0
2018-06-22,24450,25400,24450,25300,24797,119357.0,4717650.0
2018-06-25,25500,25500,24800,25000,11051,117941.0,4717650.0
2018-06-26,24750,25300,24600,25250,31674,119121.0,4717650.0
2018-06-27,24850,25500,24850,25000,13931,117941.0,4717650.0
2018-06-28,25250,25900,24350,25800,43503,121715.0,4717650.0
2018-06-29,25300,26350,24700,25950,22367,122423.0,4717650.0
2018-07-02,25500,26500,24800,26100,19419,123131.0,4717650.0
2018-07-03,25550,26150,24350,25800,49285,121715.0,4717650.0
2018-07-04,26100,26300,25550,25900,47944,122187.0,4717650.0
2018-07-05,25850,25950,25000,25650,27026,121008.0,4717650.0
2018-07-06,25500,25900,25000,25850,23365,121951.0,4717650.0
2018-07-09,25850,26900,25650,26700,32714,125961.0,4717650.0
2018-07-10,27200,27800,26350,26750,80287,126197.0,4717650.0
2018-07-11,26300,26750,25750,25750,54170,121479.0,4717650.0
2018-07-12,25750,26300,25750,26050,25798,122895.0,4717650.0
2018-07-13,26050,26500,25950,26100,21763,123131.0,4717650.0
2018-07-16,26150,26500,25800,25850,29441,121951.0,4717650.0
2018-07-17,25650,26000,25200,25200,28984,118885.0,4717650.0
2018-07-18,25250,25900,25050,25200,14561,118885.0,4717650.0
2018-07-19,25300,26200,24850,26200,38070,123602.0,4717650.0
2018-07-20,26200,26300,25550,26150,39766,123367.0,4717650.0
2018-07-23,26250,27000,25600,26750,80886,126197.0,4717650.0
2018-07-24,28000,28450,25800,26000,261094,122659.0,4717650.0
2018-07-25,26100,26100,24800,25050,72492,118177.0,4717650.0
2018-07-26,25350,25450,24650,25350,28541,119592.0,4717650.0
2018-07-27,25200,26500,25100,26400,51456,124546.0,4717650.0
2018-07-30,26750,26800,25200,26450,48747,124782.0,4717650.0
2018-07-31,26000,26550,25650,26300,40917,124074.0,4717650.0
2018-08-01,26150,27050,26050,26900,40820,126905.0,4717650.0
2018-08-02,26950,28500,26600,27600,111302,130207.0,4717650.0
2018-08-03,27650,28200,27400,27700,40908,130679.0,4717650.0
2018-08-06,27900,27900,26900,26900,33547,126905.0,4717650.0
2018-08-07,27050,27050,26300,26850,42895,126669.0,4717650.0
2018-08-08,26850,27850,26850,27100,40746,127848.0,4717650.0
2018-08-09,27200,27950,26800,27900,41231,131622.0,4717650.0
2018-08-10,28000,28400,27550,27850,45803,131387.0,4717650.0
2018-08-13,27750,27750,26650,27100,49898,127848.0,4717650.0
2018-08-14,26950,27700,26900,27600,34891,130207.0,4717650.0
2018-08-16,26900,27250,26600,27150,43082,128084.0,4717650.0
2018-08-17,27400,27550,26950,27400,30915,129264.0,4717650.0
2018-08-20,27250,27550,26650,27500,35492,129735.0,4717650.0
2018-08-21,28100,28750,27800,28400,145898,133981.0,4717650.0
2018-08-22,28300,28500,27600,27800,41759,131151.0,4717650.0
2018-08-23,27950,27950,27200,27550,35794,129971.0,4717650.0
2018-08-24,27550,27750,27150,27650,33743,130443.0,4717650.0
2018-08-27,27650,27850,26200,26450,72841,124782.0,4717650.0
2018-08-28,26600,26650,26150,26250,36161,123838.0,4717650.0
2018-08-29,26200,26750,26150,26550,33299,125254.0,4717650.0
2018-08-30,26750,27150,26500,26950,48243,127141.0,4717650.0
2018-08-31,26950,28200,26800,28050,123909,132330.0,4717650.0
2018-09-03,28000,28250,27500,27900,39553,131622.0,4717650.0
2018-09-04,28050,30000,27850,29950,217927,141294.0,4717650.0
2018-09-05,30350,32450,29750,30850,367223,145540.0,4717650.0
2018-09-06,31500,33200,31200,32550,247670,153560.0,4717650.0
2018-09-07,32950,33250,31350,32250,170475,152144.0,4717650.0
2018-09-10,31600,32650,31150,31300,164080,147662.0,4717650.0
2018-09-11,29700,30700,29050,30600,264490,144360.0,4717650.0
2018-09-12,30550,30900,29450,30050,111949,141765.0,4717650.0
2018-09-13,30400,30850,29900,30550,64676,144124.0,4717650.0
2018-09-14,30600,30750,28600,29600,156816,139642.0,4717650.0
2018-09-17,29950,29950,28400,28900,101733,136340.0,4717650.0
2018-09-18,28950,30100,28750,29850,88507,140822.0,4717650.0
2018-09-19,30000,30150,29100,29250,64994,137991.0,4717650.0
2018-09-20,29650,29650,28500,28950,62399,136576.0,4717650.0
2018-09-21,29000,29450,28850,29200,43153,137755.0,4717650.0
2018-09-27,29000,29450,28850,29200,39845,137755.0,4717650.0
2018-09-28,29150,29150,28200,28350,57552,133745.0,4717650.0
2018-10-01,28350,28700,28200,28500,28474,134453.0,4717650.0
2018-10-02,28350,28650,27400,27800,59796,131151.0,4717650.0
2018-10-04,27600,27750,26750,26850,49097,126669.0,4717650.0
2018-10-05,26700,27200,25900,26100,45520,123131.0,4717650.0
2018-10-08,26050,26400,25650,25900,26997,122187.0,4717650.0
2018-10-10,25700,26050,24100,24950,87446,117705.0,4717650.0
2018-10-11,23700,24300,21950,21950,104795,103552.0,4717650.0
2018-10-12,21650,22650,21600,22500,66674,106147.0,4717650.0
2018-10-15,22350,22700,21550,22000,52759,103788.0,4717650.0
2018-10-16,22000,22400,21700,22300,23862,105204.0,4717650.0
2018-10-17,22650,23000,21750,22100,58256,104260.0,4717650.0
2018-10-18,22000,22300,22000,22150,20192,104496.0,4717650.0
2018-10-19,22000,22050,20750,20900,111105,98599.0,4717650.0
2018-10-22,20750,21050,20400,20900,35848,98599.0,4717650.0
2018-10-23,20700,20900,19300,19500,98134,91994.0,4717650.0
2018-10-24,19800,20050,18650,19050,70738,89871.0,4717650.0
2018-10-25,18300,19500,18100,19350,70965,91287.0,4717650.0
2018-10-26,19600,19900,18450,19600,65875,92466.0,4717650.0
2018-10-29,19600,19800,18550,18550,49038,87512.0,4717650.0
2018-10-30,18250,20050,18250,19600,47919,92466.0,4717650.0
2018-10-31,19600,21250,19350,20750,92701,97891.0,4717650.0
2018-11-01,20950,21500,20750,21150,56941,99778.0,4717650.0
2018-11-02,21100,22100,21100,21850,74305,103081.0,4717650.0
2018-11-05,21800,22700,21550,22400,55100,105675.0,4717650.0
2018-11-06,22850,22900,22100,22450,71603,105911.0,4717650.0
2018-11-07,22550,23800,22550,23000,96679,108506.0,4717650.0
2018-11-08,24600,24750,22650,23000,120582,108506.0,4717650.0
2018-11-09,23000,24350,22850,23400,84480,110393.0,4717650.0
2018-11-12,23000,23700,22300,22350,34020,105439.0,4717650.0
2018-11-13,21850,23400,21250,23100,43476,108978.0,4717650.0
2018-11-14,23000,25200,23000,24550,131399,115818.0,4717650.0
2018-11-15,24100,25100,23400,25000,67085,117941.0,4717650.0
2018-11-16,24800,25400,24250,25200,32398,118885.0,4717650.0
2018-11-19,25150,25200,23650,23750,39323,112044.0,4717650.0
2018-11-20,23150,23750,22500,23050,27664,108742.0,4717650.0
2018-11-21,22600,23250,22150,23000,29746,108506.0,4717650.0
2018-11-22,23500,23500,22450,22900,12798,108034.0,4717650.0
2018-11-23,22700,23100,21800,21950,20071,103552.0,4717650.0
2018-11-26,21750,22000,21150,21850,23059,103081.0,4717650.0
2018-11-27,21750,22750,21750,22200,24696,104732.0,4717650.0
2018-11-28,22050,22500,21650,21800,14720,102845.0,4717650.0
2018-11-29,21900,22200,21150,21450,28253,101194.0,4717650.0
2018-11-30,21200,21600,20650,20800,25443,98127.0,4717650.0
2018-12-03,21000,22800,21000,22500,42068,106147.0,4717650.0
2018-12-04,22500,22750,22050,22250,13033,104968.0,4717650.0
2018-12-05,21800,21850,21050,21300,29488,100486.0,4717650.0
2018-12-06,21400,21400,19750,20500,48783,96712.0,4717650.0
2018-12-07,20500,21000,20150,20600,11535,97184.0,4717650.0
2018-12-10,20600,20600,19800,20000,17706,94353.0,4717650.0
2018-12-11,20100,20250,19500,19900,10407,93881.0,4717650.0
2018-12-12,19650,20400,19650,20350,33442,96004.0,4717650.0
2018-12-13,20350,20850,20200,20650,14331,97419.0,4717650.0
2018-12-14,20700,20700,20200,20400,12509,96240.0,4717650.0
2018-12-17,20250,20400,19750,19900,11136,93881.0,4717650.0
2018-12-18,19250,19850,19000,19750,19777,93174.0,4717650.0
2018-12-19,19600,20000,19250,19950,9696,94117.0,4717650.0
2018-12-20,19750,19900,19050,19150,16841,90343.0,4717650.0
2018-12-21,19000,20250,19000,20050,17530,94589.0,4717650.0
2018-12-24,20300,20300,19400,19900,12067,93881.0,4717650.0
2018-12-26,19250,19850,19250,19500,9808,91994.0,4717650.0
2018-12-27,19950,20200,19450,19700,8871,92938.0,4717650.0
2018-12-28,19800,21300,19800,21050,26488,99307.0,4717650.0
2019-01-02,21100,21450,20250,20550,9664,96948.0,4717650.0
2019-01-03,20950,20950,20550,20850,20094,98363.0,4717650.0
2019-01-04,20600,21200,19800,20100,22534,94825.0,4717650.0
2019-01-07,20550,20750,20100,20500,9443,96712.0,4717650.0
2019-01-08,20700,20700,20200,20350,6037,96004.0,4717650.0
2019-01-09,20050,20800,20050,20700,4773,97655.0,4717650.0
2019-01-10,20900,20900,20100,20700,6368,97655.0,4717650.0
2019-01-11,20900,22000,20650,21950,31849,103552.0,4717650.0
2019-01-14,22000,23300,21700,22750,35638,107327.0,4717650.0
2019-01-15,22800,23350,22300,23250,22980,109685.0,4717650.0
2019-01-16,23250,23300,22800,23100,11210,108978.0,4717650.0
2019-01-17,23250,23250,22250,22350,14408,105439.0,4717650.0
2019-01-18,22900,22900,22250,22500,5245,106147.0,4717650.0
2019-01-21,22600,23750,22600,23700,37544,111808.0,4717650.0
2019-01-22,23950,23950,23000,23550,12265,111101.0,4717650.0
2019-01-23,23150,23550,22250,23200,24269,109449.0,4717650.0
2019-01-24,23350,23350,22350,22500,13587,106147.0,4717650.0
2019-01-25,22600,23000,22050,22300,20006,105204.0,4717650.0
2019-01-28,22750,23050,22350,22600,11906,106619.0,4717650.0
2019-01-29,22800,23450,22400,22800,12266,107562.0,4717650.0
2019-01-30,23250,23250,22300,22700,11917,107091.0,4717650.0
2019-01-31,22650,23250,22300,23050,19436,108742.0,4717650.0
2019-02-01,23250,23250,22550,22900,9211,108034.0,4717650.0
2019-02-07,23200,24450,22800,24400,41488,115111.0,4717650.0
2019-02-08,24100,24100,23500,23550,14251,111101.0,4717650.0
2019-02-11,23450,23450,22700,22950,20106,108270.0,4717650.0
2019-02-12,22700,23450,22700,22800,20759,107562.0,4717650.0
2019-02-13,23350,23500,22800,23450,11270,110629.0,4717650.0
2019-02-14,23450,23650,23000,23050,11471,108742.0,4717650.0
2019-02-15,23200,23250,22300,22600,18021,106619.0,4717650.0
2019-02-18,22650,22800,22300,22600,17529,106619.0,4717650.0
2019-02-19,22650,22700,22000,22400,22623,105675.0,4717650.0
2019-02-20,22350,22600,22200,22500,12732,106147.0,4717650.0
2019-02-21,22700,22850,21950,22100,28848,104260.0,4717650.0
2019-02-22,22050,22250,21750,21800,15318,102845.0,4717650.0
2019-02-25,22000,22100,21300,21800,27193,102845.0,4717650.0
2019-02-26,21800,21800,21250,21400,19662,100958.0,4717650.0
2019-02-27,21300,21350,20700,20750,37002,97891.0,4717650.0
2019-02-28,20950,20950,20050,20050,53769,94589.0,4717650.0
2019-03-04,20200,20650,20100,20350,28094,96004.0,4717650.0
2019-03-05,20250,20350,19700,20000,31620,94353.0,4717650.0
2019-03-06,20150,20650,20050,20200,18227,95297.0,4717650.0
2019-03-07,20250,20500,19850,19900,22028,93881.0,4717650.0
2019-03-08,19900,19950,19400,19600,23747,92466.0,4717650.0
2019-03-11,19750,19750,19000,19300,19995,91051.0,4717650.0
2019-03-12,19400,19850,19300,19750,24603,93174.0,4717650.0
2019-03-13,19650,19750,19400,19600,14790,92466.0,4717650.0
2019-03-14,19600,20250,19500,20200,26336,95297.0,4717650.0
2019-03-15,20200,20350,19650,19900,24984,93881.0,4717650.0
2019-03-18,20000,20150,19700,19950,16641,94117.0,4717650.0
2019-03-19,19800,20050,19700,19700,18541,92938.0,4717650.0
2019-03-20,19650,19850,19200,19400,22061,91522.0,4717650.0
2019-03-21,19300,19550,19300,19350,12042,91287.0,4717650.0
2019-03-22,19300,19500,19050,19200,16527,90579.0,4717650.0
2019-03-25,19000,19150,18650,18650,28009,87984.0,4717650.0
2019-03-26,18600,18850,18450,18450,18739,87041.0,4717650.0
2019-03-27,18700,18750,18500,18650,12986,87984.0,4717650.0
2019-03-28,19050,19100,18400,18450,17724,87041.0,4717650.0
2019-03-29,18200,18600,17700,18000,36203,84918.0,4717650.0
2019-04-01,18000,18350,17950,18300,16347,86333.0,4717650.0
2019-04-02,18400,18650,18200,18600,8234,87748.0,4717650.0
2019-04-03,18700,19150,18600,19000,16636,89635.0,4717650.0
2019-04-04,19300,19300,18750,18950,12682,89399.0,4717650.0
2019-04-05,19100,19700,18950,19450,22681,91758.0,4717650.0
2019-04-08,19550,19700,19250,19500,16385,91994.0,4717650.0
2019-04-09,19600,19600,18800,19150,13589,90343.0,4717650.0
2019-04-10,19150,19300,18950,19200,3784,90579.0,4717650.0
2019-04-11,19000,19950,19000,19950,23584,94117.0,4717650.0
2019-04-12,20400,24450,20100,23600,591785,111337.0,4717650.0
2019-04-15,23850,24750,23350,24350,168230,114875.0,4717650.0
2019-04-16,24700,25350,23100,23400,112288,110393.0,4717650.0
2019-04-17,23400,23900,23050,23500,46124,110865.0,4717650.0
2019-04-18,23200,23250,21300,21300,141475,100486.0,4717650.0
2019-04-19,21600,22350,21400,22350,56706,105439.0,4717650.0
2019-04-22,22350,22350,21050,21350,50227,100722.0,4717650.0
2019-04-23,21400,21900,21150,21600,26835,101901.0,4717650.0
2019-04-24,21650,21800,21100,21600,19746,101901.0,4717650.0
2019-04-25,21300,21650,21150,21650,16682,102137.0,4717650.0
2019-04-26,21250,21600,20350,20800,30038,98127.0,4717650.0
2019-04-29,21200,21800,20700,21500,24543,101429.0,4717650.0
2019-04-30,21550,21900,21050,21750,17281,102609.0,4717650.0
2019-05-02,21950,22300,21450,22100,18181,104260.0,4717650.0
2019-05-03,21800,22450,21650,22050,17262,104024.0,4717650.0
2019-05-07,21950,21950,21250,21250,18292,100250.0,4717650.0
2019-05-08,20850,21250,20250,20800,27084,98127.0,4717650.0
2019-05-09,20650,21000,19550,19750,30188,93174.0,4717650.0
2019-05-10,19750,20200,19150,19500,18194,91994.0,4717650.0
2019-05-13,19800,19800,19000,19000,16733,89635.0,4717650.0
2019-05-14,18450,19750,18300,19000,33277,89635.0,4717650.0
2019-05-15,18750,19950,18750,19750,17109,93174.0,4717650.0
2019-05-16,19600,20000,19400,19950,9776,94117.0,4717650.0
2019-05-17,19850,20350,19850,20100,13797,94825.0,4717650.0
2019-05-20,20050,20350,19150,19250,7139,90815.0,4717650.0
2019-05-21,19300,19600,19050,19250,7245,90815.0,4717650.0
2019-05-22,19250,19550,19050,19250,8678,90815.0,4717650.0
2019-05-23,19250,19250,18800,18850,11576,88928.0,4717650.0
2019-05-24,18550,19150,18550,19000,10137,89635.0,4717650.0
2019-05-27,19000,19700,19000,19300,7416,91051.0,4717650.0
2019-05-28,19200,19800,19200,19700,4259,92938.0,4717650.0
2019-05-29,19700,19900,19300,19800,11269,93409.0,4717650.0
2019-05-30,19800,20850,19500,20500,20015,96712.0,4717650.0
2019-05-31,20600,20700,20100,20700,19676,97655.0,4717650.0
2019-06-03,20600,21050,20300,20700,15007,97655.0,4717650.0
2019-06-04,21000,21450,20350,21150,18568,99778.0,4717650.0
2019-06-05,21150,22000,21150,21700,22734,102373.0,4717650.0
2019-06-07,21900,22250,21500,22200,20923,104732.0,4717650.0
2019-06-10,22200,22350,21750,22350,13270,105439.0,4717650.0
2019-06-11,22300,22550,22100,22500,11249,106147.0,4717650.0
2019-06-12,22750,22750,21900,22300,15736,105204.0,4717650.0
2019-06-13,22300,22450,21750,22200,15606,104732.0,4717650.0
2019-06-14,22000,22450,21750,22150,10806,104496.0,4717650.0
2019-06-17,22150,22250,21650,22000,12806,103788.0,4717650.0
2019-06-18,22450,22450,21850,22000,6894,103788.0,4717650.0
2019-06-19,22250,22250,21850,22000,6640,103788.0,4717650.0
2019-06-20,21800,22100,21750,21950,5106,103552.0,4717650.0
2019-06-21,22100,22200,21850,22100,12459,104260.0,4717650.0
2019-06-24,22100,22300,21850,22050,5305,104024.0,4717650.0
2019-06-25,21750,22500,21600,22000,16696,103788.0,4717650.0
2019-06-26,21950,22000,21600,22000,7021,103788.0,4717650.0
2019-06-27,22400,22400,20400,21600,8205,101901.0,4717650.0
2019-06-28,21950,21950,20950,21800,10657,102845.0,4717650.0
2019-07-01,22000,22600,21500,21800,15179,102845.0,4717650.0
2019-07-02,22200,22200,21700,21800,3890,102845.0,4717650.0
2019-07-03,21800,22150,21600,21900,5121,103317.0,4717650.0
2019-07-04,21600,22300,21200,21750,6440,102609.0,4717650.0
2019-07-05,21350,22150,21350,22100,7969,104260.0,4717650.0
2019-07-08,22350,22350,21150,21250,5610,100250.0,4717650.0
2019-07-09,21250,21300,20600,20950,9851,98835.0,4717650.0
2019-07-10,20500,21450,20500,21300,9416,100486.0,4717650.0
2019-07-11,21750,21750,21000,21400,2360,100958.0,4717650.0
2019-07-12,21550,21700,21000,21700,4844,102373.0,4717650.0
2019-07-15,21450,21650,21000,21400,6841,100958.0,4717650.0
2019-07-16,21650,21650,21000,21150,3248,99778.0,4717650.0
2019-07-17,21150,21550,20650,21150,6957,99778.0,4717650.0
2019-07-18,21100,21300,20450,21100,12904,99542.0,4717650.0
