CJ(001040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-07-27,34402,39017,34318,39016,70620,1628313.0,17508743.0
1999-07-28,36079,40653,36079,38597,104370,1610804.0,17508743.0
1999-07-29,39226,40023,38722,39058,67397,1630064.0,17508743.0
1999-07-30,39058,40903,36792,38597,59290,1610804.0,17508743.0
1999-08-02,36708,38596,36708,36918,46391,1540769.0,17508743.0
1999-08-03,37338,39311,37129,37548,67340,1567032.0,17508743.0
1999-08-04,37758,39017,37547,38177,64290,1593296.0,17508743.0
1999-08-05,39016,39016,36918,36918,22490,1540769.0,17508743.0
1999-08-06,37674,37757,35660,37002,47720,1544271.0,17508743.0
1999-08-09,36331,36918,35870,36289,32918,1514506.0,17508743.0
1999-08-10,36290,37884,35786,36709,62470,1532015.0,17508743.0
1999-08-11,36709,37758,36668,37548,68730,1567032.0,17508743.0
1999-08-12,35240,38680,35240,37757,131817,1575787.0,17508743.0
1999-08-13,37967,39435,36960,37757,178680,1575787.0,17508743.0
1999-08-16,38596,42791,37757,41701,306607,1740369.0,17508743.0
1999-08-17,41534,42374,38598,39016,168393,1628313.0,17508743.0
1999-08-18,37841,38596,36079,37002,133550,1544271.0,17508743.0
1999-08-19,37759,38556,37339,37380,83210,1560029.0,17508743.0
1999-08-20,37381,37674,36290,37128,47250,1549524.0,17508743.0
1999-08-23,36541,37254,36079,37128,80270,1549524.0,17508743.0
1999-08-24,39017,39017,37129,37128,82200,1549524.0,17508743.0
1999-08-25,37337,37967,37128,37422,120500,1561780.0,17508743.0
1999-08-26,37758,40610,37170,38680,209930,1614306.0,17508743.0
1999-08-27,38681,41954,38345,39436,145149,1645822.0,17508743.0
1999-08-30,40064,40275,38638,39309,54690,1640569.0,17508743.0
1999-08-31,40149,40149,38513,39225,97218,1637067.0,17508743.0
1999-09-01,38764,39226,37086,37086,109792,1547773.0,17508743.0
1999-09-02,36668,36877,35451,35660,84767,1488243.0,17508743.0
1999-09-03,35241,35955,34276,34360,92070,1433966.0,17508743.0
1999-09-06,34821,36039,34821,35241,57228,1470734.0,17508743.0
1999-09-07,35660,37715,35660,36918,84810,1540769.0,17508743.0
1999-09-08,37129,37339,35661,35660,27650,1488243.0,17508743.0
1999-09-09,36079,36373,35534,35786,65160,1493496.0,17508743.0
1999-09-10,35870,37044,35785,35786,91837,1493496.0,17508743.0
1999-09-13,35871,37129,35871,36080,61751,1505752.0,17508743.0
1999-09-14,36919,36919,35912,36248,43671,1512755.0,17508743.0
1999-09-15,36498,36834,35785,36121,34230,1507503.0,17508743.0
1999-09-16,36078,36078,35449,35618,25150,1486492.0,17508743.0
1999-09-17,35240,35618,33981,35030,49080,1461980.0,17508743.0
1999-09-20,35366,35618,34611,34611,42200,1444471.0,17508743.0
1999-09-21,34821,35450,34612,34905,46610,1456727.0,17508743.0
1999-09-22,34821,35032,33773,33772,77070,1409454.0,17508743.0
1999-09-27,33813,33856,29786,29786,166728,1243121.0,17508743.0
1999-09-28,29996,30625,28235,28528,185640,1190595.0,17508743.0
1999-09-29,29158,29158,27270,27521,192300,1148574.0,17508743.0
1999-09-30,27521,28318,27143,27479,242790,1146823.0,17508743.0
1999-10-01,27478,27478,25592,26304,130640,1097798.0,17508743.0
1999-10-04,26640,27983,26640,26850,206802,1120560.0,17508743.0
1999-10-05,27479,27815,26640,26891,126820,1122310.0,17508743.0
1999-10-06,26891,28275,26891,27983,160050,1167833.0,17508743.0
1999-10-07,28025,28529,27690,28234,134220,1178338.0,17508743.0
1999-10-08,28528,29744,28359,28360,176030,1183591.0,17508743.0
1999-10-11,27940,28528,27689,28360,78830,1183591.0,17508743.0
1999-10-12,27983,28738,27563,28738,90696,1199349.0,17508743.0
1999-10-13,28235,29997,28109,29157,97640,1216858.0,17508743.0
1999-10-14,28863,29282,28359,28779,83820,1201100.0,17508743.0
1999-10-15,28528,28948,27982,28528,98100,1190595.0,17508743.0
1999-10-18,27269,28066,27269,27899,59830,1164331.0,17508743.0
1999-10-19,27899,28319,27270,27437,47660,1145072.0,17508743.0
1999-10-20,27773,30206,27521,28695,104540,1197598.0,17508743.0
1999-10-21,29997,30165,27480,27689,73230,1155577.0,17508743.0
1999-10-22,27731,28108,27478,27815,25760,1160830.0,17508743.0
1999-10-25,27606,28067,26976,27270,41460,1138068.0,17508743.0
1999-10-26,26011,27774,26011,27270,54972,1138068.0,17508743.0
1999-10-27,27522,27690,26892,27270,30020,1138068.0,17508743.0
1999-10-28,27646,28191,27185,27479,146140,1146823.0,17508743.0
1999-10-29,27898,29577,27689,28947,223780,1208103.0,17508743.0
1999-11-01,29996,30123,29158,29409,134550,1227363.0,17508743.0
1999-11-02,29786,29786,28989,29367,102033,1225612.0,17508743.0
1999-11-03,29745,31465,29577,30206,156390,1260629.0,17508743.0
1999-11-04,30626,31592,30626,31045,103194,1295647.0,17508743.0
1999-11-05,31885,33563,31885,32681,245930,1363931.0,17508743.0
1999-11-08,32892,33353,32221,32304,89146,1348173.0,17508743.0
1999-11-09,32304,32723,31464,32471,104390,1355177.0,17508743.0
1999-11-10,32723,32850,32305,32304,138840,1348173.0,17508743.0
1999-11-11,32933,33814,32304,32471,144460,1355177.0,17508743.0
1999-11-12,33143,33563,32095,32304,144625,1348173.0,17508743.0
1999-11-15,33101,33101,31760,31885,82520,1330664.0,17508743.0
1999-11-16,31884,32052,30332,31674,136380,1321910.0,17508743.0
1999-11-17,31885,31969,30039,30206,108690,1260629.0,17508743.0
1999-11-18,29367,31255,29367,30626,158774,1278138.0,17508743.0
1999-11-19,30332,34611,30332,33646,422362,1404201.0,17508743.0
1999-11-22,34527,38680,34401,37086,506313,1547773.0,17508743.0
1999-11-23,38512,38974,35869,37338,414221,1558278.0,17508743.0
1999-11-24,37339,38178,36122,36164,184280,1509254.0,17508743.0
1999-11-25,35786,37968,35325,37548,270219,1567032.0,17508743.0
1999-11-26,37548,38094,36500,36499,131995,1523261.0,17508743.0
1999-11-29,37758,37758,33562,34401,113460,1435717.0,17508743.0
1999-11-30,34820,37757,34485,37506,168110,1565282.0,17508743.0
1999-12-01,37758,41912,36793,41072,369070,1714106.0,17508743.0
1999-12-02,41115,47198,41115,47197,569544,1969734.0,17508743.0
1999-12-03,47197,48666,42373,44470,492611,1855927.0,17508743.0
1999-12-06,44471,44471,41744,43211,181584,1803401.0,17508743.0
1999-12-07,44051,48875,42583,47826,294063,1995997.0,17508743.0
1999-12-08,48245,53699,46358,47407,278029,1978488.0,17508743.0
1999-12-09,48245,50972,42373,42372,340304,1768383.0,17508743.0
1999-12-10,47407,48666,45101,48666,245657,2031014.0,17508743.0
1999-12-13,50134,50134,47827,49505,168102,2066032.0,17508743.0
1999-12-14,49504,56845,48874,54958,338650,2293645.0,17508743.0
1999-12-15,54538,56216,49085,51182,148565,2136067.0,17508743.0
1999-12-16,51183,51813,48666,49714,142115,2074786.0,17508743.0
1999-12-17,49085,49714,46148,47407,131511,1978488.0,17508743.0
1999-12-20,44471,49505,44471,47826,146837,1995997.0,17508743.0
1999-12-21,48665,49085,44889,45309,78010,1890944.0,17508743.0
1999-12-22,44679,50343,42162,49294,144140,2057277.0,17508743.0
1999-12-23,49294,52021,47406,47407,124704,1978488.0,17508743.0
1999-12-24,50344,50344,47407,48246,44684,2013505.0,17508743.0
1999-12-27,49086,51183,47407,49085,72130,2052943.0,17546525.0
1999-12-28,49504,54957,49085,54958,149575,2305029.0,17595642.0
2000-01-04,49689,56213,47681,56213,174470,1970712.0,17595642.0
2000-01-05,50191,54206,48183,49689,108320,1741969.0,17595642.0
2000-01-06,52700,52700,44168,44669,137719,1636628.0,18389081.0
2000-01-07,44670,46677,40654,44669,181850,1636628.0,18389081.0
2000-01-10,46677,49187,45673,45924,98210,1682601.0,18389081.0
2000-01-11,48183,51194,47682,47681,277648,1746963.0,18389081.0
2000-01-12,50191,52951,49186,49939,240205,1829714.0,18389081.0
2000-01-13,50692,51194,47229,49036,80520,1796613.0,18389081.0
2000-01-14,49337,52449,49337,52198,213560,1912464.0,18389081.0
2000-01-17,50191,52700,50090,52198,115020,1912464.0,18389081.0
2000-01-18,52197,52197,49336,50089,126340,1835230.0,18389081.0
2000-01-19,54707,54707,49336,50039,289940,1833391.0,18389081.0
2000-01-20,47681,50190,46175,49186,156520,1802130.0,18389081.0
2000-01-21,47430,49187,46126,48183,106755,1765352.0,18389081.0
2000-01-24,46175,48031,45672,47630,94282,1745124.0,18389081.0
2000-01-25,45724,46928,44670,44669,89002,1636628.0,18389081.0
2000-01-26,43265,44670,41005,41758,180190,1529972.0,18389081.0
2000-01-27,41156,43967,39902,43013,120856,1575944.0,18389081.0
2000-01-28,43013,44267,41708,43364,122344,1890596.0,21881893.0
2000-01-31,42461,43164,42010,42361,102612,1846832.0,21881893.0
2000-02-01,43163,43614,41909,42260,169700,1842455.0,21881893.0
2000-02-02,42259,43264,41758,42712,251504,1862149.0,21881893.0
2000-02-03,42712,43164,42010,42662,151223,1859961.0,21881893.0
2000-02-07,42661,46676,42209,45171,272713,1969370.0,21881893.0
2000-02-08,45170,46175,43465,43866,125994,1912477.0,21881893.0
2000-02-09,43865,44569,42209,43364,233620,1890596.0,21881893.0
2000-02-10,42661,42912,41155,41156,230178,1794315.0,21881893.0
2000-02-11,41156,41910,40002,40654,241755,1772433.0,21881893.0
2000-02-14,38997,40101,35383,35384,276246,1542673.0,21881893.0
2000-02-15,34130,36037,33979,34631,287652,1509851.0,21881893.0
2000-02-16,35133,35836,33126,34882,227336,1520792.0,21881893.0
2000-02-17,35182,40101,35182,40102,332446,1748363.0,21881893.0
2000-02-18,41809,43666,38195,39550,317066,1724293.0,21881893.0
2000-02-21,37141,38145,36639,37291,187198,1625825.0,21881893.0
2000-02-22,37291,39048,36889,38696,159034,1687094.0,21881893.0
2000-02-23,44419,44419,39399,40654,240997,1772433.0,21881893.0
2000-02-24,40655,42310,39902,41557,195405,1811821.0,21881893.0
2000-02-25,41657,41657,39901,40302,102342,1757116.0,21881893.0
2000-02-28,37844,37894,36138,36589,207826,1595190.0,21881893.0
2000-02-29,36138,37493,35384,36589,211579,1595190.0,21881893.0
2000-03-02,36890,40102,36639,38346,178347,1671777.0,21881893.0
2000-03-03,38395,38395,35685,36237,187216,1579873.0,21881893.0
2000-03-06,38043,38646,36337,37893,401766,1652083.0,21881893.0
2000-03-07,37642,40904,36438,37893,310956,1652083.0,21881893.0
2000-03-08,37642,39901,37140,39600,259258,1726481.0,21881893.0
2000-03-09,39901,41557,38897,39148,284488,1706788.0,21881893.0
2000-03-10,39850,39850,38746,38897,149124,1695847.0,21881893.0
2000-03-13,38997,40604,38897,39399,196710,1717729.0,21881893.0
2000-03-14,39149,39149,36890,38647,88160,1684906.0,21881893.0
2000-03-15,37392,38446,36639,38446,104706,1676153.0,21881893.0
2000-03-16,39149,39600,37593,38145,99710,1663024.0,21881893.0
2000-03-17,39149,39399,37242,37693,108654,1643330.0,21881893.0
2000-03-20,36639,37442,35434,35535,167470,1549238.0,21881893.0
2000-03-21,35686,36539,35384,35485,138800,1547050.0,21881893.0
2000-03-22,35685,37040,35685,36086,171747,1573308.0,21881893.0
2000-03-23,35685,35986,35283,35635,184716,1553614.0,21881893.0
2000-03-24,35384,36389,35284,36137,157290,1575496.0,21881893.0
2000-03-27,35987,35987,35384,35686,111430,1555803.0,21881893.0
2000-03-28,35886,36890,35635,36639,201495,1597378.0,21881893.0
2000-03-29,36889,37542,36187,36940,208102,1610507.0,21881893.0
2000-03-30,37693,40051,37241,37893,383993,1652083.0,21881893.0
2000-03-31,38144,38144,36086,36488,132795,1590814.0,21881893.0
2000-04-03,36889,37140,33827,34079,178095,1485781.0,21881893.0
2000-04-04,33878,33878,29011,30817,299734,1343548.0,21881893.0
2000-04-06,30616,31569,29762,29863,148130,1301973.0,21881893.0
2000-04-07,29612,30366,28358,28659,440309,1249456.0,21881893.0
2000-04-10,29963,31971,29210,31118,368300,1356677.0,21881893.0
2000-04-11,31117,31117,29462,29612,167952,1291032.0,21881893.0
2000-04-12,29612,31620,29612,30215,237960,1317290.0,21881893.0
2000-04-14,29611,30716,29512,29863,103558,1301973.0,21881893.0
2000-04-17,25848,28107,25396,26601,238129,1159740.0,21881893.0
2000-04-18,29612,29612,27354,28609,171584,1247268.0,21881893.0
2000-04-19,28910,29312,28257,28609,160068,1247268.0,21881893.0
2000-04-20,28609,29011,28106,29010,107037,1264773.0,21881893.0
2000-04-21,29111,30868,28860,30365,111030,1323855.0,21881893.0
2000-04-24,30113,30113,28859,28909,70362,1260397.0,21881893.0
2000-04-25,29161,29412,28659,29110,58470,1269150.0,21881893.0
2000-04-26,29362,30014,28207,28609,120895,1247268.0,21881893.0
2000-04-27,27705,28608,27604,27604,90170,1203504.0,21881893.0
2000-04-28,28609,28810,28106,28609,104270,1247268.0,21881893.0
2000-05-02,28608,29361,28557,29361,93142,1280091.0,21881893.0
2000-05-03,29361,31017,28809,30465,132438,1328231.0,21881893.0
2000-05-04,30666,31117,29361,29361,150390,1280091.0,21881893.0
2000-05-08,30466,30818,29914,30666,164834,1336984.0,21881893.0
2000-05-09,30867,32021,30465,31369,140565,1367618.0,21881893.0
2000-05-10,31318,31368,30465,30465,111228,1328231.0,21881893.0
2000-05-12,30113,30465,29160,29361,79020,1280091.0,21881893.0
2000-05-15,28959,28959,28056,28458,54418,1240703.0,21881893.0
2000-05-16,28357,28608,27102,27203,149668,1185999.0,21881893.0
2000-05-17,27304,27856,23339,23489,442874,1024073.0,21881893.0
2000-05-18,23087,23288,20126,20979,357208,914663.0,21881893.0
2000-05-19,20980,21582,19675,20578,175037,897158.0,21881893.0
2000-05-22,19675,20579,18822,19273,142110,840265.0,21881893.0
2000-05-23,18069,19173,17316,17316,266030,754925.0,21881893.0
2000-05-24,17315,18971,15658,18269,448740,796501.0,21881893.0
2000-05-25,18620,21004,18469,21005,511680,915757.0,21881893.0
2000-05-26,20578,20929,19574,19825,277512,864335.0,21881893.0
2000-05-29,18821,21330,18620,20678,226350,901534.0,21881893.0
2000-05-30,21080,22385,20929,21582,221754,940921.0,21881893.0
2000-05-31,22585,22585,21430,21431,363466,934357.0,21881893.0
2000-06-01,21582,21833,20327,20879,226810,910287.0,21881893.0
2000-06-02,21581,22435,21129,21783,394130,949674.0,21881893.0
2000-06-05,22135,24920,21607,24343,590806,1061272.0,21881893.0
2000-06-07,24343,25497,23590,24920,530996,1086436.0,21881893.0
2000-06-08,24944,25496,22334,22937,370734,1000003.0,21881893.0
2000-06-09,23138,24644,22385,24343,502562,1061272.0,21881893.0
2000-06-12,24894,25948,24593,24994,411241,1089718.0,21881893.0
2000-06-13,24844,24844,23388,23589,239130,1028449.0,21881893.0
2000-06-14,23589,24090,22435,23589,259649,1028449.0,21881893.0
2000-06-15,23589,23589,22334,22334,132529,973744.0,21881893.0
2000-06-16,21080,22685,21080,22033,185522,960615.0,21881893.0
2000-06-19,22185,22837,21582,22586,182800,984685.0,21881893.0
2000-06-20,23038,23239,21984,22435,92574,978121.0,21881893.0
2000-06-21,22511,22837,22084,22586,176822,984685.0,21881893.0
2000-06-22,23238,23840,22685,23840,308466,1039390.0,21881893.0
2000-06-23,23941,24594,23188,24593,340048,1072213.0,21881893.0
2000-06-26,24995,26200,24845,24920,543700,1086436.0,21881893.0
2000-06-27,25069,25345,24090,24944,186569,1087530.0,21881893.0
2000-06-28,24343,26049,24343,25095,198305,1094095.0,21881893.0
2000-06-29,25195,26400,25145,25597,348970,1115977.0,21881893.0
2000-06-30,25847,26249,25395,25647,160054,1118165.0,21881893.0
2000-07-03,25848,28860,25647,28609,367322,1247268.0,21881893.0
2000-07-04,28658,28859,27102,27404,315022,1194751.0,21881893.0
2000-07-05,28106,30868,28106,29964,1084066,1306349.0,21881893.0
2000-07-06,29611,31921,28909,29612,498251,1291032.0,21881893.0
2000-07-07,29611,30063,27855,28257,414937,1231951.0,21881893.0
2000-07-10,28057,28810,27505,27705,267651,1207880.0,21881893.0
2000-07-11,27856,29111,27254,27705,297350,1207880.0,21881893.0
2000-07-12,27605,28558,27605,28207,188583,1229762.0,21881893.0
2000-07-13,28457,29812,28106,29361,351136,1280091.0,21881893.0
2000-07-14,29612,30617,28609,29010,534273,1264773.0,21881893.0
2000-07-18,29110,29862,28357,28558,255400,1245080.0,21881893.0
2000-07-19,28107,28558,25899,26199,247060,1142235.0,21881893.0
2000-07-20,25196,26049,24644,25095,266972,1094095.0,21881893.0
2000-07-21,25146,26049,25146,25547,167010,1113788.0,21881893.0
2000-07-24,25145,25345,23087,23338,185341,1017508.0,21881893.0
2000-07-25,22385,24568,22385,24091,145712,1050331.0,21881893.0
2000-07-26,24593,24593,23137,23840,83840,1039390.0,21881893.0
2000-07-27,23338,23890,23112,23438,68470,1021884.0,21881893.0
2000-07-28,23137,23890,22986,23263,104200,1014226.0,21881893.0
2000-07-31,23262,23740,22836,23338,88630,1017508.0,21881893.0
2000-08-01,23639,24442,23338,24091,134550,1050331.0,21881893.0
2000-08-02,24342,25345,23990,24944,134530,1087530.0,21881893.0
2000-08-03,25246,25296,24392,24493,82680,1067836.0,21881893.0
2000-08-04,24492,24844,23639,24091,73374,1050331.0,21881893.0
2000-08-07,23438,23639,22936,22937,72795,1000003.0,21881893.0
2000-08-08,22936,23262,22284,22284,100704,971556.0,21881893.0
2000-08-09,22284,23062,22284,22937,87320,1000003.0,21881893.0
2000-08-10,22937,24067,22837,24066,121600,1049237.0,21881893.0
2000-08-11,23388,25045,23288,24543,141430,1070025.0,21881893.0
2000-08-14,25045,25445,24643,24693,66500,1076589.0,21881893.0
2000-08-16,24342,25948,24342,25798,108120,1124729.0,21881893.0
2000-08-17,25797,27001,25345,26098,242460,1137858.0,21881893.0
2000-08-18,26350,26350,25045,25145,99470,1096283.0,21881893.0
2000-08-21,24493,25547,24493,24794,77240,1080966.0,21881893.0
2000-08-22,24845,25446,24845,25045,94660,1091906.0,21881893.0
2000-08-23,24844,24994,23940,23965,148490,1044860.0,21881893.0
2000-08-24,24091,24292,23088,23816,95740,1038296.0,21881893.0
2000-08-25,23187,24090,23187,23589,77780,1028449.0,21881893.0
2000-08-28,23087,23790,23087,23589,79080,1028449.0,21881893.0
2000-08-29,23438,24066,23438,23589,74550,1028449.0,21881893.0
2000-08-30,23590,23691,23339,23489,42340,1024073.0,21881893.0
