유유제약(000220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-07-07,2200,2232,2094,2118,59550,10237.0,787478.0
1999-07-08,2102,2183,2102,2134,27300,10316.0,787478.0
1999-07-09,2183,2289,2102,2183,133850,10552.0,787478.0
1999-07-12,2346,2346,2216,2215,73600,10710.0,787478.0
1999-07-13,2216,2248,2167,2183,57150,10552.0,787478.0
1999-07-14,2151,2224,2118,2118,26550,10237.0,787478.0
1999-07-15,2118,2200,2085,2199,27400,10631.0,787478.0
1999-07-16,2167,2248,2151,2248,96200,10867.0,787478.0
1999-07-19,2240,2314,2151,2264,62750,10946.0,787478.0
1999-07-20,2265,2297,2118,2280,123600,11025.0,787478.0
1999-07-21,2200,2395,2200,2329,160950,11261.0,787478.0
1999-07-22,2330,2395,2216,2378,120750,11497.0,787478.0
1999-07-23,2411,2729,2314,2362,149500,11418.0,787478.0
1999-07-26,2411,2411,2159,2166,44750,10473.0,787478.0
1999-07-27,2167,2281,2118,2232,58050,10788.0,787478.0
1999-07-28,2151,2232,2151,2199,42500,10631.0,787478.0
1999-07-29,2134,2346,2134,2329,78200,11261.0,787478.0
1999-07-30,2314,2314,2175,2248,39400,10867.0,787478.0
1999-08-02,2151,2248,2151,2248,41950,10867.0,787478.0
1999-08-03,2167,2281,2167,2264,69250,10946.0,787478.0
1999-08-04,2265,2362,2208,2346,98400,11340.0,787478.0
1999-08-05,2362,2493,2281,2297,269000,11103.0,787478.0
1999-08-06,2281,2362,2216,2232,93100,10788.0,787478.0
1999-08-09,2232,2314,2175,2223,59150,10749.0,787478.0
1999-08-10,2183,2297,2167,2199,77050,10631.0,787478.0
1999-08-11,2151,2297,2126,2272,245300,10985.0,787478.0
1999-08-12,2167,2281,2167,2215,78150,10710.0,787478.0
1999-08-13,2216,2216,2134,2183,41200,10552.0,787478.0
1999-08-16,2151,2232,2142,2150,31850,10395.0,787478.0
1999-08-17,2118,2183,2085,2118,49250,10237.0,787478.0
1999-08-18,2118,2151,1800,2052,37750,9922.0,787478.0
1999-08-19,1955,2118,1955,2052,15250,9922.0,787478.0
1999-08-20,2110,2118,2053,2109,14350,10198.0,787478.0
1999-08-23,2053,2151,2053,2061,13450,9962.0,787478.0
1999-08-24,2077,2151,2077,2118,22450,10237.0,787478.0
1999-08-25,2102,2167,2085,2142,19150,10355.0,787478.0
1999-08-26,2151,2167,2085,2150,35950,10395.0,787478.0
1999-08-27,2102,2151,1841,2028,47550,9804.0,787478.0
1999-08-30,2118,2118,1988,2036,11200,9843.0,787478.0
1999-08-31,1955,2069,1955,2036,57350,9843.0,787478.0
1999-09-01,1955,2053,1955,1979,24650,9568.0,787478.0
1999-09-02,1825,2004,1825,1963,36350,9489.0,787478.0
1999-09-03,1890,2257,1890,2118,77150,10237.0,787478.0
1999-09-06,2028,2200,2020,2191,83000,10592.0,787478.0
1999-09-07,2183,2216,2085,2093,50350,10119.0,787478.0
1999-09-08,2200,2257,2118,2134,103500,10316.0,787478.0
1999-09-09,2159,2159,2053,2118,32400,10237.0,787478.0
1999-09-10,2118,2200,2069,2069,36700,10001.0,787478.0
1999-09-13,2085,2110,2045,2101,37950,10158.0,787478.0
1999-09-14,2110,2110,2020,2036,35550,9843.0,787478.0
1999-09-15,1955,2102,1955,2085,33450,10080.0,787478.0
1999-09-16,2012,2118,2012,2020,31450,9765.0,787478.0
1999-09-17,2020,2020,1923,1938,52700,9371.0,787478.0
1999-09-20,1955,2118,1939,2036,93800,9843.0,787478.0
1999-09-21,2069,2094,2028,2028,24600,9804.0,787478.0
1999-09-22,2102,2110,2004,2004,19950,9686.0,787478.0
1999-09-27,1963,1988,1923,1922,30500,9292.0,787478.0
1999-09-28,1931,1971,1923,1930,17300,9332.0,787478.0
1999-09-29,2020,2020,1906,1906,20200,9213.0,787478.0
1999-09-30,1890,1988,1874,1873,111250,9056.0,787478.0
1999-10-01,1857,1923,1743,1759,21850,8505.0,787478.0
1999-10-04,1792,1825,1719,1718,11000,8308.0,787478.0
1999-10-05,1670,1760,1629,1710,24650,8269.0,787478.0
1999-10-06,1694,1776,1629,1710,18250,8269.0,787478.0
1999-10-07,1711,1792,1711,1775,30250,8584.0,787478.0
1999-10-08,1727,1825,1727,1751,18850,8465.0,787478.0
1999-10-11,1874,2012,1760,2012,229000,9725.0,787478.0
1999-10-12,2028,2053,1914,1914,376650,9253.0,787478.0
1999-10-13,1939,1955,1825,1865,86250,9017.0,787478.0
1999-10-14,1931,1939,1825,1857,33800,8977.0,787478.0
1999-10-15,1800,1866,1800,1841,37800,8899.0,787478.0
1999-10-18,1792,1857,1760,1759,52550,8505.0,787478.0
1999-10-19,1792,1808,1727,1759,50000,8505.0,787478.0
1999-10-20,1760,1890,1760,1841,52400,8899.0,787478.0
1999-10-21,1841,2004,1808,1873,59600,9056.0,787478.0
1999-10-22,1841,1939,1841,1889,14500,9135.0,787478.0
1999-10-25,1857,1857,1711,1792,31100,8662.0,787478.0
1999-10-26,1792,1841,1694,1727,36750,8347.0,787478.0
1999-10-27,1768,1768,1703,1718,20750,8308.0,787478.0
1999-10-28,1694,1784,1694,1775,24850,8584.0,787478.0
1999-10-29,1866,1866,1727,1743,19950,8426.0,787478.0
1999-11-01,1760,1825,1760,1784,23600,8623.0,787478.0
1999-11-02,1776,1841,1760,1759,54200,8505.0,787478.0
1999-11-03,1825,1857,1760,1759,62450,8505.0,787478.0
1999-11-04,1792,1906,1792,1881,118250,9095.0,787478.0
1999-11-05,1906,1914,1817,1841,96050,8899.0,787478.0
1999-11-08,1849,1923,1808,1857,156600,8977.0,787478.0
1999-11-09,1833,1874,1825,1857,21400,8977.0,787478.0
1999-11-10,1857,1866,1825,1841,63750,8899.0,787478.0
1999-11-11,1849,1890,1825,1865,60550,9017.0,787478.0
1999-11-12,1874,1923,1825,1849,87100,8938.0,787478.0
1999-11-15,1857,1857,1792,1792,28350,8662.0,787478.0
1999-11-16,1817,1817,1743,1759,43100,8505.0,787478.0
1999-11-17,1792,1792,1686,1710,52850,8269.0,787478.0
1999-11-18,1776,1874,1727,1808,69050,8741.0,787478.0
1999-11-19,1825,1825,1711,1743,65100,8426.0,787478.0
1999-11-22,1719,1792,1719,1743,27400,8426.0,787478.0
1999-11-23,1711,1735,1670,1735,34900,8387.0,787478.0
1999-11-24,1711,1735,1678,1678,45350,8111.0,787478.0
1999-11-25,1686,1711,1646,1645,26400,7954.0,787478.0
1999-11-26,1678,1686,1589,1588,26300,7678.0,787478.0
1999-11-29,1589,1628,1532,1596,16650,7717.0,787478.0
1999-11-30,1597,1613,1551,1609,13600,7780.0,787478.0
1999-12-01,1610,1623,1532,1611,23950,7788.0,787478.0
1999-12-02,1670,1849,1670,1849,298150,8938.0,787478.0
1999-12-03,1866,1866,1646,1694,99850,8190.0,787478.0
1999-12-06,1694,1694,1532,1596,69050,7717.0,787478.0
1999-12-07,1569,1654,1548,1564,51500,7560.0,787478.0
1999-12-08,1580,1792,1532,1743,143650,8426.0,787478.0
1999-12-09,1800,1890,1694,1759,146050,8505.0,787478.0
1999-12-10,1841,1857,1678,1678,85350,8111.0,787478.0
1999-12-13,1629,1906,1629,1841,142050,8899.0,787478.0
1999-12-14,1923,2110,1923,2109,216550,10198.0,787478.0
1999-12-15,2159,2265,1841,1841,218150,8899.0,787478.0
1999-12-16,1882,1906,1751,1775,88950,8584.0,787478.0
1999-12-17,1760,1817,1678,1727,72450,8347.0,787478.0
1999-12-20,1743,1874,1711,1759,94150,8505.0,787478.0
1999-12-21,1792,1825,1629,1629,78350,7875.0,787478.0
1999-12-22,1548,1628,1499,1562,48900,7552.0,787478.0
1999-12-23,1562,1670,1548,1547,31150,7481.0,787478.0
1999-12-24,1548,1613,1466,1466,59300,7087.0,787478.0
1999-12-27,1468,1562,1434,1482,16700,7166.0,787478.0
1999-12-28,1390,1417,1356,1360,37400,6575.0,787478.0
2000-01-04,1370,1564,1370,1433,49100,6930.0,787478.0
2000-01-05,1450,1548,1417,1417,67000,6851.0,787478.0
2000-01-06,1450,1483,1369,1379,18450,6670.0,787478.0
2000-01-07,1387,1523,1387,1464,28950,7079.0,787478.0
2000-01-10,1483,1512,1434,1482,24650,7166.0,787478.0
2000-01-11,1437,1540,1434,1466,13850,7087.0,787478.0
2000-01-12,1466,1499,1442,1497,32100,7237.0,787478.0
2000-01-13,1466,1497,1450,1481,21800,7158.0,787478.0
2000-01-14,1450,1515,1450,1466,18850,7087.0,787478.0
2000-01-17,1466,1515,1450,1482,17300,7166.0,787478.0
2000-01-18,1515,1515,1453,1482,15750,7166.0,787478.0
2000-01-19,1450,1515,1417,1417,18400,6851.0,787478.0
2000-01-20,1417,1448,1305,1327,23500,6418.0,787478.0
2000-01-21,1328,1416,1279,1384,5950,6694.0,787478.0
2000-01-24,1356,1417,1356,1393,10350,6733.0,787478.0
2000-01-25,1385,1401,1352,1360,6250,6575.0,787478.0
2000-01-26,1417,1417,1336,1393,14650,6733.0,787478.0
2000-01-27,1393,1548,1393,1409,52600,6812.0,787478.0
2000-01-28,1481,1496,1411,1466,20900,7087.0,787478.0
2000-01-31,1409,1496,1401,1446,15650,6993.0,787478.0
2000-02-01,1450,1466,1427,1466,15750,7087.0,787478.0
2000-02-02,1491,1532,1437,1513,25650,7316.0,787478.0
2000-02-03,1499,1735,1466,1523,113200,7363.0,787478.0
2000-02-07,1751,1751,1558,1751,103300,8465.0,787478.0
2000-02-08,1711,1711,1628,1627,94600,7867.0,787478.0
2000-02-09,1580,1727,1580,1580,48700,7639.0,787478.0
2000-02-10,1566,1597,1483,1572,39900,7599.0,787478.0
2000-02-11,1470,1654,1470,1653,50150,7993.0,787478.0
2000-02-14,1662,1662,1499,1500,18550,7253.0,787478.0
2000-02-15,1452,1466,1369,1368,27150,6615.0,787478.0
2000-02-16,1385,1444,1308,1422,20200,6875.0,787478.0
2000-02-17,1417,1564,1417,1546,24700,7473.0,787478.0
2000-02-18,1662,1711,1580,1596,97250,7717.0,787478.0
2000-02-21,1553,1646,1483,1484,20650,7174.0,787478.0
2000-02-22,1466,1545,1401,1523,18250,7363.0,787478.0
2000-02-23,1548,1629,1434,1564,22400,7560.0,787478.0
2000-02-24,1564,1579,1466,1531,25800,7402.0,787478.0
2000-02-25,1491,1662,1474,1596,38000,7717.0,787478.0
2000-02-28,1558,1743,1558,1629,90100,7875.0,787478.0
2000-02-29,1678,1694,1613,1629,21550,7875.0,787478.0
2000-03-02,1629,1874,1629,1775,131950,8584.0,787478.0
2000-03-03,1743,1792,1662,1718,66400,8308.0,787478.0
2000-03-06,1760,1841,1735,1808,98700,8741.0,787478.0
2000-03-07,1825,1841,1751,1792,72750,8662.0,787478.0
2000-03-08,1792,1792,1711,1710,39100,8269.0,787478.0
2000-03-09,1743,1963,1727,1955,145300,9450.0,787478.0
2000-03-10,1988,2085,1890,2020,109950,9765.0,787478.0
2000-03-13,2037,2314,2037,2150,334150,10395.0,787478.0
2000-03-14,2118,2183,1955,1979,152350,9568.0,787478.0
2000-03-15,1955,1955,1792,1816,118850,8780.0,787478.0
2000-03-16,1955,2069,1808,1955,259050,9450.0,787478.0
2000-03-17,1947,2004,1760,1816,145500,8780.0,787478.0
2000-03-20,1939,1939,1768,1841,53600,8899.0,787478.0
2000-03-21,1841,1857,1760,1824,29100,8820.0,787478.0
2000-03-22,1727,1857,1727,1832,83800,8859.0,787478.0
2000-03-23,1792,1923,1792,1832,52950,8859.0,787478.0
2000-03-24,1955,2102,1825,2101,643050,10158.0,787478.0
2000-03-27,2362,2362,2069,2101,726000,10158.0,787478.0
2000-03-28,2037,2085,1971,2004,141200,9686.0,787478.0
2000-03-29,2037,2289,2004,2036,349050,9843.0,787478.0
2000-03-30,2080,2133,1853,1879,192350,8465.0,787478.0
2000-03-31,1879,1958,1827,1835,64400,8269.0,787478.0
2000-04-03,1888,1940,1748,1879,78350,8465.0,787478.0
2000-04-04,1923,2063,1783,1888,178150,8505.0,787478.0
2000-04-06,1888,1905,1661,1662,169950,7489.0,787478.0
2000-04-07,1713,1743,1669,1713,69500,7717.0,787478.0
2000-04-10,1715,1801,1678,1739,85350,7835.0,787478.0
2000-04-11,1748,1748,1573,1590,52050,7166.0,787478.0
2000-04-12,1619,1649,1556,1573,53150,7087.0,787478.0
2000-04-14,1573,1643,1538,1576,49250,7103.0,787478.0
2000-04-17,1453,1519,1365,1470,54600,6623.0,787478.0
2000-04-18,1468,1608,1468,1555,29050,7009.0,787478.0
2000-04-19,1491,1661,1491,1576,32050,7103.0,787478.0
2000-04-20,1608,1608,1558,1606,87150,7237.0,787478.0
2000-04-21,1661,1722,1573,1643,64500,7402.0,787478.0
2000-04-24,1626,1678,1600,1599,38850,7205.0,787478.0
2000-04-25,1598,1647,1556,1606,21250,7237.0,787478.0
2000-04-26,1591,1643,1493,1538,36200,6930.0,787478.0
2000-04-27,1573,1626,1503,1522,15850,6859.0,787478.0
2000-04-28,1608,1608,1530,1547,13200,6969.0,787478.0
2000-05-02,1503,1600,1503,1555,27100,7009.0,787478.0
2000-05-03,1573,1598,1547,1547,12000,6969.0,787478.0
2000-05-04,1573,1774,1521,1774,399350,7993.0,787478.0
2000-05-08,1801,1879,1748,1748,487500,7875.0,787478.0
2000-05-09,1836,1958,1783,1914,603600,8623.0,787478.0
2000-05-10,1871,2141,1783,1975,710100,8899.0,787478.0
2000-05-12,2203,2264,2098,2263,546600,10198.0,787478.0
2000-05-15,2325,2596,2255,2377,921700,10710.0,787478.0
2000-05-16,2447,2447,2028,2027,524450,9135.0,787478.0
2000-05-17,2028,2203,1748,1861,442800,8387.0,787478.0
2000-05-18,1871,1871,1591,1590,309050,7166.0,787478.0
2000-05-19,1402,1586,1376,1585,269850,7142.0,787478.0
2000-05-22,1472,1608,1456,1487,178100,6701.0,787478.0
2000-05-23,1503,1530,1348,1347,129350,6071.0,787478.0
2000-05-24,1264,1416,1225,1363,191500,6142.0,787478.0
2000-05-25,1392,1528,1378,1485,206500,6694.0,787478.0
2000-05-26,1503,1503,1299,1398,108850,6300.0,787478.0
2000-05-29,1390,1547,1329,1416,128650,6379.0,787478.0
2000-05-30,1486,1591,1468,1485,276350,6694.0,787478.0
2000-05-31,1486,1622,1486,1540,340850,6938.0,787478.0
2000-06-01,1556,1626,1465,1538,230100,6930.0,787478.0
2000-06-02,1600,1626,1521,1564,199650,7048.0,787478.0
2000-06-05,1661,1661,1531,1599,250900,7205.0,787478.0
2000-06-07,1551,1635,1551,1608,148200,7245.0,787478.0
2000-06-08,1591,1626,1486,1555,117850,7009.0,787478.0
2000-06-09,1488,1554,1468,1503,93850,6772.0,787478.0
2000-06-12,1503,1713,1503,1660,335700,7481.0,787478.0
2000-06-13,1561,1661,1503,1503,59600,6772.0,787478.0
2000-06-14,1556,1591,1470,1477,48150,6654.0,787478.0
2000-06-15,1435,1453,1385,1384,67450,6237.0,787478.0
2000-06-16,1316,1413,1316,1412,25300,6363.0,787478.0
2000-06-19,1346,1425,1346,1374,14750,6190.0,787478.0
2000-06-20,1364,1433,1364,1381,39400,6692.0,847073.0
2000-06-21,1383,1407,1364,1374,34250,6658.0,847073.0
2000-06-22,1411,1433,1381,1382,78900,6700.0,847073.0
2000-06-23,1381,1433,1365,1400,71750,6785.0,847073.0
2000-06-26,1419,1521,1411,1468,142050,7115.0,847073.0
2000-06-27,1486,1486,1419,1433,61150,6946.0,847073.0
2000-06-28,1433,1626,1433,1625,291200,7878.0,847073.0
2000-06-29,1678,1783,1468,1503,259100,7285.0,847073.0
2000-06-30,1570,1570,1468,1480,68800,7175.0,847073.0
2000-07-03,1486,1517,1468,1480,57400,7175.0,847073.0
2000-07-04,1503,1547,1479,1501,113700,7276.0,847073.0
2000-07-05,1486,1495,1433,1485,74200,7200.0,847073.0
2000-07-06,1433,1486,1433,1468,157150,7115.0,847073.0
2000-07-07,1486,1512,1460,1501,131800,7276.0,847073.0
2000-07-10,1510,1533,1503,1526,167550,7395.0,847073.0
2000-07-11,1524,1635,1468,1512,355750,7327.0,847073.0
2000-07-12,1556,1626,1505,1512,164750,7327.0,847073.0
2000-07-13,1521,1521,1468,1485,76850,7200.0,847073.0
2000-07-14,1486,1500,1454,1482,122850,7183.0,847073.0
2000-07-18,1486,1496,1372,1400,71950,6785.0,847073.0
2000-07-19,1416,1442,1374,1374,44850,6658.0,847073.0
2000-07-20,1364,1442,1357,1396,36850,6768.0,847073.0
2000-07-21,1399,1468,1355,1396,94100,6768.0,847073.0
2000-07-24,1399,1399,1311,1319,43100,6395.0,847073.0
2000-07-25,1311,1399,1311,1396,47050,6768.0,847073.0
2000-07-26,1337,1413,1337,1365,17800,6616.0,847073.0
2000-07-27,1372,1414,1346,1379,33100,6683.0,847073.0
2000-07-28,1346,1399,1322,1389,52800,6734.0,847073.0
2000-07-31,1390,1390,1364,1386,20600,6717.0,847073.0
2000-08-01,1372,1413,1372,1382,31500,6700.0,847073.0
2000-08-02,1425,1442,1390,1421,25200,6887.0,847073.0
2000-08-03,1433,1433,1381,1398,23650,6777.0,847073.0
2000-08-04,1399,1413,1365,1381,34100,6692.0,847073.0
2000-08-07,1365,1381,1346,1347,48000,6531.0,847073.0
2000-08-08,1315,1502,1315,1407,342700,6819.0,847073.0
2000-08-09,1456,1484,1381,1433,145750,6946.0,847073.0
2000-08-10,1400,1547,1364,1547,234500,7497.0,847073.0
2000-08-11,1537,1545,1468,1487,195000,7209.0,847073.0
2000-08-14,1507,1647,1507,1590,306450,7708.0,847073.0
2000-08-16,1573,1591,1512,1512,140500,7327.0,847073.0
2000-08-17,1479,1538,1472,1492,113000,7234.0,847073.0
2000-08-18,1442,1568,1442,1527,205150,7403.0,847073.0
2000-08-21,1591,1713,1572,1590,452500,7708.0,847073.0
2000-08-22,1591,1615,1521,1573,234850,7624.0,847073.0
2000-08-23,1584,1586,1489,1503,174150,7285.0,847073.0
2000-08-24,1573,1573,1467,1468,157100,7115.0,847073.0
2000-08-25,1500,1503,1435,1463,150900,7090.0,847073.0
2000-08-28,1468,1468,1442,1468,116150,7115.0,847073.0
2000-08-29,1474,1474,1447,1450,37550,7031.0,847073.0
2000-08-30,1453,1533,1447,1510,128000,7319.0,847073.0
2000-08-31,1510,1510,1460,1470,62850,7124.0,847073.0
2000-09-01,1477,1626,1477,1571,241700,7615.0,847073.0
2000-09-04,1573,1676,1573,1615,306050,7827.0,847073.0
2000-09-05,1650,1659,1556,1555,254200,7539.0,847073.0
2000-09-06,1577,1678,1573,1641,301500,7954.0,847073.0
2000-09-07,1711,1879,1678,1879,222050,9106.0,847073.0
2000-09-08,2159,2159,1757,1791,2428750,8682.0,847073.0
2000-09-14,1958,2054,1879,2054,200400,9953.0,847073.0
2000-09-15,2360,2360,2360,2360,79800,11435.0,847073.0
2000-09-18,2710,2710,2552,2709,1762200,13130.0,847073.0
2000-09-19,2640,3112,2386,2569,3006550,12452.0,847073.0
2000-09-20,2788,2884,2491,2648,1382200,12833.0,847073.0
2000-09-21,2657,2762,2377,2543,980250,12325.0,847073.0
2000-09-22,2465,2535,2168,2167,692600,10504.0,847073.0
2000-09-25,1958,2325,1958,2062,1205400,9995.0,847073.0
2000-09-26,2168,2369,2133,2368,748850,11478.0,847073.0
2000-09-27,2447,2526,2203,2237,1425450,10843.0,847073.0
2000-09-28,2308,2308,2063,2176,474600,10546.0,847073.0
2000-09-29,2238,2500,2185,2237,1587200,10843.0,847073.0
2000-10-02,2299,2404,2238,2272,793350,11012.0,847073.0
2000-10-04,2308,2412,2176,2228,654700,10800.0,847073.0
2000-10-05,2281,2561,2168,2561,975900,12410.0,847073.0
2000-10-06,2544,2718,2412,2412,1490200,11690.0,847073.0
