동아타이어(282690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-01-23,13350,13550,12850,13500,75201,185396.0,13733015.0
2018-01-24,13700,13700,13250,13450,21743,184709.0,13733015.0
2018-01-25,13350,13800,13200,13750,67526,188829.0,13733015.0
2018-01-26,13750,14250,13350,13600,32288,186769.0,13733015.0
2018-01-29,13600,13700,13100,13600,44483,186769.0,13733015.0
2018-01-30,13600,13650,13300,13600,41406,186769.0,13733015.0
2018-01-31,13450,13750,13350,13400,22601,184022.0,13733015.0
2018-02-01,13250,13950,13250,13850,21484,190202.0,13733015.0
2018-02-02,13850,14600,13650,13950,68492,191576.0,13733015.0
2018-02-05,14000,14000,13200,13950,37666,191576.0,13733015.0
2018-02-06,13850,13850,13400,13400,28438,184022.0,13733015.0
2018-02-07,13450,14000,13450,13500,19010,185396.0,13733015.0
2018-02-08,13450,14150,13300,13750,37995,188829.0,13733015.0
2018-02-09,13750,14000,13450,13600,7291,186769.0,13733015.0
2018-02-12,13600,13950,13350,13600,32815,186769.0,13733015.0
2018-02-13,13600,13950,13550,13600,19227,186769.0,13733015.0
2018-02-14,13500,13750,13400,13700,19814,188142.0,13733015.0
2018-02-19,13700,14150,13550,13950,25704,191576.0,13733015.0
2018-02-20,13950,14000,13800,13850,20482,190202.0,13733015.0
2018-02-21,13850,14250,13750,13850,19586,190202.0,13733015.0
2018-02-22,13850,14000,13750,13950,5851,191576.0,13733015.0
2018-02-23,13850,14500,13750,14450,32631,198442.0,13733015.0
2018-02-26,14450,17700,14400,15400,198377,211488.0,13733015.0
2018-02-27,15450,15600,14950,15000,40308,205995.0,13733015.0
2018-02-28,14950,15300,14650,15100,26479,207369.0,13733015.0
2018-03-02,14900,15450,14650,15200,16734,208742.0,13733015.0
2018-03-05,15300,15400,14800,15400,22646,211488.0,13733015.0
2018-03-06,15450,15600,15150,15250,13470,209428.0,13733015.0
2018-03-07,15200,15250,14900,15200,14500,208742.0,13733015.0
2018-03-08,15150,15150,14950,15150,11186,208055.0,13733015.0
2018-03-09,15100,15300,14350,14650,82829,201189.0,13733015.0
2018-03-12,14700,15450,14350,15450,19623,212175.0,13733015.0
2018-03-13,15450,15750,15050,15100,19891,207369.0,13733015.0
2018-03-14,15100,15250,14850,14900,1631,204622.0,13733015.0
2018-03-15,14750,14950,14550,14700,10373,201875.0,13733015.0
2018-03-16,14650,14800,14450,14450,6273,198442.0,13733015.0
2018-03-19,14400,14650,13900,14000,15856,192262.0,13733015.0
2018-03-20,13750,14050,13400,13550,19303,186082.0,13733015.0
2018-03-21,13600,13800,13150,13550,16065,186082.0,13733015.0
2018-03-22,13550,13600,13250,13400,14407,184022.0,13733015.0
2018-03-23,13400,14350,12700,13550,37264,186082.0,13733015.0
2018-03-26,13550,13950,13150,13600,7065,186769.0,13733015.0
2018-03-27,13550,13850,13350,13600,5871,186769.0,13733015.0
2018-03-28,13350,13650,13300,13450,5587,184709.0,13733015.0
2018-03-29,13450,13600,13350,13400,905,184022.0,13733015.0
2018-03-30,13400,14700,13350,14150,59672,194322.0,13733015.0
2018-04-02,14150,14150,13600,13600,18090,186769.0,13733015.0
2018-04-03,13600,14500,13300,14150,36735,194322.0,13733015.0
2018-04-04,14150,14250,13250,13250,23579,181962.0,13733015.0
2018-04-05,13250,13750,13150,13500,10248,185396.0,13733015.0
2018-04-06,13500,13900,13350,13700,8038,188142.0,13733015.0
2018-04-09,13650,14500,13550,14400,33481,197755.0,13733015.0
2018-04-10,14200,14550,14000,14150,9659,194322.0,13733015.0
2018-04-11,14150,14600,13950,14050,4130,192949.0,13733015.0
2018-04-12,14200,14650,13900,14550,42440,199815.0,13733015.0
2018-04-13,14450,14600,14150,14200,13922,195009.0,13733015.0
2018-04-16,14700,14700,13950,14200,18530,195009.0,13733015.0
2018-04-17,14600,14600,13950,14300,9541,196382.0,13733015.0
2018-04-18,14100,14400,14000,14100,5180,193636.0,13733015.0
2018-04-19,14100,14100,13800,14050,12404,192949.0,13733015.0
2018-04-20,14000,14000,13750,13800,15668,189516.0,13733015.0
2018-04-23,13800,13950,13500,13800,14855,189516.0,13733015.0
2018-04-24,13900,14100,13800,14050,7704,192949.0,13733015.0
2018-04-25,14050,14350,13900,14150,16790,194322.0,13733015.0
2018-04-26,14150,14250,14000,14150,17517,194322.0,13733015.0
2018-04-27,14200,14300,14100,14100,11596,193636.0,13733015.0
2018-04-30,14050,14150,13800,13800,2643,189516.0,13733015.0
2018-05-02,14000,14100,13700,13850,3536,190202.0,13733015.0
2018-05-03,13750,13850,13400,13400,3427,184022.0,13733015.0
2018-05-04,13400,13500,13150,13500,1490,185396.0,13733015.0
2018-05-08,13250,13550,13250,13550,2681,186082.0,13733015.0
2018-05-09,13500,13650,13300,13600,3721,186769.0,13733015.0
2018-05-10,13600,13600,13300,13350,7044,183336.0,13733015.0
2018-05-11,13400,13600,13300,13550,1681,186082.0,13733015.0
2018-05-14,13750,14050,13400,13700,7389,188142.0,13733015.0
2018-05-15,13600,13600,13400,13550,1649,186082.0,13733015.0
2018-05-16,13400,17550,13300,13950,195750,191576.0,13733015.0
2018-05-17,13900,14050,13600,13950,25012,191576.0,13733015.0
2018-05-18,13950,14650,13750,14650,24107,201189.0,13733015.0
2018-05-21,14650,14750,14350,14400,16678,197755.0,13733015.0
2018-05-23,14400,14400,14100,14200,8010,195009.0,13733015.0
2018-05-24,14200,14700,14150,14300,11696,196382.0,13733015.0
2018-05-25,14400,14500,13950,14200,12883,195009.0,13733015.0
2018-05-28,14800,14800,13900,13900,8497,190889.0,13733015.0
2018-05-29,13900,13900,13450,13450,12518,184709.0,13733015.0
2018-05-30,13500,13500,13100,13100,5385,179902.0,13733015.0
2018-05-31,13100,13300,12950,13000,36939,178529.0,13733015.0
2018-06-01,13100,13700,13000,13500,8095,185396.0,13733015.0
2018-06-04,13450,13900,13250,13300,3913,182649.0,13733015.0
2018-06-05,13250,13700,13200,13700,1872,188142.0,13733015.0
2018-06-07,13900,14000,13400,13650,10911,187456.0,13733015.0
2018-06-08,13650,14250,13500,13500,10819,185396.0,13733015.0
2018-06-11,13500,14000,13400,13550,6316,186082.0,13733015.0
2018-06-12,13500,13900,13450,13500,10185,185396.0,13733015.0
2018-06-14,13650,14200,13300,13300,16979,182649.0,13733015.0
2018-06-15,13200,13900,13200,13200,22838,181276.0,13733015.0
2018-06-18,13250,13950,13100,13650,6079,187456.0,13733015.0
2018-06-19,13450,13850,13250,13650,7439,187456.0,13733015.0
2018-06-20,13600,13850,13350,13550,4190,186082.0,13733015.0
2018-06-21,13600,14200,13400,13750,5219,188829.0,13733015.0
2018-06-22,13550,14350,13400,13400,7341,184022.0,13733015.0
2018-06-25,13400,13850,13350,13750,1088,188829.0,13733015.0
2018-06-26,13850,13900,13350,13850,1978,190202.0,13733015.0
2018-06-27,14100,14150,13600,14100,2719,193636.0,13733015.0
2018-06-28,14100,14300,13750,13750,9161,188829.0,13733015.0
2018-06-29,13650,14100,13650,14100,1500,193636.0,13733015.0
2018-07-02,14100,14200,13500,13600,5862,186769.0,13733015.0
2018-07-03,13600,13850,13550,13650,4637,187456.0,13733015.0
2018-07-04,13750,13750,13650,13700,2214,188142.0,13733015.0
2018-07-05,13700,14100,13600,14050,5034,192949.0,13733015.0
2018-07-06,14050,14150,13950,13950,1712,191576.0,13733015.0
2018-07-09,13900,14150,13800,14000,16643,192262.0,13733015.0
2018-07-10,14150,14150,13800,14050,3576,192949.0,13733015.0
2018-07-11,14050,14050,13900,14000,842,192262.0,13733015.0
2018-07-12,14000,14000,13850,14000,2351,192262.0,13733015.0
2018-07-13,13750,14050,13750,14050,762,192949.0,13733015.0
2018-07-16,14000,14100,13650,13900,37393,190889.0,13733015.0
2018-07-17,13850,13900,13800,13900,631,190889.0,13733015.0
2018-07-18,13900,13900,13450,13450,9053,184709.0,13733015.0
2018-07-19,13300,13500,13250,13400,3543,184022.0,13733015.0
2018-07-20,13400,13400,12900,12950,58347,177843.0,13733015.0
2018-07-23,13000,13300,12700,13050,29575,179216.0,13733015.0
2018-07-24,13050,13050,12850,12950,2448,177843.0,13733015.0
2018-07-25,12900,13100,12550,13000,18942,178529.0,13733015.0
2018-07-26,13000,13000,12600,12650,11461,173723.0,13733015.0
2018-07-27,12700,13200,12600,13050,4803,179216.0,13733015.0
2018-07-30,13250,13250,12600,12700,11065,174409.0,13733015.0
2018-07-31,12550,13050,12500,13050,6162,179216.0,13733015.0
2018-08-01,13050,13250,13050,13150,1234,180589.0,13733015.0
2018-08-02,13250,13500,13150,13400,3764,184022.0,13733015.0
2018-08-03,13300,13400,13200,13300,514,182649.0,13733015.0
2018-08-06,13400,13400,13250,13300,1870,182649.0,13733015.0
2018-08-07,13300,13300,13050,13300,1243,182649.0,13733015.0
2018-08-08,13100,13300,13100,13250,123,181962.0,13733015.0
2018-08-09,13100,13400,13050,13350,4495,183336.0,13733015.0
2018-08-10,13250,13600,13250,13550,1997,186082.0,13733015.0
2018-08-13,13350,13650,13100,13500,1246,185396.0,13733015.0
2018-08-14,13350,13500,13250,13450,862,184709.0,13733015.0
2018-08-16,13450,13600,13200,13550,3712,186082.0,13733015.0
2018-08-17,13550,13600,13350,13600,1504,186769.0,13733015.0
2018-08-20,13750,13750,13400,13550,911,186082.0,13733015.0
2018-08-21,13550,13550,13350,13450,755,184709.0,13733015.0
2018-08-22,13400,13550,12900,13250,4213,181962.0,13733015.0
2018-08-23,13250,13300,13100,13300,595,182649.0,13733015.0
2018-08-24,13150,13300,13100,13300,1682,182649.0,13733015.0
2018-08-27,13100,13500,13050,13500,6672,185396.0,13733015.0
2018-08-28,13350,13350,12950,12950,38598,177843.0,13733015.0
2018-08-29,12900,13150,12850,13100,2571,179902.0,13733015.0
2018-08-30,13000,13300,12900,13100,60750,179902.0,13733015.0
2018-08-31,12950,13200,12950,12950,2499,177843.0,13733015.0
2018-09-03,12950,13150,12950,13050,454,179216.0,13733015.0
2018-09-04,13000,13400,13000,13350,10198,183336.0,13733015.0
2018-09-05,13350,13450,13050,13350,5007,183336.0,13733015.0
2018-09-06,13300,13400,13150,13400,2971,184022.0,13733015.0
2018-09-07,13400,13550,13400,13550,6347,186082.0,13733015.0
2018-09-10,13550,13600,13350,13400,2184,184022.0,13733015.0
2018-09-11,13350,13600,13350,13500,5210,185396.0,13733015.0
2018-09-12,13500,13550,13400,13550,680,186082.0,13733015.0
2018-09-13,13500,13650,13200,13650,8530,187456.0,13733015.0
2018-09-14,13750,13900,13500,13800,4250,189516.0,13733015.0
2018-09-17,13600,13900,13600,13600,258,186769.0,13733015.0
2018-09-18,13800,14100,13500,13500,13797,185396.0,13733015.0
2018-09-19,13650,13650,13350,13650,18332,187456.0,13733015.0
2018-09-20,13650,13650,13400,13450,492,184709.0,13733015.0
2018-09-21,13400,13600,13400,13400,1067,184022.0,13733015.0
2018-09-27,13550,13600,13200,13550,5927,186082.0,13733015.0
2018-09-28,13400,13600,13400,13600,1541,186769.0,13733015.0
2018-10-01,13600,13650,13500,13650,285,187456.0,13733015.0
2018-10-02,13700,13700,13500,13600,1117,186769.0,13733015.0
2018-10-04,13550,13600,13350,13550,2520,186082.0,13733015.0
2018-10-05,13350,13950,13350,13950,6373,191576.0,13733015.0
2018-10-08,14450,14450,13500,13500,1015,185396.0,13733015.0
2018-10-10,13500,14000,13500,13500,1209,185396.0,13733015.0
2018-10-11,13850,13850,12900,12900,12540,177156.0,13733015.0
2018-10-12,12800,13750,12800,13750,8538,188829.0,13733015.0
2018-10-15,13750,13900,13600,13850,275,190202.0,13733015.0
2018-10-16,13800,13850,13350,13450,3447,184709.0,13733015.0
2018-10-17,13450,13550,13350,13450,800,184709.0,13733015.0
2018-10-18,13350,13400,13150,13400,25510,184022.0,13733015.0
2018-10-19,13400,13400,13100,13300,2046,182649.0,13733015.0
2018-10-22,13100,13350,13050,13200,193,181276.0,13733015.0
2018-10-23,13350,13350,13050,13050,692,179216.0,13733015.0
2018-10-24,12950,13250,12750,13050,4048,179216.0,13733015.0
2018-10-25,12550,13000,12550,12900,3474,177156.0,13733015.0
2018-10-26,12850,13800,12850,13500,8664,185396.0,13733015.0
2018-10-29,13350,13550,13150,13300,4279,182649.0,13733015.0
2018-10-30,13400,13500,12850,13400,2628,184022.0,13733015.0
2018-10-31,13250,13450,13200,13450,853,184709.0,13733015.0
2018-11-01,13300,13550,13250,13550,645,186082.0,13733015.0
2018-11-02,13400,13550,13350,13500,4016,185396.0,13733015.0
2018-11-05,13200,13550,13200,13550,2934,186082.0,13733015.0
2018-11-06,13550,13550,13200,13300,1613,182649.0,13733015.0
2018-11-07,13400,13450,13200,13300,98,182649.0,13733015.0
2018-11-08,13300,13350,13200,13300,72,182649.0,13733015.0
2018-11-09,13300,13450,13100,13450,716,184709.0,13733015.0
2018-11-12,13300,13400,13250,13350,203,183336.0,13733015.0
2018-11-13,13300,13400,13150,13400,713,184022.0,13733015.0
2018-11-14,13400,13450,12550,13100,9841,179902.0,13733015.0
2018-11-15,13150,13250,13000,13200,1125,181276.0,13733015.0
2018-11-16,13050,13350,13050,13300,1264,182649.0,13733015.0
2018-11-19,13300,13450,13250,13450,551,184709.0,13733015.0
2018-11-20,13450,13450,13250,13450,196,184709.0,13733015.0
2018-11-21,13450,13450,13100,13100,5064,179902.0,13733015.0
2018-11-22,13100,13150,13000,13150,1466,180589.0,13733015.0
2018-11-23,13100,13200,13000,13100,957,179902.0,13733015.0
2018-11-26,13050,13050,11950,12350,154607,169603.0,13733015.0
2018-11-27,12600,12600,12400,12500,1997,171663.0,13733015.0
2018-11-28,12550,13150,12450,13150,7848,180589.0,13733015.0
2018-11-29,13000,13400,12950,13400,3945,184022.0,13733015.0
2018-11-30,13400,13400,13100,13250,2542,181962.0,13733015.0
2018-12-03,13200,13300,13050,13300,759,182649.0,13733015.0
2018-12-04,13250,13250,12950,12950,6847,177843.0,13733015.0
2018-12-05,12900,13150,12800,13150,434,180589.0,13733015.0
2018-12-06,13100,13100,12750,13100,2085,179902.0,13733015.0
2018-12-07,13050,13100,12900,13050,481,179216.0,13733015.0
2018-12-10,12900,13150,12900,13000,402,178529.0,13733015.0
2018-12-11,12950,13100,12750,13050,3572,179216.0,13733015.0
2018-12-12,13050,13050,12850,12850,1231,176469.0,13733015.0
2018-12-13,12700,12900,12700,12850,6105,176469.0,13733015.0
2018-12-14,12850,12850,12450,12450,8449,170976.0,13733015.0
2018-12-17,12500,12750,12300,12650,3978,173723.0,13733015.0
2018-12-18,12500,13050,12500,13050,2073,179216.0,13733015.0
2018-12-19,12950,12950,12700,12850,2348,176469.0,13733015.0
2018-12-20,12700,12850,12650,12800,1790,175783.0,13733015.0
2018-12-21,12650,12850,12650,12850,2104,176469.0,13733015.0
2018-12-24,12800,12950,12650,12900,633,177156.0,13733015.0
2018-12-26,12750,12800,12500,12500,899,171663.0,13733015.0
2018-12-27,12500,12850,12300,12850,1416,176469.0,13733015.0
2018-12-28,12700,12900,12600,12700,910,174409.0,13733015.0
2019-01-02,12550,12700,12500,12700,56,174409.0,13733015.0
2019-01-03,12500,12900,12450,12900,1151,177156.0,13733015.0
2019-01-04,12900,12900,12650,12750,1624,175096.0,13733015.0
2019-01-07,12900,13100,12600,12900,646,177156.0,13733015.0
2019-01-08,12800,12800,12750,12800,58,175783.0,13733015.0
2019-01-09,12650,12850,12650,12650,538,173723.0,13733015.0
2019-01-10,12550,12850,12550,12850,474,176469.0,13733015.0
2019-01-11,12750,12850,12650,12850,98,176469.0,13733015.0
2019-01-14,12850,12850,12650,12750,457,175096.0,13733015.0
2019-01-15,12650,12750,12600,12700,369,174409.0,13733015.0
2019-01-16,12700,12700,12500,12600,980,173036.0,13733015.0
2019-01-17,12600,12650,12500,12550,362,172349.0,13733015.0
2019-01-18,12600,12600,12400,12450,1418,170976.0,13733015.0
2019-01-21,12300,12600,12300,12450,3469,170976.0,13733015.0
2019-01-22,12500,12500,12300,12450,1234,170976.0,13733015.0
2019-01-23,12350,12350,11650,11750,93127,161363.0,13733015.0
2019-01-24,11800,11900,11600,11850,11722,162736.0,13733015.0
2019-01-25,11850,11900,11500,11850,17217,162736.0,13733015.0
2019-01-28,11850,11850,11650,11800,7493,162050.0,13733015.0
2019-01-29,12500,12500,11800,12050,45106,165483.0,13733015.0
2019-01-30,11950,12100,11800,12050,11825,165483.0,13733015.0
2019-01-31,12050,12100,11850,12100,5097,166169.0,13733015.0
2019-02-01,12100,12200,11950,12150,4705,166856.0,13733015.0
2019-02-07,12200,12200,11950,12000,3785,164796.0,13733015.0
2019-02-08,11900,12050,11800,11800,12009,162050.0,13733015.0
2019-02-11,11900,12000,11800,12000,3208,164796.0,13733015.0
2019-02-12,11950,12000,11850,11950,1276,164110.0,13733015.0
2019-02-13,12000,12050,11900,11950,2231,164110.0,13733015.0
2019-02-14,12000,12000,11850,11950,618,164110.0,13733015.0
2019-02-15,11950,12000,11750,11950,4232,164110.0,13733015.0
2019-02-18,12000,12000,11800,11950,3595,164110.0,13733015.0
2019-02-19,11950,12000,11900,12000,2054,164796.0,13733015.0
2019-02-20,12000,12000,11850,12000,3126,164796.0,13733015.0
2019-02-21,11950,12000,11850,12000,5379,164796.0,13733015.0
2019-02-22,11950,12000,11850,12000,2627,164796.0,13733015.0
2019-02-25,12000,12350,11850,12300,16120,168916.0,13733015.0
2019-02-26,12300,12600,12200,12550,11267,172349.0,13733015.0
2019-02-27,12400,12600,12300,12300,1420,168916.0,13733015.0
2019-02-28,12300,12700,12300,12300,9102,168916.0,13733015.0
2019-03-04,12650,12850,12300,12400,631,170289.0,13733015.0
2019-03-05,12300,12600,12300,12600,3031,173036.0,13733015.0
2019-03-06,12500,12650,12200,12650,5348,173723.0,13733015.0
2019-03-07,12500,12850,12500,12600,652,173036.0,13733015.0
2019-03-08,12600,12700,12300,12700,1527,174409.0,13733015.0
2019-03-11,12700,12700,12350,12600,1267,173036.0,13733015.0
2019-03-12,12600,12600,12400,12550,3087,172349.0,13733015.0
2019-03-13,12450,12550,12300,12550,3129,172349.0,13733015.0
2019-03-14,12550,12600,12450,12600,1471,173036.0,13733015.0
2019-03-15,12600,12600,12450,12550,4041,172349.0,13733015.0
2019-03-18,12550,12600,12400,12500,2299,171663.0,13733015.0
2019-03-19,12500,12650,12450,12650,556,173723.0,13733015.0
2019-03-20,12800,12800,12600,12800,8211,175783.0,13733015.0
2019-03-21,12900,13300,12650,13200,11617,181276.0,13733015.0
2019-03-22,13300,13500,13000,13450,13776,184709.0,13733015.0
2019-03-25,13450,13650,13200,13200,875,181276.0,13733015.0
2019-03-26,13100,13150,12950,13100,678,179902.0,13733015.0
2019-03-27,13100,13100,13000,13050,305,179216.0,13733015.0
2019-03-28,13000,13350,12550,13300,18700,182649.0,13733015.0
2019-03-29,13200,13350,13100,13300,4091,182649.0,13733015.0
2019-04-01,13200,13400,13100,13350,1762,183336.0,13733015.0
2019-04-02,13250,13350,13000,13300,4231,182649.0,13733015.0
2019-04-03,13300,13300,13100,13300,1151,182649.0,13733015.0
2019-04-04,13300,13300,12950,13200,2930,181276.0,13733015.0
2019-04-05,13050,13250,13050,13150,1117,180589.0,13733015.0
2019-04-08,13300,13300,12900,13050,3871,179216.0,13733015.0
2019-04-09,13050,13100,12850,12850,1640,176469.0,13733015.0
2019-04-10,12850,12900,12600,12900,5984,177156.0,13733015.0
2019-04-11,12900,13000,12800,13000,2059,178529.0,13733015.0
2019-04-12,13000,13300,13000,13200,2900,181276.0,13733015.0
2019-04-15,13200,13400,13000,13150,1118,180589.0,13733015.0
2019-04-16,13150,13150,12800,13100,4327,179902.0,13733015.0
2019-04-17,12950,13050,12850,12900,3056,177156.0,13733015.0
2019-04-18,12900,13050,12850,13000,615,178529.0,13733015.0
2019-04-19,12900,13000,12850,13000,1402,178529.0,13733015.0
2019-04-22,13000,13050,12850,13050,799,179216.0,13733015.0
2019-04-23,13100,13150,12850,12850,2939,176469.0,13733015.0
2019-04-24,12950,13150,12850,13050,2858,179216.0,13733015.0
2019-04-25,13050,13050,12850,13000,1583,178529.0,13733015.0
2019-04-26,13000,13000,12800,13000,754,178529.0,13733015.0
2019-04-29,12850,13050,12850,13000,1462,178529.0,13733015.0
2019-04-30,12950,13150,12850,13100,3059,179902.0,13733015.0
2019-05-02,13100,13100,12900,13000,825,178529.0,13733015.0
2019-05-03,12900,13000,12750,13000,7802,178529.0,13733015.0
2019-05-07,12950,13050,12800,13000,3900,178529.0,13733015.0
2019-05-08,12950,13000,12850,13000,1027,178529.0,13733015.0
2019-05-09,12900,12950,12850,12850,1268,176469.0,13733015.0
2019-05-10,12850,13000,12800,12900,906,177156.0,13733015.0
2019-05-13,12850,12950,12800,12950,1150,177843.0,13733015.0
2019-05-14,12950,13000,12700,13000,2668,178529.0,13733015.0
2019-05-15,12950,13100,12900,13050,1361,179216.0,13733015.0
2019-05-16,13050,13300,12950,13100,4638,179902.0,13733015.0
2019-05-17,13050,13250,12950,13200,34556,181276.0,13733015.0
2019-05-20,13200,13200,13050,13150,1555,180589.0,13733015.0
2019-05-21,13150,13150,12900,13050,4670,179216.0,13733015.0
2019-05-22,13000,13100,12950,13050,986,179216.0,13733015.0
2019-05-23,12950,13000,12900,13000,1266,178529.0,13733015.0
2019-05-24,13050,13100,12750,12950,5082,177843.0,13733015.0
2019-05-27,13000,13100,12800,12950,2636,177843.0,13733015.0
2019-05-28,13000,13200,13000,13100,2441,179902.0,13733015.0
2019-05-29,13150,13200,13000,13100,3062,179902.0,13733015.0
2019-05-30,13150,13250,13050,13200,2540,181276.0,13733015.0
2019-05-31,13200,13400,13150,13250,828,181962.0,13733015.0
2019-06-03,13200,13300,13050,13150,1425,180589.0,13733015.0
2019-06-04,13300,13300,13200,13300,1120,182649.0,13733015.0
2019-06-05,13450,13450,13300,13400,859,184022.0,13733015.0
2019-06-07,13400,13550,13350,13450,635,184709.0,13733015.0
2019-06-10,13550,13600,13400,13550,6053,186082.0,13733015.0
2019-06-11,13550,13700,13350,13500,13379,185396.0,13733015.0
2019-06-12,13400,13550,13350,13550,1702,186082.0,13733015.0
2019-06-13,13550,13550,13250,13450,4399,184709.0,13733015.0
2019-06-14,13350,13500,13300,13450,10208,184709.0,13733015.0
2019-06-17,13450,13500,13300,13500,1721,185396.0,13733015.0
2019-06-18,13550,13550,13350,13450,654,184709.0,13733015.0
2019-06-19,13500,13500,13350,13350,458,183336.0,13733015.0
2019-06-20,13500,13500,13350,13450,332,184709.0,13733015.0
2019-06-21,13450,13450,13300,13400,382,184022.0,13733015.0
2019-06-24,13450,13450,13300,13350,405,183336.0,13733015.0
2019-06-25,13450,13450,13200,13450,726,184709.0,13733015.0
2019-06-26,13300,13550,13200,13550,13388,186082.0,13733015.0
2019-06-27,13500,13550,13400,13500,3980,185396.0,13733015.0
2019-06-28,13500,13500,13450,13500,602,185396.0,13733015.0
2019-07-01,13500,13500,13200,13300,3951,182649.0,13733015.0
2019-07-02,13300,13300,13150,13300,384,182649.0,13733015.0
2019-07-03,13350,13600,13200,13600,2932,186769.0,13733015.0
2019-07-04,13700,13700,13250,13450,1173,184709.0,13733015.0
2019-07-05,13350,13450,13300,13350,93,183336.0,13733015.0
2019-07-08,13450,13450,13250,13350,584,183336.0,13733015.0
2019-07-09,13250,13550,13250,13550,3330,186082.0,13733015.0
2019-07-10,13550,13650,13300,13600,2153,186769.0,13733015.0
2019-07-11,13450,13500,13350,13350,834,183336.0,13733015.0
2019-07-12,13350,13500,13200,13200,1614,181276.0,13733015.0
2019-07-15,13300,13400,13200,13300,1118,182649.0,13733015.0
2019-07-16,13400,13400,13050,13050,510,179216.0,13733015.0
2019-07-17,13150,13200,13050,13050,250,179216.0,13733015.0
2019-07-18,13050,13550,13000,13400,7208,184022.0,13733015.0
2019-07-19,13350,13500,13250,13400,398,184022.0,13733015.0
2019-07-22,13250,13500,13250,13400,356,184022.0,13733015.0
2019-07-23,13450,13450,13200,13400,1170,184022.0,13733015.0
2019-07-24,13250,13550,13250,13550,6156,186082.0,13733015.0
2019-07-25,13550,13700,13250,13350,2415,183336.0,13733015.0
2019-07-26,13150,13450,12900,12900,26368,177156.0,13733015.0
2019-07-29,12900,13000,12750,13000,848,178529.0,13733015.0
2019-07-30,13000,13050,12450,12450,17175,170976.0,13733015.0
2019-07-31,12450,12500,12150,12200,3219,167543.0,13733015.0
2019-08-01,12200,12700,12150,12700,12278,174409.0,13733015.0
2019-08-02,12700,12700,12300,12400,1547,170289.0,13733015.0
2019-08-05,12250,12550,12050,12550,1096,172349.0,13733015.0
2019-08-06,12550,12550,12150,12200,1145,167543.0,13733015.0
2019-08-07,12150,12500,12050,12500,229,171663.0,13733015.0
2019-08-08,12500,12650,12250,12650,1001,173723.0,13733015.0
2019-08-09,12600,12600,12250,12250,3085,168229.0,13733015.0
2019-08-12,12250,12450,12250,12450,838,170976.0,13733015.0
2019-08-13,12400,12500,12250,12400,1239,170289.0,13733015.0
2019-08-14,12400,12650,12300,12500,2821,171663.0,13733015.0
2019-08-16,12500,12550,12250,12300,5529,168916.0,13733015.0
2019-08-19,12350,12750,12300,12700,2175,174409.0,13733015.0
2019-08-20,12700,12700,12250,12550,12592,172349.0,13733015.0
2019-08-21,12550,12600,12450,12600,882,173036.0,13733015.0
2019-08-22,12550,12550,12450,12500,61,171663.0,13733015.0
