부국증권(001270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-17,13200,13650,12900,12900,79520,133772.0,10369886.0
1999-05-18,13000,13300,12550,13000,58210,134809.0,10369886.0
1999-05-19,13500,13650,12800,13000,75550,134809.0,10369886.0
1999-05-20,12800,12900,11500,11800,62770,122365.0,10369886.0
1999-05-21,11500,12100,11300,12000,71650,124439.0,10369886.0
1999-05-24,11200,12250,11200,11500,48290,119254.0,10369886.0
1999-05-25,11200,11950,11200,11700,51090,121328.0,10369886.0
1999-05-26,12000,12300,11500,12300,48530,127550.0,10369886.0
1999-05-27,12700,12800,12050,12050,70000,124957.0,10369886.0
1999-05-28,12100,13000,12100,13000,96440,134809.0,10369886.0
1999-05-31,13000,14100,13000,13500,163980,139993.0,10369886.0
1999-06-01,13400,13500,13000,13300,90860,137919.0,10369886.0
1999-06-02,13500,14800,13400,14200,124560,147252.0,10369886.0
1999-06-03,14500,16200,14300,15000,332180,155548.0,10369886.0
1999-06-04,15700,15700,14600,14600,117780,151400.0,10369886.0
1999-06-07,14700,15400,14700,14900,78410,154511.0,10369886.0
1999-06-08,14500,16500,14500,16500,279040,171103.0,10369886.0
1999-06-09,15700,16900,15500,15500,137780,160733.0,10369886.0
1999-06-10,15550,16300,15500,16100,135160,166955.0,10369886.0
1999-06-11,16450,16450,15800,16100,81310,166955.0,10369886.0
1999-06-14,16000,16100,14900,15200,73620,157622.0,10369886.0
1999-06-15,15200,15200,13800,14250,73760,147771.0,10369886.0
1999-06-16,14400,14900,13900,14350,99430,148808.0,10369886.0
1999-06-17,12600,14400,12600,14200,75730,147252.0,10369886.0
1999-06-18,13200,14500,13200,14200,53140,147252.0,10369886.0
1999-06-21,13300,14000,13000,13700,66310,142067.0,10369886.0
1999-06-22,13000,13100,11650,12200,120450,126513.0,10369886.0
1999-06-23,12500,13900,12350,13900,88670,144141.0,10369886.0
1999-06-24,14700,14700,13650,14200,62790,147252.0,10369886.0
1999-06-25,13350,13850,12550,13650,51170,141549.0,10369886.0
1999-06-28,13200,15400,13200,15000,208360,155548.0,10369886.0
1999-06-29,15500,17100,15200,16900,514950,175251.0,10369886.0
1999-06-30,16900,17900,15300,16200,356940,167992.0,10369886.0
1999-07-01,16100,16200,14500,14550,220040,150882.0,10369886.0
1999-07-02,15000,15450,13650,14000,171090,145178.0,10369886.0
1999-07-05,13500,15700,13500,15100,205670,156585.0,10369886.0
1999-07-06,15200,15400,13800,14000,79420,145178.0,10369886.0
1999-07-07,13800,14450,13550,13800,87950,143104.0,10369886.0
1999-07-08,13900,14300,13600,14200,114730,147252.0,10369886.0
1999-07-09,15000,16000,14800,15400,179310,159696.0,10369886.0
1999-07-12,15400,17500,14800,14800,251340,153474.0,10369886.0
1999-07-13,16500,16950,15200,16350,310960,169548.0,10369886.0
1999-07-14,17100,17100,15500,16050,174340,166437.0,10369886.0
1999-07-15,15300,15900,14500,15500,104190,160733.0,10369886.0
1999-07-16,15200,15500,14600,15350,164580,159178.0,10369886.0
1999-07-19,14600,15100,14500,14700,146800,152437.0,10369886.0
1999-07-20,14500,14900,14500,14600,70280,151400.0,10369886.0
1999-07-21,14300,14400,13800,13950,57100,144660.0,10369886.0
1999-07-22,13950,14650,13900,14400,44970,149326.0,10369886.0
1999-07-23,14000,14200,13500,13500,80580,139993.0,10369886.0
1999-07-26,12400,13000,12000,12500,37860,129624.0,10369886.0
1999-07-27,12950,13300,12400,13200,26740,136882.0,10369886.0
1999-07-28,12700,13500,12700,13300,29660,137919.0,10369886.0
1999-07-29,13300,13600,13000,13400,58320,138956.0,10369886.0
1999-07-30,13400,13500,12500,12600,69890,130661.0,10369886.0
1999-08-02,13050,13050,12400,12850,90870,133253.0,10369886.0
1999-08-03,12850,13300,12500,12600,99070,130661.0,10369886.0
1999-08-04,12600,13500,12600,12900,115610,133772.0,10369886.0
1999-08-05,12900,13350,12700,12700,87530,131698.0,10369886.0
1999-08-06,13000,13000,12700,12800,46260,132735.0,10369886.0
1999-08-09,13000,14500,12900,13500,85890,139993.0,10369886.0
1999-08-10,13000,13600,12800,13500,41180,139993.0,10369886.0
1999-08-11,13500,13900,13200,13500,134580,139993.0,10369886.0
1999-08-12,13500,13750,13000,13650,94220,141549.0,10369886.0
1999-08-13,13650,13700,12800,12850,95450,133253.0,10369886.0
1999-08-16,12900,13100,12850,12850,33120,133253.0,10369886.0
1999-08-17,12950,13100,11900,11900,57100,123402.0,10369886.0
1999-08-18,11900,12200,11100,11800,78290,122365.0,10369886.0
1999-08-19,11800,12400,11800,12100,79230,125476.0,10369886.0
1999-08-20,12100,12200,11800,11800,37830,122365.0,10369886.0
1999-08-23,12000,13000,11800,12350,43650,128068.0,10369886.0
1999-08-24,12500,12500,11900,12200,27100,126513.0,10369886.0
1999-08-25,12200,12700,11850,12400,35540,128587.0,10369886.0
1999-08-26,12400,12600,12100,12100,41670,125476.0,10369886.0
1999-08-27,12200,12800,12000,12350,59460,128068.0,10369886.0
1999-08-30,12350,12600,12100,12300,33520,127550.0,10369886.0
1999-08-31,12600,12600,12200,12250,41710,127031.0,10369886.0
1999-09-01,12250,12350,11700,11850,48830,122883.0,10369886.0
1999-09-02,11850,12100,11500,12100,54770,125476.0,10369886.0
1999-09-03,12100,12400,11450,11900,84770,123402.0,10369886.0
1999-09-06,12200,12300,11900,12000,19210,124439.0,10369886.0
1999-09-07,12100,12300,11700,11700,38040,121328.0,10369886.0
1999-09-08,11800,11900,11700,11700,41880,121328.0,10369886.0
1999-09-09,12000,12300,11700,11800,31020,122365.0,10369886.0
1999-09-10,11900,12200,11800,12050,36680,124957.0,10369886.0
1999-09-13,12200,12400,11800,11800,42280,122365.0,10369886.0
1999-09-14,12000,12300,11800,12100,23820,125476.0,10369886.0
1999-09-15,12100,12300,11700,12100,32950,125476.0,10369886.0
1999-09-16,12100,12500,11850,12300,41210,127550.0,10369886.0
1999-09-17,12300,12400,11900,12300,32210,127550.0,10369886.0
1999-09-20,12000,12200,11900,11900,9610,123402.0,10369886.0
1999-09-21,11900,12200,11900,12100,11720,125476.0,10369886.0
1999-09-22,12100,12400,12100,12200,29010,126513.0,10369886.0
1999-09-27,12450,13000,12200,12250,43060,127031.0,10369886.0
1999-09-28,12500,12550,12300,12400,20810,128587.0,10369886.0
1999-09-29,12600,13400,12450,13000,500710,134809.0,10369886.0
1999-09-30,13000,13200,12200,12800,70030,132735.0,10369886.0
1999-10-01,11500,12100,11000,11350,29650,117698.0,10369886.0
1999-10-04,11350,11800,11350,11350,27030,117698.0,10369886.0
1999-10-05,11400,11600,10700,10700,35240,110958.0,10369886.0
1999-10-06,10700,12300,10700,12300,33260,127550.0,10369886.0
1999-10-07,11850,12700,11300,11800,66640,122365.0,10369886.0
1999-10-08,12000,12300,11800,11800,30480,122365.0,10369886.0
1999-10-11,11500,12000,11200,11750,12060,121846.0,10369886.0
1999-10-12,11850,11950,11500,11600,17760,120291.0,10369886.0
1999-10-13,11500,12200,11300,11550,17850,119772.0,10369886.0
1999-10-14,12200,13100,11900,12100,83470,125476.0,10369886.0
1999-10-15,12900,12900,12150,12750,60640,132216.0,10369886.0
1999-10-18,12250,12900,12200,12550,40540,130142.0,10369886.0
1999-10-19,12700,12800,11800,11800,29780,122365.0,10369886.0
1999-10-20,12000,13100,11900,13000,50860,134809.0,10369886.0
1999-10-21,13200,13200,12500,12800,63070,132735.0,10369886.0
1999-10-22,12600,13150,12250,12800,55030,132735.0,10369886.0
1999-10-25,12950,13300,12250,12250,58550,127031.0,10369886.0
1999-10-26,12250,12250,11600,11750,18680,121846.0,10369886.0
1999-10-27,11400,12000,11400,11600,25320,120291.0,10369886.0
1999-10-28,11100,11950,11100,11600,25790,120291.0,10369886.0
1999-10-29,11500,12200,11500,11700,34080,121328.0,10369886.0
1999-11-01,11900,13100,11900,12500,42140,129624.0,10369886.0
1999-11-02,12800,12800,12050,12200,37780,126513.0,10369886.0
1999-11-03,12400,13500,12300,12900,121390,133772.0,10369886.0
1999-11-04,13400,13500,12700,13100,55730,135846.0,10369886.0
1999-11-05,13100,13600,12700,13000,98380,134809.0,10369886.0
1999-11-08,12700,13250,12700,12800,78470,132735.0,10369886.0
1999-11-09,12800,13000,12550,12900,60910,133772.0,10369886.0
1999-11-10,12950,13500,12500,12600,70550,130661.0,10369886.0
1999-11-11,13000,13200,12700,12900,71620,133772.0,10369886.0
1999-11-12,13250,13800,12700,13300,184630,137919.0,10369886.0
1999-11-15,13950,14500,13700,14100,219810,146215.0,10369886.0
1999-11-16,14200,14300,13600,13900,84630,144141.0,10369886.0
1999-11-17,14100,14400,13650,13700,123390,142067.0,10369886.0
1999-11-18,13700,13800,12600,13450,40900,139475.0,10369886.0
1999-11-19,12100,13600,12100,12900,47570,133772.0,10369886.0
1999-11-22,12900,13250,12150,12200,31870,126513.0,10369886.0
1999-11-23,12200,12400,11900,12000,36990,124439.0,10369886.0
1999-11-24,11900,11900,11500,11500,43680,119254.0,10369886.0
1999-11-25,11350,11700,11100,11250,45550,116661.0,10369886.0
1999-11-26,11250,11400,10300,10350,37120,107328.0,10369886.0
1999-11-29,10300,10600,10050,10500,26320,108884.0,10369886.0
1999-11-30,10500,11200,10500,11000,36700,114069.0,10369886.0
1999-12-01,11000,11000,10100,10600,22570,109921.0,10369886.0
1999-12-02,10600,10800,9500,10400,50530,107847.0,10369886.0
1999-12-03,10450,10500,10000,10050,21400,104217.0,10369886.0
1999-12-06,10100,10150,9800,9800,20440,101625.0,10369886.0
1999-12-07,9900,10000,9000,9200,25650,95403.0,10369886.0
1999-12-08,8650,9500,8650,9300,25420,96440.0,10369886.0
1999-12-09,9100,9650,8900,9650,22950,100069.0,10369886.0
1999-12-10,9120,11050,9120,11050,144910,114587.0,10369886.0
1999-12-13,10500,11400,10300,10300,52040,106810.0,10369886.0
1999-12-14,10300,10900,10000,10050,32590,104217.0,10369886.0
1999-12-15,10100,10100,9500,9500,22350,98514.0,10369886.0
1999-12-16,9400,10100,9400,9500,25920,98514.0,10369886.0
1999-12-17,9400,9790,9350,9490,28490,98410.0,10369886.0
1999-12-20,9010,9900,9010,9350,9040,96958.0,10369886.0
1999-12-21,8910,9150,8800,8800,13160,91255.0,10369886.0
1999-12-22,8800,8980,8300,8600,14390,89181.0,10369886.0
1999-12-23,8610,9000,8220,8660,27730,89803.0,10369886.0
1999-12-24,8450,9950,8450,9000,18880,93329.0,10369886.0
1999-12-27,9500,9500,8500,8530,9870,88455.0,10369886.0
1999-12-28,8500,8700,8190,8190,19140,84929.0,10369886.0
2000-01-04,8310,9300,8310,9190,19540,95299.0,10369886.0
2000-01-05,8810,9170,8600,9050,20430,93847.0,10369886.0
2000-01-06,8900,9000,8260,8280,13790,85863.0,10369886.0
2000-01-07,8530,8620,8320,8320,12960,86277.0,10369886.0
2000-01-10,8590,8680,8320,8670,29750,89907.0,10369886.0
2000-01-11,8500,8850,8320,8370,18830,86796.0,10369886.0
2000-01-12,8320,8500,8130,8200,10750,85033.0,10369886.0
2000-01-13,8050,8200,8050,8150,9960,84515.0,10369886.0
2000-01-14,8100,8100,7850,7850,9230,81404.0,10369886.0
2000-01-17,7700,7990,7520,7790,7120,80781.0,10369886.0
2000-01-18,7560,7800,7510,7510,9250,77878.0,10369886.0
2000-01-19,7500,7550,6850,7350,15200,76219.0,10369886.0
2000-01-20,7010,7250,6710,7000,21620,72589.0,10369886.0
2000-01-21,7100,7190,6820,6820,17770,70723.0,10369886.0
2000-01-24,6620,7390,6620,7080,13930,73419.0,10369886.0
2000-01-25,7080,7250,6870,7000,11430,72589.0,10369886.0
2000-01-26,7090,7600,7000,7020,37020,72797.0,10369886.0
2000-01-27,7410,8070,7210,8070,116590,83685.0,10369886.0
2000-01-28,8450,8900,8100,8300,158420,86070.0,10369886.0
2000-01-31,8050,8990,8050,8720,39890,90425.0,10369886.0
2000-02-01,8790,9050,8500,8760,53020,90840.0,10369886.0
2000-02-02,8010,9300,8010,8800,56910,91255.0,10369886.0
2000-02-03,9090,9090,8600,8900,39570,92292.0,10369886.0
2000-02-07,8900,9400,8710,8830,39340,91566.0,10369886.0
2000-02-08,8710,9000,8500,8500,22370,88144.0,10369886.0
2000-02-09,8600,8700,8010,8010,75420,83063.0,10369886.0
2000-02-10,7810,8200,7700,7950,45400,82441.0,10369886.0
2000-02-11,7960,8200,7570,7830,16100,81196.0,10369886.0
2000-02-14,7300,8100,7300,7500,31430,77774.0,10369886.0
2000-02-15,7550,8100,7510,7510,34840,77878.0,10369886.0
2000-02-16,7720,7800,7300,7750,28530,80367.0,10369886.0
2000-02-17,7420,7690,7400,7500,11850,77774.0,10369886.0
2000-02-18,7600,7600,7300,7400,17360,76737.0,10369886.0
2000-02-21,7020,7110,6900,6950,24950,72071.0,10369886.0
2000-02-22,6900,7050,6720,6800,52430,70515.0,10369886.0
2000-02-23,7470,7820,7000,7800,52440,80885.0,10369886.0
2000-02-24,7800,7800,7040,7200,28320,74663.0,10369886.0
2000-02-25,7500,7630,7180,7480,19350,77567.0,10369886.0
2000-02-28,7000,7400,7000,7400,19660,76737.0,10369886.0
2000-02-29,7500,7810,7500,7500,24550,77774.0,10369886.0
2000-03-02,7610,7800,7500,7750,18300,80367.0,10369886.0
2000-03-03,8200,8200,7750,7800,19700,80885.0,10369886.0
2000-03-06,7950,8200,7850,8070,30360,83685.0,10369886.0
2000-03-07,8150,8250,8070,8080,22490,83789.0,10369886.0
2000-03-08,8080,8450,8050,8360,49410,86692.0,10369886.0
2000-03-09,8000,8200,7900,7900,32090,81922.0,10369886.0
2000-03-10,7900,8130,7600,7650,40810,79330.0,10369886.0
2000-03-13,7930,8400,7700,7720,31350,80056.0,10369886.0
2000-03-14,7720,7950,7520,7600,20230,78811.0,10369886.0
2000-03-15,7800,8060,7650,7650,17980,79330.0,10369886.0
2000-03-16,7850,8500,7700,7700,22930,79848.0,10369886.0
2000-03-17,7900,8600,7900,8100,48960,83996.0,10369886.0
2000-03-20,8300,8300,7700,7770,17450,80574.0,10369886.0
2000-03-21,7800,7900,7710,7710,35360,79952.0,10369886.0
2000-03-22,8000,8350,8000,8200,49830,85033.0,10369886.0
2000-03-23,8200,8650,8100,8480,53570,87937.0,10369886.0
2000-03-24,8500,8620,8200,8440,30330,87522.0,10369886.0
2000-03-27,9500,9700,8800,9700,125630,100588.0,10369886.0
2000-03-28,9800,10200,9000,9590,119610,99447.0,10369886.0
2000-03-29,9590,9700,8700,8750,99680,90737.0,10369886.0
2000-03-30,7440,7900,7440,7440,58340,77152.0,10369886.0
2000-03-31,7300,7350,6380,6440,93630,66782.0,10369886.0
2000-04-03,6440,6550,5480,5480,89520,56827.0,10369886.0
2000-04-04,5640,5740,5210,5620,42130,58279.0,10369886.0
2000-04-06,5620,5770,5550,5700,38470,59108.0,10369886.0
2000-04-07,5800,5880,5700,5700,22420,59108.0,10369886.0
2000-04-10,5700,6270,5430,5800,61940,60145.0,10369886.0
2000-04-11,5900,6180,5550,5800,34580,60145.0,10369886.0
2000-04-12,5610,6100,5530,5630,27570,58382.0,10369886.0
2000-04-14,5500,6000,5500,5750,21130,59627.0,10369886.0
2000-04-17,5110,5200,4890,4910,16730,50916.0,10369886.0
2000-04-18,5500,5500,5000,5200,20920,53923.0,10369886.0
2000-04-19,5250,5250,5080,5090,12970,52783.0,10369886.0
2000-04-20,5240,5240,4965,4975,17190,51590.0,10369886.0
2000-04-21,4975,5130,4975,5100,18660,52886.0,10369886.0
2000-04-24,5160,5160,4810,4980,10900,51642.0,10369886.0
2000-04-25,4900,5000,4835,4980,24690,51642.0,10369886.0
2000-04-26,4960,4970,4520,4520,34320,46872.0,10369886.0
2000-04-27,4800,4800,4150,4320,7340,44798.0,10369886.0
2000-04-28,4210,4945,4210,4900,31850,50812.0,10369886.0
2000-05-02,5140,5140,4850,4870,22320,50501.0,10369886.0
2000-05-03,4760,5100,4760,4810,21900,49879.0,10369886.0
2000-05-04,4810,4950,4750,4750,14490,49257.0,10369886.0
2000-05-08,4660,4750,4520,4700,3150,48738.0,10369886.0
2000-05-09,4530,4700,4460,4700,12040,48738.0,10369886.0
2000-05-10,4540,4680,4500,4510,7250,46768.0,10369886.0
2000-05-12,4500,4675,4430,4430,4120,45939.0,10369886.0
2000-05-15,4430,4430,4110,4150,9100,43035.0,10369886.0
2000-05-16,4000,4240,3530,3770,19100,39094.0,10369886.0
2000-05-17,3810,3820,3450,3780,12000,39198.0,10369886.0
2000-05-18,3430,3800,3330,3650,16660,37850.0,10369886.0
2000-05-19,3500,3850,3500,3700,7490,38369.0,10369886.0
2000-05-22,3750,3880,3600,3600,5890,37332.0,10369886.0
2000-05-23,3600,4100,3500,3700,13990,38369.0,10369886.0
2000-05-24,3700,4255,3700,4255,28370,44124.0,10369886.0
2000-05-25,4350,4890,4350,4890,44840,50709.0,10369886.0
2000-05-26,4505,5200,4160,4160,24810,43139.0,10369886.0
2000-05-29,4100,4780,3810,4780,28320,49568.0,10369886.0
2000-05-30,4980,5470,4610,4705,49600,48790.0,10369886.0
2000-05-31,4810,5300,4810,5190,43080,53820.0,10369886.0
2000-06-01,5100,5900,4700,4700,529160,48738.0,10369886.0
2000-06-02,4980,5200,4900,5050,228400,52368.0,10369886.0
2000-06-05,5250,5800,5200,5800,686620,60145.0,10369886.0
2000-06-07,5750,6200,5620,5810,207650,60249.0,10369886.0
2000-06-08,5910,5940,5000,5070,51310,52575.0,10369886.0
2000-06-09,5290,5700,5070,5490,83880,56931.0,10369886.0
2000-06-12,5480,5690,5320,5570,49260,57760.0,10369886.0
2000-06-13,5700,6050,5570,5900,137850,61182.0,10369886.0
2000-06-14,6100,6100,5710,6050,115120,62738.0,10369886.0
2000-06-15,6950,6950,6200,6200,151670,64293.0,10369886.0
2000-06-16,6210,6700,6210,6700,95990,69478.0,10369886.0
2000-06-19,7000,7100,6700,6800,106800,70515.0,10369886.0
2000-06-20,6830,7820,6800,7650,157530,79330.0,10369886.0
2000-06-21,7710,8600,7000,7400,386830,76737.0,10369886.0
2000-06-22,7030,7890,7010,7100,98470,73626.0,10369886.0
2000-06-23,7000,7300,6800,7110,57170,73730.0,10369886.0
2000-06-26,7200,7700,7170,7700,44460,79848.0,10369886.0
2000-06-27,7800,8250,7710,8200,161250,85033.0,10369886.0
2000-06-28,8310,8510,8230,8500,126330,88144.0,10369886.0
2000-06-29,8500,8500,7800,8280,106640,85863.0,10369886.0
2000-06-30,8080,8290,7630,7950,156590,82441.0,10369886.0
2000-07-03,7950,8050,7700,8000,33910,82959.0,10369886.0
2000-07-04,8100,8570,7760,7890,42620,81818.0,10369886.0
2000-07-05,7400,8200,7400,8150,42730,84515.0,10369886.0
2000-07-06,8000,8800,8000,8100,127090,83996.0,10369886.0
2000-07-07,8100,9000,7800,7960,61490,82544.0,10369886.0
2000-07-10,8100,8690,7850,8120,73620,84203.0,10369886.0
2000-07-11,8200,8600,7800,7800,110040,80885.0,10369886.0
2000-07-12,7850,8290,7750,7810,70620,80989.0,10369886.0
2000-07-13,7800,7940,7760,7760,30860,80470.0,10369886.0
2000-07-14,7770,7840,7750,7800,50850,80885.0,10369886.0
2000-07-18,7740,8190,7200,8000,41070,82959.0,10369886.0
2000-07-19,7800,9200,7800,9200,221210,95403.0,10369886.0
2000-07-20,9010,9800,8310,8910,190330,92396.0,10369886.0
2000-07-21,9300,9580,8300,9200,197380,95403.0,10369886.0
2000-07-24,8900,9200,8100,8500,71500,88144.0,10369886.0
2000-07-25,8400,9000,8300,8400,53280,87107.0,10369886.0
2000-07-26,8260,8400,8010,8010,24760,83063.0,10369886.0
2000-07-27,7890,8080,7630,7730,40080,80159.0,10369886.0
2000-07-28,7690,8040,7300,7550,31300,78293.0,10369886.0
2000-07-31,7540,7990,7540,7760,35380,80470.0,10369886.0
2000-08-01,7550,8000,7550,7700,52650,79848.0,10369886.0
2000-08-02,7700,7880,7610,7800,16640,80885.0,10369886.0
2000-08-03,7620,8300,7610,7800,56630,80885.0,10369886.0
2000-08-04,7670,7800,7620,7700,35300,79848.0,10369886.0
2000-08-07,7630,7650,7400,7400,13450,76737.0,10369886.0
2000-08-08,7800,7800,7140,7150,4260,74145.0,10369886.0
2000-08-09,7100,7480,7100,7390,25890,76633.0,10369886.0
2000-08-10,7400,7500,7220,7300,13300,75700.0,10369886.0
2000-08-11,7500,7650,7180,7410,26110,76841.0,10369886.0
2000-08-14,8300,8300,7610,7800,14050,80885.0,10369886.0
2000-08-16,7400,7780,7400,7670,11980,79537.0,10369886.0
2000-08-17,7410,7800,7400,7410,31940,76841.0,10369886.0
2000-08-18,7700,7700,7400,7500,3970,77774.0,10369886.0
2000-08-21,7670,7700,7200,7300,15670,75700.0,10369886.0
2000-08-22,7400,7400,7150,7300,9500,75700.0,10369886.0
2000-08-23,7400,7400,7200,7200,11290,74663.0,10369886.0
2000-08-24,7200,7390,7000,7200,11700,74663.0,10369886.0
2000-08-25,7010,7090,6940,6950,4170,72071.0,10369886.0
2000-08-28,6900,6990,6750,6900,8970,71552.0,10369886.0
2000-08-29,6900,7090,6900,6930,6650,71863.0,10369886.0
2000-08-30,6630,6900,6630,6750,2050,69997.0,10369886.0
2000-08-31,6650,6650,6400,6450,11390,66886.0,10369886.0
2000-09-01,6450,6900,6450,6750,4980,69997.0,10369886.0
2000-09-04,6600,6750,6420,6750,8210,69997.0,10369886.0
2000-09-05,6750,7030,6520,6750,8400,69997.0,10369886.0
2000-09-06,6450,6950,6450,6750,11030,69997.0,10369886.0
2000-09-07,7100,7100,6500,6500,3060,67404.0,10369886.0
2000-09-08,6340,6820,5780,6600,34880,68441.0,10369886.0
2000-09-14,6310,6770,6310,6700,7990,69478.0,10369886.0
2000-09-15,6850,7050,6600,7050,25120,73108.0,10369886.0
2000-09-18,6540,6540,6000,6090,11910,63153.0,10369886.0
