현대백화점(069960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-04-14,18550,19000,18400,18550,311371,411211.0,22167722.0
2003-04-15,19000,20700,18750,20550,758655,455547.0,22167722.0
2003-04-16,20800,21800,20600,21600,734920,478823.0,22167722.0
2003-04-17,21000,21500,20650,21200,276564,469956.0,22167722.0
2003-04-18,21500,22600,21500,22200,344625,492123.0,22167722.0
2003-04-21,22400,22400,21700,22350,147655,495449.0,22167722.0
2003-04-22,21500,21700,20100,20550,386742,455547.0,22167722.0
2003-04-23,20550,20650,19500,19700,472870,436704.0,22167722.0
2003-04-24,19400,20050,18800,19350,306440,428945.0,22167722.0
2003-04-25,18800,18800,16750,17500,429096,387935.0,22167722.0
2003-04-28,17000,18050,16600,17600,347280,390152.0,22167722.0
2003-04-29,18300,20200,18100,19700,520126,436704.0,22167722.0
2003-04-30,19300,19900,18600,19900,358412,442710.0,22246722.0
2003-05-02,20100,20700,19450,20500,234293,456058.0,22246722.0
2003-05-06,20700,21700,20250,21700,479979,482754.0,22246722.0
2003-05-07,21700,24700,21700,23900,889898,531697.0,22246722.0
2003-05-09,23250,24700,22800,23550,346313,523910.0,22246722.0
2003-05-12,23850,24250,23050,23500,261526,522798.0,22246722.0
2003-05-13,23600,23750,22800,23000,224610,511905.0,22256722.0
2003-05-14,23000,24750,23000,24500,518351,545290.0,22256722.0
2003-05-15,25000,26200,23900,26200,419146,583126.0,22256722.0
2003-05-16,26500,27150,26100,26650,769650,593142.0,22256722.0
2003-05-19,26800,27300,26050,26550,383120,590916.0,22256722.0
2003-05-20,26200,27150,25800,27050,690856,602044.0,22256722.0
2003-05-21,26700,27300,25600,26150,458314,582013.0,22256722.0
2003-05-22,25800,26500,25350,25400,383938,565321.0,22256722.0
2003-05-23,25700,26800,25550,26000,384665,578675.0,22256722.0
2003-05-26,26800,27700,26350,27000,288520,600931.0,22256722.0
2003-05-27,27450,27500,26500,27250,325881,606496.0,22256722.0
2003-05-28,27900,28200,26300,26300,284542,585352.0,22256722.0
2003-05-29,25800,26000,24800,25600,331924,569977.0,22264722.0
2003-05-30,25600,26600,24800,26000,384560,578883.0,22264722.0
2003-06-02,26500,27450,25850,27300,254520,607827.0,22264722.0
2003-06-03,26750,27300,26750,26800,107918,596695.0,22264722.0
2003-06-04,26900,27300,26500,26850,148460,597808.0,22264722.0
2003-06-05,27050,27850,26650,26650,302480,593355.0,22264722.0
2003-06-09,26650,27300,26100,27300,120600,607827.0,22264722.0
2003-06-10,27500,29100,27100,28800,299731,641224.0,22264722.0
2003-06-11,28400,29200,27800,28000,428184,623412.0,22264722.0
2003-06-12,28300,28300,27350,27700,327524,616733.0,22264722.0
2003-06-13,27800,28400,27000,27350,258592,608940.0,22264722.0
2003-06-16,27100,27450,26450,26650,176492,593355.0,22264722.0
2003-06-17,27200,27700,26500,27400,362006,610053.0,22264722.0
2003-06-18,27750,28050,27250,27900,145332,621186.0,22264722.0
2003-06-19,28300,28400,27150,27150,176110,604487.0,22264722.0
2003-06-20,27000,27000,26200,27000,282711,601147.0,22264722.0
2003-06-23,27250,27450,26600,27100,150140,603374.0,22264722.0
2003-06-24,26200,27200,25900,27000,186212,601147.0,22264722.0
2003-06-25,26600,27450,26600,27200,205469,605600.0,22264722.0
2003-06-26,26700,27050,26550,26650,122541,593355.0,22264722.0
2003-06-27,26700,27400,26450,27100,250634,603374.0,22264722.0
2003-06-30,26600,27100,26050,26600,180330,592242.0,22264722.0
2003-07-01,26600,26800,26150,26150,146734,582222.0,22264722.0
2003-07-02,26350,28300,26250,28000,259304,623412.0,22264722.0
2003-07-03,28500,28900,27500,28300,297430,630092.0,22264722.0
2003-07-04,27800,29250,27800,29000,167670,645677.0,22264722.0
2003-07-07,29350,29500,27900,29300,183230,652356.0,22264722.0
2003-07-08,29700,31250,29400,30500,425301,679074.0,22264722.0
2003-07-09,30350,30600,29800,30500,163497,679074.0,22264722.0
2003-07-10,30000,30550,29450,30000,127406,667942.0,22264722.0
2003-07-11,29550,29700,28700,29100,109110,647903.0,22264722.0
2003-07-14,28850,29250,28400,29100,144611,647903.0,22264722.0
2003-07-15,29150,29500,28200,28200,113107,627865.0,22264722.0
2003-07-16,28600,28600,26850,27400,235435,610053.0,22264722.0
2003-07-18,26500,27650,26500,27300,186625,607827.0,22264722.0
2003-07-21,27500,27700,26900,27350,195670,608940.0,22264722.0
2003-07-22,26850,27700,26300,27700,124025,616733.0,22264722.0
2003-07-23,27400,27500,26950,27500,114182,612280.0,22264722.0
2003-07-24,27450,28000,27250,27850,109200,620073.0,22264722.0
2003-07-25,27000,28400,27000,28300,108620,630092.0,22264722.0
2003-07-28,29000,29000,28400,28750,150742,640204.0,22267977.0
2003-07-29,28700,28750,27800,28000,147390,623503.0,22267977.0
2003-07-30,27700,28700,27050,28150,166500,626844.0,22267977.0
2003-07-31,28050,29450,28000,29400,238153,654679.0,22267977.0
2003-08-01,29850,30000,28800,29100,91934,647998.0,22267977.0
2003-08-04,28300,28450,28100,28100,59940,625730.0,22267977.0
2003-08-05,28150,28500,27250,27500,118801,612369.0,22267977.0
2003-08-06,27200,27700,27000,27200,95657,605689.0,22267977.0
2003-08-07,27000,28500,27000,28500,159552,634637.0,22267977.0
2003-08-08,29850,29850,28750,29400,242113,655149.0,22283977.0
2003-08-11,29000,29350,28100,28500,182867,635093.0,22283977.0
2003-08-12,28550,29000,28250,28500,138727,635093.0,22283977.0
2003-08-13,28350,29000,27900,28900,141030,644007.0,22283977.0
2003-08-14,28900,31000,28750,30400,295477,677433.0,22283977.0
2003-08-18,30650,31950,29800,31700,266779,706402.0,22283977.0
2003-08-19,32400,32500,30800,31500,206096,701945.0,22283977.0
2003-08-20,31850,31850,30300,30300,148702,675295.0,22286977.0
2003-08-21,30150,31600,29800,31000,375756,690896.0,22286977.0
2003-08-22,31800,33000,31400,31400,407740,699811.0,22286977.0
2003-08-25,31850,32100,30600,31800,190353,708726.0,22286977.0
2003-08-26,31300,31900,30750,31100,132440,693125.0,22286977.0
2003-08-27,31300,33300,31300,32900,361175,733242.0,22286977.0
2003-08-28,32800,32800,31400,32700,167070,728784.0,22286977.0
2003-08-29,32300,33000,31800,33000,109927,735470.0,22286977.0
2003-09-01,33600,34500,32800,33100,124127,737699.0,22286977.0
2003-09-02,32900,33350,32000,33000,115500,735470.0,22286977.0
2003-09-03,33500,33700,32300,33500,122444,746614.0,22286977.0
2003-09-04,33600,33800,33000,33800,96250,753300.0,22286977.0
2003-09-05,33900,33900,33100,33850,71820,754414.0,22286977.0
2003-09-08,33250,33850,32650,32950,84390,734356.0,22286977.0
2003-09-09,32400,32600,31400,32200,240580,717641.0,22286977.0
2003-09-15,31500,31600,30700,31300,82810,697582.0,22286977.0
2003-09-16,31200,31200,30600,31100,75811,693125.0,22286977.0
2003-09-17,31700,31700,30450,30900,103729,688668.0,22286977.0
2003-09-18,30550,31100,30550,31100,62480,693125.0,22286977.0
2003-09-19,31100,31100,29100,29650,132761,660809.0,22286977.0
2003-09-22,29200,29200,27200,28700,141534,639636.0,22286977.0
2003-09-23,28050,30000,27900,29600,199870,659695.0,22286977.0
2003-09-24,29600,30000,29200,30000,97980,668609.0,22286977.0
2003-09-25,29600,30750,29400,29400,121516,655237.0,22286977.0
2003-09-26,29050,29100,27950,28000,110800,624035.0,22286977.0
2003-09-29,27600,28000,27300,27900,59850,621807.0,22286977.0
2003-09-30,28600,28900,28200,28900,149880,644094.0,22286977.0
2003-10-01,28850,29300,28100,29100,83855,648551.0,22286977.0
2003-10-02,29750,30350,28900,29450,193100,656351.0,22286977.0
2003-10-06,29950,29950,28650,29400,142620,655237.0,22286977.0
2003-10-07,29200,29500,28800,28950,199268,645208.0,22286977.0
2003-10-08,29350,29350,27850,28050,118854,625150.0,22286977.0
2003-10-09,27300,28100,27200,28100,393890,626264.0,22286977.0
2003-10-10,28100,29900,27750,29900,338126,666381.0,22286977.0
2003-10-13,29500,30000,29200,29400,130732,655237.0,22286977.0
2003-10-14,30000,31000,29700,30950,275100,689782.0,22286977.0
2003-10-15,31550,31550,30400,30800,124330,686439.0,22286977.0
2003-10-16,30900,31500,30400,31100,125640,693125.0,22286977.0
2003-10-17,30750,31200,30100,30100,101070,670838.0,22286977.0
2003-10-20,30150,30350,29800,30000,83629,668609.0,22286977.0
2003-10-21,30150,30850,29500,30850,101043,687553.0,22286977.0
2003-10-22,31200,31300,30400,30700,122491,684210.0,22286977.0
2003-10-23,30000,30000,28500,29150,169680,649665.0,22286977.0
2003-10-24,29000,29700,28800,29600,64840,659695.0,22286977.0
2003-10-27,29100,29600,29100,29350,68623,654123.0,22286977.0
2003-10-28,29050,30250,29050,29500,192737,657466.0,22286977.0
2003-10-29,30100,30300,29100,29100,93980,648551.0,22286977.0
2003-10-30,29300,29300,28700,29000,133448,646322.0,22286977.0
2003-10-31,28800,29950,28650,29950,235981,667495.0,22286977.0
2003-11-03,29950,29950,29100,29800,161544,664152.0,22286977.0
2003-11-04,30000,30400,29350,29400,286919,655237.0,22286977.0
2003-11-05,29500,29700,28650,28700,212627,639636.0,22286977.0
2003-11-06,29100,32400,29000,31000,669989,690896.0,22286977.0
2003-11-07,32100,33250,31100,33200,478456,739928.0,22286977.0
2003-11-10,33000,34150,32450,32650,210105,727670.0,22286977.0
2003-11-11,32800,33600,32350,33100,143109,737699.0,22286977.0
2003-11-12,33100,37200,33100,35750,1016740,796759.0,22286977.0
2003-11-13,35800,36250,34700,36000,253149,802331.0,22286977.0
2003-11-14,36000,36000,34700,34700,220554,773358.0,22286977.0
2003-11-17,34200,35500,34150,34150,199110,761100.0,22286977.0
2003-11-18,33800,34950,32600,34950,202271,778930.0,22286977.0
2003-11-19,33700,34750,32000,32000,156040,713183.0,22286977.0
2003-11-20,32850,33200,31800,33200,201264,739928.0,22286977.0
2003-11-21,32350,33800,31500,33200,160563,740301.0,22298232.0
2003-11-24,32700,33900,32400,32400,172996,722463.0,22298232.0
2003-11-25,33300,33400,31800,32000,145549,713543.0,22298232.0
2003-11-26,32600,34300,32000,33800,234111,753680.0,22298232.0
2003-11-27,34200,35150,33350,34500,236620,769289.0,22298232.0
2003-11-28,34800,35000,34000,35000,210254,780438.0,22298232.0
2003-12-01,35500,35900,34750,35250,169696,786013.0,22298232.0
2003-12-02,35750,35750,34300,34500,159736,769289.0,22298232.0
2003-12-03,34750,34900,33800,34300,114182,764829.0,22298232.0
2003-12-04,34600,37000,34300,36550,354775,815000.0,22298232.0
2003-12-05,37000,37950,36300,36300,306447,809426.0,22298232.0
2003-12-08,36100,37800,35450,36700,138493,818345.0,22298232.0
2003-12-09,37300,37700,36700,37150,107806,828379.0,22298232.0
2003-12-10,36700,37900,36300,37900,94846,845103.0,22298232.0
2003-12-11,37500,38300,37300,38300,156170,854022.0,22298232.0
2003-12-12,39100,39600,38100,38600,254580,861183.0,22310432.0
2003-12-15,39000,40000,38600,40000,194181,892417.0,22310432.0
2003-12-16,39550,39550,38500,38650,199666,862298.0,22310432.0
2003-12-17,39200,39200,36450,36750,218637,819908.0,22310432.0
2003-12-18,36750,38250,36500,37600,336867,838872.0,22310432.0
2003-12-19,37800,39300,37800,38500,260129,858952.0,22310432.0
2003-12-22,37800,39100,37500,37500,96883,836641.0,22310432.0
2003-12-23,38200,38200,36500,38000,82610,847796.0,22310432.0
2003-12-24,37600,38050,36900,37400,59742,834410.0,22310432.0
2003-12-26,36900,37200,36400,36400,81310,812100.0,22310432.0
2003-12-29,36000,39000,36000,39000,53301,870107.0,22310432.0
2003-12-30,38700,38900,38000,38900,120081,867876.0,22310432.0
2004-01-02,39300,39700,38500,39700,160922,885724.0,22310432.0
2004-01-05,39500,41300,39300,40250,261849,897995.0,22310432.0
2004-01-06,40000,40200,38450,38800,233285,865645.0,22310432.0
2004-01-07,39000,39400,36650,37000,301867,825486.0,22310432.0
2004-01-08,36550,37450,35850,36000,402346,803176.0,22310432.0
2004-01-09,36100,36500,35300,35850,384592,799829.0,22310432.0
2004-01-12,35400,36300,34900,36000,255740,803176.0,22310432.0
2004-01-13,35800,36500,35250,35250,294537,786443.0,22310432.0
2004-01-14,34850,35200,34100,34800,395659,776403.0,22310432.0
2004-01-15,35100,35200,33250,33450,420051,746284.0,22310432.0
2004-01-16,33500,35450,33100,34950,475120,779750.0,22310432.0
2004-01-19,33150,33300,29750,30800,1521299,687161.0,22310432.0
2004-01-20,31000,32150,30250,31500,1025176,702873.0,22313432.0
2004-01-26,31700,32200,30850,30850,216465,688369.0,22313432.0
2004-01-27,30900,31150,30150,30350,195279,677213.0,22313432.0
2004-01-28,30150,32300,30150,32150,386182,717377.0,22313432.0
2004-01-29,31900,32950,31500,32500,344774,725187.0,22313432.0
2004-01-30,33000,33950,32600,33800,389379,754194.0,22313432.0
2004-02-02,34000,34300,32400,33550,533076,748616.0,22313432.0
2004-02-03,33550,33600,31000,31000,224484,691716.0,22313432.0
2004-02-04,31150,31700,30500,31100,67222,693948.0,22313432.0
2004-02-05,31000,32200,30900,31700,242056,707336.0,22313432.0
2004-02-06,31350,32400,31350,32300,158861,720724.0,22313432.0
2004-02-09,32900,33950,32500,33900,249619,756425.0,22313432.0
2004-02-10,33850,33850,32600,33200,98950,740806.0,22313432.0
2004-02-11,33700,34250,33450,33550,157510,748616.0,22313432.0
2004-02-12,34200,34250,33200,33500,141932,747500.0,22313432.0
2004-02-13,33400,34900,33000,34900,228270,778739.0,22313432.0
2004-02-16,34900,35350,34350,34500,160302,769934.0,22316932.0
2004-02-17,34500,35400,34500,35000,114825,781093.0,22316932.0
2004-02-18,35000,35200,34000,35100,149809,783324.0,22316932.0
2004-02-19,35300,35400,34700,35100,97944,783324.0,22316932.0
2004-02-20,35050,35300,34550,34600,81224,772166.0,22316932.0
2004-02-23,34000,34000,31800,32800,305122,731995.0,22316932.0
2004-02-24,32300,32750,32000,32600,76040,727532.0,22316932.0
2004-02-25,32250,32850,32200,32450,95601,724184.0,22316932.0
2004-02-26,32100,32450,31800,31900,70732,711910.0,22316932.0
2004-02-27,32350,34200,32000,34000,192830,758776.0,22316932.0
2004-03-02,35000,35850,34850,35700,343298,796714.0,22316932.0
2004-03-03,35700,36600,35000,36150,199532,806757.0,22316932.0
2004-03-04,36300,36500,35900,36200,195820,807873.0,22316932.0
2004-03-05,36900,36900,35800,36350,135923,811220.0,22316932.0
2004-03-08,36350,37350,36200,36350,143920,811220.0,22316932.0
2004-03-09,36800,36800,35500,36400,58230,812336.0,22316932.0
2004-03-10,36350,36350,35650,36150,65410,806757.0,22316932.0
2004-03-11,35700,35950,35100,35950,47910,802294.0,22316932.0
2004-03-12,35350,35900,33000,35600,97240,794483.0,22316932.0
2004-03-15,34700,35500,33500,34400,96839,767702.0,22316932.0
2004-03-16,33900,33900,32100,32700,220963,729764.0,22316932.0
2004-03-17,32800,33700,32750,33300,155231,743154.0,22316932.0
2004-03-18,33900,34350,33500,33700,143401,752081.0,22316932.0
2004-03-19,34000,35150,33600,35100,125105,783324.0,22316932.0
2004-03-22,34500,34600,33600,33600,68893,749849.0,22316932.0
2004-03-23,33600,34700,33600,34550,58700,771050.0,22316932.0
2004-03-24,34450,34500,33700,33900,25910,756544.0,22316932.0
2004-03-25,33750,34600,33300,33750,98350,753196.0,22316932.0
2004-03-26,34600,34600,34050,34200,270381,763239.0,22316932.0
2004-03-29,34300,34500,33900,34300,53487,765471.0,22316932.0
2004-03-30,34300,34400,33950,34000,62146,759209.0,22329677.0
2004-03-31,34300,35250,34200,34800,52429,777073.0,22329677.0
2004-04-01,34600,36000,34500,36000,102800,803868.0,22329677.0
2004-04-02,36000,36100,35200,35700,120080,797169.0,22329677.0
2004-04-06,36450,36450,35050,35400,192800,790471.0,22329677.0
2004-04-07,35100,35550,34850,34900,167676,779306.0,22329677.0
2004-04-08,35000,35700,34500,34800,59990,777073.0,22329677.0
2004-04-09,34600,35650,34350,35450,75109,791587.0,22329677.0
2004-04-12,35100,35950,35100,35400,88937,790471.0,22329677.0
2004-04-13,35800,35850,34850,35700,63962,797169.0,22329677.0
2004-04-14,34600,36300,34600,36300,107750,810567.0,22329677.0
2004-04-16,36300,36300,35050,35050,63972,782655.0,22329677.0
2004-04-19,34650,35100,34300,34600,87213,772607.0,22329677.0
2004-04-20,34600,34800,34150,34500,111552,770857.0,22343677.0
2004-04-21,34050,35050,33500,34650,277101,774208.0,22343677.0
2004-04-22,34500,34650,33550,33550,179851,749630.0,22343677.0
2004-04-23,34400,34400,34050,34250,169560,765271.0,22343677.0
2004-04-26,33750,34000,33100,33400,139652,746279.0,22343677.0
2004-04-27,33500,33650,33100,33200,86032,741810.0,22343677.0
2004-04-28,33050,33550,32550,32550,143808,727287.0,22343677.0
2004-04-29,32000,32500,31100,31100,190679,694888.0,22343677.0
2004-04-30,31000,31700,30500,31700,102235,708295.0,22343677.0
2004-05-03,31700,32850,31700,32250,89382,720584.0,22343677.0
2004-05-04,31950,33000,31950,32650,55856,729521.0,22343677.0
2004-05-06,32200,32600,30400,30900,102660,690420.0,22343677.0
2004-05-07,30250,30400,29000,29700,210084,663607.0,22343677.0
2004-05-10,29000,29000,25400,27100,188751,605514.0,22343677.0
2004-05-11,26600,28150,26550,27800,153484,621154.0,22343677.0
2004-05-12,28100,28500,27500,28000,260239,625623.0,22343677.0
2004-05-13,28600,28700,27500,27550,144156,615568.0,22343677.0
2004-05-14,27650,28700,25700,25800,183661,576467.0,22343677.0
2004-05-17,25600,26500,24200,24800,115621,554123.0,22343677.0
2004-05-18,24800,27800,24800,27000,215674,603279.0,22343677.0
2004-05-19,27100,29000,27000,28500,67047,636795.0,22343677.0
2004-05-20,29000,29000,27500,28400,61070,634560.0,22343677.0
2004-05-21,28800,29200,28500,28700,42074,641264.0,22343677.0
2004-05-24,29000,29300,28600,28850,49484,644615.0,22343677.0
2004-05-25,28500,28500,27300,27400,26080,612217.0,22343677.0
2004-05-27,28100,28100,27000,27900,193024,623389.0,22343677.0
2004-05-28,27700,28000,27000,27500,147825,614451.0,22343677.0
2004-05-31,27300,27950,26900,27000,99475,603279.0,22343677.0
2004-06-01,27550,27800,27100,27350,165146,611100.0,22343677.0
2004-06-02,27100,27200,26900,27000,107470,603279.0,22343677.0
2004-06-03,27550,27550,26000,26000,200272,580936.0,22343677.0
2004-06-04,26800,26800,26000,26400,125730,589873.0,22343677.0
2004-06-07,26800,27700,26800,27700,152924,618920.0,22343677.0
2004-06-08,27700,29850,27700,29550,251060,660256.0,22343677.0
2004-06-09,29250,29600,28500,29500,181053,659138.0,22343677.0
2004-06-10,29400,30400,28500,29500,171600,659138.0,22343677.0
2004-06-11,29500,29500,27550,27800,145120,621154.0,22343677.0
2004-06-14,27800,28000,26900,26900,86135,601045.0,22343677.0
2004-06-15,26900,26900,24900,26000,181047,580936.0,22343677.0
2004-06-16,26300,26950,26150,26300,130842,587639.0,22343677.0
2004-06-17,26800,27150,26350,27150,69746,606631.0,22343677.0
2004-06-18,26800,28150,26800,26800,112930,598811.0,22343677.0
2004-06-21,26900,27950,26900,27950,39960,624506.0,22343677.0
2004-06-22,27500,27800,26850,27800,37270,621154.0,22343677.0
2004-06-23,28200,28300,26800,27600,64420,616685.0,22343677.0
2004-06-24,27450,28500,27250,28500,110640,636795.0,22343677.0
2004-06-25,28500,28750,27950,28700,67007,641264.0,22343677.0
2004-06-28,28500,28850,28000,28000,42710,625623.0,22343677.0
2004-06-29,27600,28650,27600,28150,47735,628975.0,22343677.0
2004-06-30,28350,29150,28200,28650,147045,640146.0,22343677.0
2004-07-01,28650,28750,28050,28350,131330,633443.0,22343677.0
2004-07-02,28200,29050,27850,28500,241790,636795.0,22343677.0
2004-07-05,28000,28300,27400,27800,49860,621154.0,22343677.0
2004-07-06,27600,28100,27400,27800,47050,621154.0,22343677.0
2004-07-07,27200,28100,27200,28100,47615,627857.0,22343677.0
2004-07-08,27600,27800,27050,27400,61210,612217.0,22343677.0
2004-07-09,27500,27600,27100,27300,91493,609982.0,22343677.0
2004-07-12,28000,28000,27100,27200,29690,607748.0,22343677.0
2004-07-13,27900,27900,27050,27050,38394,604396.0,22343677.0
2004-07-14,27050,27500,26600,27350,37460,611100.0,22343677.0
2004-07-15,27500,27550,26550,27250,58830,608865.0,22343677.0
2004-07-16,27200,28100,27100,27850,158250,622271.0,22343677.0
2004-07-19,27800,27950,27150,27850,60912,622271.0,22343677.0
2004-07-20,27350,27850,26600,26600,80027,594342.0,22343677.0
2004-07-21,27000,27150,26650,26700,87003,596576.0,22343677.0
2004-07-22,26600,26600,25350,25700,76080,574232.0,22343677.0
2004-07-23,26000,26500,25800,26200,74820,585404.0,22343677.0
2004-07-26,25750,27300,25750,26550,46020,593344.0,22348177.0
2004-07-27,26300,27100,26000,27100,169810,605636.0,22348177.0
2004-07-28,27700,27900,27200,27650,176930,617927.0,22348177.0
2004-07-29,27550,27850,26900,27550,39140,615692.0,22348177.0
2004-07-30,27600,30500,27600,29500,438140,659271.0,22348177.0
2004-08-02,29000,29300,27600,28500,55370,636923.0,22348177.0
2004-08-03,29000,29400,28500,29200,71219,652567.0,22348177.0
2004-08-04,29200,29600,28950,29400,67005,657036.0,22348177.0
2004-08-05,29700,30100,29250,29900,51845,668210.0,22348177.0
2004-08-06,29650,30550,28750,30000,105040,670445.0,22348177.0
2004-08-09,30000,32500,30000,31600,226324,706202.0,22348177.0
2004-08-10,33000,33000,26900,32000,354492,715142.0,22348177.0
