하나제약(293480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-29,22800,23300,22500,22950,219341,371790.0,16200000.0
2018-11-30,23150,24000,23050,23900,370869,387180.0,16200000.0
2018-12-03,24650,25650,24350,24900,581998,403380.0,16200000.0
2018-12-04,25050,25300,24250,24500,206719,396900.0,16200000.0
2018-12-05,23850,25200,23750,25150,230872,407430.0,16200000.0
2018-12-06,25150,25200,24150,24500,190086,396900.0,16200000.0
2018-12-07,24900,25150,24400,24600,117739,398520.0,16200000.0
2018-12-10,24300,24950,24000,24350,122786,394470.0,16200000.0
2018-12-11,24700,24900,23050,23250,150130,376650.0,16200000.0
2018-12-12,23450,24200,23350,24000,91792,388800.0,16200000.0
2018-12-13,24000,24500,23550,24200,102714,392040.0,16200000.0
2018-12-14,24000,24200,23450,23550,98101,381510.0,16200000.0
2018-12-17,23400,23500,21800,22700,123925,367740.0,16200000.0
2018-12-18,22300,22850,18000,21750,907529,352350.0,16200000.0
2018-12-19,22150,22300,21300,21800,168990,353160.0,16200000.0
2018-12-20,21500,22300,21200,21600,106081,349920.0,16200000.0
2018-12-21,21500,22400,21350,22300,113017,361260.0,16200000.0
2018-12-24,22200,22600,21950,22000,71048,356400.0,16200000.0
2018-12-26,21700,21800,21250,21450,100499,347490.0,16200000.0
2018-12-27,21900,22300,21750,22000,91744,356400.0,16200000.0
2018-12-28,22300,23000,22050,22500,110769,364500.0,16200000.0
2019-01-02,22850,23700,22050,22200,109789,359640.0,16200000.0
2019-01-03,22050,22550,21300,21650,115206,350730.0,16200000.0
2019-01-04,21450,21950,21050,21900,131561,354780.0,16200000.0
2019-01-07,22300,22700,21850,21850,95268,353970.0,16200000.0
2019-01-08,21900,22100,21450,21450,73858,347490.0,16200000.0
2019-01-09,21700,22600,21650,22100,97756,358020.0,16200000.0
2019-01-10,22200,22700,21850,22450,131327,363690.0,16200000.0
2019-01-11,22800,23000,22550,22750,77864,368550.0,16200000.0
2019-01-14,22750,22850,22300,22400,57636,362880.0,16200000.0
2019-01-15,22350,22700,22350,22550,58794,365310.0,16200000.0
2019-01-16,22550,22700,22250,22500,81150,364500.0,16200000.0
2019-01-17,22350,22850,22300,22750,85407,368550.0,16200000.0
2019-01-18,22750,22900,22350,22400,63583,362880.0,16200000.0
2019-01-21,22400,22450,22000,22150,65150,358830.0,16200000.0
2019-01-22,22300,22350,22000,22200,44003,359640.0,16200000.0
2019-01-23,22200,22450,22050,22150,53936,358830.0,16200000.0
2019-01-24,22150,22550,21850,22250,69414,360450.0,16200000.0
2019-01-25,22450,23550,22200,22800,199572,369360.0,16200000.0
2019-01-28,23000,23650,22900,23150,142492,375030.0,16200000.0
2019-01-29,23100,23300,22650,23000,47924,372600.0,16200000.0
2019-01-30,23000,23100,22600,22800,50268,369360.0,16200000.0
2019-01-31,22900,23300,22750,23100,66350,374220.0,16200000.0
2019-02-01,23500,24550,23350,23600,377050,382320.0,16200000.0
2019-02-07,24450,24600,23900,24050,221892,389610.0,16200000.0
2019-02-08,24250,24500,24000,24450,159434,396090.0,16200000.0
2019-02-11,24350,24800,24300,24550,126901,397710.0,16200000.0
2019-02-12,24600,24600,24150,24450,69561,396090.0,16200000.0
2019-02-13,24600,25750,24450,25500,394022,413100.0,16200000.0
2019-02-14,25950,26200,25350,25700,171374,416340.0,16200000.0
2019-02-15,25900,27450,25400,26350,497914,426870.0,16200000.0
2019-02-18,26550,27500,26550,26950,349675,436590.0,16200000.0
2019-02-19,27250,27900,26550,27150,242638,439830.0,16200000.0
2019-02-20,27150,27400,26700,27300,123033,442260.0,16200000.0
2019-02-21,27850,28850,27350,28650,508232,464130.0,16200000.0
2019-02-22,28850,29350,27900,28800,275922,466560.0,16200000.0
2019-02-25,28600,28700,26800,27400,355302,443880.0,16200000.0
2019-02-26,27400,27900,26550,27350,223791,443070.0,16200000.0
2019-02-27,27500,28200,27200,27400,194343,443880.0,16200000.0
2019-02-28,27500,28350,27050,27250,362134,441450.0,16200000.0
2019-03-04,28050,28800,28000,28750,265600,465750.0,16200000.0
2019-03-05,29000,29150,27500,28100,263008,455220.0,16200000.0
2019-03-06,28050,28100,26800,27250,231918,441450.0,16200000.0
2019-03-07,27050,27550,25800,26000,317302,421200.0,16200000.0
2019-03-08,25700,26450,25650,26400,105488,427680.0,16200000.0
2019-03-11,28250,28800,26900,27000,361756,437400.0,16200000.0
2019-03-12,27100,27450,26900,27400,156730,443880.0,16200000.0
2019-03-13,27500,27600,26650,26900,143863,435780.0,16200000.0
2019-03-14,26900,27400,26550,27400,138821,443880.0,16200000.0
2019-03-15,27400,27400,26750,26900,116380,435780.0,16200000.0
2019-03-18,26800,27100,26450,27050,98508,438210.0,16200000.0
2019-03-19,27500,28000,27250,27500,366210,445500.0,16200000.0
2019-03-20,27550,27600,26550,26750,158811,433350.0,16200000.0
2019-03-21,26500,26500,25700,25750,200764,417150.0,16200000.0
2019-03-22,26050,26350,25100,25450,142072,412290.0,16200000.0
2019-03-25,25050,26200,25000,25550,169827,413910.0,16200000.0
2019-03-26,29300,30300,26550,26550,1847333,430110.0,16200000.0
2019-03-27,26550,26750,26000,26200,283831,424440.0,16200000.0
2019-03-28,26050,26050,24550,24900,337440,403380.0,16200000.0
2019-03-29,24850,25150,24000,24600,193769,398520.0,16200000.0
2019-04-01,24500,25250,24450,25000,87011,405000.0,16200000.0
2019-04-02,25250,25700,24800,25150,96215,407430.0,16200000.0
2019-04-03,25150,25350,24950,25100,96749,406620.0,16200000.0
2019-04-04,25100,25700,25050,25700,92079,416340.0,16200000.0
2019-04-05,25900,25950,25200,25400,102715,411480.0,16200000.0
2019-04-08,25450,25950,25000,25100,108265,406620.0,16200000.0
2019-04-09,25050,25850,24700,25250,157074,409050.0,16200000.0
2019-04-10,25350,26200,25050,26050,248207,422010.0,16200000.0
2019-04-11,26200,26850,26100,26650,248626,431730.0,16200000.0
2019-04-12,26700,26800,26150,26600,123837,430920.0,16200000.0
2019-04-15,26600,27350,26600,26700,236999,432540.0,16200000.0
2019-04-16,26850,26850,26000,26200,105026,424440.0,16200000.0
2019-04-17,26150,26850,25950,26400,98178,427680.0,16200000.0
2019-04-18,26500,26500,25550,25600,122148,414720.0,16200000.0
2019-04-19,25800,26150,25650,25800,84239,417960.0,16200000.0
2019-04-22,25800,26150,25600,25800,61633,417960.0,16200000.0
2019-04-23,25900,26050,25250,25450,111138,412290.0,16200000.0
2019-04-24,25450,25750,24900,25050,79780,405810.0,16200000.0
2019-04-25,24900,25300,24600,24950,87175,404190.0,16200000.0
2019-04-26,24950,25100,24550,25050,74880,405810.0,16200000.0
2019-04-29,25150,25400,24950,25300,76285,409860.0,16200000.0
2019-04-30,25300,26350,25100,26200,232028,424440.0,16200000.0
2019-05-02,26150,26650,25800,26650,143391,431730.0,16200000.0
2019-05-03,26550,26550,24800,25850,114485,418770.0,16200000.0
2019-05-07,25250,25800,25200,25400,61345,411480.0,16200000.0
2019-05-08,25300,26050,25300,25800,112288,417960.0,16200000.0
2019-05-09,25600,25900,24800,24900,139336,403380.0,16200000.0
2019-05-10,24900,25250,24550,24600,130083,398520.0,16200000.0
2019-05-13,24400,25000,23850,24200,86595,392040.0,16200000.0
2019-05-14,23500,24500,23350,24050,67131,389610.0,16200000.0
2019-05-15,24200,25200,24100,25150,77331,407430.0,16200000.0
2019-05-16,25250,25350,24650,24900,60584,403380.0,16200000.0
2019-05-17,24850,25150,24750,24800,39993,401760.0,16200000.0
2019-05-20,24600,24950,24000,24200,70400,392040.0,16200000.0
2019-05-21,23850,24350,23850,24150,66813,391230.0,16200000.0
2019-05-22,24200,24350,24050,24200,54171,392040.0,16200000.0
2019-05-23,24350,24850,23800,24500,80419,396900.0,16200000.0
2019-05-24,24250,24300,24000,24250,47923,392850.0,16200000.0
2019-05-27,24000,24400,23850,24100,73470,390420.0,16200000.0
2019-05-28,24150,24800,23950,24700,78251,400140.0,16200000.0
2019-05-29,24700,24700,24000,24250,58990,392850.0,16200000.0
2019-05-30,24050,24250,23600,23850,72214,386370.0,16200000.0
2019-05-31,23800,24150,23750,23800,45996,385560.0,16200000.0
2019-06-03,23700,24150,23700,23950,59515,387990.0,16200000.0
2019-06-04,23900,24150,23850,23950,43931,387990.0,16200000.0
2019-06-05,24250,24250,23800,23950,45433,387990.0,16200000.0
2019-06-07,24000,24400,24000,24250,47720,392850.0,16200000.0
2019-06-10,24300,24550,24050,24450,75584,396090.0,16200000.0
2019-06-11,24400,24850,24150,24700,88363,400140.0,16200000.0
2019-06-12,24550,25750,24550,25700,179286,416340.0,16200000.0
2019-06-13,25850,25900,25250,25600,103595,414720.0,16200000.0
2019-06-14,25500,25600,25250,25600,57296,414720.0,16200000.0
2019-06-17,25400,26000,25300,26000,107406,421200.0,16200000.0
2019-06-18,26350,26650,25800,25850,126339,418770.0,16200000.0
2019-06-19,25800,25950,25600,25700,64669,416340.0,16200000.0
2019-06-20,25750,26300,25700,25950,74616,420390.0,16200000.0
2019-06-21,26050,26150,25800,25800,46150,417960.0,16200000.0
2019-06-24,25900,26050,25500,25750,84808,417150.0,16200000.0
2019-06-25,25750,26250,25650,25750,82987,417150.0,16200000.0
2019-06-26,25750,25900,25500,25600,29853,414720.0,16200000.0
2019-06-27,25550,25900,24950,25200,79155,408240.0,16200000.0
2019-06-28,25250,25800,24950,25150,63019,407430.0,16200000.0
2019-07-01,25600,26250,25400,26000,152095,421200.0,16200000.0
2019-07-02,26000,26200,25650,25750,90912,417150.0,16200000.0
2019-07-03,25950,26450,25750,25850,161613,418770.0,16200000.0
2019-07-04,26150,26250,25850,25950,109684,420390.0,16200000.0
2019-07-05,25950,26000,25500,25900,63026,419580.0,16200000.0
2019-07-08,25800,25850,24450,24500,141869,396900.0,16200000.0
2019-07-09,24350,24800,23900,24150,91578,391230.0,16200000.0
2019-07-10,24400,24550,24100,24400,65585,395280.0,16200000.0
2019-07-11,24450,24600,24100,24300,63704,393660.0,16200000.0
2019-07-12,24400,24500,24100,24200,54170,392040.0,16200000.0
2019-07-15,24200,24300,23950,24200,65938,392040.0,16200000.0
2019-07-16,24200,24400,24100,24300,35037,393660.0,16200000.0
2019-07-17,24350,24350,23800,23900,61234,387180.0,16200000.0
2019-07-18,23500,24200,23500,24000,51272,388800.0,16200000.0
2019-07-19,23950,24400,23950,24200,40406,392040.0,16200000.0
2019-07-22,24300,24350,24050,24150,25104,391230.0,16200000.0
2019-07-23,24150,24250,24100,24100,33091,390420.0,16200000.0
2019-07-24,24100,24400,24050,24300,38695,393660.0,16200000.0
2019-07-25,24200,24350,23800,23900,58456,387180.0,16200000.0
2019-07-26,23750,24000,23300,23650,81506,383130.0,16200000.0
2019-07-29,23650,24000,23200,23750,92364,384750.0,16200000.0
2019-07-30,23550,24550,23550,24000,81588,388800.0,16200000.0
2019-07-31,23900,24100,23800,24000,47943,388800.0,16200000.0
2019-08-01,23900,24000,23550,23550,50477,381510.0,16200000.0
2019-08-02,23250,23400,23000,23150,46154,375030.0,16200000.0
2019-08-05,23000,23150,21300,21300,160521,345060.0,16200000.0
2019-08-06,20350,22300,20100,21450,101715,347490.0,16200000.0
2019-08-07,21350,22150,21350,21800,79513,353160.0,16200000.0
2019-08-08,22000,22900,21900,22800,68168,369360.0,16200000.0
2019-08-09,22850,24350,22800,23900,114359,387180.0,16200000.0
2019-08-12,23900,24200,23650,23800,31817,385560.0,16200000.0
2019-08-13,23450,24150,23450,23900,20361,387180.0,16200000.0
2019-08-14,24150,24150,23450,24050,42515,389610.0,16200000.0
2019-08-16,23600,23800,23300,23350,25301,378270.0,16200000.0
2019-08-19,23450,23700,23100,23200,27159,375840.0,16200000.0
2019-08-20,23500,23950,23500,23800,32271,385560.0,16200000.0
2019-08-21,24050,24450,23750,24250,49687,392850.0,16200000.0
2019-08-22,24100,24400,23850,24150,19996,391230.0,16200000.0
2019-08-23,23800,24000,23700,23850,18421,386370.0,16200000.0
2019-08-26,23400,23600,23100,23350,55300,378270.0,16200000.0
2019-08-27,23500,23850,23400,23400,27132,379080.0,16200000.0
2019-08-28,23450,23700,23250,23700,18377,383940.0,16200000.0
2019-08-29,23550,23900,23400,23450,21186,379890.0,16200000.0
2019-08-30,23800,23850,23450,23750,26911,384750.0,16200000.0
2019-09-02,23800,24400,23550,24050,57168,389610.0,16200000.0
2019-09-03,24250,24250,23600,23900,33200,387180.0,16200000.0
2019-09-04,23700,24000,23600,23850,19308,386370.0,16200000.0
2019-09-05,23750,24050,23650,23700,29098,383940.0,16200000.0
2019-09-06,23650,24000,23650,23800,23764,385560.0,16200000.0
2019-09-09,23800,24050,23600,23650,30794,383130.0,16200000.0
2019-09-10,23650,23950,23550,23550,22706,381510.0,16200000.0
2019-09-11,23600,23950,23400,23650,53724,383130.0,16200000.0
2019-09-16,23750,23800,23400,23700,23527,383940.0,16200000.0
2019-09-17,23550,24100,23550,23950,56545,387990.0,16200000.0
2019-09-18,23900,24150,23750,23850,29205,386370.0,16200000.0
2019-09-19,23850,24050,23750,23750,30254,384750.0,16200000.0
2019-09-20,23900,23950,23700,23900,22683,387180.0,16200000.0
2019-09-23,23700,23850,23500,23550,32940,381510.0,16200000.0
2019-09-24,23500,23600,23300,23450,28523,379890.0,16200000.0
2019-09-25,23400,23600,23100,23300,38307,377460.0,16200000.0
2019-09-26,23300,23550,23150,23350,33738,378270.0,16200000.0
2019-09-27,23350,23450,23100,23250,29223,376650.0,16200000.0
2019-09-30,23100,23550,23000,23400,29359,,
2019-10-01,23600,23600,23150,23550,41463,,
2019-10-02,23500,23800,23300,23700,27115,,
2019-10-04,23650,23900,23300,23650,33744,,
2019-10-07,23850,23900,23000,23700,41562,,
