케이티(030200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-04-08,43500,44500,43100,44000,683500,12668368.0,287917464.0
1999-04-09,44000,44400,42500,42800,395600,12322867.0,287917464.0
1999-04-12,43000,43400,41600,41800,545130,12034950.0,287917464.0
1999-04-13,41750,42800,41500,42000,322890,12092533.0,287917464.0
1999-04-14,42000,42900,41500,42500,387000,12236492.0,287917464.0
1999-04-15,42500,45000,42500,45000,851770,12956286.0,287917464.0
1999-04-16,44800,48700,44100,46800,2232250,13474537.0,287917464.0
1999-04-19,49000,51000,47200,50900,1972150,14654999.0,287917464.0
1999-04-20,51500,52500,49100,50000,1264090,14395873.0,287917464.0
1999-04-21,49000,49900,48100,48300,622190,13906414.0,287917464.0
1999-04-22,48300,48800,46300,48300,618010,13906414.0,287917464.0
1999-04-23,48250,50700,48000,49800,793630,14338290.0,287917464.0
1999-04-26,49800,53500,49200,53500,1342560,15403584.0,287917464.0
1999-04-27,53600,58000,53500,58000,1726730,16699213.0,287917464.0
1999-04-28,56000,58700,55500,57300,1405410,16497671.0,287917464.0
1999-04-29,56000,56200,52500,52500,690710,15115667.0,287917464.0
1999-04-30,52000,52500,50300,52000,843430,14971708.0,287917464.0
1999-05-03,53000,53200,50700,51200,385780,14741374.0,287917464.0
1999-05-04,51500,53800,51500,53000,476160,15259626.0,287917464.0
1999-05-06,53000,55000,52500,55000,666640,15835461.0,287917464.0
1999-05-07,55500,56200,54000,54500,805830,15691502.0,287917464.0
1999-05-10,52000,54200,51000,53800,568400,15489960.0,287917464.0
1999-05-11,53800,53800,50500,50500,590050,14539832.0,287917464.0
1999-05-12,51000,51900,49800,51000,840960,14683791.0,287917464.0
1999-05-13,51000,52000,50200,50500,805820,14539832.0,287917464.0
1999-05-14,51500,53000,51000,52400,845700,15086875.0,287917464.0
1999-05-17,53000,53000,51200,52900,526050,15230834.0,287917464.0
1999-05-18,52900,53800,52600,53300,562280,15346001.0,287917464.0
1999-05-19,53400,54700,53000,53700,1198610,15461168.0,287917464.0
1999-05-20,54200,57500,53800,55300,1663950,15921836.0,287917464.0
1999-05-21,56500,56500,54500,54700,601230,15749085.0,287917464.0
1999-05-24,52600,55000,52600,55000,654140,15835461.0,287917464.0
1999-05-25,53600,55000,53300,54500,727090,15691502.0,287917464.0
1999-05-26,54500,55900,53400,55900,871550,16094586.0,287917464.0
1999-05-27,57500,61400,56400,57700,1829020,16612838.0,287917464.0
1999-05-28,58400,59300,57200,58200,628720,16756796.0,287917464.0
1999-05-31,58300,61500,58300,60700,979080,17476590.0,287917464.0
1999-06-01,60700,69000,60100,67500,2009310,19434429.0,287917464.0
1999-06-02,69000,70000,66300,67500,1289040,19434429.0,287917464.0
1999-06-03,68000,69500,66300,69000,903710,19866305.0,287917464.0
1999-06-04,69500,74200,69500,73000,1710770,21017975.0,287917464.0
1999-06-07,75000,79600,74000,79000,1267710,22745480.0,287917464.0
1999-06-08,79100,79900,75200,78000,1641560,22457562.0,287917464.0
1999-06-09,76000,76900,70000,70000,1557040,20154222.0,287917464.0
1999-06-10,69100,74000,67000,74000,1908270,21305892.0,287917464.0
1999-06-11,71200,73500,69000,70000,1400480,20154222.0,287917464.0
1999-06-14,70000,70700,67600,69000,683889,19866305.0,287917464.0
1999-06-15,67500,69800,67000,68500,812082,19722346.0,287917464.0
1999-06-16,68500,73000,68500,71500,1221590,22322276.0,312199659.0
1999-06-17,74000,74000,70100,70100,2298470,21885196.0,312199659.0
1999-06-18,71000,72900,70900,72500,736830,22634475.0,312199659.0
1999-06-21,72600,74800,72600,74500,1080040,23258875.0,312199659.0
1999-06-22,74300,78800,73100,77000,1441120,24039374.0,312199659.0
1999-06-23,77000,77800,75000,76800,909881,23976934.0,312199659.0
1999-06-24,76000,76500,74500,74500,1144930,23258875.0,312199659.0
1999-06-25,73500,75000,72000,75000,776210,23414974.0,312199659.0
1999-06-28,75000,77800,74000,76600,937844,23914494.0,312199659.0
1999-06-29,76100,77000,75400,76800,718820,23976934.0,312199659.0
1999-06-30,76700,78900,75200,76800,1186714,23976934.0,312199659.0
1999-07-01,78500,82000,77600,80100,1407536,25007193.0,312199659.0
1999-07-02,81000,81500,79100,79900,809847,24944753.0,312199659.0
1999-07-05,79900,80700,78600,79900,906530,24944753.0,312199659.0
1999-07-06,80000,87000,79000,85200,1458436,26599411.0,312199659.0
1999-07-07,87200,91500,85400,91500,1612807,28566269.0,312199659.0
1999-07-08,91600,93000,88000,88500,1049820,27629670.0,312199659.0
1999-07-09,88500,91000,86000,91000,1088578,28410169.0,312199659.0
1999-07-12,91000,91500,87500,88000,941853,27473570.0,312199659.0
1999-07-13,86100,88000,83500,84600,1051780,26412091.0,312199659.0
1999-07-14,83000,84400,78000,78000,1304336,24351573.0,312199659.0
1999-07-15,79900,87500,79000,87000,1159433,27161370.0,312199659.0
1999-07-16,86000,89000,85000,88600,1312480,27660890.0,312199659.0
1999-07-19,89900,89900,84500,87900,769150,27442350.0,312199659.0
1999-07-20,87900,88000,83700,84000,437525,26224771.0,312199659.0
1999-07-21,84100,85000,78600,80000,963730,24975973.0,312199659.0
1999-07-22,79000,82000,77000,81000,718220,25288172.0,312199659.0
1999-07-23,81300,81300,76000,77000,809720,24039374.0,312199659.0
1999-07-26,75000,78900,73000,76500,828770,23883274.0,312199659.0
1999-07-27,77500,82000,76500,81500,663951,25444272.0,312199659.0
1999-07-28,81000,85500,80000,83500,1254141,26068672.0,312199659.0
1999-07-29,83000,89000,82900,89000,1050359,27785770.0,312199659.0
1999-07-30,87900,90000,84500,84500,1101442,26380871.0,312199659.0
1999-08-02,83000,85000,79100,80500,769140,25132073.0,312199659.0
1999-08-03,80500,82400,79700,80100,561870,25007193.0,312199659.0
1999-08-04,80500,82000,80000,80000,479646,24975973.0,312199659.0
1999-08-05,79100,82000,79000,79500,462186,24819873.0,312199659.0
1999-08-06,79500,82000,78900,79300,271996,24757433.0,312199659.0
1999-08-09,78500,80700,77600,79300,230178,24757433.0,312199659.0
1999-08-10,79000,80000,78000,80000,412495,24975973.0,312199659.0
1999-08-11,80000,80700,78900,79100,566520,24694993.0,312199659.0
1999-08-12,79100,80000,78500,79000,421250,24663773.0,312199659.0
1999-08-13,78200,78500,75500,75600,433900,23602294.0,312199659.0
1999-08-16,75000,76000,72500,74900,361254,23383754.0,312199659.0
1999-08-17,73100,76500,73100,74000,814945,23102775.0,312199659.0
1999-08-18,72000,75000,71700,74500,588467,23258875.0,312199659.0
1999-08-19,74500,75500,73100,73600,319336,22977895.0,312199659.0
1999-08-20,73600,74300,71900,72200,402090,22540815.0,312199659.0
1999-08-23,73800,76200,72400,76000,443000,23727174.0,312199659.0
1999-08-24,76900,77000,74500,75800,483840,23664734.0,312199659.0
1999-08-25,75500,82000,74700,77000,1028991,24039374.0,312199659.0
1999-08-26,79800,80000,77000,77100,589030,24070594.0,312199659.0
1999-08-27,76900,80100,75600,79900,511757,24944753.0,312199659.0
1999-08-30,80100,80600,76500,76500,368760,23883274.0,312199659.0
1999-08-31,76000,76500,73200,74000,543491,23102775.0,312199659.0
1999-09-01,75500,75500,72700,72700,422100,22696915.0,312199659.0
1999-09-02,70300,74000,70300,72500,537640,22634475.0,312199659.0
1999-09-03,72500,75900,71000,73500,612710,22946675.0,312199659.0
1999-09-06,75000,77000,73500,76500,618568,23883274.0,312199659.0
1999-09-07,77000,79800,77000,77000,867950,24039374.0,312199659.0
1999-09-08,77000,79200,76200,78000,529194,24351573.0,312199659.0
1999-09-09,79000,81800,77800,81200,1197561,25350612.0,312199659.0
1999-09-10,82200,84600,82200,82200,1312358,25662812.0,312199659.0
1999-09-13,83800,86900,83200,84400,1126875,26349651.0,312199659.0
1999-09-14,84000,84500,82500,83700,484700,26131111.0,312199659.0
1999-09-15,83000,83700,81800,83500,469830,26068672.0,312199659.0
1999-09-16,83500,84000,79900,80000,434366,24975973.0,312199659.0
1999-09-17,78000,81300,77000,81000,631460,25288172.0,312199659.0
1999-09-20,84000,84000,81100,82500,489774,25756472.0,312199659.0
1999-09-21,84000,84700,82500,82500,606068,25756472.0,312199659.0
1999-09-22,82100,82200,79000,79300,475540,24757433.0,312199659.0
1999-09-27,80500,80500,78500,78500,395673,24507673.0,312199659.0
1999-09-28,80000,80500,78500,79400,614814,24788653.0,312199659.0
1999-09-29,78800,79400,77500,78000,473985,24351573.0,312199659.0
1999-09-30,77500,79700,75000,75100,658636,23446194.0,312199659.0
1999-10-01,77000,80700,75000,80700,742581,25194512.0,312199659.0
1999-10-04,80500,80500,76600,77500,439303,24195474.0,312199659.0
1999-10-05,78100,80200,77200,79000,697111,24663773.0,312199659.0
1999-10-06,79000,80500,77000,80000,629020,24975973.0,312199659.0
1999-10-07,79700,80000,78000,80000,621410,24975973.0,312199659.0
1999-10-08,80100,80900,78100,78900,472895,24632553.0,312199659.0
1999-10-11,80000,80800,78100,78500,354762,24507673.0,312199659.0
1999-10-12,77000,79700,77000,79500,430125,24819873.0,312199659.0
1999-10-13,79000,79300,77500,78700,430616,24570113.0,312199659.0
1999-10-14,78400,79800,77100,78300,871932,24445233.0,312199659.0
1999-10-15,79500,82900,78300,81000,998247,25288172.0,312199659.0
1999-10-18,79600,80500,77500,78000,642009,24351573.0,312199659.0
1999-10-19,78300,79000,76100,76500,493104,23883274.0,312199659.0
1999-10-20,77600,78300,76500,76600,390465,23914494.0,312199659.0
1999-10-21,77000,78200,74100,75500,618390,23571074.0,312199659.0
1999-10-22,74500,75400,74000,74700,506713,23321315.0,312199659.0
1999-10-25,75500,76000,73300,74300,558065,23196435.0,312199659.0
1999-10-26,71500,75900,71500,75600,344211,23602294.0,312199659.0
1999-10-27,75100,75800,74100,75400,325560,23539854.0,312199659.0
1999-10-28,74800,79300,74800,79000,600180,24663773.0,312199659.0
1999-10-29,80000,81000,79100,80700,965996,25194512.0,312199659.0
1999-11-01,82000,84400,82000,83000,989981,25912572.0,312199659.0
1999-11-02,81300,83000,80900,82400,859610,25725252.0,312199659.0
1999-11-03,82400,82400,81200,81200,401786,25350612.0,312199659.0
1999-11-04,81200,83400,81200,83200,670270,25975012.0,312199659.0
1999-11-05,83300,84200,81500,82000,495344,25600372.0,312199659.0
1999-11-08,82500,83300,81900,82900,568280,25881352.0,312199659.0
1999-11-09,83900,90300,83400,90000,2429233,28097969.0,312199659.0
1999-11-10,90000,98000,89500,93600,2680050,29221888.0,312199659.0
1999-11-11,96000,98000,93600,94500,1774244,29502868.0,312199659.0
1999-11-12,99100,100000,95500,97400,1560506,30408247.0,312199659.0
1999-11-15,105000,105500,99600,101000,1821083,31532166.0,312199659.0
1999-11-16,102000,116000,100000,116000,2168412,36215160.0,312199659.0
1999-11-17,121000,128000,115500,116000,4119252,36215160.0,312199659.0
1999-11-18,118000,119000,108000,116000,2568740,36215160.0,312199659.0
1999-11-19,118000,122000,114000,120000,2354379,37463959.0,312199659.0
1999-11-22,119000,119500,113000,114500,1470082,35746861.0,312199659.0
1999-11-23,113500,116000,110000,114500,1225416,35746861.0,312199659.0
1999-11-24,112500,114000,110500,112000,1139334,34966362.0,312199659.0
1999-11-25,113000,122000,113000,118500,2340817,36995660.0,312199659.0
1999-11-26,120000,126000,116000,116000,1879460,36215160.0,312199659.0
1999-11-29,119000,121000,115000,120000,978102,37463959.0,312199659.0
1999-11-30,120500,136000,119500,128000,2846093,39961556.0,312199659.0
1999-12-01,126500,129000,124000,127000,1919839,39649357.0,312199659.0
1999-12-02,128000,129500,111000,116000,2085386,36215160.0,312199659.0
1999-12-03,116500,119000,112500,113000,1135860,35278561.0,312199659.0
1999-12-06,119000,127000,116000,126000,1598271,39337157.0,312199659.0
1999-12-07,130000,141000,126000,140500,3173360,43864052.0,312199659.0
1999-12-08,140000,142000,132000,138500,2039313,43239653.0,312199659.0
1999-12-09,138500,142000,136000,138000,1827318,43083553.0,312199659.0
1999-12-10,140000,143500,135000,138000,1450120,43083553.0,312199659.0
1999-12-13,140000,145000,137000,141500,1426477,44176252.0,312199659.0
1999-12-14,140000,143000,136000,136000,1268173,42459154.0,312199659.0
1999-12-15,133000,134000,127500,130000,1164608,40585956.0,312199659.0
1999-12-16,128000,132000,124500,127000,969804,39649357.0,312199659.0
1999-12-17,127000,129500,124000,127000,891201,39649357.0,312199659.0
1999-12-20,129500,137000,128000,132000,1561305,41210355.0,312199659.0
1999-12-21,132000,142000,130500,135500,1611196,42303054.0,312199659.0
1999-12-22,138000,142500,136500,140000,1391615,43707952.0,312199659.0
1999-12-23,140000,156500,137500,150000,2459981,46829949.0,312199659.0
1999-12-24,154500,158000,150500,154000,1459133,48078747.0,312199659.0
1999-12-27,159500,177000,155500,177000,2345467,55259340.0,312199659.0
1999-12-28,184000,199000,179000,179000,4231493,55883739.0,312199659.0
2000-01-04,182000,186000,160000,169000,2344578,52761742.0,312199659.0
2000-01-05,148000,160000,145000,145500,2744903,45425050.0,312199659.0
2000-01-06,151000,154000,145000,147500,2275143,46049450.0,312199659.0
2000-01-07,141000,142500,126500,133000,2404267,41522555.0,312199659.0
2000-01-10,140000,149500,137500,145000,2273425,45268951.0,312199659.0
2000-01-11,148000,149000,139000,140000,1706151,43707952.0,312199659.0
2000-01-12,135000,137000,131000,131500,1211776,41054255.0,312199659.0
2000-01-13,132000,134500,126000,130000,1750059,40585956.0,312199659.0
2000-01-14,134000,138000,128500,131500,1637664,41054255.0,312199659.0
2000-01-17,134000,138500,133000,137500,1065897,42927453.0,312199659.0
2000-01-18,138500,145000,135000,139500,1471080,43551852.0,312199659.0
2000-01-19,137500,139000,132000,132000,1357016,41210355.0,312199659.0
2000-01-20,130000,135000,126500,135000,1170014,42146954.0,312199659.0
2000-01-21,130000,132000,127500,129000,1152706,40273756.0,312199659.0
2000-01-24,127500,131500,126000,126000,1046453,39337157.0,312199659.0
2000-01-25,123000,123000,118000,118000,1266775,36839560.0,312199659.0
2000-01-26,118000,118500,107000,110000,1465314,34341962.0,312199659.0
2000-01-27,111000,116000,109000,114000,1157446,35590761.0,312199659.0
2000-01-28,118000,125500,116000,122000,1619534,38088358.0,312199659.0
2000-01-31,123000,127500,120000,126000,1171169,39337157.0,312199659.0
2000-02-01,129500,130000,122500,124000,938659,38712758.0,312199659.0
2000-02-02,125000,127000,120000,125000,1085204,39024957.0,312199659.0
2000-02-03,127000,127500,121000,124000,1288055,38712758.0,312199659.0
2000-02-07,125500,141000,125000,137000,2553724,42771353.0,312199659.0
2000-02-08,138000,138500,131500,132000,1147885,41210355.0,312199659.0
2000-02-09,135500,140000,134500,138000,1447182,43083553.0,312199659.0
2000-02-10,132000,147000,132000,136500,2480575,42615253.0,312199659.0
2000-02-11,139500,143000,135000,135500,1347964,42303054.0,312199659.0
2000-02-14,133000,137500,130000,132000,1251896,41210355.0,312199659.0
2000-02-15,134000,134500,121500,124000,1338269,38712758.0,312199659.0
2000-02-16,124000,126000,115500,123000,1321731,38400558.0,312199659.0
2000-02-17,116000,123000,116000,122000,1524665,38088358.0,312199659.0
2000-02-18,122000,128000,118000,118000,1653959,36839560.0,312199659.0
2000-02-21,115000,116000,110500,111000,1042887,34654162.0,312199659.0
2000-02-22,111000,117000,109000,114500,1217920,35746861.0,312199659.0
2000-02-23,114000,116500,111000,115000,1272745,35902961.0,312199659.0
2000-02-24,115000,117500,113000,114000,913753,35590761.0,312199659.0
2000-02-25,109000,112000,106500,109000,1651680,34029763.0,312199659.0
2000-02-28,107500,108000,97200,97800,1706622,30533127.0,312199659.0
2000-02-29,99500,101000,93500,95500,1705849,29815067.0,312199659.0
2000-03-02,99000,109500,96000,107500,2053295,33561463.0,312199659.0
2000-03-03,113000,114000,106500,110000,1522631,34341962.0,312199659.0
2000-03-06,115000,116000,111500,113000,1066908,35278561.0,312199659.0
2000-03-07,109000,113000,105000,113000,761078,35278561.0,312199659.0
2000-03-08,106000,115000,106000,113000,811550,35278561.0,312199659.0
2000-03-09,118000,119500,109000,109000,1907621,34029763.0,312199659.0
2000-03-10,113000,113500,107000,108000,931527,33717563.0,312199659.0
2000-03-13,105500,106000,99000,99900,1136960,31188746.0,312199659.0
2000-03-14,98000,99500,96000,97800,835222,30533127.0,312199659.0
2000-03-15,95100,96000,92000,94000,951869,29346768.0,312199659.0
2000-03-16,95600,98000,94300,97000,934115,30283367.0,312199659.0
2000-03-17,100000,101500,97500,100000,1043145,31219966.0,312199659.0
2000-03-20,100000,101500,97100,97100,499669,30314587.0,312199659.0
2000-03-21,95000,100000,93100,100000,884045,31219966.0,312199659.0
2000-03-22,101000,104000,99000,103000,1145258,32156565.0,312199659.0
2000-03-23,103000,103500,99000,102500,1017469,32000465.0,312199659.0
2000-03-24,100000,101500,99600,100000,655195,31219966.0,312199659.0
2000-03-27,100000,101000,98100,98100,622777,30626787.0,312199659.0
2000-03-28,97200,101000,97200,97800,820574,30533127.0,312199659.0
2000-03-29,98200,99800,97500,98700,1036894,30814106.0,312199659.0
2000-03-30,101000,106500,99600,103500,1725376,32312665.0,312199659.0
2000-03-31,101000,103000,98000,98000,1158473,30595567.0,312199659.0
2000-04-03,100000,100000,92000,93700,829750,29253108.0,312199659.0
2000-04-04,92000,93700,88200,93700,863908,29253108.0,312199659.0
2000-04-06,91100,92800,89700,89700,577085,28004309.0,312199659.0
2000-04-07,89800,93500,89700,92000,850432,28722369.0,312199659.0
2000-04-10,96000,96500,93400,93500,1302334,29190668.0,312199659.0
2000-04-11,94800,94800,92500,93800,836652,29284328.0,312199659.0
2000-04-12,93000,94800,92400,92500,791850,28878468.0,312199659.0
2000-04-14,90000,90200,87000,88000,704649,27473570.0,312199659.0
2000-04-17,74800,79500,74800,74800,1383693,23352534.0,312199659.0
2000-04-18,82000,82000,73300,75000,1381263,23414974.0,312199659.0
2000-04-19,78500,80500,76000,77000,1433397,24039374.0,312199659.0
2000-04-20,78000,83100,76900,82400,1254564,25725252.0,312199659.0
2000-04-21,83400,85000,81200,82100,963706,25631592.0,312199659.0
2000-04-24,83500,83700,79200,79500,586208,24819873.0,312199659.0
2000-04-25,77000,80500,77000,80400,654063,25100853.0,312199659.0
2000-04-26,82500,83000,77100,77900,662237,24320353.0,312199659.0
2000-04-27,77000,79800,75000,75800,672984,23664734.0,312199659.0
2000-04-28,75700,77300,74000,75800,903509,23664734.0,312199659.0
2000-05-02,76100,81100,75200,80000,1975549,24975973.0,312199659.0
2000-05-03,79900,80500,77500,78800,895329,24601333.0,312199659.0
2000-05-04,79600,79900,77600,78700,687052,24570113.0,312199659.0
2000-05-08,80000,83000,79600,81500,1185420,25444272.0,312199659.0
2000-05-09,82900,83000,81100,81200,699350,25350612.0,312199659.0
2000-05-10,81500,82600,80600,82000,762450,25600372.0,312199659.0
2000-05-12,83500,83700,80900,81400,626227,25413052.0,312199659.0
2000-05-15,80200,81400,78700,80500,531104,25132073.0,312199659.0
2000-05-16,80000,84000,78200,83300,1106844,26006232.0,312199659.0
2000-05-17,86000,89000,82000,83500,1789465,26068672.0,312199659.0
2000-05-18,80100,83000,80100,81500,868020,25444272.0,312199659.0
2000-05-19,81100,86100,79500,86000,1402950,26849171.0,312199659.0
2000-05-22,82500,84000,79500,80000,840485,24975973.0,312199659.0
2000-05-23,78500,80600,76100,78400,1050555,24476453.0,312199659.0
2000-05-24,75500,77000,69100,73500,1421414,22946675.0,312199659.0
2000-05-25,76000,77300,73100,76000,1405520,23727174.0,312199659.0
2000-05-26,74000,77300,73100,73500,1212256,22946675.0,312199659.0
2000-05-29,69500,74000,69500,73000,1038315,22790575.0,312199659.0
2000-05-30,74000,78900,74000,78300,960970,24445233.0,312199659.0
2000-05-31,82700,84800,80200,84000,1770126,26224771.0,312199659.0
2000-06-01,82000,84000,81000,82400,761081,25725252.0,312199659.0
2000-06-02,84500,85500,82600,84000,1164539,26224771.0,312199659.0
2000-06-05,86100,90900,85100,88300,1657878,27567230.0,312199659.0
2000-06-07,90500,101500,89500,101500,3736788,31688265.0,312199659.0
2000-06-08,109000,111500,98100,101500,5599955,31688265.0,312199659.0
2000-06-09,99800,106000,96300,102500,2345874,32000465.0,312199659.0
2000-06-12,106500,107500,98700,100000,1452750,31219966.0,312199659.0
2000-06-13,100000,100000,91000,91000,1091523,28410169.0,312199659.0
2000-06-14,92000,96600,90100,95600,1698238,29846287.0,312199659.0
2000-06-15,96000,96200,91100,91900,1009969,28691149.0,312199659.0
2000-06-16,88200,94200,88200,91500,758888,28566269.0,312199659.0
2000-06-19,90200,95300,89500,91700,1200788,28628709.0,312199659.0
2000-06-20,93500,94500,90500,91200,866606,28472609.0,312199659.0
2000-06-21,91500,92100,89100,89500,1182479,27941869.0,312199659.0
2000-06-22,91000,92500,89000,90100,837876,28129189.0,312199659.0
2000-06-23,88000,89500,87500,89400,555159,27910650.0,312199659.0
2000-06-26,88000,90900,88000,90200,540792,28160409.0,312199659.0
2000-06-27,92000,94100,90800,94000,782480,29346768.0,312199659.0
2000-06-28,95400,97000,94500,96400,1067574,30096047.0,312199659.0
2000-06-29,99000,99900,95200,97200,1186791,30345807.0,312199659.0
2000-06-30,96700,100000,96200,98200,850158,30658007.0,312199659.0
2000-07-03,99200,99900,96800,96900,810137,30252147.0,312199659.0
2000-07-04,96400,96500,92600,93000,915723,29034568.0,312199659.0
2000-07-05,92000,93900,91300,92000,461810,28722369.0,312199659.0
2000-07-06,92000,92600,89500,92000,505509,28722369.0,312199659.0
2000-07-07,91100,93000,90600,91100,419761,28441389.0,312199659.0
2000-07-10,91100,92200,90500,90600,375832,28285289.0,312199659.0
2000-07-11,92800,94800,90600,91900,766937,28691149.0,312199659.0
2000-07-12,92000,93500,91100,93000,494613,29034568.0,312199659.0
2000-07-13,93000,93000,91000,91500,807792,28566269.0,312199659.0
2000-07-14,92000,92300,90400,90400,350935,28222849.0,312199659.0
2000-07-18,90000,91200,89500,90900,296402,28378949.0,312199659.0
2000-07-19,88800,90800,87100,88500,402188,27629670.0,312199659.0
2000-07-20,85200,88900,85200,86900,653027,27130150.0,312199659.0
2000-07-21,86000,87600,84500,85300,370748,26630631.0,312199659.0
2000-07-24,83100,84900,80300,81100,410556,25319392.0,312199659.0
2000-07-25,79200,82000,77500,79900,615480,24944753.0,312199659.0
2000-07-26,81100,81400,76600,79000,843619,24663773.0,312199659.0
2000-07-27,77700,79800,77500,78900,370075,24632553.0,312199659.0
2000-07-28,78400,79200,77200,78000,589619,24351573.0,312199659.0
2000-07-31,76000,80000,76000,79800,439485,24913533.0,312199659.0
2000-08-01,80000,80500,78000,79600,509635,24851093.0,312199659.0
2000-08-02,79900,82000,78800,80000,467578,24975973.0,312199659.0
2000-08-03,81800,82300,79700,80000,448240,24975973.0,312199659.0
2000-08-04,80100,80900,79000,80500,274798,25132073.0,312199659.0
2000-08-07,79700,79900,77300,78000,320372,24351573.0,312199659.0
2000-08-08,76100,78900,76100,76500,393299,23883274.0,312199659.0
2000-08-09,78000,81500,77600,81500,560053,25444272.0,312199659.0
2000-08-10,80800,82400,78300,82400,719632,25725252.0,312199659.0
2000-08-11,79000,81800,78900,80600,445362,25163293.0,312199659.0
2000-08-14,83000,83200,80500,80600,347651,25163293.0,312199659.0
2000-08-16,81200,82000,80500,81000,478006,25288172.0,312199659.0
2000-08-17,82500,82500,80000,80000,334907,24975973.0,312199659.0
2000-08-18,80500,80700,78000,78500,328576,24507673.0,312199659.0
2000-08-21,78000,78800,77400,77500,283669,24195474.0,312199659.0
