성신양회(004980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-07-07,5177,5643,5040,5642,764370,102690.0,13876962.0
1999-07-08,5604,6077,5490,5917,886350,107685.0,13876962.0
1999-07-09,6092,6779,5757,6412,1822140,116705.0,13876962.0
1999-07-12,6413,6779,5986,6176,952220,112403.0,13876962.0
1999-07-13,6253,6291,5726,5726,550220,104216.0,13876962.0
1999-07-14,5871,5948,5345,5383,458740,97971.0,13876962.0
1999-07-15,5429,5528,5223,5337,355110,97139.0,13876962.0
1999-07-16,5414,5650,5414,5642,393330,102690.0,13876962.0
1999-07-19,5795,5856,5490,5573,380730,101441.0,13876962.0
1999-07-20,5574,5871,5421,5795,516570,105465.0,13876962.0
1999-07-21,5795,5795,5353,5413,299520,98526.0,13876962.0
1999-07-22,5261,5490,5109,5337,275010,97139.0,13876962.0
1999-07-23,5338,5719,5109,5108,431580,92976.0,13876962.0
1999-07-26,5109,5338,4659,4796,190510,87286.0,13876962.0
1999-07-27,4880,5116,4682,5116,256140,93114.0,13876962.0
1999-07-28,5879,5879,5742,5878,408950,106991.0,13876962.0
1999-07-29,6031,6291,5665,5795,1026230,105465.0,13876962.0
1999-07-30,5795,5848,5109,5246,367520,95473.0,13876962.0
1999-08-02,5490,5757,5116,5680,813290,103383.0,13876962.0
1999-08-03,5757,5986,5490,5581,667940,101579.0,13876962.0
1999-08-04,5643,5704,5414,5528,398330,100608.0,13876962.0
1999-08-05,5498,5673,5185,5185,319550,94363.0,13876962.0
1999-08-06,5124,5330,4979,5177,252830,94225.0,13876962.0
1999-08-09,5116,5254,5109,5108,192220,92976.0,13876962.0
1999-08-10,5033,5261,4956,5002,220250,91033.0,13876962.0
1999-08-11,4964,5147,4964,5002,170590,91033.0,13876962.0
1999-08-12,4888,5170,4888,5124,229830,93253.0,13876962.0
1999-08-13,5147,5292,4979,5185,231280,94363.0,13876962.0
1999-08-16,5109,5277,5109,5185,178870,94363.0,13876962.0
1999-08-17,5185,5322,4888,4918,241130,89506.0,13876962.0
1999-08-18,4811,4880,4423,4651,191930,84649.0,13876962.0
1999-08-19,4651,4956,4583,4941,150760,89923.0,13876962.0
1999-08-20,4956,4956,4735,4841,96600,88119.0,13876962.0
1999-08-23,4804,4956,4804,4880,117170,88813.0,13876962.0
1999-08-24,4880,4994,4804,4918,162580,89506.0,13876962.0
1999-08-25,4994,4994,4842,4895,168040,89090.0,13876962.0
1999-08-26,4842,5261,4804,5177,454750,94225.0,13876962.0
1999-08-27,5223,5299,4842,4933,389440,89784.0,13876962.0
1999-08-30,4880,4933,4773,4780,165360,87009.0,13876962.0
1999-08-31,4728,4804,4705,4704,147480,85621.0,13876962.0
1999-09-01,4667,4789,4613,4651,148880,84649.0,13876962.0
1999-09-02,4651,4651,4438,4521,161390,82290.0,13876962.0
1999-09-03,4575,4651,4445,4567,136190,83123.0,13876962.0
1999-09-06,4362,4781,4362,4727,167210,86037.0,13876962.0
1999-09-07,4689,4712,4590,4697,128810,85482.0,13876962.0
1999-09-08,4613,4689,4476,4475,93170,81458.0,13876962.0
1999-09-09,4499,4522,4423,4460,61100,81279.0,13893910.0
1999-09-10,4423,4728,4423,4597,126820,83780.0,13893910.0
1999-09-13,4674,4674,4506,4559,100540,83086.0,13893910.0
1999-09-14,4552,4575,4423,4514,93020,82252.0,13893910.0
1999-09-15,4461,4575,4400,4399,103430,80168.0,13893910.0
1999-09-16,4346,4476,4194,4193,131330,76417.0,13893910.0
1999-09-17,4270,4308,3896,4087,152820,74471.0,13893910.0
1999-09-20,4179,4209,3973,4117,100300,75027.0,13893910.0
1999-09-21,4049,4224,4049,4125,116260,75166.0,13893910.0
1999-09-22,4118,4156,3912,3965,193210,72248.0,13893910.0
1999-09-27,3965,4034,3813,3827,101540,69747.0,13893910.0
1999-09-28,3828,3851,3755,3759,137570,68497.0,13893910.0
1999-09-29,3774,3874,3675,3797,138000,69192.0,13893910.0
1999-09-30,3797,3797,3652,3652,119060,66552.0,13893910.0
1999-10-01,3508,3652,3149,3309,131740,60300.0,13893910.0
1999-10-04,3431,3454,3279,3454,145510,62939.0,13893910.0
1999-10-05,3363,3500,2939,3050,66040,55576.0,13893910.0
1999-10-06,3054,3218,2974,3217,69530,58632.0,13893910.0
1999-10-07,3271,3454,3195,3454,111700,62939.0,13893910.0
1999-10-08,3508,3698,3431,3438,99360,62662.0,13893910.0
1999-10-11,3431,3469,3321,3355,61840,61133.0,13893910.0
1999-10-12,3355,3492,3302,3431,126460,62523.0,13893910.0
1999-10-13,3355,3416,3279,3332,91790,60716.0,13893910.0
1999-10-14,3279,3401,3241,3393,86470,61828.0,13893910.0
1999-10-15,3294,3393,3294,3316,72020,60439.0,13893910.0
1999-10-18,3164,3294,3058,3118,103450,56826.0,13893910.0
1999-10-19,3138,3264,3088,3126,91670,56965.0,13893910.0
1999-10-20,3241,3279,3164,3240,101840,59049.0,13893910.0
1999-10-21,3241,3347,3210,3210,123340,58493.0,13893910.0
1999-10-22,3138,3256,3126,3172,64930,57799.0,13893910.0
1999-10-25,3138,3233,3073,3080,80770,56131.0,13893910.0
1999-10-26,3008,3088,2997,3027,47280,55159.0,13893910.0
1999-10-27,2993,3077,2981,2989,63120,54464.0,13893910.0
1999-10-28,3012,3088,3012,3050,62750,55576.0,13893910.0
1999-10-29,3065,3122,3050,3057,94540,55715.0,13893910.0
1999-11-01,3096,3164,3081,3133,93130,57104.0,13893910.0
1999-11-02,3122,3126,3065,3103,149270,56548.0,13893910.0
1999-11-03,3126,3416,3065,3271,278230,59605.0,13893910.0
1999-11-04,3317,3729,3248,3507,419000,63912.0,13893910.0
