롯데칠성음료(005300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-04-16,6010,6450,6010,6391,11100,79057.0,1237203.0
1999-04-19,6400,7340,6400,7341,11300,90811.0,1237203.0
1999-04-20,7600,8250,7500,8091,19210,100090.0,1237203.0
1999-04-21,8090,8090,7490,7501,9380,92790.0,1237203.0
1999-04-22,7000,7800,7000,7301,4670,90316.0,1237203.0
1999-04-23,7300,7700,7290,7291,5850,90192.0,1237203.0
1999-04-26,7300,7600,7300,7501,16380,92790.0,1237203.0
1999-04-27,7590,8000,7550,7561,9290,93533.0,1237203.0
1999-04-28,8000,8000,7400,7601,13300,94027.0,1237203.0
1999-04-29,7590,7700,7500,7601,7660,94027.0,1237203.0
1999-04-30,7600,7610,7500,7571,14510,93656.0,1237203.0
1999-05-03,7570,7610,7500,7531,4980,93161.0,1237203.0
1999-05-04,7600,8100,7600,7951,30910,98358.0,1237203.0
1999-05-06,8300,8460,8050,8391,10960,103801.0,1237203.0
1999-05-07,8400,8400,8210,8351,5040,103306.0,1237203.0
1999-05-10,8350,9600,8200,9391,19450,116173.0,1237203.0
1999-05-11,9300,9300,8820,9291,7030,114936.0,1237203.0
1999-05-12,9190,9500,8550,9501,4280,117534.0,1237203.0
1999-05-13,9220,9220,8750,9001,5390,111348.0,1237203.0
1999-05-14,8690,8980,8600,8651,6110,107018.0,1237203.0
1999-05-17,8650,8650,7900,8101,5480,100213.0,1237203.0
1999-05-18,7680,8000,7570,8001,4690,98976.0,1237203.0
1999-05-19,7500,7950,7500,7951,3410,98358.0,1237203.0
1999-05-20,7620,8000,7620,8001,5140,98976.0,1237203.0
1999-05-21,8000,8000,7710,7801,2340,96502.0,1237203.0
1999-05-24,7800,7850,7750,7801,1590,96502.0,1237203.0
1999-05-25,7600,7800,7600,7801,4510,96502.0,1237203.0
1999-05-26,7800,7950,7650,7851,990,97120.0,1237203.0
1999-05-27,7700,8300,7700,8111,9110,100337.0,1237203.0
1999-05-28,8120,8400,7900,8001,1620,98976.0,1237203.0
1999-05-31,8010,8150,8010,8051,2950,99595.0,1237203.0
1999-06-01,8000,8300,8000,8301,5660,102688.0,1237203.0
1999-06-02,8270,8600,8260,8401,1220,103925.0,1237203.0
1999-06-03,8600,9000,8250,8501,2750,105162.0,1237203.0
1999-06-04,8700,9000,8500,8751,4340,108255.0,1237203.0
1999-06-07,8800,9000,8500,8821,2510,109121.0,1237203.0
1999-06-08,8600,8670,8600,8641,5410,106894.0,1237203.0
1999-06-09,8650,8790,8360,8601,5620,106399.0,1237203.0
1999-06-10,8600,8600,8600,8601,920,106399.0,1237203.0
1999-06-11,8800,8800,8600,8601,4420,106399.0,1237203.0
1999-06-14,8420,9000,8420,9001,2700,111348.0,1237203.0
1999-06-15,8700,8790,8600,8791,2170,108750.0,1237203.0
1999-06-16,9000,9000,8630,8751,360,108255.0,1237203.0
1999-06-17,8980,9100,8860,8991,4760,111225.0,1237203.0
1999-06-18,9000,9050,8900,8901,2260,110111.0,1237203.0
1999-06-21,9080,9280,8900,8901,17780,110111.0,1237203.0
1999-06-22,9100,9100,8660,9001,1340,111348.0,1237203.0
1999-06-23,8820,9100,8820,9011,2850,111472.0,1237203.0
1999-06-24,9000,9090,8900,8901,8390,110111.0,1237203.0
1999-06-25,9090,9290,8250,9101,2370,112585.0,1237203.0
1999-06-28,9600,10450,9300,10451,42120,129288.0,1237203.0
1999-06-29,10600,12001,10600,11501,23030,142278.0,1237203.0
1999-06-30,11501,12301,10800,12201,22150,150939.0,1237203.0
1999-07-01,12201,12501,11700,12001,16100,148464.0,1237203.0
1999-07-02,12001,12401,11700,11801,37600,145990.0,1237203.0
1999-07-05,13301,13301,11551,11601,18590,143516.0,1237203.0
1999-07-06,11451,12001,11300,12001,8130,148464.0,1237203.0
1999-07-07,11600,11851,11400,11851,7865,146609.0,1237203.0
1999-07-08,11100,11600,11100,11401,17600,141041.0,1237203.0
1999-07-09,11150,11300,10600,11201,19440,138567.0,1237203.0
1999-07-12,11300,11300,10850,11001,13360,136092.0,1237203.0
1999-07-13,10800,10850,10550,10751,6130,132999.0,1237203.0
1999-07-14,10250,10700,10200,10601,7690,131144.0,1237203.0
1999-07-15,10300,10500,10000,10451,21120,129288.0,1237203.0
1999-07-16,10950,10950,10000,10451,11480,129288.0,1237203.0
1999-07-19,10300,10800,10300,10751,4090,132999.0,1237203.0
1999-07-20,10900,10900,10450,10501,4690,129906.0,1237203.0
1999-07-21,10400,10450,9700,10101,6160,124958.0,1237203.0
1999-07-22,10500,10500,9700,10001,1930,123720.0,1237203.0
1999-07-23,9800,10200,9500,9801,4300,121246.0,1237203.0
1999-07-26,8610,9100,8500,9101,15950,112585.0,1237203.0
1999-07-27,9090,9300,8610,9301,1510,115060.0,1237203.0
1999-07-28,9100,9400,9000,9301,12700,115060.0,1237203.0
1999-07-29,9030,9390,9030,9251,5670,114441.0,1237203.0
1999-07-30,9400,9400,8830,9101,3520,112585.0,1237203.0
1999-08-02,9300,9300,8510,8511,2780,105286.0,1237203.0
1999-08-03,8610,8820,8610,8801,8310,108874.0,1237203.0
1999-08-04,8900,9500,8900,9501,13080,117534.0,1237203.0
1999-08-05,9500,9550,9270,9401,4590,116297.0,1237203.0
1999-08-06,9210,9550,9210,9401,4210,116297.0,1237203.0
1999-08-09,9400,9400,9120,9401,5420,116297.0,1237203.0
1999-08-10,9400,9500,9300,9401,2170,116297.0,1237203.0
1999-08-11,9190,9450,9110,9401,1300,116297.0,1237203.0
1999-08-12,9110,9550,9110,9171,2320,113452.0,1237203.0
1999-08-13,9200,9550,9200,9551,2240,118153.0,1237203.0
1999-08-16,9200,9400,9100,9401,3440,116297.0,1237203.0
1999-08-17,9400,9650,9140,9411,3410,116421.0,1237203.0
1999-08-18,8940,9410,8940,9291,4010,114936.0,1237203.0
1999-08-19,9200,9250,8890,8891,1370,109987.0,1237203.0
1999-08-20,8710,8730,8610,8701,4010,107637.0,1237203.0
1999-08-23,8750,8750,8650,8701,730,107637.0,1237203.0
1999-08-24,9300,9300,8710,8801,680,108874.0,1237203.0
1999-08-25,9010,9050,8700,8801,3430,108874.0,1237203.0
1999-08-26,8570,8790,8570,8701,4060,107637.0,1237203.0
1999-08-27,8710,8710,8610,8611,600,106523.0,1237203.0
1999-08-30,8550,8550,8320,8481,3210,104915.0,1237203.0
1999-08-31,8400,8400,8130,8351,1640,103306.0,1237203.0
1999-09-01,8140,8200,7840,7881,1080,97492.0,1237203.0
1999-09-02,7600,7970,7130,7871,880,97368.0,1237203.0
1999-09-03,7390,7870,7350,7871,1220,97368.0,1237203.0
1999-09-06,7570,7900,7570,7871,120,97368.0,1237203.0
1999-09-07,7860,8000,7740,7801,290,96502.0,1237203.0
1999-09-08,7970,8350,7970,8051,1260,99595.0,1237203.0
1999-09-09,8100,8280,8000,8001,650,98976.0,1237203.0
1999-09-10,8240,8240,8000,8001,450,98976.0,1237203.0
1999-09-13,8000,8100,7850,7851,570,97120.0,1237203.0
1999-09-14,8000,8000,7450,7851,17320,97120.0,1237203.0
1999-09-15,8000,8000,7800,7831,890,96873.0,1237203.0
1999-09-16,7730,7750,7500,7731,990,95636.0,1237203.0
1999-09-17,7600,7730,6580,7731,1910,95636.0,1237203.0
1999-09-20,7700,7700,7600,7621,550,94275.0,1237203.0
1999-09-21,7620,7700,7600,7701,1780,95265.0,1237203.0
1999-09-22,7600,7620,7450,7601,480,94027.0,1237203.0
1999-09-27,7600,7600,7400,7441,810,92048.0,1237203.0
1999-09-28,7120,7400,7120,7401,1740,91553.0,1237203.0
1999-09-29,7150,7380,7150,7351,300,90934.0,1237203.0
1999-09-30,7400,7400,7210,7381,1020,91306.0,1237203.0
1999-10-01,7300,7400,7200,7401,1260,91553.0,1237203.0
1999-10-04,7300,7400,7100,7401,1970,91553.0,1237203.0
1999-10-05,7470,7500,7400,7501,790,92790.0,1237203.0
1999-10-06,7500,7550,7470,7501,6330,92790.0,1237203.0
1999-10-07,7690,7990,7500,7881,8460,97492.0,1237203.0
1999-10-08,8000,8000,8000,8001,860,98976.0,1237203.0
1999-10-11,7700,7930,7700,7931,140,98110.0,1237203.0
1999-10-12,7650,7900,7650,7901,1210,97739.0,1237203.0
1999-10-13,7800,8000,7550,7951,11110,98358.0,1237203.0
1999-10-14,7950,8480,7950,8481,10390,104915.0,1237203.0
1999-10-15,8480,8900,8400,8901,2310,110111.0,1237203.0
1999-10-18,8550,8600,8300,8301,8540,102688.0,1237203.0
1999-10-19,8370,8660,8200,8291,1230,102564.0,1237203.0
1999-10-20,8490,8600,8250,8501,3461,105162.0,1237203.0
1999-10-21,8600,8600,8250,8401,7780,103925.0,1237203.0
1999-10-22,8060,8600,8060,8501,8320,105162.0,1237203.0
1999-10-25,8600,8600,8160,8501,420,105162.0,1237203.0
1999-10-26,8210,8490,8210,8491,30,105039.0,1237203.0
1999-10-27,8490,8490,8490,8491,20,105039.0,1237203.0
1999-10-28,8230,8470,8230,8401,640,103925.0,1237203.0
1999-10-29,8230,8390,8230,8391,220,103801.0,1237203.0
1999-11-01,8440,8500,8240,8501,1160,105162.0,1237203.0
1999-11-02,8500,8500,8400,8401,1170,103925.0,1237203.0
1999-11-03,8310,8310,8000,8001,2820,98976.0,1237203.0
1999-11-04,8060,8160,8000,8061,1800,99719.0,1237203.0
1999-11-05,8060,8390,8020,8391,750,103801.0,1237203.0
1999-11-08,8390,8480,8250,8251,2160,102069.0,1237203.0
1999-11-09,8070,8500,8070,8501,510,105162.0,1237203.0
1999-11-10,8690,8700,8200,8381,1670,103678.0,1237203.0
1999-11-11,8220,8380,8200,8381,1180,103678.0,1237203.0
1999-11-12,8580,8580,8580,8581,100,106152.0,1237203.0
1999-11-15,8350,8490,8150,8491,300,105039.0,1237203.0
1999-11-16,8200,8480,8200,8481,5050,104915.0,1237203.0
1999-11-17,8300,8600,8210,8291,2540,102564.0,1237203.0
1999-11-18,8030,8290,8030,8291,1730,102564.0,1237203.0
1999-11-19,8120,8250,7800,8251,830,102069.0,1237203.0
1999-11-22,7910,8290,7910,8251,1080,102069.0,1237203.0
1999-11-23,8200,8450,8200,8451,250,104544.0,1237203.0
1999-11-24,8450,8450,8300,8451,750,104544.0,1237203.0
1999-11-25,8040,8400,7850,8401,2620,103925.0,1237203.0
1999-11-26,8120,8380,8020,8381,430,103678.0,1237203.0
1999-11-29,8030,8330,7900,8151,3540,100832.0,1237203.0
1999-11-30,8070,8260,8070,8261,400,102193.0,1237203.0
1999-12-01,7980,8260,7980,8261,260,102193.0,1237203.0
1999-12-02,8250,8250,8220,8251,2580,102069.0,1237203.0
1999-12-03,8390,8390,8200,8201,1050,101451.0,1237203.0
1999-12-06,8200,8200,7800,8201,960,101451.0,1237203.0
1999-12-07,8000,8230,8000,8231,231,101822.0,1237203.0
1999-12-08,8200,8200,7950,8151,1310,100832.0,1237203.0
1999-12-09,8400,8400,7920,7941,620,98234.0,1237203.0
1999-12-10,7970,9130,7960,8501,11740,105162.0,1237203.0
1999-12-13,8500,8500,7900,8451,6090,104544.0,1237203.0
1999-12-14,8020,8310,8010,8251,690,102069.0,1237203.0
1999-12-15,8030,8030,7810,7971,1280,98605.0,1237203.0
1999-12-16,7720,8170,7610,8171,550,101079.0,1237203.0
1999-12-17,7840,7900,7840,7901,3020,97739.0,1237203.0
1999-12-20,7600,7880,7600,7881,120,97492.0,1237203.0
1999-12-21,7980,7980,7520,7521,510,93038.0,1237203.0
1999-12-22,7500,7500,7070,7331,360,90687.0,1237203.0
1999-12-23,7020,7120,7020,7031,280,86975.0,1237203.0
1999-12-24,7030,7290,7030,7291,190,90192.0,1237203.0
1999-12-27,7270,7270,7250,7251,160,89697.0,1237203.0
1999-12-28,7100,7100,6520,7001,3070,86604.0,1237203.0
2000-01-04,7000,7000,6120,6551,2840,81037.0,1237203.0
2000-01-05,6790,6790,6700,6701,120,82893.0,1237203.0
2000-01-06,6500,6700,6500,6651,130,82274.0,1237203.0
2000-01-07,6500,6550,6200,6501,410,80418.0,1237203.0
2000-01-10,6550,7240,6300,6961,580,86109.0,1237203.0
2000-01-11,6900,6950,6670,6671,50,82521.0,1237203.0
2000-01-12,6670,7180,6670,7001,1090,86604.0,1237203.0
2000-01-13,7300,7300,6900,6981,4800,86357.0,1237203.0
2000-01-14,6980,6980,6950,6981,2450,86357.0,1237203.0
2000-01-17,6810,6970,6810,6951,1140,85986.0,1237203.0
2000-01-18,6950,7170,6350,6951,8110,85986.0,1237203.0
2000-01-19,6900,6900,6630,6631,860,82027.0,1237203.0
2000-01-20,6260,6300,5800,6301,890,77944.0,1237203.0
2000-01-21,6130,6560,6100,6561,670,81161.0,1237203.0
2000-01-24,6310,6400,6300,6401,310,79181.0,1237203.0
2000-01-25,6120,6600,6120,6601,300,81655.0,1237203.0
2000-01-26,6300,6490,6300,6491,20,80294.0,1237203.0
2000-01-27,6450,6550,6450,6551,330,81037.0,1237203.0
2000-01-28,6550,6550,6250,6531,1030,80789.0,1237203.0
2000-01-31,6450,6450,6450,6451,20,79800.0,1237203.0
2000-02-01,6300,6600,6300,6301,360,77944.0,1237203.0
2000-02-02,5730,6670,5730,6501,340,80418.0,1237203.0
2000-02-03,6510,6680,6500,6681,720,82645.0,1237203.0
2000-02-07,6800,7100,6680,7101,700,87841.0,1237203.0
2000-02-08,7200,7300,6800,6801,240,84130.0,1237203.0
2000-02-09,7150,7150,6810,6811,140,84254.0,1237203.0
2000-02-10,7200,7200,6510,7001,270,86604.0,1237203.0
2000-02-11,6900,6900,6710,6711,1240,83016.0,1237203.0
2000-02-14,6710,6710,6700,6701,170,82893.0,1237203.0
2000-02-15,6500,6500,6250,6301,3810,77944.0,1237203.0
2000-02-16,6300,6300,6000,6001,440,74232.0,1237203.0
2000-02-17,6000,6180,5950,5951,1410,73614.0,1237203.0
2000-02-18,6050,6100,5880,5881,1880,72748.0,1237203.0
2000-02-21,5900,5900,5560,5580,1390,69036.0,1237203.0
2000-02-22,5560,5580,5400,5450,3400,67428.0,1237203.0
2000-02-23,5510,6260,5510,6131,1800,75841.0,1237203.0
2000-02-24,6300,6430,6090,6201,1460,76707.0,1237203.0
2000-02-25,6020,6400,6020,6061,970,74975.0,1237203.0
2000-02-28,5910,6200,5900,6201,1280,76707.0,1237203.0
2000-02-29,6100,6500,6100,6501,5240,80418.0,1237203.0
2000-03-02,6470,6590,6450,6591,260,81532.0,1237203.0
2000-03-03,6330,6400,6100,6201,290,76707.0,1237203.0
2000-03-06,6200,6300,6100,6221,2370,76954.0,1237203.0
2000-03-07,6300,6300,6010,6071,3870,75098.0,1237203.0
2000-03-08,6100,6100,5950,5991,2660,74108.0,1237203.0
2000-03-09,6140,6140,5700,5981,3020,73985.0,1237203.0
2000-03-10,6000,6130,5950,6081,2710,75222.0,1237203.0
2000-03-13,6080,6200,5960,6001,10610,74232.0,1237203.0
2000-03-14,6190,6300,6050,6191,7130,76583.0,1237203.0
2000-03-15,6340,6340,6110,6251,8080,77325.0,1237203.0
2000-03-16,6340,6350,6000,6001,6680,74232.0,1237203.0
2000-03-17,6100,6480,6100,6101,2560,75469.0,1237203.0
2000-03-20,6300,6350,6000,6031,9040,74603.0,1237203.0
2000-03-21,6040,6100,5950,5961,1670,73737.0,1237203.0
2000-03-22,6000,6140,5950,6131,3870,75841.0,1237203.0
2000-03-23,6200,6200,5800,5911,6980,73119.0,1237203.0
2000-03-24,6000,6100,5920,5940,3680,73490.0,1237203.0
2000-03-27,6100,6300,5990,6001,9530,74232.0,1237203.0
2000-03-28,6000,6800,6000,6701,23230,82893.0,1237203.0
2000-03-29,6700,6900,6360,6451,17010,79800.0,1237203.0
2000-03-30,6610,7100,6450,6741,12680,83387.0,1237203.0
2000-03-31,6580,6850,6540,6671,4090,82521.0,1237203.0
2000-04-03,6800,7100,6700,6831,9840,84501.0,1237203.0
2000-04-04,6850,6990,6700,6751,5230,83511.0,1237203.0
2000-04-06,6610,6700,6550,6551,8510,81037.0,1237203.0
2000-04-07,6550,6620,6400,6501,5460,80418.0,1237203.0
2000-04-10,6500,6850,6500,6711,9070,83016.0,1237203.0
2000-04-11,7000,7000,6710,6711,5370,83016.0,1237203.0
2000-04-12,6750,6850,6710,6851,3660,84748.0,1237203.0
2000-04-14,6850,6870,6750,6851,2450,84748.0,1237203.0
2000-04-17,6500,6750,6300,6401,3330,79181.0,1237203.0
2000-04-18,6440,6700,6440,6601,2520,81655.0,1237203.0
2000-04-19,6800,7090,6750,6801,12580,84130.0,1237203.0
2000-04-20,6800,6950,6550,6701,5590,82893.0,1237203.0
2000-04-21,6840,7000,6680,6781,6090,83882.0,1237203.0
2000-04-24,7100,7100,6800,6801,8870,84130.0,1237203.0
2000-04-25,6800,7500,6800,7401,9200,91553.0,1237203.0
2000-04-26,7500,7800,7120,7241,9980,89573.0,1237203.0
2000-04-27,7100,7350,7000,7011,12600,86728.0,1237203.0
2000-04-28,6900,7340,6900,7191,5430,88955.0,1237203.0
2000-05-02,7150,7160,7000,7051,9133,87223.0,1237203.0
2000-05-03,6950,7250,6920,7141,26250,88336.0,1237203.0
2000-05-04,7200,7280,7050,7061,5610,87347.0,1237203.0
2000-05-08,7060,7200,7000,7091,6720,87718.0,1237203.0
2000-05-09,7090,7200,6910,6911,8170,85491.0,1237203.0
2000-05-10,6980,6980,6750,6811,3130,84254.0,1237203.0
2000-05-12,6870,7090,6820,6851,5160,84748.0,1237203.0
2000-05-15,6850,6850,6500,6701,4400,82893.0,1237203.0
2000-05-16,6800,6800,6580,6801,3660,84130.0,1237203.0
2000-05-17,6950,7200,6650,6771,8040,83759.0,1237203.0
2000-05-18,6500,6730,6400,6701,3180,82893.0,1237203.0
2000-05-19,6600,7000,6600,6901,2880,85367.0,1237203.0
2000-05-22,6800,7050,6700,6701,5310,82893.0,1237203.0
2000-05-23,6700,6880,6600,6791,1900,84006.0,1237203.0
2000-05-24,6750,6900,6560,6901,4490,85367.0,1237203.0
2000-05-25,7000,7320,6730,7011,32630,86728.0,1237203.0
2000-05-26,7010,7300,6860,7151,15610,88460.0,1237203.0
2000-05-29,7120,7900,7010,7401,29100,91553.0,1237203.0
2000-05-30,7900,7900,7400,7591,15940,93904.0,1237203.0
2000-05-31,7630,7850,7510,7801,22683,96502.0,1237203.0
2000-06-01,7600,7800,7510,7801,13550,96502.0,1237203.0
2000-06-02,7900,8900,7800,8301,22980,102688.0,1237203.0
2000-06-05,9300,9540,8700,9541,34130,118029.0,1237203.0
2000-06-07,10000,10600,9800,10001,36900,123720.0,1237203.0
2000-06-08,9100,10100,8700,9451,25150,116916.0,1237203.0
2000-06-09,9010,9440,9010,9201,16160,113823.0,1237203.0
2000-06-12,9010,9200,8800,8891,14370,109987.0,1237203.0
2000-06-13,8900,9280,8610,8631,19030,106771.0,1237203.0
2000-06-14,8650,9000,8300,8431,13120,104296.0,1237203.0
2000-06-15,8430,8730,8200,8251,6180,102069.0,1237203.0
2000-06-16,8200,8400,8110,8111,10710,100337.0,1237203.0
2000-06-19,8410,8410,8120,8121,6410,100461.0,1237203.0
2000-06-20,8200,8320,7970,8101,9900,100213.0,1237203.0
2000-06-21,8100,8230,7920,8051,10500,99595.0,1237203.0
2000-06-22,8300,8300,7970,7981,9360,98729.0,1237203.0
2000-06-23,7810,7950,7720,7951,9910,98358.0,1237203.0
2000-06-26,7720,7950,7720,7851,10620,97120.0,1237203.0
2000-06-27,7900,8270,7800,8191,25430,101327.0,1237203.0
2000-06-28,8400,8780,8200,8681,22470,107389.0,1237203.0
2000-06-29,8790,8800,8270,8361,20950,103430.0,1237203.0
2000-06-30,8300,8480,8210,8461,7160,104667.0,1237203.0
2000-07-03,8500,9720,8500,9351,27190,115678.0,1237203.0
2000-07-04,9670,9670,9010,9131,26980,112957.0,1237203.0
2000-07-05,9160,9250,8800,9051,10270,111967.0,1237203.0
2000-07-06,8900,9600,8810,9381,12100,116050.0,1237203.0
2000-07-07,9120,9590,9100,9301,8130,115060.0,1237203.0
2000-07-10,9260,9490,9260,9481,11030,117287.0,1237203.0
2000-07-11,9360,9400,9210,9401,6460,116297.0,1237203.0
2000-07-12,9510,9600,9250,9301,7770,115060.0,1237203.0
2000-07-13,9300,9300,8950,9101,7300,112585.0,1237203.0
2000-07-14,8900,9050,8820,8821,3740,109121.0,1237203.0
2000-07-18,8660,9000,8450,8491,3350,105039.0,1237203.0
2000-07-19,8400,8450,8110,8111,3710,100337.0,1237203.0
2000-07-20,8100,8300,8020,8301,1940,102688.0,1237203.0
2000-07-21,8200,8650,8150,8601,2840,106399.0,1237203.0
2000-07-24,8600,8600,8230,8351,2290,103306.0,1237203.0
2000-07-25,8110,8350,8110,8251,1670,102069.0,1237203.0
2000-07-26,8200,8490,8200,8321,900,102935.0,1237203.0
2000-07-27,8350,8350,8100,8191,3410,101327.0,1237203.0
2000-07-28,8190,8190,7900,8001,3200,98976.0,1237203.0
2000-07-31,7700,7890,7560,7891,3980,97615.0,1237203.0
2000-08-01,7890,8100,7850,7901,4140,97739.0,1237203.0
2000-08-02,7900,8000,7820,7961,2070,98481.0,1237203.0
2000-08-03,7840,7980,7830,7901,1620,97739.0,1237203.0
2000-08-04,7900,7990,7800,7901,1730,97739.0,1237203.0
2000-08-07,7800,7800,7630,7711,1761,95388.0,1237203.0
2000-08-08,7720,8480,7660,7861,6170,97244.0,1237203.0
2000-08-09,7910,8600,7910,8301,11190,102688.0,1237203.0
2000-08-10,8310,8590,8300,8451,2900,104544.0,1237203.0
2000-08-11,8370,8790,8370,8701,4411,107637.0,1237203.0
2000-08-14,8900,9170,8800,8911,13630,110235.0,1237203.0
2000-08-16,8900,9500,8820,9501,20613,117534.0,1237203.0
2000-08-17,9700,10100,9450,9741,34160,120504.0,1237203.0
2000-08-18,9860,10700,9820,10151,13130,125576.0,1237203.0
2000-08-21,10100,10100,9510,9511,5830,117658.0,1237203.0
2000-08-22,9680,10900,9560,10651,31440,131762.0,1237203.0
2000-08-23,10250,11300,10250,10801,10530,133618.0,1237203.0
2000-08-24,10700,10750,10300,10401,7650,128669.0,1237203.0
2000-08-25,10300,10600,9800,10551,13530,130525.0,1237203.0
2000-08-28,10550,11100,10500,11001,23730,136092.0,1237203.0
2000-08-29,11501,12451,11000,12301,27142,152176.0,1237203.0
2000-08-30,12351,12401,11901,11901,10190,147227.0,1237203.0
2000-08-31,11700,12001,11000,11351,10310,140423.0,1237203.0
2000-09-01,11501,12251,11250,12251,6240,151557.0,1237203.0
2000-09-04,12301,12951,12301,12301,15190,152176.0,1237203.0
2000-09-05,12301,12551,12201,12301,12130,152176.0,1237203.0
2000-09-06,12301,12501,12051,12051,6946,149083.0,1237203.0
2000-09-07,12251,12251,11501,11801,8300,145990.0,1237203.0
2000-09-08,11501,11551,11200,11501,4240,142278.0,1237203.0
2000-09-14,11250,11250,10100,11251,4636,139185.0,1237203.0
2000-09-15,11150,11150,10200,10801,4240,133618.0,1237203.0
2000-09-18,10800,10800,9210,9851,2390,121864.0,1237203.0
2000-09-19,9950,10300,9950,9951,4630,123102.0,1237203.0
2000-09-20,9950,10600,9950,10501,3500,129906.0,1237203.0
2000-09-21,10750,10750,10150,10201,2690,126195.0,1237203.0
