한일현대시멘트(006390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-02-11,22861,24342,22861,23326,68840,40465.0,7344000.0
2000-02-14,23710,24133,22863,23157,106340,40172.0,7344000.0
2000-02-15,22475,23150,22475,22988,36620,39878.0,7344000.0
2000-02-16,22898,23915,22898,22988,39310,39878.0,7344000.0
2000-02-17,23409,23710,23026,23157,41480,40172.0,7344000.0
2000-02-18,23447,23494,22983,23284,38890,40392.0,7344000.0
2000-02-21,23284,23284,20443,20744,75070,35986.0,7344000.0
2000-02-22,20616,20745,19134,20405,61800,35398.0,7344000.0
2000-02-23,21205,23445,21205,22818,100100,39584.0,7344000.0
2000-02-24,22013,22436,21166,21591,127440,37454.0,7344000.0
2000-02-25,21206,22647,20318,21760,45020,37748.0,7344000.0
2000-02-28,22434,23404,22010,22776,93330,39511.0,7344000.0
2000-02-29,24294,24764,22811,22861,73540,39658.0,7344000.0
2000-03-02,24292,25651,23493,25147,150340,43623.0,7344000.0
2000-03-03,26037,28789,25989,27179,197740,47148.0,7344000.0
2000-03-06,27517,29585,26247,28787,163070,49939.0,7344000.0
2000-03-07,27094,30392,27094,28787,135310,49939.0,7344000.0
2000-03-08,27598,27728,27093,27306,87010,47369.0,7344000.0
2000-03-09,26884,29848,26884,28237,181680,48984.0,7344000.0
2000-03-10,28234,29210,27517,27517,74290,47736.0,7344000.0
2000-03-13,27939,30057,27939,28999,182210,50306.0,7344000.0
2000-03-14,29000,33023,29000,29719,255880,51555.0,7344000.0
2000-03-15,30479,30479,27598,27941,105890,48470.0,7344000.0
2000-03-16,27981,29585,25906,26247,80840,45533.0,7344000.0
2000-03-17,25563,27467,25563,25993,70480,45092.0,7344000.0
2000-03-20,27851,27851,25987,27094,71970,47002.0,7344000.0
2000-03-21,26288,27095,26036,26078,44240,45239.0,7344000.0
2000-03-22,26670,27517,26288,27517,78380,47736.0,7344000.0
2000-03-23,30057,30480,28574,29634,226620,51408.0,7344000.0
2000-03-24,29845,32385,28868,30904,274070,53611.0,7344000.0
2000-03-27,32085,32173,30268,31328,231690,54346.0,7344000.0
2000-03-28,31751,32175,30481,30947,174500,53685.0,7344000.0
2000-03-29,30693,31328,28788,29041,120640,50380.0,7344000.0
2000-03-30,28363,28575,27094,27729,77030,48103.0,7344000.0
2000-03-31,26834,28998,26670,27517,98200,47736.0,7344000.0
2000-04-03,29210,30855,28363,29422,170430,51041.0,7344000.0
2000-04-04,29210,30268,26882,27094,96130,47002.0,7344000.0
2000-04-06,26246,26669,26034,26671,99750,46267.0,7344000.0
2000-04-07,26671,27518,26036,26078,121950,45239.0,7344000.0
2000-04-10,27514,29964,27254,29973,256000,51996.0,7344000.0
2000-04-11,30483,31329,27518,27814,296880,48250.0,7344000.0
2000-04-12,27810,28362,26669,27941,88150,48470.0,7344000.0
2000-04-14,28232,30895,28232,30015,200940,52069.0,7344000.0
2000-04-17,27556,29543,25863,27052,219010,46928.0,7344000.0
2000-04-18,28739,29210,27045,27517,169080,47736.0,7344000.0
2000-04-19,27094,28152,26922,27094,118400,47002.0,7344000.0
2000-04-20,27517,27851,26459,27094,115030,47002.0,7344000.0
2000-04-21,26882,27517,26670,27517,94360,47736.0,7344000.0
2000-04-24,28148,28148,26748,27433,59680,47589.0,7344000.0
2000-04-25,25907,27095,25907,26501,62360,45973.0,7344000.0
2000-04-26,26672,27307,22732,23580,162410,40906.0,7344000.0
2000-04-27,23703,23703,20740,22564,106790,39144.0,7344000.0
2000-04-28,22558,23706,22558,23496,65240,40759.0,7344000.0
2000-05-02,23494,23494,22436,23284,40590,40392.0,7344000.0
2000-05-03,23320,24127,22898,23623,30040,40980.0,7344000.0
2000-05-04,23283,24129,23236,23284,47270,40392.0,7344000.0
2000-05-08,23280,24080,23280,23411,40510,40612.0,7344000.0
2000-05-09,23706,24553,23536,24342,69960,42228.0,7344000.0
2000-05-10,24592,24763,23404,23453,29080,40686.0,7344000.0
2000-05-12,22650,26584,22650,22734,191090,39437.0,7344000.0
2000-05-15,22731,22731,20997,20998,68580,36426.0,7344000.0
2000-05-16,21290,21925,20743,20956,42090,36353.0,7344000.0
2000-05-17,20359,20741,17861,17950,111440,31139.0,7344000.0
2000-05-18,17781,17781,16299,16764,63720,29082.0,7344000.0
2000-05-19,16125,18071,16125,17738,44270,30771.0,7344000.0
2000-05-22,17781,17781,16764,16764,19340,29082.0,7344000.0
2000-05-23,15453,17309,15453,16764,30370,29082.0,7344000.0
2000-05-24,15495,18205,15495,17653,228300,30624.0,7344000.0
2000-05-25,18156,20108,17821,20109,65630,34884.0,7344000.0
2000-05-26,18918,20187,17436,17696,55060,30698.0,7344000.0
2000-05-29,15109,17356,15109,17145,71990,29743.0,7344000.0
2000-05-30,17780,18838,17355,17992,94200,31212.0,7344000.0
2000-05-31,18413,20673,18324,19622,149350,34039.0,7344000.0
2000-06-01,20320,20320,17990,18627,61040,32314.0,7344000.0
2000-06-02,17821,19405,17821,19051,64560,33048.0,7344000.0
2000-06-05,19940,21886,19940,21887,115060,37968.0,7344000.0
2000-06-07,25138,25138,24593,25147,65410,43623.0,7344000.0
2000-06-08,28910,28910,24342,27517,439100,47736.0,7344000.0
2000-06-09,25398,27466,23958,25782,175660,44725.0,7344000.0
2000-06-12,26369,26369,23747,25401,153310,44064.0,7344000.0
2000-06-13,23283,24977,23283,23284,101780,40392.0,7344000.0
2000-06-14,22521,26585,22439,23157,304560,40172.0,7344000.0
2000-06-15,24506,24506,21378,21379,166680,37087.0,7344000.0
2000-06-16,20866,22860,20320,20744,60330,35986.0,7344000.0
2000-06-19,19554,21118,19152,19262,76360,33415.0,7344000.0
2000-06-20,18284,20271,18284,19897,62610,34517.0,7344000.0
2000-06-21,19894,20529,19280,19643,60990,34076.0,7344000.0
2000-06-22,19936,20743,19131,19262,58280,33415.0,7344000.0
2000-06-23,19747,19747,19050,19474,39470,33782.0,7344000.0
2000-06-26,19473,20320,19473,19897,58740,34517.0,7344000.0
2000-06-27,20320,20531,19937,20321,55030,35251.0,7344000.0
2000-06-28,20316,22133,20316,20659,154550,35839.0,7344000.0
2000-06-29,20743,20956,19747,19918,73470,34554.0,7344000.0
2000-06-30,20531,20743,19978,20744,58140,35986.0,7344000.0
2000-07-03,21166,21166,20320,20956,67340,36353.0,7344000.0
2000-07-04,21332,21332,20383,20405,52270,35398.0,7344000.0
2000-07-05,20531,20695,19575,19897,50540,34517.0,7344000.0
2000-07-06,20531,20743,19937,20744,80330,35986.0,7344000.0
2000-07-07,21098,22811,20906,21591,156090,37454.0,7344000.0
2000-07-10,22648,22648,21712,21802,145380,37822.0,7344000.0
2000-07-11,21247,22901,21247,21802,131720,37822.0,7344000.0
2000-07-12,21589,22224,20996,21167,64880,36720.0,7344000.0
2000-07-13,20787,21464,20323,20617,39930,35765.0,7344000.0
2000-07-14,20109,20867,20109,20363,39470,35325.0,7344000.0
2000-07-18,21333,21333,19688,19982,35610,34664.0,7344000.0
2000-07-19,20656,20656,19515,19728,27910,34223.0,7344000.0
2000-07-20,19513,19896,19090,19262,41230,33415.0,7344000.0
2000-07-21,19552,19552,19087,19178,19830,33268.0,7344000.0
2000-07-24,19050,19050,17356,18204,30240,31579.0,7344000.0
2000-07-25,17440,18156,16886,18034,63000,31285.0,7344000.0
2000-07-26,17439,17991,17376,17780,36280,30845.0,7344000.0
2000-07-27,17566,18071,17436,17738,30710,30771.0,7344000.0
2000-07-28,17499,17942,17225,17526,33600,30404.0,7344000.0
2000-07-31,17780,17780,17227,17569,26540,30478.0,7344000.0
2000-08-01,17754,18204,17522,17823,34610,30918.0,7344000.0
2000-08-02,17820,18202,17778,17950,24590,31139.0,7344000.0
2000-08-03,18203,18203,17780,17780,18190,30845.0,7344000.0
2000-08-04,17905,17905,17359,17653,17420,30624.0,7344000.0
2000-08-07,17650,17650,17186,17188,12950,29817.0,7344000.0
2000-08-08,16935,17570,16935,17230,11970,29890.0,7344000.0
2000-08-09,17356,17991,17356,17759,24840,30808.0,7344000.0
2000-08-10,17355,17991,17355,17992,19190,31212.0,7344000.0
2000-08-11,17990,18749,17459,18627,26910,32314.0,7344000.0
2000-08-14,20745,20745,19052,19135,64690,33195.0,7344000.0
2000-08-16,19470,19805,18836,18966,27120,32901.0,7344000.0
2000-08-17,18365,18386,17054,17526,71180,30404.0,7344000.0
2000-08-18,17229,17905,17188,17653,34980,30624.0,7344000.0
2000-08-21,17359,17782,17188,17230,34980,29890.0,7344000.0
2000-08-22,17419,17781,17166,17399,29150,30184.0,7344000.0
2000-08-23,17459,17753,17015,17145,30410,29743.0,7344000.0
2000-08-24,17305,17305,16799,17061,18370,29596.0,7344000.0
2000-08-25,17144,17356,17015,17336,22770,30074.0,7344000.0
2000-08-28,17780,17780,17145,17357,28790,30110.0,7344000.0
2000-08-29,17752,17752,17227,17378,19800,30147.0,7344000.0
2000-08-30,17227,17378,17145,17188,29770,29817.0,7344000.0
2000-08-31,17779,17820,16932,16934,76180,29376.0,7344000.0
2000-09-01,16930,17142,16507,16659,39790,28899.0,7344000.0
2000-09-04,16673,16933,16673,16722,23420,29009.0,7344000.0
2000-09-05,16934,16934,16231,16341,40100,28348.0,7344000.0
2000-09-06,16508,16931,16337,16680,39320,28935.0,7344000.0
2000-09-07,16884,16884,16249,16256,38190,28201.0,7344000.0
2000-09-08,16250,16509,16168,16299,23380,28274.0,7344000.0
2000-09-14,16107,16510,13991,13992,45170,24272.0,7344000.0
2000-09-15,16085,16085,16085,16087,28780,27907.0,7344000.0
2000-09-18,16720,17267,14453,15664,182630,27173.0,7344000.0
