한전KPS(051600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-11-14,23700,24500,23500,23850,309198,1073250.0,45000000.0
2008-11-17,24100,24950,23800,24600,233768,1107000.0,45000000.0
2008-11-18,24300,24950,24250,24300,160956,1093500.0,45000000.0
2008-11-19,24500,24600,23300,23700,130277,1066500.0,45000000.0
2008-11-20,22750,23400,22200,22200,128064,999000.0,45000000.0
2008-11-21,22000,24300,21850,24100,134362,1084500.0,45000000.0
2008-11-24,24200,25100,23850,24450,332791,1100250.0,45000000.0
2008-11-25,25150,25400,24300,24750,149272,1113750.0,45000000.0
2008-11-26,24750,25300,24700,25100,114064,1129500.0,45000000.0
2008-11-27,25450,25450,24800,25400,117711,1143000.0,45000000.0
2008-11-28,25400,26050,25000,26050,122507,1172250.0,45000000.0
2008-12-01,26150,26250,24650,24650,190485,1109250.0,45000000.0
2008-12-02,23800,24600,23750,24100,113446,1084500.0,45000000.0
2008-12-03,24600,24600,22900,23000,362871,1035000.0,45000000.0
2008-12-04,23550,24100,23100,23200,173528,1044000.0,45000000.0
2008-12-05,23500,23650,23150,23200,106582,1044000.0,45000000.0
2008-12-08,23450,24350,23400,24250,202330,1091250.0,45000000.0
2008-12-09,24700,24800,23550,23650,246492,1064250.0,45000000.0
2008-12-10,23900,24050,23450,23800,252291,1071000.0,45000000.0
2008-12-11,23950,24000,23300,23300,306954,1048500.0,45000000.0
2008-12-12,23450,23900,22050,22700,368775,1021500.0,45000000.0
2008-12-15,23250,24600,23250,23850,336097,1073250.0,45000000.0
2008-12-16,23800,24300,23250,24100,191682,1084500.0,45000000.0
2008-12-17,24750,24800,23650,23750,157871,1068750.0,45000000.0
2008-12-18,23900,24150,23750,23750,121980,1068750.0,45000000.0
2008-12-19,23750,24150,23500,24150,150976,1086750.0,45000000.0
2008-12-22,24450,24500,23800,24350,170570,1095750.0,45000000.0
2008-12-23,24350,25650,24150,25300,491791,1138500.0,45000000.0
2008-12-24,25600,25750,24550,24550,252708,1104750.0,45000000.0
2008-12-26,24700,25100,24200,24800,132343,1116000.0,45000000.0
2008-12-29,24600,25050,23400,24150,136070,1086750.0,45000000.0
2008-12-30,24100,25000,23800,25000,203710,1125000.0,45000000.0
2009-01-02,25100,25150,24500,24600,104563,1107000.0,45000000.0
2009-01-05,24800,24900,24500,24600,108682,1107000.0,45000000.0
2009-01-06,24800,25150,24600,24800,105096,1116000.0,45000000.0
2009-01-07,25150,25750,24950,25700,229421,1156500.0,45000000.0
2009-01-08,25300,25850,25250,25800,84737,1161000.0,45000000.0
2009-01-09,25800,25900,24700,24700,120848,1111500.0,45000000.0
2009-01-12,24500,24900,24100,24400,53041,1098000.0,45000000.0
2009-01-13,24700,24700,24050,24600,67146,1107000.0,45000000.0
2009-01-14,24600,25500,24550,25500,107216,1147500.0,45000000.0
2009-01-15,24900,25500,24800,25200,147280,1134000.0,45000000.0
2009-01-16,25500,25700,25000,25650,109886,1154250.0,45000000.0
2009-01-19,25900,26550,25750,26500,157547,1192500.0,45000000.0
2009-01-20,26400,26500,25650,26150,137016,1176750.0,45000000.0
2009-01-21,25400,26550,25400,26150,147983,1176750.0,45000000.0
2009-01-22,26650,26950,26150,26300,149804,1183500.0,45000000.0
2009-01-23,26400,27100,25600,26550,179967,1194750.0,45000000.0
2009-01-28,26950,27650,26650,27600,133867,1242000.0,45000000.0
2009-01-29,27700,27900,27100,27200,85803,1224000.0,45000000.0
2009-01-30,26900,27000,26300,26600,117003,1197000.0,45000000.0
2009-02-02,26550,27100,26100,26100,111312,1174500.0,45000000.0
2009-02-03,26300,27000,25950,26850,104435,1208250.0,45000000.0
2009-02-04,27250,27550,26800,26850,138274,1208250.0,45000000.0
2009-02-05,26950,27050,26300,26550,120483,1194750.0,45000000.0
2009-02-06,26550,26650,25950,26000,191897,1170000.0,45000000.0
2009-02-09,26250,26300,25050,25150,365843,1131750.0,45000000.0
2009-02-10,25300,25800,25150,25800,187100,1161000.0,45000000.0
2009-02-11,25350,25800,25300,25800,70724,1161000.0,45000000.0
2009-02-12,25850,26000,25050,25150,136751,1131750.0,45000000.0
2009-02-13,25450,25800,25250,25750,75920,1158750.0,45000000.0
2009-02-16,25750,26050,25400,25500,108631,1147500.0,45000000.0
2009-02-17,25700,25700,24450,24450,113914,1100250.0,45000000.0
2009-02-18,24350,25800,23750,25600,117952,1152000.0,45000000.0
2009-02-19,25600,25600,24200,24200,136248,1089000.0,45000000.0
2009-02-20,23900,24450,23200,23700,112573,1066500.0,45000000.0
2009-02-23,23400,24800,23400,24500,102655,1102500.0,45000000.0
2009-02-24,23800,24400,23750,24350,40271,1095750.0,45000000.0
2009-02-25,24700,24900,24300,24300,60840,1093500.0,45000000.0
2009-02-26,24550,24650,23800,23850,54767,1073250.0,45000000.0
2009-02-27,23900,24000,23500,23500,73225,1057500.0,45000000.0
2009-03-02,23300,23350,22500,22700,83513,1021500.0,45000000.0
2009-03-03,22150,23550,22000,23300,76580,1048500.0,45000000.0
2009-03-04,23050,23600,22600,23550,41004,1059750.0,45000000.0
2009-03-05,23750,24100,23300,23300,67748,1048500.0,45000000.0
2009-03-06,22800,23450,22800,23200,22600,1044000.0,45000000.0
2009-03-09,23500,23850,23250,23500,67616,1057500.0,45000000.0
2009-03-10,23400,23450,23100,23150,73111,1041750.0,45000000.0
2009-03-11,23650,24400,23650,24250,140398,1091250.0,45000000.0
2009-03-12,24550,24850,24100,24150,99560,1086750.0,45000000.0
2009-03-13,24500,26450,24400,26200,641713,1179000.0,45000000.0
2009-03-16,26500,26500,25500,26150,341170,1176750.0,45000000.0
2009-03-17,26300,26350,25650,26000,113105,1170000.0,45000000.0
2009-03-18,26450,26450,25650,25700,115648,1156500.0,45000000.0
2009-03-19,25750,26450,25400,26450,171456,1190250.0,45000000.0
2009-03-20,26500,26600,25900,25950,97720,1167750.0,45000000.0
2009-03-23,26150,26200,25750,26200,92850,1179000.0,45000000.0
2009-03-24,26500,26500,25550,26000,87214,1170000.0,45000000.0
2009-03-25,25850,28900,25800,27800,600845,1251000.0,45000000.0
2009-03-26,27900,29900,27500,29500,574340,1327500.0,45000000.0
2009-03-27,30000,30400,28350,28550,240708,1284750.0,45000000.0
2009-03-30,29100,29750,28000,28600,234210,1287000.0,45000000.0
2009-03-31,29250,31100,29200,30600,484147,1377000.0,45000000.0
2009-04-01,30800,31950,29600,31800,423843,1431000.0,45000000.0
2009-04-02,31800,32050,31200,31400,232590,1413000.0,45000000.0
2009-04-03,31600,31600,29100,29500,503484,1327500.0,45000000.0
2009-04-06,29700,30400,29400,29450,244915,1325250.0,45000000.0
2009-04-07,29800,30200,29450,29650,132086,1334250.0,45000000.0
2009-04-08,29500,30700,29200,29850,200849,1343250.0,45000000.0
2009-04-09,30200,30750,29850,30300,176752,1363500.0,45000000.0
2009-04-10,30650,30800,29350,29600,294771,1332000.0,45000000.0
2009-04-13,29600,30200,29250,29700,175328,1336500.0,45000000.0
2009-04-14,29950,31500,29500,30700,407743,1381500.0,45000000.0
2009-04-15,30500,31150,29550,29850,298763,1343250.0,45000000.0
2009-04-16,30500,30650,29350,29600,146175,1332000.0,45000000.0
2009-04-17,29900,29950,28400,28400,232831,1278000.0,45000000.0
2009-04-20,28650,29500,28500,29400,134382,1323000.0,45000000.0
2009-04-21,29400,31000,29000,31000,365987,1395000.0,45000000.0
2009-04-22,31250,31500,30450,31200,254139,1404000.0,45000000.0
2009-04-23,31300,31400,30450,30850,123404,1388250.0,45000000.0
2009-04-24,30900,31650,30450,30800,149684,1386000.0,45000000.0
2009-04-27,31000,32050,30600,31400,243746,1413000.0,45000000.0
2009-04-28,31450,32050,29800,29800,193350,1341000.0,45000000.0
2009-04-29,30300,30750,30000,30750,80377,1383750.0,45000000.0
2009-04-30,31400,32700,31100,32000,299110,1440000.0,45000000.0
2009-05-04,32300,32800,31700,31900,112902,1435500.0,45000000.0
